kot	como	kot	como	CONJ	CONJ
vendar	sino	vendar	sino	CONJ	CONJ
vendar	pero	vendar	pero	CONJ	CONJ
let	años	leto	año	N;GEN;NEUT;PL	N;MASC;PL
let	anos	leto	ano	N;GEN;NEUT;PL	N;MASC;PL
polk	regimiento	polk	regimiento	N;NOM;MASC;SG	N;MASC;SG
polk	polk	polk	polk	N;NOM;MASC;SG	N;MASC;SG
bili	estaban	biti	estar	V;MASC;PL;V.PTCP	V;IND;PL;3;IPFV;FIN
zelo	muy	zelo	mucho	ADV	ADV
slovenski	eslovena	slovenski	eslovena	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
marec	marcha	marec	marcha	N;NOM;MASC;SG	N;FEM;SG
marec	marzo	marec	marzo	N;NOM;MASC;SG	N
avgust	agosto	avgust	agosto	N;NOM;MASC;SG	N
avgust	augusto	avgust	augusto	N;NOM;MASC;SG	N;MASC;SG
avgust	augustus	avgust	augustus	N;NOM;MASC;SG	N
strani	lados	stran	lado	N;NOM;FEM;PL	N;MASC;PL
strani	laterales	stran	lateral	N;NOM;FEM;PL	N;PL
strani	bandos	stran	bando	N;NOM;FEM;PL	N;MASC;PL
strani	páginas	stran	página	N;NOM;FEM;PL	N;FEM;PL
strani	paginas	stran	pagina	N;NOM;FEM;PL	N;FEM;PL
delo	empleo	delo	empleo	N;NOM;NEUT;SG	N;MASC;SG
delo	trabajo	delo	trabajo	N;NOM;NEUT;SG	N;MASC;SG
delo	obra	delo	obra	N;NOM;NEUT;SG	N;FEM;SG
delo	trabajo	delo	trabajo	N;NOM;NEUT;SG	N;MASC;SG
ker	porque	ker	porque	CONJ	CONJ
nekaj	algo	nekaj	algo	PRO;ACC;NEUT;SG	PRO;SG
januar	enero	januar	enero	N;NOM;MASC;SG	N
fff	fff	fff	fff	N;NOM;MASC;SG	N;FEM;SG
december	diciembre	december	diciembre	N;NOM;MASC;SG	N
november	noviembre	november	noviembre	N;NOM;MASC;SG	N
november	noviembre	november	noviembre	N;NOM;MASC;SG	N
letih	años	leto	año	N;ESS;NEUT;PL	N;MASC;PL
letih	anos	leto	ano	N;ESS;NEUT;PL	N;MASC;PL
spada	pertenece	spadati	pertenecer	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
april	abril	april	abril	N;NOM;MASC;SG	N
vojne	guerras	vojna	guerra	N;NOM;FEM;PL	N;FEM;PL
število	número	število	número	N;NOM;NEUT;SG	N;MASC;SG
število	numero	število	numero	N;NOM;NEUT;SG	N;MASC;SG
februar	febrero	februar	febrero	N;NOM;MASC;SG	N
stoletja	siglos	stoletje	siglo	N;ACC;NEUT;PL	N;MASC;PL
zajema	abarca	zajema	abarcar	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
liga	league	liga	league	N;NOM;FEM;SG	N;FEM;SG
liga	liga	liga	liga	N;NOM;FEM;SG	N;FEM;SG
liga	liga	liga	liga	N;NOM;FEM;SG	N;FEM;SG
kasneje	posteriormente	kasno	posteriormente	ADV;CMPR	ADV
kasneje	después	kasno	después	ADV;CMPR	ADV
dela	trabajos	delo	trabajo	N;NOM;NEUT;PL	N;MASC;PL
dela	trabajos	delo	trabajo	N;NOM;NEUT;PL	N;MASC;PL
dela	obras	delo	obra	N;NOM;NEUT;PL	N;FEM;PL
maj	may	maj	maber		
bolj	más	bolj	más	ADV;CMPR	ADV
bolj	mas	bolj	mas	ADV;CMPR	ADV
danes	hoy	danes	hoy	ADV	ADV
republike	republic	republika	republic	N;NOM;FEM;PL	N
cest	carreteras	cesta	carretera	N;GEN;FEM;PL	N;FEM;PL
cest	caminos	cesta	camino	N;GEN;FEM;PL	N;MASC;PL
stran	away	stran	away	N;NOM;FEM;SG	N
stran	pagina	stran	pagina	N;NOM;FEM;SG	N;FEM;SG
stran	página	stran	página	N;NOM;FEM;SG	N;FEM;SG
stran	page	stran	pager	N;NOM;FEM;SG	N
julij	julio	julij	julio	N;NOM;MASC;SG	N
julij	julio	julij	julio	N;NOM;MASC;SG	N
prebivalcev	habitantes	prebivalec	habitante	N;GEN;MASC;PL	N;PL
prebivalcev	residentes	prebivalec	residente	N;GEN;MASC;PL	N;PL
prebivalcev	habitantes	prebivalec	habitante	N;GEN;MASC;PL	N;PL
svetovno	mundial	svetoven	mundial	ADJ;NOM;NEUT;SG	ADJ;SG
svetovno	mundial	svetoven	mundial	ADJ;NOM;NEUT;SG	ADJ;SG
svetovno	mundial	svetoven	mundial	ADJ;NOM;NEUT;SG	ADJ;SG
svetovno	global	svetoven	global	ADJ;NOM;NEUT;SG	ADJ;SG
glede	acerca	glede	acerca	ADV	ADV
leto	leto	leto	leto	N;NOM;NEUT;SG	N;MASC;SG
leto	año	leto	año	N;NOM;NEUT;SG	N;MASC;SG
imajo	tener	imeti	tener	V;IPFV;IND;PL;3;POS;PRS;FIN	V;NFIN
imajo	tienen	imeti	tener	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;PL;3;PRS;FIN
prvenstvo	campeonato	prvenstvo	campeonato	N;NOM;NEUT;SG	N;MASC;SG
prvenstvo	championship	prvenstvo	championship	N;NOM;NEUT;SG	N;MASC;SG
brez	sin	brez	sin	ADP;GEN	ADP
mesta	ciudades	mesto	ciudad	N;NOM;NEUT;PL	N;FEM;PL
mesta	pueblos	mesto	pueblo	N;NOM;NEUT;PL	N;MASC;PL
mesta	ciudades	mesto	ciudad	N;NOM;NEUT;PL	N;FEM;PL
vojno	guerra	vojna	guerra	N;ACC;FEM;SG	N;FEM;SG
vojno	war	vojna	war	N;ACC;FEM;SG	N;SG
njegov	su	njegov	su	DET;NOM;MASC;SG;3	DET;SG;3
cerkev	iglesia	cerkev	iglesia	N;NOM;FEM;SG	N;FEM;SG
primer	case	primer	case	N;NOM;MASC;SG	N
primer	caso	primer	caso	N;NOM;MASC;SG	N;MASC;SG
primer	estuche	primer	estuche	N;NOM;MASC;SG	N;MASC;SG
primer	ejemplo	primer	ejemplo	N;NOM;MASC;SG	N;MASC;SG
dan	día	dan	día	N;NOM;MASC;SG	N;MASC;SG
dan	dia	dan	diar	N;NOM;MASC;SG	N;MASC;SG
imena	nombres	ime	nombre	N;NOM;NEUT;PL	N;MASC;PL
velika	velika	velik	velika	ADJ;NOM;FEM;SG	ADJ;SG
velika	grande	velik	grande	ADJ;NOM;FEM;SG	ADJ;SG
velika	gran	velik	gran	ADJ;NOM;FEM;SG	ADJ;SG
velika	grande	velik	grande	ADJ;NOM;FEM;SG	ADJ;SG
hms	hms	hms	hms	N;NOM;FEM;SG	N;MASC;SG
vedno	siempre	vedno	siempre	ADV	ADV
junij	junio	junij	junio	N;NOM;MASC;SG	N
observatorij	observatorio	observatorij	observatorio	N;NOM;MASC;SG	N;MASC;SG
mestu	pueblo	mesto	pueblo	N;DAT;NEUT;SG	N;MASC;SG
mestu	ciudad	mesto	ciudad	N;DAT;NEUT;SG	N;FEM;SG
mestu	ciudad	mesto	ciudad	N;DAT;NEUT;SG	N;FEM;SG
občina	municipalidad	občina	municipalidad	N;NOM;FEM;SG	N;FEM;SG
občina	municipio	občina	municipio	N;NOM;FEM;SG	N;MASC;SG
vojna	guerra	vojna	guerra	N;NOM;FEM;SG	N;FEM;SG
vojna	war	vojna	war	N;NOM;FEM;SG	N;SG
pesmi	poemas	pesem	poema	N;NOM;FEM;PL	N;MASC;PL
pesmi	cantos	pesem	canto	N;NOM;FEM;PL	N;MASC;PL
pesmi	canciones	pesem	canción	N;NOM;FEM;PL	N;FEM;PL
pesmi	songs	pesem	songs	N;NOM;FEM;PL	N
tri	tres	trije	tres	NUM;NOM;FEM;PL	NUM;PL
slovenska	eslovena	slovenski	eslovena	ADJ;NOM;FEM;SG	ADJ;FEM;SG
veliki	grande	velik	grande	ADJ;NOM;DEF;MASC;SG	ADJ;SG
veliki	gran	velik	gran	ADJ;NOM;DEF;MASC;SG	ADJ;SG
ameriški	americano	ameriški	americano	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
ameriški	estadounidense	ameriški	estadounidense	ADJ;NOM;DEF;MASC;SG	ADJ;SG
ameriški	americana	ameriški	americana	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
cet	cet	ceto	cet	N;NOM;MASC;SG	N
slika	foto	slika	foto	N;NOM;FEM;SG	N;FEM;SG
slika	imagen	slika	imagen	N;NOM;FEM;SG	N;FEM;SG
slika	imágen	slika	imágen	N;NOM;FEM;SG	N;FEM;SG
slika	cuadro	slika	cuadro	N;NOM;FEM;SG	N;MASC;SG
slika	pintura	slika	pintura	N;NOM;FEM;SG	N;FEM;SG
prva	primera	prvi	primero	ADJ;NOM;FEM;SG	ADJ;FEM;SG
prva	primer	prvi	primero	ADJ;NOM;FEM;SG	ADJ;MASC;SG
njegova	su	njegov	su	DET;NOM;FEM;SG;3	DET;SG;3
imel	tenía	imeti	tener	V;IPFV;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
imel	tuvo	imeti	tener	V;IPFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
vojske	ejércitos	vojska	ejército	N;NOM;FEM;PL	N;MASC;PL
pogosto	frecuentemente	pogosto	frecuentemente	ADV	ADV
pogosto	frecuentemente	pogosto	frecuentemente	ADV	ADV
življenje	vida	življenje	vida	N;NOM;NEUT;SG	N;FEM;SG
življenje	life	življenje	life	N;NOM;NEUT;SG	N
prvo	primera	prvi	primero	ADJ;ACC;NEUT;SG	ADJ;FEM;SG
prvo	primer	prvi	primero	ADJ;ACC;NEUT;SG	ADJ;MASC;SG
skupina	grupo	skupina	grupo	N;NOM;FEM;SG	N;MASC;SG
skupina	group	skupina	group	N;NOM;FEM;SG	N
nagrada	recompensa	nagrada	recompensar	N;NOM;FEM;SG	N;FEM;SG
nagrada	premio	nagrada	premio	N;NOM;FEM;SG	N;MASC;SG
nagrada	laudo	nagrada	laudo	N;NOM;FEM;SG	N;MASC;SG
nagrada	adjudicación	nagrada	adjudicación	N;NOM;FEM;SG	N;FEM;SG
nagrada	premio	nagrada	premio	N;NOM;FEM;SG	N;MASC;SG
nagrada	galardón	nagrada	galardón	N;NOM;FEM;SG	N;MASC;SG
njegovo	su	njegov	su	DET;NOM;NEUT;SG;3	DET;SG;3
priimek	apellido	priimek	apellido	N;NOM;MASC;SG	N;MASC;SG
čeprav	aunque	čeprav	aunque	CONJ	CONJ
čeprav	aunque	čeprav	aunque	CONJ	CONJ
izvirno	original	izviren	original	ADJ;NOM;NEUT;SG	ADJ;SG
skupine	grupos	skupina	grupo	N;NOM;FEM;PL	N;MASC;PL
skupine	agrupaciones	skupina	agrupación	N;NOM;FEM;PL	N;FEM;PL
francoski	francesa	francoski	francés	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
časa	hora	čas	hora	N;GEN;MASC;SG	N;FEM;SG
časa	tiempo	čas	tiempo	N;GEN;MASC;SG	N;MASC;SG
časa	time	čas	time	N;GEN;MASC;SG	N
smrti	muertes	smrt	muerte	N;NOM;FEM;PL	N;FEM;PL
smrti	defunciones	smrt	defunción	N;NOM;FEM;PL	N;FEM;PL
smrti	fallecimientos	smrt	fallecimiento	N;NOM;FEM;PL	N;MASC;PL
divizija	division	divizija	division	N;NOM;FEM;SG	N;FEM;SG
divizija	división	divizija	división	N;NOM;FEM;SG	N;FEM;SG
pomeni	significa	pomeniti	significar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
kralj	king	kralj	king	N;NOM;MASC;SG	N
kralj	rey	kralj	rey	N;NOM;MASC;SG	N;MASC;SG
http	http	http	http	N;NOM;MASC;SG	N
čas	hora	čas	hora	N;NOM;MASC;SG	N;FEM;SG
čas	tiempo	čas	tiempo	N;NOM;MASC;SG	N;MASC;SG
čas	time	čas	time	N;NOM;MASC;SG	N
palomar	palomar	palomar	palomar	N;NOM;MASC;SG	N;MASC;SG
skozi	mediante	skozi	mediante	ADP;ACC	ADP
ponovno	nuevamente	ponovno	nuevamente	ADV	ADV
osvojil	conquistar	osvojiti	conquistar	V;PFV;MASC;SG;V.PTCP	V;NFIN
začel	comenzó	začeti	comenzar	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
začel	comenzado	začeti	comenzar	V;PFV;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
decembra	diciembre	december	diciembre	N;GEN;MASC;SG	N
približno	aproximadamente	približno	aproximadamente	ADV	ADV
približno	aproximadamente	približno	aproximadamente	ADV	ADV
nemški	alemana	nemški	alemán	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
ljudi	personas	človek	persona	N;ACC;MASC;PL	N;FEM;PL
države	estados	država	estado	N;NOM;FEM;PL	N;MASC;PL
države	paises	država	pais	N;NOM;FEM;PL	N;MASC;PL
države	países	država	país	N;NOM;FEM;PL	N;MASC;PL
maja	mayo	maj	mayo	N;GEN;MASC;SG	N
novo	nuevo	nov	nuevo	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
novo	nueva	nov	nuevo	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
potem	luego	potem	luego	ADV	ADV
potem	entonces	potem	entonces	ADV	ADV
pesem	poema	pesem	poema	N;NOM;FEM;SG	N;MASC;SG
pesem	canto	pesem	canto	N;NOM;FEM;SG	N;MASC;SG
pesem	cancion	pesem	cancionar	N;NOM;FEM;SG	N;FEM;SG
pesem	canción	pesem	canción	N;NOM;FEM;SG	N;FEM;SG
švedska	sueco	švedska	sueco	ADJ;NOM;FEM;SG	ADJ;MASC;SG
krog	circunferencia	krog	circunferencia	N;NOM;MASC;SG	N;FEM;SG
krog	círculo	krog	círculo	N;NOM;MASC;SG	N;MASC;SG
krog	circle	krog	circle	N;NOM;MASC;SG	N
krog	circulo	krog	circulo	N;NOM;MASC;SG	N;MASC;SG
krog	regazo	krog	regazo	N;NOM;MASC;SG	N;MASC;SG
krog	vuelta	krog	vuelta	N;NOM;MASC;SG	N;FEM;SG
krog	redonda	krog	redonda	N;NOM;MASC;SG	N;FEM;SG
krog	ronda	krog	ronda	N;NOM;MASC;SG	N;FEM;SG
krog	round	krog	round	N;NOM;MASC;SG	N;MASC;SG
red	orden	red	orden	N;NOM;MASC;SG	N;MASC;SG
red	encargo	red	encargo	N;NOM;MASC;SG	N;MASC;SG
red	rojo	red	rojo	N;NOM;MASC;SG	N;MASC;SG
red	red	red	red	N;NOM;MASC;SG	N;FEM;SG
član	miembro	član	miembro	N;NOM;MASC;SG	N;MASC;SG
nagrado	recompensa	nagrada	recompensar	N;ACC;FEM;SG	N;FEM;SG
nagrado	premio	nagrada	premio	N;ACC;FEM;SG	N;MASC;SG
nagrado	laudo	nagrada	laudo	N;ACC;FEM;SG	N;MASC;SG
nagrado	adjudicación	nagrada	adjudicación	N;ACC;FEM;SG	N;FEM;SG
nagrado	premio	nagrada	premio	N;ACC;FEM;SG	N;MASC;SG
nagrado	galardón	nagrada	galardón	N;ACC;FEM;SG	N;MASC;SG
glavni	principal	glaven	principal	ADJ;NOM;DEF;MASC;SG	ADJ;SG
wehrmacht	alemania	wehrmacht	alemania	N;NOM;MASC;SG	N;FEM;SG
wehrmacht	wehrmacht	wehrmacht	wehrmacht	N;NOM;MASC;SG	N;FEM;SG
slovenija	eslovenia	slovenija	eslovenia	N;NOM;FEM;SG	N;FEM;SG
ivan	iván	ivan	iván	N;NOM;MASC;SG	N;MASC;SG
knjiga	libro	knjiga	libro	N;NOM;FEM;SG	N;MASC;SG
tam	allí	tam	allí	ADV	ADV
tam	ahí	tam	ahí	ADV	ADV
anderson	anderson	anderson	anderson	N;NOM;MASC;SG	N;MASC;SG
medtem	entretanto	medtem	entretanto	ADV	ADV
njegove	sus	njegov	su	DET;NOM;FEM;PL;3	DET;PL;3
sistem	system	sistem	system	N;NOM;MASC;SG	N
sistem	sistema	sistem	sistema	N;NOM;MASC;SG	N;MASC;SG
večinoma	principalmente	večinoma	principalmente	ADV	ADV
večinoma	principalmente	večinoma	principalmente	ADV	ADV
večinoma	mayormente	večinoma	mayormente	ADV	ADV
oseb	personas	oseba	persona	N;GEN;FEM;PL	N;FEM;PL
januarja	enero	januar	enero	N;GEN;MASC;SG	N
živi	vivir	živeti	vivir	V;IPFV;IND;SG;3;PRS;FIN	V;NFIN
živi	vive	živeti	vivir	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
živi	vive	živeti	vivir	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
julija	julio	julij	julio	N;GEN;MASC;SG	N
julija	yulia	julij	yulia	N;GEN;MASC;SG	N;FEM;SG
julija	julia	julij	julia	N;GEN;MASC;SG	N;FEM;SG
julija	julieta	julij	julieta	N;GEN;MASC;SG	N;FEM;SG
peter	pedro	peter	pedro	N;NOM;MASC;SG	N;MASC;SG
peter	peter	peter	peter	N;NOM;MASC;SG	N;MASC;SG
grad	castillo	grad	castillo	N;NOM;MASC;SG	N;MASC;SG
grad	grad	grad	grad	N;NOM;MASC;SG	N;MASC;SG
grad	posgrado	grad	posgrado	N;NOM;MASC;SG	N;MASC;SG
kmalu	pronto	kmalu	pronto	ADV	ADV
kmalu	próximamente	kmalu	próximamente	ADV	ADV
septembra	setiembre	september	setiembre	N;GEN;MASC;SG	N
septembra	septiembre	september	septiembre	N;GEN;MASC;SG	N
junija	junio	junij	junio	N;GEN;MASC;SG	N
način	modalidad	način	modalidad	N;NOM;MASC;SG	N;FEM;SG
način	mode	način	mode	N;NOM;MASC;SG	N
način	modo	način	modo	N;NOM;MASC;SG	N;MASC;SG
način	manera	način	manera	N;NOM;MASC;SG	N;FEM;SG
način	camino	način	camino	N;NOM;MASC;SG	N;MASC;SG
način	way	način	way	N;NOM;MASC;SG	N
imen	nombres	ime	nombre	N;GEN;NEUT;PL	N;MASC;PL
mesa	carne	meso	carne	N;GEN;NEUT;SG	N;FEM;SG
film	pelicula	film	pelicula	N;NOM;MASC;SG	N;FEM;SG
film	cine	film	cine	N;NOM;MASC;SG	N;MASC;SG
film	movie	film	movie	N;NOM;MASC;SG	N;SG
film	película	film	película	N;NOM;MASC;SG	N;FEM;SG
film	pelicula	film	pelicula	N;NOM;MASC;SG	N;FEM;SG
film	cine	film	cine	N;NOM;MASC;SG	N;MASC;SG
film	película	film	película	N;NOM;MASC;SG	N;FEM;SG
film	film	film	film	N;NOM;MASC;SG	N;MASC;SG
oktobra	octubre	oktober	octubre	N;GEN;MASC;SG	N
občine	ayuntamientos	občina	ayuntamiento	N;NOM;FEM;PL	N;MASC;PL
občine	municipios	občina	municipio	N;NOM;FEM;PL	N;MASC;PL
občine	municipalidades	občina	municipalidad	N;NOM;FEM;PL	N;FEM;PL
brigada	brigada	brigada	brigada	N;NOM;FEM;SG	N;FEM;SG
vrste	especies	vrsta	especie	N;NOM;FEM;PL	N;FEM;PL
vrste	tipos	vrsta	tipo	N;NOM;FEM;PL	N;MASC;PL
sveta	sveta	svet	sveta	N;NOM;MASC;SG	N;FEM;SG
sveta	concilio	svet	concilio	N;NOM;MASC;SG	N;MASC;SG
sveta	consejo	svet	consejo	N;NOM;MASC;SG	N;MASC;SG
sveta	concejo	svet	concejo	N;NOM;MASC;SG	N;MASC;SG
svetovna	mundial	svetoven	mundial	ADJ;NOM;FEM;SG	ADJ;SG
svetovna	mundial	svetoven	mundial	ADJ;NOM;FEM;SG	ADJ;SG
svetovna	mundial	svetoven	mundial	ADJ;NOM;FEM;SG	ADJ;SG
svetovna	global	svetoven	global	ADJ;NOM;FEM;SG	ADJ;SG
marca	marcha	marec	marcha	N;GEN;MASC;SG	N;FEM;SG
marca	marzo	marec	marzo	N;GEN;MASC;SG	N
sin	hijo	sin	hijo	N;NOM;MASC;SG	N;MASC;SG
verjetno	probablemente	verjetno	probablemente	ADV	ADV
njihova	su	njihov	su	DET;NOM;FEM;SG;3	DET;SG;3
pot	sendero	pot	sendero	N;NOM;FEM;SG	N;MASC;SG
pot	path	pot	path	N;NOM;FEM;SG	N
pot	camino	pot	camino	N;NOM;FEM;SG	N;MASC;SG
pot	surco	pot	surco	N;NOM;FEM;SG	N;MASC;SG
pot	ruta	pot	ruta	N;NOM;FEM;SG	N;FEM;SG
pot	road	pot	road	N;NOM;FEM;SG	N;MASC
pot	camino	pot	camino	N;NOM;FEM;SG	N;MASC;SG
pot	carretera	pot	carretera	N;NOM;FEM;SG	N;FEM;SG
pot	manera	pot	manera	N;NOM;FEM;SG	N;FEM;SG
pot	camino	pot	camino	N;NOM;FEM;SG	N;MASC;SG
pot	way	pot	way	N;NOM;FEM;SG	N
houten	houten	houten	houten	N;NOM;MASC;SG	N
avgusta	agosto	avgust	agosto	N;GEN;MASC;SG	N
aprila	abril	april	abril	N;GEN;MASC;SG	N
vsebuje	contener	vsebovati	contener	V;IPFV;IND;SG;3;PRS;FIN	V;NFIN
vsebuje	contiene	vsebovati	contener	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
umrl	morir	umreti	morir	V;PFV;MASC;SG;V.PTCP	V;NFIN
umrl	muera	umreti	morir	V;PFV;MASC;SG;V.PTCP	V;IMP;SG;3;FIN
umrl	muere	umreti	morir	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PRS;FIN
umrl	murió	umreti	morir	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
umrl	murio	umreti	murio	V;PFV;MASC;SG;V.PTCP	V;IND;SG;1;PRS;FIN
predsednik	president	predsednik	president	N;NOM;MASC;SG	N;MASC;SG
predsednik	presidenta	predsednik	presidenta	N;NOM;MASC;SG	N;FEM;SG
predsednik	presidente	predsednik	presidente	N;NOM;MASC;SG	N;MASC;SG
predsednik	presidenta	predsednik	presidenta	N;NOM;MASC;SG	N;FEM;SG
predsednik	presidente	predsednik	presidente	N;NOM;MASC;SG	N;MASC;SG
večina	most	večina	most	N;NOM;FEM;SG	N
večina	mayoría	večina	mayoría	N;NOM;FEM;SG	N;FEM;SG
večina	mayoria	večina	mayoria	N;NOM;FEM;SG	N;FEM;SG
generalov	generales	general	general	N;GEN;MASC;PL	N;MASC;PL
pogovor	debate	pogovor	debate	N;NOM;MASC;SG	N;MASC;SG
pogovor	discusión	pogovor	discusión	N;NOM;MASC;SG	N;FEM;SG
pogovor	conversación	pogovor	conversación	N;NOM;MASC;SG	N;FEM;SG
pogovor	talk	pogovor	talk	N;NOM;MASC;SG	N
pogovor	charla	pogovor	charla	N;NOM;MASC;SG	N;FEM;SG
razvoj	desarrollo	razvoj	desarrollo	N;NOM;MASC;SG	N;MASC;SG
razvoj	evolution	razvoj	evolution	N;NOM;MASC;SG	N
razvoj	evolución	razvoj	evolución	N;NOM;MASC;SG	N;FEM;SG
velike	grandes	velik	grande	ADJ;NOM;FEM;PL	ADJ;PL
velike	grandes	velik	grande	ADJ;NOM;FEM;PL	ADJ;PL
imela	tenía	imeti	tener	V;IPFV;FEM;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
imela	tuvo	imeti	tener	V;IPFV;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
uradna	oficial	uraden	oficial	ADJ;NOM;FEM;SG	ADJ;SG
album	álbum	album	álbum	N;NOM;MASC;SG	N;MASC;SG
album	album	album	album	N;NOM;MASC;SG	N;MASC;SG
album	disco	album	disco	N;NOM;MASC;SG	N;MASC;SG
ampak	sino	ampak	sino	CONJ	CONJ
ampak	pero	ampak	pero	CONJ	CONJ
novembra	noviembre	november	noviembre	N;GEN;MASC;SG	N
napisal	escribí	napisati	escribir	V;PFV;MASC;SG;V.PTCP	V;IND;SG;1;PST;FIN
napisal	escribió	napisati	escribir	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
napisal	escribía	napisati	escribir	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
roman	roman	roman	romar	N;NOM;MASC;SG	N
roman	román	roman	román	N;NOM;MASC;SG	N;MASC;SG
roman	novela	roman	novela	N;NOM;MASC;SG	N;FEM;SG
dobil	tengo	dobiti	tener	V;PFV;MASC;SG;V.PTCP	V;IND;SG;1;PRS;FIN
dobil	consiguió	dobiti	conseguir	V;PFV;MASC;SG;V.PTCP	V;IND;SG;3;PST;FIN
dobil	conseguir	dobiti	conseguir	V;PFV;MASC;SG;V.PTCP	V;NFIN
