som	wie	som	wie	ADP	ADP
store	große	stor	groß	ADJ;PL	ADJ;NOM;FEM;PL
store	groß	stor	groß	ADJ;PL	ADJ
kjent	bekannter	kjent	bekannter	ADJ;INDF;NEUT;SG	ADJ
kjent	bekannt	kjent	bekennen	ADJ;INDF;NEUT;SG	ADJ
kjent	vertraut	kjent	vertraut	ADJ;INDF;NEUT;SG	ADJ
kjent	vertrauter	kjent	vertraut	ADJ;INDF;NEUT;SG	ADJ
bare	lediglich	bare	lediglich	ADV	ADV
bare	nur	bare	nur	ADV	ADV
bare	gerade	bare	gerade	ADV	ADV
bare	eben	bare	eben	ADV	ADV
bare	nur	bare	nur	ADV	ADV
bare	einfach	bare	einfach	ADV	ADV
kommune	pfarrkirche	kommune	pfarrkirche	N;INDF;MASC;SG	N;NOM;FEM;SG
kommune	gemeinde	kommune	gemeinde	N;INDF;MASC;SG	N;NOM;FEM;SG
kommune	gemeinde	kommune	gemeinde	N;INDF;MASC;SG	N;NOM;FEM;SG
kommune	kommune	kommune	kommun	N;INDF;MASC;SG	N;NOM;FEM;SG
gjennom	durch	gjennom	durch	ADP	ADP
slik	so	slik	so	ADV	ADV
mens	während	mens	während	CONJ	CONJ
rundt	um	rundt	um	ADP	ADP
her	hierher	her	hierher	ADV	ADV
her	hier	her	hier	ADV	ADV
når	wann	når	wann	ADV	ADV
både	sowohl	både	sowohl	CONJ	CONJ
gikk	gingen	gå	gehen	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
gikk	gegangen	gå	gehen	V;IND;PST;FIN	V;V.PTCP
gikk	ging	gå	gehen	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
gikk	gelaufen	gå	laufen	V;IND;PST;FIN	V;V.PTCP
gikk	ging	gå	gehen	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
gikk	lief	gå	laufen	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
navn	name	navn	Name	N;INDF;NEUT;SG	N;NOM;SG
meter	messgeräte	meter	meßgerät	N;INDF;MASC;PL	N;NOM;FEM;PL
dag	tag	dag	tagen	N;INDF;MASC;SG	N;NOM;MASC;SG
dag	tages	dag	tagen	N;INDF;MASC;SG	N;NOM;MASC;SG
navnet	name	navn	Name	N;DEF;NEUT;SG	N;NOM;SG
bli	bleiben	bli	bleiben	V;IMP;FIN	V;NFIN
nye	neuer	ny	neu	ADJ;PL	ADJ
nye	neue	ny	neu	ADJ;PL	ADJ;NOM;FEM;PL
nye	neu	ny	neu	ADJ;PL	ADJ
mest	meisten	mykje	meist	ADJ;INDF;RL	ADJ;NOM;INDF;PL
mest	überwiegend	mykje	überwiegend	ADJ;INDF;RL	ADJ
mest	hauptsächlich	mykje	hauptsächlich	ADJ;INDF;RL	ADJ
stor	groß	stor	groß	ADJ;INDF;SG	ADJ
stor	großer	stor	groß	ADJ;INDF;SG	ADJ
stor	groß	stor	groß	ADJ;INDF;SG	ADJ
stor	großes	stor	groß	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
stor	gewaltig	stor	gewaltig	ADJ;INDF;SG	ADJ
stor	riesig	stor	riesig	ADJ;INDF;SG	ADJ
stor	riesigen	stor	riesig	ADJ;INDF;SG	ADJ
siste	letzte	sist	letzt	ADJ;DEF;SG	ADJ;NOM;FEM;SG
siste	letzter	sist	letzt	ADJ;DEF;SG	ADJ;NOM;MASC;SG
siste	letztes	sist	letzt	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
siste	endgültig	sist	endgültig	ADJ;DEF;SG	ADJ
siste	endgültigen	sist	endgültig	ADJ;DEF;SG	ADJ
siste	letzte	sist	letzt	ADJ;DEF;SG	ADJ;NOM;FEM;SG
siste	neuesten	sist	neu	ADJ;DEF;SG	ADJ
siste	letzte	sist	letzt	ADJ;DEF;SG	ADJ;NOM;FEM;SG
tok	nahm	ta	nehmen	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
tok	nahmen	ta	nehmen	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
ofte	häufig	ofte	häufig	ADJ	ADJ
ofte	häufiger	ofte	häufig	ADJ	ADJ
ofte	häufig	ofte	häufig	ADJ	ADJ
mål	ziel	mål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;SG
går	spazieren	gå	spazieren	V;IND;PRS;FIN	V;NFIN
går	wanderungen	gå	wanderung	V;IND;PRS;FIN	V;NFIN
går	wandern	gå	wandern	V;IND;PRS;FIN	V;NFIN
går	gehe	gå	gehen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
går	gehen	gå	gehen	V;IND;PRS;FIN	V;NFIN
går	geht	gå	gehen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
går	wanderungen	gå	wanderung	V;IND;PRS;FIN	V;NFIN
totalt	total	total	total	ADJ;INDF;NEUT;SG	ADJ
totalt	völlig	total	völlig	ADJ;INDF;NEUT;SG	ADJ
totalt	gesamtbetrag	total	gesamtbetrag	ADJ;INDF;NEUT;SG	ADJ;V.PTCP
totalt	gesamtsumme	total	gesamtsumme	ADJ;INDF;NEUT;SG	ADJ
fire	vier	fire	vier	NUM;PL	NUM
største	größter	stor	groß	ADJ;DEF;RL	ADJ
største	größte	stor	groß	ADJ;DEF;RL	ADJ;NOM;FEM;SG
største	grösste	stor	groß	ADJ;DEF;RL	ADJ;NOM;SG
største	größten	stor	groß	ADJ;DEF;RL	ADJ;NOM;MASC;SG
største	größtes	stor	groß	ADJ;DEF;RL	ADJ;NOM;NEUT;SG
største	größte	stor	groß	ADJ;DEF;RL	ADJ;NOM;FEM;SG
største	größten	stor	groß	ADJ;DEF;RL	ADJ;NOM;MASC;SG
største	größter	stor	groß	ADJ;DEF;RL	ADJ
største	größte	stor	groß	ADJ;DEF;RL	ADJ;NOM;FEM;SG
største	grösste	stor	groß	ADJ;DEF;RL	ADJ;NOM;SG
største	größten	stor	groß	ADJ;DEF;RL	ADJ;NOM;MASC;SG
største	größtes	stor	groß	ADJ;DEF;RL	ADJ;NOM;NEUT;SG
gruppen	gruppe	grupp	grappe	N;DEF;MASC;SG	N;NOM;FEM;SG
gruppen	gruppierung	grupp	gruppierung	N;DEF;MASC;SG	N;NOM;FEM;SG
gruppen	unternehmensgruppe	grupp	unternehmensgruppe	N;DEF;MASC;SG	N;NOM;FEM;SG
deltok	teilgenommen	delta	teilnehmen	V;IND;PST;FIN	V;V.PTCP
deltok	besucht	delta	besuchen	V;IND;PST;FIN	V;V.PTCP
deltok	teilnahmen	delta	teilnehmen	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
deltok	besuchte	delta	besuchen	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
deltok	teilgenommen	delta	teilnehmen	V;IND;PST;FIN	V;V.PTCP
deltok	teilnahmen	delta	teilnehmen	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
igjen	wieder	igjen	wieder	ADV	ADV
laget	team	lag	team	N;DEF;NEUT;SG	N;NOM;NEUT;SG
først	zuerst	først	zuerst	ADV	ADV
liste	liste	liste	lassen	N;INDF;FEM;SG	N;NOM;FEM;SG
liste	aufstellung	liste	aufstellingen	N;INDF;FEM;SG	N;NOM;FEM;SG
side	seite	side	seit	N;INDF;FEM;SG	N
side	seite	side	seit	N;INDF;FEM;SG	N
beste	besten	god	gut	ADJ;DEF;RL	ADJ
beste	schönste	god	schön	ADJ;DEF;RL	ADJ;NOM;FEM;SG
beste	bestes	god	gut	ADJ;DEF;RL	ADJ;NOM;NEUT;SG
beste	beste	god	gut	ADJ;DEF;RL	ADJ;NOM;FEM;PL
amerikansk	amerikaner	amerikansk	amerikaner	ADJ;INDF;SG	ADJ
amerikansk	amerikanisches	amerikansk	amerikanisch	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
amerikansk	amerikanisch	amerikansk	amerikanisch	ADJ;INDF;SG	ADJ
spilte	spielte	spilte	spielen	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
spilte	gespielt	spilte	spielen	V;IND;PST;FIN	V;V.PTCP
spilte	abgespielt	spilte	abspielen	V;IND;PST;FIN	V;V.PTCP
mindre	kleiner	liten	klein	ADJ;CMPR	ADJ
mindre	kleineren	liten	klein	ADJ;CMPR	ADJ
mindre	kleinerer	liten	klein	ADJ;CMPR	ADJ
mindre	kleinere	liten	klein	ADJ;CMPR	ADJ;NOM;FEM;PL
mindre	minderjährigen	liten	minderjährig	ADJ;CMPR	ADJ;NOM;PL
mindre	kleinere	liten	klein	ADJ;CMPR	ADJ;NOM;FEM;PL
mindre	minderjährige	liten	minderjährig	ADJ;CMPR	ADJ;NOM;FEM;PL
mindre	abzüglich	liten	abzüglich	ADJ;CMPR	ADJ
rekke	serie	rekke	serie	N;INDF;FEM;SG	N;NOM;FEM;SG
tillegg	zugabe	tillegg	zugabe	N;INDF;NEUT;SG	N;SG
arter	arten	arter	arten	N;INDF;FEM;PL	N;PL
området	fläche	område	fläche	N;DEF;NEUT;SG	N;NOM;FEM;SG
lag	team	lag	team	N;INDF;NEUT;SG	N;NOM;NEUT;SG
tatt	kaputt	ta	kaputt	ADJ;INDF;NEUT;SG;V.PTCP	ADJ
bruk	verwendung	bruk	verwendung	N;INDF;MASC;SG	N;SG
bruk	nutzung	bruk	nutzung	N;INDF;MASC;SG	N;NOM;FEM;SG
øst	ost	øs	ost	N;INDF;NEUT;SG	N;NOM;NEUT
øst	ost	øs	ost	N;INDF;NEUT;SG	N;NOM;NEUT
døde	tot	død	tot	ADJ;PL	ADJ
county	landkreis	county	landkreis	N;INDF;SG	N
større	größer	stor	groß	ADJ;CMPR	ADJ
større	grösser	stor	groß	ADJ;CMPR	ADJ
større	grössere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
større	größeren	stor	groß	ADJ;CMPR	ADJ
større	größere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
større	größer	stor	groß	ADJ;CMPR	ADJ
større	größere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
større	größer	stor	groß	ADJ;CMPR	ADJ
større	grössere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
større	grösser	stor	groß	ADJ;CMPR	ADJ
større	größere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
begynte	begonnen	begynne	beginnen	V;IND;PST;FIN	V;V.PTCP
begynte	angefangen	begynne	anfangen	V;IND;PST;FIN	V;V.PTCP
begynte	begann	begynne	beginnen	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
begynte	gestartet	begynne	starten	V;IND;PST;FIN	V;V.PTCP
begynte	begonnen	begynne	beginnen	V;IND;PST;FIN	V;V.PTCP
begynte	begannen	begynne	beginnen	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
begynte	begann	begynne	beginnen	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
derfor	deshalb	derfor	deshalb	ADV	ADV
derfor	darum	derfor	darum	ADV	ADV
derfor	somit	derfor	somit	ADV	ADV
derfor	daher	derfor	daher	ADV	ADV
gamle	alten	gammal	alt	ADJ;PL	ADJ;NOM;MASC;PL
gamle	alte	gammal	alt	ADJ;PL	ADJ;NOM;FEM;PL
gamle	altstadt	gammal	altstadt	ADJ;PL	ADJ
gamle	alter	gammal	alt	ADJ;PL	ADJ
gamle	alt	gammal	alt	ADJ;PL	ADJ
artikler	satzung	artikke	satzung	N;INDF;FEM;PL	N
gjorde	tat	gjere	tun	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
familien	familie	familie	familie	N;DEF;MASC;SG	N;NOM;FEM;SG
amerikanske	amerikanische	amerikansk	amerikanisch	ADJ;PL	ADJ;NOM;FEM;PL
amerikanske	amerikaner	amerikansk	amerikaner	ADJ;PL	ADJ
amerikanske	amerikanischen	amerikansk	amerikanisch	ADJ;PL	ADJ;NOM;PL
amerikanske	amerikanisch	amerikansk	amerikanisch	ADJ;PL	ADJ
kjente	bekannter	kjent	bekannter	ADJ;PL	ADJ
kjente	bekannt	kjent	bekennen	ADJ;PL	ADJ
kjente	bekannte	kjent	bekannt	ADJ;PL	ADJ;NOM;PL
kjente	bekannten	kjent	bekannt	ADJ;PL	ADJ;PL
får	bekommen	få	bekommen	V;IND;PRS;FIN	V;NFIN
svært	extrem	svær	extrem	ADJ;INDF;NEUT;SG	ADJ
svært	außerordentlich	svær	außerordentlich	ADJ;INDF;NEUT;SG	ADJ
litt	geringfügig	litt	geringfügig	ADJ;INDF;NEUT;SG	ADJ
litt	leicht	litt	leicht	ADJ;INDF;NEUT;SG	ADJ
ser	anschauen	sjå	anschauen	V;IND;PRS;FIN	V;NFIN
ser	zuschauen	sjå	zuschauen	V;IND;PRS;FIN	V;NFIN
ser	schaue	sjå	schau	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
ser	beobachten	sjå	beobachten	V;IND;PRS;FIN	V;NFIN
ulike	verschieden	ulik	verschieden	ADJ;PL	ADJ
ulike	verschiedenen	ulik	verschieden	ADJ;PL	ADJ;NOM;PL
ulike	unterschiedliche	ulik	unterschiedlich	ADJ;PL	ADJ;NOM;FEM;PL
ulike	unterschiedlich	ulik	unterschiedlich	ADJ;PL	ADJ
ulike	verschiedene	ulik	verschieden	ADJ;PL	ADJ;NOM;FEM;PL
score	punktzahl	score	punktzahl	N;INDF;NEUT;SG	N
score	filmmusik	score	filmmusik	N;INDF;NEUT;SG	N
gruppe	gruppe	gruppe	grappe	N;INDF;FEM;SG	N;NOM;FEM;SG
gruppe	gruppierung	gruppe	gruppierung	N;INDF;FEM;SG	N;NOM;FEM;SG
gruppe	unternehmensgruppe	gruppe	unternehmensgruppe	N;INDF;FEM;SG	N;NOM;FEM;SG
deretter	dann	deretter	dann	ADV	ADV
deretter	damals	deretter	damals	ADV	ADV
deretter	danach	deretter	danach	ADV	ADV
deretter	demzufolge	deretter	demzufolge	ADV	ADV
lang	lang	lang	lang	ADJ;INDF;SG	ADJ
lang	lang	lang	lang	ADJ;INDF;SG	ADJ
lang	langen	lang	lang	ADJ;INDF;SG	ADJ
lang	langer	lang	lang	ADJ;INDF;SG	ADJ
fem	fünf	fem	fünf	NUM;PL	NUM
per	pro	per	pro	ADP	ADP
per	per	per	per	ADP	ADP
dermed	somit	dermed	somit	ADV	ADV
dermed	daher	dermed	daher	ADV	ADV
særlig	speziell	særlig	speziell	ADJ;INDF;NEUT;SG	ADJ
nok	genügend	nok	genügend	ADV	ADV
nok	ausreichend	nok	ausreichend	ADV	ADV
nok	genug	nok	genug	ADV	ADV
deler	sektionen	del	sektion	N;INDF;MASC;PL	N;NOM;FEM;PL
fordi	weil	fordi	weil	CONJ	CONJ
står	stehen	stå	stehen	V;IND;PRS;FIN	V;NFIN
står	steht	stå	stehen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
året	jahr	år	Jahr	N;DEF;NEUT;SG	N;NOM;NEUT;SG
året	jahres	år	jahres	N;DEF;NEUT;SG	N;NOM;NEUT;SG
perioden	periode	periode	periode	N;DEF;MASC;SG	N;SG
består	besteht	bestå	bestehen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
sønn	sohn	sønn	sohnen	N;INDF;MASC;SG	N;NOM;MASC;SG
språk	sprache	språk	sprechen	N;INDF;NEUT;SG	N;NOM;FEM;SG
språk	sprache	språk	sprechen	N;INDF;NEUT;SG	N;NOM;FEM;SG
nasjonale	nationaler	nasjonal	national	ADJ;PL	ADJ
nasjonale	nationale	nasjonal	national	ADJ;PL	ADJ;NOM;FEM;PL
nasjonale	nationalen	nasjonal	national	ADJ;PL	ADJ;NOM
nasjonale	national	nasjonal	national	ADJ;PL	ADJ
forfatter	autor	forfatter	autor	N;INDF;FEM;SG	N;NOM;MASC;SG
fil	akten	fil	akt	N;INDF;MASC;SG	N
menn	männer	mann	männer	N;INDF;MASC;PL	N;NOM;MASC;PL
menn	herren	mann	herr	N;INDF;MASC;PL	N;NOM;PL
barn	kinder	barn	kinder	N;INDF;NEUT;PL	N;NOM;NEUT;PL
barn	kindern	barn	kindern	N;INDF;NEUT;PL	N;NOM;NEUT;PL
barn	kinder	barn	kinder	N;INDF;NEUT;PL	N;NOM;NEUT;PL
barn	kindern	barn	kindern	N;INDF;NEUT;PL	N;NOM;NEUT;PL
kamper	übereinstimmungen	kamp	übereinstimmung	N;INDF;FEM;PL	N;NOM;FEM;PL
kamper	spiele	kamp	spiel	N;INDF;FEM;PL	N;NOM;NEUT;PL
kamper	spiele	kamp	spiel	N;INDF;FEM;PL	N;NOM;NEUT;PL
spiller	spielt	spille	spielen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
spiller	abspielen	spille	abspielen	V;IND;PRS;FIN	V;NFIN
spiller	spielen	spille	spielen	V;IND;PRS;FIN	V;NFIN
personer	personen	person	Person	N;INDF;FEM;PL	N;NOM;FEM;PL
personer	leute	person	leute	N;INDF;FEM;PL	N;NOM;PL
personer	menschen	person	menschen	N;INDF;FEM;PL	N;NOM;PL
personer	personen	person	Person	N;INDF;FEM;PL	N;NOM;FEM;PL
gir	geben	gi	geben	V;IND;PRS;FIN	V;NFIN
gir	geben	gi	geben	V;IND;PRS;FIN	V;NFIN
gir	gib	gi	gib	V;IND;PRS;FIN	V;IND;SG;2;PRS;FIN
gir	schenken	gi	schenken	V;IND;PRS;FIN	V;NFIN
gjort	fertig	gjere	fertig	ADJ;INDF;NEUT;SG;V.PTCP	ADJ
godt	guten	god	gut	ADJ;INDF;NEUT;SG	ADJ;SG
godt	gute	god	gut	ADJ;INDF;NEUT;SG	ADJ;NOM;SG
godt	guter	god	gut	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC
godt	gutes	god	gut	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
godt	gut	god	gut	ADJ;INDF;NEUT;SG	ADJ
forskjellige	verschieden	forskjellig	verschieden	ADJ;PL	ADJ
forskjellige	verschiedenen	forskjellig	verschieden	ADJ;PL	ADJ;NOM;PL
forskjellige	unterschiedliche	forskjellig	unterschiedlich	ADJ;PL	ADJ;NOM;FEM;PL
forskjellige	unterschiedlich	forskjellig	unterschiedlich	ADJ;PL	ADJ
forskjellige	verschiedene	forskjellig	verschieden	ADJ;PL	ADJ;NOM;FEM;PL
historie	erzählung	historie	erzählung	N;INDF;FEM;SG	N;FEM;SG
bak	hinter	bak	hinter	ADP	ADP
samtidig	zeitgleich	samtidig	zeitgleich	ADJ;INDF;NEUT;SG	ADJ
samtidig	gleichzeitig	samtidig	gleichzeitig	ADJ;INDF;NEUT;SG	ADJ
samtidig	simultan	samtidig	simultan	ADJ;INDF;NEUT;SG	ADJ
university	hochschule	university	hochschule	N;INDF;NEUT;SG	N;NOM;FEM;SG
tredje	dritter	tredje	dritt	ADJ;DEF;SG	ADJ
tredje	drittel	tredje	Drittel	ADJ;DEF;SG	ADJ;NOM
tredje	dritten	tredje	dritt	ADJ;DEF;SG	ADJ;ACC;MASC;SG
stort	groß	stor	groß	ADJ;INDF;NEUT;SG	ADJ
stort	großer	stor	groß	ADJ;INDF;NEUT;SG	ADJ
stort	groß	stor	groß	ADJ;INDF;NEUT;SG	ADJ
stort	großes	stor	groß	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
gjerne	gerne	gjerne	gerne	ADV	ADV
slekt	familie	slekkje	familie	N;INDF;FEM;SG	N;NOM;FEM;SG
viser	zeigen	vise	zeigen	V;IND;PRS;FIN	V;NFIN
viser	angezeigt	vise	anzeigen	V;IND;PRS;FIN	V;V.PTCP
viser	zeigt	vise	zeigen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
viktig	wichtig	viktig	wichtig	ADJ;INDF;NEUT;SG	ADJ
viktig	wichtiges	viktig	wichtig	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
viktig	wichtiger	viktig	wichtig	ADJ;INDF;NEUT;SG	ADJ
viktig	wichtigen	viktig	wichtig	ADJ;INDF;NEUT;SG	ADJ
mulig	möglichen	mulig	möglich	ADJ;INDF;NEUT;SG	ADJ
mulig	möglicher	mulig	möglich	ADJ;INDF;NEUT;SG	ADJ
mulig	möglich	mulig	möglich	ADJ;INDF;NEUT;SG	ADJ
britiske	britischen	britisk	britisch	ADJ;PL	ADJ;NOM;MASC;PL
britiske	britische	britisk	britisch	ADJ;PL	ADJ;NOM;FEM;PL
britiske	britisch	britisk	britisch	ADJ;PL	ADJ
langt	weit	lang	weit	ADJ;INDF;NEUT;SG	ADJ
allerede	schon	allerede	schon	ADV	ADV
allerede	bereits	allerede	bereits	ADV	ADV
sesongen	spielzeit	sesong	spielzeit	N;DEF;MASC;SG	N;NOM;SG
sesongen	saison	sesong	saison	N;DEF;MASC;SG	N;NOM;FEM;SG
liten	kleines	liten	klein	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
liten	kleiner	liten	klein	ADJ;INDF;MASC;SG	ADJ
liten	klein	liten	klein	ADJ;INDF;MASC;SG	ADJ
liten	kleiner	liten	klein	ADJ;INDF;MASC;SG	ADJ
liten	klein	liten	klein	ADJ;INDF;MASC;SG	ADJ
kanskje	möglicherweise	kanskje	möglicherweise	ADV	ADV
kanskje	eventuell	kanskje	eventuell	ADV	ADV
kanskje	vielleicht	kanskje	vielleicht	ADV	ADV
kanskje	möglicherweise	kanskje	möglicherweise	ADV	ADV
kanskje	eventuell	kanskje	eventuell	ADV	ADV
kanskje	vielleicht	kanskje	vielleicht	ADV	ADV
tidlig	früh	tidlig	früh	ADJ;INDF;NEUT;SG	ADJ
tidlig	frühen	tidlig	früh	ADJ;INDF;NEUT;SG	ADJ
tidlig	früher	tidlig	früher	ADJ;INDF;NEUT;SG	ADJ
form	form	form	form	N;INDF;FEM;SG	N;SG
millioner	millionen	million	million	N;INDF;MASC;PL	N;NOM;FEM;PL
krigen	krieg	krig	kriegen	N;DEF;MASC;SG	N
langs	entlang	langs	entlang	ADP	ADP
basert	basierend	basere	basierend	ADJ;INDF;SG;V.PTCP	ADJ
yrke	beruf	yrke	beruf	N;INDF;NEUT;SG	N;SG
små	kleiner	liten	klein	ADJ;PL	ADJ
små	kleine	liten	klein	ADJ;PL	ADJ;NOM;FEM;PL
små	kleinen	liten	klein	ADJ;PL	ADJ;PL
små	klein	liten	klein	ADJ;PL	ADJ
spesielt	spezifisch	spesiell	spezifisch	ADJ;INDF;NEUT;SG	ADJ
spesielt	konkret	spesiell	konkret	ADJ;INDF;NEUT;SG	ADJ
spesielt	speziell	spesiell	speziell	ADJ;INDF;NEUT;SG	ADJ
spesielt	speziell	spesiell	speziell	ADJ;INDF;NEUT;SG	ADJ
spesielt	besonderes	spesiell	besonder	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
spesielt	spezielles	spesiell	speziell	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
spesielt	speziell	spesiell	speziell	ADJ;INDF;NEUT;SG	ADJ
kvinner	weibchen	kvinne	weibchen	N;INDF;FEM;PL	N;NOM;FEM;PL
god	guten	god	gut	ADJ;INDF;SG	ADJ;SG
god	gute	god	gut	ADJ;INDF;SG	ADJ;NOM;SG
god	guter	god	gut	ADJ;INDF;SG	ADJ;NOM;MASC
god	gutes	god	gut	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
god	gut	god	gut	ADJ;INDF;SG	ADJ
fortsatt	still	fortsatt	still	ADJ;INDF;NEUT;SG	ADJ
nytt	neuer	ny	neu	ADJ;INDF;NEUT;SG	ADJ
nytt	neu	ny	neu	ADJ;INDF;NEUT;SG	ADJ
nytt	neuen	ny	neu	ADJ;INDF;NEUT;SG	ADJ;ACC;MASC;SG
nytt	neues	ny	neu	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
vanlig	regulär	vanlig	regulär	ADJ;INDF;NEUT;SG	ADJ
vanlig	regelmäßiger	vanlig	regelmäßig	ADJ;INDF;NEUT;SG	ADJ
vanlig	regelmäßig	vanlig	regelmäßig	ADJ;INDF;NEUT;SG	ADJ
vanlig	gemeinsamen	vanlig	gemeinsam	ADJ;INDF;NEUT;SG	ADJ;SG
vanlig	häufig	vanlig	häufig	ADJ;INDF;NEUT;SG	ADJ
vanlig	allgemein	vanlig	allgemein	ADJ;INDF;NEUT;SG	ADJ
vanlig	gemeinsames	vanlig	gemeinsam	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
vanlig	gewöhnlichen	vanlig	gewöhnlich	ADJ;INDF;NEUT;SG	ADJ
vanlig	normalen	vanlig	normal	ADJ;INDF;NEUT;SG	ADJ
vanlig	üblich	vanlig	üblich	ADJ;INDF;NEUT;SG	ADJ
vanlig	üblichen	vanlig	üblich	ADJ;INDF;NEUT;SG	ADJ
vanlig	gewöhnlich	vanlig	gewöhnlich	ADJ;INDF;NEUT;SG	ADJ
vanlig	normal	vanlig	normal	ADJ;INDF;NEUT;SG	ADJ
bilder	bilder	bilder	Bild	N;INDF;FEM;PL	N;NOM;NEUT;PL
