על	について	על	について	ADP	ADP
ספר	床屋	ספר	床屋	N;MASC;SG	N
אולם	しかし	אולם	しかし	CONJ	CONJ
יום	一日	יום	一日	N;MASC;SG	N
אלה	これら	אלה	これら	PRO;MASC;PL;3	PRO
אלה	これら	אלה	これら	PRO;MASC;PL;3	PRO
כבר	すでに	כבר	すでに	ADV	ADV
כבר	既に	כבר	既に	ADV	ADV
מקום	会場	מקום	会場	N;MASC;SG	N
מקום	場所	מקום	場所	N;MASC;SG	N
מקום	スポット	מקום	スポット	N;MASC;SG	N
רבות	多数	רב	多数	N;FEM;PL	N
שנת	イヤー	שנה	イヤー	N;PSSD;FEM;SG	N
בעלי	主人	בעל	主人	N;PSSD;MASC;PL	N
בעל	主人	בעל	主人	N;MASC;SG	N
תמונה	フォト	תמונה	フォト	N;FEM;SG	N
תמונה	写真	תמונה	写真	N;FEM;SG	N
תמונה	画像	תמונה	画像	N;FEM;SG	N
תמונה	イメージ	תמונה	イメージ	N;FEM;SG	N
תמונה	画像	תמונה	画像	N;FEM;SG	N
תמונה	写真	תמונה	写真	N;FEM;SG	N
כתב	リポーター	כתב	リポーター	N;MASC;SG	N
כתב	レポーター	כתב	レポーター	N;MASC;SG	N
אחרות	他の	אחר	他の	ADJ;FEM;PL	ADJ
החברה	社会	החברה	社会	N;FEM;SG	N
החברה	会社	החברה	会社	N;FEM;SG	N
מערכת	システム	מערכת	システム	N;FEM;SG	N
עבר	過去	עבר	過去	N;MASC;SG	N
מרכז	中央	מרכז	中央	N;MASC;SG	N
מרכז	センター	מרכז	センター	N;MASC;SG	N
מרכז	中央	מרכז	中央	N;MASC;SG	N
מרכז	中心	מרכז	中心	N;MASC;SG	N
מרכז	中央	מרכז	中央	N;MASC;SG	N
מרכז	センター	מרכז	センター	N;MASC;SG	N
מרכז	中心	מרכז	中心	N;MASC;SG	N
רוב	過半数	רוב	過半数	N;MASC;SG	N
כולל	含む	כלל	含む	V;MASC;SG;V.PTCP;ACT	V
כולל	含む	כלל	含む	V;MASC;SG;V.PTCP;ACT	V
גדול	大きい	גדול	大きい	ADJ;MASC;SG	ADJ
גדול	大きな	גדול	大きな	ADJ;MASC;SG	ADJ
גדול	大きい	גדול	大きい	ADJ;MASC;SG	ADJ
סוג	種類	סוג	種類	N;MASC;SG	N
סוג	タイプ	סוג	タイプ	N;MASC;SG	N
מידע	情報	מידע	情報	N;MASC;SG	N
מידע	情報	מידע	情報	N;MASC;SG	N
מידע	データ	מידע	データ	N;MASC;SG	N
ערכים	メトリック	ערך	メトリック	N;MASC;PL	N
ערכים	指標	ערך	指標	N;MASC;PL	N
ערכים	エントリー	ערך	エントリー	N;MASC;PL	N
ערכים	項目	ערך	項目	N;MASC;PL	N
ערכים	エントリ	ערך	エントリ	N;MASC;PL	N
אנשים	ピープル	איש	ピープル	N;MASC;PL	N
חבר	友人	חבר	友人	N;MASC;SG	N
חבר	友だち	חבר	友だち	N;MASC;SG	N
חבר	友達	חבר	友達	N;MASC;SG	N
חבר	ボーイフレンド	חבר	ボーイフレンド	N;MASC;SG	N
לעתים	時々	לעתים	時々	ADV	ADV
חדש	新しい	חדש	新しい	ADJ;MASC;SG	ADJ
חדש	新規	חדש	新規	ADJ;MASC;SG	ADJ
ארץ	国名	ארץ	国名	N;FEM;SG	N
ארץ	カントリー	ארץ	カントリー	N;FEM;SG	N
ארץ	ランド	ארץ	ランド	N;FEM;SG	N
ארץ	土地	ארץ	土地	N;FEM;SG	N
ארץ	地球	ארץ	地球	N;FEM;SG	N
ארץ	アース	ארץ	アース	N;FEM;SG	N
כלי	ツール	כלי	ツール	N;MASC;SG	N
כלי	工具	כלי	工具	N;MASC;SG	N
כלי	道具	כלי	道具	N;MASC;SG	N
אתה	あなた	הוא	あなた	PRO;MASC;SG;2	PRO
טוב	良い	טוב	良い	ADJ;MASC;SG	ADJ
ילדים	子供	ילד	子供	N;MASC;PL	N
ילדים	子供	ילד	子供	N;MASC;PL	N
כמעט	ほとんど	כמעט	ほとんど	ADV	ADV
כמעט	ほぼ	כמעט	ほぼ	ADV	ADV
כמעט	ほぼ	כמעט	ほぼ	ADV	ADV
מיליון	百万	מיליון	百万	NUM;MASC;SG	NUM
כוח	体力	כוח	体力	N;MASC;SG	N
כוח	強度	כוח	強度	N;MASC;SG	N
כוח	フォース	כוח	フォース	N;MASC;SG	N
כוח	権力	כוח	権力	N;MASC;SG	N
כוח	パワー	כוח	パワー	N;MASC;SG	N
מלך	国王	מלך	国王	N;MASC;SG	N
מלך	キング	מלך	キング	N;MASC;SG	N
מקור	原点	מקור	原点	N;MASC;SG	N
מקור	語源	מקור	語源	N;MASC;SG	N
מקור	由来	מקור	由来	N;MASC;SG	N
מקור	起源	מקור	起源	N;MASC;SG	N
מקור	ソース	מקור	ソース	N;MASC;SG	N
מקור	出典	מקור	出典	N;MASC;SG	N
מקור	くちばし	מקור	くちばし	N;MASC;SG	N
תוכנית	プログラム	תוכנית	プログラム	N;FEM;SG	N
תוכנית	計画	תוכנית	計画	N;FEM;SG	N
תוכנית	プラン	תוכנית	プラン	N;FEM;SG	N
תוכנית	プログラム	תוכנית	プログラム	N;FEM;SG	N
לגבי	について	לגבי	について	ADP	ADP
פעם	一度	פעם	一度	ADV	ADV
קיבל	受け取り	קיבל	受け取る	V;MASC;SG;3;PST;ACT	V
קיבל	受信	קיבל	受信	V;MASC;SG;3;PST;ACT	V
נשים	女性	איש	女性	N;FEM;PL	N
במיוחד	特に	במיוחד	特に	ADV	ADV
במיוחד	特に	במיוחד	特に	ADV	ADV
עדיין	まだ	עדיין	まだ	ADV	ADV
מים	ウォーター	מים	ウォーター	N;MASC;PL	N
פעולה	アクション	פעולה	アクション	N;FEM;SG	N
חוק	法律	חוק	法律	N;MASC;SG	N
חוק	法学	חוק	法学	N;MASC;SG	N
יחידה	単位	יחידה	単位	N;FEM;SG	N
יחידה	ユニット	יחידה	ユニット	N;FEM;SG	N
שוב	再び	שוב	再び	ADV	ADV
מדינות	国々	מדינה	国々	N;FEM;PL	N
מפקד	司令官	מפקד	司令官	N;MASC;SG	N
אזור	リージョン	אזור	リージョン	N;MASC;SG	N
אזור	地域	אזור	地域	N;MASC;SG	N
אזור	ゾーン	אזור	ゾーン	N;MASC;SG	N
אזור	面積	אזור	面積	N;MASC;SG	N
אזור	領域	אזור	領域	N;MASC;SG	N
אזור	エリア	אזור	エリア	N;MASC;SG	N
קבוצות	グループ	קבוצה	グループ	N;FEM;PL	N
קבוצות	チーム	קבוצה	チーム	N;FEM;PL	N
סרט	映画	סרט	映画	N;MASC;SG	N
סרט	ムービー	סרט	ムービー	N;MASC;SG	N
סרט	映画	סרט	映画	N;MASC;SG	N
סרט	フィルム	סרט	フィルム	N;MASC;SG	N
קרב	バトル	קרב	バトル	N;MASC;SG	N
קצר	短い	קצר	短い	ADJ;MASC;SG	ADJ
ימים	日数	יום	日数	N;MASC;PL	N
צבא	軍事	צבא	軍事	N;MASC;SG	N
צבא	軍隊	צבא	軍隊	N;MASC;SG	N
צבא	軍隊	צבא	軍隊	N;MASC;SG	N
צבא	陸軍	צבא	陸軍	N;MASC;SG	N
משחק	ゲーム	משחק	ゲーム	N;MASC;SG	N
משחק	演技	משחק	演技	N;MASC;SG	N
ראשי	ヘッド	ראש	ヘッド	N;PSSD;MASC;PL	N
ראשי	頭部	ראש	頭部	N;PSSD;MASC;PL	N
ראשי	メイン	ראש	メイン	N;PSSD;MASC;PL	N
ראשי	プライマリ	ראש	プライマリ	N;PSSD;MASC;PL	N
פעילות	アクティビティ	פעילות	アクティビティ	N;FEM;SG	N
שטח	フィールド	שטח	フィールド	N;MASC;SG	N
שטח	地形	שטח	地形	N;MASC;SG	N
שטח	面積	שטח	面積	N;MASC;SG	N
שטח	領域	שטח	領域	N;MASC;SG	N
שטח	エリア	שטח	エリア	N;MASC;SG	N
קולנוע	映画	קולנוע	映画	N;MASC;SG	N
קולנוע	ムービー	קולנוע	ムービー	N;MASC;SG	N
קולנוע	映画	קולנוע	映画	N;MASC;SG	N
קולנוע	映画	קולנוע	映画	N;MASC;SG	N
קשר	コンタクト	קשר	コンタクト	N;MASC;SG	N
פני	ペニー	פנים	ペニー	N;PL	N
עיר	タウン	עיר	タウン	N;FEM;SG	N
עיר	都市	עיר	都市	N;FEM;SG	N
הופעות	インプレッション	הופעה	インプレッション	N;FEM;PL	N
הופעות	コンサート	הופעה	コンサート	N;FEM;PL	N
תקופה	期間	תקופה	期間	N;FEM;SG	N
תקופה	ピリオド	תקופה	ピリオド	N;FEM;SG	N
ספרים	書物	ספר	書物	N;MASC;PL	N
ספרים	帳簿	ספר	帳簿	N;MASC;PL	N
ספרים	書籍	ספר	書籍	N;MASC;PL	N
קטן	小さな	קטן	小さな	ADJ;MASC;SG	ADJ
קטן	小さい	קטן	小さい	ADJ;MASC;SG	ADJ
קטן	小さい	קטן	小さい	ADJ;MASC;SG	ADJ
למד	学習	למד	学習	V;MASC;SG;3;PST	V
למד	学習	למד	学習	V;MASC;SG;3;PST	V
למד	学ぶ	למד	学ぶ	V;MASC;SG;3;PST	V
ברית	アライアンス	ברית	アライアンス	N;FEM;SG	N
משרד	事務局	משרד	事務局	N;MASC;SG	N
משרד	事務所	משרד	事務所	N;MASC;SG	N
משרד	オフィス	משרד	オフィス	N;MASC;SG	N
גרסאות	バージョン	גרסה	バージョン	N;FEM;PL	N
זהב	ゴールデン	זהב	ゴールデン	N;MASC;SG	N
זהב	黄金	זהב	黄金	N;MASC;SG	N
זהב	ゴールド	זהב	ゴールド	N;MASC;SG	N
עולם	世界	עולם	世界	N;MASC;SG	N
עולם	ワールド	עולם	ワールド	N;MASC;SG	N
יד	ハンド	יד	ハンド	N;FEM;SG	N
מדינה	国名	מדינה	国名	N;FEM;SG	N
מדינה	カントリー	מדינה	カントリー	N;FEM;SG	N
מדינה	都道府県	מדינה	都道府県	N;FEM;SG	N
מדינה	状態	מדינה	状態	N;FEM;SG	N
ארגון	団体	ארגון	団体	N;MASC;SG	N
ארגון	組織	ארגון	組織	N;MASC;SG	N
ארגון	組織	ארגון	組織	N;MASC;SG	N
לכתוב	書き込み	כתב	書き込み	V;NFIN;ACT	V
לכתוב	書く	כתב	書く	V;NFIN;ACT	V
לכתוב	書き込む	כתב	書き込む	V;NFIN;ACT	V
גדולה	大きい	גדול	大きい	ADJ;FEM;SG	ADJ
גדולה	大きな	גדול	大きな	ADJ;FEM;SG	ADJ
גדולה	大きい	גדול	大きい	ADJ;FEM;SG	ADJ
אוכלוסייה	人口	אוכלוסייה	人口	N;FEM;SG	N
הקהילה	コミュニティ	הקהיל	コミュニティ	N;FEM;SG	N
מחוז	地区	מחוז	地区	N;MASC;SG	N
סדרת	シリーズ	סדרה	シリーズ	N;FEM;SG	N
עבודה	職業	עבודה	職業	N;FEM;SG	N
עבודה	仕事	עבודה	仕事	N;FEM;SG	N
עבודה	ジョブ	עבודה	ジョブ	N;FEM;SG	N
עבודה	作業	עבודה	作業	N;FEM;SG	N
עבודה	仕事	עבודה	仕事	N;FEM;SG	N
עבודה	ワーク	עבודה	ワーク	N;FEM;SG	N
חשוב	重要	חשוב	重要	ADJ;MASC;SG	ADJ
תבנית	パターン	תבנית	パターン	N;FEM;SG	N
תבנית	テンプレート	תבנית	テンプレート	N;FEM;SG	N
תבנית	フォーマット	תבנית	フォーマット	N;FEM;SG	N
תבנית	書式	תבנית	書式	N;FEM;SG	N
אמריקאים	アメリカン	אמריקני	アメリカン	N;MASC;PL	N
דרום	サザン	דרום	サザン	N;MASC;SG	N
דרום	南部	דרום	南部	N;MASC;SG	N
זכויות	権利	זכות	権利	N;FEM;PL	N
לקבל	受け入れ	קיבל	受け入れる	V;NFIN;ACT	V
לקבל	受け入れる	קיבל	受け入れる	V;NFIN;ACT	V
לקבל	承認	קיבל	承認	V;NFIN;ACT	V
לקבל	ゲット	קיבל	ゲット	V;NFIN;ACT	V
מבנה	構造	מבנה	構造	N;MASC;SG	N
להשתמש	使用	השתמש	使用	V;NFIN	V
בסיס	塩基	בסיס	塩基	N;MASC;SG	N
בסיס	ベース	בסיס	ベース	N;MASC;SG	N
בסיס	基底	בסיס	基底	N;MASC;SG	N
משנה	物質	משנה	物質	N;MASC;SG	N
משנה	事柄	משנה	事柄	N;MASC;SG	N
משנה	事項	משנה	事項	N;MASC;SG	N
נקודות	ドット	נקודה	ドット	N;FEM;PL	N
נקודות	ポイント	נקודה	ポイント	N;FEM;PL	N
נקודות	斑点	נקודה	斑点	N;FEM;PL	N
קבוצה	集団	קבוצה	集団	N;FEM;SG	N
קבוצה	グループ	קבוצה	グループ	N;FEM;SG	N
קבוצה	チーム	קבוצה	チーム	N;FEM;SG	N
הקרב	バトル	הקרב	バトル	N;MASC;SG	N
שירים	ソング	שיר	ソング	N;MASC;PL	N
עת	タイム	עת	タイム	N;FEM;SG	N
עת	時間	עת	時間	N;FEM;SG	N
תפקיד	役割	תפקיד	役割	N;MASC;SG	N
למה	なぜ	למה	なぜ	ADV	ADV
שמות	名前	שם	名前	N;MASC;PL	N
שמות	名称	שם	名称	N;MASC;PL	N
יחסית	比較的	יחסית	比較的	ADV	ADV
יחסית	比較的	יחסית	比較的	ADV	ADV
שערים	ゴール	שער	ゴール	N;MASC;PL	N
שערים	目標	שער	目標	N;MASC;PL	N
מערכות	システム	מערכת	システム	N;FEM;PL	N
מערכות	システムズ	מערכת	システムズ	N;FEM;PL	N
ליצור	作成	יצר	作成	V;NFIN;ACT	V
מטרים	メートル	מטר	メートル	N;MASC;PL	N
מטרים	メートル	מטר	メートル	N;MASC;PL	N
מטרים	メーター	מטר	メーター	N;MASC;PL	N
שר	公使	שר	公使	N;MASC;SG	N
שר	大臣	שר	大臣	N;MASC;SG	N
קו	直線	קו	直線	N;MASC;SG	N
קו	ライン	קו	ライン	N;MASC;SG	N
כסף	お	כסף	お	N;MASC;SG	N
כסף	貨幣	כסף	貨幣	N;MASC;SG	N
כסף	マネー	כסף	マネー	N;MASC;SG	N
כסף	金銭	כסף	金銭	N;MASC;SG	N
כסף	シルバー	כסף	シルバー	N;MASC;SG	N
תמונות	画像	תמונה	画像	N;FEM;PL	N
תמונות	イメージ	תמונה	イメージ	N;FEM;PL	N
נשיא	大統領	נשיא	大統領	N;MASC;SG	N
נשיא	社長	נשיא	社長	N;MASC;SG	N
נשיא	社長	נשיא	社長	N;MASC;SG	N
מוזיקה	ミュージック	הוזיק	ミュージック	N;FEM;SG	N
מוזיקה	音楽	הוזיק	音楽	N;FEM;SG	N
חדשים	新しい	חדש	新しい	ADJ;MASC;PL	ADJ
חדשים	新規	חדש	新規	ADJ;MASC;PL	ADJ
מצב	近況	מצב	近況	N;MASC;SG	N
מצב	モード	מצב	モード	N;MASC;SG	N
מצב	状況	מצב	状況	N;MASC;SG	N
מצב	シチュエーション	מצב	シチュエーション	N;MASC;SG	N
מצב	状態	מצב	状態	N;MASC;SG	N
מצב	条件	מצב	条件	N;MASC;SG	N
היסטוריה	履歴	היסטוריה	履歴	N;FEM;SG	N
היסטוריה	由緒	היסטוריה	由緒	N;FEM;SG	N
היסטוריה	歴史	היסטוריה	歴史	N;FEM;SG	N
היסטוריה	沿革	היסטוריה	沿革	N;FEM;SG	N
שינוי	チェンジ	שינוי	チェンジ	N;MASC;SG	N
כדורגל	サッカー	כדורגל	サッカー	N;MASC;SG	N
כדורגל	フットボール	כדורגל	フットボール	N;MASC;SG	N
ביקורת	評論	ביקורת	評論	N;FEM;SG	N
ביקורת	レビュー	ביקורת	レビュー	N;FEM;SG	N
ביקורת	審査	ביקורת	審査	N;FEM;SG	N
חודשים	ヶ月	חודש	ヶ月	N;MASC;PL	N
שחקן	プレイヤー	שחקן	プレイヤー	N;MASC;SG	N
שחקן	プレーヤー	שחקן	プレーヤー	N;MASC;SG	N
שחקן	俳優	שחקן	俳優	N;MASC;SG	N
משפט	公判	משפט	公判	N;MASC;SG	N
משפט	トライアル	משפט	トライアル	N;MASC;SG	N
משפט	審判	משפט	審判	N;MASC;SG	N
משפט	法廷	משפט	法廷	N;MASC;SG	N
משפט	コート	משפט	コート	N;MASC;SG	N
משפט	裁判所	משפט	裁判所	N;MASC;SG	N
משפט	センテンス	משפט	センテンス	N;MASC;SG	N
משפט	文章	משפט	文章	N;MASC;SG	N
חצי	半分	חץ	半分	N;PSSD;MASC;PL	N
חצי	ハーフ	חץ	ハーフ	N;PSSD;MASC;PL	N
סרטים	映画	סרט	映画	N;MASC;PL	N
משפחה	家族	משפחה	家族	N;FEM;SG	N
מזרח	イースト	מזרח	イースト	N;MASC;SG	N
ערים	都市	עיר	都市	N;FEM;PL	N
תהליך	過程	תהליך	過程	N;MASC;SG	N
תהליך	プロセス	תהליך	プロセス	N;MASC;SG	N
שיר	歌曲	שיר	歌曲	N;MASC;SG	N
שיר	ソング	שיר	ソング	N;MASC;SG	N
טלוויזיה	テレビ	טלוויזיה	テレビ	N;FEM;SG	N
גבוהה	高い	גבוה	高い	ADJ;FEM;SG	ADJ
גבוהה	高い	גבוה	高い	ADJ;FEM;SG	ADJ
מעט	あまり	מעט	あまり	ADV	ADV
חברות	友情	חברה	友情	N;FEM;PL	N
חברות	会社	חברה	会社	N;FEM;PL	N
חברות	ガール	חברה	ガール	N;FEM;PL	N
סיים	終了	סיים	終了	V;MASC;SG;3;PST;ACT	V
סיים	終了	סיים	終了	V;MASC;SG;3;PST;ACT	V
מבצע	作戦	מבצע	作戦	N;MASC;SG	N
מבצע	オペレーション	מבצע	オペレーション	N;MASC;SG	N
רשת	ネット	רשת	ネット	N;FEM;SG	N
רשת	グリッド	רשת	グリッド	N;FEM;SG	N
רשת	ネットワーク	רשת	ネットワーク	N;FEM;SG	N
רקע	背景	רקע	背景	N;MASC;SG	N
רקע	背景	רקע	背景	N;MASC;SG	N
רקע	バックグラウンド	רקע	バックグラウンド	N;MASC;SG	N
תיאטרון	劇場	תיאטרון	劇場	N;MASC;SG	N
תיאטרון	シアター	תיאטרון	シアター	N;MASC;SG	N
תיאטרון	演劇	תיאטרון	演劇	N;MASC;SG	N
תיאטרון	演劇	תיאטרון	演劇	N;MASC;SG	N
תיאטרון	劇場	תיאטרון	劇場	N;MASC;SG	N
צורך	ニーズ	צורך	ニーズ	N;MASC;SG	N
צורך	必要	צורך	必要	N;MASC;SG	N
צורך	ニーズ	צורך	ニーズ	N;MASC;SG	N
חדשה	新しい	חדש	新しい	ADJ;FEM;SG	ADJ
חדשה	新規	חדש	新規	ADJ;FEM;SG	ADJ
אלבום	アルバム	אלבום	アルバム	N;MASC;SG	N
גן	遺伝子	גן	遺伝子	N;MASC;SG	N
גן	庭園	גן	庭園	N;MASC;SG	N
תמיד	常に	תמיד	常に	ADV	ADV
תמיד	いつも	תמיד	いつも	ADV	ADV
תרבות	文化	תרבות	文化	N;FEM;SG	N
תרבות	カルチャー	תרבות	カルチャー	N;FEM;SG	N
כללי	全般	כלל	全般	N;MASC;PL	N
כללי	一般	כלל	一般	N;MASC;PL	N
כללי	将軍	כלל	将軍	N;MASC;PL	N
עונה	季節	עונה	季節	N;FEM;SG	N
עונה	シーズン	עונה	シーズン	N;FEM;SG	N
סיום	竣工	סיום	竣工	N;MASC;SG	N
סיום	エンド	סיום	エンド	N;MASC;SG	N
כדור	球体	כדור	球体	N;MASC;SG	N
כדור	球面	כדור	球面	N;MASC;SG	N
כדור	球形	כדור	球形	N;MASC;SG	N
כדור	ボール	כדור	ボール	N;MASC;SG	N
כדור	弾丸	כדור	弾丸	N;MASC;SG	N
כדור	銃弾	כדור	銃弾	N;MASC;SG	N
שער	ゲート	שער	ゲート	N;MASC;SG	N
שער	ゴール	שער	ゴール	N;MASC;SG	N
גבוה	高い	גבוה	高い	ADJ;MASC;SG	ADJ
גבוה	高い	גבוה	高い	ADJ;MASC;SG	ADJ
הוקם	設立	הוקם	設立	V;MASC;SG;3;PST;PASS	V
סמל	シンボル	סמל	シンボル	N;MASC;SG	N
סמל	記号	סמל	記号	N;MASC;SG	N
סמל	軍	סמל	軍	N;MASC;SG	N
ראה	見る	ראה	見る	V;MASC;SG;3;PST;ACT	V
גביע	トロフィー	גביע	トロフィー	N;MASC;SG	N
גביע	カップ	גביע	カップ	N;MASC;SG	N
גביע	コップ	גביע	コップ	N;MASC;SG	N
דולר	ドル	דולר	ドル	N;MASC;SG	N
מדליות	メダル	מדלית	メダル	N;FEM;PL	N
חיילים	兵士	חייל	兵士	N;MASC;PL	N
דגל	国旗	דגל	国旗	N;MASC;SG	N
דגל	国旗	דגל	国旗	N;MASC;SG	N
מלחמה	戦争	מלחמה	戦争	N;FEM;SG	N
צפון	北方	צפון	北方	N;MASC;SG	N
כנראה	おそらく	כנראה	おそらく	ADV	ADV
כנראה	どうやら	כנראה	どうやら	ADV	ADV
ללמוד	学習	למד	学習	V;NFIN;ACT	V
ללמוד	学ぶ	למד	学ぶ	V;NFIN;ACT	V
פרק	チャプター	פרק	チャプター	N;MASC;SG	N
פרק	エピソード	פרק	エピソード	N;MASC;SG	N
המשיך	続き	המשיך	続く	V;MASC;SG;3;PST;ACT	V
המשיך	継続	המשיך	継続	V;MASC;SG;3;PST;ACT	V
חברה	ガール	חברה	ガール	N;FEM;SG	N
חברה	会社	חברה	会社	N;FEM;SG	N
חברה	友人	חברה	友人	N;FEM;SG	N
חברה	友だち	חברה	友だち	N;FEM;SG	N
חברה	友達	חברה	友達	N;FEM;SG	N
דירוג	格付	דירוג	格付	N;MASC;SG	N
דירוג	ランキング	דירוג	ランキング	N;MASC;SG	N
הוקמה	設立	הוקם	設立	V;FEM;SG;3;PST;PASS	V
שדה	フィールド	שדה	フィールド	N;MASC;SG	N
פעיל	アクティブ	פעיל	アクティブ	N;MASC;SG	N
אליפות	チャンピオンシップ	אליפות	チャンピオンシップ	N;FEM;SG	N
אליפות	選手権	אליפות	選手権	N;FEM;SG	N
משחקים	ゲーム	משחק	ゲーム	N;MASC;PL	N
הכל	すべて	הכיל	すべて	N	N
הכל	すべて	הכיל	すべて	N	N
מדיניות	ポリシー	מדיניות	ポリシー	N;FEM;SG	N
מדיניות	政策	מדיניות	政策	N;FEM;SG	N
מדיניות	方針	מדיניות	方針	N;FEM;SG	N
מדיניות	ポリシー	מדיניות	ポリシー	N;FEM;SG	N
מדיניות	方針	מדיניות	方針	N;FEM;SG	N
שירות	サービス	שירות	サービス	N;MASC;SG	N
גדולים	大きい	גדול	大きい	ADJ;MASC;PL	ADJ
גדולים	大きな	גדול	大きな	ADJ;MASC;PL	ADJ
גדולים	大きい	גדול	大きい	ADJ;MASC;PL	ADJ
ספורט	スポーツ	ספורט	スポーツ	N;MASC;SG	N
ספורט	スポーツ	ספורט	スポーツ	N;MASC;SG	N
שיא	レコード	שיא	レコード	N;MASC;SG	N
שיא	クライマックス	שיא	クライマックス	N;MASC;SG	N
שיא	山頂	שיא	山頂	N;MASC;SG	N
שיא	ピーク	שיא	ピーク	N;MASC;SG	N
מס	租税	מס	租税	N;MASC;SG	N
מס	税金	מס	税金	N;MASC;SG	N
צוות	スタッフ	צוות	スタッフ	N;FEM;SG	N
צוות	チーム	צוות	チーム	N;FEM;SG	N
נושא	話題	נושא	話題	N;MASC;SG	N
נושא	トピック	נושא	トピック	N;MASC;SG	N
נושא	テーマ	נושא	テーマ	N;MASC;SG	N
נושא	主体	נושא	主体	N;MASC;SG	N
נושא	件名	נושא	件名	N;MASC;SG	N
גיל	年齢	גיל	年齢	N;MASC;SG	N
עורך	エディタ	עורך	エディタ	N;MASC;SG	N
הרכבת	電車	הרכבה	電車	N;FEM;SG	N
הרכבת	列車	הרכבה	列車	N;FEM;SG	N
הרכבת	トレイン	הרכבה	トレイン	N;FEM;SG	N
בעיות	問題	בעיה	問題	N;FEM;PL	N
בעיות	問題	בעיה	問題	N;FEM;PL	N
מערב	ウエスト	מערב	ウエスト	N;MASC;SG	N
מערב	西部	מערב	西部	N;MASC;SG	N
מערב	ウエスタン	מערב	ウエスタン	N;MASC;SG	N
