les	die	le	die	DET;DEF;PL	DET;DEF
site	webtuiste	site	webtuiste	N;MASC;SG	N;SG
premier	eerste	premier	eerste	ADJ;MASC;SG	ADJ;NOM
fut	was	être	is	V;IND;SG;3;PST;FIN	V;PST;FIN
film	fliek	film	fliek	N;MASC;SG	N;SG
film	rolprent	film	rolprent	N;MASC;SG	N;SG
film	rolprent	film	rolprent	N;MASC;SG	N;SG
voir	sien	voir	sien	V;NFIN	V;PRS
voir	besigtig	voir	besigtig	V;NFIN	V;PRS
voir	bekyk	voir	bekyk	V;NFIN	V;PRS
pays	land	pays	land	N;MASC;SG	N;SG
source	bron	source	bron	N;FEM;SG	N;SG
tout	alles	tout	alles	PRO;MASC;SG	PRO
tout	alles	tout	alles	PRO;MASC;SG	PRO
tout	almal	tout	almal	PRO;MASC;SG	PRO
groupe	musiekgroep	groupe	musiekgroep	N;MASC;SG	N;SG
groupe	groep	groupe	groep	N;MASC;SG	N;SG
également	ook	également	ook	ADV	ADV
titre	lêername	titre	lêername	N;MASC;SG	N;SG
monde	wêreld	monde	wêreld	N;MASC;SG	N;SG
nord	nord	nord	nord	N;MASC;SG	N;SG
années	jare	année	jaar	N;FEM;PL	N;PL
bien	wel	bien	wel	ADV	ADV
équipe	span	équipe	span	N;FEM;SG	N;SG
club	klub	club	klub	N;MASC;SG	N;SG
partie	gedeelte	partie	gedeelte	N;FEM;SG	N;SG
avant	voor	avant	voor	ADP	ADP
avant	voor	avant	voor	ADP	ADP
trois	drie	trois	drie	NUM	NUM
articles	artikels	article	artikel	N;MASC;PL	N;PL
guerre	oorlog	guerre	oorlog	N;FEM;SG	N;SG
sans	sonder	sans	sonder	ADP	ADP
saison	seisoen	saison	seisoen	N;FEM;SG	N;SG
fin	einde	fin	einde	N;FEM;SG	N;SG
vers	teenoor	vers	teenoor	ADP	ADP
année	jaar	année	jaar	N;FEM;SG	N;SG
temps	tyd	temps	tyd	N;MASC;SG	N;SG
temps	tydstip	temps	tydstip	N;MASC;SG	N;SG
faire	maak	faire	maak	V;NFIN	V;PRS
histoire	geskiedenis	histoire	geskiedenis	N;FEM;SG	N;SG
série	reeks	série	reeks	N;FEM;SG	N;SG
série	serie	série	serie	N;FEM;SG	N;SG
joueur	speler	joueur	speler	N;MASC;SG	N;SG
tour	toring	tour	toring	N;MASC;SG	N;SG
mort	gesterf	mourir	sterf	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
française	franse	français	frans	ADJ;FEM;SG	ADJ;NOM
pierre	klip	pierre	klip	N;FEM;SG	N;SG
région	streek	région	streek	N;FEM;SG	N;SG
région	omgewing	région	omgewing	N;FEM;SG	N;SG
région	area	région	area	N;FEM;SG	N;SG
avoir	ondervind	avoir	ondervind	V;NFIN	V;PRS
autre	ander	autre	ander	PRO;SG	PRO
état	staat	état	staat	N;MASC;SG	N;SG
état	deelstaat	état	deelstaat	N;MASC;SG	N;SG
état	provinsie	état	provinsie	N;MASC;SG	N;SG
état	toestand	état	toestand	N;MASC;SG	N;SG
état	spasie	état	spasie	N;MASC;SG	N;SG
état	voorwaarde	état	voorwaarde	N;MASC;SG	N;SG
état	kondisie	état	kondisie	N;MASC;SG	N;SG
place	plek	place	plek	N;FEM;SG	N;SG
famille	familie	famille	familie	N;FEM;SG	N;SG
famille	gesin	famille	gesin	N;FEM;SG	N;SG
états	provinsies	état	provinsie	N;MASC;PL	N;PL
états	deelstate	état	deelstaat	N;MASC;PL	N;PL
états	state	état	staat	N;MASC;PL	N;PL
général	generaal	général	generaal	N;MASC;SG	N;SG
tous	alles	tout	alles	PRO;MASC;PL	PRO
tous	almal	tout	almal	PRO;MASC;PL	PRO
album	album	album	album	N;MASC;SG	N;SG
prix	prys	prix	prys	N;MASC;SG	N;SG
nouvelle	nuwe	nouveau	nuut	ADJ;FEM;SG	ADJ;NOM
département	departement	département	departement	N;MASC;SG	N;SG
grande	grande	grand	grand	ADJ;FEM;SG	ADJ;NOM
américain	amerikaanse	américain	amerikaans	ADJ;MASC;SG	ADJ;NOM
ligne	lyn	ligne	lyn	N;FEM;SG	N;SG
nationale	nasionale	national	nasionaal	ADJ;FEM;SG	ADJ;NOM
encore	steeds	encore	steeds	ADV	ADV
encore	nogsteeds	encore	nogsteeds	ADV	ADV
image	prent	image	prent	N;FEM;SG	N;SG
image	prent	image	prent	N;FEM;SG	N;SG
vie	lewe	vie	lewe	N;FEM;SG	N;SG
football	sokker	football	sokker	N;MASC;SG	N;SG
pendant	tydens	pendant	tydens	ADP	ADP
pendant	gedurende	pendant	gedurende	ADP	ADP
jeux	speletjies	jeu	speletjies	N;MASC;PL	N;PL
jeux	speletjies	jeu	speletjies	N;MASC;PL	N;PL
jeux	wedstryde	jeu	wedstryde	N;MASC;PL	N;PL
page	blad	page	blad	N;FEM;SG	N;SG
page	bladsy	page	bladsy	N;FEM;SG	N;SG
nouveau	nuwe	nouveau	nuut	ADJ;MASC;SG	ADJ;NOM
partir	los	partir	los	V;NFIN	V;PRS
partir	verlaat	partir	verlaat	V;NFIN	V;PRS
village	dorpie	village	dorpie	N;MASC;SG	N;SG
université	universiteit	université	universiteit	N;FEM;SG	N;SG
université	kollege	université	kollege	N;FEM;SG	N;SG
nombre	nommer	nombre	nommer	N;MASC;SG	N;SG
nombre	getal	nombre	getal	N;MASC;SG	N;SG
coupe	koppie	coupe	koppie	N;FEM;SG	N;SG
coupe	beker	coupe	beker	N;FEM;SG	N;SG
population	bevolking	population	bevolking	N;FEM;SG	N;SG
connexes	verwante	connexe	verwant	ADJ;MASC;PL	ADJ;NOM
homme	mannetjie	homme	mannetjie	N;MASC;SG	N;SG
homme	man	homme	man	N;MASC;SG	N;SG
communes	communes	commune	communes	N;FEM;PL	N;PL
division	deling	division	deling	N;FEM;SG	N;SG
président	president	président	president	N;MASC;SG	N;SG
président	voorsitter	président	voorsitter	N;MASC;SG	N;SG
président	stoel	président	stoel	N;MASC;SG	N;SG
national	nasionale	national	nasionaal	ADJ;MASC;SG	ADJ;NOM
société	samelewing	société	samelewing	N;FEM;SG	N;SG
société	gemeenskap	société	gemeenskap	N;FEM;SG	N;SG
société	geselskap	société	geselskap	N;FEM;SG	N;SG
société	maatskappy	société	maatskappy	N;FEM;SG	N;SG
cas	geval	cas	geval	N;MASC;SG	N;SG
jeu	gaming	jeu	gaming	N;MASC;SG	N;SG
jeu	spel	jeu	spel	N;MASC;SG	N;SG
genre	genre	genre	genr	N;MASC;SG	N;SG
genre	geslag	genre	geslag	N;MASC;SG	N;SG
genre	genus	genre	genus	N;MASC;SG	N;SG
fils	seun	fils	seun	N;MASC;SG	N;SG
parti	gegaan	partir	gegaan	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
jour	dag	jour	dag	N;MASC;SG	N;SG
époque	epog	époque	epog	N;FEM;SG	N;SG
époque	era	époque	era	N;FEM;SG	N;SG
ancien	antieke	ancien	antiek	ADJ;MASC;SG	ADJ;NOM
ancien	voormalige	ancien	voormalig	ADJ;MASC;SG	ADJ;NOM
origine	oorsprong	origine	oorsprong	N;FEM;SG	N;SG
ordre	orde	ordre	orde	N;MASC;SG	N;SG
ordre	volgorde	ordre	volgorde	N;MASC;SG	N;SG
ordre	bestelling	ordre	bestelling	N;MASC;SG	N;SG
château	kasteel	château	kasteel	N;MASC;SG	N;SG
école	skool	école	skool	N;FEM;SG	N;SG
carrière	loopbaan	carrière	loopbaan	N;FEM;SG	N;SG
bar	balk	bar	balk	N;MASC;SG	N;SG
points	kolle	point	kol	N;MASC;PL	N;PL
points	punte	point	punt	N;MASC;PL	N;PL
rue	straat	rue	straat	N;FEM;SG	N;SG
chef	chef	chef	chef	N;MASC;SG	N;SG
père	vader	père	vader	N;MASC;SG	N;SG
exemple	voorbeeld	exemple	voorbeeld	N;MASC;SG	N;SG
trouve	bevind	trouver	bevind	V;IND;SG;3;PRS;FIN	V;PRS
durant	tydens	durant	tydens	ADP	ADP
durant	gedurende	durant	gedurende	ADP	ADP
habitants	inwoners	habitant	inwoner	N;MASC;PL	N;PL
point	punt	point	punt	N;MASC;SG	N;SG
compte	rekening	compte	rekening	N;MASC;SG	N;SG
période	periode	période	periode	N;FEM;SG	N;SG
armée	weermag	armée	weermag	N;FEM;SG	N;SG
eau	water	eau	water	N;FEM;SG	N;SG
discuter	bespreek	discuter	bespreek	V;NFIN	V;PRS
car	want	car	want	CONJ	CONJ
projet	projek	projet	projek	N;MASC;SG	N;SG
province	provinsie	province	provinsie	N;FEM;SG	N;SG
international	internasionale	international	internasionaal	ADJ;MASC;SG	ADJ;NOM
conseil	konsultasie	conseil	konsultasie	N;MASC;SG	N;SG
conseil	raad	conseil	raad	N;MASC;SG	N;SG
conseil	raad	conseil	raad	N;MASC;SG	N;SG
maison	huis	maison	huis	N;FEM;SG	N;SG
maison	huistoe	maison	huistoe	N;FEM;SG	N;SG
maison	tuisblad	maison	tuisblad	N;FEM;SG	N;SG
maison	huis	maison	huis	N;FEM;SG	N;SG
fonction	kommentaar	fonction	kommentaar	N;FEM;SG	N;SG
toujours	altyd	toujours	altyd	ADV	ADV
toujours	steeds	toujours	steeds	ADV	ADV
toujours	nogsteeds	toujours	nogsteeds	ADV	ADV
production	produksie	production	produksie	N;FEM;SG	N;SG
membre	lid	membre	lid	N;MASC;SG	N;SG
rôle	rol	rôle	rol	N;MASC;SG	N;SG
droit	regterkant	droit	regterkant	N;MASC;SG	N;SG
droit	wet	droit	wet	N;MASC;SG	N;SG
mois	maand	mois	maand	N;MASC;SG	N;SG
île	eiland	île	eiland	N;FEM;SG	N;SG
république	republiek	république	republiek	N;FEM;SG	N;SG
service	diens	service	diens	N;MASC;SG	N;SG
ensuite	dan	ensuite	dan	ADV	ADV
gouvernement	regering	gouvernement	regering	N;MASC;SG	N;SG
toutes	alles	tout	alles	PRO;FEM;PL	PRO
toutes	almal	tout	almal	PRO;FEM;PL	PRO
argent	geld	argent	geld	N;MASC;SG	N;SG
souvent	gereeld	souvent	gereeld	ADV	ADV
souvent	gereeld	souvent	gereeld	ADV	ADV
souvent	dikwels	souvent	dikwels	ADV	ADV
style	stilering	style	stilering	N;MASC;SG	N;SG
face	gesiggie	face	gesiggie	N;FEM;SG	N;SG
face	gesig	face	gesig	N;FEM;SG	N;SG
olympiques	olimpiese	olympique	olimpies	ADJ;MASC;PL	ADJ;NOM
ministre	minister	ministre	minister	N;MASC;SG	N;SG
mondiale	globale	mondial	globaal	ADJ;FEM;SG	ADJ;NOM
ensemble	saam	ensemble	saam	ADV	ADV
théâtre	teater	théâtre	teater	N;MASC;SG	N;SG
théâtre	teater	théâtre	teater	N;MASC;SG	N;SG
épisode	episode	épisode	episode	N;MASC;SG	N;SG
scène	stadium	scène	stadium	N;FEM;SG	N;SG
scène	etage	scène	etag	N;FEM;SG	N;SG
toute	alle	tout	al	DET;FEM;SG	DET
toute	al	tout	al	DET;FEM;SG	DET
musée	museum	musée	museum	N;MASC;SG	N;SG
troisième	derde	troisième	derde	ADJ;MASC;SG	ADJ;NOM
auteur	skrywer	auteur	skrywer	N;MASC;SG	N;SG
auteur	outeur	auteur	outeur	N;MASC;SG	N;SG
auteur	skrywer	auteur	skrywer	N;MASC;SG	N;SG
auteur	outeur	auteur	outeur	N;MASC;SG	N;SG
système	lêerstelsel	système	lêerstelsel	N;MASC;SG	N;SG
système	sisteem	système	sisteem	N;MASC;SG	N;SG
système	stelsel	système	stelsel	N;MASC;SG	N;SG
création	skepping	création	skepping	N;FEM;SG	N;SG
stade	stadium	stade	stadium	N;MASC;SG	N;SG
stade	etage	stade	etag	N;MASC;SG	N;SG
roman	romeinse	roman	romeins	N;MASC;SG	N;SG
jours	dae	jour	dag	N;MASC;PL	N;PL
édition	uitgawe	édition	uitgawe	N;FEM;SG	N;SG
édition	redigering	édition	redigering	N;FEM;SG	N;SG
édition	wysiging	édition	wysiging	N;FEM;SG	N;SG
éditions	uitgawes	édition	uitgawe	N;FEM;PL	N;PL
historique	historiese	historique	histories	ADJ;MASC;SG	ADJ;NOM
historique	geskiedkundige	historique	geskiedkundig	ADJ;MASC;SG	ADJ;NOM
historique	historiese	historique	histories	ADJ;MASC;SG	ADJ;NOM
âge	ouderdom	âge	ouderdom	N;MASC;SG	N;SG
officiel	amptelike	officiel	amptelik	ADJ;MASC;SG	ADJ;NOM
environ	ongeveer	environ	ongeveer	ADV	ADV
effet	effek	effet	effek	N;MASC;SG	N;SG
membres	lede	membre	lid	N;MASC;PL	N;PL
champion	kampioen	champion	kampioen	N;MASC;SG	N;SG
espèce	spesie	espèce	spesie	N;FEM;SG	N;SG
raison	rede	raison	rede	N;FEM;SG	N;SG
femme	vrou	femme	vrou	N;FEM;SG	N;SG
femme	wyfie	femme	wyfie	N;FEM;SG	N;SG
femme	vrou	femme	vrou	N;FEM;SG	N;SG
cinq	vyf	cinq	vyf	NUM	NUM
déjà	alreeds	déjà	alreeds	ADV	ADV
déjà	reeds	déjà	reeds	ADV	ADV
texte	teksboodskap	texte	teksboodskap	N;MASC;SG	N;SG
texte	teks	texte	teks	N;MASC;SG	N;SG
terre	aarde	terre	aarde	N;FEM;SG	N;SG
terre	grond	terre	grond	N;FEM;SG	N;SG
terre	grond	terre	grond	N;FEM;SG	N;SG
compétition	kompetisie	compétition	kompetisie	N;FEM;SG	N;SG
porte	hek	porte	hek	N;FEM;SG	N;SG
porte	porte	porte	port	N;FEM;SG	N;SG
hommes	mans	homme	man	N;MASC;PL	N;PL
hommes	manne	homme	man	N;MASC;PL	N;PL
hommes	mans	homme	man	N;MASC;PL	N;PL
bataille	slag	bataille	slag	N;FEM;SG	N;SG
bataille	veldslag	bataille	veldslag	N;FEM;SG	N;SG
corps	lyf	corps	lyf	N;MASC;SG	N;SG
corps	liggaam	corps	liggaam	N;MASC;SG	N;SG
corps	korps	corps	korp	N;MASC;SG	N;SG
siège	hoofkwartier	siège	hoofkwartier	N;MASC;SG	N;SG
siège	sitplek	siège	sitplek	N;MASC;SG	N;SG
personnes	mense	personne	mens	N;FEM;PL	N;PL
route	roete	route	roet	N;FEM;SG	N;SG
route	hoofweg	route	hoofweg	N;FEM;SG	N;SG
route	grootpad	route	grootpad	N;FEM;SG	N;SG
route	pad	route	pad	N;FEM;SG	N;SG
finale	finale	finale	finaal	N;FEM;SG	N;SG
match	spel	match	spel	N;MASC;SG	N;SG
match	passing	match	passing	N;MASC;SG	N;SG
match	ooreenstemming	match	ooreenstemming	N;MASC;SG	N;SG
royaume	koninkryk	royaume	koninkryk	N;MASC;SG	N;SG
latitude	breedtegraad	latitude	breedtegraad	N;FEM;SG	N;SG
base	basis	base	basis	N;FEM;SG	N;SG
base	grondslag	base	grondslag	N;FEM;SG	N;SG
communauté	samelewing	communauté	samelewing	N;FEM;SG	N;SG
communauté	gemeenskap	communauté	gemeenskap	N;FEM;SG	N;SG
association	vereniging	association	vereniging	N;FEM;SG	N;SG
association	assosiasie	association	assosiasie	N;FEM;SG	N;SG
militaire	militêre	militaire	militêr	ADJ;MASC;SG	ADJ;NOM
section	afdeling	section	afdeling	N;FEM;SG	N;SG
longitude	lengteligging	longitude	lengteligging	N;FEM;SG	N;SG
longitude	lengtegraad	longitude	lengtegraad	N;FEM;SG	N;SG
livre	boek	livre	boek	N;MASC;SG	N;SG
livre	pond	livre	pond	N;MASC;SG	N;SG
américaine	amerikaanse	américain	amerikaans	ADJ;FEM;SG	ADJ;NOM
suivant	volg	suivre	volg	V;PRS;V.PTCP	V;PRS
dire	sê	dire	sê	V;NFIN	V;PRS
fille	meisie	fille	meisie	N;FEM;SG	N;SG
fille	dogter	fille	dogter	N;FEM;SG	N;SG
buts	doelwitte	but	doelwit	N;MASC;PL	N;PL
buts	doele	but	doele	N;MASC;PL	N;PL
enfants	kinders	enfant	kind	N;MASC;PL	N;PL
enfants	kinders	enfant	kind	N;MASC;PL	N;PL
direction	rigting	direction	rigting	N;FEM;SG	N;SG
direction	direktoraat	direction	direktoraat	N;FEM;SG	N;SG
but	doelwit	but	doelwit	N;MASC;SG	N;SG
union	unie	union	unie	N;FEM;SG	N;SG
construction	oprigting	construction	oprigting	N;FEM;SG	N;SG
construction	konstruksie	construction	konstruksie	N;FEM;SG	N;SG
ancienne	antieke	ancien	antiek	ADJ;FEM;SG	ADJ;NOM
ancienne	voormalige	ancien	voormalig	ADJ;FEM;SG	ADJ;NOM
premiers	eerste	premier	eerste	ADJ;MASC;PL	ADJ;NOM
prend	neem	prendre	neem	V;IND;SG;3;PRS;FIN	V;PRS
prend	tree	prendre	tree	V;IND;SG;3;PRS;FIN	V;PRS
prend	vat	prendre	vat	V;IND;SG;3;PRS;FIN	V;PRS
maire	burgemeester	maire	burgemeester	N;MASC;SG	N;SG
personnalité	persoonlikheid	personnalité	persoonlikheid	N;FEM;SG	N;SG
ligue	liga	ligue	liga	N;FEM;SG	N;SG
public	openbare	public	openbaar	ADJ;MASC;SG	ADJ;NOM
pages	bladsye	page	bladsy	N;FEM;PL	N;PL
pages	blaaie	page	blaaie	N;FEM;PL	N;PL
simple	eenvoudige	simple	eenvoudig	ADJ;MASC;SG	ADJ;NOM
chanson	liedjie	chanson	liedjie	N;FEM;SG	N;SG
chanson	lied	chanson	lied	N;FEM;SG	N;SG
poste	plasing	poste	plasing	N;MASC;SG	N;SG
culture	kultuur	culture	kultuur	N;FEM;SG	N;SG
développement	ontwikkeling	développement	ontwikkeling	N;MASC;SG	N;SG
québec	quebec	québec	quebec	N;MASC;SG	N;SG
loi	wet	loi	wet	N;FEM;SG	N;SG
loi	wet	loi	wet	N;FEM;SG	N;SG
équipes	spanne	équipe	span	N;FEM;PL	N;PL
mère	moeder	mère	moeder	N;FEM;SG	N;SG
mère	ma	mère	ma	N;FEM;SG	N;SG
acteur	akteur	acteur	akteur	N;MASC;SG	N;SG
parcours	roete	parcours	roet	N;MASC;SG	N;SG
recherche	navorsing	recherche	navorsing	N;FEM;SG	N;SG
classement	klassifikasie	classement	klassifikasie	N;MASC;SG	N;SG
code	kode	code	kode	N;MASC;SG	N;SG
double	dubbele	double	dubbel	ADJ;MASC;SG	ADJ;NOM
entraîneur	afrigter	entraîneur	afrigter	N;MASC;SG	N;SG
arrondissement	munisipaliteit	arrondissement	munisipaliteit	N;MASC;SG	N;SG
directeur	direkteur	directeur	direkteur	N;MASC;SG	N;SG
ici	hier	ici	hier	ADV	ADV
vainqueur	wenner	vainqueur	wenner	N;MASC;SG	N;SG
réalisé	gerig	réaliser	rig	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
existe	bestaan	exister	bestaan	V;IND;SG;3;PRS;FIN	V;PRS
existe	bestaan	exister	bestaan	V;IND;SG;3;PRS;FIN	V;PRS
six	ses	six	ses	NUM	NUM
créé	geskep	créer	skep	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
devant	voor	devant	voor	ADP	ADP
écrit	geskryf	écrire	skryf	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
bois	hout	bois	hout	N;MASC;SG	N;SG
bois	drank	bois	drank	N;MASC;SG	N;SG
bois	drankie	bois	drankie	N;MASC;SG	N;SG
retour	terugkeer	retour	terugkeer	N;MASC;SG	N;SG
retour	agterkant	retour	agterkant	N;MASC;SG	N;SG
numéro	nommer	numéro	nommer	N;MASC;SG	N;SG
numéro	getal	numéro	getal	N;MASC;SG	N;SG
comté	provinsie	comté	provinsie	N;MASC;SG	N;SG
gare	stasie	gare	stasie	N;FEM;SG	N;SG
terme	termyn	terme	termyn	N;MASC;SG	N;SG
formation	oefening	formation	oefening	N;FEM;SG	N;SG
technique	tegniese	technique	tegnies	ADJ;MASC;SG	ADJ;NOM
révolution	rewolusie	révolution	rewolusie	N;FEM;SG	N;SG
révolution	revolusie	révolution	revolusie	N;FEM;SG	N;SG
objet	voorwerp	objet	voorwerp	N;MASC;SG	N;SG
question	vraag	question	vraag	N;FEM;SG	N;SG
plan	kaart	plan	kaart	N;MASC;SG	N;SG
plan	plan	plan	plan	N;MASC;SG	N;SG
médaille	medalje	médaille	medalje	N;FEM;SG	N;SG
zone	sone	zone	sone	N;FEM;SG	N;SG
zone	omgewing	zone	omgewing	N;FEM;SG	N;SG
zone	area	zone	area	N;FEM;SG	N;SG
écrivain	skrywer	écrivain	skrywer	N;MASC;SG	N;SG
écrivain	outeur	écrivain	outeur	N;MASC;SG	N;SG
compagnie	maatskappy	compagnie	maatskappy	N;FEM;SG	N;SG
italien	italiaanse	italien	italiaans	ADJ;MASC;SG	ADJ;NOM
films	films	film	films	N;MASC;PL	N;PL
films	flieks	film	flieks	N;MASC;PL	N;PL
films	rolprente	film	rolprent	N;MASC;PL	N;PL
surtout	veral	surtout	veral	ADV	ADV
sources	bronne	source	bron	N;FEM;PL	N;PL
sources	bronne	source	bron	N;FEM;PL	N;PL
moyenne	gemiddeld	moyenne	gemiddeld	N;FEM;SG	N;SG
moyenne	medium	moyenne	medium	N;FEM;SG	N;SG
mouvement	mosie	mouvement	mosie	N;MASC;SG	N;SG
mouvement	beweging	mouvement	beweging	N;MASC;SG	N;SG
mouvement	beweging	mouvement	beweging	N;MASC;SG	N;SG
succès	sukses	succès	sukses	N;MASC;SG	N;SG
rivière	rivier	rivière	rivier	N;FEM;SG	N;SG
jamais	nooit	jamais	nooit	ADV	ADV
jamais	ooit	jamais	ooit	ADV	ADV
vidéo	video	vidéo	video	N;MASC;SG	N;SG
député	adjunk	député	adjunk	N;MASC;SG	N;SG
moyen	gemiddelde	moyen	gemiddel	ADJ;MASC;SG	ADJ;NOM
voix	stemme	voix	stemm	N;FEM;SG	N;SG
district	distrik	district	distrik	N;MASC;SG	N;SG
seulement	slegs	seulement	slegs	ADV	ADV
seulement	net	seulement	net	ADV	ADV
pont	brug	pont	brug	N;MASC;SG	N;SG
milieu	middelste	milieu	middelste	N;MASC;SG	N;SG
milieu	midde	milieu	midde	N;MASC;SG	N;SG
milieu	medium	milieu	medium	N;MASC;SG	N;SG
donne	gee	donner	gee	V;IND;SG;3;PRS;FIN	V;PRS
diffusion	uitsaai	diffusion	uitsaai	N;FEM;SG	N;SG
diffusion	uitsaai	diffusion	uitsaai	N;FEM;SG	N;SG
aide	hulp	aide	hulp	N;FEM;SG	N;SG
victoire	oorwinning	victoire	oorwinning	N;FEM;SG	N;SG
femmes	meisies	femme	meisie	N;FEM;PL	N;PL
femmes	vroue	femme	vrou	N;FEM;PL	N;PL
femmes	vrouens	femme	vrou	N;FEM;PL	N;PL
minutes	minute	minute	minute	N;FEM;PL	N;PL
belge	belgiese	belge	belgies	ADJ;MASC;SG	ADJ;NOM
certaines	sekere	certain	seker	PRO;FEM;PL	PRO
durée	tydperk	durée	tydperk	N;FEM;SG	N;SG
durée	tydsduur	durée	tydsduur	N;FEM;SG	N;SG
espèces	spesies	espèce	spesie	N;FEM;PL	N;PL
monuments	monumente	monument	monument	N;MASC;PL	N;PL
sens	betekenis	sens	betekenis	N;MASC;SG	N;SG
municipalité	munisipaliteit	municipalité	munisipaliteit	N;FEM;SG	N;SG
frère	broer	frère	broer	N;MASC;SG	N;SG
rencontre	ontmoeting	rencontre	ontmoeting	N;FEM;SG	N;SG
rencontre	besigheid	rencontre	besigheid	N;FEM;SG	N;SG
rencontre	vergadering	rencontre	vergadering	N;FEM;SG	N;SG
publié	gepubliseer	publier	publiseer	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
publié	vrygestel	publier	vrystel	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
publié	gelos	publier	gelos	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
publié	geplaas	publier	plaas	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
domaine	terrein	domaine	terrein	N;MASC;SG	N;SG
domaine	veld	domaine	veld	N;MASC;SG	N;SG
domaine	domein	domaine	domein	N;MASC;SG	N;SG
domaine	omgewing	domaine	omgewing	N;MASC;SG	N;SG
domaine	area	domaine	area	N;MASC;SG	N;SG
eux	hulle	soi	hulle	PRO;MASC;PL;3	PRO;PL;3
professeur	professor	professeur	professor	N;MASC;SG	N;SG
professeur	onderwyser	professeur	onderwyser	N;MASC;SG	N;SG
quartier	woonbuurt	quartier	woonbuurt	N;MASC;SG	N;SG
quartier	woonbuurt	quartier	woonbuurt	N;MASC;SG	N;SG
scientifique	wetenskaplike	scientifique	wetenskaplik	ADJ;MASC;SG	ADJ;NOM
scientifique	wetenskaplike	scientifique	wetenskaplik	ADJ;MASC;SG	ADJ;NOM
honneur	gestand	honneur	gestand	N;MASC;SG	N;SG
cause	oorsaak	cause	oorsaak	N;FEM;SG	N;SG
cause	saak	cause	saak	N;FEM;SG	N;SG
nouvelles	nuwe	nouveau	nuut	ADJ;FEM;PL	ADJ;NOM
administration	administrasie	administration	administrasie	N;FEM;SG	N;SG
journal	koerant	journal	koerant	N;MASC;SG	N;SG
journal	tydlyn	journal	tydlyn	N;MASC;SG	N;SG
journal	dagboek	journal	dagboek	N;MASC;SG	N;SG
différents	verskillende	différent	verskil	ADJ;MASC;PL	ADJ;NOM
taille	hoogte	taille	hoogte	N;FEM;SG	N;SG
sport	sport	sport	sport	N;MASC;SG	N;SG
sport	sportsoort	sport	sportsoort	N;MASC;SG	N;SG
sport	sport	sport	sport	N;MASC;SG	N;SG
élections	verkiesings	élection	verkiesing	N;FEM;PL	N;PL
titres	titels	titre	titels	N;MASC;PL	N;PL
chapelle	kapel	chapelle	kapel	N;FEM;SG	N;SG
russe	russiese	russe	russies	ADJ;MASC;SG	ADJ;NOM
manière	manier	manière	manier	N;FEM;SG	N;SG
