βοηθώντας	helpen	βοηθώ	helpen	V;IPFV;V.CVB;ACT	V;NFIN
κοιλιά	belly	κοιλιός	belly	N;NOM;FEM;SG	N;MASC+FEM;SG
κοιλιά	buik	κοιλιός	buik	N;NOM;FEM;SG	N;MASC+FEM;SG
κοιλιά	onderbuik	κοιλιός	onderbuik	N;NOM;FEM;SG	N;MASC+FEM;SG
κοιλιά	buik	κοιλιός	buik	N;NOM;FEM;SG	N;MASC+FEM;SG
πυρ	brand	πυρ	brand	N;NOM;NEUT;SG	N;MASC+FEM;SG
πυρ	vuur	πυρ	vuur	N;NOM;NEUT;SG	N;NEUT;SG
προσφέροντας	bieden	προσφέρω	bieden	V;IPFV;V.CVB;ACT	V;NFIN
προσφέροντας	aanbieden	προσφέρω	aanbieden	V;IPFV;V.CVB;ACT	V;NFIN
ακουστική	akoestisch	ακουστικός	akoestisch	ADJ;NOM;FEM;SG	ADJ
ακουστική	akoestische	ακουστικός	akoestisch	ADJ;NOM;FEM;SG	ADJ
πολωνική	pools	πολωνικός	pools	ADJ;NOM;FEM;SG	ADJ
πολωνική	poolse	πολωνικός	pools	ADJ;NOM;FEM;SG	ADJ
αμοιβή	vergoeding	αμοιβός	vergoeding	N;NOM;FEM;SG	N;MASC+FEM;SG
αμοιβή	honorarium	αμοιβός	honorarium	N;NOM;FEM;SG	N;NEUT;SG
αμοιβή	vergoeding	αμοιβός	vergoeding	N;NOM;FEM;SG	N;MASC+FEM;SG
αμοιβή	bezoldiging	αμοιβός	bezoldiging	N;NOM;FEM;SG	N;MASC+FEM;SG
αμοιβή	beloning	αμοιβός	beloning	N;NOM;FEM;SG	N;MASC+FEM;SG
αμοιβή	beloning	αμοιβός	beloning	N;NOM;FEM;SG	N;MASC+FEM;SG
μύθοι	mythen	μύθος	mythen	N;NOM;MASC;PL	N;PL
μύθοι	mythes	μύθος	mythes	N;NOM;MASC;PL	N;PL
μύθοι	legenden	μύθος	legend	N;NOM;MASC;PL	N;PL
μύθοι	legendes	μύθος	legend	N;NOM;MASC;PL	N;PL
μετατόπιση	shift	μετατόπιση	shift	N;ACC;FEM;SG	N;MASC+FEM;SG
μετατόπιση	verschuiving	μετατόπιση	verschuiving	N;ACC;FEM;SG	N;MASC+FEM;SG
μετατόπιση	verplaatsing	μετατόπιση	verplaatsing	N;ACC;FEM;SG	N;MASC+FEM;SG
μετατόπιση	compensatie	μετατόπιση	compensatie	N;ACC;FEM;SG	N;MASC+FEM;SG
μετατόπιση	verschuiving	μετατόπιση	verschuiving	N;ACC;FEM;SG	N;MASC+FEM;SG
παρουσιάστηκαν	gepresenteerde	παρουσιάζω	presenteren	V;PFV;IND;PL;3;PST;FIN;PASS	V;V.PTCP
παρουσιάστηκαν	aangeboden	παρουσιάζω	aanbieden	V;PFV;IND;PL;3;PST;FIN;PASS	V;V.PTCP
παρουσιάστηκαν	gepresenteerd	παρουσιάζω	presenteren	V;PFV;IND;PL;3;PST;FIN;PASS	V;V.PTCP
μέτρια	medium	μέτρι	medium	N;NOM;FEM;SG	N;NEUT;SG
επηρεάσει	beïnvloeden	επηρεάζω	beïnvloeden	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
επηρεάσει	beïnvloedde	επηρεάζω	beïnvloeden	V;PFV;IND;SG;3;FIN;ACT	V;SG;PST;FIN
επηρεάσει	beïnvloed	επηρεάζω	beïnvloeden	V;PFV;IND;SG;3;FIN;ACT	V;V.PTCP
ποσά	bedragen	ποσό	bedrag	N;NOM;NEUT;PL	N;PL
συνταγματική	constitutionele	συνταγματικός	constitutioneel	ADJ;NOM;FEM;SG	ADJ
συνταγματική	grondwettelijke	συνταγματικός	grondwettelijk	ADJ;NOM;FEM;SG	ADJ
συνταγματική	constitutioneel	συνταγματικός	constitutioneel	ADJ;NOM;FEM;SG	ADJ
συνταγματική	grondwettelijk	συνταγματικός	grondwettelijk	ADJ;NOM;FEM;SG	ADJ
υποδομών	infrastructuren	υποδομή	infrastructuur	N;GEN;FEM;PL	N;PL
δορυφόρο	satelliet	δορυφόρο	satelliet	N;ACC;MASC;SG	N;MASC+FEM;SG
τραπέζι	tafel	τραπέζι	tafel	N;NOM;NEUT;SG	N;MASC+FEM;SG
τραπέζι	tafeltje	τραπέζι	tafel	N;NOM;NEUT;SG	N;NEUT;SG
τραπέζι	tabel	τραπέζι	tabel	N;NOM;NEUT;SG	N;MASC+FEM;SG
δορυφόρους	satellieten	δορύφορος	satelliet	N;NOM;MASC;PL	N;PL
διονύσου	dionysus	διόνυσος	dionysus	N;GEN;MASC;SG	N;MASC+FEM;SG
διαφοροποίηση	differentiatie	διαφοροποίηση	differentiatie	N;ACC;FEM;SG	N;MASC+FEM;SG
διαφοροποίηση	differentiatie	διαφοροποίηση	differentiatie	N;ACC;FEM;SG	N;MASC+FEM;SG
διαφοροποίηση	modulatie	διαφοροποίηση	modulatie	N;ACC;FEM;SG	N;MASC+FEM;SG
διαφοροποίηση	diversificatie	διαφοροποίηση	diversificatie	N;ACC;FEM;SG	N;MASC+FEM;SG
εντοπιστεί	getraceerd	εντοπίζω	traceren	V;PFV;NFIN;PASS	V;V.PTCP
διακρίνει	onderscheidt	διακρίνω	onderscheiden	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
συνδεδεμένη	verbonden	συνδέδω	verbinden	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;V.PTCP
συνδεδεμένη	aangesloten	συνδέδω	aansluiten	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;V.PTCP
συνδεδεμένη	gekoppelde	συνδέδω	koppelen	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;V.PTCP
συνδεδεμένη	gelinkt	συνδέδω	gelinken	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;V.PTCP
συνδεδεμένη	verbonden	συνδέδω	verbinden	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;V.PTCP
συνδεδεμένη	gekoppeld	συνδέδω	koppelen	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;V.PTCP
εγκέφαλο	brein	εγκέφαλος	brein	N;ACC;MASC;SG	N;NEUT;SG
προσθέτοντας	toevoegen	προσθέτω	toevoegen	V;IPFV;V.CVB;ACT	V;NFIN
εκτελέστηκαν	uitgevoerd	εκτελώ	uitvoeren	V;PFV;IND;PL;3;PST;FIN;PASS	V;V.PTCP
εκτελέστηκαν	uitgevoerde	εκτελώ	uitvoeren	V;PFV;IND;PL;3;PST;FIN;PASS	V;V.PTCP
εκτελέστηκαν	geëxecuteerd	εκτελώ	executeren	V;PFV;IND;PL;3;PST;FIN;PASS	V;V.PTCP
φλόγα	vlam	φλόγα	vlam	N;NOM;FEM;SG	N;MASC+FEM;SG
οργανώνει	organiseert	οργανώνω	organiseren	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
οργανώνει	organiseert	οργανώνω	organiseren	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
δον	don	δον	don	N;NOM;MASC;SG	N;MASC+FEM;SG
απεικονίζουν	afbeelden	απεικονίζω	afbeeld	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;NFIN
εξελίσσεται	evolueert	εξελίσσω	evolueren	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;SG;PRS;FIN
εξελίσσεται	evolueren	εξελίσσω	evolueren	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;NFIN
εξελίσσεται	evoluerende	εξελίσσω	evolueren	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;V.PTCP
δολοφονίες	moorden	δολοφονία	moord	N;NOM;FEM;PL	N;PL
δολοφονίες	moorden	δολοφονία	moord	N;NOM;FEM;PL	N;PL
αρμονία	harmonie	αρμονία	harmonie	N;NOM;FEM;SG	N;MASC+FEM;SG
αρμονία	harmony	αρμονία	harmony	N;NOM;FEM;SG	N;MASC+FEM;SG
ρήνου	rijn	ρήνος	rijn	N;GEN;MASC;SG	N;MASC+FEM;SG
ηλιακή	zonne	ηλιακός	zonne	N;NOM;FEM;SG	N;MASC+FEM;SG
ηλιακή	solar	ηλιακός	solar	N;NOM;FEM;SG	N;MASC+FEM;SG
μοτίβα	patronen	μοτίβα	patroon	N;NOM;NEUT;PL	N;PL
κινδύνους	gevaren	κίνδυνος	gevaar	N;ACC;MASC;PL	N;PL
πύργοι	torens	πύργος	torens	N;NOM;MASC;PL	N;PL
φόρουμ	forum	φόρουμ	forum	N;NOM;MASC;SG	N;NEUT;SG
διαφθορά	corruptie	διαφθορά	corruptie	N;NOM;FEM;SG	N;MASC+FEM;SG
στράτευμα	troep	στράτευμα	troep	N;NOM;NEUT;SG	N;MASC+FEM;SG
διασταύρωση	kruispunt	διασταύρωση	kruispunt	N;ACC;FEM;SG	N;NEUT;SG
διασταύρωση	kruising	διασταύρωση	kruising	N;ACC;FEM;SG	N;MASC+FEM;SG
διασταύρωση	junction	διασταύρωση	junction	N;ACC;FEM;SG	N;MASC+FEM;SG
τει	tei	ο	tei	N;NOM;NEUT;SG	N;MASC+FEM;SG
συνομοσπονδίας	confederatie	συνομοσπονδία	confederatie	N;GEN;FEM;SG	N;MASC+FEM;SG
συνομοσπονδίας	bondsstaat	συνομοσπονδία	bondsstaat	N;GEN;FEM;SG	N;MASC+FEM;SG
αντίποινα	represailles	αντίποινο	represaille	N;NOM;NEUT;PL	N;PL
αντίποινα	represailles	αντίποινο	represaille	N;NOM;NEUT;PL	N;PL
παραχώρηση	concessie	παραχώρηση	concessie	N;ACC;FEM;SG	N;MASC+FEM;SG
παραχώρηση	tegemoetkoming	παραχώρηση	tegemoetkoming	N;ACC;FEM;SG	N;MASC+FEM;SG
ιδανικό	ideaal	ιδανικός	ideaal	ADJ;NOM;NEUT;SG	ADJ
ύδατα	wateren	ύδωρ	wateren	N;NOM;NEUT;PL	N;PL
μεραρχίες	splitsingen	μεραρχία	splitsing	N;NOM;FEM;PL	N;PL
μεραρχίες	afdelingen	μεραρχία	afdeling	N;NOM;FEM;PL	N;PL
μεραρχίες	divisies	μεραρχία	divisie	N;NOM;FEM;PL	N;PL
αυστριακό	oostenrijks	αυστριακός	oostenrijks	ADJ;NOM;NEUT;SG	ADJ
αυστριακό	oostenrijkse	αυστριακός	oostenrijks	ADJ;NOM;NEUT;SG	ADJ
πυροβολικό	artillerie	πυροβολικός	artillerie	N;NOM;NEUT;SG	N;MASC+FEM;SG
πυροβολικό	geschut	πυροβολικός	schutten	N;NOM;NEUT;SG	N;NEUT;SG
τέλεια	perfect	τέλεια	perfect	ADJ;NOM;FEM;SG	ADJ
τέλεια	perfecte	τέλεια	perfect	ADJ;NOM;FEM;SG	ADJ
τέλεια	groot	τέλεια	groot	ADJ;NOM;FEM;SG	ADJ
τέλεια	geweldig	τέλεια	geweldig	ADJ;NOM;FEM;SG	ADJ
τέλεια	fantastisch	τέλεια	fantastisch	ADJ;NOM;FEM;SG	ADJ
απογραφές	inventarissen	απογραφή	inventaris	N;NOM;FEM;PL	N;PL
απογραφές	voorraden	απογραφή	voorraad	N;NOM;FEM;PL	N;PL
απογραφές	tellingen	απογραφή	telling	N;NOM;FEM;PL	N;PL
γάτα	poes	γάτα	poes	N;NOM;FEM;SG	N;MASC+FEM;SG
γάτα	kat	γάτα	kat	N;NOM;FEM;SG	N;MASC+FEM;SG
θαύμα	mirakel	θαύμα	mirakel	N;NOM;NEUT;SG	N;NEUT;SG
θαύμα	wonder	θαύμα	wonder	N;NOM;NEUT;SG	N;NEUT;SG
θαύμα	verwondering	θαύμα	verwondering	N;NOM;NEUT;SG	N;MASC+FEM;SG
θαύμα	wonder	θαύμα	wonder	N;NOM;NEUT;SG	N;NEUT;SG
ισότητα	gelijkheid	ισότητα	gelijkheid	N;ACC;FEM;SG	N;MASC+FEM;SG
γκαλερί	galerie	γκαλώ	galerie	N;NOM;FEM;SG	N;MASC+FEM;SG
γκαλερί	galerij	γκαλώ	galerij	N;NOM;FEM;SG	N;MASC+FEM;SG
έφορος	curator	έφορος	curator	N;NOM;MASC;SG	N;MASC+FEM;SG
σύνορο	grens	σύνορο	grens	N;NOM;NEUT;SG	N;MASC+FEM;SG
σύνορο	grens	σύνορο	grens	N;NOM;NEUT;SG	N;MASC+FEM;SG
λειτουργική	functioneel	λειτουργικός	functioneel	ADJ;NOM;FEM;SG	ADJ
λειτουργική	functionele	λειτουργικός	functioneel	ADJ;NOM;FEM;SG	ADJ
λειτουργική	operationele	λειτουργικός	operationeel	ADJ;NOM;FEM;SG	ADJ
λειτουργική	operationeel	λειτουργικός	operationeel	ADJ;NOM;FEM;SG	ADJ
κρίσεις	aanvallen	κρίση	aanval	N;NOM;FEM;PL	N;PL
κρίσεις	convulsies	κρίση	convulsie	N;NOM;FEM;PL	N;PL
κρίσεις	crises	κρίση	crise	N;NOM;FEM;PL	N;PL
κρίσεις	crisissen	κρίση	crisis	N;NOM;FEM;PL	N;PL
γλυκό	sweet	γλυκό	sweet	N;NOM;NEUT;SG	N;MASC+FEM;SG
χρήσιμες	bruikbaar	χρήσιμος	bruikbaar	ADJ;NOM;FEM;PL	ADJ
χρήσιμες	nuttig	χρήσιμος	nuttig	ADJ;NOM;FEM;PL	ADJ
δίσκοι	records	δίσκος	record	N;NOM;MASC;PL	N;PL
δίσκοι	schijven	δίσκος	schijven	N;NOM;MASC;PL	N;PL
δίσκοι	schijven	δίσκος	schijven	N;NOM;MASC;PL	N;PL
ολοκαύτωμα	holocaust	ολοκαύτωμα	holocaust	N;NOM;NEUT;SG	N;MASC+FEM;SG
έσπασε	brak	σπάω	breken	V;PFV;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
έσπασε	gebroken	σπάω	breken	V;PFV;IND;SG;3;PST;FIN;ACT	V;V.PTCP
υποκείμενο	onderwerp	υποκείμενο	onderwerp	N;NOM;NEUT;SG	N;NEUT;SG
υποκείμενο	proefpersoon	υποκείμενο	proefpersoon	N;NOM;NEUT;SG	N;MASC+FEM;SG
υποκείμενο	subject	υποκείμενο	subject	N;NOM;NEUT;SG	N;NEUT;SG
καθήκον	duty	καθήκον	duty	N;NOM;NEUT;SG	N;MASC+FEM;SG
καθήκον	plicht	καθήκον	plicht	N;NOM;NEUT;SG	N;MASC+FEM;SG
καθήκον	taak	καθήκον	taak	N;NOM;NEUT;SG	N;MASC+FEM;SG
σημειωματάριο	notebook	σημειωματάριο	notebook	N;NOM;NEUT;SG	N;MASC+FEM;SG
σημειωματάριο	notitieboek	σημειωματάριο	notitieboek	N;NOM;NEUT;SG	N;NEUT;SG
σημειωματάριο	notitieboekje	σημειωματάριο	notitieboek	N;NOM;NEUT;SG	N;NEUT;SG
δόση	dosis	δόση	dosis	N;NOM;FEM;SG	N;MASC+FEM;SG
δόση	dosering	δόση	dosering	N;NOM;FEM;SG	N;MASC+FEM;SG
δόση	dosis	δόση	dosis	N;NOM;FEM;SG	N;MASC+FEM;SG
δόση	dosering	δόση	dosering	N;NOM;FEM;SG	N;MASC+FEM;SG
εξεγέρσεις	rellen	εξέγερση	rel	N;NOM;FEM;PL	N;PL
εξεγέρσεις	opstanden	εξέγερση	opstand	N;NOM;FEM;PL	N;PL
αεροπλάνα	vliegtuigen	αεροπλάνα	vliegtuig	N;NOM;NEUT;PL	N;PL
αεροπλάνα	vliegtuigen	αεροπλάνα	vliegtuig	N;NOM;NEUT;PL	N;PL
αεροπλάνα	vliegtuigen	αεροπλάνα	vliegtuig	N;NOM;NEUT;PL	N;PL
τόνο	tonijn	τόνος	tonijn	N;ACC;MASC;SG	N;MASC+FEM;SG
τόνο	toon	τόνος	toon	N;ACC;MASC;SG	N;MASC+FEM;SG
τόνο	toontje	τόνος	toon	N;ACC;MASC;SG	N;NEUT;SG
τόνο	tone	τόνος	tone	N;ACC;MASC;SG	N;MASC+FEM;SG
κατάχρηση	misbruik	κατάχρηση	misbruik	N;ACC;FEM;SG	N;NEUT;SG
κατάχρηση	verduistering	κατάχρηση	verduistering	N;ACC;FEM;SG	N;MASC+FEM;SG
κατάχρηση	misbruik	κατάχρηση	misbruik	N;ACC;FEM;SG	N;NEUT;SG
κατάχρηση	mishandeling	κατάχρηση	mishandeling	N;ACC;FEM;SG	N;MASC+FEM;SG
χώμα	bodem	χώμα	bodem	N;NOM;NEUT;SG	N;MASC+FEM;SG
χώμα	grond	χώμα	grond	N;NOM;NEUT;SG	N;MASC+FEM;SG
στρατιώτη	soldaat	στρατιώτης	soldaat	N;ACC;MASC;SG	N;MASC+FEM;SG
στρατιώτη	trooper	στρατιώτης	trooper	N;ACC;MASC;SG	N;MASC+FEM;SG
αποκτήθηκε	verkregen	αποκτώ	verkrijgen	V;PFV;IND;SG;3;PST;FIN;PASS	V;V.PTCP
αποκτήθηκε	verworven	αποκτώ	verwerven	V;PFV;IND;SG;3;PST;FIN;PASS	V;V.PTCP
ευκαιρίες	kansen	ευκαιρία	kans	N;NOM;FEM;PL	N;PL
ευκαιρίες	mogelijkheden	ευκαιρία	mogelijkheid	N;NOM;FEM;PL	N;PL
ενέκρινε	goedgekeurde	εγκρίνω	goedkeuren	V;IPFV;IND;SG;3;PST;FIN;ACT	V;V.PTCP
ενέκρινε	goedgekeurd	εγκρίνω	goedkeuren	V;IPFV;IND;SG;3;PST;FIN;ACT	V;V.PTCP
ενέκρινε	geadopteerd	εγκρίνω	dopteren	V;IPFV;IND;SG;3;PST;FIN;ACT	V;V.PTCP
ενέκρινε	aangenomen	εγκρίνω	aannemen	V;IPFV;IND;SG;3;PST;FIN;ACT	V;V.PTCP
ενέκρινε	goedgekeurd	εγκρίνω	goedkeuren	V;IPFV;IND;SG;3;PST;FIN;ACT	V;V.PTCP
πλημμύρες	overstromingen	πλημμύρα	overstroming	N;NOM;FEM;PL	N;PL
πλημμύρες	overstromingen	πλημμύρα	overstroming	N;NOM;FEM;PL	N;PL
σθένος	standvastigheid	σθένος	standvastigheid	N;NOM;NEUT;SG	N;MASC+FEM;SG
διαβήτη	suikerziekte	διαβήτης	suikerziekte	N;SG	N;MASC+FEM;SG
συνήθεια	gewoonte	συνήθεια	gewoonte	N;NOM;FEM;SG	N;MASC+FEM;SG
κατάρτιση	training	κατάρτιση	training	N;ACC;FEM;SG	N;MASC+FEM;SG
κατάρτιση	opleiding	κατάρτιση	opleiding	N;ACC;FEM;SG	N;MASC+FEM;SG
λαογραφία	folklore	λαογραφία	folklore	N;NOM;FEM;SG	N;MASC+FEM;SG
κυβερνείο	gouvernement	κυβερνείο	gouvernement	N;NOM;NEUT;SG	N;NEUT;SG
απολύθηκε	ontslagen	απολύω	ontslaan	V;PFV;IND;SG;3;PST;FIN;PASS	V;V.PTCP
χιούμορ	humor	χιούμορ	humor	N;NOM;NEUT;SG	N;MASC+FEM;SG
χιούμορ	humor	χιούμορ	humor	N;NOM;NEUT;SG	N;MASC+FEM;SG
ανακάλυψαν	ontdekt	ανακαλύπτω	ontdekken	V;PFV;IND;PL;3;PST;FIN;ACT	V;V.PTCP
πρόβλεψη	voorspelling	πρόβλεψη	voorspelling	N;ACC;FEM;SG	N;MASC+FEM;SG
πρόβλεψη	voorspelling	πρόβλεψη	voorspelling	N;ACC;FEM;SG	N;MASC+FEM;SG
πρόβλεψη	prognose	πρόβλεψη	prognose	N;ACC;FEM;SG	N;MASC+FEM;SG
αποδεικνύει	bewijst	αποδεικνύω	bewijzen	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
απόκλιση	afwijking	απόκλιση	afwijking	N;ACC;FEM;SG	N;MASC+FEM;SG
απόκλιση	divergentie	απόκλιση	divergentie	N;ACC;FEM;SG	N;MASC+FEM;SG
γιοι	zoons	γιος	zoon	N;NOM;MASC;PL	N;PL
γιοι	zonen	γιος	zone	N;NOM;MASC;PL	N;PL
κατοικείται	bewoond	κατοικώ	bewonen	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;V.PTCP
διαστημόπλοιο	ruimtevaartuig	διαστημόπλοιος	ruimtevaartuig	N;NOM;NEUT;SG	N;NEUT;SG
διαστημόπλοιο	ruimteschip	διαστημόπλοιος	ruimteschip	N;NOM;NEUT;SG	N;NEUT;SG
διαστημόπλοιο	ruimteschip	διαστημόπλοιος	ruimteschip	N;NOM;NEUT;SG	N;NEUT;SG
διορθώσεις	correcties	διορθώση	correctie	N;NOM;FEM;PL	N;PL
διορθώσεις	bewerkingen	διορθώση	bewerking	N;NOM;FEM;PL	N;PL
πρόδρομος	voorloper	πρόδρομος	voorloper	N;NOM;MASC;SG	N;MASC+FEM;SG
πρόδρομος	voorloper	πρόδρομος	voorloper	N;NOM;MASC;SG	N;MASC+FEM;SG
ιού	virus	ιού	virus	N;GEN;NEUT;SG	N;NEUT;SG
φόρμα	vorm	φόρμα	vorm	N;ACC;FEM;SG	N;MASC+FEM;SG
φόρμα	formulier	φόρμα	formulier	N;ACC;FEM;SG	N;NEUT;SG
φόρμα	overall	φόρμα	overall	N;ACC;FEM;SG	N;NEUT;SG
διαφορών	geschillen	διαφορά	geschil	N;GEN;FEM;PL	N;PL
έζησαν	leefden	χάνω	leven	V;PFV;IND;PL;3;PST;FIN;ACT	V;PL;PST;FIN
αδάμ	adam	αδάμ	adam	N;NOM;MASC;SG	N;MASC+FEM;SG
προσφέρεται	aangeboden	προσφέρω	aanbieden	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;V.PTCP
γράφημα	grafiek	γράφημα	grafiek	N;NOM;NEUT;SG	N;MASC+FEM;SG
γράφημα	grafiek	γράφημα	grafiek	N;NOM;NEUT;SG	N;MASC+FEM;SG
εκτόξευση	lancering	εκτόξευση	lancering	N;ACC;FEM;SG	N;MASC+FEM;SG
εκτόξευση	lancering	εκτόξευση	lancering	N;ACC;FEM;SG	N;MASC+FEM;SG
καπνού	tabak	καπνού	tabak	N;GEN;NEUT;SG	N;MASC+FEM;SG
φάρμακο	geneeskunde	φάρμακο	geneeskunde	N;NOM;NEUT;SG	N;MASC+FEM;SG
φάρμακο	geneesmiddel	φάρμακο	geneesmiddel	N;NOM;NEUT;SG	N;NEUT;SG
φάρμακο	drug	φάρμακο	drug	N;NOM;NEUT;SG	N;MASC+FEM;SG
εκτελέσει	uitvoeren	εκτελώ	uitvoeren	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
εκτελέσει	executeren	εκτελώ	executeren	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
όμηρο	gijzelaar	όμηρος	gijzelaar	N;ACC;MASC;SG	N;MASC+FEM;SG
γυαλί	glas	γυαλί	glas	N;NOM;NEUT;SG	N;NEUT;SG
κάτοικος	inwoner	κάτοικος	inwoner	N;NOM;MASC;SG	N;MASC+FEM;SG
κάτοικος	inwoner	κάτοικος	inwoner	N;NOM;MASC;SG	N;MASC+FEM;SG
ουδέτερη	neutrale	ούδετερος	neutraal	ADJ;NOM;FEM;SG	ADJ
ουδέτερη	neutraal	ούδετερος	neutraal	ADJ;NOM;FEM;SG	ADJ
ευγενής	edele	ευγενής	edeel	ADJ;NOM;MASC;SG	ADJ
ευγενής	edel	ευγενής	edel	ADJ;NOM;MASC;SG	ADJ
ευγενής	nobele	ευγενής	nobel	ADJ;NOM;MASC;SG	ADJ
ευγενής	nobel	ευγενής	nobel	ADJ;NOM;MASC;SG	ADJ
ορυχεία	mijnen	ορυχεία	mijn	N;NOM;NEUT;PL	N;PL
παράθεση	quote	παράθεση	quot	N;NOM;FEM;SG	N;MASC+FEM;SG
παράθεση	citaat	παράθεση	citaat	N;NOM;FEM;SG	N;NEUT;SG
παράθεση	aanhaling	παράθεση	aanhaling	N;NOM;FEM;SG	N;MASC+FEM;SG
παράθεση	citaat	παράθεση	citaat	N;NOM;FEM;SG	N;NEUT;SG
παράθεση	notering	παράθεση	notering	N;NOM;FEM;SG	N;MASC+FEM;SG
παράθεση	offerte	παράθεση	offert	N;NOM;FEM;SG	N;MASC+FEM;SG
εξόρυξη	extractie	εξόρυξη	extractie	N;NOM;FEM;SG	N;MASC+FEM;SG
εξόρυξη	winning	εξόρυξη	winning	N;NOM;FEM;SG	N;MASC+FEM;SG
εξόρυξη	mijnbouw	εξόρυξη	mijnbouw	N;NOM;FEM;SG	N;MASC+FEM;SG
βόμβες	bommen	βόμβας	bom	N;NOM;FEM;PL	N;PL
κλασσική	klassiek	κλασσικός	klassiek	ADJ;NOM;FEM;SG	ADJ
κλασσική	klassieke	κλασσικός	klassiek	ADJ;NOM;FEM;SG	ADJ
πόντοι	punten	πόντος	punt	N;NOM;MASC;PL	N;PL
πράκτορας	agent	πράκτορας	agent	N;NOM;MASC;SG	N;MASC+FEM;SG
επίδειξη	betoging	επίδειξη	betoging	N;ACC;FEM;SG	N;MASC+FEM;SG
επίδειξη	demonstratie	επίδειξη	demonstratie	N;ACC;FEM;SG	N;MASC+FEM;SG
επιδημία	epidemie	επιδημία	epidemie	N;NOM;FEM;SG	N;MASC+FEM;SG
επιδημία	uitbraak	επιδημία	uitbraak	N;NOM;FEM;SG	N;MASC+FEM;SG
πρεσβευτής	ambassadeur	πρεσβευτής	ambassadeur	N;NOM;MASC;SG	N;MASC+FEM;SG
φόνο	moord	φόνο	moord	N;ACC;MASC;SG	N;MASC+FEM;SG
συχνότητες	frequenties	συχνότητα	frequentie	N;NOM;FEM;PL	N;PL
αμφιβολία	twijfel	αμφιβολία	twijfel	N;NOM;FEM;SG	N;MASC+FEM;SG
ανταγωνισμού	concurrentie	ανταγωνισμός	concurrentie	N;GEN;MASC;SG	N;MASC+FEM;SG
ανταγωνισμού	mededinging	ανταγωνισμός	mededinging	N;GEN;MASC;SG	N;MASC+FEM;SG
ανταγωνισμού	competitie	ανταγωνισμός	competitie	N;GEN;MASC;SG	N;MASC+FEM;SG
μέλισσα	hommel	μέλισσα	hommel	N;NOM;FEM;SG	N;MASC+FEM;SG
