ralf	ralf	ralf	ralf	PROPN;NOM;SG	PROPN;NOM;MASC;SG
pidemmälle	nadaljnje	pitkä	nadaljnji	ADJ;AT+ALL;CMPR;SG	ADJ;NOM;NEUT;SG
väkivaltaa	nasilje	väki#valta	nasilje	N;PRT;SG	N;NOM;NEUT;SG
pérez	pérez	pérez	pérez	PROPN;NOM;SG	PROPN;NOM;MASC;SG
laajempaa	širši	laaja	širok	ADJ;PRT;CMPR;SG	ADJ;NOM;DEF;CMPR;MASC;SG
laajempaa	širše	laaja	širok	ADJ;PRT;CMPR;SG	ADJ;NOM;CMPR;NEUT;SG
laajempaa	širši	laaja	širok	ADJ;PRT;CMPR;SG	ADJ;NOM;DEF;CMPR;MASC;SG
laajempaa	širša	laaja	širok	ADJ;PRT;CMPR;SG	ADJ;NOM;CMPR;FEM;SG
laajempaa	širše	laaja	širok	ADJ;PRT;CMPR;SG	ADJ;NOM;CMPR;NEUT;SG
tapahtumaan	dogodek	tapahtuma	dogodek	N;IN+ALL;SG	N;NOM;MASC;SG
tapahtumaan	prireditev	tapahtuma	prireditev	N;IN+ALL;SG	N;NOM;FEM;SG
tapahtumaan	dogodka	tapahtuma	dogodek	N;IN+ALL;SG	N;NOM;MASC;SG
sullivan	sullivan	sulla	sullivan	ADJ;NOM;SG	N;NOM;MASC;SG
toimintoja	funkcionalnost	toiminto	funkcionalnost	N;PRT;PL	N;NOM;FEM;SG
cannesin	cannesu	cannes	cannes	N;GEN;SG	N;DAT;MASC;SG
isot	velika	iso	velik	ADJ;NOM;PL	ADJ;NOM;FEM;SG
isot	veliki	iso	velik	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
isot	velik	iso	velik	ADJ;NOM;PL	ADJ;NOM;INDF;MASC;SG
sánchez	sánchez	sánchez	sknchez	PROPN;NOM;SG	PROPN;NOM;MASC;SG
sánchez	sanchez	sánchez	sanchez	PROPN;NOM;SG	PROPN;NOM;MASC;SG
richards	richards	richards	richards	PROPN;NOM;SG	N;NOM;MASC;SG
edwin	edwin	edwin	edwin	N;NOM;SG	PROPN;NOM;MASC;SG
aamu	dopoldne	aamu	dopoldne	N;NOM;SG	ADV
aamu	jutranja	aamu	jutranji	N;NOM;SG	ADJ;NOM;FEM;SG
viestinnän	komunikacije	viestintä	komunikacija	N;GEN;SG	N;NOM;FEM;PL
viestinnän	komuniciranje	viestintä	komuniciranje	N;GEN;SG	N;NOM;NEUT;SG
liittoutuneet	zaveznika	liittoutua	zaveznik	V;NOM;PL;V.PTCP;ACT	N;ACC;MASC;SG
liittoutuneet	zavezniki	liittoutua	zaveznik	V;NOM;PL;V.PTCP;ACT	N;NOM;MASC;PL
rajoja	meje	raja	meja	N;PRT;PL	N;NOM;FEM;PL
kristittyjä	kristjane	kristitty	kristjan	N;PRT;PL	N;ACC;MASC;PL
kristittyjä	kristjani	kristitty	kristjan	N;PRT;PL	N;NOM;MASC;PL
kristittyjä	kristjanov	kristitty	kristjan	N;PRT;PL	N;GEN;MASC;PL
hävittäjät	borca	hävittäjä	borec	N;NOM;PL	N;NOM;MASC;SG
hävittäjät	rušilcev	hävittäjä	rušilec	N;NOM;PL	N;GEN;MASC;PL
kiviä	kamne	kivi	kamen	N;PRT;PL	ADJ;ACC;FEM;PL
kiviä	kamenje	kivi	kamenje	N;PRT;PL	N;ACC;MASC;PL
kiviä	kamni	kivi	kamen	N;PRT;PL	N;NOM;MASC;PL
kiviä	skale	kivi	skala	N;PRT;PL	N;NOM;FEM;PL
kiviä	kamenje	kivi	kamenje	N;PRT;PL	N;ACC;MASC;PL
kiviä	kamni	kivi	kamen	N;PRT;PL	N;NOM;MASC;PL
kenen	čigav	kuka	čigav	PRO;GEN;SG	PRO;NOM;MASC;SG
kenen	čigava	kuka	čigava	PRO;GEN;SG	ADJ;NOM;FEM;SG
kenen	čigavo	kuka	čigav	PRO;GEN;SG	ADV
sukellusveneen	podmornico	sukeltus#vene	podmornica	N;GEN;SG	N;ACC;FEM;SG
sukellusveneen	podmornica	sukeltus#vene	podmornica	N;GEN;SG	N;NOM;FEM;SG
markkinat	trg	markkinat	trg	N;NOM;PL	N;NOM;MASC;SG
markkinat	tržišče	markkinat	tržišče	N;NOM;PL	N;NOM;NEUT;SG
washingtonissa	washington	washington	washington	N;IN+ESS;SG	PROPN;NOM;MASC;SG
ajat	krat	aika	krat	N;NOM;PL	ADV
ajat	times	aika	times	N;NOM;PL	N;NOM;MASC;SG
korvattu	substituiranih	korvata	substituiran	V;NOM;SG;V.PTCP;PASS	ADJ;GEN;MASC;PL
korvattu	zamenjana	korvata	zamenjan	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
korvattu	nadomeščen	korvata	nadomeščen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
valentin	valentin	valentti	valentina	N;GEN;SG	N;NOM;MASC;SG
suu	ust	suu	usta	N;NOM;SG	N;GEN;NEUT;PL
suu	usta	suu	usta	N;NOM;SG	N;NOM;NEUT;PL
elisa	eliza	elisa	eliza	N;NOM;SG	PROPN;NOM;FEM;SG
yksinään	sama	yksinään	sam	ADV	ADJ;NOM;FEM;SG
yksinään	sami	yksinään	sam	ADV	ADJ;NOM;MASC;PL
yksinään	sam	yksinään	samo	ADV	PART
yksinään	posamezno	yksinään	posamezno	ADV	ADJ;NOM;NEUT;SG
yksinään	posamično	yksinään	posamičen	ADV	ADJ;NOM;NEUT;SG
psykologian	psihologijo	psykologia	psihologija	N;GEN;SG	N;ACC;FEM;SG
psykologian	psihologija	psykologia	psihologija	N;GEN;SG	N;NOM;FEM;SG
lindgren	lindgren	lindgri	lindgren	PROPN;NOM;SG	N;NOM;MASC;SG
puhdas	čist	puhdas	čist	ADJ;NOM;SG	
puhdas	cist	puhdas	cist	ADJ;NOM;SG	
puhdas	čist	puhdas	čist	ADJ;NOM;SG	
milanon	milan	milano	milan	PROPN;GEN;SG	PROPN;NOM;MASC;SG
milanon	milano	milano	milan	PROPN;GEN;SG	PROPN;NOM;MASC;SG
amsterdamin	amsterdam	amsterdami	amsterda	N;GEN;SG	N;NOM;MASC;SG
amsterdamin	amsterdamu	amsterdami	amsterda	N;GEN;SG	N;DAT;MASC;SG
uhrien	žrtve	uhri	žrtev	N;GEN;PL	N;NOM;FEM;PL
maku	okusi	maku	okusiti	N;NOM;SG	N;NOM;MASC;PL
fia	fia	fia	fia	N;NOM;SG	PROPN;NOM;FEM;SG
suojella	varovanje	suojella	varovanje	V;SG;NFIN;ACT	N;NOM;NEUT;SG
kuoron	zbor	kuoro	zbor	N;GEN;SG	N;NOM;MASC;SG
vuoret	gorovje	vuori	gorovje	N;NOM;PL	N;NOM;NEUT;SG
katherine	katherine	katherinen	katherin	N;NOM;SG	ADJ;NOM;FEM;SG
turvallisuuden	varnost	turvallisuus	varnost	N;GEN;SG	N;NOM;FEM;SG
turvallisuuden	varovanje	turvallisuus	varovanje	N;GEN;SG	N;NOM;NEUT;SG
ajatukset	misli	ajatus	misliti	N;NOM;PL	V;IPFV;IND;SG;3;PRS;FIN
demokratian	demokracija	demokratia	demokracija	N;GEN;SG	N;NOM;FEM;SG
dem	dem	dem	dem	N;NOM;SG	
kerros	plasti	kerros	plast	N;NOM;SG	N;NOM;FEM;PL
kerros	tla	kerros	tla	N;NOM;SG	N;NOM;NEUT;PL
villi	wild	villi	wild	ADJ;NOM;SG	
villi	divje	villi	divji	ADJ;NOM;SG	ADJ;NOM;FEM;PL
luxemburgin	luksemburg	luxemburgi	luksemburg	PROPN;GEN;SG	N;NOM;MASC;SG
fair	pošteno	fair	pošteno		ADV
fair	pravično	fair	pravičen		ADJ;NOM;NEUT;SG
fair	sejem	fair	sejem		N;NOM;MASC;SG
wallace	wallace	wallace	wallace	PROPN;NOM;SG	N;NOM;MASC;SG
orlando	orlando	orlando	orlanda		N;NOM;MASC;SG
lokakuu	oktobra	lokakuu	oktober	N;NOM;SG	N;GEN;MASC;SG
suuntaus	usmerjenosti	suuntaus	usmerjenost	N;NOM;SG	N;GEN;FEM;SG
jensen	jensen	jensen	jensen		N;NOM;MASC;SG
hirviö	zveri	hirviö	zvera	N;NOM;SG	N;NOM;FEM;PL
espanjaa	špansko	espanja	španski	N;PRT;SG	ADJ;NOM;NEUT;SG
espanjaa	španščina	espanja	španščina	N;PRT;SG	N;NOM;FEM;SG
espanjaa	španski	espanja	španski	N;PRT;SG	ADJ;NOM;DEF;MASC;SG
espanjaa	španska	espanja	španski	N;PRT;SG	ADJ;NOM;FEM;SG
luettelot	katalogov	luettelo	katalog	N;NOM;PL	N;GEN;MASC;PL
luettelot	sezname	luettelo	seznam	N;NOM;PL	N;ACC;MASC;PL
luodaan	ustvarjanje	luoda	ustvarjanje	V;IND;PRS;FIN;PASS	N;NOM;NEUT;SG
kalaa	ribi	kala	riba	N;PRT;SG	N;NOM;FEM;SG
kalaa	riba	kala	riba	N;PRT;SG	N;NOM;FEM;SG
kalaa	ribe	kala	riba	N;PRT;SG	N;NOM;FEM;PL
kalaa	ribice	kala	ribica	N;PRT;SG	N;NOM;FEM;PL
kalaa	ribo	kala	riba	N;PRT;SG	N;ACC;FEM;SG
malin	malin	mali	malin	N;GEN;SG	N;GEN;FEM;PL
malin	mali	mali	mali	N;GEN;SG	ADJ;NOM;DEF;MASC;SG
historiallista	zgodovinski	historiallinen	zgodovinski	ADJ;PRT;SG	ADJ;NOM;MASC;SG
historiallista	zgodovinska	historiallinen	zgodovinski	ADJ;PRT;SG	ADJ;NOM;FEM;SG
historiallista	zgodovinsko	historiallinen	zgodovinski	ADJ;PRT;SG	ADJ;NOM;NEUT;SG
historiallista	zgodovinski	historiallinen	zgodovinski	ADJ;PRT;SG	ADJ;NOM;MASC;SG
historiallista	zgodovinsko	historiallinen	zgodovinski	ADJ;PRT;SG	ADJ;NOM;NEUT;SG
historiallista	zgodovinska	historiallinen	zgodovinski	ADJ;PRT;SG	ADJ;NOM;FEM;SG
historiallista	zgodovinske	historiallinen	zgodovinski	ADJ;PRT;SG	ADJ;NOM;FEM;PL
heinäkuu	julija	heinäkuu	julij	N;NOM;SG	N;GEN;MASC;SG
vuorten	hribi	vuori	hrib	N;GEN;PL	N;NOM;MASC;PL
vuorten	planine	vuori	planina	N;GEN;PL	N;NOM;FEM;PL
vuorten	gore	vuori	gora	N;GEN;PL	N;NOM;FEM;PL
vuorten	gorovje	vuori	gorovje	N;GEN;PL	N;NOM;NEUT;SG
ajoitettu	predvideno	ajoittaa	predviden	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
ajoitettu	načrtovana	ajoittaa	načrtovan	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
ajoitettu	načrtovano	ajoittaa	načrtovan	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
paolo	paolo	paolo	paoti	PROPN;NOM;SG	PROPN;NOM;MASC;SG
kiinnostuneita	zanima	kiinnostua	zanimati	V;PRT;PL;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN
kiinnostuneita	zainteresirani	kiinnostua	zainteresiran	V;PRT;PL;V.PTCP;ACT	ADJ;NOM;MASC;PL;V.PTCP
kiinnostuneita	zainteresirana	kiinnostua	zainteresiran	V;PRT;PL;V.PTCP;ACT	ADJ;NOM;FEM;SG;V.PTCP
kiinnostuneita	zainteresirane	kiinnostua	zainteresiran	V;PRT;PL;V.PTCP;ACT	ADJ;NOM;FEM;PL;V.PTCP
sudanin	sudan	sudan	sudan	N;GEN;SG	N;NOM;MASC;SG
sudanin	sudanske	sudan	sudanski	N;GEN;SG	ADJ;NOM;FEM;PL
mitat	razsežnost	mitta	razsežnost	N;NOM;PL	N;NOM;FEM;SG
mitat	dimenzija	mitta	dimenzija	N;NOM;PL	N;NOM;FEM;SG
irene	irena	irene	irena	N;NOM;SG	PROPN;NOM;FEM;SG
irene	irene	irene	irena	N;NOM;SG	PROPN;NOM;FEM;SG
lääkkeiden	zdravila	lääke	zdravilo	N;GEN;PL	N;NOM;NEUT;PL
todellisuuden	resničnost	todellisuus	resničnost	N;GEN;SG	N;NOM;FEM;SG
todellisuuden	realnost	todellisuus	realnost	N;GEN;SG	N;NOM;FEM;SG
todellisuuden	stvarnost	todellisuus	stvarnost	N;GEN;SG	N;NOM;FEM;SG
erotettu	ločena	erottaa	ločen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
erotettu	ločeni	erottaa	ločen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
erotettu	ločen	erottaa	ločen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
erotettu	ločeno	erottaa	ločen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
erotettu	izključen	erottaa	izključen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
erotettu	odpuščen	erottaa	odpuščen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
prosessin	proces	prosessi	proces	N;GEN;SG	N;NOM;MASC;SG
prosessin	postopek	prosessi	postopek	N;GEN;SG	N;NOM;MASC;SG
keltaiset	rumena	keltainen	rumen	ADJ;NOM;PL	ADJ;NOM;FEM;SG
keltaiset	rumeni	keltainen	rume	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
keltaiset	rumen	keltainen	rumen	ADJ;NOM;PL	ADJ;NOM;INDF;MASC;SG
keltaiset	rumeno	keltainen	rumen	ADJ;NOM;PL	ADV
uskoivat	verjel	uskoa	verjeti	V;IND;PL;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
uskoivat	verjela	uskoa	verjeti	V;IND;PL;3;PST;FIN;ACT	V;FEM;SG;V.PTCP
seikkailu	dogodivščine	seikkailu	dogodivščina	N;NOM;SG	N;NOM;FEM;PL
seikkailu	pustolovščino	seikkailu	pustolovščina	N;NOM;SG	N;ACC;FEM;SG
seikkailu	pustolovščine	seikkailu	pustolovščina	N;NOM;SG	N;NOM;FEM;PL
palmer	palmer	palmer	palmera	PROPN;NOM;SG	N;NOM;MASC;SG
käymään	obisk	käydä	obisk	V;IN+ALL;SG;NFIN;ACT	N;NOM;MASC;SG
käymään	obiščite	käydä	obiščiti	V;IN+ALL;SG;NFIN;ACT	V;PFV;IMP;PL;2;FIN
linkkiä	link	linkki	linka	N;PRT;SG	N;NOM;MASC;SG
linkkiä	poveži	linkki	povežiti	N;PRT;SG	V;PFV;IND;SG;2;PRS;FIN
linkkiä	povezava	linkki	povezava	N;PRT;SG	N;NOM;FEM;SG
joachim	joachim	joachim	joach	PROPN;NOM;SG	PROPN;NOM;MASC;SG
silmä	očesu	silmä	oko	N;NOM;SG	N;DAT;NEUT;SG
kane	kane	kane	kan	PROPN;NOM;SG	N;NOM;MASC;SG
kane	kana	kane	kan	PROPN;NOM;SG	N;ACC;MASC;SG
karibian	karibih	karibia	karib	N;GEN;SG	N;ESS;MASC;PL
kokemus	izkušenj	kokemus	izkušnja	N;NOM;SG	N;GEN;FEM;PL
kokemus	izkušnje	kokemus	izkušnja	N;NOM;SG	N;NOM;FEM;PL
katto	strehe	katto	streha	N;NOM;SG	N;NOM;FEM;PL
katto	streho	katto	streha	N;NOM;SG	N;ACC;FEM;SG
huomattavaa	izjemno	huomattava	izjemno	ADJ;PRT;SG	ADV
kerttu	metka	kerttu	metek	N;NOM;SG	ADJ;NOM;FEM;SG
kirjaimet	pisem	kirjain	pisem	N;NOM;PL	N;GEN;FEM;PL
petter	petter	petter	petter	PROPN;NOM;SG	N;NOM;MASC;SG
kysymyksen	vprašanje	kysymys	vprašanje	N;GEN;SG	N;NOM;NEUT;SG
kysymyksen	vprasanje	kysymys	vprasanje	N;GEN;SG	N;NOM;NEUT;SG
maastossa	teren	maasto	teren	N;IN+ESS;SG	N;NOM;MASC;SG
riippumaton	samostojno	riippumaton	samostojen	ADJ;NOM;SG	ADV
riippumaton	neodvisni	riippumaton	neodvisen	ADJ;NOM;SG	ADJ;NOM;MASC;PL
riippumaton	neodvisno	riippumaton	neodvisen	ADJ;NOM;SG	ADV
taiteilijoita	umetniki	taiteilija	umetnik	N;PRT;PL	N;NOM;MASC;PL
pysähtyi	ustavljen	pysähtyä	ustavljen	V;IND;SG;3;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
nalle	medvedka	nalle	medvedek	N;NOM;SG	N;ACC;MASC;SG
nalle	medvedje	nalle	medvedje	N;NOM;SG	N;NOM;MASC;PL
irma	irma	irma	iti	PROPN;NOM;SG	PROPN;NOM;FEM;SG
kenian	keniji	kenia	kenija	N;GEN;SG	N;DAT;FEM;SG
valvoo	monitorji	valvoa	monitor	V;IND;SG;3;PRS;FIN;ACT	N;NOM;MASC;PL
valvoo	monitorje	valvoa	monitor	V;IND;SG;3;PRS;FIN;ACT	N;ACC;MASC;PL
valvoo	zasloni	valvoa	zaslon	V;IND;SG;3;PRS;FIN;ACT	N;NOM;MASC;PL
wim	wim	wim	wim	PROPN;NOM;SG	PROPN;NOM;MASC;SG
immonen	immonen	immonen	immonen	N;NOM;SG	
vastuu	odgovornosti	vastuu	odgovornost	N;NOM;SG	N;GEN;FEM;PL
vastuu	pristojnosti	vastuu	pristojnost	N;NOM;SG	N;NOM;FEM;PL
varaa	knjigo	vara	knjiga	N;PRT;SG	N;ACC;FEM;SG
varaa	knjiga	vara	knjiga	N;PRT;SG	N;NOM;FEM;SG
varaa	rezerva	vara	rezerva	N;PRT;SG	N;NOM;FEM;SG
varaa	rezervo	vara	rezerva	N;PRT;SG	N;ACC;FEM;SG
varaa	rezerve	vara	rezerva	N;PRT;SG	N;NOM;FEM;PL
lane	lane	lane	lan	N;NOM;SG	
vaunun	voziček	vaunu	voziček	N;GEN;SG	N;NOM;MASC;SG
vaunun	vagon	vaunu	vagon	N;GEN;SG	N;NOM;MASC;SG
vaunun	voz	vaunu	voz	N;GEN;SG	N;NOM;MASC;SG
googlen	google	google	googel	N;GEN;SG	N;NOM;MASC;SG
ski	smučarski	ski	smučarski	PROPN;NOM;SG	ADJ;NOM;MASC;SG
ski	smučarskih	ski	smučarski	PROPN;NOM;SG	ADJ;GEN;MASC;PL
ski	ski	ski	ski	PROPN;NOM;SG	N;NOM;MASC;SG
nilsson	nilsson	nilssoan	nilsson	N;NOM;SG	
turvallisuus	varnosti	turvallisuus	varnost	N;NOM;SG	N;GEN;FEM;SG
ihme	čudežni	ihme	čudežen	N;NOM;SG	ADJ;NOM;MASC;SG
ihme	čudežna	ihme	čudežen	N;NOM;SG	ADJ;NOM;FEM;SG
alba	alba	alba	alba	N;NOM;SG	PROPN;NOM;FEM;SG
jimi	jimi	jimi	on	PROPN;NOM;SG	N;NOM;MASC;SG
lasku	bill	lasku	biti	N;NOM;SG	PROPN;NOM;MASC;SG
lasku	računu	lasku	račun	N;NOM;SG	N;DAT;MASC;SG
arabia	arabski	arabi	arabski	N;NOM;SG	ADJ;NOM;MASC;SG
arabia	arabsko	arabi	arabski	N;NOM;SG	ADJ;NOM;NEUT;SG
arabia	arabska	arabi	arabski	N;NOM;SG	ADJ;NOM;FEM;SG
lou	lou	lou	lou	PROPN;NOM;SG	PROPN;NOM;MASC;SG
bach	bach	bach	bacha	PROPN;NOM;SG	N;NOM;MASC;SG
kalastusta	ribolov	kalastus	ribolov	N;PRT;SG	N;NOM;MASC;SG
kalastusta	ribarjenje	kalastus	ribarjenje	N;PRT;SG	N;NOM;NEUT;SG
kalastusta	ribolova	kalastus	ribolov	N;PRT;SG	N;GEN;MASC;SG
lorenzo	lorenzo	lorenzo	lorenza		N;NOM;MASC;SG
värejä	barve	väri	barva	N;PRT;PL	N;NOM;FEM;PL
värejä	barv	väri	barva	N;PRT;PL	N;GEN;FEM;PL
värejä	barve	väri	barva	N;PRT;PL	N;NOM;FEM;PL
värejä	barv	väri	barva	N;PRT;PL	N;GEN;FEM;PL
alexandra	alexandra	alexandra	alexandra	PROPN;NOM;SG	N;NOM;MASC;SG
alexandra	aleksandra	alexandra	aleksander	PROPN;NOM;SG	N;NOM;MASC;SG
ketju	verigo	ketju	veriga	N;NOM;SG	N;ACC;FEM;SG
ketju	verige	ketju	veriga	N;NOM;SG	N;NOM;FEM;PL
rikki	zlomljen	rikki	zlomljen	N;NOM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
rikki	zlomljeni	rikki	zlomljen	N;NOM;SG	ADJ;NOM;MASC;PL;V.PTCP
rikki	zlomljeno	rikki	zlomljen	N;NOM;SG	ADJ;NOM;NEUT;SG;V.PTCP
rikki	zlomil	rikki	zlomiti	N;NOM;SG	V;PFV;MASC;SG;V.PTCP
vaihtoehtoisesti	alternativno	vaihto#ehtoisesti	alternativen	ADV	ADJ;NOM;NEUT;SG
brooks	brooks	brooks	brooks	PROPN;NOM;SG	N;NOM;MASC;SG
thor	tor	thor	tor	PROPN;NOM;SG	N;NOM;MASC;SG
thor	thor	thor	thor	PROPN;NOM;SG	N;NOM;MASC;SG
vartalo	telesa	vartalo	telo	N;NOM;SG	N;NOM;NEUT;PL
topi	toby	topi	toby	PROPN;NOM;SG	PROPN;NOM;MASC;SG
topi	tod	topi	tod	PROPN;NOM;SG	ADV
isäntä	gostitelja	isäntä	gostitelj	N;NOM;SG	N;ANIM;ACC;MASC;SG
suostuu	soglasja	suostua	soglasje	V;IND;SG;3;PRS;FIN;ACT	N;NOM;NEUT;PL
rainer	rainer	rainer	rainer	N;NOM;SG	
lama	recesije	lama	recesija	N;NOM;SG	N;NOM;FEM;PL
lama	recesijo	lama	recesija	N;NOM;SG	N;ACC;FEM;SG
ilmainen	prosto	ilmainen	prosto	ADJ;NOM;SG	ADV
ilmainen	free	ilmainen	free	ADJ;NOM;SG	N;NOM;MASC;SG
ilmainen	brezplačno	ilmainen	brezplačno	ADJ;NOM;SG	ADV
kapinallisten	upornik	kapinallinen	upornik	N;GEN;PL	N;NOM;MASC;SG
kapinallisten	uporniško	kapinallinen	uporniški	N;GEN;PL	ADV
kapinallisten	uporniški	kapinallinen	uporniški	N;GEN;PL	ADJ;NOM;MASC;SG
fanien	ventilatorji	fanien	ventilator	N;GEN;PL	N;NOM;MASC;PL
fanien	ljubitelji	fanien	ljubitelj	N;GEN;PL	N;NOM;MASC;PL
fanien	oboževalci	fanien	oboževalec	N;GEN;PL	N;NOM;MASC;PL
fanien	navijači	fanien	navijač	N;GEN;PL	N;NOM;MASC;PL
kirjailijoita	pisateljev	kirjailija	pisatelj	N;PRT;PL	N;GEN;MASC;PL
kirjailijoita	pisatelji	kirjailija	pisatelj	N;PRT;PL	N;NOM;MASC;PL
palkkaa	najem	palkka	najem	N;PRT;SG	N;NOM;MASC;SG
palkkaa	najem	palkka	najem	N;PRT;SG	N;NOM;MASC;SG
hiili	oglja	hiili	oglje	N;NOM;SG	N;GEN;NEUT;SG
vastuuta	odgovornosti	vastuu	odgovornost	N;PRT;SG	N;GEN;FEM;PL
vastuuta	pristojnosti	vastuu	pristojnost	N;PRT;SG	N;NOM;FEM;PL
vastuuta	odgovornost	vastuu	odgovornost	N;PRT;SG	N;NOM;FEM;SG
kööpenhaminassa	københavnu	kööpen#hamina	krbenhaven	N;IN+ESS;SG	ADJ;DAT;MASC;SG
huumeiden	zdravilo	huume	zdravilo	N;GEN;PL	N;NOM;NEUT;SG
huumeiden	droga	huume	drog	N;GEN;PL	N;NOM;FEM;SG
vankien	zaporniki	vanki	zapornik	N;GEN;PL	N;NOM;MASC;PL
vankien	ujetniki	vanki	ujetnik	N;GEN;PL	N;NOM;MASC;PL
saavutettu	dosežen	saavuttaa	dosežen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
saavutettu	dosežena	saavuttaa	dosežen	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
