ako	like	ako	like	ADV	
najmä	hovedsagelig	najmä	hovedsagelig	PART	ADV
najmä	specielt	najmä	specielt	PART	ADV
najmä	især	najmä	især	PART	ADV
viac	mere	viac	mere	NUM;NOM;NEUT;SG	ADV;CMPR
viac	flere	viac	mange	NUM;NOM;NEUT;SG	ADJ;CMPR;PL
názov	pålydende	názov	pålydende	N;INAN;NOM;MASC;SG	ADJ
okolo	omkring	okolo	omkring	ADP;GEN	ADV
ešte	endnu	ešte	endnu	PART	ADV
ešte	alligevel	ešte	alligevel	PART	ADV
prvý	først	prvý	først	ADJ;ANIM;NOM;MASC;SG	ADV
máj	may	mať	may	INTJ	
máj	maj	mať	maj	INTJ	N;INDF;MASC+FEM;SG
máj	kan	mať	kunne	INTJ	V;IND;PRS;FIN;ACT
slovenskej	slovakiske	slovenský	slovakisk	ADJ;GEN;FEM;SG	ADJ;PL
spolu	samlet	spolu	samle	ADV	V;INDF;SG;PST;V.PTCP
tom	tom	to	tom	DET;NOM;NEUT;SG	
majstrovstvá	mesterskabet	majstrovstvo	mesterskab	N;NOM;NEUT;PL	N;DEF;NEUT;SG
majstrovstvá	mesterskab	majstrovstvo	mesterskab	N;NOM;NEUT;PL	N;INDF;NEUT;SG
majstrovstvá	championship	majstrovstvo	championship	N;NOM;NEUT;PL	N;INDF;MASC+FEM;SG
majstrovstvá	biathlon	majstrovstvo	biathlon	N;NOM;NEUT;PL	
saint	sankt	saint	sankt	PROPN;ANIM;NOM;MASC;SG	N;INDF;NEUT;SG
saint	helgen	saint	helgen	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
saint	saint	saint	saint	PROPN;ANIM;NOM;MASC;SG	
okrem	undtagen	okrem	undtagen	ADP;GEN	ADV
americký	amerikaner	americký	amerikaner	ADJ;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
americký	american	americký	american	ADJ;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
americký	amerikanske	americký	amerikansk	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
cez	gennem	cez	gennem	ADP;ACC	ADV
cez	gennem	cez	gennem	ADP;ACC	ADV
cez	igennem	cez	igennem	ADP;ACC	ADV
asi	formentlig	asi	formentlig	PART	ADV
asi	sikkert	asi	sikkert	PART	ADV
asi	formodentlig	asi	formodentlig	PART	ADV
asi	sandsynligvis	asi	sandsynligvis	PART	ADV
asi	gætter	asi	gætter	PART	V;IND;PRS;FIN;ACT
asi	gæt	asi	gæt	PART	N;INDF;NEUT;SG
jeden	et	jeden	en	NUM;ANIM;NOM;MASC;SG	PRO;NEUT;SG
jeden	en	jeden	en	NUM;ANIM;NOM;MASC;SG	PRO;MASC+FEM;SG
jeden	én	jeden	en	NUM;ANIM;NOM;MASC;SG	PRO;MASC+FEM;SG
vojny	krigen	vojna	krig	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
vojny	krig	vojna	krig	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
vojny	war	vojna	war	N;NOM;FEM;PL	
vojny	wars	vojna	wars	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
žien	hunkøn	žena	hunkøn	N;GEN;FEM;PL	N;INDF;NEUT;SG
žien	kvindelig	žena	kvindelig	N;GEN;FEM;PL	ADJ;INDF;MASC+FEM;SG
žien	kvinde	žena	kvinde	N;GEN;FEM;PL	N;INDF;MASC+FEM;SG
žien	kvindelige	žena	kvindelig	N;GEN;FEM;PL	ADJ;PL
tieto	disse	tento	denne	DET;NOM;MASC;PL	PRO;PL
toto	dette	toto	denne	DET;NOM;NEUT;SG	PRO;NEUT;SG
toto	denne	toto	denne	DET;NOM;NEUT;SG	PRO;MASC+FEM;SG
toto	toto	toto	toto	DET;NOM;NEUT;SG	
ktorí	hvem	ktorý	hvem	DET;ANIM;NOM;MASC;PL	PRO;MASC+FEM
všetky	alle	všetok	al	DET;INAN;NOM;MASC;PL	ADJ;PL
všetky	alt	všetok	al	DET;INAN;NOM;MASC;PL	ADJ;NEUT;SG
francúzsky	fransk	francúzsky	fransk	N;ANIM;NOM;MASC;SG	ADJ;INDF;SG
francúzsky	franskmænd	francúzsky	franskmand	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;PL
francúzsky	french	francúzsky	french	N;ANIM;NOM;MASC;SG	
francúzsky	franske	francúzsky	fransk	N;ANIM;NOM;MASC;SG	ADJ;PL
svoje	its	svoj	itse	DET;ACC;NEUT;SG;REFL	
teda	således	teda	således	PART	ADV
teda	dermed	teda	dermed	PART	ADV
žije	liv	žiť	liv	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INDF;NEUT;SG
český	tjekkiske	český	tjekkisk	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
český	český	český	český	ADJ;ANIM;NOM;MASC;SG	
ján	jan	ján	jan	PROPN;ANIM;NOM;MASC;SG	PROPN
ján	ján	ján	ján	PROPN;ANIM;NOM;MASC;SG	
ján	johannes	ján	johan	PROPN;ANIM;NOM;MASC;SG	N;GEN;INDF;MASC+FEM;SG
ján	john	ján	john	PROPN;ANIM;NOM;MASC;SG	PROPN
niekoľko	adskillige	niekoľko	adskillig	DET;NOM;NEUT;SG	ADJ;PL
niekoľko	flere	niekoľko	mange	DET;NOM;NEUT;SG	ADJ;CMPR;PL
okres	distriktet	okres	distrikte	INTJ	N;DEF;NEUT;SG
okres	district	okres	district	INTJ	N;INDF;NEUT;SG
okres	distrikt	okres	distrikt	INTJ	N;INDF;NEUT;SG
jún	jun	jún	jun	INTJ	
jún	juni	jún	juni	INTJ	N;INDF;MASC+FEM;SG
jún	june	jún	jun	INTJ	N;INDF;MASC+FEM;SG
šablóny	skabelonen	šablón	skabelon	N;INAN;NOM;MASC;PL	N;DEF;MASC+FEM;SG
šablóny	skabelon	šablón	skabelon	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;SG
ani	hverken	ani	hverken	PART	ADV
ani	ani	ani	ani	PART	
nové	nye	nový	ny	ADJ;NOM;NEUT;SG	ADJ;PL
všetkých	alle	všetok	al	DET;ANIM;ACC;MASC;PL	ADJ;PL
všetkých	alt	všetok	al	DET;ANIM;ACC;MASC;PL	ADJ;NEUT;SG
štátu	state	štát	state	N;INAN;GEN;MASC;SG	
ďalšie	supplerende	ďalší	supplere	ADJ;NOM;NEUT;SG	V;PRS;V.PTCP
ďalšie	yderligere	ďalší	yderligere	ADJ;NOM;NEUT;SG	ADV;CMPR
ďalšie	andre	ďalší	anden	ADJ;NOM;NEUT;SG	PRO;PL
ďalšie	andet	ďalší	anden	ADJ;NOM;NEUT;SG	PRO;NEUT;SG
ďalšie	yderligere	ďalší	yderligere	ADJ;NOM;NEUT;SG	ADV;CMPR
ďalšie	videre	ďalší	videre	ADJ;NOM;NEUT;SG	ADV
ďalšie	mere	ďalší	mere	ADJ;NOM;NEUT;SG	ADV;CMPR
ďalšie	flere	ďalší	mange	ADJ;NOM;NEUT;SG	ADJ;CMPR;PL
tým	holdet	to	hold	DET;INS;NEUT;SG	N;DEF;NEUT;SG
tým	hold	to	holde	DET;INS;NEUT;SG	V;IMP
tým	teamet	to	team	DET;INS;NEUT;SG	N;DEF;NEUT;SG
tým	team	to	team	DET;INS;NEUT;SG	N;INDF;NEUT;SG
mala	mala	mať	mala	V;IPFV;FEM;SG;POS;PST;V.PTCP	
style	stil	style	stil	INTJ	N;INDF;MASC+FEM;SG
style	style	style	style	INTJ	
približne	om	približne	om	ADV	ADP
táto	dette	táto	denne	DET;NOM;FEM;SG	PRO;NEUT;SG
táto	denne	táto	denne	DET;NOM;FEM;SG	PRO;MASC+FEM;SG
prvé	først	prvý	først	ADJ;NOM;NEUT;SG	ADV
martin	martin	martin	martin	PROPN;ANIM;NOM;MASC;SG	
http	http	http	http		N;INDF;MASC+FEM;SG
tri	tri	tri	tri	NUM;INAN;NOM;MASC;PL	
tri	three	tri	thre	NUM;INAN;NOM;MASC;PL	
loire	loire	loira	loire	N;NOM;NEUT;SG	N;INDF;MASC+FEM;PL
nich	them	on	them	PRO;ANIM;ACC;MASC;PL;3	
praha	prag	praha	prag	PROPN;NOM;FEM;SG	PROPN
stránke	siden	stránka	siden	N;DAT;FEM;SG	ADV
stránke	page	stránka	page	N;DAT;FEM;SG	
film	movie	film	movie	N;INAN;NOM;MASC;SG	
film	film	film	film	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;PL
film	filme	film	filme	N;INAN;NOM;MASC;SG	V;NFIN;ACT
film	film	film	film	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;PL
spoločnosti	selskab	spoločnosť	selskab	N;NOM;FEM;PL	N;INDF;NEUT;SG
spoločnosti	firma	spoločnosť	firma	N;NOM;FEM;PL	N;INDF;NEUT;SG
spoločnosti	kompagni	spoločnosť	kompagni	N;NOM;FEM;PL	N;INDF;NEUT;SG
spoločnosti	virksomhed	spoločnosť	virksomhed	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
peter	peter	peter	peter	N;ANIM;NOM;MASC;SG	
mali	haft	mať	have	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
mali	mali	mať	mali	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	PROPN
slovenská	slovakiske	slovenský	slovakisk	ADJ;NOM;FEM;SG	ADJ;PL
svg	svg	svg	svg	N;NOM;FEM;SG	
slovensky	englændere	slovensky	englænder	ADV	N;INDF;MASC+FEM;PL
slovensky	engelske	slovensky	engelsk	ADV	ADJ;PL
slovensky	engelsk	slovensky	engelsk	ADV	ADJ;INDF;SG
slovensky	english	slovensky	english	ADV	
prvá	først	prvý	først	ADJ;NOM;FEM;SG	ADV
van	varevogn	van	varevogn	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
van	van	van	van	PROPN;ANIM;NOM;MASC;SG	
van	varevognen	van	varevogn	PROPN;ANIM;NOM;MASC;SG	N;DEF;MASC+FEM;SG
nemecký	tysker	nemecký	tysker	ADJ;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
nemecký	tyske	nemecký	tysk	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
storočí	århundreder	storočie	århundrede	N;NOM;NEUT;SG	N;INDF;NEUT;PL
rod	ke	rod	ke	N;ANIM;NOM;MASC;SG	
bude	will	byť	will	V;IPFV;IND;SG;3;POS;FUT;FIN	
bude	vil	byť	ville	V;IPFV;IND;SG;3;POS;FUT;FIN	V;IND;PRS;FIN;ACT
týchto	disse	táto	denne	DET;ANIM;ACC;MASC;PL	PRO;PL
republiky	republik	republika	republik	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
republiky	republikken	republika	republik	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
možno	måske	možno	måske	PART	ADV
možno	måske	možno	måske	PART	ADV
ženy	hunkøn	žena	hunkøn	N;NOM;FEM;PL	N;INDF;NEUT;SG
ďalej	yderligere	ďalej	yderligere	ADV	ADV;CMPR
ďalej	næste	ďalej	næste	ADV	ADJ
kedy	når	kedy	når	ADV	CONJ
územia	område	územie	område	N;NOM;NEUT;PL	N;INDF;NEUT;SG
územia	territorium	územie	territorium	N;NOM;NEUT;PL	N;INDF;NEUT;SG
ide	going	ísť	going	V;IPFV;IND;SG;3;POS;PRS;FIN	
ide	ide	ísť	ide	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INDF;MASC+FEM;SG
potok	stream	potok	stream	N;INAN;NOM;MASC;SG	
latinsky	latin	latinsky	latin	ADV	
latinsky	latinske	latinsky	latinsk	ADV	ADJ;PL
latinsky	latinsk	latinsky	latinsk	ADV	ADJ;INDF;SG
góly	mål	góla	mål	N;NOM;FEM;PL	N;INDF;NEUT;SG
góly	goals	góla	goals	N;NOM;FEM;PL	
európy	eu	európa	eu	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
európy	europe	európa	europe	N;NOM;FEM;PL	
európy	europa	európa	europa	N;NOM;FEM;PL	PROPN
známy	vidst	známy	vidst	ADJ;ANIM;NOM;MASC;SG	ADV
známy	kendte	známy	kende	ADJ;ANIM;NOM;MASC;SG	V;IND;PST;FIN;ACT
známy	bekendtskab	známy	bekendtskab	ADJ;ANIM;NOM;MASC;SG	N;INDF;NEUT;SG
veľkosť	str	veľkosť	str	N;NOM;FEM;SG	
john	johannes	john	johan	PROPN;ANIM;NOM;MASC;SG	N;GEN;INDF;MASC+FEM;SG
john	john	john	john	PROPN;ANIM;NOM;MASC;SG	PROPN
isbn	isbn	isbn	isbn		N;INDF;MASC+FEM;SG
slovenské	slovakiske	slovenský	slovakisk	ADJ;NOM;NEUT;SG	ADJ;PL
ľudí	people	človek	peopl	N;ANIM;ACC;MASC;PL	
možné	mulige	možný	mulig	ADJ;NOM;NEUT;SG	ADJ;PL
zomrel	døde	zomrieť	død	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	ADJ;PL
niektoré	nogle	niektorý	nogen	DET;NOM;NEUT;SG	PRO;PL
hudobné	music	hudobný	music	ADJ;NOM;NEUT;SG	
hudobné	musik	hudobný	musik	ADJ;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
hudobné	musikken	hudobný	musik	ADJ;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
hudobné	musikalske	hudobný	musikalsk	ADJ;NOM;NEUT;SG	ADJ;PL
hudobné	musical	hudobný	musical	ADJ;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
hudobné	musikalsk	hudobný	musikalsk	ADJ;NOM;NEUT;SG	ADV
hry	spil	hra	spil	N;NOM;FEM;PL	N;INDF;NEUT;SG
veľký	large	veľký	large	ADJ;ANIM;NOM;MASC;SG	
veľký	store	veľký	stor	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
veľký	big	veľký	big	ADJ;ANIM;NOM;MASC;SG	
veľký	store	veľký	stor	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
gmina	gmina	gmina	gmina	N;NOM;FEM;SG	
života	life	život	life	N;INAN;GEN;MASC;SG	
kráľ	kongens	kráľ	konge	N;ANIM;NOM;MASC;SG	N;GEN;DEF;MASC+FEM;SG
kráľ	kong	kráľ	kong	N;ANIM;NOM;MASC;SG	
kráľ	king	kráľ	king	N;ANIM;NOM;MASC;SG	
maďarsku	ungarn	maďarsky	ungarn	N;NOM;NEUT;SG	
vlády	regering	vláda	regering	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
vlády	regeringen	vláda	regering	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
môžu	can	môcť	cinke	V;IPFV;IND;PL;3;POS;PRS;FIN	
napriek	trods	napriek	trods	ADP;DAT	N;INDF;MASC+FEM;SG
kráľa	kongens	kráľ	konge	N;ANIM;ACC;MASC;SG	N;GEN;DEF;MASC+FEM;SG
kráľa	kong	kráľ	kong	N;ANIM;ACC;MASC;SG	
kráľa	king	kráľ	king	N;ANIM;ACC;MASC;SG	
tam	tam	tam	tam	ADV	N;INDF;MASC+FEM;SG
spoločnosť	society	spoločnosť	society	N;NOM;FEM;SG	
oblasť	oblast	oblasť	oblast	N;NOM;FEM;SG	
nej	hende	ona	hun	PRO;DAT;FEM;SG;3	PRO;ACC;MASC+FEM;SG;3
nej	hendes	ona	hendes	PRO;DAT;FEM;SG;3	DET;3
takmer	næsten	takmer	næsten	PART	ADV
takmer	næsten	takmer	næsten	PART	ADV
život	life	život	life	N;INAN;NOM;MASC;SG	
mája	may	máj	may	N;INAN;GEN;MASC;SG	
mája	kan	máj	kunne	N;INAN;GEN;MASC;SG	V;IND;PRS;FIN;ACT
národné	nationale	národný	national	ADJ;NOM;NEUT;SG	ADJ;PL
národné	nationalt	národný	nationalt	ADJ;NOM;NEUT;SG	ADV
národné	national	národný	national	ADJ;NOM;NEUT;SG	
jozef	jozef	jozef	jozef	PROPN;ANIM;NOM;MASC;SG	
jozef	joseph	jozef	joseph	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
jozef	josef	jozef	josef	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
center	centreret	center	centerere	N;INAN;NOM;MASC;SG	V;INDF;SG;PST;V.PTCP
marca	marchere	marec	marcher	N;INAN;GEN;MASC;SG	V;NFIN;ACT
veľké	large	veľký	large	ADJ;NOM;NEUT;SG	
veľké	store	veľký	stor	ADJ;NOM;NEUT;SG	ADJ;PL
veľké	big	veľký	big	ADJ;NOM;NEUT;SG	
veľké	store	veľký	stor	ADJ;NOM;NEUT;SG	ADJ;PL
školy	skolen	škola	skole	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
školy	school	škola	school	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
školy	skole	škola	skole	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
nový	nye	nový	ny	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
anderson	anderson	anderson	anderson	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
správa	rapporter	správa	rapport	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
správa	anmelde	správa	anmelde	N;NOM;FEM;SG	V;NFIN;ACT
správa	beskeden	správa	beskeden	N;NOM;FEM;SG	ADJ;INDF;MASC+FEM;SG
štát	lande	štát	land	N;INAN;NOM;MASC;SG	N;INDF;NEUT;PL
štát	state	štát	state	N;INAN;NOM;MASC;SG	
pomocou	bruger	pomoc	bruge	N;INS;FEM;SG	V;IND;PRS;FIN;ACT
hráč	player	hráč	play	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;PL
hráč	spiller	hráč	spille	N;ANIM;NOM;MASC;SG	V;IND;PRS;FIN;ACT
