til	за	til	за	ADV	ADP
født	родени	føde	родя-(се)	V;INDF;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
flere	няколко	mange	няколко	ADJ;CMPR;PL	PRO;INDF
flere	множествена	mange	множествен	ADJ;CMPR;PL	ADJ;INDF;FEM;SG
flere	многобройни	mange	многоброен	ADJ;CMPR;PL	ADJ;INDF;PL
flere	множество	mange	множество	ADJ;CMPR;PL	N;INDF;NEUT;SG
flere	повече	mange	повече	ADJ;CMPR;PL	ADV;INDF;PL
flere	още	mange	още	ADJ;CMPR;PL	ADV
alle	всички	al	всеки	ADJ;PL	PRO;NOM;PL
alle	всичко	al	всеки	ADJ;PL	PRO;NOM;NEUT;SG
alle	всички	al	всеки	ADJ;PL	PRO;NOM;PL
alle	всеки	al	всеки	ADJ;PL	PRO;NOM;MASC;SG
danmark	дания	danmark	дания		PROPN;INDF;FEM;SG
mange	mnogo	mange	mnogo	ADJ;PL	PROPN;INDF;NEUT;SG
mange	много	mange	много	ADJ;PL	ADV;INDF;PL
team	тийм	team	тийм	N;INDF;NEUT;SG	N;INDF;MASC;PL
team	отбора	team	отбор	N;INDF;NEUT;SG	N;DEF;MASC;SG
team	team	team	team	N;INDF;NEUT;SG	PROPN;INDF;MASC;SG
danske	датски	dansk	датски	ADJ;PL	ADJ;INDF;MASC;SG
tidligere	досега	tidligere	досега	ADV;CMPR	ADV
tidligere	бивши	tidligere	бивш	ADV;CMPR	ADJ;INDF;PL
tidligere	бивш	tidligere	бивш	ADV;CMPR	N;INDF;MASC;SG
tidligere	бивша	tidligere	бивш	ADV;CMPR	ADJ;INDF;FEM;SG
tidligere	предишна	tidligere	предишен	ADV;CMPR	ADJ;INDF;FEM;SG
tidligere	предишни	tidligere	предишен	ADV;CMPR	ADJ;INDF;PL
tidligere	предишен	tidligere	предишен	ADV;CMPR	ADJ;INDF;MASC;SG
tidligere	предишно	tidligere	предишно	ADV;CMPR	ADV
siden	страница	siden	страница	ADV	N;INDF;FEM;SG
siden	страницата	siden	страница	ADV	N;DEF;FEM;SG
siden	page	siden	page	ADV	INTJ
skal	черупка	skulle	черупка	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
skal	обвивка	skulle	обвивка	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
skal	черупки	skulle	черупки	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
skal	шел	skulle	шел	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
have	градински	have	градински	V;NFIN;ACT	ADJ;INDF;MASC;SG
have	градината	have	градина	V;NFIN;ACT	N;DEF;FEM;SG
have	гардън	have	гардън	V;NFIN;ACT	N;INDF;MASC;SG
have	градинка	have	градинка	V;NFIN;ACT	N;INDF;FEM;SG
have	градина	have	градина	V;NFIN;ACT	N;INDF;FEM;SG
mere	повече	mere	повече	ADV;CMPR	ADV;INDF;PL
mere	още	mere	още	ADV;CMPR	ADV
store	голямо	stor	голям	ADJ;PL	ADV
store	голям	stor	голям	ADJ;PL	ADJ;INDF;MASC;SG
store	голяма	stor	голям	ADJ;PL	ADJ;INDF;FEM;SG
store	биг	stor	биг	ADJ;PL	N;INDF;MASC;SG
store	голямо	stor	голям	ADJ;PL	ADV
store	голям	stor	голям	ADJ;PL	ADJ;INDF;MASC;SG
store	голяма	stor	голям	ADJ;PL	ADJ;INDF;FEM;SG
meget	много	meget	много	ADJ;INDF;SG	ADV;INDF;PL
vil	уил	ville	ухл	V;IND;PRS;FIN;ACT	PROPN;INDF;MASC;SG
seed	семе	seed	семе		N;INDF;NEUT;SG
seed	семена	seed	семе		N;INDF;NEUT;PL
omkring	относно	omkring	относно	ADV	ADP
omkring	около	omkring	около	ADV	ADP
selv	дори	selv	дори	PRO	PART
selv	даже	selv	даже	PRO	PART
københavn	копенхаген	københavn	копенхаген	PROPN	N;DEF;MASC;SG
kom	ела	komme	дойда	V;IND;PST;FIN;ACT	V;IPFV;IMP;SG;2;FIN
and	дък	and	дък		N;INDF;MASC;SG
and	патка	and	патка		N;INDF;FEM;SG
and	патици	and	патик		N;INDF;MASC;PL
and	пате	and	пата		N;INDF;NEUT;SG
and	патица	and	патица		N;INDF;FEM;SG
tre	тре	tre	тре	NUM	PROPN;INDF;MASC;SG
byen	град	by	град	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
byen	градче	by	градче	N;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
byen	град	by	град	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
byen	сити	by	сит	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
byen	city	by	city	N;DEF;MASC+FEM;SG	PROPN;INDF;MASC;SG
disse	тези	denne	този	PRO;PL	DET;PL
maj	май	maj	май	N;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
anden	второ	anden	втори	PRO;MASC+FEM;SG	ADV
anden	втора	anden	втори	PRO;MASC+FEM;SG	ADJ;INDF;FEM;SG
anden	втори	anden	втори	PRO;MASC+FEM;SG	ADJ;INDF;MASC;SG
andet	второ	anden	втори	PRO;NEUT;SG	ADV
andet	втора	anden	втори	PRO;NEUT;SG	ADJ;INDF;FEM;SG
andet	втори	anden	втори	PRO;NEUT;SG	ADJ;INDF;MASC;SG
andet	друго	anden	друг	PRO;NEUT;SG	ADV
andet	друг	anden	друг	PRO;NEUT;SG	ADJ;INDF;MASC;SG
andet	други	anden	друг	PRO;NEUT;SG	ADJ;INDF;PL
dag	даг	dag	даг	N;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
dag	денят	dag	ден	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
tilbage	гръб	tilbage	гръб	ADV	N;INDF;MASC;SG
død	смъртта	død	смърт	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
død	мъртви	død	мъртъв	N;INDF;MASC+FEM;SG	ADJ;INDF;PL
død	мъртва	død	мъртва	N;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
august	аугуст	august	аугуст	N;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
gang	времето	gang	време	N;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
forskellige	различна	forskellig	различен	ADJ;PL	ADJ;INDF;FEM;SG
forskellige	различно	forskellig	различно	ADJ;PL	ADV
forskellige	различен	forskellig	различен	ADJ;PL	ADJ;INDF;MASC;SG
tid	времето	tid	време	N;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
nye	ню	ny	ню	ADJ;PL	PROPN;INDF;MASC;SG
nye	ново	ny	нов	ADJ;PL	ADV
nye	нов	ny	нов	ADJ;PL	ADJ;INDF;MASC;SG
nye	нова	ny	нов	ADJ;PL	ADJ;INDF;FEM;SG
både	кораби	både	кораб	ADV	N;INDF;MASC;PL
både	лодки	både	лодка	ADV	N;INDF;FEM;PL
både	двете	både	два	ADV	NUM;DEF;FEM;PL
gennem	виа	gennem	видя-(се)	ADV	N;INDF;MASC;SG
gennem	via	gennem	via	ADV	ADJ
gennem	чрез	gennem	чрез	ADV	ADP
gennem	чрез	gennem	чрез	ADV	ADP
gennem	през	gennem	през	ADV	ADP
stor	голямо	stor	голям	ADJ;INDF;MASC+FEM;SG	ADV
stor	големи	stor	голям	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;PL
stor	биг	stor	биг	ADJ;INDF;MASC+FEM;SG	N;INDF;MASC;SG
stor	голямо	stor	голям	ADJ;INDF;MASC+FEM;SG	ADV
stor	големи	stor	голям	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;PL
stor	страхотно	stor	страхотно	ADJ;INDF;MASC+FEM;SG	ADV
usa	америка	usa	америка	PROPN	PROPN;INDF;FEM;SG
usa	сащ	usa	сащ	PROPN	PROPN;INDF;MASC;PL
usa	usa	usa	usa	PROPN	PROPN;INDF;MASC;SG
uden	без	uden	без	ADV	ADP
hold	отбори	holde	отбор	V;IMP	N;INDF;MASC;PL
hold	екипи	holde	екип	V;IMP	N;INDF;MASC;PL
hold	тийм	holde	тийм	V;IMP	N;INDF;MASC;PL
hold	отбор	holde	отбор	V;IMP	N;INDF;MASC;SG
hold	отбора	holde	отбор	V;IMP	N;DEF;MASC;SG
hold	екип	holde	екип	V;IMP	N;INDF;MASC;SG
hold	team	holde	team	V;IMP	PROPN;INDF;MASC;SG
når	когато	når	когато	CONJ	ADV
når	кога	når	кога	CONJ	ADV
kendt	известни	kendt	известен	ADJ;INDF;SG	ADJ;INDF;PL
kendt	познат	kendt	познат	ADJ;INDF;SG	N;INDF;MASC;SG
kendt	известни	kendt	известен	ADJ;INDF;SG	ADJ;INDF;PL
før	преди	før	преди	ADV	ADP
hvilket	което	hvilken	който	PRO;NEUT;SG	PRO;NOM;NEUT;SG
hvilket	която	hvilken	който	PRO;NEUT;SG	PRO;NOM;FEM;SG
mest	повечето	mest	повече	ADV;RL	ADV;DEF;PL
april	ейприл	april	ейприл	N;INDF;MASC+FEM;SG	PROPN;INDF;FEM;SG
hele	цяла	hel	цял	ADJ;DEF;SG	ADJ;INDF;FEM;SG
hele	цял	hel	цял	ADJ;DEF;SG	ADJ;INDF;MASC;SG
juli	джули	juli	джул	N;INDF;MASC+FEM;SG	PROPN;INDF;FEM;SG
kirke	чърч	kirke	чърч	N;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
kirke	църквата	kirke	църква	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
række	редове	række	ред	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
derfor	затуй	derfor	затуй	ADV	INTJ
style	стил	style	стил		N;INDF;MASC;SG
navn	името	navn	име	N;INDF;NEUT;SG	N;DEF;NEUT;SG
jpg	jpg	jpg	jpg		PROPN;INDF;MASC;SG
ville	би	ville	съм	V;IND;PST;FIN;ACT	V;IPFV;COND;SG;3;PST;FIN
først	първи	først	първи	ADV	ADJ;INDF;MASC;SG
mål	целева	mål	целев	N;INDF;NEUT;SG	ADJ;INDF;FEM;SG
mål	мишена	mål	мишен	N;INDF;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
mål	целта	mål	цел	N;INDF;NEUT;SG	N;DEF;FEM;SG
mål	цели	mål	цел	N;INDF;NEUT;SG	N;INDF;FEM;PL
mål	голове	mål	гол	N;INDF;NEUT;SG	N;INDF;MASC;PL
mål	цели	mål	цел	N;INDF;NEUT;SG	N;INDF;FEM;PL
mål	обективна	mål	обективен	N;INDF;NEUT;SG	ADJ;INDF;FEM;SG
mål	обективни	mål	обективен	N;INDF;NEUT;SG	ADJ;INDF;PL
mål	обективен	mål	обективен	N;INDF;NEUT;SG	ADJ;INDF;MASC;SG
mål	мишени	mål	мишен	N;INDF;NEUT;SG	V;IPFV;INDF;PL;V.PTCP;PASS
mål	цели	mål	цел	N;INDF;NEUT;SG	N;INDF;FEM;PL
film	филм	film	филм	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
film	лента	film	лента	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
film	филмова	film	филмов	N;INDF;MASC+FEM;PL	ADJ;INDF;FEM;SG
film	филм	film	филм	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
sidste	последно	sidste	последно	ADJ	ADV
tyske	германец	tysk	германец	ADJ;PL	N;INDF;MASC;SG
tyske	германски	tysk	германски	ADJ;PL	ADJ;INDF;MASC;SG
tyske	немски	tysk	немски	ADJ;PL	ADJ;INDF;MASC;SG
tyske	немска	tysk	немски	ADJ;PL	ADJ;INDF;FEM;SG
tyske	германска	tysk	германски	ADJ;PL	ADJ;INDF;FEM;SG
vandt	уон	vinde	уон	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
inden	преди	inden	преди	ADV	ADP
mindre	незначителни	mindre	незначителен	ADV;CMPR	ADJ;INDF;PL
christian	кристиан	christian	кристиан		N;INDF;MASC;SG
christian	кристиян	christian	кристиян		N;INDF;MASC;SG
christian	крисчън	christian	крисчън		PROPN;INDF;MASC;SG
christian	християнин	christian	християнин		N;INDF;MASC;SG
cet	cet	cet	cet		N;INDF;NEUT;SG
alt	всичко	al	всеки	ADJ;NEUT;SG	PRO;NOM;NEUT;SG
alt	всички	al	всеки	ADJ;NEUT;SG	PRO;NOM;PL
alt	всичко	al	всеки	ADJ;NEUT;SG	PRO;NOM;NEUT;SG
side	страницата	side	страница	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
side	page	side	page	N;INDF;MASC+FEM;SG	INTJ
side	страничен	side	страничен	N;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
søn	синко	søn	синко	N;INDF;MASC+FEM;SG	INTJ
søn	сине	søn	син	N;INDF;MASC+FEM;SG	PART
tog	влака	tage	влак	V;IND;PST;FIN;ACT	N;DEF;MASC;SG
tog	влакът	tage	влак	V;IND;PST;FIN;ACT	N;DEF;MASC;SG
tog	влак	tage	влак	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
tog	влакове	tage	влак	V;IND;PST;FIN;ACT	N;INDF;MASC;PL
tog	влаковете	tage	влак	V;IND;PST;FIN;ACT	N;DEF;MASC;PL
amerikansk	американско	amerikansk	американски	ADJ;INDF;SG	ADV
amerikansk	американец	amerikansk	американец	ADJ;INDF;SG	N;INDF;MASC;SG
lille	малки	lille	малък	ADJ;SG	ADJ;INDF;PL
lille	малки	lille	малък	ADJ;SG	ADJ;INDF;PL
lille	литъл	lille	литъл	ADJ;SG	N;INDF;MASC;SG
lille	малко	lille	малко	ADJ;SG	ADV;INDF;PL
lille	лил	lille	лил	ADJ;SG	PROPN;INDF;MASC;SG
not	не	not	не		INTJ;NEG
hendes	нея	hendes	аз	DET;3	PRO;ACC;FEM;SG;3
von	фон	von	фон		N;INDF;MASC;SG
hvad	какво	hvad	какъв	PRO;SG	DET;NEUT;SG
nord	северно	nord	северно	N;INDF	ADV
nord	северна	nord	северен	N;INDF	ADJ;INDF;FEM;SG
nord	nord	nord	nor	N;INDF	PROPN;INDF;MASC;SG
kort	карта	kort	карта	ADJ;INDF;SG	N;INDF;FEM;SG
kort	картата	kort	карта	ADJ;INDF;SG	N;DEF;FEM;SG
kort	кратко	kort	кратко	ADJ;INDF;SG	ADV
kort	късо	kort	къс	ADJ;INDF;SG	ADV
kort	картите	kort	карта	ADJ;INDF;SG	N;DEF;FEM;PL
kort	карти	kort	карта	ADJ;INDF;SG	N;INDF;FEM;PL
kort	картите	kort	карта	ADJ;INDF;SG	N;DEF;FEM;PL
kort	карти	kort	карта	ADJ;INDF;SG	N;INDF;FEM;PL
kort	картички	kort	картичка	ADJ;INDF;SG	N;INDF;FEM;PL
kort	карта	kort	карта	ADJ;INDF;SG	N;INDF;FEM;SG
kort	картичка	kort	картичка	ADJ;INDF;SG	N;INDF;FEM;SG
udgivet	освободени	udgive	освободя-(се)	V;INDF;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
udgivet	публикувани	udgive	публикувам	V;INDF;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
helt	херо	helt	херо	ADV	N;INDF;MASC;SG
helt	герой	helt	герой	ADV	N;INDF;MASC;SG
gamle	старо	gammel	стар	ADJ;PL	ADV
gamle	стар	gammel	стар	ADJ;PL	ADJ;INDF;MASC;SG
gamle	стара	gammel	стар	ADJ;PL	ADJ;INDF;FEM;SG
gange	пъти	gang	път	N;INDF;MASC+FEM;PL	N;MASC
gange	таймс	gang	таймс	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
gange	times	gang	times	N;INDF;MASC+FEM;PL	PROPN;INDF;MASC;SG
døde	мъртва	død	мъртва	ADJ;PL	ADJ;INDF;FEM;SG
døde	мъртъв	død	мъртъв	ADJ;PL	N;INDF;MASC;SG
døde	умрял	død	умра	ADJ;PL	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
døde	умряла	død	умра	ADJ;PL	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
amerikanske	американска	amerikansk	американски	ADJ;PL	ADJ;INDF;FEM;SG
amerikanske	американско	amerikansk	американски	ADJ;PL	ADV
amerikanske	американски	amerikansk	американски	ADJ;PL	ADJ;INDF;MASC;SG
amerikanske	американец	amerikansk	американец	ADJ;PL	N;INDF;MASC;SG
tysk	германец	tysk	германец	ADJ;INDF;SG	N;INDF;MASC;SG
meter	метър	meter	метър	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
meter	метър	meter	метър	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
meter	метра	meter	метър	N;INDF;MASC+FEM;PL	N;DEF;MASC;SG
gruppe	групово	gruppe	групово	N;INDF;MASC+FEM;SG	ADV
gruppe	групова	gruppe	групов	N;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
stedet	място	sted	място	N;DEF;NEUT;SG	N;INDF;NEUT;SG
tyskland	германия	tyskland	германия	PROPN	PROPN;INDF;FEM;SG
lige	равен	lige	равен	ADV	ADJ;INDF;MASC;SG
lige	равни	lige	равен	ADV	ADJ;INDF;PL
spillet	мач	spille	мач	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
spillet	гейм	spille	гейм	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
spillet	играта	spille	игра	V;INDF;SG;PST;V.PTCP	N;DEF;FEM;SG
spillet	игра	spille	игра	V;INDF;SG;PST;V.PTCP	N;INDF;FEM;SG
spillet	играха	spille	играя	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;PL;3;PST;FIN;ACT
forbindelse	връзката	forbindelse	връзка	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
peter	петър	peter	петър		PROPN;INDF;MASC;SG
peter	питър	peter	питър		PROPN;INDF;MASC;SG
peter	петер	peter	петер		PROPN;INDF;MASC;SG
hver	всяка	hver	всеки	PRO;MASC+FEM;SG	DET;FEM;SG
hver	всеки	hver	всеки	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
hver	всяко	hver	всеки	PRO;MASC+FEM;SG	PRO;NOM;NEUT;SG
hver	всяка	hver	всеки	PRO;MASC+FEM;SG	DET;FEM;SG
hver	всеки	hver	всеки	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
ingen	никой	ingen	никой	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
historie	историята	historie	история	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
engelsk	bulgarian	engelsk	bulgarian	ADJ;INDF;SG	N;INDF;MASC;SG
engelsk	англичани	engelsk	англичанин	ADJ;INDF;SG	N;INDF;MASC;PL
århundrede	вековете	århundrede	век	N;INDF;NEUT;SG	N;DEF;MASC;PL
århundrede	столетия	århundrede	столетие	N;INDF;NEUT;SG	N;INDF;NEUT;PL
århundrede	векове	århundrede	век	N;INDF;NEUT;SG	N;INDF;MASC;PL
århundrede	вековен	århundrede	вековен	N;INDF;NEUT;SG	ADJ;INDF;MASC;SG
århundrede	века	århundrede	век	N;INDF;NEUT;SG	N;DEF;MASC;SG
john	джон	john	джон	PROPN	PROPN;INDF;MASC;SG
john	йоан	john	йоан	PROPN	PROPN;INDF;MASC;SG
gift	женени	gift	женя-(се)	ADJ;INDF;SG	V;IPFV;INDF;PL;V.PTCP;PASS
gift	женена	gift	женя-(се)	ADJ;INDF;SG	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
gift	омъжена	gift	омъжя	ADJ;INDF;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
gift	женен	gift	женен	ADJ;INDF;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
gift	отрова	gift	отрова	ADJ;INDF;SG	N;INDF;FEM;SG
gift	отрова	gift	отрова	ADJ;INDF;SG	N;INDF;FEM;SG
forhold	връзки	forhold	връзка	N;INDF;NEUT;SG	N;INDF;FEM;PL
forhold	взаимоотношения	forhold	взаимоотношение	N;INDF;NEUT;SG	N;INDF;NEUT;PL
forhold	връзките	forhold	връзка	N;INDF;NEUT;SG	N;DEF;FEM;PL
forhold	отношения	forhold	отношение	N;INDF;NEUT;SG	N;INDF;NEUT;PL
forhold	взаимоотношения	forhold	взаимоотношение	N;INDF;NEUT;SG	N;INDF;NEUT;PL
forhold	отношения	forhold	отношение	N;INDF;NEUT;SG	N;INDF;NEUT;PL
spiller	плеър	spille	плеър	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
spiller	играч	spille	играч	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
spiller	пиеси	spille	пиеса	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
spiller	свирене	spille	свирене	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
kommer	очаквайте	komme	очаквам	V;IND;PRS;FIN;ACT	V;IPFV;IMP;PL;2;FIN
kampe	кибрит	kamp	кибрит	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
kampe	съвпада	kamp	съвпадам	N;INDF;MASC+FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
kampe	борба	kamp	борба	N;INDF;MASC+FEM;PL	N;INDF;FEM;SG
kampe	битките	kamp	битка	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
går	разходка	gå	разходка	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
går	ходене	gå	ходене	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
går	разходки	gå	разходка	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
fordi	защото	fordi	защото	CONJ	ADV
syd	южно	syd	южен	N;INDF	ADV
syd	южна	syd	южен	N;INDF	ADJ;INDF;FEM;SG
skrevet	писмено	skrive	писмен	V;INDF;SG;PST;V.PTCP	ADV
skrevet	писмен	skrive	писмен	V;INDF;SG;PST;V.PTCP	ADJ;INDF;MASC;SG
skrevet	писмена	skrive	писмен	V;INDF;SG;PST;V.PTCP	ADJ;INDF;FEM;SG
sverige	швеция	sverig	швеция	ADJ;PL	PROPN;INDF;FEM;SG
frederik	фридрих	frederik	фридрих	N;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
frankrig	франция	frankrig	франция		PROPN;INDF;FEM;SG
ned	нед	ned	нед	ADV	N;INDF;MASC;SG
form	формата	form	форма	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
nogen	всеки	nogen	всеки	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
godt	добър	godt	добър	ADV	ADJ;INDF;MASC;SG
arbejde	работи	arbejde	работя	N;INDF;NEUT;SG	V;IPFV;IMP;SG;2;FIN
arbejde	работещ	arbejde	работя	N;INDF;NEUT;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
arbejde	работен	arbejde	работен	N;INDF;NEUT;SG	ADJ;INDF;MASC;SG
arbejde	работим	arbejde	работя	N;INDF;NEUT;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
land	земи	land	земя	N;INDF;NEUT;SG	N;INDF;FEM;PL
begge	двете	begge	два	PRO;PL	NUM;DEF;FEM;PL
norge	норвегия	norge	норвегия	PROPN	PROPN;INDF;FEM;SG
europa	европа	europa	европа	PROPN	PROPN;INDF;FEM;SG
europa	europa	europa	europa	PROPN	ADJ
europa	европа	europa	европа	PROPN	PROPN;INDF;FEM;SG
england	англия	england	англия	PROPN	PROPN;INDF;FEM;SG
player	плеър	play	плеър	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
player	играч	play	играч	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
landet	държава	land	държава	N;DEF;NEUT;SG	N;INDF;FEM;SG
landet	страна	land	страна	N;DEF;NEUT;SG	N;INDF;FEM;SG
børn	децата	barn	дете	N;INDF;NEUT;PL	N;DEF;NEUT;PL
verden	света	verden	свят	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
lang	ланг	lang	ланг	ADJ;INDF;MASC+FEM;SG	PROPN;INDF;FEM;SG
lang	дълги	lang	дълъг	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;PL
lang	дълго	lang	дълго	ADJ;INDF;MASC+FEM;SG	ADV
lang	лонг	lang	лонг	ADJ;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
plads	седалката	plads	седалка	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
plads	космоса	plads	космос	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
får	овце	få	овце	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
får	овче	få	овче	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
får	овца	få	овц	V;IND;PRS;FIN;ACT	N;INDF;FEM;SG
stort	голямо	stor	голям	ADJ;INDF;NEUT;SG	ADV
stort	големи	stor	голям	ADJ;INDF;NEUT;SG	ADJ;INDF;PL
stort	биг	stor	биг	ADJ;INDF;NEUT;SG	N;INDF;MASC;SG
stort	голямо	stor	голям	ADJ;INDF;NEUT;SG	ADV
stort	големи	stor	голям	ADJ;INDF;NEUT;SG	ADJ;INDF;PL
indeholder	съдържащ	indeholde	съдържам-(се)	V;IND;PRS;FIN;ACT	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
indeholder	съдържащи	indeholde	съдържам-(се)	V;IND;PRS;FIN;ACT	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
indeholder	съдържащо	indeholde	съдържам-(се)	V;IND;PRS;FIN;ACT	ADV
indeholder	съдържаща	indeholde	съдържам-(се)	V;IND;PRS;FIN;ACT	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
sprog	езиците	sprog	език	N;INDF;NEUT;SG	N;DEF;MASC;PL
sprog	езици	sprog	език	N;INDF;NEUT;SG	N;INDF;MASC;PL
sprog	езикът	sprog	език	N;INDF;NEUT;SG	N;DEF;MASC;SG
sprog	езика	sprog	език	N;INDF;NEUT;SG	N;DEF;MASC;SG
set	забелязани	se	забележа-(се)	V;INDF;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
