rob	rob	rob	rob	PROPN	
cross	cross	cross	cross	N	
cross	keresztbe	cross	keresztbe	N	
ron	ron	ron	ron	N;MASC;SG	
ron	ront	ron	ront	N;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
estrada	estrada	estrada	estrada	N;SG	
vital	életbevágó	vital	életbevágó	ADJ;SG	N;NOM;SG
phoenix	phoenix	phoenix	phoenix	N;MASC;SG	
maine	maine	maine	maine	N;MASC;SG	
vinos	bor	vino	bor	N;MASC;PL	N;NOM;SG
nominada	jelöltek	nominado	jelöl	ADJ;FEM;SG;V.PTCP	N;NOM;PL
nominada	jelölt	nominado	jelöl	ADJ;FEM;SG;V.PTCP	
denuncia	beszámoló	denuncia	beszámoló	N;FEM;SG	ADJ;NOM;SG
frutas	gyümölcs	fruta	gyümölcs	N;FEM;PL	N;NOM;SG
frutas	gyümölcsöt	fruta	gyümölcsöt	N;FEM;PL	N;ACC;SG
frutas	gyümölcs	fruta	gyümölcs	N;FEM;PL	N;NOM;SG
graham	graham	graham	graham	PROPN	
delito	bűncselekmények	delito	bűncselekmény	N;MASC;SG	N;NOM;PL
preocupación	aggályok	preocupación	aggály	N;FEM;SG	N;NOM;PL
preocupación	aggodalmak	preocupación	aggodalom	N;FEM;SG	N;NOM;PL
metales	metál	metal	metál	N;MASC;PL	
metales	metal	metal	metal	N;MASC;PL	
metales	fém	metal	fém	N;MASC;PL	
golf	golf	golf	golf	N;MASC	
asistencias	segíti	asistencia	segíti	N;FEM;PL	V;DEF;IND;SG;3;PRS;FIN;ACT
creencias	hit	creencia	hi	N;FEM;PL	N;NOM;SG
sucre	sucre	sucre	sucre	N;MASC;SG	
party	party	party	party	N	
party	parti	party	parti	N	ADJ;NOM;SG
norman	norman	normar	norman	N;MASC;SG	
humberto	humbert	humberto	humber	PROPN	
humberto	umberto	humberto	umberto	PROPN	
humberto	hubert	humberto	huber	PROPN	
participante	résztvevő	participante	résztvevő	N;SG	
cumplimiento	megfelelés	cumplimiento	megfelelés	N;MASC;SG	
aurora	aurora	aurora	aurora	N;FEM;SG	
quedarse	marad	quedar	marad	V;SBJV;SG;3;IPFV;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
htm	htm	htm	htm		N;NOM;SG
australiana	ausztrál	australiano	ausztrál	ADJ;FEM;SG	
australiana	ausztrália	australiano	ausztrália	ADJ;FEM;SG	N;NOM;SG
ámsterdam	amszterdam	ámsterdam	amszterdam	N;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
ámsterdam	amszterdami	ámsterdam	amszterdami	N;MASC;SG	
efectiva	hatékony	efectivo	hatékony	ADJ;FEM;SG	
efectiva	hatásos	efectivo	hatásos	ADJ;FEM;SG	
efectiva	effektív	efectivo	effektív	ADJ;FEM;SG	
convertir	átalakítás	convertir	átalakítás	V;NFIN	N;NOM;SG
convertir	konvertáló	convertir	konvertáló	V;NFIN	N;NOM;SG
llanura	sima	llanura	sima	N;FEM;SG	
levantamiento	emelő	levantamiento	emelő	N;MASC;SG	
propaganda	propaganda	propaganda	propaganda	N;FEM;SG	
desea	kívánom	desear	kíván	V;IND;SG;3;PRS;FIN	V;DEF;IND;SG;1;PRS;FIN;ACT
desea	kívánság	desear	kívánság	V;IND;SG;3;PRS;FIN	N;NOM;SG
desea	bárcsak	desear	bárcsak	V;IND;SG;3;PRS;FIN	
desea	kívánság	desear	kívánság	V;IND;SG;3;PRS;FIN	N;NOM;SG
thompson	thompson	thompson	thompson	N;MASC;SG	
jay	jay	jayto	jay	PROPN	
tributo	tribute	tributo	tribute	N;MASC;SG	
placas	rendszám	placa	rendszám	N;FEM;PL	N;NOM;SG
placas	tányér	placa	tányér	N;FEM;PL	N;NOM;SG
placas	jelvény	placa	jelvény	N;FEM;PL	N;NOM;SG
placas	tányér	placa	tányér	N;FEM;PL	N;NOM;SG
placas	lemez	placa	lemez	N;FEM;PL	N;NOM;SG
placas	tányért	placa	tány	N;FEM;PL	N;ACC;SG
estructural	szerkezeti	estructural	szerkezeti	ADJ;SG	N;NOM;SG
estructural	strukturális	estructural	strukturális	ADJ;SG	N;NOM;SG
culpa	hibás	culpa	hibás	N;FEM;SG	
secreta	titok	secreto	titok	ADJ;FEM;SG	N;NOM;SG
secreta	titkos	secreto	titkos	ADJ;FEM;SG	
meseta	mesa	meseta	mesa	N;FEM;SG	
ordenado	felszentelt	ordenado	felszentelt	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
ordenado	rendelt	ordenado	rendelt	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
ordenado	elrendelt	ordenado	elrendelt	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
ordenado	rendezett	ordenado	rendezett	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
pereira	pereira	pereira	pereira	N;MASC;SG	
asociada	társult	asociado	társul	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
asociada	munkatárs	asociado	munkatárs	ADJ;FEM;SG;V.PTCP	N;NOM;SG
asociada	társult	asociado	társul	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
estimada	becsült	estimar	becsül	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
colaborar	együttműködés	colaborar	együttműködés	V;NFIN	N;NOM;SG
circuitos	áramkör	circuito	áramkör	N;MASC;PL	N;NOM;SG
circuitos	áramkör	circuito	áramkör	N;MASC;PL	N;NOM;SG
magallanes	magellán	magallan	magellán	N;MASC;PL	
distribuye	elosztására	distribuir	elosztás	V;IND;SG;3;PRS;FIN	N;ON+ALL;SG
distribuye	terjesztés	distribuir	terjesztés	V;IND;SG;3;PRS;FIN	N;NOM;SG
distribuye	elosztás	distribuir	elosztás	V;IND;SG;3;PRS;FIN	N;NOM;SG
distribuye	elosztása	distribuir	elosztás	V;IND;SG;3;PRS;FIN	N;NOM;SG
auxiliar	asszisztens	auxiliar	asszisztens	V;NFIN	N;NOM;SG
auxiliar	segéd	auxiliar	segéd	V;NFIN	
auxiliar	segéd	auxiliar	segéd	V;NFIN	
auxiliar	kisegítő	auxiliar	kisegítő	V;NFIN	ADJ;NOM;SG
minería	bányászati	minería	bányászati	N;FEM;SG	ADJ;NOM;SG
minería	bányász	minería	bányász	N;FEM;SG	
corteza	cortex	corteza	cortex	N;FEM;SG	
anónimo	anonim	anónimo	anonim	ADJ;MASC;SG	
anónimo	névtelen	anónimo	névtelen	ADJ;MASC;SG	
auge	bumm	auge	bumm	N;MASC;SG	
encargo	megrendelt	encargo	megrendelt	N;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
sensación	érzés	sensación	érzés	N;FEM;SG	
sensación	érzem	sensación	érez	N;FEM;SG	V;DEF;IND;SG;1;PRS;FIN;ACT
sensación	érezni	sensación	érez	N;FEM;SG	V;NFIN;ACT
suave	sima	suave	sima	ADJ;SG	
suave	lágy	suave	lágy	ADJ;SG	
suave	puha	suave	puha	ADJ;SG	
suave	lágy	suave	lágy	ADJ;SG	
suave	enyhe	suave	enyhe	ADJ;SG	
suave	gyengéd	suave	gyengéd	ADJ;SG	
suave	szelíd	suave	szelíd	ADJ;SG	
constantes	állandó	constante	állandó	ADJ;PL	
constantes	folyamatos	constante	folyamatos	ADJ;PL	
constantes	állandók	constante	állandó	ADJ;PL	N;NOM;PL
suizo	svájc	suizo	svájc	N;MASC;SG	
suizo	svájci	suizo	svájci	N;MASC;SG	
jamaica	jamaica	jamaica	jamaica	N;FEM;SG	
sencilla	szimpla	sencillo	szimpla	ADJ;FEM;SG	
sencilla	könnyű	sencillo	könnyű	ADJ;FEM;SG	
rebelde	felkelő	rebelde	felkelő	ADJ;SG	
rebelde	lázadók	rebelde	lázadó	ADJ;SG	N;NOM;PL
roll	gurul	roll	gurul	N;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
roll	roll	roll	roll	N;MASC;SG	
paco	paco	paco	paco	PROPN	
matías	mathias	matía	mathias	PROPN	
matías	mátyás	matía	mátyás	PROPN	
matías	mátyás	matía	mátyás	PROPN	
matías	matthias	matía	matthias	PROPN	
nancy	nancy	nancy	nancy	N;FEM;SG	
marítima	tengeri	marítimo	tengeri	ADJ;FEM;SG	
crimea	krím	crimea	krím	ADJ;SG	
crimea	krími	crimea	krími	ADJ;SG	
liberado	freed	liberado	freed	ADJ;MASC;SG;V.PTCP	
liberado	felszabadult	liberado	fel+szabadul	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
gerente	vezető	gerente	vezető	N;SG	
gerente	kezelő	gerente	kezelő	N;SG	ADJ;NOM;SG
encuesta	felmérések	encuesta	felmérés	N;FEM;SG	N;NOM;PL
pokémon	pokémon	pokémon	pokém	N;MASC	
libertador	felszabadító	libertador	felszabadító	N;MASC;SG	ADJ;NOM;SG
libertador	szabadító	libertador	szabadító	N;MASC;SG	ADJ;NOM;SG
efectivamente	hatékonyan	efectivamente	hatékony	ADV	ADJ;FRML;SG
efectivamente	eredményesen	efectivamente	eredményes	ADV	ADJ;FRML;SG
efectivamente	valóban	efectivamente	valóban	ADV	
seca	szárazon	seco	száraz	ADJ;FEM;SG	
seca	száraz	seco	száraz	ADJ;FEM;SG	
seca	szárított	seco	szárított	ADJ;FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
seca	szárítva	seco	szárítva	ADJ;FEM;SG	ADV;V.CVB
medir	mérés	medir	mérés	V;NFIN	N;NOM;SG
medir	mérési	medir	mérési	V;NFIN	ADJ;NOM;SG
medir	mérték	medir	mér	V;NFIN	
medir	intézkedés	medir	intézkedés	V;NFIN	N;NOM;SG
asume	feltételezem	asumir	feltételez	V;IND;SG;3;PRS;FIN	
aparente	látszólagos	aparente	látszólagos	ADJ;SG	N;NOM;SG
discusiones	vita	discusión	vita	N;FEM;PL	N;NOM;SG
discusiones	megbeszélés	discusión	megbeszélés	N;FEM;PL	N;NOM;SG
discusiones	beszélgetés	discusión	beszélgetés	N;FEM;PL	N;NOM;SG
stanley	stanley	stanley	stanley	PROPN	
panorama	panorama	panorama	panoram	N;MASC;SG	
realistas	realista	realista	realista	N;PL	
realistas	reális	realista	reális	N;PL	ADJ;NOM;SG
realistas	realista	realista	realista	N;PL	
rin	rin	rin	rin	N;MASC;SG	
rin	rajna	rin	rajna	N;MASC;SG	
animada	élénk	animado	él	ADJ;FEM;SG;V.PTCP	
animada	eleven	animado	eleven	ADJ;FEM;SG;V.PTCP	
nativa	bennszülött	nativo	bennszülött	ADJ;FEM;SG	
nativa	őslakos	nativo	őslakos	ADJ;FEM;SG	
nativa	őshonos	nativo	őshonos	ADJ;FEM;SG	
nativa	bennszülöttek	nativo	bennszülött	ADJ;FEM;SG	V;INDF;IND;PL;3;PST;FIN;ACT
intensa	heves	intenso	heves	ADJ;FEM;SG	
intensa	intenzív	intenso	intenzív	ADJ;FEM;SG	
duelo	gyászoló	duelo	gyászoló	N;MASC;SG	ADJ;NOM;SG
legend	legenda	legend	legenda	N	
rectangular	téglalap	rectangular	téglalap	ADJ;SG	
acústica	akusztika	acústicar	akusztika	ADJ;FEM;SG	N;NOM;SG
acústica	akusztikus	acústicar	akusztikus	ADJ;FEM;SG	N;NOM;SG
innovación	innovációs	innovación	innovációs	N;FEM;SG	ADJ;NOM;SG
administrativas	igazgatási	administrativo	igazgatási	ADJ;FEM;PL	ADJ;NOM;SG
administrativas	adminisztratív	administrativo	adminisztratív	ADJ;FEM;PL	N;NOM;SG
donald	donald	donald	donald	N;SG	
rincón	rincón	rincón	rincón	N;MASC;SG	
jacob	jacob	jacob	jac	PROPN	
ordenador	komputer	ordenador	komputer	N;MASC;SG	
ordenador	computer	ordenador	computer	N;MASC;SG	
seguros	biztosíték	seguro	biztosíték	N;MASC;PL	N;NOM;SG
seguros	biztosítási	seguro	biztosítási	N;MASC;PL	ADJ;NOM;SG
seguros	biztosítás	seguro	biztosítás	N;MASC;PL	N;NOM;SG
correr	futás	correr	futás	V;NFIN	N;NOM;SG
correr	futó	correr	futó	V;NFIN	
correr	futás	correr	futás	V;NFIN	N;NOM;SG
telecomunicaciones	távközlés	telecomunicación	távközlés	N;FEM;PL	N;NOM;SG
telecomunicaciones	távközlési	telecomunicación	távközlési	N;FEM;PL	N;NOM;SG
telecomunicaciones	távközlés	telecomunicación	távközlés	N;FEM;PL	N;NOM;SG
telecomunicaciones	távközlési	telecomunicación	távközlési	N;FEM;PL	N;NOM;SG
telecomunicaciones	távközlés	telecomunicación	távközlés	N;FEM;PL	N;NOM;SG
telecomunicaciones	távközlési	telecomunicación	távközlési	N;FEM;PL	N;NOM;SG
iris	iris	iris	iris	N;MASC;SG	
ocupando	megszálló	ocupar	megszálló	V;V.MSDR	
cantando	kántálás	cantar	kántálás	V;V.MSDR	N;NOM;SG
cantando	ének	cantar	én	V;V.MSDR	N;NOM;SG
cantando	éneklés	cantar	éneklés	V;V.MSDR	N;NOM;SG
depósitos	betét	depósito	betét	N;MASC;PL	N;NOM;SG
depósitos	betét	depósito	betét	N;MASC;PL	N;NOM;SG
depósitos	letétbe	depósito	letét	N;MASC;PL	N;IN+ALL;SG
depósitos	foglaló	depósito	foglaló	N;MASC;PL	
ocasionalmente	alkalmi	ocasionalmente	alkalmi	ADV	ADJ;NOM;SG
ocasionalmente	alkalmanként	ocasionalmente	alkalman	ADV	N;ABS;SG
ocasionalmente	esetenként	ocasionalmente	eset	ADV	N;ABS;SG
ocasionalmente	időnként	ocasionalmente	idő	ADV	N;ABS;SG
ocasionalmente	alkalmanként	ocasionalmente	alkalman	ADV	N;ABS;SG
ocasionalmente	esetenként	ocasionalmente	eset	ADV	N;ABS;SG
invitada	vendég	invitada	vendég	ADJ;FEM;SG;V.PTCP	N;NOM;SG
invitada	meghívott	invitada	meghívott	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
invitada	meghívva	invitada	meghívva	ADJ;FEM;SG;V.PTCP	ADV;V.CVB
homer	homer	homer	homer	N;MASC;SG	
rap	rap	rap	rap	N;MASC;SG	
asistir	szakorvos	asistir	szakorvos	V;NFIN	N;NOM;SG
asistir	segítségnyújtás	asistir	segítségnyújtás	V;NFIN	N;NOM;SG
turistas	turista	turista	turista	N;PL	N;NOM;SG
darío	darius	darío	darius	N;MASC;SG	
confusión	zavart	confusión	zavart	N;FEM;SG	
lituania	litván	lituania	litván	N;FEM;SG	
tendencias	trend	tendencia	trend	N;FEM;PL	
tendencias	tendencia	tendencia	tendencia	N;FEM;PL	N;NOM;SG
tendencias	aktuális	tendencia	aktuális	N;FEM;PL	ADJ;NOM;SG
secretos	titok	secreto	titok	N;MASC;PL	N;NOM;SG
secretos	titok	secreto	titok	N;MASC;PL	N;NOM;SG
secretos	titkos	secreto	titkos	N;MASC;PL	
tommy	tommy	tommy	tommy	PROPN	
probabilidad	valószínűség	probabilidad	valószínűség	N;FEM;SG	
exhibición	bemutató	exhibición	bemutató	N;FEM;SG	
provinciales	tartományi	provincial	tartományi	ADJ;PL	ADJ;NOM;SG
amistoso	barátságosak	amistoso	barátságos	ADJ;MASC;SG	ADJ;NOM;PL
elaborado	kidolgozott	elaborado	kidolgozott	ADJ;MASC;SG;V.PTCP	
elaborado	kidolgozott	elaborado	kidolgozott	ADJ;MASC;SG;V.PTCP	
elaborado	kialakított	elaborado	kialakított	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
temprano	korán	temprano	korán	ADV	
temprano	korai	temprano	korai	ADV	
direcciones	cím	dirección	cím	N;FEM;PL	N;NOM;SG
direcciones	címe	dirección	cím	N;FEM;PL	N;NOM;SG
soprano	soprano	soprano	soprano	N;FEM;SG	
now	most	now	most		ADV
sonic	sonic	sonic	sonic	N;MASC;SG	
asumir	feltételezem	asumir	feltételez	V;NFIN	
espectro	lidérc	espectro	lidérc	N;MASC;SG	
espectro	lidércek	espectro	lidérc	N;MASC;SG	N;NOM;PL
serio	komoly	serio	komoly	ADJ;MASC;SG	
serio	súlyos	serio	súlyos	ADJ;MASC;SG	
conducción	vezet	conducción	vezet	N;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
conducción	vezetési	conducción	vezetési	N;FEM;SG	ADJ;NOM;SG
inteligente	okos	inteligente	okos	ADJ;SG	
inteligente	ügyes	inteligente	ügyes	ADJ;SG	
inteligente	ötletes	inteligente	ötletes	ADJ;SG	
inteligente	intelligens	inteligente	intelligens	ADJ;SG	
inteligente	okos	inteligente	okos	ADJ;SG	
inteligente	intelligens	inteligente	intelligens	ADJ;SG	
inteligente	smart	inteligente	smart	ADJ;SG	
introducido	bevitt	introducir	bevitt	ADJ;MASC;SG;V.PTCP	
introducido	belépett	introducir	belép	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
introducido	beléptem	introducir	belép	ADJ;MASC;SG;V.PTCP	V;DEF;IND;SG;1;PST;FIN;ACT
introducido	lépett	introducir	lép	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
introducido	bevezetett	introducir	bevezetett	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
introducido	bemutatott	introducir	bemutatott	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
ficticio	fiktív	ficticio	fiktív	ADJ;MASC;SG	
manhattan	manhattanben	manhattar	manhatt	N;MASC;SG	ADV
manhattan	manhattan	manhattar	manhat	N;MASC;SG	V;INDF;POT;SG;3;PST;FIN;ACT
manhattan	manhattani	manhattar	manhat	N;MASC;SG	V;POT;NFIN;ACT
cia	cia	cia	cia	N;SG	PROPN;NOM;SG
cia	cia	cia	cia	N;SG	PROPN;NOM;SG
abundantes	bőséges	abundante	bőséges	ADJ;PL	ADJ;NOM;SG
abundantes	bőségesen	abundante	bőséges	ADJ;PL	ADJ;FRML;SG
conocía	tudtam	conocer	tud	V;IND;SG;3;IPFV;FIN	V;INDF;IND;SG;1;PST;FIN;ACT
conocía	tudta	conocer	tud	V;IND;SG;3;IPFV;FIN	V;DEF;IND;SG;3;PST;FIN;ACT
cubrir	címlap	cubrir	címlap	V;NFIN	CONJ
cubrir	fedő	cubrir	fedő	V;NFIN	N;NOM;SG
cubrir	borító	cubrir	borító	V;NFIN	N;NOM;SG
citas	idéz	cita	idéz	N;FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
citas	randi	cita	randi	N;FEM;PL	N;NOM;SG
citas	randizni	cita	randiz	N;FEM;PL	V;NFIN;ACT
citas	társkereső	cita	társkereső	N;FEM;PL	N;NOM;SG
aprobada	engedélyezett	aprobado	engedélyezett	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
aprobada	jóváhagyott	aprobado	jóváhagyott	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
filadelfia	philly	filadelfia	philly	N;FEM;SG	
filadelfia	philadelphia	filadelfia	philadelphia	N;FEM;SG	
filadelfia	philadelphiában	filadelfia	philadelpha	N;FEM;SG	PROPN;IN+ESS;SG
filadelfia	philadelphia	filadelfia	philadelphia	N;FEM;SG	
decidido	eltökélt	decidido	eltökélt	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
decidido	határozott	decidido	határoz	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
decidido	meghatározott	decidido	meghatározott	ADJ;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
decidido	meghatározva	decidido	meghatározva	ADJ;MASC;SG;V.PTCP	ADV;V.CVB
baden	baden	bader	baden	N;MASC;SG	PROPN;NOM;SG
falso	hamis	falso	hamis	ADJ;MASC;SG	
falso	hamisítvány	falso	hamisítvány	ADJ;MASC;SG	N;NOM;SG
falso	mű	falso	mű	ADJ;MASC;SG	N;NOM;SG
falso	kamu	falso	kamu	ADJ;MASC;SG	
falso	hamis	falso	hamis	ADJ;MASC;SG	
jesuitas	jezsuita	jesuita	jezsuita	N;PL	
jurídico	legális	jurídico	legális	ADJ;MASC;SG	
tabasco	tabasco	tabasco	tabasco	N;MASC;SG	
destruida	megsemmisült	destruido	megsemmisült	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
destruida	elpusztult	destruido	elpusztult	ADJ;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
