newman	نيومان	newman	نِيُومَان	N;INDF;MASC;SG	
hytte	المقصورة	hytte	مَقصُورَة	N;INDF;FEM;SG	N;NOM;DEF;SG
religiøst	الدينية	religiøs	دِينِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
religiøst	الديني	religiøs	دِينِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
religiøst	متدين	religiøs	متدين	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;DU
kaffe	البن	kaffe	بُنّ	N;INDF;MASC;SG	N;NOM;DEF;SG
kaffe	القهوة	kaffe	قُهُوَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
skyldig	مذنب	skyldig	مُذَنَّب	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
dam	البركة	dam	بَرَكَة	N;INDF;MASC;SG	N;NOM;DEF;SG
dam	دام	dam	دَام	N;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
dam	السد	dam	سُدّ	N;INDF;MASC;SG	N;NOM;DEF;SG
gallia	الغال	gallia	غَال	PROPN	
operation	العملية	operation	عَمَلِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
operation	العمليات	operation	عَمَلِيَّة	N;INDF;MASC;SG	N;NOM;DEF;PL
keramikk	السيراميك	keramikk	سِيرَامِيك	N;INDF;NEUT;SG	N;NOM;DEF;SG
fiendtlige	معاد	fiendtlige	مُعَادِي	ADJ;PL	N;NOM;INDF;SG
fiendtlige	معادية	fiendtlige	مُعَادِي	ADJ;PL	ADJ;NOM;INDF;FEM;SG
fiendtlige	عدائية	fiendtlige	عِدَائِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
slektning	النسبي	slektning	نِسبِيّ	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
slektning	نسبيا	slektning	نِسبِيّ	N;INDF;MASC;SG	ADJ;ACC;INDF;MASC;SG
slektning	نسبية	slektning	نِسبِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
slektning	نسبي	slektning	نِسبِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
nominerte	المرشحون	nominere	مُرَشَّح	ADJ;PL;V.PTCP	N;NOM;DEF;PL
volvo	فولفو	volvo	فُولفُو	N;INDF;MASC;SG	
guitar	الجيتار	guit	جِيتَار	N;INDF;MASC;SG	N;NOM;DEF;SG
guitar	جيتار	guit	جيتار	N;INDF;MASC;SG	
guitar	الغيتار	guit	غِيتَار	N;INDF;MASC;SG	N;NOM;DEF;SG
sinn	البال	sinn	بَال	N;INDF;NEUT;SG	N;NOM;DEF;SG
sinn	العقل	sinn	عَقل	N;INDF;NEUT;SG	N;NOM;DEF;SG
sinn	عقل	sinn	عَقَل	N;INDF;NEUT;SG	
sinn	عقول	sinn	عَقل	N;INDF;NEUT;SG	N;NOM;INDF;PL
sinn	العقول	sinn	عَقل	N;INDF;NEUT;SG	N;NOM;DEF;PL
restaurering	الاستعادة	restaurering	اِستِعَادَة	N;INDF;FEM;SG	N;NOM;DEF;SG
restaurering	الترميم	restaurering	تَرمِيم	N;INDF;FEM;SG	N;NOM;DEF;SG
kampanjen	حملة	kampanje	حَملَة	N;DEF;MASC;SG	N;NOM;INDF;SG
vogner	العربات	vogn	عَرَبَة	N;INDF;FEM;PL	N;NOM;DEF;PL
registrere	تسجيل	registrere	تَسجِيل	V;NFIN	N;NOM;INDF;SG
registrere	السجل	registrere	سِجِلّ	V;NFIN	N;NOM;DEF;SG
registrere	التسجيل	registrere	تَسجِيل	V;NFIN	N;NOM;DEF;SG
tobias	توبياس	tobias	توبياس	N;INDF;MASC;SG	
satset	راهن	sats	رَاهَن	N;INDF;NEUT;SG	
satset	الرهان	sats	رِهَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
lam	لامب	lam	لَامِب	N;INDF;NEUT;SG	
lam	حمل	lam	حَمَل	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
lam	الحمل	lam	حَمَل	N;INDF;NEUT;SG	N;NOM;DEF;SG
lam	خروف	lam	خَرف	N;INDF;NEUT;SG	
lam	لام	lam	لَام	N;INDF;NEUT;SG	
lam	الحملان	lam	حَمَل	N;INDF;NEUT;SG	N;NOM;DEF;SG
wade	ويد	wade	وَيِّد	N;INDF;MASC;SG	
wade	وايد	wade	وايد	N;INDF;MASC;SG	
daily	اليومية	daily	يَومِيّ	N;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
daily	اليومي	daily	يَومِيّ	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
daily	يومية	daily	يَومِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
daily	يوميا	daily	يَومِيّ	N;INDF;MASC;SG	ADJ;ACC;INDF;MASC;SG
fenomener	ظاهرة	fenomen	ظَاهِرَة	N;INDF;MASC;PL	N;NOM;INDF;SG
fenomener	الظواهر	fenomen	ظَاهِرَة	N;INDF;MASC;PL	N;NOM;DEF;PL
lesning	القراءة	lesning	قِرَاءَة	N;INDF;FEM;SG	N;NOM;DEF;SG
lesning	يقرا	lesning	قَرَا	N;INDF;FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
lesning	اقرا	lesning	أَقَرّ	N;INDF;FEM;SG	
verdifulle	قيمة	verdifull	قِيمَة	ADJ;PL	N;NOM;INDF;SG
drivstoff	الوقود	drivstoff	وَقُود	N;INDF;NEUT;SG	N;NOM;DEF;SG
emanuel	ايمانويل	emanuel	إِيمَانُوِيل	N;INDF;MASC;SG	
plast	البلاستيك	plast	بلَاستِيك	N;INDF;MASC;SG	N;NOM;DEF;SG
plast	البلاستيك	plast	بلَاستِيك	N;INDF;MASC;SG	N;NOM;DEF;SG
plast	البلاستيكية	plast	بلَاستِيكِيّ	N;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
plast	بلاستيك	plast	بلَاستِيك	N;INDF;MASC;SG	
følelse	الاحساس	følelse	إِحسَاس	N;INDF;MASC;SG	N;NOM;DEF;SG
følelse	اشعر	følelse	أَشعَر	N;INDF;MASC;SG	
følelse	الشعور	følelse	شُعُور	N;INDF;MASC;SG	N;NOM;DEF;SG
åpnes	يفتح	åpes	فَتَح	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
lorenzo	لورينزو	lorenzo	لورينزو	N;DEF;MASC;SG	
lorenzo	لورنزو	lorenzo	لُورنزُو	N;DEF;MASC;SG	
#dfffdf	#dfffd	pdfffdf	#dfffd	N;INDF;MASC;SG	
oppgjør	المواجهة	oppgjør	مُوَاجَهَة	N;INDF;MASC;SG	N;NOM;DEF;SG
medium	متوسط	medium	مُتَوَسِّط	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
medium	متوسطة	medium	مُتَوَسِّط	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
medium	المتوسط	medium	مُتَوَسِّط	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
beveget	انتقلت	beveg	اِنتَقَل	N;DEF;NEUT;SG	V;PFV;FEM;SG;3;ACT
beveget	تحركت	beveg	تَحَرَّك	N;DEF;NEUT;SG	V;PFV;FEM;SG;3;ACT
oppnevnt	المعين	oppnevne	المعين	ADJ;INDF;NEUT;SG;V.PTCP	
oppnevnt	عينت	oppnevne	عَيَّن	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;3;PASS
batteri	البطارية	batteri	بِطَارِيّ	N;INDF;NEUT;SG	N;NOM;DEF;SG
monumentet	نصب	monument	نَصب	N;DEF;NEUT;SG	N;NOM;INDF;SG
bønn	الصلاة	bønn	صَلَاة	N;INDF;MASC;SG	N;NOM;DEF;SG
bønn	يصلي	bønn	أَصلَى	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
bønn	اصلي	bønn	أَصلِيّ	N;INDF;MASC;SG	
bønn	بالدعاء	bønn	بِ	N;INDF;MASC;SG	N;NOM;DEF;SG
bønn	الدعاء	bønn	دُعَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
bønn	الصلاة	bønn	صَلَاة	N;INDF;MASC;SG	N;NOM;DEF;SG
bønn	الدعاء	bønn	دُعَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
holdninger	المواقف	holdninger	مَوقِف	N;INDF;FEM;PL	N;NOM;DEF;PL
kriminelle	المجرمون	kriminell	مُجرِم	ADJ;PL	N;NOM;DEF;PL
kriminelle	المجرمين	kriminell	مُجرِم	ADJ;PL	N;NOM;DEF;PL
kriminelle	مجرمون	kriminell	مَجرِم	ADJ;PL	N;NOM;INDF;PL
innså	ادرك	innså	ادرك	N;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
innså	ادركت	innså	أَدرَك	N;INDF;MASC;SG	V;PFV;FEM;SG;3;ACT
trust	الثقة	trust	ثِقَة	N;INDF;MASC;SG	N;NOM;DEF;SG
joel	جويل	joel	جويل	N;INDF;MASC;SG	
joel	جول	joel	جول	N;INDF;MASC;SG	
høyder	المرتفعات	høyde	مُرتَفِع	N;INDF;MASC;PL	N;NOM;DEF;PL
tomt	فارغ	tomt	فارغ	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
tomt	فارغة	tomt	فارغة	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
tomt	فارغ	tomt	فارغ	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
tomt	فارغة	tomt	فارغة	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
påstått	المزعوم	påstå	مَزعُوم	ADJ;INDF;SG;V.PTCP	N;NOM;DEF;SG
påstått	مزعوم	påstå	مَزعُوم	ADJ;INDF;SG;V.PTCP	N;NOM;INDF;SG
pax	باكس	pax	بَاكِس	N	
must	لازم	must	لَازِم	N;INDF;NEUT;SG	
must	يجب	must	وَجَب	N;INDF;NEUT;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
benny	بينى	benny	بَينَى	N;INDF;NEUT;SG	
presidenter	رؤساء	president	رَئِيس	N;INDF;NEUT;SG	N;NOM;INDF;PL
presidenter	الرئيسان	president	رَئِيسَان	N;INDF;NEUT;SG	N;NOM;DEF;DU
presidenter	الرؤساء	president	رَئِيس	N;INDF;NEUT;SG	N;NOM;DEF;PL
bangkok	بانكوك	bangkok	بَانكُوك	N;INDF;MASC;SG	
reform	الاصلاح	reform	إِصلَاح	N;INDF;MASC;SG	N;NOM;DEF;SG
redaktører	المحررين	redaktør	مُحَرِّر	N;INDF;MASC;PL	N;NOM;DEF;PL
eli	الاي	eli	اَلَّذِي	N;INDF;FEM;SG	N;NOM;DEF;SG
anmeldelser	مراجعات	anmeldelse	مُرَاجَعَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
anmeldelser	المراجعات	anmeldelse	مُرَاجِعَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
anmeldelser	الاستعراضات	anmeldelse	اِستِعرَاض	N;INDF;NEUT;SG	N;NOM;DEF;PL
prisene	اسعار	prise	سِعر	N;DEF;FEM;PL	N;NOM;INDF;PL
restauranter	المطاعم	restaurant	مَطعَم	N;INDF;NEUT;PL	N;NOM;DEF;PL
depresjon	الكابة	depresjon	كَابَّة	N;INDF;MASC;SG	
depresjon	الاكتئاب	depresjon	اِكتِئَاب	N;INDF;MASC;SG	N;NOM;DEF;SG
depresjon	الكساد	depresjon	كَسَاد	N;INDF;MASC;SG	N;NOM;DEF;SG
mus	فئران	mus	فَئر	N;INDF;FEM;SG	
mus	الفئران	mus	فَئِير	N;INDF;FEM;SG	N;NOM;DEF;DU
mus	الفارة	mus	فَارّ	N;INDF;FEM;SG	N;NOM;DEF;SG
mus	الفار	mus	فَار	N;INDF;FEM;SG	
mus	فار	mus	فَار	N;INDF;FEM;SG	
mus	ماوس	mus	مَاوس	N;INDF;FEM;SG	
norton	نورتون	norton	نورتون	N;INDF;MASC;SG	
ellevte	e	elleve	هُوَ	ADJ;DEF;SG	
ten	العشرة	ten	عَشَرَة	N	NUM;NOM;DEF;MASC
ten	t	ten	t	N	
ten	عشرة	ten	عَشَرَة	N	NUM;MASC
ten	عشر	ten	عَشَرَة	N	NUM;MASC
ten	العاشرة	ten	عَاشِر	N	ADJ;NOM;DEF;FEM;SG
amerikanere	الاميركيين	amerikanere	أَمِيرِكِيّ	N;INDF;MASC;SG	N;NOM;DEF;PL
amerikanere	امريكيون	amerikanere	أَمرِيكِيّ	N;INDF;MASC;SG	N;NOM;INDF;PL
prestasjoner	المنجزات	prestasjon	مُنَجِّز	N;INDF;MASC;SG	N;NOM;DEF;PL
prestasjoner	انجازات	prestasjon	إِنجَاز	N;INDF;MASC;SG	N;NOM;INDF;PL
prestasjoner	الانجازات	prestasjon	الانجازات	N;INDF;MASC;SG	N;NOM;DEF;PL
prosjektene	مشاريع	prosjekt	مَشرُوع	N;DEF;FEM;PL	N;NOM;INDF;PL
prosjektene	مشروعات	prosjekt	مَشرُوع	N;DEF;FEM;PL	N;NOM;INDF;PL
komponenter	عناصر	komponenter	عُنصُر	N;INDF;NEUT;SG	N;NOM;INDF;PL
komponenter	المكونات	komponenter	مُكَوِّن	N;INDF;NEUT;SG	N;NOM;DEF;PL
komponenter	العناصر	komponenter	عُنصُر	N;INDF;NEUT;SG	N;NOM;DEF;PL
komponenter	مكونات	komponenter	مُكَوِّن	N;INDF;NEUT;SG	N;NOM;INDF;PL
born	ولد	barn	وَلَد	N;INDF;NEUT;PL	N;NOM;INDF;SG
born	تولد	barn	تَوَلُّد	N;INDF;NEUT;PL	V;IPFV;FEM;IND;SG;3;FIN;ACT
born	مولود	barn	مولود	N;INDF;NEUT;PL	N;NOM;INDF;SG
born	يولد	barn	وَلَّد	N;INDF;NEUT;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
born	ولدت	barn	وَلَد	N;INDF;NEUT;PL	V;PFV;FEM;SG;3;PASS
xvi	xvi	xvi	مُثَّة	N	
reservoaret	خزان	reservoar	خَزَّان	N;DEF;NEUT;SG	N;NOM;INDF;SG
måne	قمر	måne	قَمَر	N;INDF;MASC;SG	
måne	القمر	måne	قَمَر	N;INDF;MASC;SG	N;NOM;DEF;SG
inviterte	دعا	invitere	دَعَا	ADJ;PL;V.PTCP	V;PFV;MASC;SG;3;ACT
inviterte	دعيت	invitere	دَعَا	ADJ;PL;V.PTCP	V;PFV;FEM;SG;3;ACT
inviterte	مدعو	invitere	مَدعُوّ	ADJ;PL;V.PTCP	N;NOM;INDF;SG
fat	السمين	fat	سَمِين	N;INDF;NEUT;SG	N;NOM;DEF;SG
fat	بدين	fat	بدين	N;INDF;NEUT;SG	
fat	الدهون	fat	دَهن	N;INDF;NEUT;SG	N;NOM;DEF;PL
fat	سمين	fat	سَمِين	N;INDF;NEUT;SG	
fat	دهن	fat	دِهن	N;INDF;NEUT;SG	
css	المغلق	cs	مُغلَق	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
css	c	cs	هُوَ	N;INDF;NEUT;SG	
kirka	كنيسه	kirk	كنيسه	N;INDF;FEM;SG	PRO;NOM;MASC;SG;3
kirka	كنيست	kirk	كَنِيس	N;INDF;FEM;SG	
kirka	الكنيسة	kirk	كَنِيسَة	N;INDF;FEM;SG	N;NOM;DEF;SG
bella	بيلا	bell	بَيل	N;INDF;FEM;SG	
anklager	الاتهامات	anklager	اِتِّهَام	N;INDF;FEM;PL	N;NOM;DEF;PL
bern	برن	bern	برِن	PROPN	
bern	بيرن	bern	بِيرن	PROPN	
bonn	بون	bonn	بون	N;INDF;NEUT;SG	
ris	الارز	ris	أَرز	N;INDF;MASC;SG	N;NOM;DEF;SG
ris	الرز	ris	رُزّ	N;INDF;MASC;SG	N;NOM;DEF;SG
ris	رز	ris	رز	N;INDF;MASC;SG	
ris	ارز	ris	ارز	N;INDF;MASC;SG	
ris	رايس	ris	رَايس	N;INDF;MASC;SG	
meldinger	المراسلة	melding	مُرَاسَلَة	N;INDF;FEM;PL	N;NOM;DEF;SG
meldinger	المراسلات	melding	مُرَاسَلَة	N;INDF;FEM;PL	N;NOM;DEF;PL
meldinger	مراسلة	melding	مُرَاسَلَة	N;INDF;FEM;PL	N;NOM;INDF;SG
meldinger	الرسائل	melding	رِسَالَة	N;INDF;FEM;PL	N;NOM;DEF;PL
forårsaker	اسباب	forårsak	سَبَب	N;INDF;FEM;PL	N;NOM;INDF;SG
forårsaker	الاسباب	forårsak	سَبَب	N;INDF;FEM;PL	N;NOM;DEF;PL
signatur	التوقيع	signatur	تَوقِيع	N;INDF;MASC;SG	N;NOM;DEF;SG
myten	اسطورة	myte	أُسطُورَة	N;DEF;MASC;SG	N;NOM;INDF;SG
datamaskin	كمبيوتر	datamaskin	كمبيوتر	N;INDF;FEM;SG	
datamaskin	الحاسوب	datamaskin	حَاسُوب	N;INDF;FEM;SG	N;NOM;DEF;SG
datamaskin	الكمبيوتر	datamaskin	كَمبيُوتِر	N;INDF;FEM;SG	N;NOM;DEF;SG
opprettelse	خلق	opprettelse	خَلَق	N;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
opprettelse	الانشاء	opprettelse	إِنشَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
opprettelse	الخلق	opprettelse	خَلق	N;INDF;MASC;SG	N;NOM;DEF;SG
duncan	دنكان	duncan	دَنكَان	N	
duncan	دانكن	duncan	دَانكُن	N	
duncan	دونكان	duncan	دُونكَان	N	
alfonso	الفونسو	alfonso	اَلفُونسُو	N;INDF;MASC;SG	
sikt	التصويب	sikt	تَصوِيب	N;INDF;FEM;SG	N;NOM;DEF;SG
sikt	الرؤية	sikt	رُؤيَة	N;INDF;FEM;SG	N;NOM;DEF;SG
mother	ام	mothe	إِم	N;INDF;NEUT;SG	
mother	الام	mothe	أُمّ	N;INDF;NEUT;SG	N;NOM;DEF;SG
lagring	المخزن	lagring	مَخزَن	N;INDF;FEM;SG	N;NOM;DEF;SG
lagring	التخزين	lagring	تَخزِين	N;INDF;FEM;SG	N;NOM;DEF;SG
lagring	الادخار	lagring	اِدِّخَار	N;INDF;FEM;SG	N;NOM;DEF;SG
lagring	الحفظ	lagring	حِفظ	N;INDF;FEM;SG	N;NOM;DEF;SG
fremtid	المستقبل	fremtid	مُستَقبَل	N;INDF;FEM;SG	N;NOM;DEF;SG
fattigdom	الفقر	fattigdom	فَقر	N;INDF;MASC;SG	N;NOM;DEF;SG
hekker	التعشيش	hekker	تَعشِيش	N;INDF;FEM;PL	N;NOM;DEF;SG
utsiden	خارج	utside	خَارِجَ	N;DEF;MASC;SG	ADP;ACC
christ	المسيح	christ	المسيح	N	
belønning	ثواب	belønning	ثَابِيَة	N;INDF;FEM;SG	N;NOM;INDF;PL
eritrea	اريتريا	eritrea	اريتريا	N;INDF;NEUT;SG	
begynnelse	البداية	begynnelse	بِدَايَة	N;INDF;MASC;SG	N;NOM;DEF;SG
intel	انتل	intel	أَنتَل	N;INDF;MASC;SG	
salzburg	سالزبورغ	salzburg	سالزبورغ	N;INDF;MASC;SG	
borger	المواطن	borg	مُوَاطِن	N;INDF;MASC;SG	N;NOM;DEF;SG
dragon	تنين	dragon	تَنَيَّن	N;INDF;MASC;SG	
dragon	التنين	dragon	تَنَيَّن	N;INDF;MASC;SG	N;NOM;DEF;SG
leveres	سلمت	levere	سَلِم	N;INDF;NEUT;SG	V;PFV;FEM;SG;3;ACT
propaganda	الدعاية	propaganda	دِعَايَة	N;INDF;MASC;SG	N;NOM;DEF;SG
captain	الكابتن	captain	الكابتن	N;INDF;MASC;SG	
captain	كابتن	captain	كابتن	N;INDF;MASC;SG	
third	ثالثا	third	ثَالِث	N	ADJ;ACC;INDF;MASC;SG
third	الثالثة	third	ثَالِث	N	ADJ;NOM;DEF;FEM;SG
third	ثالث	third	ثَالِث	N	ADJ;NOM;INDF;MASC;SG
third	الثالث	third	ثَالِث	N	ADJ;NOM;DEF;MASC;SG
third	ثالثة	third	ثَالِث	N	ADJ;NOM;INDF;FEM;SG
fossil	الحفريات	fossil	حَفرِيَّات	N;INDF;MASC;SG	
greg	غريغ	greg	غريغ	N;INDF;MASC;SG	
greg	جريج	greg	جَرِيج	N;INDF;MASC;SG	
forbedringer	التحسينات	forbedringer	تَحسِين	N;INDF;FEM;PL	N;NOM;DEF;PL
forbedringer	التحسينات	forbedringer	تَحسِين	N;INDF;FEM;PL	N;NOM;DEF;PL
nøytrale	محايد	nøytral	محايد	ADJ;PL	N;NOM;INDF;SG
nøytrale	محايدة	nøytral	مُحَايَدَة	ADJ;PL	ADJ;NOM;INDF;FEM;SG
nøytrale	محايدا	nøytral	مُحَايِد	ADJ;PL	N;ACC;INDF;SG
perfekt	الكمال	perfekt	كَمَال	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
måner	الاقمار	måne	قَمَر	N;INDF;MASC;PL	N;NOM;DEF;PL
atmosfære	الجو	atmosfære	جَوّ	N;INDF;MASC;SG	N;NOM;DEF;SG
atmosfære	الاجواء	atmosfære	جَوّ	N;INDF;MASC;SG	N;NOM;DEF;PL
atmosfære	اجواء	atmosfære	جَوّ	N;INDF;MASC;SG	N;NOM;INDF;PL
utkast	المسودة	utkast	مُسَوَّدَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
hannibal	هانيبال	hannibal	هانيبال	N;INDF;MASC;SG	
kommunistene	الشيوعيين	kommunist	الشيوعيين	N;DEF;FEM;PL	ADJ;NOM;DEF;MASC;PL
preston	بريستون	preston	برِيستُون	N;INDF;MASC;SG	
sjekk	التحقق	sjekk	تَحَقُّق	V;IMP;FIN	N;NOM;DEF;SG
sjekk	تفقد	sjekk	فَقَد	V;IMP;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
sjekk	كش	sjekk	كش	V;IMP;FIN	
laos	لاوس	laos	لَاوس	N;INDF;MASC;SG	
laos	ولاوس	laos	ولاوس	N;INDF;MASC;SG	
laos	اوس	laos	أُوس	N;INDF;MASC;SG	
frue	مدام	fru	مَدَام	N;INDF;FEM;SG	
frue	سيدتي	fru	سيدتي	N;INDF;FEM;SG	
gjensidig	المتبادل	gjensidig	مُتَبَادَل	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
edit	حرر	edit	حَرَّر	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
edit	التحرير	edit	تَحرِير	N;INDF;NEUT;SG	N;NOM;DEF;SG
bis	مكررا	bis	مُكرَر		ADJ;ACC;INDF;MASC;SG
bis	مكرر	bis	مُكرَر		N;NOM;INDF;SG
konsulent	استشاري	konsulent	اِستِشَارِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
konsulent	الاستشارات	konsulent	اِستِشَارَة	N;INDF;MASC;SG	N;NOM;DEF;PL
konsulent	التشاور	konsulent	تَشَاوُر	N;INDF;MASC;SG	N;NOM;DEF;SG
konsulent	استشارات	konsulent	اِستِشَارَة	N;INDF;MASC;SG	N;NOM;INDF;PL
fjerner	يزيل	fjerne	أَزَال	N;INDF;FEM;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
jessica	جيسيكا	jessica	جِيسِيكَا	N;INDF;SG	
rachel	راتشيل	rachel	راتشيل	N;INDF;MASC;SG	
rachel	ريتشيل	rachel	ريتشيل	N;INDF;MASC;SG	
rachel	ريتشل	rachel	رِيتشِل	N;INDF;MASC;SG	
rachel	رايتشل	rachel	رَايتشِل	N;INDF;MASC;SG	
rachel	راشيل	rachel	راشيل	N;INDF;MASC;SG	
læring	تعلم	læring	عَلِم	N;INDF;FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
læring	التعلم	læring	تَعَلُّم	N;INDF;FEM;SG	N;NOM;DEF;SG
centimeter	سنتيمتر	centimeter	سنتيمتر	N;INDF;MASC;PL	
centimeter	سنتيمتر	centimeter	سنتيمتر	N;INDF;MASC;PL	
igor	ايغور	igor	ايغور	N;INDF;MASC;SG	
igor	ايجور	igor	إِيجُور	N;INDF;MASC;SG	
krevende	يطالبون	krevende	طَالَب	N;INDF;FEM;SG	V;IPFV;MASC;IND;PL;3;FIN;ACT
krevende	تطالب	krevende	طَالَب	N;INDF;FEM;SG	V;IPFV;FEM;IND;SG;3;FIN;ACT
karakterer	الرتب	karaktere	رُتبَة	V;IND;PRS;FIN	N;NOM;DEF;PL
karakterer	درجات	karaktere	دَرَجَة	V;IND;PRS;FIN	N;NOM;INDF;PL
karakterer	الدرجات	karaktere	دَرَجَة	V;IND;PRS;FIN	N;NOM;DEF;PL
marion	ماريون	marion	ماريون	N;INDF;MASC;SG	
islamsk	الاسلامي	islamsk	إِسلَامِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
islamsk	الاسلامية	islamsk	إِسلَامِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
talk	الحديث	talk	حَدِيث	N;INDF;MASC;SG	N;NOM;DEF;SG
talk	الكلام	talk	كَلَام	N;INDF;MASC;SG	N;NOM;DEF;SG
