יובנטוס	juventus	יובנטוס	juventus	PROPN	N;MASC;SG
פיצויים	indemnização	פיצוי	indemnização	N;MASC;PL	N;FEM;SG
פיצויים	restituição	פיצוי	restituição	N;MASC;PL	N;FEM;SG
מדף	prateleira	מדף	prateleira		N;FEM;SG
מדף	estante	מדף	estante		N;FEM;SG
קרלו	carlo	קרלו	carlo	PROPN	N;MASC;SG
גותי	gótica	גותי	gótica	PROPN	N;FEM;SG
גותי	gótico	גותי	gótico	PROPN	ADJ;MASC;SG
גותי	gótica	גותי	gótica	PROPN	N;FEM;SG
גותי	gótico	גותי	gótico	PROPN	ADJ;MASC;SG
קולינס	collins	קולינס	collin	PROPN	N;MASC;SG
המשולש	triângulo	המשולש	triângulo	PROPN	N;MASC;SG
קוסטה	costa	קוסטה	costa	PROPN	N;FEM;SG
מוגנים	protegida	הוגן	protegido	ADJ;MASC;PL	V;FEM;SG;V.PTCP
מוגנים	protegidas	הוגן	proteger	ADJ;MASC;PL	V;FEM;PL;V.PTCP
מוגנים	protegidos	הוגן	proteger	ADJ;MASC;PL	V;MASC;PL;V.PTCP
מוגנים	protegido	הוגן	proteger	ADJ;MASC;PL	V;MASC;SG;V.PTCP
פינת	cantos	פינה	canto	N;FEM;SG	N;MASC;PL
תה	chá	תה	chá		N;MASC;SG
סבירה	prováveis	סביר	provável	ADJ;FEM;SG	ADJ;MASC;PL
סבירה	razoáveis	סביר	razoável	ADJ;FEM;SG	ADJ;MASC;PL
חסיד	seguidor	חסיד	seguidor		N;MASC;SG
פלד	feld	פלד	feld	PROPN	N;MASC;SG
דינה	deena	דינה	deena	PROPN	N;FEM;SG
דינה	dena	דינה	dena	PROPN	N;FEM;SG
דינה	dinah	דינה	dinah	PROPN	N;FEM;SG
דינה	dina	דינה	dina	PROPN	N;FEM;SG
מציגים	introdução	הציג	introdução	V;MASC;PL;V.PTCP;ACT	N;FEM;SG
מציגים	apresentamos	הציג	apresentar	V;MASC;PL;V.PTCP;ACT	V;IND;PL;1;PRS;FIN
מפתיע	surpreendente	מפתיע	surpreendente	V;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG
מפתיע	surpreendentes	מפתיע	surpreendente	V;MASC;SG;V.PTCP;ACT	ADJ;MASC;PL
דונלד	donald	דונלד	donald	PROPN	N;MASC;SG
עידוד	torcendo	עידוד	torcender	N;MASC;SG	V;V.MSDR
המכהן	reinante	המכהן	reinante	PROPN	ADJ;MASC;SG
הנוסחה	formula	הנוסחה	formular	PROPN	N;FEM;SG
הנוסחה	fórmula	הנוסחה	fórmula	PROPN	N;FEM;SG
אפשטיין	epstein	אפשטיין	epstein	PROPN	N;MASC;SG
אוהבת	amor	אהב	amor	V;FEM;SG;V.PTCP;ACT	N;MASC;SG
אוהבת	love	אהב	love	V;FEM;SG;V.PTCP;ACT	N;MASC;SG
אוהבת	amo	אהב	amo	V;FEM;SG;V.PTCP;ACT	V;IND;SG;1;PRS;FIN
תיקונים	reparação	תיקון	reparação	N;MASC;PL	N;FEM;SG
גיורא	giora	גיורא	giora	PROPN	N;MASC;SG
דיבר	falaram	דיבר	falar	V;MASC;SG;3;PST;ACT	V;IND;PL;3;FIN
דיבר	falava	דיבר	falar	V;MASC;SG;3;PST;ACT	V;IND;SG;3;IPFV;FIN
מסרב	recusa	סירב	recusa	V;MASC;SG;V.PTCP;ACT	N;FEM;SG
מסרב	recuse	סירב	recuse	V;MASC;SG;V.PTCP;ACT	V;SBJV;SG;3;PRS;FIN
מיי	may	מיי	may		N;MASC;SG
מיי	maio	מיי	maio		N;MASC;SG
מיי	pode	מיי	poder		V;IND;SG;3;PRS;FIN
מיי	mae	מיי	mae		N;FEM;SG
ווד	madeiras	ווד	madeira	PROPN	N;FEM;PL
ווד	madeira	ווד	madeira	PROPN	N;FEM;SG
מתכות	metal	מתכת	metal	N;FEM;PL	N;MASC;SG
מייקה	micah	מייקה	micah	PROPN	N;MASC;SG
מייקה	mika	מייקה	mika	PROPN	N;MASC;SG
הגדלת	aumentar	הגדלה	aumentar	N;PSSD;FEM;SG	V;NFIN
הגדלת	aumentando	הגדלה	aumentar	N;PSSD;FEM;SG	V;V.MSDR
הגדלת	crescente	הגדלה	crescente	N;PSSD;FEM;SG	ADJ;MASC;SG
סטאר	estrela	סטאר	estrela	PROPN	N;FEM;SG
סטאר	star	סטאר	star	PROPN	N;MASC;SG
סטאר	estrelas	סטאר	estrela	PROPN	N;FEM;PL
קורן	radiante	קורן	radiante	PROPN	ADJ;FEM;SG
קורן	korn	קורן	korn	PROPN	N;MASC;SG
נין	nin	נין	nin		N;MASC;SG
קלידים	teclado	קליד	teclado	N;MASC;PL	N;MASC;SG
שולי	marginal	שול	marginal		N;MASC;SG
שולי	marginais	שול	marginal		N;MASC;PL
שולי	margens	שול	margem		N;FEM;PL
שולי	menores	שול	pequeno		N;MASC;PL
שולי	menor	שול	pequeno		ADJ;MASC;SG
שולי	minor	שול	minor		N;MASC;SG
דרשו	exigiu	דרש	exigir	V;PL;3;PST;ACT	V;IND;SG;3;PST;FIN
דרשו	exigi	דרש	exigir	V;PL;3;PST;ACT	INTJ
דרשו	exigia	דרש	exigir	V;PL;3;PST;ACT	V;IND;SG;3;IPFV;FIN
מורו	morrow	מורה	morrow		N;MASC;SG
מורו	moreau	מורה	morear		N;MASC;SG
מורו	moro	מורה	moro		V;IND;SG;1;PRS;FIN
ליסבון	lisboa	ליסבון	lisboa	PROPN	N;FEM;SG
פרד	fred	פרד	fred	PROPN	N;MASC;SG
פופולריות	popular	פופולריות	popular	N;FEM;SG	ADJ;MASC;SG
פופולריות	populares	פופולריות	popular	N;FEM;SG	ADJ;MASC;PL
פופולריות	populares	פופולריות	popular	N;FEM;SG	ADJ;MASC;PL
מנדלסון	mendelssohn	מנדלסון	mendelssohn	PROPN	N;MASC;SG
השיפוט	juízo	השיפוט	juízo	PROPN	N;MASC;SG
השיפוט	julgamento	השיפוט	julgamento	PROPN	N;MASC;SG
השיפוט	acórdão	השיפוט	acórdão	PROPN	N;MASC;SG
טורונטו	toronto	טורונטו	toronto	PROPN	N;MASC;SG
חריג	anormais	חריג	anormal	ADJ;MASC;SG	ADJ;MASC;PL
חריג	aberração	חריג	aberração	ADJ;MASC;SG	N;FEM;SG
אפרו	afro	אפר	afro	PROPN	N;MASC;SG
מורגן	morgan	מורגן	morgan	PROPN	N;MASC;SG
מורגן	morgana	מורגן	morgana	PROPN	N;FEM;SG
ענה	responde	ענה	responder	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PRS;FIN
ענה	resposta	ענה	resposta	V;MASC;SG;3;PST;ACT	N;FEM;SG
ענה	responda	ענה	responder	V;MASC;SG;3;PST;ACT	V;SBJV;SG;3;PRS;FIN
אצבע	dedo	אצבע	dedo	ADV	N;MASC;SG
הופץ	distribuídas	הופץ	distribuir	V;MASC;SG;3;PST;PASS	V;FEM;PL;V.PTCP
הופץ	distribuídos	הופץ	distribuir	V;MASC;SG;3;PST;PASS	V;MASC;PL;V.PTCP
אנדריי	andrey	אנדריי	andrey	PROPN	N;MASC;SG
אנדריי	andrei	אנדריי	andrar	PROPN	N;MASC;SG
תעשייתי	industriais	תעשייתי	industrial	ADJ;MASC;SG	N;MASC;PL
סובל	sobel	סובל	sobel	PROPN	N;MASC;SG
היעדר	ausência	היעדר	ausência		N;FEM;SG
בסיסיים	básicas	בסיסי	básico	ADJ;MASC;PL	N;FEM;PL
בסיסיים	básica	בסיסי	básico	ADJ;MASC;PL	N;FEM;SG
בסיסיים	basic	בסיסי	basic	ADJ;MASC;PL	N;MASC;SG
בסיסיים	básico	בסיסי	básico	ADJ;MASC;PL	ADJ;MASC;SG
בסיסיים	básicos	בסיסי	básico	ADJ;MASC;PL	N;MASC;PL
בטכניון	technion	בטכניון	technion	PROPN	N;MASC;SG
מחלק	divide	מחלק	dividir		V;IND;SG;3;PRS;FIN
מסודרת	organizada	מסודר	organizar	ADJ;FEM;SG	V;FEM;SG;V.PTCP
מסודרת	organizados	מסודר	organizar	ADJ;FEM;SG	V;MASC;PL;V.PTCP
מסודרת	organizadas	מסודר	organizar	ADJ;FEM;SG	V;FEM;PL;V.PTCP
מסודרת	organizado	מסודר	organizar	ADJ;FEM;SG	V;MASC;SG;V.PTCP
מסודרת	arrumada	מסודר	arrumar	ADJ;FEM;SG	V;FEM;SG;V.PTCP
מסודרת	arrumado	מסודר	arrumar	ADJ;FEM;SG	V;MASC;SG;V.PTCP
מסודרת	arrumado	מסודר	arrumar	ADJ;FEM;SG	V;MASC;SG;V.PTCP
אולמרט	olmert	אולמרט	olmert	PROPN	N;MASC;SG
גיברלטר	gibraltar	גיברלטר	gibraltar	PROPN	N;MASC;SG
חיוני	vitais	חיוני	vital	ADJ;MASC;SG	ADJ;MASC;PL
חיוני	essenciais	חיוני	essencial	ADJ;MASC;SG	ADJ;MASC;PL
אזכור	mencionar	אזכור	mencionar	N;MASC;SG	V;NFIN
התמודדות	lidar	התמודדות	lidar	N;FEM;SG	V;NFIN
רבנו	lutado	רב	lutar	PROPN	V;MASC;SG;V.PTCP
רבנו	lutaram	רב	lutar	PROPN	V;IND;PL;3;FIN
רבנו	lutei	רב	lutei	PROPN	V;IND;SG;1;PST;FIN
רבנו	lutou	רב	lutar	PROPN	V;IND;SG;3;PST;FIN
לשבור	break	שבר	break	V;NFIN;ACT	N;MASC;SG
לשבור	quebra	שבר	quebra	V;NFIN;ACT	N;FEM;SG
לשבור	pausa	שבר	pausa	V;NFIN;ACT	N;FEM;SG
פדרו	pedro	פדר	pedro	PROPN	N;MASC;SG
היוצא	cessante	היוצא	cessante		N;MASC;SG
תרכובות	compostos	תרכובה	compor	N;FEM;PL	V;MASC;PL;V.PTCP
נאור	iluminada	נאור	iluminar	PROPN	V;FEM;SG;V.PTCP
נאור	iluminados	נאור	iluminar	PROPN	V;MASC;PL;V.PTCP
נאור	esclarecido	נאור	esclarecer	PROPN	V;MASC;SG;V.PTCP
נאור	iluminado	נאור	iluminar	PROPN	V;MASC;SG;V.PTCP
מכריע	cruciais	מכריע	crucial	ADJ;MASC;SG	ADJ;MASC;PL
הקדמה	introdução	הקדמה	introdução	PROPN	N;FEM;SG
הקדמה	progress	הקדמה	progress	PROPN	N;MASC;SG
הקדמה	andamento	הקדמה	andamento	PROPN	N;MASC;SG
הקדמה	progresso	הקדמה	progresso	PROPN	N;MASC;SG
הקדמה	progressos	הקדמה	progresso	PROPN	N;MASC;PL
הקדמה	introdução	הקדמה	introdução	PROPN	N;FEM;SG
הקדמה	prelúdio	הקדמה	prelúdio	PROPN	N;MASC;SG
טקסי	táxi	טקס	táxi	N;PSSD;MASC;PL	N;MASC;SG
טקסי	taxi	טקס	taxi	N;PSSD;MASC;PL	N;MASC;SG
טקסי	cerimonial	טקס	cerimonial	N;PSSD;MASC;PL	N;MASC;SG
בטא	beta	בטא	beta	PROPN	N;MASC;SG
הפיל	elefante	הפיל	elefante	PROPN	N;MASC;SG
הפיל	elefantes	הפיל	elefante	PROPN	N;MASC;PL
הואשם	acusados	הואשם	acusar	V;MASC;SG;3;PST;PASS	V;MASC;PL;V.PTCP
הואשם	acusadas	הואשם	acusar	V;MASC;SG;3;PST;PASS	V;FEM;PL;V.PTCP
הואשם	acusados	הואשם	acusar	V;MASC;SG;3;PST;PASS	V;MASC;PL;V.PTCP
ליאו	léo	ליאו	léo	PROPN	N;MASC;SG
ליאו	leão	ליאו	leão	PROPN	N;MASC;SG
ליאו	leo	ליאו	leo	PROPN	N;MASC;SG
דורי	dori	דורי	dori	PROPN	N;MASC;SG
דורי	dory	דורי	dory	PROPN	N;MASC;SG
אורות	lights	אור	lights		N;MASC;SG
אורות	luzes	אור	luz		N;FEM;PL
צפייה	visualizando	צפייה	visualizar	N;FEM;SG	V;V.MSDR
צפייה	ver	צפייה	ver	N;FEM;SG	V;NFIN
צפייה	visualizar	צפייה	visualizar	N;FEM;SG	V;NFIN
צפייה	observando	צפייה	observar	N;FEM;SG	V;V.MSDR
צפייה	assistindo	צפייה	assistir	N;FEM;SG	V;V.MSDR
צפייה	vendo	צפייה	ver	N;FEM;SG	V;V.MSDR
מלאים	cheia	מלא	cheio	ADJ;MASC;PL	ADJ;FEM;SG
מלאים	plena	מלא	pleno	ADJ;MASC;PL	ADJ;FEM;SG
מלאים	pleno	מלא	pleno	ADJ;MASC;PL	ADJ;MASC;SG
מלאים	full	מלא	full	ADJ;MASC;PL	N;MASC;SG
מלאים	cheio	מלא	cheio	ADJ;MASC;PL	ADJ;MASC;SG
שלחו	manda	שלח	mandar	V;PL;3;PST	V;IND;SG;3;PRS;FIN
שלחו	envie	שלח	enviar	V;PL;3;PST	V;SBJV;SG;3;PRS;FIN
שלחו	mandem	שלח	mander	V;PL;3;PST	V;SBJV;PL;3;PRS;FIN
שלחו	envia	שלח	enviar	V;PL;3;PST	V;IND;SG;3;PRS;FIN
אשם	culpada	אשם	culpar		V;FEM;SG;V.PTCP
אשם	culpado	אשם	culpar		V;MASC;SG;V.PTCP
אשם	culpados	אשם	culpar		V;MASC;PL;V.PTCP
מדויקים	exato	מדויק	exato	ADJ;MASC;PL	N;MASC;SG
מדויקים	exatas	מדויק	exato	ADJ;MASC;PL	N;FEM;PL
המכילים	contendo	המכיל	conter	N;MASC;PL	V;V.MSDR
ארמסטרונג	armstrong	ארמסטרונג	armstrong	PROPN	N;MASC;SG
ספרטה	espartano	ספרטה	espartano	PROPN	N;MASC;SG
ספרטה	espartanos	ספרטה	espartano	PROPN	N;MASC;PL
ספרטה	esparta	ספרטה	esparto	PROPN	N;FEM;SG
מבוגר	adulto	מבוגר	adulto	ADJ;MASC;SG	N;MASC;SG
מבוגר	adulta	מבוגר	adulta	ADJ;MASC;SG	N;FEM;SG
מבוגר	adultos	מבוגר	adulto	ADJ;MASC;SG	N;MASC;PL
עבה	espesso	עבה	espesso		ADJ;MASC;SG
עבה	grossa	עבה	grosso		N;FEM;SG
עבה	grosso	עבה	grosso		N;MASC;SG
עבה	espessa	עבה	espesso		ADJ;FEM;SG
ביצה	pântano	ביצה	pântano	PROPN	N;MASC;SG
ביצה	egg	ביצה	egg	PROPN	N;MASC;SG
ביצה	ovo	ביצה	ovo	PROPN	N;MASC;SG
ביצה	ovos	ביצה	ovo	PROPN	N;MASC;PL
קולורדו	colorado	קולורדו	colorar	PROPN	V;MASC;SG;V.PTCP
הלחם	pães	הלחם	pão		N;MASC;PL
הלחם	pão	הלחם	pão		N;MASC;SG
איסלנד	islândia	איסלנד	islândia	PROPN	N;FEM;SG
בובי	bobby	בובי	bobby	PROPN	N;MASC;SG
