偵查	prieskumné	偵查	prieskumný	N	ADJ;NOM;NEUT;SG
溫柔	jemné	溫柔	jemný	N	ADJ;NOM;NEUT;SG
溫柔	jemný	溫柔	jemný	N	ADJ;ANIM;NOM;MASC;SG
溫柔	jemná	溫柔	jemný	N	ADJ;NOM;FEM;SG
溫柔	jemne	溫柔	jemne	N	ADV
抒情	lyrickej	抒情	lyrický	N	ADJ;GEN;FEM;SG
愛麗絲	alica	愛麗絲	alica	PROPN	N;NOM;FEM;SG
愛麗絲	alenka	愛麗絲	alenka	PROPN	N;NOM;FEM;SG
愛麗絲	alice	愛麗絲	alice	PROPN	PROPN;NOM;FEM;SG
蔓延	šírenie	蔓延	šírenie		N;NOM;NEUT;SG
蔓延	šíriť	蔓延	šíriť		V;IPFV;POS;NFIN
蔓延	šírenie	蔓延	šírenie		N;NOM;NEUT;SG
加勒比	karibiku	加勒比	karibika	PROPN	N;INAN;GEN;MASC;SG
無名	bezmenný	無名	bezmenný	N	ADJ;ANIM;NOM;MASC;SG
血腥	krvavé	血腥	krvavý	N	ADJ;NOM;NEUT;SG
血腥	krvavý	血腥	krvavý	N	ADJ;INAN;NOM;MASC;SG
血腥	krvavá	血腥	krvavý	N	ADJ;NOM;FEM;SG
堡壘	pevnosť	堡壘	pevnosť		N;NOM;FEM;SG
堡壘	pevnosť	堡壘	pevnosť		N;NOM;FEM;SG
堡壘	fort	堡壘	fort		PROPN;ANIM;NOM;MASC;SG
犀牛	rhino	犀牛	rhino	N	PROPN;ANIM;NOM;MASC;SG
乘車	odvoz	乘車	odvoz	V	N;INAN;NOM;MASC;SG
乘車	jazdu	乘車	jazda	V	N;ACC;FEM;SG
乘車	jazda	乘車	jazda	V	N;NOM;FEM;SG
寂寞	opustená	寂寞	opustený	N	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
寂寞	opustený	寂寞	opustený	N	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
寂寞	osamelá	寂寞	osamelý	N	ADJ;NOM;FEM;SG
寂寞	osamelo	寂寞	osamieť	N	ADV
寂寞	osamelý	寂寞	osamelý	N	ADJ;ANIM;NOM;MASC;SG
花卉	kvetinové	花卉	kvetinový	N	ADJ;NOM;NEUT;SG
樞紐	hub	樞紐	hub	N	
蘇維埃	sovieti	蘇維埃	sovetieť	PROPN	N;ANIM;NOM;MASC;PL
蘇維埃	sovietov	蘇維埃	soviet	PROPN	N;ANIM;GEN;MASC;PL
蘇維埃	sovietsky	蘇維埃	sovietsky	PROPN	ADJ;ANIM;NOM;MASC;SG
蘇維埃	sovietskeho	蘇維埃	sovietsky	PROPN	ADJ;GEN;MASC;SG
安藤	ando	安藤	ando	PROPN	PROPN;ANIM;NOM;MASC;SG
安藤	anda	安藤	anda	PROPN	N;NOM;FEM;SG
和	harmónii	和	harmónia	ADP	N;DAT;FEM;SG
室外	vonku	室外	vonku	N	ADV
室外	vonka	室外	vonka	N	ADV
室外	mimo	室外	mimo	N	ADV
室外	vonkajšie	室外	vonkajší	N	ADJ;NOM;NEUT;SG
室外	vonkajší	室外	vonkajší	N	ADJ;INAN;NOM;MASC;SG
室外	vonkajšia	室外	vonkajší	N	ADJ;NOM;FEM;SG
室外	vonku	室外	vonku	N	ADV
刺殺	atentát	刺殺	atentát	V	N;INAN;NOM;MASC;SG
刺殺	vražda	刺殺	vražda	V	N;NOM;FEM;SG
坐標	koordinovať	坐標	koordinovať	N	V;IPFV;POS;NFIN
永恆	nadčasové	永恆	nadčasový	N	ADJ;NOM;NEUT;SG
永恆	večný	永恆	večný	N	ADJ;ANIM;NOM;MASC;SG
永恆	večná	永恆	večný	N	ADJ;NOM;FEM;SG
永恆	večné	永恆	večný	N	ADJ;NOM;NEUT;SG
津	prídavky	津	prídavka	PROPN	N;NOM;FEM;PL
津	kvóty	津	kvóta	PROPN	N;NOM;FEM;PL
津	vreckové	津	vreckový	PROPN	ADJ;NOM;NEUT;SG
破解	trhlina	破解	trhlina	V	N;NOM;FEM;SG
破解	crack	破解	crack	V	N;INAN;NOM;MASC;SG
麻雀	vrabce	麻雀	vrabcť	PROPN	N;INAN;NOM;MASC;PL
麻雀	sparrow	麻雀	sparrow	PROPN	PROPN;ANIM;NOM;MASC;SG
阻力	ťahať	阻力	ťahať	N	V;IPFV;POS;NFIN
阻力	potiahnuť	阻力	potiahnuť	N	V;PFV;POS;NFIN
關	starostlivý	關	starostlivý	PROPN	ADJ;ANIM;NOM;MASC;SG
關	starostlivosť	關	starostlivosť	PROPN	N;NOM;FEM;SG
啟發	inšpiráciu	啟發	inšpirácia	V	N;ACC;FEM;SG
盧森堡	luxembursko	盧森堡	luxembursko	PROPN	N;NOM;NEUT;SG
佔有	držanie	佔有	držanie	V	N;NOM;NEUT;SG
佔有	držba	佔有	držba	V	N;NOM;FEM;SG
獨家	výhradné	獨家	výhradný		ADJ;NOM;NEUT;SG
獨家	exkluzívne	獨家	exkluzívny		ADV
獨家	exkluzívny	獨家	exkluzívny		ADJ;ANIM;NOM;MASC;SG
獨家	výlučné	獨家	výlučný		ADJ;NOM;NEUT;SG
停火	prímerie	停火	prímerie	V	N;NOM;NEUT;SG
掩護	cover	掩護	cover	N	
掩護	zakryť	掩護	zakryť	N	V;PFV;POS;NFIN
鈍	tupý	鈍	tupý	N	ADJ;ANIM;NOM;MASC;SG
復原	obnova	復原	obnova	V	N;NOM;FEM;SG
復原	obnovenie	復原	obnovenie	V	N;NOM;NEUT;SG
復原	zotavenie	復原	zotavenie	V	N;NOM;NEUT;SG
復原	vymáhanie	復原	vymáhanie	V	N;NOM;NEUT;SG
復原	zhodnotenie	復原	zhodnotenie	V	N;NOM;NEUT;SG
復原	obnovy	復原	obnov	V	N;NOM;FEM;PL
復原	vrátenie	復原	vrátenie	V	N;NOM;NEUT;SG
真主	alah	真主	alah	PROPN	N;ANIM;NOM;MASC;SG
清潔	čistota	清潔	čistota	V	N;NOM;FEM;SG
清潔	čistenie	清潔	čistenie	V	N;NOM;NEUT;SG
清潔	upratovanie	清潔	upratovanie	V	N;NOM;NEUT;SG
清潔	čistá	清潔	čistý	V	ADJ;NOM;FEM;SG
清潔	čistý	清潔	čistý	V	ADJ;INAN;NOM;MASC;SG
清潔	čisté	清潔	čistý	V	ADJ;NOM;NEUT;SG
多	diverzifikácia	多	diverzifikácia	NUM	N;NOM;FEM;SG
多	plurality	多	pluralita	NUM	N;NOM;FEM;PL
多	rôznorodosť	多	rôznorodosť	NUM	N;NOM;FEM;SG
多	rozmanitosť	多	rozmanitosť	NUM	N;NOM;FEM;SG
多	rozmanitosti	多	rozmanitosť	NUM	N;GEN;FEM;SG
多	pluralizmus	多	pluralizmus	NUM	N;INAN;NOM;MASC;SG
友善	priateľské	友善	priateľský	N	ADJ;NOM;NEUT;SG
友善	priateľská	友善	priateľský	N	ADJ;NOM;FEM;SG
友善	priateľský	友善	priateľský	N	ADJ;ANIM;NOM;MASC;SG
甜蜜	sladký	甜蜜	sladký	N	ADJ;ANIM;NOM;MASC;SG
甜蜜	sladká	甜蜜	sladký	N	ADJ;NOM;FEM;SG
甜蜜	sladké	甜蜜	sladký	N	ADJ;NOM;NEUT;SG
瘦	chudý	瘦	chudý	N	ADJ;ANIM;NOM;MASC;SG
瘦	slim	瘦	slim	N	
瘦	oprieť	瘦	oprieť	N	V;PFV;POS;NFIN
瘦	tenké	瘦	tenký	N	ADJ;NOM;NEUT;SG
瘦	tenká	瘦	tenký	N	ADJ;NOM;FEM;SG
瘦	štíhly	瘦	štíhly	N	ADJ;ANIM;NOM;MASC;SG
瘦	tenký	瘦	tenký	N	ADJ;ANIM;NOM;MASC;SG
優質	kvalitné	優質	kvalitný	N	ADJ;NOM;NEUT;SG
船員	crew	船員	crew	N	PROPN;ANIM;NOM;MASC;SG
丟	hod	丟	hod	V	
雪梨	sydney	雪梨	sydney	PROPN	ADV
批量	hromadné	批量	hromadný	N	ADJ;NOM;NEUT;SG
批量	hromadne	批量	hromadne	N	ADV
消化	trávenia	消化	trávenie	V	N;NOM;NEUT;PL
消化	trávenie	消化	trávenie	V	N;NOM;NEUT;SG
消化	tráviaceho	消化	tráviaci	V	ADJ;ANIM;GEN;MASC;SG;POS;V.PTCP;ACT
租賃	nájomné	租賃	nájomný	N	ADJ;NOM;NEUT;SG
租賃	prenajať	租賃	prenajať	N	V;IPFV;POS;NFIN
凱撒	cézar	凱撒	cézar	PROPN	N;ANIM;NOM;MASC;SG
凱撒	caesar	凱撒	caesar	PROPN	N;ANIM;NOM;MASC;SG
馬達加斯加	madagaskaru	馬達加斯加	madagaskar	PROPN	N;INAN;GEN;MASC;SG
告別	rozlúčka	告別	rozlúčka	V	N;NOM;FEM;SG
告別	zbohom	告別	zboh	V	N;INAN;DAT;MASC;SG
胖	tučné	胖	tučný	N	ADJ;NOM;NEUT;SG
胖	fat	胖	fat	N	
裁決	rozsudok	裁決	rozsudok	V	N;INAN;NOM;MASC;SG
裁決	verdikt	裁決	verdikt	V	N;INAN;NOM;MASC;SG
無力	bezmocný	無力	bezmocný	N	ADJ;ANIM;NOM;MASC;SG
節省	úspor	節省	úspora	V	N;GEN;FEM;PL
節省	úspora	節省	úspora	V	N;NOM;FEM;SG
節省	úspory	節省	úspor	V	N;INAN;NOM;MASC;PL
節省	šetrenie	節省	šetrenie	V	N;NOM;NEUT;SG
節省	ukladanie	節省	ukladanie	V	N;NOM;NEUT;SG
節省	šetrenie	節省	šetrenie	V	N;NOM;NEUT;SG
節省	úspory	節省	úspor	V	N;INAN;NOM;MASC;PL
節省	úspora	節省	úspora	V	N;NOM;FEM;SG
磚	brick	磚	brick	N	PROPN;ANIM;NOM;MASC;SG
水下	podvodné	水下	podvodný	N	ADJ;NOM;NEUT;SG
壓制	represie	壓制	represia	V	N;NOM;FEM;PL
壓制	potláčanie	壓制	potláčanie	V	N;NOM;NEUT;SG
壓制	potlačenie	壓制	potlačenie	V	N;NOM;NEUT;SG
壓制	potláčanie	壓制	potláčanie	V	N;NOM;NEUT;SG
進度	progress	進度	progress	N	INTJ
重溫	prežívať	重溫	prežívať	N	V;IPFV;POS;NFIN
指稱	obvinenia	指稱	obvinenie	V	N;NOM;NEUT;PL
指稱	obvinení	指稱	obvinenie	V	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
指稱	tvrdenia	指稱	tvrdenie	V	N;NOM;NEUT;PL
指稱	tvrdenie	指稱	tvrdenie	V	N;NOM;NEUT;SG
指稱	obvinenie	指稱	obvinenie	V	N;NOM;NEUT;SG
突襲	raid	突襲	raid	V	N;INAN;NOM;MASC;SG
突襲	prepady	突襲	prepad	V	N;INAN;NOM;MASC;PL
情侶	pár	情侶	pár	N	NUM;NOM;NEUT;SG
交接	odovzdania	交接	odovzdanie	V	N;NOM;NEUT;PL
交接	odovzdanie	交接	odovzdanie	V	N;NOM;NEUT;SG
示	model	示	model	V	N;INAN;NOM;MASC;SG
示	vzor	示	vzor	V	N;INAN;NOM;MASC;SG
示	modelka	示	modelka	V	N;NOM;FEM;SG
示	demonštrácia	示	demonštrácia	V	N;NOM;FEM;SG
示	ukážku	示	ukážka	V	N;ACC;FEM;SG
示	preukázanie	示	preukázanie	V	N;NOM;NEUT;SG
示	predvedenie	示	predvedenie	V	N;NOM;NEUT;SG
示	ukážka	示	ukážka	V	N;NOM;FEM;SG
示	demo	示	demo	V	INTJ
保全	zachovávať	保全	zachovávať	N	V;IPFV;POS;NFIN
保全	uchovať	保全	uchovať	N	V;PFV;POS;NFIN
保全	zachovať	保全	zachovať	N	V;PFV;POS;NFIN
智力	spravodajská	智力	spravodajský	N	ADJ;NOM;FEM;SG
智力	intelektuálne	智力	intelektuálne	N	ADV
智力	duševného	智力	duševný	N	ADJ;GEN;NEUT;SG
智力	duševné	智力	duševný	N	ADJ;NOM;NEUT;SG
糾紛	namietať	糾紛	namietať	N	V;IPFV;POS;NFIN
發光	lesk	發光	lesk	V	N;INAN;NOM;MASC;SG
發光	svetelný	發光	svetelný	V	ADJ;ANIM;NOM;MASC;SG
發光	svetelného	發光	svetelný	V	ADJ;GEN;NEUT;SG
發光	žiara	發光	žiara	V	N;NOM;FEM;SG
結盟	aliancia	結盟	aliancia	V	N;NOM;FEM;SG
結盟	spojenectvo	結盟	spojenectvo	V	N;NOM;NEUT;SG
結盟	alianciu	結盟	aliancia	V	N;ACC;FEM;SG
結盟	aliancie	結盟	aliancia	V	N;NOM;FEM;PL
阿拉伯	arabčina	阿拉伯	arabčin	PROPN	N;NOM;FEM;SG
阿拉伯	arabsky	阿拉伯	arabsky	PROPN	N;ANIM;NOM;MASC;SG
阿拉伯	arabské	阿拉伯	arabský	PROPN	ADJ;NOM;NEUT;SG
窮	chudobných	窮	chudobný		ADJ;GEN;MASC;PL
窮	chudák	窮	chudák		N;ANIM;NOM;MASC;SG
窮	chudobní	窮	chudobniť		ADJ;ANIM;NOM;MASC;PL
投球	smola	投球	smôl	V	N;NOM;FEM;SG
銀色	strieborný	銀色	strieborný	N	ADJ;ANIM;NOM;MASC;SG
銀色	strieborná	銀色	strieborný	N	ADJ;NOM;FEM;SG
小牛	teľa	小牛	teľa	PROPN	N;NOM;NEUT;SG
訪談	interview	訪談	interview	V	N;INAN;NOM;MASC;SG
訪談	pohovor	訪談	pohovor	V	N;INAN;NOM;MASC;SG
訪談	rozhovor	訪談	rozhovor	V	N;INAN;NOM;MASC;SG
訪談	rozhovory	訪談	rozhovor	V	N;INAN;NOM;MASC;PL
訪談	pohovory	訪談	pohovor	V	N;INAN;NOM;MASC;PL
口味	chutí	口味	chutiť	N	V;IPFV;IND;SG;3;POS;PRS;FIN
就	inaugurácii	就	inaugurácia	ADV	N;DAT;FEM;SG
噴發	vetracie	噴發	vetracia	V	N;NOM;FEM;PL
噴發	erupcia	噴發	erupcia	V	N;NOM;FEM;SG
噴發	výbuch	噴發	výbuch	V	N;INAN;NOM;MASC;SG
噴發	erupcie	噴發	erupcia	V	N;NOM;FEM;PL
溶解	rozpustený	溶解	rozpustený	V	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
溶解	rozpustené	溶解	rozpustený	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
溶解	rozpustenie	溶解	rozpustenie	V	N;NOM;NEUT;SG
主觀	subjektívne	主觀	subjektívne	N	ADV
反感	averzia	反感	averzia	V	N;NOM;FEM;SG
反感	znechutený	反感	znechutený	V	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
李	slivky	李	slivka	PROPN	N;NOM;FEM;PL
鹼	alkalických	鹼	alkalický	N	ADJ;GEN;MASC;PL
秋山	akijama	秋山	akijam	PROPN	N;NOM;FEM;SG
液晶	lcd	液晶	lcd	N	
福爾摩斯	holmes	福爾摩斯	holmes	PROPN	PROPN;NOM;FEM;SG
野心	ambiciózny	野心	ambiciózny	N	ADJ;ANIM;NOM;MASC;SG
野心	ambicióznych	野心	ambiciózny	N	ADJ;GEN;MASC;PL
野心	ambiciózne	野心	ambiciózne	N	ADJ;NOM;NEUT;SG
印地安	indiáni	印地安	indiáň	PROPN	N;ANIM;NOM;MASC;PL
印地安	indiánov	印地安	indián	PROPN	N;ANIM;ACC;MASC;PL
顯示	zobrazenie	顯示	zobrazenie	V	N;NOM;NEUT;SG
顯示	monitory	顯示	monitor	V	N;INAN;NOM;MASC;PL
有害	škodlivý	有害	škodlivý	N	ADJ;INAN;NOM;MASC;SG
有害	škodlivých	有害	škodlivý	N	ADJ;GEN;MASC;PL
有害	škodlivé	有害	škodlivý	N	ADJ;NOM;NEUT;SG
銀河	galaxie	銀河	galaxí	PROPN	N;NOM;FEM;PL
銀河	galaxii	銀河	galaxia	PROPN	N;DAT;FEM;SG
銀河	galaxy	銀河	galaxa	PROPN	N;INAN;NOM;MASC;SG
銀河	galaxia	銀河	galaxia	PROPN	N;NOM;FEM;SG
劍橋	cambridge	劍橋	cambridga	PROPN	N;INAN;NOM;MASC;SG
詛咒	kliatba	詛咒	kliatba	V	N;NOM;FEM;SG
詛咒	prekliatie	詛咒	prekliatie	V	N;NOM;NEUT;SG
詛咒	kliatbu	詛咒	kliatba	V	N;ACC;FEM;SG
達拉斯	dallas	達拉斯	dallas	PROPN	PROPN;ANIM;NOM;MASC;SG
草莓	jahodový	草莓	jahodový	V	ADJ;ANIM;NOM;MASC;SG
草莓	jahody	草莓	jahoda	V	N;NOM;FEM;PL
草莓	jahody	草莓	jahoda	V	N;NOM;FEM;PL
奶奶	starka	奶奶	starka	N	PROPN;NOM;FEM;SG
補償	kompenzačné	補償	kompenzačný	N	ADJ;NOM;NEUT;SG
教父	krstný	教父	krstný	N	ADJ;ANIM;NOM;MASC;SG
輕微	mierne	輕微	mierne	ADJ	ADV
廁	záchod	廁	záchod	V	N;INAN;NOM;MASC;SG
廁	toaleta	廁	toalet	V	N;NOM;FEM;SG
廁	wc	廁	wc	V	
廁	kúpeľni	廁	kúpeľňa	V	N;DAT;FEM;SG
廁	kúpeľňa	廁	kúpeľňa	V	N;NOM;FEM;SG
廁	kúpeľne	廁	kúpeľňa	V	N;NOM;FEM;PL
葉子	odchádza	葉子	odchádzať	N	V;IPFV;IND;SG;3;POS;PRS;FIN
葉子	yoko	葉子	yoko	N	PROPN;NOM;MASC;SG
激進	radikálne	激進	radikálny	N	ADV
有罪	vinný	有罪	vinný	V	ADJ;ANIM;NOM;MASC;SG
有罪	vinná	有罪	vinný	V	ADJ;NOM;FEM;SG
禮拜	uctievať	禮拜	uctievať	N	V;IPFV;POS;NFIN
樣式	style	樣式	style	N	INTJ
遷徙	migrujúcich	遷徙	migrujúci	V	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;ACT
遷徙	migráciu	遷徙	migrácia	V	N;ACC;FEM;SG
遷徙	migrácie	遷徙	migrácia	V	N;NOM;FEM;PL
遷徙	prechod	遷徙	prechod	V	N;INAN;NOM;MASC;SG
遷徙	migrácia	遷徙	migrácia	V	N;NOM;FEM;SG
抄襲	plagiátorstvo	抄襲	plagiátorstvo	V	N;NOM;NEUT;SG
海倫	helena	海倫	helena	PROPN	N;NOM;FEM;SG
海倫	helen	海倫	helen	PROPN	PROPN;NOM;FEM;SG
螢	ying	螢	ying	N	PROPN;ANIM;NOM;MASC;SG
聖殿	temple	聖殿	templo	N	PROPN;NOM;FEM;SG
多瑙	dunajská	多瑙	dunajský	PROPN	ADJ;NOM;FEM;SG
多瑙	dunajskej	多瑙	dunajský	PROPN	ADJ;GEN;FEM;SG
多瑙	dunaji	多瑙	dunaj	PROPN	N;INAN;NOM;MASC;SG
多瑙	dunaj	多瑙	dunaj	PROPN	N;INAN;NOM;MASC;SG
多瑙	dunaja	多瑙	dunaj	PROPN	N;INAN;GEN;MASC;SG
阿爾及利亞	alžírska	阿爾及利亞	alžírsky	PROPN	ADJ;NOM;FEM;SG
阿爾及利亞	alžírsku	阿爾及利亞	alžírsky	PROPN	N;NOM;FEM;SG
阿爾及利亞	alžírsko	阿爾及利亞	alžírsko	PROPN	ADV
騷擾	obťažovanie	騷擾	obťažovanie	V	N;NOM;NEUT;SG
騷擾	obťažovania	騷擾	obťažovanie	V	N;NOM;NEUT;PL
冷卻	chladiace	冷卻	chladiaci	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
冷卻	chladiaci	冷卻	chladiaci	N	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
攝影	fotoaparát	攝影	fotoaparát	V	N;INAN;NOM;MASC;SG
攝影	kamera	攝影	kamera	V	N;NOM;FEM;SG
攝影	fotoaparátu	攝影	fotoaparát	V	N;INAN;GEN;MASC;SG
攝影	kameru	攝影	kamera	V	N;ACC;FEM;SG
拜	návšteva	拜	návšteva	PROPN	N;NOM;FEM;SG
拜	navštíviť	拜	navštíviť	PROPN	V;PFV;POS;NFIN
出版	vydavateľ	出版	vydavateľ	V	N;ANIM;NOM;MASC;SG
出版	vydavateľa	出版	vydavateľ	V	N;ANIM;ACC;MASC;SG
出版	vydavateľstvo	出版	vydavateľstvo	V	N;NOM;NEUT;SG
出版	vydavateľov	出版	vydavateľ	V	N;ANIM;ACC;MASC;PL
精美	nádherne	精美	nádherne	ADJ	ADV
溫和	jemne	溫和	jemne	ADJ	ADV
溫和	spomalenie	溫和	spomalenie	ADJ	N;NOM;NEUT;SG
溫和	mierou	溫和	miera	ADJ	N;INS;FEM;SG
溫和	stredne	溫和	strednúť	ADJ	ADV
溫和	mierne	溫和	mierne	ADJ	ADV
公升	liter	公升	liter	V	N;INAN;NOM;MASC;SG
公升	litra	公升	litra	V	N;INAN;NOM;MASC;SG
公升	litre	公升	liter	V	N;INAN;NOM;MASC;PL
公升	liter	公升	liter	V	N;INAN;NOM;MASC;SG
公升	litre	公升	liter	V	N;INAN;NOM;MASC;PL
公升	litrov	公升	liter	V	N;INAN;GEN;MASC;PL
公升	litra	公升	litra	V	N;INAN;NOM;MASC;SG
相對	relativizmus	相對	relativizmus	ADJ	N;INAN;NOM;MASC;SG
相對	relativity	相對	relativita	ADJ	N;NOM;FEM;PL
對	opačne	對	opačne	ADP	ADV
對	opak	對	opak	ADP	N;INAN;NOM;MASC;SG
對	opačné	對	opačný	ADP	ADJ;NOM;NEUT;SG
悼念	hold	悼念	hold	V	N;INAN;NOM;MASC;SG
悼念	pocta	悼念	pocta	V	N;NOM;FEM;SG
悼念	pocty	悼念	poct	V	N;NOM;FEM;PL
悼念	smútku	悼念	smútok	V	N;INAN;GEN;MASC;SG
悼念	smútok	悼念	smútok	V	N;INAN;NOM;MASC;SG
悲劇	tragický	悲劇	tragický	N	ADJ;ANIM;NOM;MASC;SG
悲劇	tragická	悲劇	tragický	N	ADJ;NOM;FEM;SG
悲劇	tragické	悲劇	tragický	N	ADJ;NOM;NEUT;SG
鎖定	lock	鎖定	lock	V	N;INAN;NOM;MASC;SG
鎖定	zámok	鎖定	zámok	V	N;INAN;NOM;MASC;SG
鎖定	zamknuté	鎖定	zamknutý	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
鎖定	zamknutá	鎖定	zamknutý	V	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
租金	nájomné	租金	nájomný	N	ADJ;NOM;NEUT;SG
租金	nájomné	租金	nájomný	N	ADJ;NOM;NEUT;SG
租金	prenajať	租金	prenajať	N	V;IPFV;POS;NFIN
租金	nájomné	租金	nájomný	N	ADJ;NOM;NEUT;SG
租金	prenajíma	租金	prenajímať	N	V;IPFV;IND;SG;3;POS;PRS;FIN
租金	nájomné	租金	nájomný	N	ADJ;NOM;NEUT;SG
光輝	žiari	光輝	žiariť	N	V;IPFV;IND;SG;3;POS;PRS;FIN
喀麥隆	kamerune	喀麥隆	kamerune	PROPN	N;NOM;FEM;SG
誤解	nedorozumenie	誤解	nedorozumenie	V	N;NOM;NEUT;SG
誤解	nedorozumenia	誤解	dorozumenie	V	N;NOM;NEUT;PL
誤解	nedorozumenie	誤解	nedorozumenie	V	N;NOM;NEUT;SG
彎曲	zakrivená	彎曲	zakrivený	N	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
彎曲	ohnúť	彎曲	ohnúť	N	V;PFV;POS;NFIN
溫暖	teplé	溫暖	teplý	N	ADJ;NOM;NEUT;SG
解剖	anatómie	解剖	anatómia		N;NOM;FEM;PL
解剖	pitvu	解剖	pitva		N;ACC;FEM;SG
解剖	pitvu	解剖	pitva		N;ACC;FEM;SG
解剖	pitva	解剖	pitvo		N;NOM;FEM;SG
解剖	pitvy	解剖	pitva		N;NOM;FEM;PL
你	ahoj	你	ahoj	PRO;2	INTJ
你	hello	你	hello	PRO;2	N;NOM;MASC;SG
你	ahojte	你	ahojt	PRO;2	INTJ
承包	dodávatelia	承包	dodávateľ	V	N;ANIM;NOM;MASC;PL
承包	dodávateľov	承包	dodávateľ	V	N;ANIM;ACC;MASC;PL
承包	dodávateľ	承包	dodávateľ	V	N;ANIM;NOM;MASC;SG
方舟	arche	方舟	arche	PROPN	N;NOM;NEUT;SG
方舟	archy	方舟	archy	PROPN	N;NOM;FEM;PL
編譯	zostavené	編譯	zostavený	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
編譯	zostavená	編譯	zostavený	V	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
編譯	zostavený	編譯	zostavený	V	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
編譯	zostavenie	編譯	zostavenie	V	N;NOM;NEUT;SG
編譯	zostavovanie	編譯	zostavovanie	V	N;NOM;NEUT;SG
編譯	zostavovaní	編譯	zostavovanie	V	N;NOM;NEUT;PL
鉛	viesť	鉛	viesť	N	V;IPFV;POS;NFIN
界	definovať	界	definovať	N	V;IPFV;POS;NFIN
界	vymedziť	界	vymedziť	N	V;PFV;POS;NFIN
馬賽	marseille	馬賽	marseille	PROPN	ADV
彈性	flexibilné	彈性	flexibilný	N	ADJ;NOM;NEUT;SG
彈性	pružné	彈性	pružný	N	ADJ;NOM;NEUT;SG
彈性	flexibilný	彈性	flexibilný	N	ADJ;INAN;NOM;MASC;SG
彈性	pružný	彈性	pružný	N	ADJ;INAN;NOM;MASC;SG
