페르시아어	персийски	페르시아어	персийски	PROPN	ADJ;INDF;MASC;SG
브릿	британец	브릿	британец	PROPN	N;INDF;MASC;SG
잉글리시	английски	잉글리시	английски		ADJ;INDF;MASC;SG
잉글리시	bulgarian	잉글리시	bulgarian		N;INDF;MASC;SG
잉글리시	англичани	잉글리시	англичанин		N;INDF;MASC;PL
포클랜드	фолкландските	포클랜드	фолкландски	PROPN	ADJ;DEF;PL
새크라멘토	сакраменто	새크라멘토	сакраменто	PROPN	N;INDF;NEUT;SG
힉스	хикс	힉스	хикс	PROPN	PROPN;INDF;MASC;SG
힉스	хигс	힉스	хигс	PROPN	N;INDF;MASC;SG
깨진	счупен	깨+어+지+ㄴ	счупя-(се)	V	V;PFV;INDF;MASC;SG;V.PTCP;PASS
깨진	счупена	깨+어+지+ㄴ	счупя-(се)	V	V;PFV;INDF;FEM;SG;V.PTCP;PASS
깨진	счупено	깨+어+지+ㄴ	счупя-(се)	V	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
깨진	разбито	깨+어+지+ㄴ	разбия-(се)	V	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
깨진	разбити	깨+어+지+ㄴ	разбия-(се)	V	V;PFV;INDF;PL;V.PTCP;PASS
풀기	извличане	풀+기	извличане	V	N;INDF;NEUT;SG
풀기	екстракт	풀+기	екстракт	V	N;INDF;MASC;SG
풀기	разрешаване	풀+기	разрешаване	V	N;INDF;NEUT;SG
풀기	решаване	풀+기	решаване	V	N;INDF;NEUT;SG
딜런	дилън	디런	дилън		PROPN;INDF;MASC;SG
딜런	дилън	디런	дилън		PROPN;INDF;MASC;SG
딜런	дилан	디런	дилан		N;INDF;MASC;SG
선샤인	слънчице	선샤인	слънчице		N;INDF;NEUT;SG
선샤인	слънце	선샤인	слънце		N;INDF;NEUT;SG
폴란드어	поляк	폴란드어	поляк		N;INDF;MASC;SG
폴란드어	полски	폴란드어	полски		ADJ;INDF;MASC;SG
폴란드어	полска	폴란드어	полски		ADJ;INDF;FEM;SG
회상	завръщане	회상	завръщане		N;INDF;NEUT;SG
보내기	изпращане	보내+기	изпращане	V	N;INDF;NEUT;SG
보내기	изпращането	보내+기	изпращане	V	N;DEF;NEUT;SG
보내기	изпращане	보내+기	изпращане	V	N;INDF;NEUT;SG
위조	подправени	위조	подправя	N	V;PFV;INDF;PL;V.PTCP;PASS
위조	фалшиви	위조	фалшив	N	ADJ;INDF;PL
위조	фалшифицирани	위조	фалшифицирам	N	V;PFV;INDF;PL;V.PTCP;PASS
마사시	масаши	마사시	масаш		N;INDF;FEM;PL
모가미	могами	모가미	могама	PROPN	N;INDF;MASC;PL
게오르기	георги	게오르+기	георга	PROPN	PROPN;INDF;MASC;SG
고추	чили	고추	чила		PROPN;INDF;MASC;SG
고추	пепър	고추	пепър		N;INDF;MASC;SG
고추	чушка	고추	чушка		N;INDF;FEM;SG
고추	пипер	고추	пипер		N;INDF;MASC;SG
고추	чили	고추	чила		PROPN;INDF;MASC;SG
고추	люти	고추	лют		ADJ;INDF;PL
오리엔트	ориент	오리엔트	ориент		N;INDF;MASC;SG
아나톨리아	анадола	아나톨리아	анадола	PROPN	N;DEF;MASC;SG
스탠더드	стандартна	스탠더드	стандартен		ADJ;INDF;FEM;SG
스탠더드	стандарт	스탠더드	стандарт		N;INDF;MASC;SG
스탠더드	стандартни	스탠더드	стандартен		ADJ;INDF;PL
스탠더드	стандартно	스탠더드	стандартен		ADV
스탠더드	стандартен	스탠더드	стандартен		ADJ;INDF;MASC;SG
스토어	магазини	스토어	магазин		N;INDF;MASC;PL
스토어	магазин	스토어	магазин		N;INDF;MASC;SG
스토어	съхранение	스토어	съхранение		N;INDF;NEUT;SG
포트리스	крепостта	포트리스	крепост	PROPN	N;DEF;FEM;SG
포트리스	крепост	포트리스	крепост	PROPN	N;INDF;FEM;SG
탐험	изследва	탐험	изследвам	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
터치스톤	тъчстоун	터치스톤	тъчстоун		ADV
대처	справяне	대처	справяне		N;INDF;NEUT;SG
대처	тачър	대처	тачър		PROPN;INDF;FEM;SG
덕이	дъг	덕+이	дъг		PROPN;INDF;MASC;SG
클라리넷	кларинет	클라리넷	кларинет		N;INDF;MASC;SG
제레미	джеръми	제레미	джеръм		N;INDF;MASC;PL
제레미	джереми	제레미	джеремя		N;INDF;MASC;SG
강아지	кутрета	강아지	кутре		N;INDF;NEUT;PL
강아지	кученца	강아지	кученц		N;INDF;NEUT;PL
강아지	кученце	강아지	кученце		N;INDF;NEUT;SG
버터	маслото	버터	масло		N;DEF;NEUT;SG
버터	масло	버터	масло		N;INDF;NEUT;SG
캐피탈	капитолия	캐피탈	капитолия		N;INDF;FEM;SG
캐피탈	столица	캐피탈	столица		N;INDF;FEM;SG
캐피탈	капитал	캐피탈	капитал		N;INDF;MASC;SG
캐피탈	капитали	캐피탈	капитал		N;INDF;MASC;PL
캐피탈	столицата	캐피탈	столица		N;DEF;FEM;SG
제곱	квадратна	제곱	квадратен		ADJ;INDF;FEM;SG
제곱	квадратни	제곱	квадратен		ADJ;INDF;PL
제곱	квадратен	제곱	квадратен		ADJ;INDF;MASC;SG
제곱	квадрат	제곱	квадрат		N;INDF;MASC;SG
제곱	площад	제곱	площад		N;INDF;MASC;SG
면책	неприкосновеност	면책	неприкосновеност		N;INDF;FEM;SG
면책	имунитет	면책	имунитет		N;INDF;MASC;SG
앨리슨	алисън	앨리슨	алисън		PROPN;INDF;FEM;SG
앨리슨	алисън	앨리슨	алисън		PROPN;INDF;FEM;SG
쇼팽	шопен	쇼팽	шопен	PROPN	N;INDF;MASC;SG
애너하임	анахайм	애너하+이+ㄹ	анахайм	PROPN	N;INDF;MASC;SG
자동화	автоматизирани	자동화	автоматизирам	N	V;PFV;INDF;PL;V.PTCP;PASS
매력적인	очарователен	매력+적+이+ㄴ	очарователен	V	ADJ;INDF;MASC;SG
매력적인	очарователно	매력+적+이+ㄴ	очарователно	V	ADV
매력적인	чаровна	매력+적+이+ㄴ	чаровен	V	ADJ;INDF;FEM;SG
매력적인	очарователна	매력+적+이+ㄴ	очарователен	V	ADJ;INDF;FEM;SG
매력적인	чаровен	매력+적+이+ㄴ	чаровен	V	ADJ;INDF;MASC;SG
샤프	остро	샤프	остро		ADV
샤프	шарп	샤프	шарп		PROPN;INDF;MASC;SG
샤프	остър	샤프	остър		N;INDF;MASC;SG
샤프	остра	샤프	остър		N;INDF;FEM;SG
샤프	остри	샤프	остър		ADJ;INDF;PL
채워	запълване	채우+어	запълване		N;INDF;NEUT;SG
채워	напълни	채우+어	напълня-(се)		V;PFV;IMP;SG;2;FIN
마나	мана	말+나	мана		N;INDF;FEM;SG
폴로	поло	폴+로	поло		N;INDF;NEUT;SG
포츠머스	портсмут	포츠머스	портсмут	PROPN	N;INDF;MASC;SG
기차	влака	기차	влак		N;DEF;MASC;SG
기차	влакът	기차	влак		N;DEF;MASC;SG
기차	влак	기차	влак		N;INDF;MASC;SG
기차	влакове	기차	влак		N;INDF;MASC;PL
기차	влаковете	기차	влак		N;DEF;MASC;PL
이오니아	йонийско	이오니아	йонийски	PROPN	ADV
발명	измислят	발명	измисля	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
발명	изобретява	발명	изобретявам	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
발명	измислил	발명	измисля	N	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
발명	измислен	발명	измисля	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
발명	измислени	발명	измисля	N	V;PFV;INDF;PL;V.PTCP;PASS
발명	измислена	발명	измисля	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
발명	изобретил	발명	изобретя	N	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
조지타운	джорджтаун	조지럽+ㄴ	джорджтаун		N;INDF;FEM;SG
모니카	моника	모니카	моника		N;INDF;FEM;SG
클라인	клайн	클라인	клайн		PROPN;INDF;MASC;SG
평화로운	мирно	평화+롭+ㄴ	мирно		ADV
평화로운	спокойна	평화+롭+ㄴ	спокоен		ADJ;INDF;FEM;SG
평화로운	мирен	평화+롭+ㄴ	мирен		N;INDF;MASC;SG
평화로운	спокоен	평화+롭+ㄴ	спокоен		ADJ;INDF;MASC;SG
끝없는	безкрайни	끝없+는	безкраен		ADJ;INDF;PL
끝없는	безкрайно	끝없+는	безкраен		ADV
끝없는	безкраен	끝없+는	безкраен		ADJ;INDF;MASC;SG
끝없는	безкрайна	끝없+는	безкраен		ADJ;INDF;FEM;SG
더러운	гаден	더럽+ㄴ	гаден		ADJ;INDF;MASC;SG
더러운	гадно	더럽+ㄴ	гаден		ADV
더러운	гадни	더럽+ㄴ	гаден		ADJ;INDF;PL
더러운	мръсни	더럽+ㄴ	мръсен		ADJ;INDF;PL
더러운	мръсно	더럽+ㄴ	мръсен		ADV
더러운	мръсна	더럽+ㄴ	мръсна		ADJ;INDF;FEM;SG
더러운	мръсен	더럽+ㄴ	мръсен		ADJ;INDF;MASC;SG
더러운	мръсна	더럽+ㄴ	мръсна		ADJ;INDF;FEM;SG
더러운	мръсно	더럽+ㄴ	мръсен		ADV
더러운	мръсни	더럽+ㄴ	мръсен		ADJ;INDF;PL
더러운	мръсен	더럽+ㄴ	мръсен		ADJ;INDF;MASC;SG
스프링필드	спрингфийлд	스프링필드	спрингфийлд	PROPN	N;INDF;MASC;SG
바흐	бах	바흐	съм	PROPN	PROPN;INDF;MASC;SG
다무라	тамура	다무라	тамура		N;INDF;FEM;SG
트라이앵글	триъгълника	트라이앵글	триъгълника		N;DEF;MASC;SG
트라이앵글	триъгълник	트라이앵글	триъгълник		N;INDF;MASC;SG
선포	обявени	선포	обявя-(се)	N	V;PFV;INDF;PL;V.PTCP;PASS
선포	обявено	선포	обявя-(се)	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
선포	обявена	선포	обявя-(се)	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
선포	обявен	선포	обявя-(се)	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
선포	декларирани	선포	декларирам	N	V;PFV;INDF;PL;V.PTCP;PASS
선포	обяви	선포	обявя-(се)	N	V;PFV;IND;SG;3;PST;FIN;ACT
선포	декларира	선포	декларирам	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
타지키스탄	таджикски	타지키스탄	таджикски	PROPN	ADJ;INDF;MASC;SG
타지키스탄	таджикистан	타지키스탄	таджикистан	PROPN	N;INDF;MASC;SG
스웨덴어	шведска	스웨덴어	шведски		ADJ;INDF;FEM;SG
스웨덴어	шведски	스웨덴어	шведски		ADJ;INDF;MASC;SG
잠비아	замбия	잠비아	замбия	PROPN	PROPN;INDF;FEM;SG
길거리	улица	길거리	улица		N;INDF;FEM;SG
길거리	стрийт	길거리	стрийт		N;INDF;MASC;SG
길거리	street	길거리	street		PROPN;INDF;MASC;SG
길거리	улицата	길거리	улица		N;DEF;FEM;SG
길거리	улиците	길거리	улица		N;DEF;FEM;PL
길거리	улици	길거리	улица		N;INDF;FEM;PL
글로리아	глория	글로리아	глория		PROPN;INDF;FEM;SG
레이아웃	оформление	레이아웃	оформление		N;INDF;NEUT;SG
레이아웃	подредба	레이아웃	подредба		N;INDF;FEM;SG
스케치	нахвърляни	스케치	нахвърлям-(се)	N	V;IPFV;INDF;PL;V.PTCP;PASS
자극	стимулира	자극	стимулирам	N	V;PFV;IND;SG;3;PRS;FIN;ACT
자극	стимулиращ	자극	стимулирам	N	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
갑옷	броня	갑옷	броня		N;INDF;FEM;SG
갑옷	брони	갑옷	броня		N;INDF;FEM;PL
갑옷	броня	갑옷	броня		N;INDF;FEM;SG
갑옷	доспехи	갑옷	доспех		N;INDF;MASC;PL
평행	паралелно	평행	паралелно	N	ADV
평행	успоредно	평행	успореден	N	ADV
평행	успоредни	평행	успореден	N	ADJ;INDF;PL
평행	паралелна	평행	паралелен	N	ADJ;INDF;FEM;SG
평행	паралелни	평행	паралелен	N	ADJ;INDF;PL
미드웨이	мидуей	미드웨이	мидуей		N;INDF;MASC;SG
슈트	костюм	슈트	костюм		N;INDF;MASC;SG
현명한	мъдра	현명+하+ㄴ	мъдра	V	ADJ;INDF;FEM;SG
현명한	мъдро	현명+하+ㄴ	мъдро	V	ADV
현명한	мъдри	현명+하+ㄴ	мъдря-(се)	V	ADJ;INDF;PL
현명한	мъдър	현명+하+ㄴ	мъдър	V	ADJ;INDF;MASC;SG
김치	кимчи	김치	кимча		N;INDF;MASC;SG
아스타나	астана	아스타+나	астана	PROPN	N;INDF;FEM;SG
수잔	сюзън	수잔	сюзън		PROPN;INDF;FEM;SG
프라이부르크	фрайбург	프라이부르크	фрайбург	PROPN	PROPN;INDF;MASC;SG
그리스인	гърци	그리스인	грък		N;INDF;MASC;PL
그리스인	гърците	그리스인	грък		N;DEF;MASC;PL
열기	отворено	열+기	отворя		ADV
열기	отвори	열+기	отворя-(се)		V;PFV;IND;SG;3;PST;FIN;ACT
열기	отваряне	열+기	отваряне		N;INDF;NEUT;SG
열기	отваря	열+기	отварям-(се)		V;IPFV;IND;SG;3;PRS;FIN;ACT
피스	мир	피스	мир		N;INDF;MASC;SG
정밀	прецизно	정밀	прецизно	N	ADV
같음	равно	같+ㅁ	равен		ADV
같음	равни	같+ㅁ	равен		ADJ;INDF;PL
샌드위치	сандвич	샌드위치	сандвич		N;INDF;MASC;SG
샌드위치	сандвичи	샌드위치	сандвич		N;INDF;MASC;PL
센타우루스자리	кентавър	센타우루스자리	кентавър	PROPN	N;INDF;MASC;SG
바리	бари	바리	бара		PROPN;INDF;MASC;SG
아토스	атос	아토스	атос		N;INDF;MASC;SG
떨어지지	есента	떨어지+지	есен	V	N;DEF;FEM;SG
떨어지지	падане	떨어지+지	падане	V	N;INDF;NEUT;SG
떨어지지	есен	떨어지+지	есен	V	N;INDF;FEM;SG
리어	лир	리+어	лир		N;INDF;MASC;SG
열정	ентусиазиран	열정	ентусиазирам	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
열정	страстна	열정	страстен	N	ADJ;INDF;FEM;SG
열정	страстно	열정	страстно	N	ADV
열정	страстен	열정	страстен	N	ADJ;INDF;MASC;SG
열정	страстни	열정	страстен	N	ADJ;INDF;PL
이동식	сменяеми	이동식	сменяем	N	ADJ;INDF;PL
예배	боготворят	예배	боготворя	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
수백만	милиони	수백만	милион		N;INDF;MASC;PL
글로브	глобус	글로브	глобус		N;INDF;MASC;SG
기린	жираф	기리+ㄴ	жираф		N;INDF;MASC;SG
기린	кирин	기리+ㄴ	кирин		N;INDF;MASC;SG
기린	жирафи	기리+ㄴ	жираф		N;INDF;MASC;PL
수년	години	수년	година		N;INDF;FEM;PL
수년	годините	수년	година		N;DEF;FEM;PL
아이패드	ipad	아이패드	ipaа	N	PROPN;INDF;MASC;SG
파산	банкрут	파산	банкрут		N;INDF;MASC;SG
파산	несъстоятелност	파산	несъстоятелност		N;INDF;FEM;SG
파산	фалит	파산	фалит		N;INDF;MASC;SG
파산	банкрут	파산	банкрут		N;INDF;MASC;SG
파산	несъстоятелност	파산	несъстоятелност		N;INDF;FEM;SG
버펄로	бизон	버티+로	бизон	ADV	N;INDF;MASC;SG
버펄로	бивол	버티+로	бивол	ADV	N;INDF;MASC;SG
버펄로	бъфало	버티+로	бъфало	ADV	N;INDF;MASC;SG
버펄로	бизони	버티+로	бизон	ADV	N;INDF;MASC;PL
무작위로	случайна	무작위+로	случаен	ADV	ADJ;INDF;FEM;SG
무작위로	случайни	무작위+로	случаен	ADV	ADJ;INDF;PL
무작위로	случаен	무작위+로	случаен	ADV	ADJ;INDF;MASC;SG
이겨	ритъм	이기+어	ритъм		N;INDF;MASC;SG
이겨	победи	이기+어	победа		N;INDF;FEM;PL
우울	подтиснат	우울	подтисна	N	V;PFV;IND;PL;3;PRS;FIN;ACT
우울	депресиран	우울	депресирам	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
우울	депресирана	우울	депресирам	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
우울	потискащо	우울	потискащо	N	ADV
낙하산	парашут	낙하산	парашут		N;INDF;MASC;SG
홀로코스트	холокоста	홀로코스트	холокост	PROPN	N;INDF;FEM;SG
디스커버리	откритие	디스크리리	откритие		N;INDF;NEUT;SG
디스커버리	разкритие	디스크리리	разкритие		N;INDF;NEUT;SG
디스커버리	дискавъри	디스크리리	дискавър		N;INDF;MASC;SG
디스커버리	откриване	디스크리리	откриване		N;INDF;NEUT;SG
테크	тех	테크	аз		PROPN;INDF;MASC;SG
샐리	сали	샐리	сали	N	PROPN;INDF;FEM;SG
절약	спасяване	절약	спасяване		N;INDF;NEUT;SG
절약	спасяването	절약	спасяване		N;DEF;NEUT;SG
절약	спестяване	절약	спестяване		N;INDF;NEUT;SG
알마티	almaty	알마티	almaty	PROPN	N;INDF;MASC;SG
곱셈	умножение	곱+과	умножение		N;INDF;NEUT;SG
곱셈	умножава	곱+과	умножавам		V;IPFV;IND;SG;3;PRS;FIN;ACT
곱셈	умножи	곱+과	умножа		V;PFV;IMP;SG;2;FIN
스와	сува	스+와	сувам-(се)		N;INDF;FEM;SG
투르	турнета	투르	турне		N;INDF;NEUT;PL
투르	обиколки	투르	обиколка		N;INDF;FEM;PL
투르	екскурзии	투르	екскурзия		N;INDF;FEM;PL
교정	коригиращи	교정	коригирам	N	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
교정	поправено	교정	поправя-(се)	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
교정	коригиран	교정	коригирам	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
교정	поправена	교정	поправя-(се)	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
교정	коригирана	교정	коригирам	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
앙투안	антоан	앙투안	антоан	PROPN	N;INDF;MASC;SG
리히텐슈타인	лихтенщайн	리히+정레타인	лихтенщайн	PROPN	ADJ;INDF;MASC;SG
리히텐슈타인	лихтенщайн	리히+정레타인	лихтенщайн	PROPN	ADJ;INDF;MASC;SG
오데사	одеса	오데사	одес	PROPN	N;INDF;FEM;SG
오데사	пазарджик	오데사	пазарджик	PROPN	N;INDF;MASC;SG
사모아	самоа	사모아	самоа		N;INDF;MASC;SG
레이먼드	реймънд	레이먼드	реймънд	PROPN	PROPN;INDF;MASC;SG
저널리스트	журналист	저널리스트	журналист		N;INDF;MASC;SG
저널리스트	журналистка	저널리스트	журналистка		N;INDF;FEM;SG
저널리스트	журналисти	저널리스트	журналист		N;INDF;MASC;PL
저널리스트	журналистите	저널리스트	журналист		N;DEF;MASC;PL
차드	чад	차드	чад	PROPN	PROPN;INDF;MASC;SG
무하마드	мохамед	무하마드	мохамед	PROPN	N;INDF;MASC;SG
강력	мощен	강력	мощен		ADJ;INDF;MASC;SG
강력	мощно	강력	мощен		ADV
강력	мощна	강력	мощен		ADJ;INDF;FEM;SG
해석학	аналитичен	해석학	аналитичен	N	ADJ;INDF;MASC;SG
해석학	аналитични	해석학	аналитичен	N	ADJ;INDF;PL
카사블랑카	казабланка	카사블랑카	казабланка	PROPN	N;INDF;FEM;SG
커먼즈	общините	커먼즈	община		N;DEF;FEM;PL
레지던트	специализант	레지던트	специализант		N;INDF;MASC;SG
레지던트	жител	레지던트	жител		N;INDF;MASC;SG
레지던트	обитател	레지던트	обитател		N;INDF;MASC;SG
레지던트	пребиваващи	레지던트	пребивавам		ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
레지던트	обитатели	레지던트	обитател		N;INDF;MASC;PL
레지던트	жители	레지던트	жител		N;INDF;MASC;PL
