renascimento	revival	renascimento	revival	N;MASC;SG	
vencido	bita	vencer	bita	V;MASC;SG;V.PTCP	
vencido	bity	vencer	bit	V;MASC;SG;V.PTCP	
vencido	pobity	vencer	pobić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
vencido	pokonany	vencer	pokonać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
vencido	pokonani	vencer	pokonać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
gera	generowanie	gerar	generować	V;IND;SG;3;PRS;FIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
atribuída	przypisana	atribuir	przypisać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
atribuída	przydzielony	atribuir	przydzielić	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
atribuída	przypisany	atribuir	przypisać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
atribuída	przypisane	atribuir	przypisać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
atribuída	nadany	atribuir	nadać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
atribuída	przypisane	atribuir	przypisać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
atribuída	przypisany	atribuir	przypisać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
atribuída	przypisana	atribuir	przypisać	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
celso	celso	celso	celso	N;MASC;SG	
controvérsia	kontrowersji	controvérsia	kontrowersja	N;FEM;SG	
roman	rzymski	roman	rzymski	N;MASC;SG	ADJ;NOM;MASC;SG
roman	roman	roman	roman	N;MASC;SG	PROPN;NOM;MASC;SG
roman	rzymskie	roman	rzymski	N;MASC;SG	ADJ;NOM;NEUT;SG
aumentando	zwiększenie	aumentar	zwiększyć	V;V.MSDR	N;PFV;NOM;NEUT;SG;POS;V.MSDR
aumentando	zwiększanie	aumentar	zwiększać	V;V.MSDR	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
coloração	barwniki	coloração	barwnika	N;FEM;SG	N;NOM;MASC;PL
semelhança	podobieństwa	semelhança	podobieństwo	N;FEM;SG	N;NOM;NEUT;PL
expressa	ekspres	esprimir	ekspres	V;FEM;SG;V.PTCP	
expressa	express	esprimir	express	V;FEM;SG;V.PTCP	
expressa	ekspresowe	esprimir	ekspresowy	V;FEM;SG;V.PTCP	
expressa	wyrażony	esprimir	wyrazić	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
expressa	wyrażona	esprimir	wyraż	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
expressa	wyrażone	esprimir	wyrazić	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
mars	marsie	mar	marsa	N;MASC;SG	
mars	marsa	mar	marsa	N;MASC;SG	
mars	mars	mar	mars	N;MASC;SG	
ava	ava	avar	ava	N;MASC;SG	
actividades	działania	actividade	działanie	N;FEM;PL	N;NOM;NEUT;SG
actividades	działalności	actividade	działalność	N;FEM;PL	N;GEN;FEM;SG
actividades	działalność	actividade	działalność	N;FEM;PL	N;NOM;FEM;SG
polaco	polsko	polaco	polski	N;MASC;SG	ADJ
polaco	polskie	polaco	polski	N;MASC;SG	ADJ;NOM;NEUT;SG
polaco	polski	polaco	polski	N;MASC;SG	ADJ;NOM;MASC;SG
rapaz	boy	rapaz	boy	N;MASC;SG	
irlandês	irlandczycy	irlandês	irlandczyk	N;MASC;SG	N;NOM;MASC;PL
irlandês	irlandzkie	irlandês	irlandzki	N;MASC;SG	ADJ;NOM;NEUT;SG
irlandês	irlandzki	irlandês	irlandzka	N;MASC;SG	ADJ;NOM;MASC;SG
irlandês	irlandzka	irlandês	irlandzka	N;MASC;SG	ADJ;NOM;FEM;SG
combates	bójki	combate	bójka	N;MASC;PL	
combates	walki	combate	walka	N;MASC;PL	N;ACC;FEM;SG
combates	walk	combate	walk	N;MASC;PL	
enviados	wysłane	enviar	wysłać	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
enviados	wysłannicy	enviar	wysłannik	V;MASC;PL;V.PTCP	N;NOM;MASC;PL
enviados	wysłany	enviar	wysłać	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
enviados	wysłane	enviar	wysłać	V;MASC;PL;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
saiba	know	saber	know	V;SBJV;SG;3;PRS;FIN	
divisa	waluty	divisa	waluta	N;FEM;SG	N;ACC;FEM;PL
sonda	sondy	sondar	sonda	N;FEM;SG	N;ACC;FEM;PL
guatemala	gwatemali	guatemala	gwatemać	N;FEM;SG	V;IPFV;MASC;IND;PL;PST;FIN;ACT
kent	kenta	kent	kenta	N;MASC;SG	
kent	kent	kent	kent	N;MASC;SG	PROPN;NOM;MASC;SG
terrestres	lądowe	terrestre	lądowy	N;MASC;PL	ADJ;NOM;NEUT;SG
terrestres	naziemne	terrestre	naziemny	N;MASC;PL	ADJ;NOM;NEUT;SG
terrestres	lądowych	terrestre	lądowy	N;MASC;PL	ADJ;GEN;MASC;PL
contínua	ciągła	contínuo	ciągły	N;FEM;SG	V;IPFV;FEM;IND;SG;PST;FIN;ACT
contínua	ciągł	contínuo	ciąg	N;FEM;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
contínua	ciągłego	contínuo	ciągły	N;FEM;SG	ADJ;ACC;MASC;SG
pleno	full	pleno	full	ADJ;MASC;SG	
pleno	pełen	pleno	pełen	ADJ;MASC;SG	N;NOM;MASC;SG
pleno	pełne	pleno	pełny	ADJ;MASC;SG	
ofensiva	obraźliwe	ofensiva	obraźliwy	N;FEM;SG	ADJ;NOM;NEUT;SG
mancha	plamy	mancha	plać	N;FEM;SG	N;NOM;MASC;PL
mancha	plam	mancha	plam	N;FEM;SG	
tokyo	tokyo	tokyo	tokyo	N;MASC;SG	
tokyo	tokio	tokyo	tokio	N;MASC;SG	
mamíferos	ssak	mamífero	ssak	N;MASC;PL	N;NOM;MASC;SG
fracasso	porażki	fracasso	porażka	N;MASC;SG	N;ACC;FEM;PL
solos	gleby	solo	gleba	N;MASC;PL	
solos	gleb	solo	gleb	N;MASC;PL	
solos	glebie	solo	gleba	N;MASC;PL	N;DAT;FEM;SG
solos	gleba	solo	gleba	N;MASC;PL	N;NOM;FEM;SG
solos	gleby	solo	gleba	N;MASC;PL	
solos	ziemia	solo	ziemia	N;MASC;PL	N;NOM;FEM;SG
got	got	got	gotować	N;MASC;SG	
got	mam	got	mieć	N;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
códigos	kodów	código	kodywa	N;MASC;PL	
thompson	thompson	thompson	thompson	N;MASC;SG	PROPN;NOM;MASC;SG
plena	full	pleno	full	ADJ;FEM;SG	
plena	pełen	pleno	pełen	ADJ;FEM;SG	N;NOM;MASC;SG
plena	pełne	pleno	pełny	ADJ;FEM;SG	
citados	notowane	citar	notować	V;MASC;PL;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
wolf	wolf	wolf	wolf	N;MASC;SG	
danilo	danilo	danilo	danilo	N;MASC;SG	PROPN;NOM;MASC;SG
ricos	bogata	rico	bogat	N;MASC;PL	ADJ;NOM;FEM;SG
ricos	bogate	rico	bogaty	N;MASC;PL	ADJ;NOM;NEUT;SG
ricos	rich	rico	richy	N;MASC;PL	
ricos	bogaty	rico	bogat	N;MASC;PL	ADJ;NOM;MASC;SG
ricos	bogata	rico	bogat	N;MASC;PL	ADJ;NOM;FEM;SG
ricos	bogaty	rico	bogat	N;MASC;PL	ADJ;NOM;MASC;SG
tópicos	temat	tópico	temat	N;MASC;PL	N;ACC;MASC;SG
tópicos	tematu	tópico	temat	N;MASC;PL	N;GEN;MASC;SG
tópicos	zagadnienie	tópico	zagadnić	N;MASC;PL	N;NOM;NEUT;SG
tópicos	nitki	tópico	nitki	N;MASC;PL	
tópicos	nici	tópico	nić	N;MASC;PL	
catolicismo	katolicki	catolicismo	katolicki	N;MASC;SG	ADJ;NOM;MASC;SG
catolicismo	katolickiej	catolicismo	katolicki	N;MASC;SG	ADJ;GEN;FEM;SG
catolicismo	katolickiego	catolicismo	katolicki	N;MASC;SG	ADJ;ACC;MASC;SG
destruída	zniszczona	destruir	zniszczyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
destruída	zniszczone	destruir	zniszczyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
destruída	zniszczony	destruir	zniszczyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
terrenos	kraina	terreno	kraina	N;MASC;PL	N;NOM;FEM;SG
terrenos	land	terreno	land	N;MASC;PL	
terrenos	ląd	terreno	ląd	N;MASC;PL	N;NOM;MASC;SG
terrenos	ziemia	terreno	ziemia	N;MASC;PL	N;NOM;FEM;SG
terrenos	teren	terreno	teren	N;MASC;PL	N;NOM;MASC;SG
terrenos	terenu	terreno	teren	N;MASC;PL	N;GEN;MASC;SG
exclusiva	wyłączność	exclusivo	wyłączność	ADJ;FEM;SG	N;ACC;FEM;SG
júri	jury	júri	jury	N;MASC;SG	
júri	przysięgłych	júri	przysięgły	N;MASC;SG	ADJ;GEN;MASC;PL
lançamentos	uruchamia	lançamento	uruchamiać	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
lançamentos	wydania	lançamento	wydać	N;MASC;PL	N;PFV;GEN;NEUT;SG;POS;V.MSDR
lançamentos	uwalnia	lançamento	uwalniać	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
caribe	karaibów	caribe	karaib	N;MASC;SG	N;GEN;MASC;PL
caribe	karai	caribe	karaić	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
roque	roque	roque	ronuć	N;MASC;SG	PROPN;NOM;MASC;SG
giuseppe	giuseppe	giuseppe	giusepp	N;MASC;SG	
internos	wewnętrzny	interno	wewnętrzny	N;MASC;PL	ADJ;NOM;MASC;SG
internos	wewnętrznego	interno	wewnętrzny	N;MASC;PL	ADJ;ACC;MASC;SG
internos	wewnętrzne	interno	wewnętrzny	N;MASC;PL	ADJ;NOM;NEUT;SG
internos	wewnętrzna	interno	wewnętrzny	N;MASC;PL	ADJ;NOM;FEM;SG
palestina	palestyńskich	palestina	palestyński	N;FEM;SG	ADJ;GEN;MASC;PL
taiwan	tajwan	taiwan	tajwan	N;MASC;SG	PROPN;NOM;MASC;SG
taiwan	tajwanu	taiwan	tajwan	N;MASC;SG	PROPN;GEN;MASC;SG
taiwan	tajwańskich	taiwan	tajwański	N;MASC;SG	ADJ;GEN;MASC;PL
sara	sarah	sara	sarah	N;FEM;SG	PROPN;NOM;FEM;SG
sara	sara	sara	sara	N;FEM;SG	PROPN;NOM;FEM;SG
sara	saro	sara	saro	N;FEM;SG	
sara	sara	sara	sara	N;FEM;SG	PROPN;NOM;FEM;SG
sara	saro	sara	saro	N;FEM;SG	
aldeias	wioski	aldeia	wioska	N;FEM;PL	N;ACC;FEM;SG
choque	szok	choque	szok	N;MASC;SG	
restrições	ograniczenia	restrição	ograniczenie	N;FEM;PL	N;NOM;NEUT;SG
restrições	ograniczenie	restrição	ograniczenie	N;FEM;PL	N;NOM;NEUT;SG
restrições	ograniczenia	restrição	ograniczenie	N;FEM;PL	N;NOM;NEUT;SG
neil	neila	neil	neil	N;MASC;SG	
neil	neil	neil	neil	N;MASC;SG	PROPN;NOM;MASC;SG
desfile	parady	desfilar	parada	N;MASC;SG	
noronha	noronha	noronhar	noronhy	N;FEM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
cândido	cândido	cânder	cândido	N;MASC;SG	
pesos	wagi	peso	waga	N;MASC;PL	N;ACC;FEM;SG
pesos	pesos	peso	pesos	N;MASC;PL	
douro	douro	douro	douro	N;MASC;SG	
diminuir	spadek	diminuir	spadka	V;NFIN	N;NOM;MASC;SG
diminuir	zmniejszenie	diminuir	zmniejszenie	V;NFIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
fischer	fischer	fischer	fischer	N;MASC;SG	
atingindo	dotarcie	atingir	dotarcie	V;V.MSDR	
evil	zło	evil	zło	N;MASC;SG	
evil	zły	evil	zły	N;MASC;SG	
evil	evil	evil	evil	N;MASC;SG	
evil	zła	evil	zły	N;MASC;SG	
premiado	udzielone	premiar	udzielić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
premiado	przyznana	premiar	przyznać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
premiado	przyznane	premiar	przyznać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
premiado	przyznany	premiar	przyznać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
reações	reakcji	reação	reakcja	N;FEM;PL	N;GEN;FEM;SG
rubens	rubens	rubem	rubens	N;MASC;SG	PROPN;NOM;MASC;SG
visitar	odwiedziny	visitar	odwiedzina	V;NFIN	N;NOM;FEM;SG
visitar	wizyta	visitar	wizyta	V;NFIN	N;NOM;FEM;SG
visitar	wizyty	visitar	wizyta	V;NFIN	N;ACC;FEM;PL
xuxa	xuxa	xuxa	xuxa	N;FEM;SG	
capturado	złapany	capturar	złapać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
capturado	złapana	capturar	złapać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
capturado	złapani	capturar	złapać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
capturado	schwytany	capturar	schwytać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
reno	ren	reno	ren	N;MASC;SG	
reno	renie	reno	rena	N;MASC;SG	
reno	reno	reno	reno	N;MASC;SG	
oposto	naprzeciw	oposto	naprzeciw	ADJ;MASC;SG	
oposto	przeciwieństwo	oposto	przeciwieństwo	ADJ;MASC;SG	N;NOM;NEUT;SG
oposto	naprzeciwko	oposto	naprzeciwko	ADJ;MASC;SG	
edit	edit	edit	edit	N;MASC;SG	
edit	edytuj	edit	edytować	N;MASC;SG	
primário	primer	primário	primer	N;MASC;SG	
primário	podstawowy	primário	podstawowy	N;MASC;SG	ADJ;NOM;MASC;SG
primário	pierwotne	primário	pierwotny	N;MASC;SG	ADJ;NOM;NEUT;SG
primário	podstawowej	primário	podstawowy	N;MASC;SG	ADJ;GEN;FEM;SG
primário	podstawowe	primário	podstawowy	N;MASC;SG	ADJ;NOM;NEUT;SG
primário	podstawowa	primário	podstawowy	N;MASC;SG	
coberta	objętych	cobrir	objąć	V;FEM;SG;V.PTCP	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
coberta	kryty	cobrir	kryć	V;FEM;SG;V.PTCP	N;ACC;MASC;SG
coberta	pokryta	cobrir	pokryć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
coberta	pokryte	cobrir	pokryć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
valley	doliny	valley	dolina	N;MASC;SG	
valley	valley	valley	valley	N;MASC;SG	
valley	dolina	valley	dolinać	N;MASC;SG	
valley	dolinie	valley	dolin	N;MASC;SG	
traduções	tłumaczenie	tradução	tłumaczenie	N;FEM;PL	N;NOM;NEUT;SG
traduções	tłumacz	tradução	tłumacz	N;FEM;PL	V;IPFV;IND;SG;PST;FIN;ACT
neo	neo	neo	neo	N;MASC;SG	
defensores	obrońcy	defensor	obrońca	N;MASC;PL	N;NOM;MASC;SG
lar	lar	lar	lar	N;MASC;SG	
heitor	hector	heitor	hector	N;MASC;SG	PROPN;NOM;MASC;SG
heitor	hectora	heitor	hector	N;MASC;SG	
completou	zrealizowane	completar	zrealizować	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
completou	zakończone	completar	zakończyć	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
completou	zakończona	completar	zakończyć	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
completou	zaliczone	completar	zaliczyć	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
completou	ukończone	completar	ukończyć	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
facilidade	placówki	facilidade	placówka	N;FEM;SG	N;NOM;FEM;PL
parabéns	gratuluję	parabéns	gratulować	N;MASC;PL	V;IPFV;IND;SG;1;PRS;FIN;ACT
parabéns	gratuluje	parabéns	gratulować	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
parabéns	gratulacje	parabéns	gratulacja	N;MASC;PL	N;NOM;FEM;SG
parabéns	gratulacje	parabéns	gratulacja	N;MASC;PL	N;NOM;FEM;SG
gases	gazu	gase	gaz	N;MASC;PL	
gases	gaz	gase	gaz	N;MASC;PL	N;NOM;MASC;SG
acreditar	uwierz	acreditar	uwierzyć	V;NFIN	
concluída	zrealizowane	concluído	zrealizować	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
concluída	zakończone	concluído	zakończyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
concluída	zakończona	concluído	zakończyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
concluída	zaliczone	concluído	zaliczyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
concluída	ukończone	concluído	ukończyć	V;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
australiana	australian	australiano	australianin	N;FEM;SG	
australiana	australii	australiano	australia	N;FEM;SG	PROPN;GEN;FEM;SG
australiana	australijski	australiano	australijski	N;FEM;SG	ADJ;NOM;MASC;SG
august	augusta	august	augusta	N;MASC;SG	
august	sierpień	august	sierpienie	N;MASC;SG	
bizantinos	bizantyjskie	bizantino	bizantyjski	N;MASC;PL	ADJ;NOM;NEUT;SG
bizantinos	bizantyjczycy	bizantino	bizantyjczyk	N;MASC;PL	
qualificação	kwalifikacje	qualificação	kwalifikacja	N;FEM;SG	N;NOM;FEM;PL
luke	łukasz	luke	łukasz	N;MASC;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
deep	głęboka	deep	głęboki	N;MASC;SG	ADJ;NOM;FEM;SG
deep	głęboki	deep	głęboki	N;MASC;SG	ADJ;NOM;MASC;SG
deep	głęboko	deep	głęboko	N;MASC;SG	ADV
deep	głębokie	deep	głęboki	N;MASC;SG	ADJ;NOM;NEUT;SG
deep	deep	deep	deep	N;MASC;SG	
concluído	zrealizowane	concluir	zrealizować	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
concluído	zakończone	concluir	zakończyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
concluído	zakończona	concluir	zakończyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
concluído	zaliczone	concluir	zaliczyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
concluído	ukończone	concluir	ukończyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
concluído	skończony	concluir	skończyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
concluído	zakończone	concluir	zakończyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
concluído	skończone	concluir	skończyć	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pátio	yard	pátio	yard	N;MASC;SG	
pátio	stocznia	pátio	stocznia	N;MASC;SG	
western	zachodnia	western	zachodni	N;MASC;SG	
western	zachodnie	western	zachodnie	N;MASC;SG	ADJ;NOM;NEUT;SG
western	western	western	western	N;MASC;SG	
culpa	winić	culpa	winić	N;FEM;SG	V;IPFV;NFIN;ACT
culpa	winy	culpa	wina	N;FEM;SG	
holmes	holmes	holme	holmes	N;MASC;SG	
holmes	holmesa	holme	holmes	N;MASC;SG	
kurt	kurt	kurt	kurt	PROPN;MASC;SG	PROPN;NOM;MASC;SG
kurt	kurta	kurt	kurta	PROPN;MASC;SG	
falado	wypowiedziane	falar	wypowiedziany	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
mina	mina	mina	mina	N;FEM;SG	
mina	mine	mina	miny	N;FEM;SG	
mina	moja	mina	mój	N;FEM;SG	DET;NOM;FEM;SG;1
mina	mój	mina	mój	N;FEM;SG	DET;NOM;MASC;SG;1
mina	moje	mina	mój	N;FEM;SG	DET;NOM;NEUT;SG;1
