ve	और	ve	और	CONJ	
film	फ़िल्में	film	फ़िल्म		N;NOM;FEM;PL;3
film	फिल्मों	film	फिल्म		N;ACC;FEM;PL;3
haziran	जून	haziran	जून		PROPN;NOM;MASC;SG;3
mayıs	मई	mayıs	मई		PROPN;NOM;FEM;SG;3
dosya	फ़ाइलें	dosya	फााइल		N;NOM;FEM;PL;3
dosya	फ़ाइल	dosya	फााइल		N;NOM;MASC;SG;3
dosya	संचिका	dosya	संचिका		N;NOM;FEM;SG;3
dosya	फाइलें	dosya	फाइल		N;NOM;FEM;PL;3
dosya	फाइल	dosya	फाइल		N;NOM;FEM;SG;3
dosya	फ़ाइल	dosya	फााइल		N;NOM;MASC;SG;3
dosya	संचिका	dosya	संचिका		N;NOM;FEM;SG;3
ocak	जन	ocak	जन		N;NOM;MASC;SG;3
ocak	जनवरी	ocak	जनवरी		PROPN;NOM;FEM;SG;3
ocak	स्टोव	ocak	स्टोव		N;NOM;MASC;SG;3
yıl	वर्ष	yıl	वर्ष		N;NOM;MASC;SG;3
yıl	साल	yıl	साल		N;NOM;MASC;SG;3
dan	डान	dan	डान		PROPN;NOM;MASC;SG;3
kasım	नवंबर	kasım	नवंबर		PROPN;NOM;MASC;SG;3
kasım	नवम्बर	kasım	नवंबर		PROPN;NOM;MASC;SG;3
kasım	क़ासिम	kasım	क़ासिम		PROPN;NOM;MASC;SG;3
kasım	कासिम	kasım	कासिम		PROPN;NOM;MASC;SG;3
kasım	नवंबर	kasım	नवंबर		PROPN;NOM;MASC;SG;3
kasım	नवम्बर	kasım	नवंबर		PROPN;NOM;MASC;SG;3
avrupa	यूरोप	avrupa	यूरोप		PROPN;NOM;MASC;SG;3
avrupa	यूरोपीय	avrupa	यूरोपीय		PROPN;NOM;SG;3
avrupa	यूरोपा	avrupa	यूरोपा		PROPN;NOM;MASC;SG;3
avrupa	यूरोपियाई	avrupa	यूरोपियाई		PROPN;NOM;SG;3
avrupa	यूरोपीय	avrupa	यूरोपीय		PROPN;NOM;SG;3
ama	परन्तु	ama	परन्तु	CONJ	
ama	लेकीन	ama	लेकीन	CONJ	
ama	लकिन	ama	लकिन	CONJ	
karşı	काउंटर	karşı	काउंटर		N;NOM;MASC;SG;3
karşı	खिलाफ	karşı	खिलाफ		ADP
karşı	विरुद्ध	karşı	विरुद्ध		ADP
karşı	विरूद्ध	karşı	विरूद्ध		CONJ
toplam	लाइफ़टाइम	toplam	लाइफ़टाइम		PROPN;NOM;FEM;SG;3
toplam	कुल	toplam	कुल		DET
jpg	jpg	jpg	jpg		N;NOM;MASC;SG;3
ikinci	सेकेंड	ikinci	सेकेंड	ADJ	N;NOM;MASC;SG;3
ikinci	द्वितीय	ikinci	द्वितीय	ADJ	PROPN;NOM;MASC;SG;3
ikinci	सेकण्ड	ikinci	सेकण्ड	ADJ	
ikinci	सेकंड	ikinci	सेकंड	ADJ	PROPN;NOM;MASC;SG;3
eylül	सितम्बर	eylül	सितंबर		PROPN;NOM;MASC;SG;3
eylül	सितंबर	eylül	सितंबर		PROPN;NOM;MASC;SG;3
ağustos	अगस्त	ağustos	अगस्त		PROPN;NOM;MASC;SG;3
içinde	अन्दर	içinde	अन्दर	ADV	
içinde	अन्दर	içinde	अन्दर	ADV	
temmuz	जुलाई	temmuz	जुलाई		PROPN;NOM;FEM;SG;3
önce	पहले	önce	पहले		ADV;NOM;MASC;SG;3
önce	प्रथम	önce	प्रथम		ADJ
önce	पहली	önce	पहला		ADJ;NOM;FEM;SG
önce	पहले	önce	पहले		ADV;NOM;MASC;SG;3
önce	पहला	önce	पहला		ADJ;NOM;MASC;SG
tüm	पूरी	tüm	पूरा	DET	ADJ;NOM;FEM;SG
tüm	पूरा	tüm	पूरा	DET	ADJ;NOM;MASC;SG
tüm	पूरे	tüm	पूरा	DET	ADJ;MASC;PL
den	den	None	den		PROPN;NOM;MASC;SG;3
nisan	अप्रैल	nisan	अप्रैल		PROPN;NOM;MASC;SG;3
resim	तस्वीर	resim	तस्वीर		N;NOM;FEM;SG;3
resim	पिक्चर	resim	पिक्चर		N;NOM;MASC;SG;3
resim	चित्र	resim	चित्र		N;NOM;MASC;SG;3
resim	छवि	resim	छवि		N;NOM;FEM;SG;3
resim	प्रतिबिम्ब	resim	प्रतिबिम्ब		N;NOM;FEM;SG;3
resim	चित्र	resim	चित्र		N;NOM;MASC;SG;3
resim	चित्रकारी	resim	चित्रकारी		N;NOM;FEM;SG;3
resim	चित्रकला	resim	चित्रकला		N;NOM;FEM;SG;3
resim	चित्रकारों	resim	चित्रकार		N;ACC;MASC;PL;3
resim	पेंटिंग	resim	पेंटिंग		N;NOM;FEM;SG;3
resim	रेखाचित्र	resim	रेखाचित्र		N;NOM;MASC;SG;3
resim	ड्राइंग	resim	ड्राइंग		N;NOM;FEM;SG;3
resim	चित्रांकन	resim	चित्रांकन		N;NOM;MASC;SG;3
resim	आरेखण	resim	आरेखण		N;NOM;MASC;SG;3
üniversitesi	विश्वविद्यालयों	üniversitesi	विश्वविद्यालय	N;NOM;SG;3	N;ACC;MASC;PL;3
ye	खाओ	ye	खाओ		V;SBJV;SG;3;FIN;ACT
ye	खा	ye	खा		V;ACT
ekim	अक्टूबर	ekim	अक्टूबर		PROPN;NOM;MASC;SG;3
ekim	अक्तूबर	ekim	अक्तूबर		PROPN;NOM;MASC;SG;3
ekim	अक्टूबर	ekim	अक्टूबर		PROPN;NOM;MASC;SG;3
ekim	अक्तूबर	ekim	अक्तूबर		PROPN;NOM;MASC;SG;3
şehir	बस्ती	şehir	बस्ती		N;NOM;FEM;SG;3
şehir	नगर	şehir	नगर		N;NOM;MASC;SG;3
şehir	कस्बा	şehir	कस्बा		N;NOM;MASC;SG;3
şehir	शहर	şehir	शहर		N;NOM;MASC;SG;3
şehir	सिटी	şehir	सिटी		N;NOM;FEM;SG;3
şehir	नगर	şehir	नगर		N;NOM;MASC;SG;3
şehir	नगरीय	şehir	नगरीय		N;NOM;MASC;SG;3
şehir	शहरी	şehir	शहरी		PROPN;NOM
aralık	दिसंबर	aralık	दिसंबर	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
aralık	दिसम्बर	aralık	दिसम्बर	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
aralık	dec	aralık	dec	N;NOM;SG;3	
aralık	दिसंबर	aralık	दिसंबर	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
aralık	दिसम्बर	aralık	दिसम्बर	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
köy	गांव	köy	गाँव		N;NOM;MASC;SG;3
köy	गाँव	köy	गाँव		N;NOM;MASC;PL;3
yüksek	हाई	yüksek	हाई	ADJ	N;NOM
yüksek	आलीशान	yüksek	आलीशान	ADJ	N;NOM;MASC;SG;3
yüksek	उच्च	yüksek	उच्च	ADJ	
yüksek	उच्चतर	yüksek	उच्चतर	ADJ	
şubat	फरवरी	şubat	फरवरी		PROPN;NOM;FEM;SG;3
şubat	फ़रवरी	şubat	फ़रवरी		PROPN;NOM;FEM;SG;3
şubat	फरवरी	şubat	फरवरी		PROPN;NOM;FEM;SG;3
şubat	फ़रवरी	şubat	फ़रवरी		PROPN;NOM;FEM;SG;3
sadece	सिर्फ	sadece	सिर्फ	ADV	PART
sadece	केवल	sadece	केवल	ADV	PART
sadece	तभी	sadece	तभी	ADV	PRO;NOM
sadece	सिर्फ	sadece	सिर्फ	ADV	PART
sadece	बस	sadece	बस	ADV	N;NOM;FEM;SG;3
yol	पथ	yol	पथ		N;NOM;MASC;SG;3
yol	मार्ग	yol	मार्ग		N;NOM;MASC;SG;3
yol	रूट	yol	रूट		N;NOM;MASC;SG;3
yol	तरीका	yol	तरीका		N;NOM;MASC;SG;3
yol	राह	yol	राह		N;NOM;FEM;SG;3
yol	मार्ग	yol	मार्ग		N;NOM;MASC;SG;3
yol	रास्ते	yol	रास्ता		N;NOM;MASC;SG;3
yol	रास्ता	yol	रास्ता		N;NOM;MASC;SG;3
yol	रोड	yol	रोड		N;NOM;FEM;SG;3
yol	सड़क	yol	सड़क		N;NOM;FEM;SG;3
fakat	लेकिन	fakat	लेकिन		CONJ
fakat	मगर	fakat	मगर		CONJ
grup	बैंड	grup	बैंड		N;NOM;MASC;SG;3
grup	ग्रुप	grup	ग्रुप		N;NOM;MASC;SG;3
grup	समूह	grup	समूह		N;NOM;MASC;SG;3
takım	दस्ता	takım	दस्ता		N;NOM;MASC;SG;3
takım	दस्ते	takım	दस्ता		N;NOM;MASC;SG;3
takım	स्क्वाड	takım	स्क्वाड		N;NOM;MASC;SG;3
takım	टीम	takım	टीम		N;NOM;FEM;SG;3
takım	टोली	takım	टोली		N;NOM;FEM;SG;3
kendi	स्वयं	kendi	स्वयं	PRO;NOM;SG;3;REFL	
şekilde	तरीका	şekil	तरीका	N;ESS;SG;3	N;NOM;MASC;SG;3
şekilde	राह	şekil	राह	N;ESS;SG;3	N;NOM;FEM;SG;3
şekilde	मार्ग	şekil	मार्ग	N;ESS;SG;3	N;NOM;MASC;SG;3
şekilde	रास्ते	şekil	रास्ता	N;ESS;SG;3	N;NOM;MASC;SG;3
şekilde	रास्ता	şekil	रास्ता	N;ESS;SG;3	N;NOM;MASC;SG;3
tek	अकेला	tek	अकेला		V;PFV;MASC;SG;V.PTCP;ACT
tek	एकल	tek	एकल		N;NOM;MASC;SG;3
tek	सिंगल	tek	सिंगल		PROPN;NOM;MASC;SG;3
kez	टाइम्स	kez	टाइम्स	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
hakkında	परिचय	hak	परिचय	N;ESS;SG;3	N;NOM;MASC;SG;3
osmanlı	ओटोमन	osmanlı	ओटोमन		PROPN;NOM;MASC;SG;3
osmanlı	उस्मानी	osmanlı	उस्मानी		PROPN;NOM;MASC;SG;3
devlet	सरकारी	devlet	सरकारी	N;NOM;SG;3	ADJ;NOM
devlet	सरकारी	devlet	सरकारी	N;NOM;SG;3	ADJ;NOM
tarihi	तारीख	tarih	तारीख		N;NOM;FEM;SG;3
tarihi	तारीख़	tarih	तारीख़		N;NOM;FEM;SG;3
tarihi	दिनांक	tarih	दिनांक		N;NOM;FEM;SG;3
tarihi	तिथि	tarih	तिथि		N;NOM;FEM;SG;3
tarihi	ऐतिहासिक	tarih	ऐतिहासिक		ADJ
tarihi	इतिहास	tarih	इतिहास		N;NOM;MASC;SG;3
başladı	शुरू	başla	शुरू	V;PFV;IND;SG;3;POS;PST	N;NOM;MASC;SG;3
başladı	प्रारंभ	başla	प्रारंभ	V;PFV;IND;SG;3;POS;PST	N;NOM;MASC;SG;3
küçük	lil	küçük	lil	ADJ	
küçük	लील	küçük	लील	ADJ	
küçük	लिटिल	küçük	लिटिल	ADJ	
müzik	संगीत	müzik	संगीत		N;NOM;MASC;SG;3
müzik	म्यूज़िक	müzik	म्यूज़िक		N;NOM;MASC;SG;3
gelen	आवक	gel	आवक	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;FEM;SG;3
resmi	औपचारिक	resmi	औपचारिक		ADJ;NOM
resmi	तस्वीर	resmi	तस्वीर		N;NOM;FEM;SG;3
resmi	पिक्चर	resmi	पिक्चर		N;NOM;MASC;SG;3
resmi	चित्र	resmi	चित्र		N;NOM;MASC;SG;3
resmi	अधिकारी	resmi	अधिकारी		N;NOM;MASC;PL;3
resmi	सरकारी	resmi	सरकारी		ADJ;NOM
resmi	आधिकारिक	resmi	आधिकारिक		ADJ
kabul	सहमत	kabul	सहमत	N;NOM;SG;3	ADJ
kabul	स्वीकृत	kabul	स्वीकृत	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
kabul	स्वीकृत	kabul	स्वीकृत	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
kabul	सहमत	kabul	सहमत	N;NOM;SG;3	ADJ
devam	रखें	devam	रख	N;NOM;SG;3	V;SBJV;PL;FIN;ACT
devam	रखना	devam	रख	N;NOM;SG;3	V;MASC;NFIN;ACT
kupası	कप	kupa	कप	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
aldı	प्राप्त	al	प्राप्त	V;PFV;IND;SG;3;POS;PST	ADJ
em	चूसना	e	चूसना		V;MASC;NFIN;ACT
em	चूस	e	चूस		V;ACT
sahip	साहिब	sahip	साहिब		PROPN;NOM;MASC;SG;3
farklı	भिन्न	farklı	भिन्न	ADJ	ADP
futbol	सॉकर	futbol	सॉकर		N;NOM;MASC;SG;3
futbol	फुटबॉल	futbol	फुटबॉल		N;NOM;MASC;SG;3
futbol	फुटबाल	futbol	फुटबाल		N;NOM;FEM;SG;3
futbol	फ़ुटबॉल	futbol	फ़ुटबॉल		N;NOM;MASC;SG;3
ileti	सन्देश	ilet	सन्देश		N;NOM;MASC;SG;3
ileti	संदेश	ilet	संदेश		N;NOM;MASC;SG;3
doğru	सटीक	doğru	सटीक		ADJ
doğru	सही	doğru	सही		ADJ
doğru	सच	doğru	सच		N;NOM;MASC;SG;3
doğru	सही	doğru	सही		ADJ
doğru	सच्चा	doğru	सच्चा		PROPN;NOM;MASC;SG;3
doğru	सही	doğru	सही		ADJ
tarım	खेती	tarım	खेती		N;NOM;FEM;SG;3
tarım	कृषि	tarım	कृषि		N;NOM;FEM;SG;3
on	दस	on	दस		NUM
on	दहला	on	दहला		V;MASC;SG;V.PTCP;ACT
özel	एक्सक्लूसिव	özel	एक्सक्लूसिव	ADJ	N;NOM;MASC;SG;3
özel	exclusive	özel	exclusive	ADJ	N;NOM;MASC;SG;3
özel	अनन्य	özel	अनन्य	ADJ	
özel	प्राइवेट	özel	प्राइवेट	ADJ	N;NOM;MASC;SG;3
özel	ख़ास	özel	खक़ास	ADJ	
özel	मनपसंद	özel	मनपसंद	ADJ	
özel	कस्टम	özel	कस्टम	ADJ	N;NOM;MASC;SG;3
biri	किसी	biri	कोई	PRO;NOM;SG;3	PRO;ACC;SG;3
biri	एक	biri	एक	PRO;NOM;SG;3	NUM
vikipedi	विकिपीडिया	vikip	विकिपीडिया		PROPN;NOM;MASC;SG;3
uzun	long	uzun	long	ADJ	
şarkı	गाना	şarkı	गाना		N;NOM;MASC;SG;3
şarkı	गायकों	şarkı	गायक		N;ACC;MASC;PL;3
şarkı	गायन	şarkı	गायन		N;NOM;MASC;SG;3
şarkı	गाने	şarkı	गाना		N;NOM;MASC;PL;3
şarkı	गीत	şarkı	गीत		N;NOM;MASC;PL;3
şarkı	गीतों	şarkı	गीत		N;ACC;MASC;PL;3
şarkı	गीत	şarkı	गीत		N;NOM;MASC;PL;3
şarkı	गाना	şarkı	गाना		N;NOM;MASC;SG;3
eden	ईडन	et	ईडन	V;PFV;IND;POS;PRS;V.PTCP	PROPN;NOM;MASC;SG;3
lig	लीग	lig	लीग		N;NOM;FEM;SG;3
orta	माध्यम	orta	माध्यम		N;NOM;MASC;SG;3
orta	केन्द्र	orta	केंद्र		PROPN;NOM;MASC;SG;3
orta	केंद्र	orta	केंद्र		PROPN;NOM;MASC;SG;3
orta	बीच	orta	बीच		ADV;NOM;MASC;SG;3
orta	केंद्र	orta	केंद्र		PROPN;NOM;MASC;SG;3
orta	केन्द्र	orta	केंद्र		PROPN;NOM;MASC;SG;3
oyuncu	खिलाड़ी	oyuncu	खिलाडी		N;NOM;MASC;SG;3
oyuncu	अभिनेता	oyuncu	अभिनेता		N;NOM;MASC;SG;3
oyuncu	एक्टर	oyuncu	एक्टर		N;NOM;MASC;SG;3
oyuncu	कर्ता	oyuncu	कर्ता		N;NOM;MASC;SG;3
oyuncu	अदाकारा	oyuncu	अदाकारा		N;NOM;FEM;SG;3
oyuncu	अभिनेत्री	oyuncu	अभिनेत्री		N;NOM;FEM;SG;3
geri	पीछे	geri	पीछे		ADV;NOM;MASC;SG;3
geri	पिछड़ा	geri	पिछड़ा		ADJ;NOM;MASC;SG
geri	पीछे	geri	पीछे		ADV;NOM;MASC;SG;3
geri	पिछे	geri	पिछ		V;MASC;SG;FIN;ACT
geri	वापस	geri	वापस		ADJ
geri	पीछे	geri	पीछे		ADV;NOM;MASC;SG;3
mesaj	पाठ	mesaj	पाठ		N;NOM;MASC;SG;3
mesaj	टेक्स्ट	mesaj	टेक्स्ट		N;NOM;MASC;SG;3
mesaj	सन्देश	mesaj	सन्देश		N;NOM;MASC;SG;3
mesaj	संदेश	mesaj	संदेश		N;NOM;MASC;SG;3
mesaj	संदेश	mesaj	संदेश		N;NOM;MASC;SG;3
merkezi	केंद्रीय	merkez	केंद्रीय	N;ACC;SG;3	PROPN;NOM;SG;3
merkezi	मध्य	merkez	मध्य	N;ACC;SG;3	
merkezi	सेंट्रल	merkez	सेंट्रल	N;ACC;SG;3	PROPN;NOM;MASC;SG;3
merkezi	केन्द्र	merkez	केंद्र	N;ACC;SG;3	PROPN;NOM;MASC;SG;3
merkezi	केंद्र	merkez	केंद्र	N;ACC;SG;3	PROPN;NOM;MASC;SG;3
merkezi	मध्य	merkez	मध्य	N;ACC;SG;3	
merkezi	बीच	merkez	बीच	N;ACC;SG;3	ADV;NOM;MASC;SG;3
merkezi	केंद्र	merkez	केंद्र	N;ACC;SG;3	PROPN;NOM;MASC;SG;3
merkezi	केन्द्र	merkez	केंद्र	N;ACC;SG;3	PROPN;NOM;MASC;SG;3
kısa	संक्षिप्त	kısa	संक्षिप्त	ADJ	PROPN;NOM;SG;3
kısa	ब्रैड	kısa	ब्रैड	ADJ	PROPN;NOM;MASC;SG;3
güney	दक्षिणी	güney	दक्षिणी		PROPN;NOM;MASC;SG;3
güney	दक्षिणी	güney	दक्षिणी		PROPN;NOM;MASC;SG;3
güney	साउथ	güney	साउथ		PROPN;NOM;MASC;SG;3
güney	दक्षिण	güney	दक्षिण		PROPN;NOM;MASC;SG;3
almanya	जर्मनी	al	जर्मनी	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG;3
değil	नहीं	değil	नहीं		PART;NEG
kuzey	उत्तर	kuzey	उत्तर		PROPN;NOM;MASC;SG;3
kuzey	उत्तरी	kuzey	उत्तरी		PROPN;NOM;MASC;SG;3
çeşitli	किस्में	çeşitli	कौन्म		N;NOM;FEM;PL;3
çeşitli	विभिन्न	çeşitli	विभिन्न		ADJ
çeşitli	विभिन्न	çeşitli	विभिन्न		ADJ
açıklama	कैप्शन	açıkla	कैप्शन	V;PFV;NOM;IND;POS;PRS;V.MSDR	
açıklama	शीर्षक	açıkla	शीर्षक	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG;3
açıklama	व्याख्या	açıkla	व्याख्या	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG;3
açıklama	स्पष्टीकरण	açıkla	स्पष्टीकरण	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG;3
açıklama	विवरण	açıkla	विवरण	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG;3
açıklama	वर्णन	açıkla	वर्णन	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG;3
team	टीम	team	टीम		N;NOM;FEM;SG;3
team	टोली	team	टोली		N;NOM;FEM;SG;3
ortaya	खुलासा	orta	खुलासा	ADJ;DAT;SG;3	N;NOM;MASC;SG;3
ortaya	ख़ोज	orta	ख़ोज	ADJ;DAT;SG;3	
bilgileri	जानकारी	bilgi	जानकारी	N;ACC;PL;3	N;NOM;FEM;SG;3
bilgileri	सूचना	bilgi	सूचना	N;ACC;PL;3	N;NOM;FEM;SG;3
fransa	फ्रांस	fra	फ्रांस	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG;3
fransa	फ़्रांस	fra	फाररांस	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG;3
ingilizce	अंग्रेज	ingilizce	अंग्रेज		N;NOM;MASC;SG;3
