oli	ήταν	olema	είμαι	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
üks	ένα	üks	ένας	PRO;NOM;SG	NUM;NOM;NEUT;SG
üks	μια	üks	ένας	PRO;NOM;SG	NUM;NOM;FEM;SG
vene	ρώσικα	vene	ρώσικα	ADJ	ADV
vene	ρωσικά	vene	ρωσικός	ADJ	ADV
vene	ρώσος	vene	ρώσος	ADJ	PROPN;NOM;MASC;SG
jpg	jpg	jpg	jpg	N	
von	βον	von	βον	N;NOM;SG	
järgi	follow	järgi	follow	ADV	
järgi	ακολούθησε	järgi	ακολουθώ	ADV	V;PFV;IND;SG;3;PST;FIN;ACT
järgi	ακολουθήστε	järgi	ακολουθώ	ADV	V;PFV;IND;PL;2;FIN;PASS
järgi	ακολουθείστε	järgi	ακολουθώ	ADV	V;IPFV;IND;PL;2;FIN;ACT
nad	αυτοί	tema	αυτός	PRO;NOM;PL;3	PRO;NOM;MASC;PL;3
vastu	κόντρα	vastu	κόντρο	ADV	N;ACC;FEM;SG
vastu	εναντίον	vastu	εναντίον	ADV	ADP
alates	απο	alates	απο	ADV	ADP
alates	από	alates	από	ADV	ADP
koos	με	koos	με	ADV	ADP
koos	μαζι	koos	μαζι	ADV	N
sündinud	γεννήθηκα	sündima	γεννώ	V;PST;V.PTCP;ACT	V;PFV;IND;SG;1;PST;FIN;PASS
sündinud	γεννημένος	sündima	γεννημένος	V;PST;V.PTCP;ACT	V;PFV;NOM;MASC;SG;V.PTCP;PASS
sündinud	γεννήθηκε	sündima	γεννώ	V;PST;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
sündinud	γεννηθείς	sündima	γεννηθής	V;PST;V.PTCP;ACT	ADJ;NOM;MASC;SG
august	αύγουστος	auk	αύγουστος	N;IN+ABL;SG	N;NOM;MASC;SG
august	αυγούστου	auk	αυγούστος	N;IN+ABL;SG	N;GEN;MASC;SG
tallinn	ταλίν	tallinn	ταλίν	N;NOM;SG	PROPN;NOM;FEM;SG
euroopa	ευρώπη	euroopa	ευρώπη	N;NOM;SG	PROPN;ACC;FEM;SG
euroopa	ευρωπαϊκή	euroopa	ευρωπαϊκός	N;NOM;SG	ADJ;NOM;FEM;SG
ameerika	αμερικάνικα	ameerika	αμερικάνικος	ADJ	ADV
ameerika	αμερικανοί	ameerika	Αμερικανός	ADJ	PROPN;NOM;MASC;PL
ameerika	αμερική	ameerika	αμερικός	ADJ	PROPN;ACC;FEM;SG
asub	εντοπίστηκε	asuma	εντοπίζω	V;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
ole	όλε	olema	όλε	V;IMP;SG;2;PRS;FIN;ACT	
venemaa	ρωσία	vene_maa	ρωσία	N;NOM;SG	PROPN;ACC;FEM;SG
venemaa	ρωσίας	vene_maa	ρωσία	N;NOM;SG	PROPN;GEN;FEM;SG
esimene	πρώτο	esimene	πρώτος	ADJ;NOM;SG	NUM;NOM;NEUT;SG
esimene	πρώτον	esimene	πρώτον	ADJ;NOM;SG	ADV
esimene	πρώτη	esimene	πρώτος	ADJ;NOM;SG	NUM;NOM;FEM;SG
esimene	πρώτα	esimene	πρώτα	ADJ;NOM;SG	ADV
esimene	πρώτος	esimene	πρώτος	ADJ;NOM;SG	NUM;NOM;MASC;SG
nagu	όπως	nagu	όπως	CONJ	ADV
nagu	οπως	nagu	οπως	CONJ	ADV
nagu	like	nagu	like	CONJ	
nagu	σαν	nagu	σαν	CONJ	ADV
kaks	δυο	kaks	δύο	NUM;NOM;SG	NUM;NOM;PL
kaks	two	kaks	two	NUM;NOM;SG	
kaks	δύο	kaks	δύο	NUM;NOM;SG	NUM;NOM;MASC;PL
rootsi	σουηδικά	rootsi	σουηδικά	ADJ	ADV
rootsi	σουηδία	rootsi	σουηδία	ADJ	PROPN;ACC;FEM;SG
saab	saab	saama	saab	V;IND;SG;3;PRS;FIN;ACT	
saab	can	saama	can	V;IND;SG;3;PRS;FIN;ACT	
liidu	ένωση	liit	ένωση	N;GEN;SG	N;NOM;FEM;SG
liidu	ενωση	liit	ενωση	N;GEN;SG	N;NOM;FEM;SG
liidu	γιούνιον	liit	γιούνιον	N;GEN;SG	ADJ;NOM;NEUT;SG
liidu	συνδικάτο	liit	συνδικάτο	N;GEN;SG	N;NOM;NEUT;SG
liidu	σωματείο	liit	σωματείο	N;GEN;SG	N;NOM;NEUT;SG
vahel	μεταξύ	vahel	μεταξύ	ADV	ADP
vahel	μεταξυ	vahel	μεταξυ	ADV	ADP
linn	town	linn	town	N;NOM;SG	
linn	city	linn	city	N;NOM;SG	
need	οἱ	see	οἱ	PRO;NOM;PL	N
linna	town	linn	town	N;IN+ALL;LGSPEC1;SG	
linna	πολη	linn	πολη	N;IN+ALL;LGSPEC1;SG	N;NOM;FEM;SG
linna	πόλη	linn	πόλη	N;IN+ALL;LGSPEC1;SG	N;NOM;FEM;SG
linna	πολη	linn	πολη	N;IN+ALL;LGSPEC1;SG	N;NOM;FEM;SG
linna	πόλη	linn	πόλη	N;IN+ALL;LGSPEC1;SG	N;NOM;FEM;SG
linna	city	linn	city	N;IN+ALL;LGSPEC1;SG	
soome	φιλανδία	soome	φιλανδία	ADJ	PROPN;ACC;FEM;SG
soome	φινλανδία	soome	φινλανδία	ADJ	PROPN;ACC;FEM;SG
maakond	νομό	maakond	νομός	N;NOM;SG	ADV
all	υπό	all	υπό	ADV	ADP
nsv	σοβιετικό	nsv	σοβιετικός	PROPN	ADJ;NOM;NEUT;SG
nsv	σοβιετική	nsv	σοβιετικός	PROPN	ADJ;NOM;FEM;SG
nsv	ssr	nsv	ssr	PROPN	
neid	αυτά	see	αυτός	PRO;PRT;PL	PRO;NOM;NEUT;PL;3
neid	αυτές	see	αυτός	PRO;PRT;PL	PRO;NOM;FEM;PL;3
neid	οἱ	see	οἱ	PRO;PRT;PL	N
neid	αυτα	see	αυτός	PRO;PRT;PL	PRO;NOM;NEUT;PL;3
neid	τους	see	μου	PRO;PRT;PL	PRO;GEN;MASC;PL;3
kõik	ολοι	kõik	ολος	PRO;NOM;SG	PRO;NOM;MASC;PL;3
kõik	όλοι	kõik	όλος	PRO;NOM;SG	ADJ;NOM;MASC;PL
kõik	ολα	kõik	όλος	PRO;NOM;SG	ADV
kõik	όλα	kõik	όλος	PRO;NOM;SG	ADJ;NOM;NEUT;PL
kõik	ολα	kõik	όλος	PRO;NOM;SG	ADV
kõik	όλοι	kõik	όλος	PRO;NOM;SG	ADJ;NOM;MASC;PL
kõik	όλες	kõik	όλος	PRO;NOM;SG	ADJ;NOM;FEM;PL
kõik	όλα	kõik	όλος	PRO;NOM;SG	ADJ;NOM;NEUT;PL
kõik	ολοι	kõik	ολος	PRO;NOM;SG	PRO;NOM;MASC;PL;3
kõik	όλοι	kõik	όλος	PRO;NOM;SG	ADJ;NOM;MASC;PL
nime	ονομασία	nimi	ονομασία	N;PRT;SG	N;NOM;FEM;SG
nime	όνομα	nimi	όνομα	N;PRT;SG	N;NOM;NEUT;SG
nime	ονομα	nimi	ονομα	N;PRT;SG	N;NOM;NEUT;SG
poliitik	πολιτικό	poliitik	πολιτικός	N;NOM;SG	ADJ;NOM;NEUT;SG
poliitik	πολιτικός	poliitik	πολιτικός	N;NOM;SG	ADJ;NOM;MASC;SG
pilt	φωτογραφία	pilt	φωτογραφία	N;NOM;SG	N;ACC;FEM;SG
nõukogude	σοβιετικό	nõu_kogu	σοβιετικός	N;GEN;PL	ADJ;NOM;NEUT;SG
nõukogude	σοβιετική	nõu_kogu	σοβιετικός	N;GEN;PL	ADJ;NOM;FEM;SG
põhja	βορρά	põhi	βορράς	N;IN+ALL;LGSPEC1;SG	N;ACC;MASC;SG
põhja	βορεια	põhi	βορεια	N;IN+ALL;LGSPEC1;SG	N;NOM;FEM;SG
põhja	βόρεια	põhi	βόρεια	N;IN+ALL;LGSPEC1;SG	ADV
põhja	βορράς	põhi	βορράς	N;IN+ALL;LGSPEC1;SG	N;NOM;MASC;SG
põhja	βόρειος	põhi	βόρειος	N;IN+ALL;LGSPEC1;SG	ADJ;NOM;MASC;SG
põhja	βόρειο	põhi	βόρειο	N;IN+ALL;LGSPEC1;SG	ADJ;NOM;NEUT;SG
põhja	βόρεια	põhi	βόρεια	N;IN+ALL;LGSPEC1;SG	ADV
põhja	βορεια	põhi	βορεια	N;IN+ALL;LGSPEC1;SG	N;NOM;FEM;SG
läbi	μεσω	läbi	μεσω	ADV	ADP
läbi	μέσω	läbi	μέσω	ADV	ADP
mitte	όχι	mitte	όχι	ADV;NEG	PART
tänav	στριτ	tänav	στριτ	N;NOM;SG	
jaanuar	ιανουαρίου	jaanuar	ιανουάριος	N;NOM;SG	PROPN;GEN;MASC;SG
sajandi	αιώνα	sajand	αιώνας	N;GEN;SG	N;ACC;MASC;SG
sajandi	αιώνας	sajand	αιώνας	N;GEN;SG	N;NOM;MASC;SG
kokku	συνολο	kokku	συνολο	ADV	N;NEUT;SG
kokku	σύνολο	kokku	σύνολο	ADV	N;NOM;NEUT;SG
alla	down	alla	down	ADV	
alla	alla	alla	alla	ADV	
prantsuse	γάλλοι	prantsuse	γάλλος	ADJ	PROPN;NOM;MASC;PL
prantsuse	γάλλος	prantsuse	γάλλος	ADJ	N;NOM;MASC;SG
prantsuse	γαλλικά	prantsuse	γαλλικά	ADJ	ADV
tagasi	πλάτη	tagasi	πλάτος	ADV	N;NOM;FEM;SG
veebruar	φεβρουαρίου	veebruar	φεβρουάριο	N;NOM;SG	N;GEN;MASC;SG
enne	οιωνός	enne	οιωνός	ADV	ADJ;NOM;MASC;SG
enne	πρίν	enne	πρίν	ADV	N
lääne	δυτικά	lääs	δυτικά	N;NOM;SG	ADV
lääne	δυτική	lääs	δυτικός	N;NOM;SG	ADJ;NOM;FEM;SG
lääne	γουέστ	lääs	γουέστ	N;NOM;SG	
lääne	δύση	lääs	δύση	N;NOM;SG	N;ACC;FEM;SG
lääne	δυτικά	lääs	δυτικά	N;NOM;SG	ADV
lääne	γουέστερν	lääs	γουέστερν	N;NOM;SG	
lääne	δυτική	lääs	δυτικός	N;NOM;SG	ADJ;NOM;FEM;SG
lääne	western	lääs	western	N;NOM;SG	
juuli	ιούλιος	juuli	ιούλιος	N;NOM;SG	PROPN;NOM;MASC;SG
juuli	ιούλιο	juuli	ιούλιος	N;NOM;SG	N;ACC;MASC;SG
juuli	ιουλίου	juuli	ιούλιος	N;NOM;SG	N;GEN;NEUT;SG
mai	μάη	mai	μάη	N;NOM;SG	ADP
mai	μέι	mai	μέι	N;NOM;SG	
mai	mai	mai	mai	N;NOM;SG	
mai	μάι	mai	μαι	N;NOM;SG	
itaalia	ιταλία	itaalia	ιταλία	ADJ	PROPN;ACC;FEM;SG
itaalia	ιταλικά	itaalia	ιταλικά	ADJ	ADV
itaalia	ιταλός	itaalia	ιταλός	ADJ	PROPN;NOM;MASC;SG
kas	είτε	kas	είτε	ADV	CONJ
suur	μεγάλα	suur	μεγάλος	ADJ;NOM;SG	ADJ;NOM;NEUT;PL
suur	μεγάλα	suur	μεγάλος	ADJ;NOM;SG	ADJ;NOM;NEUT;PL
juuni	ιούνιο	juuni	ιούνιος	N;NOM;SG	PROPN;ACC;MASC;SG
juuni	ιουνίου	juuni	ιούνιος	N;NOM;SG	N;GEN;MASC;SG
juuni	τζουν	juuni	τζω	N;NOM;SG	
juuni	ιούνιος	juuni	ιούνιος	N;NOM;SG	ADJ;NOM;MASC;SG
palju	παρτίδες	palju	παρτίδα	ADV	N;NOM;FEM;PL
palju	πολλά	palju	πολύς	ADV	ADJ;NOM;NEUT;PL
palju	πολλοι	palju	πολύς	ADV	ADJ;NOM;MASC;PL
palju	πολλοί	palju	πολύς	ADV	ADJ;NOM;MASC;PL
palju	πολλές	palju	πολύς	ADV	ADJ;NOM;FEM;PL
palju	παρτίδα	palju	παρτίδα	ADV	N;NOM;FEM;SG
märts	μαρτίου	märts	μάρτιος	N;NOM;SG	N;GEN;MASC;SG
september	σεπτεμβρίου	september	σεπτέμβριο	N;NOM;SG	N;GEN;MASC;SG
september	σεπτέμβρη	september	σεπτέμβρομαι	N;NOM;SG	ADV
korda	επανέλαβε	kord	επαναλαμβάνω	N;PRT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
korda	επανάληψη	kord	επανάληψη	N;PRT;SG	N;ACC;FEM;SG
korda	επαναλάβετε	kord	επαναλαμβάνω	N;PRT;SG	V;PFV;IND;PL;2;FIN;ACT
korda	επαναλαμβάνω	kord	επαναλαμβάνω	N;PRT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
kirjanik	συγγραφέα	kirjanik	συγγραφέα	N;NOM;SG	N;VOC;MASC;SG
teda	αυτόν	tema	αυτός	PRO;PRT;SG;3	PRO;ACC;MASC;SG;3
lõuna	μεσημεριανό	lõuna	μεσημεριανός	N;NOM;SG	PROPN;NOM;NEUT;SG
lõuna	νότιο	lõuna	νότιος	N;NOM;SG	ADJ;NOM;NEUT;SG
lõuna	νότιος	lõuna	νότιος	N;NOM;SG	ADJ;NOM;MASC;SG
lõuna	νότια	lõuna	νότιος	N;NOM;SG	ADV
lõuna	νότιο	lõuna	νότιος	N;NOM;SG	ADJ;NOM;NEUT;SG
lõuna	νότια	lõuna	νότιος	N;NOM;SG	ADV
valla	single	vald	single	N;NOM;SG	
valla	ενιαία	vald	ενιαίος	N;NOM;SG	ADJ;NOM;FEM;SG
ühe	ένας	üks	ένας	NUM;GEN;SG	DET;NOM;INDF;MASC;SG
ühe	ενα	üks	ένας	NUM;GEN;SG	N;NOM;NEUT;SG
ühe	μία	üks	ένας	NUM;GEN;SG	NUM;NOM;FEM;SG
ühe	ένα	üks	ένας	NUM;GEN;SG	NUM;NOM;NEUT;SG
ühe	μια	üks	ένας	NUM;GEN;SG	NUM;NOM;FEM;SG
oktoober	οκτωβρίου	oktoober	οκτώβριος	N;NOM;SG	N;GEN;MASC;SG
iii	iii	iii	iii	NUM	
iii	ιιι	iii	ιιι	NUM	N
iii	γ΄	iii	γ΄	NUM	N
töötas	εργάστηκε	töötama	εργάζομαι	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
aprill	απριλίου	aprill	απρίλιος	N;NOM;SG	N;GEN;MASC;SG
karl	κάρλ	karl	κάρλ	N;NOM;SG	
karl	karl	karl	karl	N;NOM;SG	
uus	νεα	uus	νέος	ADJ;NOM;SG	N;NOM;FEM;SG
uus	νέο	uus	νέος	ADJ;NOM;SG	ADJ;ACC;NEUT;SG
uus	νέα	uus	νέος	ADJ;NOM;SG	ADJ;NOM;NEUT;PL
poola	πολωνικά	poola	πολωνικός	ADJ	ADV
poola	πολωνίας	poola	πολωνία	ADJ	PROPN;GEN;FEM;SG
poola	πολωνία	poola	πολωνία	ADJ	PROPN;ACC;FEM;SG
saksamaa	γερμανία	saksa_maa	γερμανία	ADJ	PROPN;ACC;FEM;SG
saksamaa	γερμανια	saksa_maa	γερμανια	ADJ	N;ACC;FEM;SG
detsember	δεκεμβρίου	detsember	δεκέμβριο	N;NOM;SG	N;GEN;MASC;SG
november	νοεμβρίου	november	νόεμβριος	N;NOM;SG	N;GEN;MASC;SG
rooma	ρώμη	rooma	ρώμη	ADJ	PROPN;ACC;FEM;SG
rooma	ρωμη	rooma	ρωμη	ADJ	N;NOM;FEM;SG
rooma	ρώμης	rooma	Ρώμη	ADJ	PROPN;GEN;FEM;SG
teine	δεύτερο	teine	δεύτερος	PRO;NOM;SG	NUM;NOM;NEUT;SG
teine	δεύτερος	teine	δεύτερος	PRO;NOM;SG	NUM;NOM;MASC;SG
teine	δεύτερη	teine	δεύτερος	PRO;NOM;SG	NUM;NOM;FEM;SG
president	πρόεδρος	president	πρόεδρος	N;NOM;SG	N;ACC;MASC;SG
president	πρόεδρε	president	πρόεδρος	N;NOM;SG	N;VOC;MASC;SG
president	πρόεδρο	president	πρόεδρος	N;NOM;SG	N;ACC;MASC;SG
kuningas	κινγκ	kuningas	κινγκ	N;NOM;SG	
kuningas	βασιλιά	kuningas	βασιλιάς	N;NOM;SG	N;ACC;MASC;SG
kuningas	king	kuningas	king	N;NOM;SG	
iga	κάθε	iga	κάθε	PRO;NOM;SG	PRO;ACC;FEM;SG;3
iga	καθε	iga	καθε	PRO;NOM;SG	N
iga	οποιαδήποτε	iga	οποιοσδήποτε	PRO;NOM;SG	PRO;NOM;FEM;SG;3
iga	iga	iga	iga	PRO;NOM;SG	
iga	έκαστος	iga	έκαστος	PRO;NOM;SG	N;NOM;MASC;PL
iga	κάθε	iga	κάθε	PRO;NOM;SG	PRO;ACC;FEM;SG;3
maa	maa	maa	maa	N;NOM;SG	
maa	γή	maa	γή	N;NOM;SG	N;ACC;FEM;SG
maa	ξηρά	maa	ξηρά	N;NOM;SG	N;NOM;NEUT;PL
maa	land	maa	land	N;NOM;SG	
tee	δρόμο	tee	δρόμος	N;NOM;SG	N;ACC;MASC;SG
tee	road	tee	road	N;NOM;SG	
võimalik	πιθανόν	võimalik	πιθανώς	ADJ;NOM;SG	ADV
võimalik	πιθανώς	võimalik	πιθανώς	ADJ;NOM;SG	ADV
võimalik	ενδεχομένως	võimalik	ενδεχομένως	ADJ;NOM;SG	ADV
klubi	club	klubi	club	N;NOM;SG	
klubi	κλάμπ	klubi	κλάμπ	N;NOM;SG	
klubi	κλαμπ	klubi	κλαμπ	N;NOM;SG	
kuigi	μολονότι	kuigi	μολονότι	CONJ	ADV
maailma	world	maa_ilm	world	N;PRT;SG	
maailma	κόσμο	maa_ilm	κόσμος	N;PRT;SG	N;ACC;MASC;SG
maailma	κόσμος	maa_ilm	κόσμος	N;PRT;SG	N;NOM;MASC;SG
jäi	παρέμειναν	jääma	παραμένω	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;PL;3;PST;FIN;ACT
jäi	έμεινα	jääma	μένεινος	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
koduleht	website	kodu_leht	website	N;NOM;SG	
võitis	κέρδισα	võitma	κέρδισα	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
võitis	γουόν	võitma	γουόν	V;IND;SG;3;PST;FIN;ACT	
rohkem	περισσότεροι	rohkem	πολύς	ADV	ADJ;NOM;CMPR;MASC;PL
rohkem	περισσότερες	rohkem	πολύς	ADV	ADJ;NOM;CMPR;FEM;PL
rohkem	περισσότερα	rohkem	πολύς	ADV	ADJ;NOM;CMPR;NEUT;PL
kolm	τρεις	kolm	τρεις	NUM;NOM;SG	NUM;NOM;MASC;PL
kolm	three	kolm	three	NUM;NOM;SG	
kolm	τρία	kolm	τρεις	NUM;NOM;SG	NUM;NOM;NEUT;PL
siiski	ωστόσο	siiski	ωστόσο	ADV	CONJ
seotud	σχετιζόμενη	siduma	σχετιζόμενος	V;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG
seotud	δεμένα	siduma	δεμένα	V;PST;V.PTCP;PASS	ADV
seotud	δεμένο	siduma	δεμένο	V;PST;V.PTCP;PASS	N;NOM;NEUT;SG
seotud	δεμένη	siduma	δεμένω	V;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG
seotud	δεμένος	siduma	δεμένος	V;PST;V.PTCP;PASS	N;NOM;MASC;SG
seotud	σχετική	siduma	σχετικός	V;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG
seotud	σχετικές	siduma	σχετικός	V;PST;V.PTCP;PASS	ADJ;NOM;FEM;PL
seotud	σχετικό	siduma	σχετικός	V;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG
seotud	συνδεδεμένο	siduma	συνδεδεμένος	V;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG
seotud	συνδεδεμένα	siduma	συνδεδεμένος	V;PST;V.PTCP;PASS	ADV
tuleb	έρχομαι	tulema	έρχομαι	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;PASS
tuleb	έρχεται	tulema	έρχομαι	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
tuleb	έρχονται	tulema	έρχομαι	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
tuli	φωτιά	tuli	φωτιό	N;NOM;SG	N;ACC;FEM;SG
tuli	ήρθε	tuli	έρχομαι	N;NOM;SG	V;PFV;IND;SG;3;PST;FIN;PASS
vana	παλαιά	vana	παλιός	ADJ;NOM;SG	ADV
vana	παλιά	vana	παλιός	ADJ;NOM;SG	ADV
vana	γέρος	vana	γέρος	ADJ;NOM;SG	N;NOM;MASC;SG
isa	μπαμπά	isa	μπαμπά	N;NOM;SG	
isa	πατερα	isa	πατέρα	N;NOM;SG	N;VOC;MASC;SG
isa	πατέρα	isa	πατέρα	N;NOM;SG	N;ACC;MASC;SG
isa	πάτερ	isa	πάτερ	N;NOM;SG	N;VOC;MASC;SG
ida	ανατολική	ida	ανατολικός	N;NOM;SG	ADJ;NOM;FEM;SG
ida	ανατολικά	ida	ανατολικά	N;NOM;SG	ADV
ida	ανατολικό	ida	ανατολικός	N;NOM;SG	ADJ;NOM;NEUT;SG
ida	ανατολικές	ida	ανατολικός	N;NOM;SG	ADJ;NOM;FEM;PL
ida	ανατολική	ida	ανατολικός	N;NOM;SG	ADJ;NOM;FEM;SG
ida	ανατολικά	ida	ανατολικά	N;NOM;SG	ADV
ida	ανατολικό	ida	ανατολικός	N;NOM;SG	ADJ;NOM;NEUT;SG
ida	ιστ	ida	ιστ	N;NOM;SG	NUM;NOM;MASC;SG
ida	ida	ida	ida	N;NOM;SG	
mõisa	κτήμα	mõis	κτήμα	N;PRT;SG	N;NOM;NEUT;SG
mõisa	περιουσία	mõis	περιουσία	N;PRT;SG	N;ACC;FEM;SG
keel	γλωσσα	keel	γλωσσα	N;NOM;SG	N;ACC;FEM;SG
suure	μεγάλα	suur	μεγάλος	ADJ;GEN;SG	ADJ;NOM;NEUT;PL
suure	μεγάλο	suur	μεγάλος	ADJ;GEN;SG	ADJ;NOM;NEUT;SG
suure	μεγάλη	suur	μεγάλος	ADJ;GEN;SG	ADJ;NOM;FEM;SG
suure	μεγάλα	suur	μεγάλος	ADJ;GEN;SG	ADJ;NOM;NEUT;PL
suure	μεγάλος	suur	μεγάλος	ADJ;GEN;SG	ADJ;NOM;MASC;SG
suure	μεγάλο	suur	μεγάλος	ADJ;GEN;SG	ADJ;NOM;NEUT;SG
suure	τέλεια	suur	τέλεια	ADJ;GEN;SG	ADJ;NOM;FEM;SG
suure	υπέροχα	suur	υπέροχος	ADJ;GEN;SG	ADV
sama	ιδια	sama	ιδιος	PRO;NOM;SG	ADV
sama	ίδια	sama	ίδιος	PRO;NOM;SG	ADJ;NOM;FEM;SG
sama	ίδιο	sama	ίδιος	PRO;NOM;SG	ADJ;NOM;NEUT;SG
sama	ίδιοι	sama	ίδιος	PRO;NOM;SG	ADJ;NOM;MASC;PL
prantsusmaa	γαλλία	prantsus_maa	γαλλία	N;NOM;SG	PROPN;ACC;FEM;SG
elu	life	elu	life	N;NOM;SG	
elu	ζωή	elu	ζωή	N;NOM;SG	N;ACC;FEM;SG
elu	ζωη	elu	ζωη	N;NOM;SG	N;ACC;FEM;SG
läti	λεττονία	läti	λεττονία	ADJ	PROPN;ACC;FEM;SG
läti	λετονία	läti	λετονία	ADJ	PROPN;ACC;FEM;SG
läti	λετονίας	läti	λετονία	ADJ	PROPN;GEN;FEM;SG
taani	δανία	taani	δανία	ADJ	PROPN;ACC;FEM;SG
taani	δανοί	taani	δανός	ADJ	PROPN;NOM;MASC;PL
taani	δανικά	taani	δανικά	ADJ	ADV
poeg	γιε	poeg	για	N;NOM;SG	
väike	μικρές	väike	μικρός	ADJ;NOM;SG	ADJ;NOM;FEM;PL
väike	μικρά	väike	μικρός	ADJ;NOM;SG	ADV
väike	little	väike	little	ADJ;NOM;SG	
kuulus	διάσημη	kuuluma	διάσημος	N;NOM;SG	ADJ;NOM;FEM;SG
kuulus	διάσημοι	kuuluma	διάσημος	N;NOM;SG	N;NOM;MASC;PL
