propaganda	propagande	propaganda	propagande	PROPN	N;FEM;SG
republikanischen	républicain	republikanisch	républicain	ADJ;NOM;MASC;PL	ADJ;MASC;SG
bestätigen	confirmation	bestätigen	confirmation	V;NFIN	N;FEM;SG
scharf	tranchant	scharf	tranchant	ADJ	V;PRS;V.PTCP
scharf	sharp	scharf	sharp	ADJ	PROPN
scharf	piquant	scharf	piquer	ADJ	V;PRS;V.PTCP
scharf	épicée	scharf	épicé	ADJ	V;FEM;SG;PST;V.PTCP
scharf	épicé	scharf	épicer	ADJ	V;MASC;SG;PST;V.PTCP
frisch	fraîcheur	frisch	fraîcheur	ADJ	N;FEM;SG
frisch	fraîchement	frisch	fraîchement	ADJ	ADV
frisch	frisch	frisch	frisch	ADJ	PROPN
kelly	kelly	kelly	kelly	PROPN;NOM;SG	PROPN
alabama	alabama	alabama	alabama	PROPN;NOM;NEUT;SG	PROPN
loire	loire	loire	loire	PROPN;NOM;SG	N;FEM;SG
audio	acoustique	audio	acoustique		ADJ;MASC;SG
audio	audio	audio	audio		N;MASC;SG
kurfürsten	électeur	kurfürst	électeur	N;PL	N;MASC;SG
kette	chaines	kett	chaine	N;NOM;FEM;SG	N;FEM;PL
kette	chaînes	kett	chaîne	N;NOM;FEM;SG	N;FEM;PL
kette	enchaîner	kett	enchaîner	N;NOM;FEM;SG	V;NFIN
moderner	modernité	modern	modernité	ADJ	N;FEM;SG
herrenhaus	manoir	herrenhaus	manoir	ADJ	N;MASC;SG
herrenhaus	manor	herrenhaus	manor	ADJ	PROPN
schicht	maj	schechen	maj	ADJ	N;FEM;SG
schicht	couche	schechen	couche	ADJ	N;FEM;SG
schicht	calque	schechen	calque	ADJ	N;MASC;SG
schicht	strate	schechen	strate	ADJ	N;FEM;SG
schicht	strates	schechen	strate	ADJ	N;FEM;PL
justiz	justice	justiz	justice		N;FEM;SG
justiz	judiciaire	justiz	judiciaire		ADJ;MASC;SG
justiz	judiciaire	justiz	judiciaire		ADJ;MASC;SG
justiz	magistrature	justiz	magistrature		N;FEM;SG
alberto	alberto	alberto	alberto	PROPN;NOM;SG	PROPN
offizieller	fonctionnaire	offiziell	fonctionnaire	ADJ	N;MASC;SG
bewaffneten	armé	bewaffnet	armer	V;IND;PL;3;PST;FIN	V;MASC;SG;PST;V.PTCP
mittelmeer	atlantique	mittelmeer	atlantique		ADJ;MASC;SG
mittelmeer	méditerranéen	mittelmeer	méditerranéen		ADJ;MASC;SG
mittelmeer	méditerranéenne	mittelmeer	méditerranéen		ADJ;FEM;SG
mittelmeer	méditerranée	mittelmeer	méditerranée		N;FEM;SG
faktor	facteur	faktor	facteur	ADJ	N;MASC;SG
faktor	factor	faktor	factor	ADJ	PROPN
ermordung	assassiner	ermordung	assassiner		V;NFIN
ermordung	meurtre	ermordung	meurtre		N;MASC;SG
ermordung	assassinat	ermordung	assassinat		N;MASC;SG
ermordung	meurtres	ermordung	meurtre		N;MASC;PL
ermordung	assassinats	ermordung	assassinat		N;MASC;PL
ermordung	assassiner	ermordung	assassiner		V;NFIN
ermordung	assassinat	ermordung	assassinat		N;MASC;SG
connecticut	connecticut	connecticut	connecticut	PROPN	PROPN
persönlichkeit	personnalités	persönlichkeit	personnalité	ADJ	N;FEM;PL
persönlichkeit	personnalité	persönlichkeit	personnalité	ADJ	N;FEM;SG
etablierte	établies	etablieren	établir	V;IND;SG;3;PST;FIN	V;FEM;PL;PST;V.PTCP
etablierte	établis	etablieren	établir	V;IND;SG;3;PST;FIN	V;MASC;PL;PST;V.PTCP
kaliningrad	kaliningrad	kaliningrad	kaliningrad	PROPN	PROPN
zusatz	addition	zusatz	addition		N;FEM;SG
zusatz	ajout	zusatz	ajout		N;MASC;SG
zusatz	addendum	zusatz	addendum		N;MASC;SG
zusatz	additif	zusatz	additif		N;MASC;SG
zusatz	additif	zusatz	additif		N;MASC;SG
guido	guido	guido	guido	PROPN;NOM;MASC;SG	PROPN
gefangenen	prisonnière	gefangen	prisonnier	V;IND;PL;3;FIN	ADJ;FEM;SG
gefangenen	prisonnier	gefangen	prisonnier	V;IND;PL;3;FIN	N;MASC;SG
gefangenen	détenu	gefangen	détenir	V;IND;PL;3;FIN	V;MASC;SG;PST;V.PTCP
gefangenen	captif	gefangen	captif	V;IND;PL;3;FIN	ADJ;MASC;SG
gefangenen	captive	gefangen	captif	V;IND;PL;3;FIN	ADJ;FEM;SG
gefangenen	captifs	gefangen	captif	V;IND;PL;3;FIN	ADJ;MASC;PL
gefangenen	captives	gefangen	captif	V;IND;PL;3;FIN	ADJ;FEM;PL
gefangenen	prisonnières	gefangen	prisonnier	V;IND;PL;3;FIN	ADJ;FEM;PL
gefangenen	prisonniers	gefangen	prisonnier	V;IND;PL;3;FIN	N;MASC;PL
sank	coulés	sinken	coulé	V;IND;SG;3;PST;FIN	V;MASC;PL;PST;V.PTCP
leutnant	lieutenant	leutnant	lieutenant	ADJ	N;MASC;SG
lateinische	latine	lateinisch	latin	ADJ;NOM;FEM;PL	ADJ;FEM;SG
lateinische	latin	lateinisch	latin	ADJ;NOM;FEM;PL	N;MASC;SG
xvi	xvi	xvi	xvi	PROPN;NOM;MASC;SG	NUM
xvi	xvie	xvi	xvie	PROPN;NOM;MASC;SG	N;MASC;SG
abbau	démanteler	Abbau	démanteler	N	V;NFIN
vietnam	vietnam	vietnam	vietnam	PROPN	N;MASC;SG
vietnam	viêtnam	vietnam	viêtnam	PROPN	N;MASC;SG
strategie	stratégies	strategie	stratégie	N;SG	N;FEM;PL
uruguay	uruguay	uruguay	uruguay	PROPN;NOM;MASC;SG	PROPN
gruyter	gruyter	gruyt	gruyter		PROPN
liechtenstein	liechtenstein	liechtenstein	liechtenstein	PROPN;NOM;NEUT;SG	N;MASC;SG
liechtenstein	lichtenstein	liechtenstein	lichtenstein	PROPN;NOM;NEUT;SG	ADJ;MASC;SG
holocaust	holocauste	holocaust	holocauste	PROPN;NOM;SG	ADJ;MASC;SG
siegel	phoque	siegel	phoque		N;MASC;SG
siegel	sceaux	siegel	sceau		N;MASC;PL
siegel	scellés	siegel	sceller		V;MASC;PL;PST;V.PTCP
siegel	phoques	siegel	phoque		N;MASC;PL
siegel	joints	siegel	joint		N;MASC;PL
siegel	siegel	siegel	siegel		PROPN
siegel	phoque	siegel	phoque		N;MASC;SG
siegel	sceau	siegel	sceau		N;MASC;SG
siegel	phoques	siegel	phoque		N;MASC;PL
quer	transversal	quer	transversal	ADV	ADJ;MASC;SG
quer	transversale	quer	transversal	ADV	ADJ;FEM;SG
quer	transversaux	quer	transversal	ADV	ADJ;MASC;PL
quer	transversales	quer	transversal	ADV	ADJ;FEM;PL
fragt	demandé	fragen	demander	V;IND;SG;3;PRS;FIN	V;MASC;SG;PST;V.PTCP
ausscheiden	résignation	ausscheiden	résignation	V;NFIN	N;FEM;SG
ausscheiden	démission	ausscheiden	démission	V;NFIN	N;FEM;SG
hamm	gam	hamm	gam	PROPN;NOM;MASC;SG	
hamm	hamm	hamm	hamm	PROPN;NOM;MASC;SG	PROPN
auschwitz	auschwitz	auschwitz	auschwitz	PROPN	PROPN
zeitgenössische	contemporain	zeitgenössisch	contemporain	ADJ;NOM;FEM;PL	ADJ;MASC;SG
zeitgenössische	contemporaine	zeitgenössisch	contemporain	ADJ;NOM;FEM;PL	ADJ;FEM;SG
planungen	planification	planung	planification	V;NFIN	N;FEM;SG
planungen	plans	planung	plan	V;NFIN	N;MASC;PL
beendigung	cessation	beendigung	cessation	ADV	N;FEM;SG
beendigung	résiliation	beendigung	résiliation	ADV	N;FEM;SG
beendigung	terminaison	beendigung	terminaison	ADV	N;FEM;SG
beendigung	licenciement	beendigung	licenciement	ADV	N;MASC;SG
detroit	détroit	detroit	détroit	PROPN;NOM;MASC;SG	N;MASC;SG
detroit	detroit	detroit	detroit	PROPN;NOM;MASC;SG	PROPN
emma	emma	emma	emma	PROPN;NOM;SG	N;FEM;SG
publikation	publications	publikation	publication	N;NOM;FEM;SG	N;FEM;PL
stoff	tissu	stoff	tissu		N;MASC;SG
stoff	substance	stoff	substance		N;FEM;SG
stoff	tissu	stoff	tissu		N;MASC;SG
stoff	tissus	stoff	tissu		N;MASC;PL
fremden	étranger	fremd	étranger	ADJ	N;MASC;SG
fremden	etranger	fremd	etranger	ADJ	N;MASC;SG
ernsthaft	sérieusement	ernsthaft	sérieusement	ADJ	ADV
gelben	jaunes	gelb	jaune		ADJ;MASC;PL
gelben	jaune	gelb	jaune		ADJ;MASC;SG
krankheiten	maladie	krankheit	maladie	V;NFIN	N;FEM;SG
krankheiten	maladies	krankheit	maladie	V;NFIN	N;FEM;PL
krankheiten	affections	krankheit	affection	V;NFIN	N;FEM;PL
krankheiten	troubles	krankheit	trouble	V;NFIN	ADJ;MASC;PL
krankheiten	maladie	krankheit	maladie	V;NFIN	N;FEM;SG
zentimetern	centimètres	zentimetern	centimètre	ADJ	N;MASC;PL
bukarest	bucarest	bukarest	bucarest	PROPN;NOM;NEUT;SG	PROPN
mans	mans	mans	mans	PROPN;NOM;MASC;SG	N;MASC;SG
denkmäler	monuments	denkmäl	monument	ADJ	N;MASC;PL
maine	maine	mainen	maine	PROPN;NOM;SG	N;MASC;SG
rief	appelés	rufen	appeler	V;IND;SG;3;PST;FIN	V;MASC;PL;PST;V.PTCP
rief	pleurait	rufen	pleurer	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
entlassung	licenciements	entlassung	licenciement	N;NOM;FEM;SG	N;MASC;PL
entlassung	redondant	entlassung	redonder	N;NOM;FEM;SG	ADJ;MASC;SG
entlassung	redondances	entlassung	redondance	N;NOM;FEM;SG	N;FEM;PL
kongo	congolais	kongo	congolais	PROPN;NOM;MASC;SG	ADJ;MASC;SG
kongo	congo	kongo	congo	PROPN;NOM;MASC;SG	N;MASC;SG
stämme	tribus	stammen	tribu		N;FEM;PL
stämme	souches	stammen	souche		N;FEM;PL
siebten	seventh	siebt	seventh	ADJ;NOM;MASC;SG	N;MASC;SG
musikern	musiciens	musikern	musicien	V;NFIN	N;MASC;PL
grob	grossièrement	grob	grossièrement	ADJ	ADV
dialekt	dialecte	dialekt	dialecte	ADJ	N;MASC;SG
dialekt	dialecte	dialekt	dialecte	ADJ	N;MASC;SG
dialekt	dialectes	dialekt	dialecte	ADJ	N;MASC;PL
philologie	philologie	philologie	philologie	PROPN;NOM;SG	N;FEM;SG
hofmann	hofmann	hofmann	hofmann	PROPN;NOM;MASC;SG	PROPN
südkorea	taiwan	südkorea	taiwan	PROPN;NOM;MASC;SG	PROPN
südkorea	taïwan	südkorea	taïwan	PROPN;NOM;MASC;SG	PROPN
südkorea	corée	südkorea	corée	PROPN;NOM;MASC;SG	PROPN
südkorea	coréenne	südkorea	coréen	PROPN;NOM;MASC;SG	ADJ;FEM;SG
südkorea	séoul	südkorea	séoul	PROPN;NOM;MASC;SG	PROPN
beachtung	attention	beachtung	attention		N;FEM;SG
beachtung	observance	beachtung	observance		N;FEM;SG
grimm	grimm	greimen	grimm		PROPN
merkmal	fonctionnalité	merkmal	fonctionnalité	ADJ	N;FEM;SG
merkmal	trait	merkmal	trait	ADJ	N;MASC;SG
anr	anr	anr	anr	PROPN;NOM;SG	PROPN
orthodoxen	orthodoxie	orthodox	orthodoxie	ADJ	N;FEM;SG
orthodoxen	orthodoxie	orthodox	orthodoxie	ADJ	N;FEM;SG
epoche	ères	epoch	ères	N;SG	N;FEM;PL
epoche	époques	epoch	époque	N;SG	N;FEM;PL
engineering	ingénierie	engineering	ingénierie	PROPN	N;FEM;SG
engineering	génie	engineering	génie	PROPN	N;MASC;SG
rechnung	compte	rechnung	compte	PROPN;SG	N;MASC;SG
rechnung	facturation	rechnung	facturation	PROPN;SG	N;FEM;SG
rechnung	factures	rechnung	facture	PROPN;SG	N;FEM;PL
rechnung	bill	rechnung	bill	PROPN;SG	PROPN
rechnung	facture	rechnung	facture	PROPN;SG	N;FEM;SG
rechnung	facturer	rechnung	facturer	PROPN;SG	V;NFIN
rechnung	facture	rechnung	facture	PROPN;SG	N;FEM;SG
rechnung	facturation	rechnung	facturation	PROPN;SG	N;FEM;SG
browser	navigateurs	brows	navigateur	ADJ	N;MASC;PL
browser	navigateur	brows	navigateur	ADJ	N;MASC;SG
konsul	consul	konsul	consul		N;MASC;SG
stab	poignarder	stab	poignarder		V;NFIN
stab	poignarde	stab	poignarde		V;IND;SG;3;PRS;FIN
stab	baguette	stab	baguette		N;FEM;SG
stab	rod	stab	rod		PROPN
stab	canne	stab	canne		N;FEM;SG
stab	tige	stab	tige		N;FEM;SG
draft	brouillons	drafen	brouillon	PROPN;NOM;SG	N;MASC;PL
draft	draft	drafen	draft	PROPN;NOM;SG	PROPN
draft	brouillon	drafen	brouillon	PROPN;NOM;SG	ADJ;MASC;SG
benannten	désignée	benennen	désigner	V;PL;FIN	V;FEM;SG;PST;V.PTCP
benannten	désigné	benennen	désigner	V;PL;FIN	V;MASC;SG;PST;V.PTCP
wertung	marquer	wertung	marquer	N;FEM;SG	V;NFIN
vorschriften	réglementation	vorschreifen	réglementation	V;NFIN	N;FEM;SG
vorschriften	règlements	vorschreifen	règlement	V;NFIN	N;MASC;PL
vorschriften	règlementation	vorschreifen	règlementation	V;NFIN	N;FEM;SG
vorschriften	réglementations	vorschreifen	réglementation	V;NFIN	N;FEM;PL
vorschriften	règlement	vorschreifen	règlement	V;NFIN	N;MASC;SG
vorschriften	règles	vorschreifen	règle	V;NFIN	N;FEM;PL
vorschriften	regles	vorschreifen	regle	V;NFIN	N;FEM;PL
vorschriften	exigences	vorschreifen	exigence	V;NFIN	N;FEM;PL
vorschriften	prescriptions	vorschreifen	prescription	V;NFIN	N;FEM;PL
vorschriften	spécifications	vorschreifen	spécification	V;NFIN	N;FEM;PL
vorschriften	dispositions	vorschreifen	disposition	V;NFIN	N;FEM;PL
vorschriften	provisions	vorschreifen	provision	V;NFIN	N;FEM;PL
eintracht	eintracht	eintrachen	eintracht	PROPN	N;MASC;SG
eintracht	harmonie	eintrachen	harmonie	PROPN	N;FEM;SG
eintracht	harmony	eintrachen	harmony	PROPN	PROPN
eintragen	registre	eintragen	registre	V;NFIN	N;MASC;SG
rad	roue	raden	roue		N;FEM;SG
rad	roues	raden	roue		N;FEM;PL
rad	rad	raden	rad		
götter	dieux	gott	dieu		N;MASC;PL
vfb	vfb	vfb	vfb	PROPN;NOM;MASC;SG	N;MASC;SG
lass	lass	laß	lass	V;IND;SG;2;PRS;FIN	
lass	let	laß	let	V;IND;SG;2;PRS;FIN	
harz	harz	harz	harz		N;MASC;SG
harz	résines	harz	résine		N;FEM;PL
harz	résine	harz	résine		N;FEM;SG
lars	lars	lars	lars	PROPN;NOM;MASC;SG	PROPN
lucas	lucas	lucas	lucas	PROPN;NOM;MASC;SG	PROPN
südtirol	südtirol	südtirol	südtirol	PROPN	PROPN
schiedsrichter	arbitre	schiedsrichter	arbitre	ADJ	N;MASC;SG
schiedsrichter	arbitres	schiedsrichter	arbitre	ADJ	N;MASC;PL
schiedsrichter	arbitrer	schiedsrichter	arbitrer	ADJ	V;NFIN
schiedsrichter	arbitre	schiedsrichter	arbitre	ADJ	N;MASC;SG
schiedsrichter	réf	schiedsrichter	réf	ADJ	
schiedsrichter	ref	schiedsrichter	ref	ADJ	N;FEM;SG
schiedsrichter	arbitre	schiedsrichter	arbitre	ADJ	N;MASC;SG
schiedsrichter	arbitre	schiedsrichter	arbitre	ADJ	N;MASC;SG
schiedsrichter	arbitres	schiedsrichter	arbitre	ADJ	N;MASC;PL
bestimmungen	réglementation	bestimmung	réglementation	V;NFIN	N;FEM;SG
bestimmungen	règlements	bestimmung	règlement	V;NFIN	N;MASC;PL
bestimmungen	règlementation	bestimmung	règlementation	V;NFIN	N;FEM;SG
bestimmungen	réglementations	bestimmung	réglementation	V;NFIN	N;FEM;PL
bestimmungen	règlement	bestimmung	règlement	V;NFIN	N;MASC;SG
bestimmungen	stipulations	bestimmung	stipulation	V;NFIN	N;FEM;PL
bestimmungen	dispositions	bestimmung	disposition	V;NFIN	N;FEM;PL
bestimmungen	provisions	bestimmung	provision	V;NFIN	N;FEM;PL
mauern	paroi	mauern	paroi	V;NFIN	N;FEM;SG
mauern	muraille	mauern	muraille	V;NFIN	N;FEM;SG
mauern	mur	mauern	mur	V;NFIN	N;MASC;SG
mauern	murs	mauern	mur	V;NFIN	N;MASC;PL
three	trois	threen	trois	PROPN	NUM
three	three	threen	three	PROPN	PROPN
gefangenschaft	prisonnier	gefangenschaft	prisonnier	ADJ	N;MASC;SG
gefangenschaft	détenu	gefangenschaft	détenir	ADJ	V;MASC;SG;PST;V.PTCP
gefangenschaft	incarcération	gefangenschaft	incarcération	ADJ	N;FEM;SG
gefangenschaft	emprisonnement	gefangenschaft	emprisonnement	ADJ	N;MASC;SG
gefangenschaft	détention	gefangenschaft	détention	ADJ	N;FEM;SG
gefangenschaft	rétention	gefangenschaft	rétention	ADJ	N;FEM;SG
gefangenschaft	captivité	gefangenschaft	captivité	ADJ	N;FEM;SG
henning	henning	hennengen	henning	PROPN;NOM;MASC;SG	PROPN
comics	comics	comic	comics	PROPN	N;MASC;SG
comics	bd	comic	bde	PROPN	N;FEM;SG
comics	comic	comic	comic	PROPN	N;MASC;SG
comics	comique	comic	comique	PROPN	N;MASC;SG
sainte	sainte	sainen	saint	PROPN;NOM;SG	ADJ;FEM;SG
moon	lunaire	moon	lunaire	PROPN;NOM;SG	ADJ;MASC;SG
moon	lune	moon	lune	PROPN;NOM;SG	N;FEM;SG
moon	moon	moon	moon	PROPN;NOM;SG	PROPN
wem	qui	wer	qui	ADV	PRO
wem	oms	wer	om	ADV	N;MASC;SG
wem	who	wer	who	ADV	PROPN
teufel	hell	teufel	hell		PROPN
teufel	enfer	teufel	enfer		N;MASC;SG
teufel	démon	teufel	démon		N;MASC;SG
teufel	devil	teufel	devil		PROPN
teufel	diable	teufel	diable		N;MASC;SG
teufel	satan	teufel	satan		PROPN
teufel	démons	teufel	démon		N;MASC;PL
teufel	diables	teufel	diable		N;MASC;PL
leinwand	canevas	leinwand	canevas		N;MASC;SG
leinwand	canvas	leinwand	canvas		N;MASC;SG
leinwand	toile	leinwand	toile		N;FEM;SG
leinwand	toiles	leinwand	toile		N;FEM;PL
leinwand	screen	leinwand	screen		N;MASC;SG
leinwand	ecran	leinwand	ecran		N;MASC;SG
leinwand	écran	leinwand	écran		N;MASC;SG
rugby	rugby	rugby	rugby	PROPN	N;MASC;SG
vorhaben	projet	vorhaben	projet		N;MASC;SG
vorhaben	projets	vorhaben	projet		N;MASC;PL
riga	riga	riga	riga	PROPN;NOM;SG	PROPN
kameramann	cameraman	kameramann	cameraman	ADJ	N;MASC;SG
kameramann	caméraman	kameramann	caméraman	ADJ	N;MASC;SG
funktionieren	fonctionnement	funktionieren	fonctionnement	V;NFIN	N;MASC;SG
vorn	front	vorn	front	ADV	N;MASC;SG
vorn	avant	vorn	avant	ADV	ADP
vorn	devant	vorn	devant	ADV	ADP
hansestadt	hanséatique	hansestadt	hanséatique	PROPN;NOM;SG	ADJ;MASC;SG
madonna	madone	madonna	madone	PROPN;NOM;SG	N;FEM;SG
madonna	madonna	madonna	madonna	PROPN;NOM;SG	PROPN
roberto	roberto	roberto	roberto	PROPN	N;MASC;SG
bedeutend	significativement	bedeutend	significativement	ADJ	ADV
bedeutend	sensiblement	bedeutend	sensiblement	ADJ	ADV
wohnen	vivante	wohnen	vivant	V;NFIN	ADJ;FEM;SG
wohnen	vivants	wohnen	vivant	V;NFIN	ADJ;MASC;PL
wohnen	live	wohnen	live	V;NFIN	PROPN
vorfahren	ancêtres	vorfahren	ancêtre		N;MASC;PL
vorfahren	ancestrale	vorfahren	ancestral		ADJ;FEM;SG
vorfahren	ancestral	vorfahren	ancestral		ADJ;MASC;SG
vorfahren	ancestrales	vorfahren	ancestral		ADJ;FEM;PL
vorfahren	ancestraux	vorfahren	ancestral		ADJ;MASC;PL
vorfahren	ancêtre	vorfahren	ancêtre		N;MASC;SG
level	niveau	level	niveau		N;MASC;SG
ressourcen	ressource	ressourc	ressource	V;NFIN	N;FEM;SG
ressourcen	ressources	ressourc	ressource	V;NFIN	N;FEM;PL
laura	laura	laura	laurer	PROPN;NOM;SG	PROPN
laura	laure	laura	laure	PROPN;NOM;SG	PROPN
zeichnen	tirage	zeichnen	tirage	V;NFIN	N;MASC;SG
zeichnen	dessin	zeichnen	dessin	V;NFIN	N;MASC;SG
zeichnen	tirage	zeichnen	tirage	V;NFIN	N;MASC;SG
essays	essais	essays	essai		N;MASC;PL
bürgerschaft	nationalité	bürgerschaft	nationalité	ADJ	N;FEM;SG
bürgerschaft	citoyenneté	bürgerschaft	citoyenneté	ADJ	N;FEM;SG
vorträge	conférences	vortragen	conférence	ADJ;NOM;PL	N;FEM;PL
vorträge	discours	vortragen	discours	ADJ;NOM;PL	N;MASC;SG
vorträge	allocutions	vortragen	allocution	ADJ;NOM;PL	N;FEM;PL
vorträge	interventions	vortragen	intervention	ADJ;NOM;PL	N;FEM;PL
vorträge	conférences	vortragen	conférence	ADJ;NOM;PL	N;FEM;PL
vorträge	colloques	vortragen	colloque	ADJ;NOM;PL	N;MASC;PL
vorträge	présentations	vortragen	présentation	ADJ;NOM;PL	N;FEM;PL
vorträge	exposés	vortragen	exposer	ADJ;NOM;PL	V;MASC;PL;PST;V.PTCP
vorträge	pourparlers	vortragen	pourparler	ADJ;NOM;PL	N;MASC;PL
vorträge	conférence	vortragen	conférence	ADJ;NOM;PL	N;FEM;SG
haushalten	ménages	haushalten	ménage	V;NFIN	N;MASC;PL
marianne	marianne	marianne	marianne	N;NOM;FEM;SG	ADJ;FEM;SG
wilde	wild	wilden	wild		PROPN
wilde	sauvage	wilden	sauvage		ADJ;MASC;SG
wilde	sauvages	wilden	sauvage		ADJ;MASC;PL
wilde	sauvages	wilden	sauvage		ADJ;MASC;PL
wilde	wilde	wilden	wilde		PROPN
wilde	sauvage	wilden	sauvage		ADJ;MASC;SG
wilde	savage	wilden	savage		N;MASC;SG
mathias	mathias	mathias	mathias	PROPN;NOM;MASC;SG	PROPN
österreichisch	austro	österreichisch	austro	ADJ	PROPN
mont	mont	mont	mont	PROPN;NOM;SG	N;MASC;SG
rumpf	hull	rumpf	hull	ADJ	PROPN
rumpf	coque	rumpf	coque	ADJ	N;FEM;SG
rumpf	coques	rumpf	coque	ADJ	N;FEM;PL
rumpf	torse	rumpf	torse	ADJ	N;MASC;SG
rumpf	fuselage	rumpf	fuselage	ADJ	N;MASC;SG
rumpf	malle	rumpf	malle	ADJ	N;FEM;SG
rumpf	tronc	rumpf	tronc	ADJ	N;MASC;SG
rumpf	coffre	rumpf	coffre	ADJ	N;MASC;SG
anfangen	début	anfangen	début	V;NFIN	N;MASC;SG
arabische	arabe	arabisch	arabe	ADJ;NOM;FEM;PL	ADJ;MASC;SG
arabische	arabe	arabisch	arabe	ADJ;NOM;FEM;PL	ADJ;MASC;SG
arabische	arabe	arabisch	arabe	ADJ;NOM;FEM;PL	ADJ;MASC;SG
lyrik	lyrique	lyrik	lyrique		ADJ;MASC;SG
lyrik	poésie	lyrik	poésie		N;FEM;SG
lyrik	paroles	lyrik	parole		N;FEM;PL
lyrik	lyrique	lyrik	lyrique		ADJ;MASC;SG
wahlbezirk	circonscription	wahlbezirk	circonscription		N;FEM;SG
belgrad	belgrade	belgrad	belgrade	PROPN;NOM;SG	PROPN
gesellschaftliche	sociétal	gesellschaftlich	sociétal	ADJ;NOM;FEM;PL	ADJ;MASC;SG
maryland	maryland	maryland	maryland	PROPN;NOM;MASC;SG	PROPN
abhängigkeit	dépendance	abhängigkeit	dépendance	V;SG;FIN	N;FEM;SG
abhängigkeit	dépendances	abhängigkeit	dépendance	V;SG;FIN	N;FEM;PL
abhängigkeit	toxicomanie	abhängigkeit	toxicomanie	V;SG;FIN	N;FEM;SG
abhängigkeit	addiction	abhängigkeit	addiction	V;SG;FIN	N;FEM;SG
abhängigkeit	dépendance	abhängigkeit	dépendance	V;SG;FIN	N;FEM;SG
