godine	årevis	godina	årevis	N;GEN;FEM;SG	ADV
dana	dag	dan	dag	N;GEN;MASC;PL	N;INDF;MASC;SG
dana	dagen	dan	dag	N;GEN;MASC;PL	N;DEF;MASC;SG
dana	day	dan	day	N;GEN;MASC;PL	N;INDF;SG
stoljeća	århundre	stoljeće	århundre	N;NOM;NEUT;PL	N;INDF;NEUT;SG
drugi	sekund	drugi	sekund	ADJ;NOM;MASC;SG	N;INDF;NEUT;SG
drugi	andre	drugi	annan	ADJ;NOM;MASC;SG	DET;PL
drugi	second	drugi	second	ADJ;NOM;MASC;SG	N
drugi	andre	drugi	annan	ADJ;NOM;MASC;SG	DET;PL
drugi	annet	drugi	annet	ADJ;NOM;MASC;SG	N;INDF;NEUT;SG
drugi	annen	drugi	annen	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
drugi	andre	drugi	annan	ADJ;NOM;MASC;SG	DET;PL
hrvatska	kroatia	hrvatski	kroati	ADJ;NOM;DEF;FEM;SG	N;DEF;NEUT;PL
mogu	can	moći	cann	V;IND;PL;3;PRS;FIN	N
iako	selvom	iako	selvom	CONJ	N;INDF;MASC;SG
iako	skjønt	iako	skjøne	CONJ	ADJ;INDF;NEUT;SG;V.PTCP
iako	though	iako	though	CONJ	N
sam	sam	sam	sam	ADJ;NOM;INDF;MASC;SG	N;INDF;MASC;SG
ngc	ngc	ngc	ngc	PROPN;NOM;MASC;SG	N
bez	without	bez	without	ADP;GEN	N;INDF;NEUT;SG
bez	uten	bez	uten	ADP;GEN	N;INDF;NEUT;SG
vrlo	svært	vrlo	svær	ADV	ADJ;INDF;NEUT;SG
vrlo	very	vrlo	very	ADV	
vrlo	meget	vrlo	meget	ADV	N;DEF;NEUT;SG
vrlo	veldig	vrlo	veldig	ADV	ADJ;INDF;NEUT;SG
kad	when	kad	when	ADV	
novi	ny	nov	ny	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;SG
novi	nyhet	nov	nyh	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
novi	nye	nov	ny	ADJ;NOM;DEF;MASC;SG	ADJ;PL
novi	new	nov	new	ADJ;NOM;DEF;MASC;SG	N;INDF;SG
novi	nytt	nov	ny	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;NEUT;SG
novi	novi	nov	novi	ADJ;NOM;DEF;MASC;SG	N
kroz	through	kroz	through	ADP;ACC	
ljudi	mannfolk	čovjek	mannfolk	N;NOM;MASC;PL	N;INDF;NEUT;SG
ljudi	mennesker	čovjek	menneske	N;NOM;MASC;PL	N;INDF;MASC;SG
sad	now	sad	now	ADV	N;INDF;MASC;SG
bih	bih	biti	bih	V;COND;SG;1;PST;FIN	N;INDF;MASC;SG
strane	sides	strana	side	N;NOM;FEM;PL	N;INDF;MASC;SG
pri	pri	pri	pri	ADP;ESS	N;INDF;MASC;SG
preko	overstått	preko	overstå	ADP;GEN	ADJ;INDF;SG;V.PTCP
preko	bortom	preko	bortom	ADP;GEN	N;INDF;MASC;SG
često	ofte	često	ofte	ADV	ADJ
često	ofte	često	ofte	ADV	ADJ
postao	ble	postati	ble	V;MASC;SG;PST;V.PTCP;ACT	
jedna	one	jedan	one	NUM;NOM;FEM;SG	
jedna	en	jedan	en	NUM;NOM;FEM;SG	
jedna	ett	jedan	ett	NUM;NOM;FEM;SG	
jedna	én	jedan	én	NUM;NOM;FEM;SG	
ožujka	marsjere	ožujak	marsjere	N;GEN;MASC;SG	V;NFIN
veliki	big	velik	big	ADJ;NOM;DEF;MASC;SG	N;INDF;SG
veliki	store	velik	stor	ADJ;NOM;DEF;MASC;SG	ADJ;PL
veliki	stor	velik	stor	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;SG
veliki	stort	velik	stor	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;NEUT;SG
njegov	hans	njegov	hans	DET;NOM;MASC;SG;3	PRO;NEUT;SG
njegov	sin	njegov	sin	DET;NOM;MASC;SG;3	PRO;MASC;SG
smrti	døden	smrt	død	N;NOM;FEM;PL	N;DEF;MASC;SG
smrti	død	smrt	død	N;NOM;FEM;PL	N;INDF;MASC;SG
smrti	dødsstraff	smrt	dødsstraff	N;NOM;FEM;PL	N;INDF;FEM;SG
smrti	dødsfall	smrt	dødsfall	N;NOM;FEM;PL	N;INDF;NEUT;SG
radi	funker	raditi	funker	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
puta	tidspunkter	put	tidspunkt	ADV	N;INDF;FEM;PL
puta	tider	put	tid	ADV	N;INDF;FEM;PL
puta	tidene	put	tid	ADV	N;DEF;FEM;PL
puta	ganger	put	gange	ADV	N;INDF;MASC;PL
puta	times	put	time	ADV	N;GEN;INDF;MASC;SG
njegova	hans	njegov	hans	DET;NOM;FEM;SG;3	PRO;NEUT;SG
njegova	sin	njegov	sin	DET;NOM;FEM;SG;3	PRO;MASC;SG
osim	utenom	osim	utenom	ADV	N;INDF;NEUT;SG
osim	untatt	osim	unta	ADV	ADJ;INDF;NEUT;SG
osim	unntatt	osim	unnta	ADV	ADJ;INDF;NEUT;SG
zajedno	sammen	zajedno	sam	ADV	
zajedno	together	zajedno	together	ADV	N;INDF;MASC;SG
druge	andre	drugi	annan	ADJ;NOM;FEM;PL	DET;PL
prazno	tomme	prazno	tom	ADV	ADJ;PL
prazno	tomt	prazno	tomt	ADV	N;INDF;FEM;SG
prazno	tom	prazno	tom	ADV	ADJ;INDF;SG
prazno	blankt	prazno	blank	ADV	ADJ;INDF;NEUT;SG
prazno	tomt	prazno	tomt	ADV	N;INDF;FEM;SG
prazno	blank	prazno	blank	ADV	ADJ;INDF;SG
glavni	main	glavni	main	ADJ;NOM;DEF;MASC;SG	N;INDF;NEUT;SG
glavni	hoved	glavni	hoved	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
vrsta	snill	vrsta	snill	N;NOM;FEM;SG	ADJ;INDF;SG
vrsta	skriv	vrsta	skrive	N;NOM;FEM;SG	V;IMP;FIN
vrsta	arter	vrsta	arter	N;NOM;FEM;SG	N;INDF;FEM;PL
poslije	etter	poslije	etter	ADV	ADP
poslije	after	poslije	after	ADV	N;INDF;NEUT;SG
poslije	efter	poslije	efter	ADV	
država	delstater	država	delstater	N;NOM;FEM;SG	N;INDF;MASC;PL
država	state	država	state	N;NOM;FEM;SG	PROPN
tom	tom	taj	tom	DET;INS;FEM;SG	ADJ;INDF;SG
države	land	država	land	N;NOM;FEM;PL	N;INDF;NEUT;SG
koristi	bruk	koristiti	bruk	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
koristi	bruken	koristiti	bruk	V;IND;SG;3;PRS;FIN	N;DEF;MASC;SG
neki	some	neki	some	PRO;NOM;MASC;PL	N
neki	noen	neki	noen	PRO;NOM;MASC;PL	
neki	enkelte	neki	enkelt	PRO;NOM;MASC;PL	ADJ;PL
četiri	four	četiri	four	NUM	N
stranica	siden	stranica	siden	N;NOM;FEM;SG	
ovo	this	ovaj	this	DET;NOM;NEUT;SG	
ovo	dette	ovaj	dette	DET;NOM;NEUT;SG	PRO;NEUT;SG;3
ovo	denne	ovaj	denne	DET;NOM;NEUT;SG	PRO;SG;3
ovo	detta	ovaj	dette	DET;NOM;NEUT;SG	PRO;NEUT;SG;3
tome	tom	taj	tom	DET;DAT;NEUT;SG	ADJ;INDF;SG
ona	hun	on	hun	PRO;NOM;FEM;SG;3	
ona	she	on	she	PRO;NOM;FEM;SG;3	N;INDF;SG
republike	republikken	republika	republikk	N;NOM;FEM;PL	N;DEF;MASC;SG
republike	republikk	republika	republikk	N;NOM;FEM;PL	N;INDF;MASC;SG
mora	must	morati	must	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
mjesta	spisesteder	mjesto	spisestede	N;NOM;NEUT;PL	N;INDF;MASC;SG
vremena	times	vrijeme	time	N;NOM;NEUT;PL	N;GEN;INDF;MASC;SG
obitelji	familien	obitelj	familie	N;NOM;FEM;PL	N;DEF;MASC;SG
obitelji	familie	obitelj	familie	N;NOM;FEM;PL	N;INDF;MASC;SG
obitelji	slekt	obitelj	slekkje	N;NOM;FEM;PL	N;INDF;FEM;SG
njih	them	oni	them	PRO;ACC;PL;3	
njih	dem	oni	dem	PRO;ACC;PL;3	
dobio	henta	dobiti	hente	V;MASC;SG;PST;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
dobio	got	dobiti	got	V;MASC;SG;PST;V.PTCP;ACT	N;INDF;MASC;SG
dobio	har	dobiti	ha	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PRS;FIN
općine	kommune	općina	kommune	N;NOM;FEM;PL	N;INDF;MASC;SG
međutim	imidlertid	međutim	imidlertid	ADV	N;INDF;FEM;SG
njemu	ham	on	ham	PRO;DAT;MASC;SG;3	N;INDF;MASC;SG
njemu	him	on	him	PRO;DAT;MASC;SG;3	N
ove	desse	ovaj	desse	DET;GEN;FEM;SG	PRO;PL;3
ove	disse	ovaj	disse	DET;GEN;FEM;SG	N;INDF;NEUT;SG
oni	de	oni	de	PRO;NOM;MASC;PL;3	PRO;HUM;NOM;PL;2
oni	they	oni	they	PRO;NOM;MASC;PL;3	N
uglavnom	hovedsakelig	uglavnom	hovedsakelig	ADV	N;INDF;FEM;SG
uglavnom	hovedsaklig	uglavnom	hovedsaklig	ADV	ADJ;INDF;NEUT;SG
uglavnom	hovedsakelig	uglavnom	hovedsakelig	ADV	N;INDF;FEM;SG
uglavnom	mest	uglavnom	mykje	ADV	ADJ;INDF;RL
ostali	andre	ostao	annan	ADJ;NOM;DEF;MASC;PL	DET;PL
rijeke	elven	rijeka	elven	N;NOM;FEM;PL	
rijeke	river	rijeka	rive	N;NOM;FEM;PL	N;INDF;FEM;SG
rijeke	elv	rijeka	elv	N;NOM;FEM;PL	N;INDF;FEM;SG
rijeke	rivers	rijeka	rivers	N;NOM;FEM;PL	N;INDF;NEUT;SG
eng	eng	eng	eng	PROPN;NOM;MASC;SG	N;INDF;NEUT;SG
radio	radioen	raditi	radio	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;MASC;SG
radio	radio	raditi	radio	V;MASC;SG;PST;V.PTCP;ACT	N;INDF;MASC;SG
pjesme	sanger	pjesma	sanger	N;NOM;FEM;PL	N;INDF;MASC;SG
pjesme	songs	pjesma	song	N;NOM;FEM;PL	N;INDF;NEUT;SG
style	stil	styli	stil	ADP	N;INDF;MASC;SG
zemlje	land	zemlja	land	N;NOM;FEM;PL	N;INDF;NEUT;SG
svi	everybody	sav	everybody	DET;NOM;DEF;MASC;PL	N;INDF;NEUT;SG
svi	alle	sav	alle	DET;NOM;DEF;MASC;PL	PRO;PL;3
svi	alle	sav	alle	DET;NOM;DEF;MASC;PL	PRO;PL;3
svi	alt	sav	alt	DET;NOM;DEF;MASC;PL	PRO;NEUT;SG;3
svi	all	sav	all	DET;NOM;DEF;MASC;PL	DET;MASC;SG
svi	alle	sav	alle	DET;NOM;DEF;MASC;PL	PRO;PL;3
čak	even	čak	even	ADV	N;INDF;MASC;SG
čak	selv	čak	selv	ADV	
čak	tilogmed	čak	tilogmed	ADV	N;INDF;MASC;SG
neke	some	neki	some	PRO;NOM;FEM;PL	N
neke	noen	neki	noen	PRO;NOM;FEM;PL	
neke	enkelte	neki	enkelt	PRO;NOM;FEM;PL	ADJ;PL
djela	deeds	djelo	deeds	N;NOM;NEUT;PL	N;INDF;SG
rijeka	elven	rijeka	elven	N;NOM;FEM;SG	
ipak	ennu	ipak	ennu	ADV	N;INDF;MASC;SG
com	com	com	com	N;NOM;MASC;SG	ADV
dolazi	kommer	dolaziti	kommer	V;IND;SG;3;PRS;FIN	
dolazi	coming	dolaziti	coming	V;IND;SG;3;PRS;FIN	N
velike	big	velik	big	ADJ;NOM;DEF;FEM;PL	N;INDF;SG
velike	stor	velik	stor	ADJ;NOM;DEF;FEM;PL	ADJ;INDF;SG
velike	stort	velik	stor	ADJ;NOM;DEF;FEM;PL	ADJ;INDF;NEUT;SG
jednom	once	jednom	once	ADV	N;INDF
velika	big	velik	big	ADJ;NOM;DEF;FEM;SG	N;INDF;SG
velika	store	velik	stor	ADJ;NOM;DEF;FEM;SG	ADJ;PL
velika	stor	velik	stor	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;SG
velika	stort	velik	stor	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;NEUT;SG
rad	arbeide	rad	arbeide	N;NOM;MASC;SG	V;NFIN
rad	jobbe	rad	jobbe	N;NOM;MASC;SG	V;NFIN
rad	jobber	rad	jobbe	N;NOM;MASC;SG	N;INDF;FEM;PL
vrste	art	vrsta	art	N;NOM;FEM;PL	N;INDF;MASC;SG
vidi	see	vidjeti	see	V;IND;SG;3;PRS;FIN	N;INDF;SG
vidi	se	vidjeti	se	V;IND;SG;3;PRS;FIN	
vidi	sjå	vidjeti	sjå	V;IND;SG;3;PRS;FIN	V;IMP;FIN
vidi	titt	vidjeti	titt	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
vidi	look	vidjeti	look	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
vidi	se	vidjeti	se	V;IND;SG;3;PRS;FIN	
vode	vann	voda	vinne	N;NOM;FEM;PL	V;IND;PST;FIN
uvijek	always	uvijek	always	ADV	N
uvijek	bestandig	uvijek	bestandig	ADV	ADJ;INDF;NEUT;SG
uvijek	altid	uvijek	altid	ADV	N;INDF;MASC;SG
nad	nad	nad	nad	ADP;INS	PROPN
joj	hennes	on	hennes	PRO;DAT;FEM;SG;3	N;INDF;MASC;SG
joj	henne	on	ho	PRO;DAT;FEM;SG;3	PRO;ACC;FEM;SG;3
stranice	siden	stranica	siden	N;NOM;FEM;PL	
stranice	sida	stranica	side	N;NOM;FEM;PL	N;DEF;FEM;SG
stranice	side	stranica	side	N;NOM;FEM;PL	N;INDF;FEM;SG
stranice	page	stranica	page	N;NOM;FEM;PL	N;INDF;MASC;SG
gotovo	almost	gotovo	almost	ADV	N
gotovo	done	gotovo	done	ADV	N
gotovo	gjort	gotovo	gjere	ADV	ADJ;INDF;NEUT;SG;V.PTCP
gotovo	ferdig	gotovo	ferdig	ADV	ADJ;INDF;NEUT;SG
albuma	albumene	album	albume	N;GEN;MASC;SG	N;DEF;FEM;PL
njega	ham	on	ham	PRO;ACC;MASC;SG;3	N;INDF;MASC;SG
njega	him	on	him	PRO;ACC;MASC;SG;3	N
govori	tal	govoriti	tal	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
govori	snakk	govoriti	snakk	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
govori	speak	govoriti	speak	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
treba	trenge	trebati	trenge	V;IND;SG;3;PRS;FIN	V;IMP;NFIN
treba	need	trebati	need	V;IND;SG;3;PRS;FIN	N
treba	behov	trebati	behov	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
treba	behov	trebati	behov	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
manje	mindre	malo	liten	ADV;CMPR	ADJ;CMPR
manje	færre	malo	få	ADV;CMPR	ADJ;CMPR
manje	less	malo	less	ADV;CMPR	
manje	mindre	malo	liten	ADV;CMPR	ADJ;CMPR
američki	amerikaner	američki	amerikan	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;PL
američki	amerikanske	američki	amerikansk	ADJ;NOM;DEF;MASC;SG	ADJ;PL
američki	american	američki	american	ADJ;NOM;DEF;MASC;SG	N
američki	amerikansk	američki	amerikansk	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;SG
mnogo	mye	mnogo	mye	ADV	N;INDF;MASC;SG
crkve	kirker	crkva	kirker	N;NOM;FEM;PL	N;INDF;NEUT;SG
živi	lives	živjeti	lives	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
bosne	bosnia	bosna	bosni	ADJ;NOM;FEM;PL	N;DEF;FEM;SG
smatra	vurdert	smatrati	vurdere	V;IND;SG;3;PRS;FIN	ADJ;INDF;SG;V.PTCP
nešto	noe	nešto	noe	PRO;ACC;NEUT;3	
nešto	something	nešto	something	PRO;ACC;NEUT;3	N;INDF;FEM;SG
nešto	noko	nešto	noko	PRO;ACC;NEUT;3	PRO;NEUT;SG;3
osvojio	vinnes	osvojiti	vinnas	V;MASC;SG;PST;V.PTCP;ACT	N;INDF;NEUT;SG
osvojio	vunnet	osvojiti	vunn	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;NEUT;SG
osvojio	won	osvojiti	won	V;MASC;SG;PST;V.PTCP;ACT	N
osvojio	vant	osvojiti	venje	V;MASC;SG;PST;V.PTCP;ACT	N;INDF;MASC;SG
osvojio	erobret	osvojiti	erobr	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;NEUT;SG
pet	five	pet	five	NUM	N
liga	liga	liga	lige	N;NOM;FEM;SG	ADJ;INDF;SG;V.PTCP
liga	liga	liga	lige	N;NOM;FEM;SG	ADJ;INDF;SG;V.PTCP
najbolji	best	dobar	bra	ADJ;NOM;DEF;RL;MASC;SG	ADJ;INDF;RL
većina	meste	većina	mykje	N;NOM;FEM;SG	ADJ;DEF;RL
većina	mest	većina	mykje	N;NOM;FEM;SG	ADJ;INDF;RL
najveći	størst	velik	stor	ADJ;NOM;DEF;RL;MASC;SG	ADJ;INDF;RL
najveći	størst	velik	stor	ADJ;NOM;DEF;RL;MASC;SG	ADJ;INDF;RL
najveći	flotteste	velik	flotteste	ADJ;NOM;DEF;RL;MASC;SG	N;INDF;NEUT;SG
najveći	greatest	velik	greaté	ADJ;NOM;DEF;RL;MASC;SG	N;INDF;MASC;SG
najveći	størst	velik	stor	ADJ;NOM;DEF;RL;MASC;SG	ADJ;INDF;RL
druga	sekund	drugi	sekund	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
druga	andre	drugi	annan	ADJ;NOM;FEM;SG	DET;PL
druga	second	drugi	second	ADJ;NOM;FEM;SG	N
druga	andre	drugi	annan	ADJ;NOM;FEM;SG	DET;PL
druga	annet	drugi	annet	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
druga	annen	drugi	annen	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
san	drømme	san	drømme	N;NOM;MASC;SG	V;IMP;NFIN
san	san	san	san	N;NOM;MASC;SG	PROPN
prvo	første	prvo	første	ADV	ADJ;DEF;SG
prvo	forst	prvo	forst	ADV	N;INDF;MASC;SG
prvo	first	prvo	first	ADV	N
snage	styrke	snaga	styrke	N;NOM;FEM;PL	N;INDF;MASC;SG
snage	styrken	snaga	styrke	N;NOM;FEM;PL	N;DEF;MASC;SG
one	de	onaj	de	DET;NOM;FEM;PL	PRO;HUM;NOM;PL;2
tim	tim	taj	tim	DET;INS;NEUT;SG	N
tim	lag	taj	lag	DET;INS;NEUT;SG	N;INDF;NEUT;SG
tim	laget	taj	lag	DET;INS;NEUT;SG	N;DEF;NEUT;SG
tim	team	taj	team	DET;INS;NEUT;SG	N;INDF;NEUT;SG
svijeta	verden	svijet	verden	N;GEN;MASC;SG	
najviše	most	mnogo	most	ADV;RL	N;INDF;FEM;SG
najviše	meste	mnogo	mykje	ADV;RL	ADJ;DEF;RL
najviše	mest	mnogo	mykje	ADV;RL	ADJ;INDF;RL
obično	pleier	obično	pleie	ADV	V;IND;PRS;FIN
posebno	især	posebno	især	ADV	N;INDF;NEUT;SG
posebno	spesielt	posebno	spesiell	ADV	ADJ;INDF;NEUT;SG
posebno	spesiellt	posebno	spesiell	ADV	ADJ;INDF;NEUT;SG
posebno	særlig	posebno	særlig	ADV	ADJ;INDF;NEUT;SG
posebno	spesielt	posebno	spesiell	ADV	ADJ;INDF;NEUT;SG
posebno	special	posebno	special	ADV	N;INDF;MASC;SG
posebno	spesiell	posebno	spesiell	ADV	ADJ;INDF;SG
posebno	spesielle	posebno	spesiell	ADV	ADJ;PL
posebno	spesial	posebno	spesial	ADV	N;INDF;MASC;SG
posebno	spesielt	posebno	spesiell	ADV	ADJ;INDF;NEUT;SG
john	john	john	john	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
poznat	kjente	poznat	kjent	ADJ;NOM;MASC;SG	ADJ;PL
poznat	berømte	poznat	berømt	ADJ;NOM;MASC;SG	ADJ;PL
hrvata	kroater	hrvat	kroat	N;GEN;MASC;PL	N;INDF;MASC;SG
malo	lille	malo	lilje	ADV	N;INDF;MASC;SG
malo	lite	malo	lite	ADV	ADJ;INDF;NEUT;SG
malo	liten	malo	liten	ADV	ADJ;INDF;MASC;SG
sela	sela	selo	sele	N;NOM;NEUT;PL	PROPN
rođen	born	roditi	barn	ADJ;NOM;INDF;MASC;SG;V.PTCP;PASS	N;INDF;NEUT;PL
otoka	øyer	otok	øyer	N;GEN;MASC;SG	N;INDF;FEM;PL
unutar	innenfor	unutar	innenfor	ADP;GEN	
unutar	innen	unutar	innen	ADP;GEN	
napisao	skriftlige	napisati	skriftlig	V;MASC;SG;PST;V.PTCP;ACT	ADJ;PL
napisao	skrevet	napisati	skrev	V;MASC;SG;PST;V.PTCP;ACT	N;DEF;NEUT;SG
napisao	skrev	napisati	skrev	V;MASC;SG;PST;V.PTCP;ACT	N;INDF;MASC;SG
dobro	flinke	dobro	flink	ADV	ADJ;PL
dobro	flink	dobro	flink	ADV	ADJ;INDF;SG
dobro	godt	dobro	god	ADV	ADJ;INDF;NEUT;SG
dobro	dyktig	dobro	dyktig	ADV	ADJ;INDF;SG
dobro	god	dobro	god	ADV	ADJ;INDF;SG
dobro	bra	dobro	bra	ADV	ADJ;INDF;NEUT;SG
iii	iii	iii	iii	ADJ	DET
imena	navn	ime	navn	N;NOM;NEUT;PL	N;INDF;NEUT;SG
isbn	isbn	isbn	isbn	ADP	ADV
sada	now	sada	now	ADV	N;INDF;MASC;SG
dalje	ytterligere	daleko	ytterligere	ADV;CMPR	N;INDF;FEM;SG
dalje	lenger	daleko	lenge	ADV;CMPR	ADJ;CMPR
dalje	lengre	daleko	lang	ADV;CMPR	ADJ;CMPR
dalje	videre	daleko	videre	ADV;CMPR	
čini	makes	činiti	makes	V;IND;SG;3;PRS;FIN	N
sastoji	bestå	sastojati	bestå	V;IND;SG;3;PRS;FIN	V;IMP;FIN
von	von	von	von	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
nova	ny	nov	ny	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;SG
nova	nyhet	nov	nyh	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
nova	nye	nov	ny	ADJ;NOM;DEF;FEM;SG	ADJ;PL
nova	new	nov	new	ADJ;NOM;DEF;FEM;SG	N;INDF;SG
