яно	jana	яно	jană		N;DEF;FEM;SG
онук	nepoate	онук	nepote	N;ANIM;NOM;MASC;SG	N;INDF;FEM;PL
кроком	pasul	крок	pas	N;INAN;INS;MASC;SG	N;DEF;MASC;SG
точність	precizie	точність	precizie	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
точність	precizia	точність	precizie	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
точність	precizie	точність	precizie	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
точність	precizia	точність	precizie	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
гірничо	agh	гірничо	agh		N;INDF;MASC;SG
вірмени	armenii	вірмен	armean	N;ANIM;NOM;MASC;PL	N;DEF;MASC;PL
бангладеш	bangladesh	бангладеш	bangladesh	INTJ	N;INDF;MASC;SG
ворожих	ostil	ворожий	ostil	ADJ;ACC;PL	ADJ;INDF;MASC;SG
ворожих	ostilă	ворожий	ostil	ADJ;ACC;PL	ADJ;INDF;FEM;SG
експерименти	experimentele	експеримент	experiment	N;INAN;NOM;MASC;PL	N;DEF;FEM;PL
мікеланджело	michelangelo	мікеланджело	michelangelo	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
поглинання	achizițiile	поглинання	achiziție	N;INAN;NOM;NEUT;SG	N;DEF;FEM;PL
поглинання	achiziții	поглинання	achiziție	N;INAN;NOM;NEUT;SG	N;INDF;FEM;PL
поглинання	preluare	поглинання	preluare	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
поглинання	preluarea	поглинання	preluare	N;INAN;NOM;NEUT;SG	N;DEF;FEM;SG
покажчик	indexul	покажчик	index	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
покажчик	index	покажчик	index	N;INAN;NOM;MASC;SG	
покажчик	indice	покажчик	indica	N;INAN;NOM;MASC;SG	
покажчик	indicele	покажчик	indice	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
давній	străvechi	давній	străvechi	ADJ;NOM;MASC;SG	
давній	antică	давній	antic	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
давній	antice	давній	antic	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
міграції	migrare	міграція	migrare	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
міграції	migrație	міграція	migrație	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
міграції	migrarea	міграція	migrare	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
продажів	vânzările	продаж	vânzare	N;INAN;GEN;MASC;PL	N;DEF;FEM;PL
індійський	indiană	індійський	indian	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
індійський	indianul	індійський	indian	ADJ;NOM;MASC;SG	N;DEF;MASC;SG
еміль	emile	еміль	emile	PROPN;ANIM;NOM;MASC;SG	PROPN
еміль	emil	еміль	emil	PROPN;ANIM;NOM;MASC;SG	PROPN
еміль	émile	еміль	cmil	PROPN;ANIM;NOM;MASC;SG	PROPN
каменів	pietrele	камінь	pietru	N;INAN;GEN;MASC;PL	N;DEF;FEM;PL
вузли	gazdele	вузти	gazdă	N;INAN;NOM;MASC;PL	N;DEF;FEM;PL
вогези	vosges	вогез	vosges	PROPN;INAN;NOM;MASC;SG	N;INDF;MASC;SG
організована	organizată	організований	organizat	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;INDF;FEM;SG
організована	organizate	організований	organizat	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
обкладинка	acoperi	обкладинка	acoperi	N;INAN;NOM;FEM;SG	
обкладинка	acoperă	обкладинка	acoperi	N;INAN;NOM;FEM;SG	V;IND;3;PRS;FIN
обкладинка	coperta	обкладинка	copertă	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
обкладинка	copertă	обкладинка	copertă	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
обкладинка	acoperire	обкладинка	acoperire	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
бурі	furtunile	буря	furtună	N;INAN;NOM;FEM;PL	N;DEF;FEM;PL
трасі	tracy	трасі	tracy	N;INAN;NOM;FEM;SG	PROPN
сірі	gray	сіра	gray	ADJ;NOM;PL	PROPN
сірі	gri	сіра	gri	ADJ;NOM;PL	
сірі	siri	сіра	siri	ADJ;NOM;PL	N;INDF;MASC;SG
різниці	diferența	різник	diferență	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
різниці	diferență	різник	diferență	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
різниці	diferenta	різник	diferent	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
розпочати	start	розпочати	start	V;PFV;NFIN	N;INDF;MASC;SG
розпочати	pornire	розпочати	pornire	V;PFV;NFIN	N;INDF;FEM;SG
газетах	ziarele	газета	ziar	N;INAN;ESS;FEM;PL	N;DEF;FEM;PL
страх	frica	страх	frică	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
страх	teama	страх	teamă	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
страх	frică	страх	frică	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
страх	teamă	страх	teamă	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
детектив	detective	детектив	detectiv	N;ANIM;NOM;MASC;SG	N;INDF;FEM;PL
географічний	geografice	географічний	geografic	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
географічний	geografică	географічний	geografic	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
володарі	revendicare	володар	revendicare	N;ANIM;NOM;MASC;PL	N;INDF;FEM;SG
володарі	revendică	володар	revendic	N;ANIM;NOM;MASC;PL	V;IND;SG;3;PST;FIN
вбили	ucis	вбити	ucis	V;PFV;IND;PL;PST;FIN	ADJ;INDF;MASC;SG
вбили	ucisă	вбити	ucide	V;PFV;IND;PL;PST;FIN	ADJ;INDF;FEM;SG
вбили	omorât	вбити	omorât	V;PFV;IND;PL;PST;FIN	ADJ;INDF;MASC;SG
такао	takao	такао	takao		
службовців	angajații	службовець	angajație	N;ANIM;ACC;MASC;PL	N;DEF;MASC;PL
службовців	angajați	службовець	angaja	N;ANIM;ACC;MASC;PL	V;IND;PL;2;IPFV;FIN
службовців	angajati	службовець	angaja	N;ANIM;ACC;MASC;PL	ADJ;INDF;MASC;PL
перерви	break	перерва	break	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
перерви	rupe	перерва	rupe	N;INAN;NOM;FEM;PL	V;IND;SG;3;PRS;FIN
перерви	pauza	перерва	pauză	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
перерви	sparge	перерва	sparge	N;INAN;NOM;FEM;PL	V;IND;SG;3;PRS;FIN
перерви	pauză	перерва	pauză	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
орла	eagle	орлий	eaglă	N;INAN;NOM;MASC;SG	
орла	vulturul	орлий	vultur	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
класична	clasică	класичний	clasic	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
класична	clasic	класичний	clasic	ADJ;NOM;FEM;SG	ADV
класична	clasica	класичний	clasică	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
класична	clasică	класичний	clasic	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
класична	clasic	класичний	clasic	ADJ;NOM;FEM;SG	ADV
класична	clasica	класичний	clasică	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
класична	classic	класичний	classic	ADJ;NOM;FEM;SG	PROPN
гордон	gordon	гордон	gordon	PROPN;ANIM;NOM;MASC;SG	PROPN
кроки	pașii	крок	pas	N;INAN;NOM;MASC;PL	N;DEF;MASC;PL
кроки	pasi	крок	pas	N;INAN;NOM;MASC;PL	
поради	sfat	порада	sfat	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
поради	sfatul	порада	sfat	N;INAN;NOM;FEM;PL	N;DEF;MASC;SG
арджеш	argeș	арджий	argeș	PROPN;ANIM;NOM;FEM;SG	PROPN
віддає	taker	віддавати	taker	V;IPFV;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
живі	living	живий	living	ADJ;NOM;PL	N;INDF;MASC;SG
живі	trăind	живий	trăi	ADJ;NOM;PL	V;V.MSDR
винищувач	luptătorul	винищувач	luptător	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
косово	kosovo	косово	kosovo	PROPN;INAN;NOM;NEUT;SG	PROPN
землеробства	agricultura	землеробство	agricultură	N;INAN;NOM;NEUT;SG	N;DEF;FEM;SG
землеробства	agricultură	землеробство	agricultură	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
дуглас	douglass	дуглас	douglass	PROPN;ANIM;NOM;MASC;SG	PROPN
дуглас	douglas	дуглас	douglas	PROPN;ANIM;NOM;MASC;SG	PROPN
девіс	davis	девес	davis	PROPN;ANIM;NOM;MASC;SG	PROPN
девіс	davies	девес	davies	PROPN;ANIM;NOM;MASC;SG	PROPN
тертя	frecare	тертя	frecare	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
посуд	vesela	посуд	vesel	N;INAN;NOM;MASC;SG	ADJ;DEF;FEM;SG
посуд	vase	посуд	vas	N;INAN;NOM;MASC;SG	N;INDF;FEM;PL
накопичення	acumularea	накопичення	acumulare	N;INAN;NOM;NEUT;SG	N;DEF;FEM;SG
накопичення	acumulare	накопичення	acumulare	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
папуа	papua	папуа	papua	PROPN;INAN;NOM;FEM;SG	PROPN
сірки	pucioasă	сірка	pucios	N;INAN;NOM;FEM;PL	ADJ;INDF;FEM;SG
осінь	toamna	осінь	toamnă	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
осінь	toamnă	осінь	toamnă	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
осінь	cazi	осінь	cădea	N;INAN;NOM;FEM;SG	V;IND;SG;2;PRS;FIN
осінь	toamna	осінь	toamnă	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
осінь	cădea	осінь	cădea	N;INAN;NOM;FEM;SG	V;IND;SG;3;IPFV;FIN
юзеф	józef	юзеф	józef	PROPN;ANIM;NOM;MASC;SG	PROPN
рекомендується	recomandat	рекомендуватися	recomandat	V;IPFV;IND;SG;3;PRS;FIN	ADJ;INDF;MASC;SG
рекомендується	recomandate	рекомендуватися	recomandat	V;IPFV;IND;SG;3;PRS;FIN	ADJ;INDF;FEM;PL
рекомендується	recomandată	рекомендуватися	recomandat	V;IPFV;IND;SG;3;PRS;FIN	ADJ;INDF;FEM;SG
стандартний	standardul	стандартний	standard	ADJ;NOM;MASC;SG	N;DEF;MASC;SG
душа	sufletul	душа	suflet	N;INAN;NOM;FEM;SG	N;DEF;MASC;SG
гризунів	rozătoare	гризун	rozător	N;ANIM;ACC;MASC;PL	ADJ;INDF;FEM
прим	prim	прим	prim		NUM;INDF;MASC;SG
паоло	paolo	паоло	paolo	PROPN;ANIM;NOM;FEM;SG	PROPN
савченко	savcenko	савченко	savcenko	PROPN;ANIM;NOM;FEM;SG	N;INDF;MASC;SG
гвинтівки	pusca	гвинтівка	puscă	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
гвинтівки	pușcă	гвинтівка	pușcă	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
закрито	închise	закрито	închide	V;PFV;IND;0;FIN	V;IND;PL;3;PST;FIN
закрито	inchis	закрито	inchis	V;PFV;IND;0;FIN	ADJ;INDF;MASC;SG
закрито	închisă	закрито	închide	V;PFV;IND;0;FIN	ADJ;INDF;FEM;SG
закрито	închis	закрито	închis	V;PFV;IND;0;FIN	ADJ;INDF;MASC;SG
кіпр	ciprul	кіпр	cipru	PROPN;INAN;NOM;FEM;SG	N;DEF;MASC;SG
кіпр	cipru	кіпр	cipru	PROPN;INAN;NOM;FEM;SG	PROPN
виклик	provocare	виклик	provocare	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
виклик	provocarea	виклик	provocare	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
виклик	sună	виклик	suna	N;INAN;NOM;MASC;SG	V;IND;SG;3;PST;FIN
виклик	suna	виклик	suna	N;INAN;NOM;MASC;SG	V;IND;SG;3;IPFV;FIN
виклик	sfidare	виклик	sfidare	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
виклик	sfidarea	виклик	sfidare	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
пакистану	pakistan	пакистаний	pakistan	PROPN;INAN;GEN;MASC;SG	PROPN
пакистану	pakistanul	пакистаний	pakistan	PROPN;INAN;GEN;MASC;SG	N;DEF;MASC;SG
австралійський	australiană	австралійський	australian	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
австралійський	australieni	австралійський	australian	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;PL
реформування	reformare	реформування	reformare	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
реформування	reformarea	реформування	reformare	N;INAN;NOM;NEUT;SG	N;DEF;FEM;SG
вклад	contributie	вклад	contributie	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
вклад	contribuția	вклад	contribuție	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
вклад	contribuție	вклад	contribuție	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
покриттям	gropi	покриття	grop	N;INAN;INS;NEUT;SG	N;INDF;FEM;PL
мозок	creierul	мозок	creier	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
гніздо	cuibul	гніздо	cuib	N;INAN;NOM;NEUT;SG	N;DEF;MASC;SG
безкоштовно	liberă	безкоштовно	liber	ADV	ADJ;INDF;FEM;SG
безкоштовно	liberi	безкоштовно	liber	ADV	ADJ;INDF;MASC;PL
безкоштовно	free	безкоштовно	free	ADV	
безкоштовно	gratuit	безкоштовно	gratuit	ADV	ADJ;INDF;MASC;SG
тепло	calde	тепло	cald	N;INAN;NOM;NEUT;SG	ADJ;INDF;FEM;PL
тепло	cald	тепло	cald	N;INAN;NOM;NEUT;SG	ADJ;INDF;MASC;SG
тепло	caldă	тепло	cald	N;INAN;NOM;NEUT;SG	ADJ;INDF;FEM;SG
тепло	caldura	тепло	caldura	N;INAN;NOM;NEUT;SG	N;DEF;FEM;SG
тепло	căldură	тепло	căldură	N;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
тепло	căldura	тепло	căldură	N;INAN;NOM;NEUT;SG	N;DEF;FEM;SG
прояви	rasiste	прояв	rasist	N;INAN;NOM;MASC;PL	ADJ;INDF;FEM;PL
прояви	rasistă	прояв	rasista	N;INAN;NOM;MASC;PL	ADJ;INDF;FEM;SG
прояви	rasist	прояв	rasist	N;INAN;NOM;MASC;PL	ADJ;INDF;MASC;SG
осло	oslo	осло	oslo	PROPN;INAN;NOM;FEM;SG	PROPN
принесли	adusă	принести	aduce	V;PFV;IND;PL;PST;FIN	ADJ;INDF;FEM;SG
принесли	adusa	принести	adusa	V;PFV;IND;PL;PST;FIN	ADJ;DEF;FEM;SG
принесли	adus	принести	aduce	V;PFV;IND;PL;PST;FIN	V;MASC;SG;V.PTCP
спини	sandy	спина	sandy	N;INAN;NOM;FEM;PL	PROPN
ріст	creșterea	ріст	creștere	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
ріст	creşterea	ріст	creactere	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
ріст	crestere	ріст	crestere	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
ріст	creștere	ріст	creștere	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
передмісті	suburbii	передмість	suburbie	N;INAN;DAT;NEUT;SG	N;INDF;FEM;PL
передмісті	suburbiile	передмість	suburbie	N;INAN;DAT;NEUT;SG	N;DEF;FEM;PL
відійшли	falit	відійти	falit	V;PFV;IND;PL;PST;FIN	N;INDF;MASC;SG
кристали	cristalele	кристал	cristal	N;INAN;NOM;MASC;PL	N;DEF;FEM;PL
мартіна	martina	мартіна	martină	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
мадонна	madonna	мадонний	madonna	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
спільну	partajate	спільний	partaja	ADJ;ACC;FEM;SG	ADJ;INDF;FEM;PL
спільну	distribuite	спільний	distribuit	ADJ;ACC;FEM;SG	ADJ;INDF;FEM;PL
спільну	distribuită	спільний	distribui	ADJ;ACC;FEM;SG	ADJ;INDF;FEM;SG
небезпеку	pericole	небезпека	pericol	N;INAN;ACC;FEM;SG	N;INDF;FEM;PL
небезпеку	pericolele	небезпека	pericol	N;INAN;ACC;FEM;SG	N;DEF;FEM;PL
саксонія	saxonia	саксонія	saxonie	PROPN;INAN;NOM;FEM;SG	PROPN
пожежа	focul	пожежа	foc	N;INAN;NOM;FEM;SG	N;DEF;MASC;SG
підвіска	suspendare	підвіска	suspendare	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
підвіска	suspendarea	підвіска	suspendare	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
підвіска	suspensie	підвіска	suspensie	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
підвіска	suspensia	підвіска	suspensie	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
дехто	unele	дехто	unul	PRO;ANIM;NOM	PRO;FEM;PL;3
дехто	unii	дехто	unul	PRO;ANIM;NOM	PRO;MASC;PL;3
сумніви	îndoielile	сумнів	îndoieală	N;INAN;NOM;MASC;PL	N;DEF;FEM;PL
всеволод	vsevolod	всеволод	vsevolod	PROPN;ANIM;NOM;MASC;SG	PROPN
гребля	dam	гребль	da	N;INAN;NOM;FEM;SG	
гребля	barajul	гребль	baraj	N;INAN;NOM;FEM;SG	N;DEF;MASC;SG
чоловічі	bărbat	чоловічий	bărbat	ADJ;NOM;PL	N;INDF;MASC;SG
чоловічі	masculin	чоловічий	masculin	ADJ;NOM;PL	ADJ;INDF;MASC;SG
чоловічі	mascul	чоловічий	masc	ADJ;NOM;PL	N;INDF;MASC;SG
чоловічі	barbat	чоловічий	barbat	ADJ;NOM;PL	N;INDF;MASC;SG
купив	cumparat	купити	cumpara	V;PFV;MASC;IND;SG;PST;FIN	ADJ;INDF;MASC;SG
купив	cumpărată	купити	cumpăra	V;PFV;MASC;IND;SG;PST;FIN	ADJ;INDF;FEM;SG
купив	cumpărat	купити	cumpărat	V;PFV;MASC;IND;SG;PST;FIN	ADJ;INDF;MASC;SG
купив	cumpărate	купити	cumpăra	V;PFV;MASC;IND;SG;PST;FIN	ADJ;INDF;FEM;PL
політикою	politică	політика	politic	N;INAN;INS;FEM;SG	ADJ;INDF;FEM;SG
політикою	politica	політика	politică	N;INAN;INS;FEM;SG	N;DEF;FEM;SG
