בילה	spesi	בילה	spendere	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
המשולש	triangolo	המשולש	triangolo	PROPN	N;MASC;SG
קוסטה	costa	קוסטה	costare	PROPN	V;IND;SG;3;PRS;FIN
מוגנים	protetti	הוגן	proteggere	ADJ;MASC;PL	V;MASC;PL;PST;V.PTCP
מוגנים	protetta	הוגן	proteggere	ADJ;MASC;PL	V;FEM;SG;PST;V.PTCP
מוגנים	protette	הוגן	protetto	ADJ;MASC;PL	N;FEM;PL
מוגנים	protetto	הוגן	protetto	ADJ;MASC;PL	V;MASC;SG;PST;V.PTCP
תה	tea	תה	tea		N;MASC;SG
תה	tè	תה	tè		N;MASC
תה	thè	תה	tare		N;MASC
סבירה	probabili	סביר	probabile	ADJ;FEM;SG	ADJ;PL
סבירה	ragionevoli	סביר	ragionevole	ADJ;FEM;SG	ADJ;PL
חסיד	follower	חסיד	follower		N
חסיד	seguace	חסיד	seguace		N;SG
פלד	feld	פלד	feld	PROPN	N;MASC;SG
דינה	deena	דינה	deena	PROPN	ADJ;FEM;SG
דינה	dena	דינה	dena	PROPN	N;FEM;SG
דינה	dinah	דינה	dinah	PROPN	N;FEM;SG
דינה	oreste	דינה	oresta	PROPN	N;MASC;SG
דינה	dina	דינה	dina	PROPN	N;FEM;SG
מציגים	introduzione	הציג	introduzione	V;MASC;PL;V.PTCP;ACT	N;FEM;SG
מפתיע	sorprendente	מפתיע	sorprendente	V;MASC;SG;V.PTCP;ACT	ADJ;SG
מפתיע	sorprendenti	מפתיע	sorprendente	V;MASC;SG;V.PTCP;ACT	ADJ;PL
דונלד	paperino	דונלד	paperino	PROPN	N;MASC;SG
דונלד	donald	דונלד	donald	PROPN	N;SG
המכהן	regnante	המכהן	regnante	PROPN	N;SG
הנוסחה	formula	הנוסחה	formula	PROPN	N;FEM;SG
אפשטיין	epstein	אפשטיין	epstein	PROPN	N;MASC
אוהבת	affettuoso	אהב	affettuoso	V;FEM;SG;V.PTCP;ACT	ADJ;MASC;SG
אוהבת	amorevole	אהב	amorevole	V;FEM;SG;V.PTCP;ACT	ADJ;SG
אוהבת	love	אהב	love	V;FEM;SG;V.PTCP;ACT	N
אוהבת	amore	אהב	amore	V;FEM;SG;V.PTCP;ACT	N;MASC;SG
תיקונים	riparazione	תיקון	riparazione	N;MASC;PL	N;FEM;SG
גיורא	giora	גיורא	giorare	PROPN	N;SG
מסרב	rifiuta	סירב	rifiutare	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
מסרב	declina	סירב	declina	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
מסרב	rifiuta	סירב	rifiutare	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
מיי	may	מיי	may		N
מיי	maggio	מיי	maggio		N;MASC;SG
מיי	può	מיי	potere		V;IND;SG;3;PRS;FIN
מיי	mae	מיי	mae		N;SG
ווד	legna	ווד	legna	PROPN	N;FEM;SG
ווד	legname	ווד	legname	PROPN	N;MASC;SG
ווד	legno	ווד	legno	PROPN	N;MASC;SG
ווד	wood	ווד	wood	PROPN	N
ווד	bosco	ווד	bosco	PROPN	N;MASC;SG
מתכות	metallo	מתכת	metallo	N;FEM;PL	N;MASC;SG
מתכות	metallico	מתכת	metallico	N;FEM;PL	ADJ;MASC;SG
מייקה	micah	מייקה	micah	PROPN	N;MASC;SG
מייקה	myka	מייקה	myka	PROPN	N;SG
הגדלת	aumentando	הגדלה	aumentare	N;PSSD;FEM;SG	V;V.MSDR
סטאר	stella	סטאר	stella	PROPN	N;FEM;SG
סטאר	star	סטאר	stare	PROPN	V;NFIN
סטאר	stelle	סטאר	stella	PROPN	N;FEM;PL
קורן	radioso	קורן	radioso	PROPN	ADJ;MASC;SG
קורן	radiante	קורן	radiante	PROPN	ADJ;SG
קורן	raggiante	קורן	raggiante	PROPN	ADJ;SG
קורן	radiosa	קורן	radioso	PROPN	ADJ;FEM;SG
קורן	korn	קורן	korn	PROPN	N
שולי	marginali	שול	marginale		ADJ;PL
שולי	marginale	שול	marginale		ADJ;SG
שולי	margini	שול	margine		N;MASC;PL
שולי	minore	שול	minore		ADJ;CMPR;SG
שולי	minor	שול	minore		ADJ;CMPR;SG
שולי	minori	שול	minore		ADJ;CMPR;PL
דרשו	preteso	דרש	preteso	V;PL;3;PST;ACT	V;MASC;SG;PST;V.PTCP
מורו	morrow	מורה	morrow		N;MASC
מורו	moreau	מורה	moreau		N;FEM;SG
מורו	moro	מורה	moro		N;MASC;SG
ליסבון	lisbona	ליסבון	lisbonare	PROPN	N;FEM;SG
פרד	fred	פרד	fred	PROPN	N;SG
פופולריות	popolare	פופולריות	popolare	N;FEM;SG	ADJ;SG
פופולריות	popolari	פופולריות	popolare	N;FEM;SG	ADJ;PL
פופולריות	popolari	פופולריות	popolare	N;FEM;SG	ADJ;PL
מנדלסון	mendelssohn	מנדלסון	mendelssohn	PROPN	N;MASC;SG
השיפוט	sentenza	השיפוט	sentenza	PROPN	N;FEM;SG
השיפוט	giudizio	השיפוט	giudizio	PROPN	N;MASC;SG
טורונטו	toronto	טורונטו	toronto	PROPN	N;MASC;SG
חריג	insolite	חריג	insolito	ADJ;MASC;SG	ADJ;FEM;PL
חריג	insoliti	חריג	insolito	ADJ;MASC;SG	ADJ;MASC;PL
חריג	anormali	חריג	anormale	ADJ;MASC;SG	ADJ;PL
אפרו	afro	אפר	afro	PROPN	N;MASC
מורגן	morgana	מורגן	morgana	PROPN	N;FEM;SG
מורגן	morgan	מורגן	morgan	PROPN	N;FEM;SG
ענה	rispondi	ענה	rispondere	V;MASC;SG;3;PST;ACT	V;IND;SG;2;PRS;FIN
ענה	risposta	ענה	risposta	V;MASC;SG;3;PST;ACT	N;FEM;SG
אצבע	dito	אצבע	dito	ADV	N;MASC;SG
אצבע	dita	אצבע	dito	ADV	N;FEM;PL
הופץ	distribuite	הופץ	distribuire	V;MASC;SG;3;PST;PASS	V;FEM;PL;PST;V.PTCP
הופץ	distribuiti	הופץ	distribuire	V;MASC;SG;3;PST;PASS	V;MASC;PL;PST;V.PTCP
אנדריי	andrej	אנדריי	andrej	PROPN	N;MASC;SG
אנדריי	andrej	אנדריי	andrej	PROPN	N;MASC;SG
אנדריי	andrei	אנדריי	andre	PROPN	V;COND;SG;1;PRS;FIN
תעשייתי	industriali	תעשייתי	industriale	ADJ;MASC;SG	N;PL
תעשייתי	industrial	תעשייתי	industrial	ADJ;MASC;SG	N;FEM;SG
סובל	sobel	סובל	sobel	PROPN	N;MASC;SG
היעדר	assenza	היעדר	assenza		N;FEM;SG
היעדר	assenze	היעדר	assenza		N;FEM;PL
בסיסיים	basic	בסיסי	basic	ADJ;MASC;PL	N
מחלק	divide	מחלק	dividere		V;IND;SG;3;PRS;FIN
מסודרת	organizzata	מסודר	organizzare	ADJ;FEM;SG	V;FEM;SG;PST;V.PTCP
מסודרת	organizzati	מסודר	organizzare	ADJ;FEM;SG	V;MASC;PL;PST;V.PTCP
מסודרת	organizzato	מסודר	organizzare	ADJ;FEM;SG	V;MASC;SG;PST;V.PTCP
מסודרת	organizzate	מסודר	organizzare	ADJ;FEM;SG	V;FEM;PL;PST;V.PTCP
מסודרת	ordinata	מסודר	ordinare	ADJ;FEM;SG	V;FEM;SG;PST;V.PTCP
אולמרט	olmert	אולמרט	olmert	PROPN	N;MASC
גיברלטר	gibilterra	גיברלטר	gibilterra	PROPN	N;FEM;SG
חיוני	vitali	חיוני	vitale	ADJ;MASC;SG	ADJ;PL
חיוני	essenziali	חיוני	essenziale	ADJ;MASC;SG	ADJ;PL
אזכור	menzionare	אזכור	menzionare	N;MASC;SG	V;NFIN
רבנו	combattuto	רב	combattere	PROPN	V;MASC;SG;PST;V.PTCP
רבנו	lottato	רב	lottare	PROPN	V;MASC;SG;PST;V.PTCP
רבנו	combattuta	רב	combattere	PROPN	V;FEM;SG;PST;V.PTCP
רבנו	combatté	רב	combatté	PROPN	V;IND;SG;3;PST;FIN
לשבור	break	שבר	break	V;NFIN;ACT	N;MASC
לשבור	pausa	שבר	pausa	V;NFIN;ACT	N;FEM;SG
פדרו	pedro	פדר	pedro	PROPN	N;MASC;SG
היוצא	uscente	היוצא	uscente		N;SG
נאור	illuminata	נאור	illuminare	PROPN	V;FEM;SG;PST;V.PTCP
נאור	illuminati	נאור	illuminare	PROPN	V;MASC;PL;PST;V.PTCP
נאור	illuminato	נאור	illuminare	PROPN	V;MASC;SG;PST;V.PTCP
מכריע	opprimente	מכריע	opprimente	ADJ;MASC;SG	ADV
מכריע	decisivi	מכריע	decisivo	ADJ;MASC;SG	ADJ;MASC;PL
הקדמה	introduzione	הקדמה	introduzione	PROPN	N;FEM;SG
הקדמה	progressi	הקדמה	progresso	PROPN	N;MASC;PL
הקדמה	avanzamento	הקדמה	avanzamento	PROPN	N;MASC;SG
הקדמה	progress	הקדמה	progress	PROPN	N;MASC
הקדמה	progresso	הקדמה	progresso	PROPN	N;MASC;SG
הקדמה	preludio	הקדמה	preludio	PROPN	N;MASC;SG
טקסי	cerimoniale	טקס	cerimoniale	N;PSSD;MASC;PL	ADJ;SG
בטא	beta	בטא	beta	PROPN	N;FEM;SG
הפיל	elefante	הפיל	elefante	PROPN	N;SG
הפיל	elefanti	הפיל	elefante	PROPN	N;MASC;PL
הואשם	accusati	הואשם	accusare	V;MASC;SG;3;PST;PASS	V;MASC;PL;PST;V.PTCP
הואשם	imputato	הואשם	imputato	V;MASC;SG;3;PST;PASS	N;MASC;SG
ליאו	leone	ליאו	leone	PROPN	N;MASC;SG
ליאו	leo	ליאו	leo	PROPN	N;SG
דורי	dori	דורי	dori	PROPN	N;MASC;PL
דורי	dory	דורי	dory	PROPN	N;SG
מאור	maor	מאור	maor	PROPN	N;MASC;SG
אורות	luci	אור	luce		N;FEM;PL
צפייה	visualizza	צפייה	visualizzare	N;FEM;SG	V;IND;SG;3;PRS;FIN
צפייה	guardando	צפייה	guardare	N;FEM;SG	V;V.MSDR
צפייה	guardare	צפייה	guardare	N;FEM;SG	V;NFIN
מלאים	piena	מלא	pieno	ADJ;MASC;PL	ADJ;FEM;SG
מלאים	full	מלא	full	ADJ;MASC;PL	N
מלאים	pieno	מלא	pieno	ADJ;MASC;PL	ADJ;MASC;SG
מחכה	attesa	חיכה	attesa	V;MASC;SG;V.PTCP;ACT	N;FEM;SG
שלחו	invia	שלח	invia	V;PL;3;PST	V;IMP;SG;2;PRS;FIN
שלחו	invio	שלח	invio	V;PL;3;PST	N;MASC;SG
אשם	colpevole	אשם	colpevole		N;SG
אשם	colpevolezza	אשם	colpevolezza		N;FEM;SG
אשם	colpevoli	אשם	colpevole		ADJ;PL
מדויקים	accurato	מדויק	accurato	ADJ;MASC;PL	ADJ;MASC;SG
מדויקים	preciso	מדויק	preciso	ADJ;MASC;PL	ADJ;MASC;SG
מדויקים	accurata	מדויק	accurato	ADJ;MASC;PL	ADJ;FEM;SG
עלילות	trama	עלילות	trama	N;FEM;PL	N;FEM;SG
המכילים	contenenti	המכיל	contenere	N;MASC;PL	V;PL;PRS;V.PTCP
המכילים	contenente	המכיל	contenere	N;MASC;PL	V;SG;PRS;V.PTCP
מנדטים	mandati	מנדט	mandato	N;MASC;PL	V;MASC;PL;PST;V.PTCP
ארמסטרונג	armstrong	ארמסטרונג	armstrong	PROPN	N;MASC;SG
ספרטה	spartan	ספרטה	spartano	PROPN	N;MASC
ספרטה	sparta	ספרטה	spartare	PROPN	N;FEM;SG
מבוגר	adulti	מבוגר	adulto	ADJ;MASC;SG	N;MASC;PL
עבה	spesse	עבה	spesso		ADJ;FEM;PL
עבה	spessi	עבה	spesso		ADJ;MASC;PL
עבה	spessa	עבה	spesso		ADJ;FEM;SG
ביצה	palude	ביצה	paludere	PROPN	N;FEM;SG
ביצה	uovo	ביצה	uovo	PROPN	N;MASC;SG
ביצה	egg	ביצה	egg	PROPN	N
ביצה	uova	ביצה	uovo	PROPN	N;FEM;PL
קולורדו	colorado	קולורדו	colorado	PROPN	N;MASC;SG
התנגשות	collisioni	התנגשות	collisione	N;FEM;SG	N;FEM;PL
נצר	scion	נצר	scion	PROPN	N;MASC
הלחם	pane	הלחם	pane		N;MASC;SG
איסלנד	islanda	איסלנד	islanda	PROPN	N;FEM;SG
בובי	bobby	בובי	bobby	PROPN	N;MASC
סליחה	scusate	סליחה	scusare	PROPN	V;IND;PL;2;PRS;FIN
סליחה	scusa	סליחה	scusa	PROPN	N;FEM;SG
אריסטו	aristotele	אריסטו	aristotele	PROPN	N;MASC;SG
להינשא	sposi	ננשא	sposo	V;NFIN;MID	N;MASC;PL
פורמלי	formali	פורמאלי	formale	ADJ;MASC;SG	ADJ;PL
דולב	piantaggine	דולב	piantaggine	PROPN	N;FEM;SG
בכר	behar	בכר	behare	PROPN	N;MASC;SG
בכר	bakr	בכר	bakr	PROPN	N
הגיל	età	הגיל	età	ADV	N;FEM
הגיל	age	הגיל	age	ADV	N
טק	tce	טק	tce		N
טק	tec	טק	tec		N
טק	tecnologia	טק	tecnologia		N;FEM;SG
טק	tech	טק	tech		N
בצמוד	adiacenti	בצמוד	adiacente		ADJ;PL
בצמוד	adiacenti	בצמוד	adiacente		ADJ;PL
בצמוד	adiacente	בצמוד	adiacente		N;MASC;SG
תומפסון	thompson	תומפסון	thompson	PROPN	N;MASC
הש	hesh	הש	hesh		ADJ;SG
שלד	scheletrici	שלד	scheletore	PROPN	ADJ;MASC;PL
שלד	scheletri	שלד	scheletro	PROPN	N;MASC;PL
שלד	scheletro	שלד	scheletro	PROPN	N;MASC;SG
כותבת	scrive	כתב	scrivere	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
כותבת	scrittura	כתב	scrittura	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
פרננדו	fernando	פרננדו	fernare	PROPN	V;V.MSDR
חיתוך	tagliare	חיתוך	tagliare	N;MASC;SG	V;NFIN
גויס	arruolato	גויס	arruolare	PROPN	V;MASC;SG;PST;V.PTCP
גויס	reclutato	גויס	reclutato	PROPN	V;MASC;SG;PST;V.PTCP
גויס	reclutati	גויס	reclutare	PROPN	V;MASC;PL;PST;V.PTCP
קודמת	precedenti	קודם	precedente	ADJ;FEM;SG	ADJ;PL
נורמן	normanni	נורמן	normanno	PROPN	N;MASC;PL
נורמן	normanna	נורמן	normanna	PROPN	ADJ;FEM;SG
נורמן	norman	נורמן	norman	PROPN	N;MASC;SG
מוקשים	mine	מקשה	mina	V;MASC;PL;V.PTCP;PASS	N;FEM;PL
מוקשים	miniere	מקשה	miniera	V;MASC;PL;V.PTCP;PASS	N;FEM;PL
חסד	mercy	חסד	mercy		N
חסד	misericordia	חסד	misericordia		N;FEM;SG
חסד	pietà	חסד	pietà		N;FEM
חסד	gentilezza	חסד	gentilezza		N;FEM;SG
חסד	bontà	חסד	bontà		N;FEM
חסד	grace	חסד	grace		N;FEM;PL
חסד	grazia	חסד	grazia		N;FEM;SG
הולמס	holmes	הולמס	holmes	PROPN	N;MASC;SG
גולדשטיין	goldstein	גולדשטיין	goldstein	PROPN	N;MASC
קיצוניים	estremisti	קיצוני	estremista	ADJ;MASC;PL	N;MASC;PL
נערים	teenager	נער	teenager	N;MASC;PL	N;FEM;SG
החשבון	account	החשבון	account	PROPN	N
החשבון	conto	החשבון	conto	PROPN	N;MASC;SG
במעט	leggermente	במעט	leggermente		ADV
צריכת	consumi	צריך	consumo	N;FEM;SG	N;MASC;PL
לותר	lothar	ויתר	lothare	PROPN	N;MASC;SG
לותר	luther	ויתר	luther	PROPN	N
לותר	lutero	ויתר	lutero	PROPN	N;MASC;SG
לותר	luthor	ויתר	luthor	PROPN	N;MASC
לחזית	front	לחזית	front	ADV	N
לחזית	fronte	לחזית	fronte	ADV	N;SG
לחזית	anteriore	לחזית	anteriore	ADV	ADJ;SG
לחזית	frontale	לחזית	frontale	ADV	ADJ;SG
ליף	leif	ליף	leif	PROPN	N;MASC;SG
אוסטרי	austriaci	אוסטרי	austriaco	PROPN	N;MASC;PL
אוסטרי	austriaco	אוסטרי	austriaco	PROPN	ADJ;MASC;SG
אוסטרי	austriaca	אוסטרי	austriaco	PROPN	ADJ;FEM;SG
אוסטרי	austrian	אוסטרי	austrian	PROPN	N
המחיר	prezzo	המחיר	prezzo	V;MASC;SG;3;PST;ACT	N;MASC;SG
פרסומת	commerciale	פרסומת	commerciale	N;FEM;SG	ADJ;SG
חלשה	debole	חלש	debole	N;FEM;SG	ADJ;SG
חלשה	deboli	חלש	debole	N;FEM;SG	ADJ;PL
מנגן	giocare	מנגן	giocare	N;MASC;SG	V;NFIN
הורג	uccide	הרג	uccidere	PROPN	V;IND;SG;3;PRS;FIN
הורג	uccisione	הרג	uccisione	PROPN	N;FEM;SG
הורג	uccidere	הרג	uccidere	PROPN	V;NFIN
הורג	uccisioni	הרג	uccisione	PROPN	N;FEM;PL
מל	mel	מל	melico	PROPN	N
מל	mal	מל	male	PROPN	N;MASC;SG
ששון	sasson	ששון	sasson	PROPN	ADJ;MASC;SG
ששון	sassoon	ששון	sassoon	PROPN	N;MASC;SG
טיים	tempo	טיים	tempo	PROPN	N;MASC;SG
טיים	time	טיים	time	PROPN	N
מירון	meron	מירון	meron	PROPN	ADJ;SG
השכונות	quartieri	השכונה	quartiere	PROPN	N;MASC;PL
רוזנברג	rosenberg	רוזנברג	rosenberg	PROPN	N;FEM;SG
ארנה	arena	ארנה	arenare	PROPN	N;FEM;SG
רוצח	assassina	רצח	assassino	PROPN	ADJ;FEM;SG
רוצח	killer	רצח	killer	PROPN	N;MASC
רוצח	assassino	רצח	assassino	PROPN	N;MASC;SG
רוצח	assassina	רצח	assassino	PROPN	ADJ;FEM;SG
רוצח	assassino	רצח	assassino	PROPN	N;MASC;SG
אורלינס	orleans	אורלינס	orleans	PROPN	N;FEM;SG
אורלינס	orléans	אורלינס	orléans	PROPN	N;FEM;SG
הפיליפינים	filippine	הפיליפינים	filippina	PROPN	N;FEM;PL
ניסים	miracoli	ניסה	miracolo	PROPN	N;MASC;PL
ניסים	nissim	ניסה	nissim	PROPN	N;MASC;SG
נשימה	respirare	נשימה	respirare	N;FEM;SG	V;NFIN
המשיח	christ	המשיח	christ	V;MASC;SG;3;PST;ACT	
המשיח	cristo	המשיח	cristo	V;MASC;SG;3;PST;ACT	N;MASC;SG
ריקו	rico	ריקו	rico	PROPN	N;MASC;SG
זירת	scena	זירה	scena	ADV	N;FEM;SG
זירת	scene	זירה	scena	ADV	N;FEM;PL
סטודיו	monolocale	סטודיו	monolocale	PROPN	N;MASC;SG
סטודיו	studio	סטודיו	studio	PROPN	N;MASC;SG
מרחוק	lontanamente	מרחוק	lontanamente		ADV
נפגעה	danneggiati	נפגע	danneggiare	V;FEM;SG;3;PST;MID	V;MASC;PL;PST;V.PTCP
נפגעה	danneggiate	נפגע	danneggiato	V;FEM;SG;3;PST;MID	V;FEM;PL;PST;V.PTCP
נפגעה	danneggiato	נפגע	danneggiato	V;FEM;SG;3;PST;MID	N;MASC;SG
פסקול	soundtrack	פסקול	soundtrack	PROPN	N
גורל	destino	גורל	destino		N;MASC;SG
גורל	destiny	גורל	destiny		N
גורל	destini	גורל	destino		N;MASC;PL
גורל	sorte	גורל	sorte		N;FEM;SG
גורל	destino	גורל	destino		N;MASC;SG
גורל	fato	גורל	fare		ADJ;MASC;SG
אריזונה	arizona	אריזונה	arizonare	PROPN	N;FEM;SG
בטוחה	safe	בטוח	safa	ADJ;FEM;SG	N;MASC
בטוחה	cassaforte	בטוח	cassaforte	ADJ;FEM;SG	N;FEM;SG
בטוחה	fiduciosi	בטוח	fiducioso	ADJ;FEM;SG	ADJ;MASC;PL
אסטוניה	estonia	אסטוניה	estonia	PROPN	N;FEM;SG
ארט	arte	ארט	arte	PROPN	N;FEM;SG
יקום	universo	יקום	universo	PROPN	N;MASC;SG
מיניות	sessuale	מיני	sessuale	N;FEM;SG	ADJ;SG
סודי	segreto	סודי	segreto	N;MASC;SG	ADJ;MASC;SG
סודי	segreti	סודי	segreto	N;MASC;SG	N;MASC;PL
סודי	riservato	סודי	riservato	N;MASC;SG	ADJ;MASC;SG
סודי	confidenziale	סודי	confidenziale	N;MASC;SG	ADJ;SG
אחי	bro	אחי	bro		N
אחי	fratello	אחי	fratello		N;MASC;SG
אחי	ciccio	אחי	ciccio		N;MASC;SG
אחי	amico	אחי	amico		N;MASC;SG
אחי	dude	אחי	dude		N
אחי	brother	אחי	brother		N
אחי	fratello	אחי	fratello		N;MASC;SG
פאשה	pasha	פאשה	pashare		N;MASC
פאשה	pascià	פאשה	pascià		N;MASC
קדומה	pregiudizi	קדום	pregiudizio		N;MASC;PL
קדומה	pregiudizio	קדום	pregiudizio		N;MASC;SG
דיק	cazzi	שדיק	cazzo	PROPN	N;MASC;PL
דיק	dick	שדיק	dick	PROPN	N
עדים	testimone	עד	testimone	N;MASC;PL	N;MASC;SG
צפויה	attese	צפוי	attesa	ADJ;FEM;SG	N;FEM;PL
צפויה	attesa	צפוי	attesa	ADJ;FEM;SG	N;FEM;SG
צפויה	atteso	צפוי	attendere	ADJ;FEM;SG	V;MASC;SG;PST;V.PTCP
צפויה	attesi	צפוי	attendere	ADJ;FEM;SG	V;MASC;PL;PST;V.PTCP
צפויה	prevedibili	צפוי	prevedibile	ADJ;FEM;SG	ADJ;PL
כיס	tasche	כיס	tasca	N;MASC;SG	N;FEM;PL
ברמות	livelli	ברמות	livello		N;MASC;PL
נחת	sbarcati	נחת	sbarcare		V;MASC;PL;PST;V.PTCP
נחת	atterrati	נחת	atterrare		V;MASC;PL;PST;V.PTCP
נחת	atterrato	נחת	atterrare		V;MASC;SG;PST;V.PTCP
נחת	sbarcato	נחת	sbarcato		V;MASC;SG;PST;V.PTCP
נחת	marine	נחת	marina		N;FEM;PL
נחת	marino	נחת	marino		N;MASC;SG
מיר	mire	מיר	mire	PROPN	N;FEM;PL
מיר	mir	מיר	mir	PROPN	N
לטביה	lettonia	לטביה	lettonia	PROPN	N;FEM;SG
לטביה	lettone	לטביה	lettone	PROPN	N;MASC;SG
שביעי	settima	שביעי	settimo	PROPN	ADJ;FEM;SG
שביעי	settimo	שביעי	settimo	PROPN	ADJ;MASC;SG
ערובה	ostaggi	ערובה	ostaggio	N;FEM;SG	N;MASC;PL
ערובה	garanzie	ערובה	garanzia	N;FEM;SG	N;FEM;PL
מוקף	circondati	הוקף	circondare	V;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
גנטית	geneticamente	גנטי	geneticamente	PROPN	ADV
גנטית	genetico	גנטי	genetico	PROPN	ADJ;MASC;SG
גנטית	genetici	גנטי	genetico	PROPN	ADJ;MASC;PL
גנטית	genetica	גנטי	genetica	PROPN	N;FEM;SG
הוסף	aggiungere	הוסף	aggiungere		V;NFIN
הוסף	aggiungi	הוסף	aggiungere		V;IMP;SG;2;PRS;FIN
בוואריה	bavarese	בוואריה	bavarese	PROPN	ADJ;SG
בוואריה	bavaresi	בוואריה	bavarese	PROPN	N;MASC;PL
בוואריה	baviera	בוואריה	baviera	PROPN	N;FEM;SG
פשוטות	simple	פשוט	simple	ADJ;FEM;PL	N;MASC
פשוטות	semplice	פשוט	semplice	ADJ;FEM;PL	ADJ;SG
אמנותי	artistiche	אמנותי	artistico	ADJ;MASC;SG	ADJ;FEM;PL
אמנותי	artistici	אמנותי	artistico	ADJ;MASC;SG	ADJ;MASC;PL
אורחים	invitati	אורח	invitare	N;MASC;PL	V;MASC;PL;PST;V.PTCP
אטומי	atomico	אטומי	atomico	ADJ;MASC;PL	ADJ;MASC;SG
אטומי	atomiche	אטומי	atomico	ADJ;MASC;PL	N;FEM;PL
אטומי	atomica	אטומי	atomico	ADJ;MASC;PL	ADJ;FEM;SG
ברל	berle	ברל	berla	PROPN	ADJ;SG
תקלה	malfunzionamenti	תקלה	malfunzionamento	N;FEM;SG	N;MASC;PL
מישיגן	michigan	מישיגן	michigan	PROPN	N;FEM;SG
כיסא	sedia	כיסא	sedia	PROPN	N;FEM;SG
הילדה	hilda	הילדה	hilda	PROPN	N;FEM;SG
שנפלו	caduta	שנפל	cadere	PROPN	V;FEM;SG;PST;V.PTCP
שנפלו	caduto	שנפל	cadere	PROPN	V;MASC;SG;PST;V.PTCP
שנפלו	caduti	שנפל	cadere	PROPN	V;MASC;PL;PST;V.PTCP
הורשע	condannati	הורשע	condannato	V;MASC;SG;3;PST;PASS	V;MASC;PL;PST;V.PTCP
דחף	spinse	דחף	spingere	N;MASC;SG	V;IND;SG;3;PST;FIN
דחף	spinto	דחף	spingere	N;MASC;SG	V;MASC;SG;PST;V.PTCP
