और	και	और	και		CONJ
राज्य	πολιτεία	राज्य	πολιτεία	N;NOM;MASC;SG;3	N;ACC;FEM;SG
राज्य	state	राज्य	state	N;NOM;MASC;SG;3	
बाहरी	υπαίθρια	बाहरी	υπαίθριος	ADJ;NOM	PROPN;NOM;FEM;SG
बाहरी	εξωτερικά	बाहरी	εξωτερικά	ADJ;NOM	ADV
बाहरी	εξωτερικό	बाहरी	εξωτερικό	ADJ;NOM	N;NOM;NEUT;SG
बाहरी	υπαίθρια	बाहरी	υπαίθριος	ADJ;NOM	PROPN;NOM;FEM;SG
कुछ	μερικές	कुछ	μερικοί	DET	PRO;NOM;FEM;PL;3
कुछ	κάποια	कुछ	κάποιος	DET	PRO;NOM;NEUT;PL;3
कुछ	κάποιοι	कुछ	κάποιος	DET	PRO;NOM;MASC;PL;3
कुछ	μερικοί	कुछ	μερικοί	DET	PRO;NOM;MASC;PL;3
कुछ	μερικά	कुछ	μερικοί	DET	PRO;NOM;NEUT;PL;3
कुछ	κάτι	कुछ	κάτι	DET	PRO;NOM;NEUT;SG;3
कुछ	κατι	कुछ	κατι	DET	ADV
ईसा	ιησού	ईसा	ιησός	N;NOM;MASC;SG;3	N;VOC;MASC;SG
गाँव	χωριο	गाँव	χωριο	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
गाँव	χωριό	गाँव	χωριό	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
सरकार	κυβερνηση	सरकार	κυβερνηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
कड़ियाँ	σύνδεσμοι	कड़ी	σύνδεσμος	N;NOM;FEM;PL;3	N;ACC;MASC;SG
कड़ियाँ	συνδέσμους	कड़ी	σύνδεσμος	N;NOM;FEM;PL;3	N;ACC;MASC;PL
इसके	its	यह	its	PRO;MASC;SG;3	
दिया	δεδομένο	दे	δεδομένο	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;NEUT;SG
दिया	δεδομένου	दे	δεδομένο	V;PFV;MASC;SG;V.PTCP;ACT	ADV
अन्य	λοιπά	अन्य	λοιπός	N;NOM;MASC;SG;3	ADV
अन्य	αλλα	अन्य	αλλα	N;NOM;MASC;SG;3	ADV
अन्य	άλλες	अन्य	άλλος	N;NOM;MASC;SG;3	PRO;NOM;FEM;PL;3
अन्य	άλλα	अन्य	άλλος	N;NOM;MASC;SG;3	PRO;NOM;NEUT;PL;3
अन्य	άλλους	अन्य	άλλος	N;NOM;MASC;SG;3	PRO;NOM;MASC;PL;3
अन्य	άλλοι	अन्य	άλλος	N;NOM;MASC;SG;3	PRO;NOM;MASC;PL;3
अन्य	λοιποί	अन्य	λοιπός	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
अन्य	αλλοι	अन्य	αλλος	N;NOM;MASC;SG;3	PRO;NOM;MASC;PL;3
अन्य	άλλα	अन्य	άλλος	N;NOM;MASC;SG;3	PRO;NOM;NEUT;PL;3
वर्ष	χρονια	वर्ष	χρονος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
वर्ष	ετη	वर्ष	εγώ	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
वर्ष	χρόνια	वर्ष	χρόνος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
वर्ष	έτη	वर्ष	έτος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
वर्ष	έτος	वर्ष	έτος	N;NOM;MASC;SG;3	N;ACC;NEUT;SG
वर्ष	χρονιά	वर्ष	χρονιά	N;NOM;MASC;SG;3	N;ACC;FEM;SG
समय	χρονος	समय	χρονος	N;NOM;MASC;SG;3	DET;NOM;DEF;MASC;SG
समय	ώρα	समय	ώρα	N;NOM;MASC;SG;3	N;ACC;FEM;SG
समय	φορά	समय	φορά	N;NOM;MASC;SG;3	N;ACC;FEM;SG
समय	ωρα	समय	ωρα	N;NOM;MASC;SG;3	N;ACC;FEM;SG
समय	χρόνο	समय	χρόνος	N;NOM;MASC;SG;3	N;ACC;MASC;SG
वे	αυτοί	वह	αυτός	PRO;NOM;SG;3	PRO;NOM;MASC;PL;3
प्रकार	τύπου	प्रकार	τύπος	N;NOM;MASC;SG;3	N;GEN;MASC;SG
प्रकार	type	प्रकार	type	N;NOM;MASC;SG;3	
प्रकार	τύπους	प्रकार	τύπος	N;NOM;MASC;SG;3	N;ACC;MASC;PL
प्रकार	τύποι	प्रकार	τύπος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
भारतीय	ινδιάνος	भारतीय	ινδιάνος	PROPN;NOM;SG;3	N;NOM;MASC;SG
भारतीय	ινδικό	भारतीय	ινδικός	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
भारतीय	ινδός	भारतीय	ινδός	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
भारतीय	ινδική	भारतीय	ινδικός	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
किसी	καποιος	कोई	καποιος	PRO;ACC;SG;3	V;PFV;IND;SG;1;FIN;ACT
किसी	κάποιος	कोई	κάποιος	PRO;ACC;SG;3	PRO;NOM;MASC;SG;3
किसी	κάποιον	कोई	κάποιος	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
क्षेत्र	έκταση	क्षेत्र	έκταση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
क्षेत्र	περιοχές	क्षेत्र	περιοχή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अधिक	περισσότερο	अधिक	πολύ	DET	ADV;CMPR
अधिक	περισσότεροι	अधिक	πολύς	DET	ADJ;NOM;CMPR;MASC;PL
अधिक	πιο	अधिक	πιο	DET	ADV
अधिक	περισσότερες	अधिक	πολύς	DET	ADJ;NOM;CMPR;FEM;PL
अधिक	περισσότερα	अधिक	πολύς	DET	ADJ;NOM;CMPR;NEUT;PL
कई	πολλά	कई	πολύς	DET	ADJ;NOM;NEUT;PL
कई	πολλοι	कई	πολύς	DET	ADJ;NOM;MASC;PL
कई	πολλοί	कई	πολύς	DET	ADJ;NOM;MASC;PL
कई	πολλές	कई	πολύς	DET	ADJ;NOM;FEM;PL
कई	πολλα	कई	πολύς	DET	ADV
कई	αρκετές	कई	αρκετός	DET	PRO;NOM;FEM;PL;3
कई	αρκετοί	कई	αρκετός	DET	PRO;NOM;MASC;PL;3
वाले	γουέιλ	वाला	γουέιλ	V;MASC;PL;FIN;ACT	N
स्थित	εντοπίστηκε	स्थित	εντοπίζω	ADJ	V;PFV;IND;SG;3;PST;FIN;PASS
मण्डल	ζώνη	मण्डल	ζώνη	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
मण्डल	ζωνη	मण्डल	ζωνη	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
आधिकारिक	αξιωματούχος	आधिकारिक	αξιωματούχος	ADJ	N;NOM;MASC;SG
कारण	λόγους	कारण	λόγος	N;NOM;MASC;SG;3	N;ACC;MASC;PL
कारण	λόγοι	कारण	λόγος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कारण	προκαλεί	कारण	προκαλώ	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
कारण	αιτίες	कारण	αιτία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कारण	αίτια	कारण	αίτιο	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
जैसे	όπως	जैसे	όπως	CONJ	ADV
जैसे	οπως	जैसे	οπως	CONJ	ADV
जैसे	like	जैसे	like	CONJ	
जैसे	σαν	जैसे	σαν	CONJ	ADV
करता	νταήδες	कर	νταήδα	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;MASC;PL
उनके	τους	वह	μου	PRO;MASC;SG;3;FORM	PRO;GEN;MASC;PL;3
हिन्दी	χίντι	हिन्दी	χίντι	PROPN;NOM;FEM;SG;3	
हिन्दी	ινδικά	हिन्दी	ινδικά	PROPN;NOM;FEM;SG;3	ADV
बहुत	πολυ	बहुत	πολυ	DET	ADV
बहुत	πολύ	बहुत	πολύ	DET	ADV
पहले	πρίν	पहले	πρίν	ADV;NOM;MASC;SG;3	N
पहले	πρώτο	पहले	πρώτος	ADV;NOM;MASC;SG;3	NUM;NOM;NEUT;SG
पहले	πρώτη	पहले	πρώτος	ADV;NOM;MASC;SG;3	NUM;NOM;FEM;SG
पहले	πρώτος	पहले	πρώτος	ADV;NOM;MASC;SG;3	NUM;NOM;MASC;SG
अपनी	σαρκική	अपना	σαρκικός	PRO;NOM;FEM	ADJ;NOM;FEM;SG
दो	two	दो	two	NUM	
जब	πότε	जब	πότε	PRO;NOM	ADV
जब	όταν	जब	όταν	PRO;NOM	CONJ
जब	οταν	जब	οταν	PRO;NOM	CONJ
उन्होंने	αυτοί	वह	αυτός	PRO;SG;3;FORM	PRO;NOM;MASC;PL;3
उन्होंने	αιγύπτιοι	वह	αιγύπτιος	PRO;SG;3;FORM	ADJ;NOM;MASC;PL
जन्म	γεννήθηκα	जन्म	γεννώ	N;NOM;MASC;SG;3	V;PFV;IND;SG;1;PST;FIN;PASS
जन्म	γεννημένος	जन्म	γεννημένος	N;NOM;MASC;SG;3	V;PFV;NOM;MASC;SG;V.PTCP;PASS
जन्म	γεννήθηκε	जन्म	γεννώ	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PST;FIN;PASS
जन्म	γεννηθείς	जन्म	γεννηθής	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
जन्म	γέννησης	जन्म	γέννηση	N;NOM;MASC;SG;3	N;GEN;FEM;SG
जन्म	γέννηση	जन्म	γέννηση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
कोई	κόι	कोई	κόι	PRO;NOM;SG;3	N
कोई	οποιαδήποτε	कोई	οποιοσδήποτε	PRO;NOM;SG;3	PRO;NOM;FEM;SG;3
इन	inn	यह	inn	DET;ACC;PL;3	
इन	ιν	यह	ιν	DET;ACC;PL;3	
इन	πανδοχείο	यह	πανδοχείο	DET;ACC;PL;3	N;NOM;NEUT;SG
लेकिन	αλλα	लेकिन	αλλα	CONJ	ADV
लेकिन	μα	लेकिन	μα	CONJ	ADV
ये	αυτο	यह	αυτός	PRO;NOM;PL;3	PRO;NOM;NEUT;SG;3
ये	αυτό	यह	αυτός	PRO;NOM;PL;3	PRO;NOM;NEUT;SG;3
ये	αυτά	यह	αυτός	PRO;NOM;PL;3	PRO;NOM;NEUT;PL;3
ये	αυτές	यह	αυτός	PRO;NOM;PL;3	PRO;NOM;FEM;PL;3
ये	οἱ	यह	οἱ	PRO;NOM;PL;3	N
ये	αυτα	यह	αυτός	PRO;NOM;PL;3	PRO;NOM;NEUT;PL;3
कम	χαμηλά	कम	χαμηλός	DET	ADV
कम	χαμηλό	कम	χαμηλός	DET	ADJ;NOM;NEUT;SG
कम	χαμηλή	कम	χαμηλός	DET	ADJ;NOM;FEM;SG
कम	χαμηλός	कम	χαμηλός	DET	ADJ;NOM;MASC;SG
कम	λιγότεροι	कम	λίγο	DET	ADJ;NOM;CMPR;MASC;PL
कम	λιγότερες	कम	λίγος	DET	ADJ;NOM;CMPR;FEM;PL
कम	λιγότερα	कम	λίγο	DET	ADV;CMPR
कम	λιγότερους	कम	λίγος	DET	ADJ;NOM;CMPR;MASC;PL
कम	λιγότερο	कम	λίγο	DET	ADV;CMPR
कम	λιγότερες	कम	λίγος	DET	ADJ;NOM;CMPR;FEM;PL
कम	λιγότερα	कम	λίγο	DET	ADV;CMPR
लोग	κόσμος	लोग	κόσμος	N;NOM;MASC;PL;3	N;NOM;MASC;SG
लोग	ανθρώπους	लोग	άνθρωπος	N;NOM;MASC;PL;3	N;ACC;MASC;PL
आदि	κλπ	आदि	κλπ	PART	N
आदि	περισσότερο	आदि	πολύ	PART	ADV;CMPR
आदि	περισσότεροι	आदि	πολύς	PART	ADJ;NOM;CMPR;MASC;PL
आदि	πιο	आदि	πιο	PART	ADV
आदि	περισσότερες	आदि	πολύς	PART	ADJ;NOM;CMPR;FEM;PL
आदि	περισσότερα	आदि	πολύς	PART	ADJ;NOM;CMPR;NEUT;PL
प्राचीन	πρωτόγονο	प्राचीन	πρωτόγονο	ADJ;NOM	N;NOM;NEUT;SG
प्राचीन	πραίτορα	प्राचीन	πραίτορα	ADJ;NOM	N
देखें	δείτε	देख	βλέπω	V;SBJV;PL;FIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
देखें	ρολόι	देख	ρολός	V;SBJV;PL;FIN;ACT	N;NOM;NEUT;SG
देखें	δείτε	देख	βλέπω	V;SBJV;PL;FIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
देखें	βλέπεις	देख	βλέπη	V;SBJV;PL;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
देखें	βλέπε	देख	βλέπω	V;SBJV;PL;FIN;ACT	
देखें	δειτε	देख	δειτε	V;SBJV;PL;FIN;ACT	
देखें	θεα	देख	θεα	V;SBJV;PL;FIN;ACT	N;NOM;FEM;SG
देखें	θέα	देख	θέα	V;SBJV;PL;FIN;ACT	N;NOM;FEM;SG
देखें	όψη	देख	όψο	V;SBJV;PL;FIN;ACT	N;NOM;FEM;SG
देखें	προβολή	देख	προβολή	V;SBJV;PL;FIN;ACT	N;NOM;FEM;SG
देखें	view	देख	view	V;SBJV;PL;FIN;ACT	
उत्तर	απαντηση	उत्तर	απαντηση	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
उत्तर	απάντησε	उत्तर	απαντώ	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
उत्तर	απαντήστε	उत्तर	απαντώ	PROPN;NOM;MASC;SG;3	V;PFV;IMP;PL;2;FIN;ACT
उत्तर	απάντηση	उत्तर	απάντηση	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
उत्तर	βορρά	उत्तर	βορράς	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
उत्तर	βορεια	उत्तर	βορεια	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्तर	βόρεια	उत्तर	βόρεια	PROPN;NOM;MASC;SG;3	ADV
उत्तर	βορράς	उत्तर	βορράς	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्तर	απαντήσεις	उत्तर	απάντηση	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
भाषा	γλώσσες	भाषा	γλώσσα	N;NOM;FEM;SG;3	N;NOM;FEM;PL
भाषा	γλωσσα	भाषा	γλωσσα	N;NOM;FEM;SG;3	N;ACC;FEM;SG
लिये	για	ले	για	V;PFV;MASC;SG;V.PTCP;ACT	ADP
लिये	for	ले	for	V;PFV;MASC;SG;V.PTCP;ACT	
सभी	ολα	सब	όλος	PRO;NOM;3	ADV
सभी	όλοι	सब	όλος	PRO;NOM;3	ADJ;NOM;MASC;PL
सभी	όλες	सब	όλος	PRO;NOM;3	ADJ;NOM;FEM;PL
सभी	όλα	सब	όλος	PRO;NOM;3	ADJ;NOM;NEUT;PL
प्राप्त	ελήφθη	प्राप्त	λαμβάνω	ADJ	V;PFV;IND;SG;3;PST;FIN;PASS
प्राप्त	έλαβε	प्राप्त	λαμβάνω	ADJ	V;PFV;IND;SG;3;PST;FIN;ACT
प्राप्त	λαμβάνουν	प्राप्त	λαμβάνω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;ACT
प्राप्त	λάβετε	प्राप्त	λαμβάνω	ADJ	V;PFV;IMP;PL;2;FIN;ACT
इसका	its	यह	its	PRO;MASC;SG;3	
प्रयोग	πειράματα	प्रयोग	πείραμα	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
शामिल	περιλαμβάνονται	शामिल	περιλαμβάνω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;PASS
शामिल	περιλαμβάνει	शामिल	περιλαμβάνω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
शामिल	συμπεριλαμβάνεται	शामिल	συμπεριλαμβάνω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
शामिल	περιλαμβάνονται	शामिल	περιλαμβάνω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;PASS
शामिल	συμπεριλαμβάνονται	शामिल	συμπεριλαμβάνω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;PASS
शामिल	περιλαμβάνεται	शामिल	περιλαμβάνω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
शामिल	συμπεριλάβετε	शामिल	συμπεριλαμβάνω	ADJ	V;PFV;IND;PL;2;FIN;ACT
शामिल	συμπερίληψη	शामिल	συμπερίληψη	ADJ	N;ACC;FEM;SG
शामिल	περιλαμβάνουν	शामिल	περιλαμβάνω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;ACT
उन्हें	τους	वह	μου	PRO;SG;3;FORM	PRO;GEN;MASC;PL;3
उस	αυτό	वह	αυτός	DET;ACC;SG;3	PRO;NOM;NEUT;SG;3
उस	ότι	वह	ότι	DET;ACC;SG;3	CONJ
उस	that	वह	that	DET;ACC;SG;3	
स्थान	τοποθεσίες	स्थान	τοποθεσία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्थान	τόποι	स्थान	τόπος	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्थान	μέρη	स्थान	μέρος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
स्थान	τοποθεσίες	स्थान	τοποθεσία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रमुख	αρχηγέ	प्रमुख	αρχηγός	N;NOM;MASC;SG;3	N;VOC;MASC;SG
प्रमुख	ταγματάρχη	प्रमुख	ταγματάρχης	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रमुख	κύρια	प्रमुख	κύριος	N;NOM;MASC;SG;3	ADV
बीच	παραλία	बीच	παραλία	ADV;NOM;MASC;SG;3	N;NOM;FEM;SG
बीच	παραλια	बीच	παράλια	ADV;NOM;MASC;SG;3	N;NOM;FEM;SG
बीच	κέντρο	बीच	κέντρο	ADV;NOM;MASC;SG;3	N;NOM;NEUT;SG
बीच	κεντρο	बीच	κεντρο	ADV;NOM;MASC;SG;3	N;NOM;NEUT;SG
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	
गए	έφυγε	जा	φεύγω	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
गए	εφυγε	जा	φύγω	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
गए	πήγε	जा	πηγαίνω	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
मुख्य	αρχηγός	मुख्य	αρχηγός	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मुख्य	αρχηγέ	मुख्य	αρχηγός	PROPN;NOM;MASC;SG;3	N;VOC;MASC;SG
मुख्य	κύρια	मुख्य	κύριος	PROPN;NOM;MASC;SG;3	ADV
थी	ήταν	था	είμαι	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
बिहार	μπιχάρ	बिहार	μπιχάρ	PROPN;NOM;MASC;SG;3	
उसे	αυτόν	वह	αυτός	PRO;SG;3	PRO;ACC;MASC;SG;3
कार्य	καθήκοντα	कार्य	καθήκον	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
कार्य	εργασίες	कार्य	εργασία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्य	δουλεια	कार्य	δουλεια	N;NOM;MASC;SG;3	N;ACC;FEM;SG
कार्य	δουλειές	कार्य	δουλειή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्य	εργασίες	कार्य	εργασία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	
नगर	town	नगर	town	N;NOM;MASC;SG;3	
नगर	city	नगर	city	N;NOM;MASC;SG;3	
उपयोग	χρήση	उपयोग	χρήση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
उपयोग	χρησιμοποίηση	उपयोग	χρησιμοποίηση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
उपयोग	χρήσεις	उपयोग	χρήση	N;NOM;MASC;SG;3	N;NOM;FEM;PL
उपयोग	χρησιμοποιεί	उपयोग	χρησιμοποιώ	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
उपयोग	χρήσεων	उपयोग	χρήση	N;NOM;MASC;SG;3	N;GEN;FEM;PL
लोगों	ατομα	लोग	ατομα	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
लोगों	ανθρωποι	लोग	ανθρώπος	N;ACC;MASC;PL;3	N;NOM;MASC;PL
लोगों	άνθρωποι	लोग	άνθρωπος	N;ACC;MASC;PL;3	N;NOM;MASC;PL
लोगों	κόσμος	लोग	κόσμος	N;ACC;MASC;PL;3	N;NOM;MASC;SG
लोगों	άτομα	लोग	άτομο	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
आधार	βάση	आधार	βάση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
आधार	βάση	आधार	βάση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
काम	εργασίες	काम	εργασία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
काम	δουλεια	काम	δουλεια	N;NOM;MASC;SG;3	N;ACC;FEM;SG
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
जीवन	ζωή	जीवन	ζωή	N;NOM;MASC;SG;3	N;ACC;FEM;SG
जीवन	ζωη	जीवन	ζωη	N;NOM;MASC;SG;3	N;ACC;FEM;SG
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	
विश्व	κόσμο	विश्व	κόσμος	N;NOM;MASC;SG;3	N;ACC;MASC;SG
भाग	τμήματα	भाग	τμήμα		N;NOM;NEUT;PL
भाग	ενότητες	भाग	ενότητα		N;NOM;FEM;PL
भाग	μέρος	भाग	μέρος		N;NOM;NEUT;SG
भाग	μεροσ	भाग	μεροσ		N;NOM;NEUT;SG
भाग	μέρη	भाग	μέρος		N;NOM;NEUT;PL
निर्माण	δημιουργία	निर्माण	δημιουργία	N;NOM;MASC;SG;3	N;ACC;FEM;SG
निर्माण	ναυπήγηση	निर्माण	ναυπήγηση	N;NOM;MASC;SG;3	N;ACC;FEM;SG
निर्माण	κατασκευές	निर्माण	κατασκευή	N;NOM;MASC;SG;3	N;NOM;FEM;PL
राष्ट्रीय	εθνικός	राष्ट्रीय	εθνικός	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
राष्ट्रीय	εθνικό	राष्ट्रीय	εθνικός	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
राष्ट्रीय	εθνικη	राष्ट्रीय	εθνικη	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
राष्ट्रीय	εθνική	राष्ट्रीय	εθνικός	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	
जानकारी	πληροφορίες	जानकारी	πληροφορία	N;NOM;FEM;SG;3	N;NOM;FEM;PL
जानकारी	πληροφορίες	जानकारी	πληροφορία	N;NOM;FEM;SG;3	N;NOM;FEM;PL
जानकारी	πληροφορία	जानकारी	πληροφορία	N;NOM;FEM;SG;3	N;ACC;FEM;SG
जानकारी	πληροφόρηση	जानकारी	πληροφόρηση	N;NOM;FEM;SG;3	N;ACC;FEM;SG
शहर	city	शहर	city	N;NOM;MASC;SG;3	
शहर	πόλεων	शहर	πόλη	N;NOM;MASC;SG;3	N;GEN;FEM;PL
शहर	πόλεις	शहर	πόλη	N;NOM;MASC;SG;3	N;NOM;FEM;PL
