den	de	den	de	PRO;DEF;MASC+FEM;SG	DET;DEF
sjön	meer	sjö	veel	N;NOM;DEF;MASC+FEM;SG	PRO
tidigare	vroeger	tidig	vroeger	ADV;CMPR	ADJ;CMPR
tidigare	voormalig	tidig	voormalig	ADV;CMPR	ADJ
tidigare	voormalige	tidig	voormalig	ADV;CMPR	ADJ
tidigare	voorgaande	tidig	voorgaan	ADV;CMPR	V;V.PTCP
tidigare	vorig	tidig	vorig	ADV;CMPR	ADJ
tidigare	vorige	tidig	vorig	ADV;CMPR	ADJ
tidigare	eerdere	tidig	eerder	ADV;CMPR	PRO
brasilien	brazilië	brasili	brazilië	PROPN;NOM	PROPN;NEUT;SG
colombia	columbia	colombia	columbia	PROPN;NOM	N;MASC+FEM;SG
colombia	colombia	colombia	colombia	PROPN;NOM	N;NEUT;SG
colombia	colombia	colombia	colombia	PROPN;NOM	N;NEUT;SG
score	scoren	score	scoren	N;NOM;INDF;MASC+FEM;SG	V;NFIN
spanien	spanje	spani	spanje	PROPN;NOM	PROPN;NEUT;SG
mount	mount	mount	mounen	PROPN;NOM	N;MASC+FEM;SG
mount	aankoppelen	mount	aankoppelen	PROPN;NOM	V;NFIN
stora	large	stor	larg	ADJ;NOM;PL	
stora	big	stor	big	ADJ;NOM;PL	N;MASC+FEM;SG
stora	stora	stor	stora	ADJ;NOM;PL	N;MASC+FEM;SG
kinshasa	kinshasa	kinshasa	kinshasa	PROPN;NOM	N;NEUT;SG
omgivande	omringende	omgivande	omringen	ADJ;NOM;PRS;V.PTCP	V;V.PTCP
tre	tre	tre	tre	NUM;NOM	N;MASC+FEM;SG
tre	three	tre	three	NUM;NOM	
shift	verschuiven	shift	verschuiven	N;NOM;INDF;MASC+FEM;SG	V;NFIN
algeriet	algerije	algeri	algerije	N;NOM;DEF;NEUT;SG	PROPN;NEUT;SG
chile	chili	chile	chili	PROPN;NOM	N;NEUT;SG
mer	more	mycket	more	ADV;CMPR	
mer	meer	mycket	veel	ADV;CMPR	PRO
kongo	congo	kongo	congo	PROPN;NOM	N;NEUT;SG
öst	oostelijk	öst	oostelijk	N	ADJ
öst	oostelijke	öst	oostelijk	N	ADJ
von	von	von	von	PROPN;NOM	PROPN;MASC+FEM;SG
wat	wat	wat	wat	N;NOM;INDF;MASC+FEM;SG	PRO;3
släkte	fokken	släkte	fokken	N;NOM;INDF;NEUT;SG	V;NFIN
släkte	voortplanten	släkte	voortplant	N;NOM;INDF;NEUT;SG	V;NFIN
släkte	geslachten	släkte	slachten	N;NOM;INDF;NEUT;SG	N;PL
västlig	western	västlig	western	ADJ;NOM;INDF;MASC+FEM;SG	N;NEUT;SG
blir	wordt	bli	worden	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
blir	word	bli	worden	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
blir	worden	bli	worden	V;IND;PRS;FIN;ACT	V;PL;PRS;FIN
blir	wordt	bli	worden	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
sydvästra	zuidwest	sydvästra	zuidwest	ADJ;NOM;DEF;SG	N;NEUT;SG
sydvästra	southwestern	sydvästra	southwestern	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
sydvästra	zuidwest	sydvästra	zuidwest	ADJ;NOM;DEF;SG	N;NEUT;SG
sydvästra	zuidwesten	sydvästra	zuidwesten	ADJ;NOM;DEF;SG	N;NEUT;SG
lite	lite	lite	lite	ADV	N;MASC+FEM;SG
öppet	openlijk	öppen	openlijk	ADV	ADJ
öppet	open	öppen	open	ADV	ADJ
öppet	openen	öppen	openen	ADV	V;NFIN
öppet	transparant	öppen	transparant	ADV	ADJ
öppet	transparante	öppen	transparante	ADV	ADJ
öppet	doorzichtig	öppen	doorzichtig	ADV	ADJ
delstat	staat	delstad	staan	N;NOM;INDF;MASC+FEM;SG	V;SG;PRS;FIN
innan	vóór	innan	voor	CONJ	ADP
fram	front	fram	front	ADV	
fram	voorkant	fram	voorkant	ADV	N;MASC+FEM;SG
fram	voorzijde	fram	voorzijde	ADV	N;MASC+FEM;SG
canberra	canberra	canberra	canberra	PROPN;NOM	N;NEUT;SG
mål	doelstellingen	mål	doelstelling	N;NOM;INDF;NEUT;SG	N;PL
mål	doelstellingen	mål	doelstelling	N;NOM;INDF;NEUT;SG	N;PL
mål	doelpunten	mål	doelpunt	N;NOM;INDF;NEUT;SG	N;PL
mål	goals	mål	goal	N;NOM;INDF;NEUT;SG	N;PL
mål	doelen	mål	doel	N;NOM;INDF;NEUT;SG	N;PL
län	provincies	län	provincie	N;NOM;INDF;NEUT;SG	N;PL
bosnien	bosnië	bosnie	bosnië	N;NOM;INDF;MASC+FEM;SG	PROPN;NEUT;SG
john	johannes	john	johanne	PROPN;NOM	N;PL
john	john	john	john	PROPN;NOM	N;MASC+FEM;SG
hercegovina	herzegovina	hercegovin	herzegovina	N;NOM;INDF;MASC+FEM;SG	PROPN;NEUT;SG
nordöstra	northeastern	nordöstra	northeastern	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
nordöstra	noordoost	nordöstra	noordoost	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
nordöstra	noordoosten	nordöstra	noordoosten	ADJ;NOM;DEF;SG	N;NEUT;SG
bara	enkel	bara	enkel	ADV	PRO
bara	gewoon	bara	gewoon	ADV	ADJ
ska	ska	skola	ska	V;IND;PRS;FIN;ACT	N;MASC+FEM;SG
ontario	ontario	ontario	ontario	PROPN;NOM	N;MASC+FEM;SG
carl	carl	carl	carl	PROPN;NOM	N;MASC+FEM;SG
dess	its	den	its	PRO;DEF	
amerikansk	amerikaan	amerikansk	amerikaan	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC+FEM;SG
helsingfors	helsinki	helsingfors	helsinki	PROPN;NOM	N;NEUT;SG
ofta	regelmatig	ofta	regelmatig	ADV	ADJ
ofta	veelvuldig	ofta	veelvuldig	ADV	ADJ
ofta	frequent	ofta	frequent	ADV	ADJ
ofta	vaak	ofta	vaak	ADV	ADJ
ofta	vaak	ofta	vaak	ADV	ADJ
några	enkele	någon	enkele	DET;INDF;PL	PRO
några	sommigen	någon	sommigen	DET;INDF;PL	PRO
några	sommige	någon	sommig	DET;INDF;PL	PRO
kommer	will	komma	will	V;IND;PRS;FIN;ACT	
kommer	zal	komma	zullen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
kommer	zullen	komma	zullen	V;IND;PRS;FIN;ACT	V;PL;PRS;FIN
kommer	coming	komma	coming	V;IND;PRS;FIN;ACT	N;MASC+FEM;SG
exempel	voorbeelden	exempel	voorbeeld	N;NOM;INDF;NEUT;SG	N;PL
någon	elke	någon	elk	PRO;INDF;MASC+FEM;SG	DET
gräsmarker	grasland	gräsmark	grasland	V;IND;PRS;FIN;ACT	N;NEUT;SG
gräsmarker	graslanden	gräsmark	grasland	V;IND;PRS;FIN;ACT	N;PL
saint	heilige	saint	heilige	N;NOM;INDF;MASC+FEM;SG	ADJ
något	ietwat	någon	ietwat	PRO;INDF;NEUT;SG	ADV
något	enigszins	någon	enigszins	PRO;INDF;NEUT;SG	ADV
något	enigzins	någon	enigzins	PRO;INDF;NEUT;SG	ADV
något	lichtjes	någon	licht	PRO;INDF;NEUT;SG	N;PL
något	enigszins	någon	enigszins	PRO;INDF;NEUT;SG	ADV
något	lichtelijk	någon	lichtelijk	PRO;INDF;NEUT;SG	ADJ
stor	large	stor	larg	ADJ;NOM;INDF;MASC+FEM;SG	
stor	big	stor	big	ADJ;NOM;INDF;MASC+FEM;SG	N;MASC+FEM;SG
ingen	geen	ingen	geen	PRO;INDF;MASC+FEM;SG	DET
ingen	niemand	ingen	niemand	PRO;INDF;MASC+FEM;SG	PRO;3
kallt	kou	kallt	kou	ADJ;NOM;INDF;NEUT;SG	N;MASC+FEM;SG
jawa	jawa	jawa	jawa	NUM;NOM	N;MASC+FEM;SG
får	schapen	få	schaap	V;IND;PRS;FIN;ACT	N;PL
får	schaap	få	schaap	V;IND;PRS;FIN;ACT	N;NEUT;SG
mest	meesten	mycket	veel	ADV;RL	PRO
mest	most	mycket	mosten	ADV;RL	
mest	meeste	mycket	veel	ADV;RL	PRO
mest	meest	mycket	veel	ADV;RL	PRO
mest	voornamelijk	mycket	voornamelijk	ADV;RL	ADJ
mest	hoofdzakelijk	mycket	hoofdzakelijk	ADV;RL	ADJ
ger	ger	ge	ger	V;IND;PRS;FIN;ACT	N;MASC+FEM;SG
mosaik	mozaïek	mosaik	mozaïek	ADJ;NOM;INDF;MASC+FEM;SG	N;NEUT;SG
team	ploegen	team	ploeg	N;NOM;INDF;NEUT;SG	N;PL
team	teams	team	team	N;NOM;INDF;NEUT;SG	N;PL
hela	genezen	hel	genezen	ADJ;NOM;DEF;SG	V;V.PTCP
hela	genees	hel	genees	ADJ;NOM;DEF;SG	V;SG;PRS;FIN
nordvästra	northwestern	nordvästra	northwestern	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
nordvästra	noordwest	nordvästra	noordwest	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
nordvästra	noordwesten	nordvästra	noordwesten	ADJ;NOM;DEF;SG	N;NEUT;SG
nordvästra	noordwest	nordvästra	noordwest	ADJ;NOM;DEF;SG	N;MASC+FEM;SG
angola	angola	angola	angola	PROPN;NOM	PROPN;NEUT;SG
columbia	columbia	columbia	columbia	PROPN;NOM	N;MASC+FEM;SG
columbia	colombia	columbia	colombia	PROPN;NOM	N;NEUT;SG
tyskland	duitsland	tyskland	duitsland	PROPN;NOM	PROPN;NEUT;SG
distrikt	districten	distrikt	district	N;NOM;INDF;NEUT;SG	N;PL
distrikt	wijken	distrikt	wijken	N;NOM;INDF;NEUT;SG	N;PL
fyra	four	fyra	four	NUM;NOM	
fyra	fyra	fyra	fyra	NUM;NOM	N;MASC+FEM;SG
quebrada	quebrada	kuebrad	quebrada	V;FIN;ACT	N;MASC+FEM;SG
eftersom	want	eftersom	want	CONJ	CONJ
mexiko	mexicaanse	mexiko	mexicaans	PROPN;NOM	ADJ
mexiko	mexico	mexiko	mexico	PROPN;NOM	PROPN;NEUT;SG
london	londen	london	lond	PROPN;NOM	PROPN;NEUT;SG
används	gebruikte	använda	gebruiken	V;IND;PRS;FIN;PASS	V;SG;PST;FIN
går	goes	gå	goes	V;IND;PRS;FIN;ACT	N;MASC+FEM;SG
barn	kids	barn	kids	N;NOM;INDF;NEUT;PL	N;MASC+FEM;SG
barn	kind	barn	kind	N;NOM;INDF;NEUT;PL	N;NEUT;SG
barn	kindje	barn	kind	N;NOM;INDF;NEUT;PL	N;NEUT;SG
kunde	kan	kunna	kunnen	V;IND;PST;FIN;ACT	V;SG;PRS;FIN
kunde	kon	kunna	kunnen	V;IND;PST;FIN;ACT	V;SG;PST;FIN
både	allebei	både	allebei	CONJ	PRO
både	beiden	både	beide	CONJ	PRO
