터치스크린	pekskärm	터치스크린	pekskärm		N;NOM;INDF;MASC+FEM;SG
갈라타사라이	galatasaray	갈라타사라이	galatasaray		N;NOM;INDF;MASC+FEM;SG
나오코	naoko	나오코	naoko		N;NOM;INDF;MASC+FEM;SG
비정상적인	onormal	비정상+적+이+ㄴ	onormal	V	ADJ;NOM;INDF;MASC+FEM;SG
비정상적인	onormala	비정상+적+이+ㄴ	onormal	V	ADJ;NOM;PL
비정상적인	avvikande	비정상+적+이+ㄴ	avvikande	V	ADJ;NOM;PRS;V.PTCP
비정상적인	onormalt	비정상+적+이+ㄴ	onormal	V	ADJ;NOM;INDF;NEUT;SG
코스트	kusten	코스트	kust		N;NOM;DEF;MASC+FEM;SG
코스트	kust	코스트	kust		N;NOM;INDF;MASC+FEM;SG
코스트	coast	코스트	coast		N;NOM;INDF;NEUT;SG
바스크	baskiska	바스크	baskisk	PROPN	ADJ;NOM;PL
켈러	keller	켈러	kell		PROPN;NOM
비너스	venus	비너스	venus		PROPN;NOM
손상	skadade	손상	skada	N	ADJ;NOM;PL;PST;V.PTCP
손상	skadat	손상	skada	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
손상	skadad	손상	skada	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
소매	detaljhandeln	소매	detaljhandel		N;NOM;DEF;MASC+FEM;SG
소매	detaljhandel	소매	detaljhandel		N;NOM;INDF;MASC+FEM;SG
소매	ärmar	소매	ärma		N;NOM;INDF;MASC+FEM;PL
소매	ärm	소매	ärm		N;NOM;INDF;MASC+FEM;SG
인피니티	oändligheten	인피니티	oändlighet		N;NOM;DEF;MASC+FEM;SG
인피니티	oändligt	인피니티	oändlig		ADV
인피니티	oändlighet	인피니티	oändlighet		N;NOM;INDF;MASC+FEM;SG
호흡	andas	호흡	anda	N	V;IMP;FIN;ACT
호흡	andas	호흡	anda	N	V;IMP;FIN;ACT
경쟁력	konkurrenskraftigt	경쟁력	konkurrenskraftig	N	ADJ;NOM;INDF;NEUT;SG
경쟁력	konkurrenskraftig	경쟁력	konkurrenskraftig	N	ADJ;NOM;INDF;MASC+FEM;SG
경쟁력	konkurrenskraftiga	경쟁력	konkurrenskraftig	N	ADJ;NOM;PL
캐럴	carol	캐+아+내+ㄹ	carol		PROPN;NOM
캐럴	carroll	캐+아+내+ㄹ	carroll		PROPN;NOM
파이브	fem	파이브	fem		NUM;NOM
파이브	five	파이브	five		N;NOM;INDF;NEUT;SG
긴자	ginza	긴자	ginza		N;NOM;DEF;MASC+FEM;SG
사라예보	sarajevo	사라예보	sarajevo	PROPN	PROPN;NOM
모닝	godmorgon	모닝	godmorgon		N;NOM;INDF;MASC+FEM;SG
모닝	morgon	모닝	morgon		N;NOM;INDF;MASC+FEM;SG
모닝	morning	모닝	morning		N;NOM;INDF;MASC+FEM;SG
카린	karin	카리+ㄴ	karin		PROPN;NOM
페루자	perugia	페루+자	perugia	PROPN	PROPN;NOM
악당	skurk	악당	skurk		N;NOM;INDF;MASC+FEM;SG
인디언스	indier	인디언스	indi	PROPN	N;NOM;INDF;NEUT;SG
인디언스	indianer	인디언스	indian	PROPN	N;NOM;INDF;MASC+FEM;PL
인디언스	indianerna	인디언스	indian	PROPN	N;NOM;DEF;MASC+FEM;PL
사노	sano	사노	sano		V;IMP;FIN;ACT
보르네오	borneo	보르네오	borneo	PROPN	N;NOM;INDF;NEUT;SG
합법적인	lagligt	합법+적+이+ㄴ	laglig	V	ADJ;NOM;INDF;NEUT;SG
합법적인	äkta	합법+적+이+ㄴ	äkta	V	ADJ;NOM
합법적인	legitimt	합법+적+이+ㄴ	legitim	V	ADJ;NOM;INDF;NEUT;SG
합법적인	rättsligt	합법+적+이+ㄴ	rättslig	V	ADJ;NOM;INDF;NEUT;SG
합법적인	rättslig	합법+적+이+ㄴ	rättslig	V	ADJ;NOM;INDF;MASC+FEM;SG
합법적인	lagligt	합법+적+이+ㄴ	laglig	V	ADJ;NOM;INDF;NEUT;SG
합법적인	juridiska	합법+적+이+ㄴ	juridisk	V	ADJ;NOM;PL
합법적인	rättsliga	합법+적+이+ㄴ	rättslig	V	ADJ;NOM;PL
나미비아	namibia	나미비아	namibi	PROPN	PROPN;NOM
휴식	bryta	휴식	bryta	N	V;IMP;FIN;ACT
휴식	bryt	휴식	bryta	N	V;IMP;FIN;ACT
휴식	vilande	휴식	vilande	N	ADJ;NOM;PRS;V.PTCP
휴식	vilar	휴식	vila	N	V;IND;PRS;FIN;ACT
휴식	vila	휴식	vila	N	V;IMP;FIN;ACT
리코	ricoh	리코	ricoh		PROPN;NOM
북극	arktis	북극	arktis		PROPN;NOM
북극	arktiska	북극	arktisk		ADJ;NOM;PL
퀄컴	qualcomm	퀄컴	qualcomm	N	PROPN;NOM
똑바로	straight	똑바로	straight		N;NOM;INDF;MASC+FEM;SG
똑바로	rakt	똑바로	rak		ADV
똑바로	rak	똑바로	rak		ADJ;NOM;INDF;MASC+FEM;SG
똑바로	raka	똑바로	rak		ADJ;NOM;PL
캘거리	calgary	캘거리	calgary	PROPN	PROPN;NOM
친절한	snäll	친절+하+ㄴ	snäll	V	ADJ;NOM;INDF;MASC+FEM;SG
로테르담	rotterdam	로테르담	rotterdam	PROPN	PROPN;NOM
빌드	bygg	빌드	bygg	N	V;IMP;FIN;ACT
빌드	bygga	빌드	bygga	N	V;IMP;FIN;ACT
빌드	bygger	빌드	bygga	N	V;IND;PRS;FIN;ACT
실리콘	silikon	실리콘	silikon		N;NOM;INDF;NEUT;SG
실리콘	silicon	실리콘	silicon		N;NOM;INDF;MASC+FEM;SG
실리콘	kisel	실리콘	kisel		N;NOM;INDF;NEUT;SG
실리콘	silikon	실리콘	silikon		N;NOM;INDF;NEUT;SG
생선	fisk	생선	fisk		N;NOM;INDF;MASC+FEM;SG
생선	fiska	생선	fisk		V;NFIN;ACT
생선	fiskar	생선	fisk		N;NOM;INDF;MASC+FEM;PL
레프	lev	레프	lev		N;NOM;INDF;MASC+FEM;SG
리에주	liège	리에주	liège		PROPN;NOM
브루나이	brunei	브루나이	brunei	PROPN	N;NOM;INDF;NEUT;SG
쌓인	staplade	쌓이+ㄴ	stapla		ADJ;NOM;PL;PST;V.PTCP
움직여	drag	움직이+어	drag		N;NOM;INDF;NEUT;SG
움직여	flytta	움직이+어	flytta		V;IMP;FIN;ACT
급속한	rapid	급속+하+ㄴ	rapid	V	N;NOM;INDF;NEUT;SG
급속한	snabb	급속+하+ㄴ	snabb	V	ADJ;NOM;INDF;MASC+FEM;SG
정화	rening	정화	rening		N;NOM;INDF;MASC+FEM;SG
나카타	nakata	나카타	nakata		N;NOM;INDF;MASC+FEM;SG
원고	käranden	원+고	kärande		N;NOM;INDF;NEUT;PL
원고	käranden	원+고	kärande		N;NOM;INDF;NEUT;PL
크리스티	christie	크리스티	christie		PROPN;NOM
해외로	utomeuropeiska	해외+로	utomeuropeiska	ADV	ADJ;NOM;PL
해외로	utlandet	해외+로	utland	ADV	N;NOM;DEF;NEUT;SG
엑스포	mässan	엑스포	mässa		N;NOM;DEF;MASC+FEM;SG
엑스포	expo	엑스포	expo		PROPN;NOM
컴파일러	sammanställningen	컴파일러	sammanställning		N;NOM;DEF;MASC+FEM;SG
컴파일러	sammanställning	컴파일러	sammanställning		N;NOM;INDF;MASC+FEM;SG
컴파일러	kompilatorer	컴파일러	kompilator		N;NOM;INDF;MASC+FEM;PL
컴파일러	kompilator	컴파일러	kompilator		N;NOM;INDF;MASC+FEM;SG
그릇	bowl	그릇	bowl		PROPN;NOM
그릇	skålar	그릇	skåla		N;NOM;INDF;MASC+FEM;PL
힐러리	hillary	힐러리	hillary	PROPN	PROPN;NOM
힐러리	hilary	힐러리	hilary	PROPN	N;NOM;INDF;MASC+FEM;SG
힐러리	hilary	힐러리	hilary	PROPN	N;NOM;INDF;MASC+FEM;SG
캅카스	kaukasus	캅카스	kaukasus	PROPN	PROPN;NOM
캅카스	kaukasien	캅카스	kaukasiun	PROPN	N;NOM;INDF;MASC+FEM;SG
캅카스	polis	캅카스	polis	PROPN	N;NOM;INDF;MASC+FEM;SG
캅카스	cop	캅카스	cop	PROPN	N;NOM;INDF;MASC+FEM;SG
캅카스	snut	캅카스	snut	PROPN	ADJ;NOM;INDF;MASC+FEM;SG
나카니시	nakanishi	나카니시	nakanishi		N;NOM;DEF;MASC+FEM;SG
촛불	ljus	촛불	ljus		N;NOM;INDF;NEUT;SG
촛불	stearinljus	촛불	stearinljus		N;NOM;INDF;NEUT;SG
촛불	ljus	촛불	ljus		N;NOM;INDF;NEUT;SG
촛불	stearinljus	촛불	stearinljus		N;NOM;INDF;NEUT;SG
우랄	ural	우랄	ural		PROPN;NOM
상점	handla	상점	handla	N	V;IMP;FIN;ACT
상점	lagrar	상점	lagra	N	V;IND;PRS;FIN;ACT
상점	förvaras	상점	förvara	N	V;IND;PRS;FIN;PASS
상점	lagra	상점	lag	N	V;IMP;FIN;ACT
스티븐스	steven	스티븐스	stev	PROPN	PROPN;NOM
스티븐스	stevens	스티븐스	stev	PROPN	PROPN;GEN
부재	avsaknad	부재	avsakna	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
바꾸기	strömbrytare	바꾸+기	strömbrytare	V	N;NOM;INDF;MASC+FEM;PL
바꾸기	ändring	바꾸+기	ändring	V	N;NOM;INDF;MASC+FEM;SG
바꾸기	förändring	바꾸+기	förändring	V	N;NOM;INDF;MASC+FEM;SG
분홍색	rosa	분홍색	rosa		N;NOM;INDF;MASC+FEM;SG
분홍색	pinks	분홍색	pinks		N;NOM;INDF;MASC+FEM;SG
요리사	cook	요리사	cook		PROPN;NOM
요리사	kock	요리사	kock		N;NOM;INDF;MASC+FEM;SG
요리사	kock	요리사	kock		N;NOM;INDF;MASC+FEM;SG
요리사	kocken	요리사	kock		N;NOM;DEF;MASC+FEM;SG
할당된	tilldelat	할당+되+ㄴ	tilldela	V	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
할당된	tilldelad	할당+되+ㄴ	tilldelad	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
저작권자	copyright	저작권자	copyright	N	V;IMP;FIN;ACT
말하기	talande	말하+기	tala	V	ADJ;NOM;PRS;V.PTCP
헤더	huvud	헤더	huvud		N;NOM;INDF;NEUT;SG
헤더	heather	헤더	heather		PROPN;NOM
헤더	huvuden	헤더	huvud		N;NOM;INDF;NEUT;PL
산술	aritmetiska	산술	aritmetisk	N	ADJ;NOM;PL
십자	cross	십자	cross		N;NOM;INDF;MASC+FEM;SG
십자	kryss	십자	kryss		N;NOM;INDF;NEUT;SG
십자	korsa	십자	korsa		V;IMP;FIN;ACT
십자	kors	십자	kors		N;NOM;INDF;NEUT;SG
사산	dödfött	사산	dödföda	PROPN	N;NOM;INDF;NEUT;SG
카스트로	castros	카스트+로	castros		PROPN;GEN
카스트로	castro	카스트+로	castro		PROPN;NOM
라이스	rice	라이스	rice		N;NOM;INDF;NEUT;SG
라이스	ris	라이스	ris		N;NOM;INDF;NEUT;SG
페르미	fermi	페르미	fermi	N	PROPN;NOM
사춘기	tonåring	사춘기	tonåring		N;NOM;INDF;MASC+FEM;SG
사춘기	puberteten	사춘기	pubertet		N;NOM;DEF;MASC+FEM;SG
사춘기	tonåren	사춘기	tonår		N;NOM;DEF;MASC+FEM;SG
베넷	bennett	베넷	benneda		N;NOM;DEF;NEUT;SG
후드	huven	후드	huv		N;NOM;DEF;MASC+FEM;SG
후드	huva	후드	huva		N;NOM;INDF;MASC+FEM;SG
후드	hood	후드	hood		N;NOM;INDF;MASC+FEM;SG
페인	payne	페인	payne		PROPN;NOM
페인	paine	페인	paine		PROPN;NOM
요셉	joseph	요셉	joseph		PROPN;NOM
요셉	josef	요셉	jos		PROPN;NOM
프론티어	gränser	프론티어	gräns		N;NOM;INDF;MASC+FEM;PL
프론티어	gräns	프론티어	gräns		N;NOM;INDF;MASC+FEM;SG
디아블로	diablo	디아블+로	diablo	ADV	N;NOM;INDF;NEUT;SG
불안	osäkert	불안	osäker	N	ADJ;NOM;INDF;NEUT;SG
불안	osäkra	불안	osäker	N	ADJ;NOM;PL
불안	osäker	불안	osäker	N	ADJ;NOM;INDF;MASC+FEM;SG
퀸즈	drottningar	퀸즈	drottning		N;NOM;INDF;MASC+FEM;PL
퀸즈	queens	퀸즈	Pueens		PROPN;NOM
터미네이터	terminator	터미레이터	terminator		N;NOM;INDF;MASC+FEM;SG
일렉트로니카	electronica	일렉트로니카	electronic		N;NOM;INDF;MASC+FEM;SG
인문학	humanistiska	인문학	humanistisk	N	ADJ;NOM;PL
채소	vegetabiliskt	채소	vegetabilisk	N	ADJ;NOM;INDF;NEUT;SG
채소	vegetabiliska	채소	vegetabilisk	N	ADJ;NOM;PL
스트라스부르	strasbourg	스트라스부르	strasbourg	PROPN	PROPN;NOM
키르기스스탄	kirgizistan	키르기스스탄	kirgizistan	PROPN	PROPN;NOM
무라타	murata	무라타	murat		N;NOM;INDF;MASC+FEM;SG
바트	bart	바트	bart		PROPN;NOM
시리우스	sirius	시리우스	sirius	PROPN	PROPN;NOM
킹스턴	kingston	킹스턴	kingston		PROPN;NOM
소실	försvinnande	소실	försvinna	N	ADJ;NOM;PRS;V.PTCP
협조	samarbeta	협조	samarbeta	N	V;IMP;FIN;ACT
랄프	ralf	랄프	ralf		PROPN;NOM
랄프	ralph	랄프	ralph		N;NOM;INDF;MASC+FEM;SG
클릭	klicka	클릭	klicka	N	V;IMP;FIN;ACT
클릭	klickar	클릭	klick	N	V;IND;PRS;FIN;ACT
하디	hardy	하디	hardy		PROPN;NOM
파스타	pasta	파스타	pasta		N;NOM;INDF;MASC+FEM;SG
메시	messi	메시	messi	N	PROPN;NOM
다스	darth	다스	darth		N;NOM;INDF;MASC+FEM;SG
북서	northwestern	북서	north-West		N;NOM;DEF;MASC+FEM;SG
북서	nordvästra	북서	nordvästra		ADJ;NOM;DEF;SG
북서	nordvästra	북서	nordvästra		ADJ;NOM;DEF;SG
북서	nordväst	북서	nordväst		ADV
페르시아어	persiska	페르시아어	persisk	PROPN	N;NOM;INDF;NEUT;SG
노르딕	nordic	노르딕	nordic		PROPN;NOM
노르딕	nordisk	노르딕	nordisk		N;NOM;INDF;MASC+FEM;SG
노르딕	nordiska	노르딕	nordisk		ADJ;NOM;PL
매리너스	sjömän	매리너스	sjöma		N;NOM;INDF;MASC+FEM;PL
플랜	planerar	플랜	planera		V;IND;PRS;FIN;ACT
플랜	planen	플랜	plan		N;NOM;DEF;MASC+FEM;SG
플랜	plan	플랜	plan		N;NOM;INDF;NEUT;SG
플랜	planera	플랜	planera		V;IMP;FIN;ACT
플랜	planerar	플랜	planera		V;IND;PRS;FIN;ACT
플랜	planer	플랜	plan		N;NOM;INDF;MASC+FEM;PL
의미있는	meningsfullt	의미있+는	meningsfull		ADJ;NOM;INDF;NEUT;SG
의미있는	meningsfull	의미있+는	meningsfull		N;NOM;INDF;MASC+FEM;SG
의미있는	meningsfulla	의미있+는	meningsfull		ADJ;NOM;PL
미아	mia	미+아	ja		PROPN;NOM
야채	vegetabiliskt	야채	vegetabilisk	N	ADJ;NOM;INDF;NEUT;SG
야채	vegetabiliska	야채	vegetabilisk	N	ADJ;NOM;PL
렌더링	återge	렌더링	återge	N	V;IMP;FIN;ACT
적분	integrerad	적분	integrerad	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
삼각주	delta	삼각주	delta	PROPN	V;IMP;FIN;ACT
사각형	torg	사각형	torg		N;NOM;INDF;NEUT;SG
사각형	square	사각형	square		N;NOM;INDF;MASC+FEM;SG
사각형	fyrkantig	사각형	fyrkantig		ADJ;NOM;INDF;MASC+FEM;SG
사각형	kvadrat	사각형	kvadrat		N;NOM;INDF;MASC+FEM;SG
사각형	fyrkant	사각형	fyrkant		N;NOM;INDF;MASC+FEM;SG
사각형	torget	사각형	torg		N;NOM;DEF;NEUT;SG
사각형	fyrhörning	사각형	fyrhörning		N;NOM;INDF;MASC+FEM;SG
사각형	rektangel	사각형	rektangel		N;NOM;INDF;MASC+FEM;SG
사각형	rektangulära	사각형	rektangulär		ADJ;NOM;PL
사각형	rektangulär	사각형	rektangulär		ADJ;NOM;INDF;MASC+FEM;SG
청소	städar	청소	stad	N	V;IND;PRS;FIN;ACT
청소	rena	청소	rena	N	ADJ;NOM;PL
청소	städa	청소	städ	N	V;IMP;FIN;ACT
청소	ren	청소	ren	N	ADJ;NOM;INDF;MASC+FEM;SG
청소	rent	청소	ren	N	ADV
청소	städat	청소	städ	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
청소	städade	청소	stada	N	ADJ;NOM;PL;PST;V.PTCP
청소	rensade	청소	rensa	N	V;IND;PST;V.PTCP;ACT
거기	där	거기	där		ADV
세미	semi	세미	semi		N
중등	sekundära	중등	sekundär	N	ADJ;NOM;PL
중등	sekundär	중등	sekundär	N	ADJ;NOM;INDF;MASC+FEM;SG
중등	sekundärt	중등	sekundär	N	ADJ;NOM;INDF;NEUT;SG
베이시스트	basist	베이시스트	basist	PROPN	N;NOM;INDF;MASC+FEM;SG
캐롤	carol	캐롤	carol		PROPN;NOM
캐롤	carroll	캐롤	carroll		PROPN;NOM
캐롤	carole	캐롤	carole		PROPN;NOM
엘리	ellie	엘리	ellie		N;NOM;INDF;MASC+FEM;SG
엘리	eli	엘리	eli		PROPN;NOM
부채	skulder	부채	skuld		N;NOM;INDF;MASC+FEM;PL
부채	skulder	부채	skuld		N;NOM;INDF;MASC+FEM;PL
부채	skulder	부채	skuld		N;NOM;INDF;MASC+FEM;PL
부채	skuldsättning	부채	skuldsättning		N;NOM;INDF;MASC+FEM;SG
부채	skuld	부채	skuld		N;NOM;INDF;MASC+FEM;SG
눈부신	bländande	눈부시+ㄴ	blända		ADJ;NOM;PRS;V.PTCP
체리	körsbär	체리	körsbär		N;NOM;INDF;MASC+FEM;SG
체리	cherry	체리	cherry		PROPN;NOM
체리	körsbär	체리	körsbär		N;NOM;INDF;MASC+FEM;SG
경관	liggande	경관	ligga	N	ADJ;NOM;PRS;V.PTCP
퍼텐셜	potentiella	퍼텐셜	potentiell	N	ADJ;NOM;PL
퍼텐셜	potentiell	퍼텐셜	potentiell	N	ADJ;NOM;INDF;MASC+FEM;SG
퍼텐셜	potentiellt	퍼텐셜	potentiell	N	ADJ;NOM;INDF;NEUT;SG
버섯	svampar	버섯	svamp		N;NOM;INDF;MASC+FEM;PL
버섯	svamp	버섯	svamp		N;NOM;INDF;MASC+FEM;SG
버섯	svampar	버섯	svamp		N;NOM;INDF;MASC+FEM;PL
버섯	svamp	버섯	svamp		N;NOM;INDF;MASC+FEM;SG
익숙한	bekanta	익숙+하+ㄴ	bekant	V	ADJ;NOM;PL
익숙한	bekant	익숙+하+ㄴ	bekant	V	ADJ;NOM;INDF;NEUT;SG
익숙한	familjär	익숙+하+ㄴ	familjär	V	ADJ;NOM;INDF;MASC+FEM;SG
익숙한	välbekant	익숙+하+ㄴ	välbekant	V	ADJ;NOM;INDF;NEUT;SG
파이팅	slåss	파이팅	slåss		V;FIN;PASS
파이팅	kämpa	파이팅	kämpa		V;IMP;FIN;ACT
파이팅	fighting	파이팅	fighting		N;NOM;INDF;MASC+FEM;SG
파이팅	slagsmål	파이팅	slagsmål		N;NOM;INDF;NEUT;SG
파이팅	kämpar	파이팅	kämp		V;IND;PRS;FIN;ACT
파이팅	kämpande	파이팅	kämpande		ADJ;NOM;PRS;V.PTCP
튀니스	tunis	튀니스	tunis	PROPN	PROPN;NOM
매력	charmig	매력	charmig	N	ADJ;NOM;INDF;MASC+FEM;SG
매력	charmerande	매력	charmerande	N	ADJ;NOM;PRS;V.PTCP
선진	utvecklat	선진	utvecklad		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
선진	utvecklad	선진	utvecklad		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
선진	utvecklades	선진	utvecklad		V;IND;PST;FIN;PASS
선진	utvecklade	선진	utvecklad		ADJ;NOM;PL;PST;V.PTCP
선진	utvecklats	선진	utveckla		V;V.CVB;PASS
선진	befordran	선진	befordran		N;NOM;INDF;MASC+FEM;SG
타카기	takagi	타카기	takagi		N;NOM;INDF;MASC+FEM;SG
조건부	villkorlig	조건부	villkorlig		ADJ;NOM;INDF;MASC+FEM;SG
조건부	villkorliga	조건부	villkorlig		ADJ;NOM;PL
조건부	villkorligt	조건부	villkorlig		ADJ;NOM;INDF;NEUT;SG
메세지	budskap	메세지	budskap		N;NOM;INDF;NEUT;SG
메세지	meddelande	메세지	meddelande		N;NOM;INDF;NEUT;SG
비엔나	wien	비엔나	wien	PROPN	PROPN;NOM
비엔나	vienna	비엔나	vienna	PROPN	N;NOM;INDF;MASC+FEM;SG
예의	artigt	예의	artig	N	ADV
예의	artig	예의	artig	N	ADJ;NOM;INDF;MASC+FEM;SG
예의	artig	예의	artig	N	ADJ;NOM;INDF;MASC+FEM;SG
