और	et	और	et		CONJ
पूर्व	orientale	पूर्व	oriental	ADV;NOM;MASC;SG;3	ADJ;FEM;SG
पूर्व	est	पूर्व	être	ADV;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
पूर्व	orient	पूर्व	orier	ADV;NOM;MASC;SG;3	N;MASC;SG
पूर्व	ancien	पूर्व	ancien	ADV;NOM;MASC;SG;3	ADJ;MASC;SG
पूर्व	ancienne	पूर्व	ancien	ADV;NOM;MASC;SG;3	ADJ;FEM;SG
होता	serait	हो	être	V;IPFV;MASC;SG;V.PTCP;ACT	V;COND;SG;3;PRS;FIN
होता	aurait	हो	avoir	V;IPFV;MASC;SG;V.PTCP;ACT	V;COND;SG;3;PRS;FIN
बाद	ultérieur	बाद	ultérieur	ADV;NOM;MASC;SG;3	ADJ;MASC;SG
बाद	apres	बाद	après	ADV;NOM;MASC;SG;3	
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	PROPN
बाद	après	बाद	après	ADV;NOM;MASC;SG;3	ADP
बाद	aprés	बाद	apré	ADV;NOM;MASC;SG;3	
तक	tak	तक	tak	CONJ	PROPN
अपने	propres	अपना	propre	PRO;NOM;MASC	ADJ;MASC;PL
अपने	propre	अपना	propre	PRO;NOM;MASC	ADJ;MASC;SG
अपने	posséder	अपना	posséder	PRO;NOM;MASC	V;NFIN
अपने	votre	अपना	son	PRO;NOM;MASC	DET;MASC;SG
अपने	vos	अपना	son	PRO;NOM;MASC	DET;MASC;PL
जिले	districts	जिला	district	N;NOM;MASC;SG;3	N;MASC;PL
जिले	arrondissements	जिला	arrondissement	N;NOM;MASC;SG;3	N;MASC;PL
जिले	quartiers	जिला	quartier	N;NOM;MASC;SG;3	N;MASC;PL
था	avait	था	avoir	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
था	avaient	था	avoir	V;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
था	avais	था	avoir	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;1;IPFV;FIN
था	etait	था	etever	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
था	était	था	être	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
राज्य	etats	राज्य	etat	N;NOM;MASC;SG;3	N;MASC;PL
राज्य	états	राज्य	état	N;NOM;MASC;SG;3	N;MASC;PL
बाहरी	extérieur	बाहरी	extérieur	ADJ;NOM	N;MASC;SG
बाहरी	extérieur	बाहरी	extérieur	ADJ;NOM	N;MASC;SG
कुछ	certains	कुछ	certain	DET	PRO;MASC;PL
कुछ	certaines	कुछ	certain	DET	PRO;FEM;PL
कुछ	quelques	कुछ	quelque	DET	PRO;PL
कुछ	quelquechose	कुछ	quelquechose	DET	N;MASC;SG
ईसा	jesus	ईसा	jesus	N;NOM;MASC;SG;3	PROPN
गाँव	village	गाँव	village	N;NOM;MASC;PL;3	N;MASC;SG
सरकार	gouvernements	सरकार	gouvernement	N;NOM;FEM;SG;3	N;MASC;PL
इसके	sa	यह	son	PRO;MASC;SG;3	DET;FEM;SG
इसके	ses	यह	son	PRO;MASC;SG;3	DET;MASC;PL
इसके	son	यह	son	PRO;MASC;SG;3	DET;MASC;SG
दिया	donnés	दे	donner	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
अन्य	autre	अन्य	autre	N;NOM;MASC;SG;3	PRO;SG
अन्य	autres	अन्य	autre	N;NOM;MASC;SG;3	PRO;PL
अन्य	autres	अन्य	autre	N;NOM;MASC;SG;3	PRO;PL
जा	jaa	जा	jaa	V;ACT	PROPN
वर्ष	années	वर्ष	année	N;NOM;MASC;SG;3	N;FEM;PL
वर्ष	ans	वर्ष	an	N;NOM;MASC;SG;3	N;MASC;PL
नाम	nommer	नाम	nommer	N;NOM;MASC;SG;3	V;NFIN
नाम	noms	नाम	nom	N;NOM;MASC;SG;3	N;MASC;PL
वे	elles	वह	il	PRO;NOM;SG;3	PRO;FEM;PL;3
वे	ils	वह	il	PRO;NOM;SG;3	PRO;MASC;PL;3
वे	eux	वह	soi	PRO;NOM;SG;3	PRO;MASC;PL;3
प्रकार	aimable	प्रकार	aimable	N;NOM;MASC;SG;3	ADJ;MASC;SG
प्रकार	taper	प्रकार	taper	N;NOM;MASC;SG;3	V;NFIN
प्रकार	tapez	प्रकार	tape	N;NOM;MASC;SG;3	V;IMP;PL;2;PRS;FIN
प्रकार	types	प्रकार	type	N;NOM;MASC;SG;3	N;MASC;PL
भारतीय	indienne	भारतीय	indien	PROPN;NOM;SG;3	ADJ;FEM;SG
भारतीय	indiens	भारतीय	indien	PROPN;NOM;SG;3	ADJ;MASC;PL
भारतीय	indiennes	भारतीय	indien	PROPN;NOM;SG;3	ADJ;FEM;PL
भारतीय	indien	भारतीय	indien	PROPN;NOM;SG;3	ADJ;MASC;SG
किसी	someone	कोई	someone	PRO;ACC;SG;3	N;MASC;SG
तहसील	tehsil	तहसील	tehsil	PROPN;NOM;FEM;SG;3	PROPN
क्षेत्र	domaines	क्षेत्र	domaine	N;NOM;MASC;SG;3	N;MASC;PL
क्षेत्र	zones	क्षेत्र	zone	N;NOM;MASC;SG;3	N;FEM;PL
अधिक	davantage	अधिक	davantage	DET	ADV
अधिक	plus	अधिक	plus	DET	ADV
कई	nombreux	कई	nombreux	DET	ADJ;MASC;PL
कई	beaucoup	कई	beaucoup	DET	ADV
कई	nombreuses	कई	nombreux	DET	ADJ;FEM;PL
कई	plusieurs	कई	plusieurs	DET	PRO;PL
कई	plusieurs	कई	plusieurs	DET	PRO;PL
वाले	wale	वाला	wale	V;MASC;PL;FIN;ACT	PROPN
स्थित	situés	स्थित	situer	ADJ	V;MASC;PL;PST;V.PTCP
स्थित	située	स्थित	situer	ADJ	V;FEM;SG;PST;V.PTCP
स्थित	localisé	स्थित	localiser	ADJ	V;MASC;SG;PST;V.PTCP
स्थित	situé	स्थित	situer	ADJ	V;MASC;SG;PST;V.PTCP
मण्डल	zone	मण्डल	zone	PROPN;NOM;MASC;SG;3	N;FEM;SG
आधिकारिक	fonctionnaire	आधिकारिक	fonctionnaire	ADJ	N;MASC;SG
कारण	raisons	कारण	raison	N;NOM;MASC;SG;3	N;FEM;PL
कारण	raisons	कारण	raison	N;NOM;MASC;SG;3	N;FEM;PL
कारण	causes	कारण	cause	N;NOM;MASC;SG;3	N;FEM;PL
होने	être	हो	être	V;MASC;NFIN;ACT	V;NFIN
जैसे	comme	जैसे	comme	CONJ	ADP
जैसे	aime	जैसे	aimer	CONJ	V;IND;SG;3;PRS;FIN
जैसे	aiment	जैसे	aimer	CONJ	V;IND;PL;3;PRS;FIN
जैसे	genre	जैसे	genre	CONJ	N;MASC;SG
जैसे	aimez	जैसे	aimer	CONJ	V;IMP;PL;2;PRS;FIN
करता	tyrans	कर	tyran	V;IPFV;MASC;SG;V.PTCP;ACT	N;MASC;PL
उनके	leur	वह	lui	PRO;MASC;SG;3;FORM	PRO;PL;3
उनके	leurs	वह	son	PRO;MASC;SG;3;FORM	DET;MASC;PL
उनके	eux	वह	soi	PRO;MASC;SG;3;FORM	PRO;MASC;PL;3
सबसे	most	सबसे	most	ADJ;NOM	PROPN
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	N;MASC;SG
बहुत	très	बहुत	très	DET	ADV
बहुत	tres	बहुत	tre	DET	ADJ;MASC;SG
बहुत	trés	बहुत	trés	DET	ADV
पहले	avant	पहले	avant	ADV;NOM;MASC;SG;3	ADP
पहले	première	पहले	premier	ADV;NOM;MASC;SG;3	ADJ;FEM;SG
पहले	premières	पहले	premier	ADV;NOM;MASC;SG;3	ADJ;FEM;PL
पहले	premier	पहले	premier	ADV;NOM;MASC;SG;3	ADJ;MASC;SG
पहले	premiers	पहले	premier	ADV;NOM;MASC;SG;3	ADJ;MASC;PL
अपनी	propres	अपना	propre	PRO;NOM;FEM	ADJ;MASC;PL
अपनी	propre	अपना	propre	PRO;NOM;FEM	ADJ;MASC;SG
अपनी	posséder	अपना	posséder	PRO;NOM;FEM	V;NFIN
अपनी	charnel	अपना	charnel	PRO;NOM;FEM	ADJ;MASC;SG
दो	two	दो	two	NUM	PROPN
जब	lorsque	जब	lorsque	PRO;NOM	CONJ
जब	quand	जब	quand	PRO;NOM	CONJ
उन्होंने	elles	वह	il	PRO;SG;3;FORM	PRO;FEM;PL;3
उन्होंने	ils	वह	il	PRO;SG;3;FORM	PRO;MASC;PL;3
उन्होंने	eux	वह	soi	PRO;SG;3;FORM	PRO;MASC;PL;3
उन्होंने	egyptiens	वह	egyptien	PRO;SG;3;FORM	ADJ;MASC;PL
उन्होंने	égyptiens	वह	égyptien	PRO;SG;3;FORM	ADJ;MASC;PL
जन्म	naître	जन्म	naître	N;NOM;MASC;SG;3	V;NFIN
जन्म	né	जन्म	naître	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
जन्म	née	जन्म	naître	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
जन्म	born	जन्म	born	N;NOM;MASC;SG;3	PROPN
कोई	koi	कोई	koi	PRO;NOM;SG;3	
इन	inn	यह	inn	DET;ACC;PL;3	N;MASC;SG
ये	ceci	यह	ceci	PRO;NOM;PL;3	PRO;SG
ये	cet	यह	ce	PRO;NOM;PL;3	PRO;SG;3
ये	cette	यह	ce	PRO;NOM;PL;3	DET;FEM;SG
ये	cela	यह	cela	PRO;NOM;PL;3	PRO;SG
ये	ce	यह	ce	PRO;NOM;PL;3	PRO;SG;3
ये	ces	यह	ce	PRO;NOM;PL;3	PRO;PL;3
कम	basses	कम	bas	DET	ADJ;FEM;PL
कम	basse	कम	bas	DET	ADJ;FEM;SG
कम	faible	कम	faible	DET	ADJ;MASC;SG
कम	faibles	कम	faible	DET	ADJ;MASC;PL
कम	bas	कम	bas	DET	ADJ;MASC;SG
कम	moins	कम	moins	DET	ADV
आदि	etc	आदि	etc	PART	
आदि	davantage	आदि	davantage	PART	ADV
आदि	plus	आदि	plus	PART	ADV
आदि	dja	आदि	dja	PART	N;MASC;SG
आदि	adi	आदि	adi	PART	PROPN
उसके	sa	वह	son	PRO;MASC;SG;3	DET;FEM;SG
उसके	his	वह	his	PRO;MASC;SG;3	PROPN
उसके	ses	वह	son	PRO;MASC;SG;3	DET;MASC;PL
उसके	son	वह	son	PRO;MASC;SG;3	DET;MASC;SG
प्राचीन	antiquité	प्राचीन	antiquité	ADJ;NOM	N;FEM;SG
देखें	regardez	देख	regarder	V;SBJV;PL;FIN;ACT	V;IMP;PL;2;PRS;FIN
देखें	montre	देख	montrer	V;SBJV;PL;FIN;ACT	V;IND;SG;3;PRS;FIN
देखें	montres	देख	montre	V;SBJV;PL;FIN;ACT	N;FEM;PL
देखें	regarde	देख	regarder	V;SBJV;PL;FIN;ACT	V;IND;SG;3;PRS;FIN
देखें	consultez	देख	consulter	V;SBJV;PL;FIN;ACT	V;IMP;PL;2;PRS;FIN
देखें	voyez	देख	voir	V;SBJV;PL;FIN;ACT	V;IMP;PL;2;PRS;FIN
देखें	vois	देख	vois	V;SBJV;PL;FIN;ACT	V;IND;SG;2;PRS;FIN
देखें	vue	देख	voir	V;SBJV;PL;FIN;ACT	V;FEM;SG;PST;V.PTCP
देखें	affichage	देख	affichage	V;SBJV;PL;FIN;ACT	N;MASC;SG
उत्तर	réponse	उत्तर	réponse	PROPN;NOM;MASC;SG;3	N;FEM;SG
उत्तर	répondez	उत्तर	répondre	PROPN;NOM;MASC;SG;3	V;IMP;PL;2;PRS;FIN
उत्तर	répondre	उत्तर	répondre	PROPN;NOM;MASC;SG;3	V;NFIN
उत्तर	reponse	उत्तर	reponser	PROPN;NOM;MASC;SG;3	N;FEM;SG
उत्तर	nord	उत्तर	nord	PROPN;NOM;MASC;SG;3	N;MASC;SG
उत्तर	réponses	उत्तर	réponse	PROPN;NOM;MASC;SG;3	N;FEM;PL
भाषा	langues	भाषा	langue	N;NOM;FEM;SG;3	N;FEM;PL
भाषा	langues	भाषा	langue	N;NOM;FEM;SG;3	N;FEM;PL
लिये	pour	ले	pour	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	toute	सब	tout	PRO;NOM;3	DET;FEM;SG
सभी	all	सब	all	PRO;NOM;3	
प्राप्त	obtenues	प्राप्त	obtenir	ADJ	V;FEM;PL;PST;V.PTCP
प्राप्त	obtenue	प्राप्त	obtenir	ADJ	V;FEM;SG;PST;V.PTCP
प्राप्त	obtenus	प्राप्त	obtenir	ADJ	V;MASC;PL;PST;V.PTCP
प्राप्त	obtenu	प्राप्त	obtenir	ADJ	V;MASC;SG;PST;V.PTCP
प्राप्त	reçu	प्राप्त	recevoir	ADJ	V;MASC;SG;PST;V.PTCP
प्राप्त	reçues	प्राप्त	recevoir	ADJ	V;FEM;PL;PST;V.PTCP
प्राप्त	reçus	प्राप्त	recevoir	ADJ	V;MASC;PL;PST;V.PTCP
प्राप्त	reçue	प्राप्त	recevoir	ADJ	V;FEM;SG;PST;V.PTCP
प्राप्त	reçois	प्राप्त	recevoir	ADJ	V;IND;SG;1;PRS;FIN
प्राप्त	reçoivent	प्राप्त	recevoir	ADJ	V;IND;PL;3;PRS;FIN
प्राप्त	recevez	प्राप्त	recevoir	ADJ	V;IMP;PL;2;PRS;FIN
प्राप्त	recevoir	प्राप्त	recevoir	ADJ	V;NFIN
इसका	sa	यह	son	PRO;MASC;SG;3	DET;FEM;SG
इसका	ses	यह	son	PRO;MASC;SG;3	DET;MASC;PL
इसका	son	यह	son	PRO;MASC;SG;3	DET;MASC;SG
प्रयोग	expériences	प्रयोग	expérience	N;NOM;MASC;SG;3	N;FEM;PL
प्रयोग	expérimentations	प्रयोग	expérimentation	N;NOM;MASC;SG;3	N;FEM;PL
प्रयोग	expérimenter	प्रयोग	expérimenter	N;NOM;MASC;SG;3	V;NFIN
शामिल	impliqué	शामिल	impliquer	ADJ	V;MASC;SG;PST;V.PTCP
शामिल	impliqués	शामिल	impliquer	ADJ	V;MASC;PL;PST;V.PTCP
शामिल	impliquée	शामिल	impliquer	ADJ	V;FEM;SG;PST;V.PTCP
शामिल	inclut	शामिल	inclure	ADJ	V;IND;SG;3;PRS;FIN
शामिल	comprend	शामिल	comprendre	ADJ	V;IND;SG;3;PRS;FIN
शामिल	incluses	शामिल	inclure	ADJ	V;FEM;PL;PST;V.PTCP
शामिल	inclus	शामिल	inclure	ADJ	V;MASC;SG;PST;V.PTCP
शामिल	incluse	शामिल	inclure	ADJ	V;FEM;SG;PST;V.PTCP
शामिल	compris	शामिल	comprendre	ADJ	V;MASC;SG;PST;V.PTCP
शामिल	incluent	शामिल	inclure	ADJ	V;IMP;PL;1;PRS;FIN
शामिल	inclure	शामिल	inclure	ADJ	V;NFIN
शामिल	comprennent	शामिल	comprendre	ADJ	V;IND;PL;3;PRS;FIN
शामिल	inclut	शामिल	inclure	ADJ	V;IND;SG;3;PRS;FIN
उन्हें	eux	वह	soi	PRO;SG;3;FORM	PRO;MASC;PL;3
उस	que	वह	que	DET;ACC;SG;3	CONJ
उस	cela	वह	cela	DET;ACC;SG;3	PRO;SG
स्थान	endroits	स्थान	endroit	N;NOM;MASC;SG;3	N;MASC;PL
स्थान	lieux	स्थान	lieu	N;NOM;MASC;SG;3	N;MASC;PL
स्थान	localisations	स्थान	localisation	N;NOM;MASC;SG;3	N;FEM;PL
स्थान	lieux	स्थान	lieu	N;NOM;MASC;SG;3	N;MASC;PL
प्रमुख	majeur	प्रमुख	majeur	N;NOM;MASC;SG;3	ADJ;MASC;SG
प्रमुख	principal	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;MASC;SG
प्रमुख	principales	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;FEM;PL
प्रमुख	principale	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;FEM;SG
प्रमुख	principaux	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;MASC;PL
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	plage	बीच	plage	ADV;NOM;MASC;SG;3	N;FEM;SG
बीच	plages	बीच	plage	ADV;NOM;MASC;SG;3	N;FEM;PL
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	N;MASC;SG
बीच	centrer	बीच	centrer	ADV;NOM;MASC;SG;3	V;NFIN
बीच	centre	बीच	centre	ADV;NOM;MASC;SG;3	N;MASC;SG
गए	parti	जा	partir	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
गए	gone	जा	gone	V;PFV;MASC;PL;V.PTCP;ACT	PROPN
गए	allé	जा	aller	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
मुख्य	chef	मुख्य	chef	PROPN;NOM;MASC;SG;3	N;MASC;SG
मुख्य	principal	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
मुख्य	principales	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;FEM;PL
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	N;FEM;SG
मुख्य	principale	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
मुख्य	principaux	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
थी	etait	था	etever	V;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
थी	était	था	être	V;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	N;MASC;SG
कार्य	tâches	कार्य	tâche	N;NOM;MASC;SG;3	N;FEM;PL
कार्य	travaux	कार्य	travail	N;NOM;MASC;SG;3	N;MASC;PL
कार्य	travailler	कार्य	travailler	N;NOM;MASC;SG;3	V;NFIN
कार्य	emplois	कार्य	emploi	N;NOM;MASC;SG;3	N;MASC;PL
उनकी	leur	वह	lui	PRO;FEM;SG;3;FORM	PRO;PL;3
उनकी	leurs	वह	son	PRO;FEM;SG;3;FORM	DET;MASC;PL
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	PROPN
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	PROPN
नगर	villes	नगर	ville	N;NOM;MASC;SG;3	N;FEM;PL
नगर	nagar	नगर	nagar	N;NOM;MASC;SG;3	PROPN
उपयोग	utiliser	उपयोग	utiliser	N;NOM;MASC;SG;3	V;NFIN
उपयोग	utilise	उपयोग	utiliser	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
उपयोग	utilisez	उपयोग	utiliser	N;NOM;MASC;SG;3	V;IMP;PL;2;PRS;FIN
उपयोग	usages	उपयोग	usage	N;NOM;MASC;SG;3	N;MASC;PL
उपयोग	utilise	उपयोग	utiliser	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
उपयोग	utilisations	उपयोग	utilisation	N;NOM;MASC;SG;3	N;FEM;PL
आधार	prémisses	आधार	prémisse	N;NOM;MASC;SG;3	N;FEM;PL
काम	travaux	काम	travail	N;NOM;MASC;SG;3	N;MASC;PL
काम	travailler	काम	travailler	N;NOM;MASC;SG;3	V;NFIN
विश्व	mondial	विश्व	mondial	N;NOM;MASC;SG;3	ADJ;MASC;SG
विश्व	mondiale	विश्व	mondial	N;NOM;MASC;SG;3	ADJ;FEM;SG
भाग	sections	भाग	section		N;FEM;PL
भाग	partie	भाग	partie		N;FEM;SG
भाग	pièces	भाग	pièce		N;FEM;PL
भाग	parties	भाग	partie		N;FEM;PL
निर्माण	bâtir	निर्माण	bâtir	N;NOM;MASC;SG;3	V;NFIN
निर्माण	construire	निर्माण	construire	N;NOM;MASC;SG;3	V;NFIN
दोनों	both	दो	both	N;ACC;MASC;PL;3	PROPN
राष्ट्रीय	nationaux	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
राष्ट्रीय	nationale	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
राष्ट्रीय	nationales	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;FEM;PL
जानकारी	infos	जानकारी	info	N;NOM;FEM;SG;3	N;FEM;PL
जानकारी	informations	जानकारी	information	N;NOM;FEM;SG;3	N;FEM;PL
जानकारी	infos	जानकारी	info	N;NOM;FEM;SG;3	N;FEM;PL
जानकारी	renseignements	जानकारी	renseignement	N;NOM;FEM;SG;3	N;MASC;PL
पोर्टल	portal	पोर्टल	portal	N;NOM;MASC;SG;3	PROPN
शहर	villes	शहर	ville	N;NOM;MASC;SG;3	N;FEM;PL
शहर	villes	शहर	ville	N;NOM;MASC;SG;3	N;FEM;PL
बार	bars	बार	bar	N;NOM;FEM;SG;3	N;MASC;PL
बार	barres	बार	barre	N;NOM;FEM;SG;3	N;FEM;PL
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	N;MASC;SG
लगभग	presque	लगभग	presque	PART	ADV
लगभग	quasi	लगभग	quasi	PART	ADV
लगभग	pratiquement	लगभग	pratiquement	PART	ADV
लगभग	quasiment	लगभग	quasiment	PART	ADV
लगभग	approximativement	लगभग	approximativement	PART	ADV
लगभग	environ	लगभग	environ	PART	ADV
यहाँ	ici	यहाँ	ici	PRO;NOM	ADV
यहाँ	voilà	यहाँ	voilà	PRO;NOM	V
यहाँ	voici	यहाँ	voici	PRO;NOM	V
प्रसिद्ध	renommée	प्रसिद्ध	renommer	ADJ	V;FEM;SG;PST;V.PTCP
प्रसिद्ध	renommés	प्रसिद्ध	renommé	ADJ	V;MASC;PL;PST;V.PTCP
प्रसिद्ध	renommé	प्रसिद्ध	renommer	ADJ	V;MASC;SG;PST;V.PTCP
केवल	seul	केवल	seul	PART	ADJ;MASC;SG
केवल	uniquement	केवल	uniquement	PART	ADV
केवल	seulement	केवल	seulement	PART	ADV
केवल	seule	केवल	seul	PART	ADJ;FEM;SG
अलग	séparées	अलग	séparer	ADJ	V;FEM;PL;PST;V.PTCP
अलग	séparée	अलग	séparer	ADJ	V;FEM;SG;PST;V.PTCP
अलग	séparés	अलग	séparer	ADJ	V;MASC;PL;PST;V.PTCP
अलग	séparé	अलग	séparer	ADJ	V;MASC;SG;PST;V.PTCP
अलग	séparés	अलग	séparer	ADJ	V;MASC;PL;PST;V.PTCP
अलग	séparé	अलग	séparer	ADJ	V;MASC;SG;PST;V.PTCP
अलग	séparées	अलग	séparer	ADJ	V;FEM;PL;PST;V.PTCP
अलग	séparer	अलग	séparer	ADJ	V;NFIN
विशेष	exclusivité	विशेष	exclusivité	ADJ;NOM	N;FEM;SG
इसकी	sa	यह	son	PRO;FEM;SG;3	DET;FEM;SG
इसकी	ses	यह	son	PRO;FEM;SG;3	DET;MASC;PL
इसकी	son	यह	son	PRO;FEM;SG;3	DET;MASC;SG
कभी	jamais	कभी	jamais	PRO	ADV
कभी	ever	कभी	ever	PRO	INTJ
दी	donnés	दे	donner	V;PFV;FEM;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
पृष्ठ	pages	पृष्ठ	page	N;NOM;MASC;SG;3	N;FEM;PL
पृष्ठ	pages	पृष्ठ	page	N;NOM;MASC;SG;3	N;FEM;PL
माना	considérées	मान	considérer	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
माना	considérés	मान	considérer	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
माना	mana	मान	mana	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
माना	prétendument	मान	prétendument	V;PFV;MASC;SG;V.PTCP;ACT	ADV
शब्द	mots	शब्द	mot	N;NOM;MASC;SG;3	N;MASC;PL
फिर	puis	फिर	puis	ADV	CONJ
तीन	three	तीन	three	NUM	PROPN
पुरस्कार	récompenses	पुरस्कार	récompense	N;NOM;MASC;SG;3	N;FEM;PL
पुरस्कार	distinctions	पुरस्कार	distinction	N;NOM;MASC;SG;3	N;FEM;PL
पुरस्कार	trophées	पुरस्कार	trophée	N;NOM;MASC;SG;3	N;MASC;PL
पुरस्कार	récompenses	पुरस्कार	récompense	N;NOM;MASC;SG;3	N;FEM;PL
पुरस्कार	récompenser	पुरस्कार	récompenser	N;NOM;MASC;SG;3	V;NFIN
लेख	articles	लेख	article	N;NOM;MASC;SG;3	N;MASC;PL
लेख	thèses	लेख	thèse	N;NOM;MASC;SG;3	N;FEM;PL
अब	désormais	अब	désormais	PRO;NOM	ADV
अब	now	अब	now	PRO;NOM	INTJ
