the	os	the	o	DET;DEF	PRO;ACC;MASC;PL;3
april	abril	april	abril	PROPN;SG	N;MASC;SG
born	born	bear	born	V;PST;V.PTCP	N;MASC;SG
december	dezembro	december	dezembro	PROPN;SG	N;MASC;SG
while	enquanto	while	enquanto	CONJ	ADV
november	novembro	november	novembro	PROPN;SG	N;MASC;SG
list	listar	list	listar	N;SG	V;NFIN
following	seguintes	follow	seguinte	V;V.MSDR	N;MASC;PL
february	fevereiro	february	fevereiro	PROPN;SG	N;MASC;SG
know	conhecida	know	conhecido	V;IND;PRS;FIN	ADJ;FEM;SG
know	conhecido	know	conhecido	V;IND;PRS;FIN	ADJ;MASC;SG
know	conhecidas	know	conhecido	V;IND;PRS;FIN	ADJ;FEM;PL
know	conhecidos	know	conhecido	V;IND;PRS;FIN	ADJ;MASC;PL
second	segunda	second	segundo	ADV	ADJ;FEM;SG
second	second	second	second	ADV	N;MASC;SG
group	agrupar	group	agrupar	N;SG	V;NFIN
series	series	series	ser	N;SG	N;MASC;PL
series	séries	series	série	N;SG	N;FEM;PL
north	norte	north	norte	PROPN;SG	N;MASC;SG
north	north	north	north	PROPN;SG	N;MASC;SG
work	trabalhos	work	trabalho	N;SG	N;MASC;PL
work	trabalhar	work	trabalhar	N;SG	V;NFIN
work	trabalhe	work	trabalher	N;SG	V;SBJV;SG;3;PRS;FIN
since	since	since	since	ADV	N;MASC;SG
since	desde	since	desde	ADV	ADP
both	ambos	both	ambos	DET	PRO;MASC;PL
high	alto	high	alto	ADJ	ADV
high	high	high	high	ADJ	N;MASC;SG
high	altos	high	alto	ADJ	N;MASC;PL
high	alta	high	alta	ADJ	N;FEM;SG
through	through	through	through	ADV	N;MASC;SG
comments	comentário	comment	comentário	N;PL	N;MASC;SG
comments	comentar	comment	comentar	N;PL	V;NFIN
comments	comenta	comment	comentar	N;PL	V;IND;SG;3;PRS;FIN
because	pq	because	pq	CONJ	
music	músicas	music	música	N;SG	N;FEM;PL
diff	diferenças	diff	diferença	N;SG	N;FEM;PL
league	league	league	leagar	PROPN;SG	N;MASC;SG
league	liga	league	liga	PROPN;SG	N;FEM;SG
john	john	john	john	PROPN;SG	PROPN;MASC;SG
john	joão	john	joão	PROPN;SG	N;MASC;SG
john	joao	john	joao	PROPN;SG	N;MASC;SG
same	mesmo	same	mesmo	ADJ	ADV
including	inclusive	include	inclusive	V;V.MSDR	ADV
could	podia	could	poder	V;FIN	V;IND;SG;3;IPFV;FIN
could	poderia	could	poder	V;FIN	V;COND;SG;3;FIN
could	podiam	could	poder	V;FIN	V;IND;PL;3;IPFV;FIN
english	ingles	english	ingle	PROPN;SG	N;MASC;SG
english	inglês	english	inglês	PROPN;SG	N;MASC;SG
album	álbuns	album	álbum	N;SG	N;MASC;PL
user	usuários	user	usuário	N;SG	N;MASC;PL
york	york	york	york	PROPN;SG	N;MASC;SG
york	iorque	york	iorque	PROPN;SG	N;FEM;SG
british	britânicos	british	britânico	ADJ	N;MASC;PL
british	british	british	british	ADJ	N;MASC;SG
international	international	international	international	ADJ	N;MASC;SG
your	seu	you	seu	PRO;2	DET;MASC;SG
your	sua	you	seu	PRO;2	DET;FEM;SG
until	ate	until	ate	CONJ	INTJ
until	até	until	até	CONJ	ADV
early	early	early	early	ADV	N;MASC;SG
best	melhor	best	melhor	ADJ;RL	ADV
best	best	best	best	ADJ;RL	N;MASC;SG
west	west	west	west	ADV	N;MASC;SG
west	ocidente	west	ocidente	ADV	N;MASC;SG
west	oeste	west	oeste	ADV	N;MASC;SG
general	generalidades	general	generalidade	ADJ	N;MASC;PL
general	gerais	general	geral	ADJ	N;MASC;PL
general	geral	general	geral	ADJ	N;MASC;SG
general	general	general	general	ADJ	N;MASC;SG
left	esquerdo	leave	esquerdo	V;PST;V.PTCP	N;MASC;SG
left	left	leave	left	V;PST;V.PTCP	N;MASC;SG
left	esquerda	leave	esquerda	V;PST;V.PTCP	N;FEM;SG
don	don	don	don	PROPN;SG	PROPN;MASC;SG
living	vivos	living	vivo	N;SG	N;MASC;PL
living	vivendo	living	viver	N;SG	V;V.MSDR
living	viver	living	viver	N;SG	V;NFIN
several	vários	several	vários	ADJ	PRO;MASC;PL
several	varios	several	vario	ADJ	N;MASC;PL
several	várias	several	várias	ADJ	PRO;FEM;PL
keep	mantenha	keep	manter	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
keep	continue	keep	continuar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
keep	continuem	keep	continuar	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
appropriate	apropriada	appropriate	apropriar	ADJ	V;FEM;SG;V.PTCP
appropriate	apropriados	appropriate	apropriado	ADJ	V;MASC;PL;V.PTCP
appropriate	apropriado	appropriate	apropriar	ADJ	V;MASC;SG;V.PTCP
four	four	four	four	NUM	N;MASC;SG
did	fiz	do	fazer	V;IND;PST;FIN	V;IND;SG;1;PST;FIN
did	did	do	dider	V;IND;PST;FIN	PROPN;MASC;SG
did	fê	do	fazer	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
did	fez	do	fazer	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
found	achado	find	achado	V;PST;V.PTCP	N;MASC;SG
center	centralizar	center	centralizar	N;SG	V;NFIN
center	centrar	center	centrar	N;SG	V;NFIN
per	per	per	per	PROPN;SG	N;MASC;SG
com	com	com	com	N;SG	ADP
long	longa	long	longo	ADV	ADJ;FEM;SG
long	longos	long	longo	ADV	ADJ;MASC;PL
long	comprido	long	comprido	ADV	N;MASC;SG
long	long	long	long	ADV	N;MASC;SG
country	pais	country	pai	N;SG	N;MASC;PL
back	costas	back	costa	ADV	N;FEM;PL
back	volta	back	volta	ADV	N;FEM;SG
back	voltar	back	voltar	ADV	V;NFIN
does	faz	do	fazer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
modify	modifica	modify	modificar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
end	terminar	end	terminar	N;SG	V;NFIN
make	make	make	make	V;IMP;FIN	N;FEM;SG
make	faça	make	fazer	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
public	público	public	público	ADJ	N;MASC;SG
public	públicas	public	público	ADJ	N;FEM;PL
public	pública	public	público	ADJ	N;FEM;SG
public	públicos	public	público	ADJ	N;MASC;PL
public	publico	public	publico	ADJ	N;MASC;SG
won	won	win	won	V;PST;FIN	N;MASC;SG
another	outro	another	outro	DET	PRO;MASC;SG
another	outra	another	outro	DET	PRO;FEM;SG
support	apoios	support	apoio	N;SG	N;MASC;PL
those	aqueles	those	aquele	PRO;PL	DET;MASC;PL
those	esses	those	esse	PRO;PL	DET;MASC;PL
those	aquelas	those	aquele	PRO;PL	DET;FEM;PL
church	igrejas	church	igreja	N;SG	N;FEM;PL
east	oriente	east	oriente	PROPN;SG	N;MASC;SG
east	leste	east	leste	PROPN;SG	N;MASC;SG
east	east	east	east	PROPN;SG	N;MASC;SG
major	major	major	major	ADJ	N;MASC;SG
much	muito	much	muito	ADJ	ADV
much	much	much	much	ADJ	N;MASC;SG
show	mostra	show	mostrar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
show	espetáculo	show	espetáculo	V;IMP;FIN	N;MASC;SG
show	show	show	show	V;IMP;FIN	N;MASC;SG
think	pense	think	pensar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
think	pensem	think	pensar	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
think	pensa	think	pensar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
last	last	last	last	ADJ	N;MASC;SG
right	certo	right	certo	ADV	ADJ;MASC;SG
right	direito	right	direito	ADV	N;MASC;SG
right	direita	right	direita	ADV	N;FEM;SG
non	non	non	non		N;MASC;SG
single	solteira	single	solteira	ADJ	N;FEM;SG
single	solteiro	single	solteiro	ADJ	N;MASC;SG
single	single	single	single	ADJ	N;MASC;SG
align	alinhamento	align	alinhamento	V;IMP;FIN	N;MASC;SG
seed	sementes	seed	semente	N;SG	N;FEM;PL
book	reservar	book	reservar	N;SG	V;NFIN
book	livros	book	livro	N;SG	N;MASC;PL
order	encomendar	order	encomendar	N;SG	V;NFIN
old	antiga	old	antigo	ADJ	N;FEM;SG
old	velhos	old	velho	ADJ	N;MASC;PL
information	informações	information	informação	N;SG	N;FEM;PL
set	conjunto	set	conjunto	V;FIN	N;MASC;SG
set	set	set	set	V;FIN	N;MASC;SG
own	própria	own	próprio	ADJ	DET;FEM;SG
own	own	own	own	ADJ	PROPN;MASC;SG
local	locais	local	local	ADJ	N;MASC;PL
local	local	local	local	ADJ	N;MASC;SG
main	main	main	main	ADJ	N;MASC;SG
french	french	french	french	ADJ	N;MASC;SG
french	franceses	french	francês	ADJ	N;MASC;PL
french	francês	french	francês	ADJ	N;MASC;SG
off	off	off	off	ADV	N;MASC;SG
note	note	note	note	N;SG	INTJ
original	originais	original	original	ADJ	N;MASC;PL
said	said	say	said	V;IND;PST;FIN	N;MASC;SG
german	alemã	german	alemã	ADJ	N;FEM;SG
german	alemães	german	alemão	ADJ	N;MASC;PL
german	alemão	german	alemão	ADJ	N;MASC;SG
law	leis	law	lei	N;SG	N;FEM;PL
military	militares	military	militar	ADJ	N;MASC;PL
military	militar	military	militar	ADJ	N;MASC;SG
president	presidente	president	presidente	PROPN;SG	N;MASC;SG
official	oficial	official	oficial	N;SG	ADJ;MASC;SG
official	oficiais	official	oficial	N;SG	N;MASC;PL
london	londres	london	londre	PROPN;SG	N;FEM;SG
small	small	small	small	ADJ	N;MASC;SG
third	terceira	third	terceiro	ADV	ADJ;FEM;SG
third	terço	third	terço	ADV	ADJ;MASC;SG
third	terceiro	third	terceiro	ADV	ADJ;MASC;SG
due	devido	due	devido	ADJ	ADV
due	devida	due	devida	ADJ	V;FEM;SG;V.PTCP
due	devidas	due	devida	ADJ	V;FEM;PL;V.PTCP
get	apanha	get	apanhar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
get	obtenha	get	obter	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
get	receba	get	receber	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
final	finais	final	final	ADJ	N;MASC;PL
final	final	final	final	ADJ	N;MASC;SG
without	sem	without	sem	ADV	ADP
men	men	man	men	N;PL	N;MASC;SG
large	large	large	large	ADJ	N;MASC;SG
large	grandes	large	grande	ADJ	N;MASC;PL
white	brancos	white	branco	ADJ	N;MASC;PL
white	branco	white	branco	ADJ	N;MASC;SG
white	white	white	white	ADJ	N;MASC;SG
white	brancas	white	branco	ADJ	N;FEM;PL
white	branca	white	branco	ADJ	N;FEM;SG
five	five	five	fiver	NUM	N;MASC;SG
central	centrais	central	central	ADJ	N;MASC;PL
central	central	central	central	ADJ	N;FEM;SG
free	grátis	free	grátis	ADJ	N;MASC;SG
free	free	free	free	ADJ	N;MASC;SG
england	inglaterra	england	inglaterra	PROPN;SG	N;FEM;SG
england	england	england	england	PROPN;SG	N;MASC;SG
include	inclua	include	incluar	V;IND;PRS;FIN	V;SBJV;SG;3;PRS;FIN
down	down	down	down	ADV	N;MASC;SG
california	califórnia	california	califórnia	PROPN;SG	N;FEM;SG
california	california	california	california	PROPN;SG	N;FEM;SG
written	escrita	write	escrita	V;PST;V.PTCP	N;FEM;SG
media	media	media	media	N;SG	N;MASC;PL
black	preta	black	preto	ADJ	N;FEM;SG
black	black	black	black	ADJ	N;MASC;SG
black	preto	black	preto	ADJ	N;MASC;SG
black	pretas	black	preto	ADJ	N;FEM;PL
though	embora	though	embora	ADV	CONJ
php	php	php	php	PROPN;SG	N;MASC;SG
report	denunciar	report	denunciar	N;SG	V;NFIN
report	relatar	report	relatar	N;SG	V;NFIN
building	construindo	building	construir	N;SG	V;V.MSDR
take	pega	take	pegar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
take	take	take	take	V;IMP;FIN	N;MASC;SG
take	pegue	take	pegar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
take	toma	take	tomar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
take	leve	take	levar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
comment	comentem	comment	comentar	N;SG	V;SBJV;PL;3;PRS;FIN
comment	comente	comment	comente	N;SG	V;SBJV;SG;3;PRS;FIN
comment	comentar	comment	comentar	N;SG	V;NFIN
comment	comenta	comment	comentar	N;SG	V;IND;SG;3;PRS;FIN
edit	edita	edit	editar	N;SG	V;IND;SG;3;PRS;FIN
edit	editar	edit	editar	N;SG	V;NFIN
edit	edite	edit	edite	N;SG	V;SBJV;SG;3;PRS;FIN
research	pesquisas	research	pesquisa	N;SG	N;FEM;PL
record	gravar	record	gravar	N;SG	V;NFIN
archive	arquivar	archive	arquivar	N;SG	V;NFIN
undo	anular	undo	anular	N;SG	V;NFIN
undo	desfazer	undo	desfazer	N;SG	V;NFIN
records	records	record	record	N;PL	N;MASC;SG
few	poucas	few	pouco	ADJ	PRO;FEM;PL
few	poucos	few	pouco	ADJ	PRO;MASC;PL
know	conheça	know	conhecer	V;IND;PRS;FIN	V;SBJV;SG;3;PRS;FIN
know	saiba	know	saber	V;IND;PRS;FIN	V;SBJV;SG;3;PRS;FIN
water	águas	water	água	N;SG	N;FEM;PL
political	politico	political	politico	ADJ	N;MASC;SG
political	político	political	político	ADJ	N;MASC;SG
species	espécie	species	espécie	N;PL	N;FEM;SG
australia	austrália	australia	austrália	PROPN;SG	N;FEM;SG
australia	montar	australia	montar	PROPN;SG	V;NFIN
need	need	need	need	V;IND;PRS;FIN	N;MASC;SG
need	preciso	need	preciso	V;IND;PRS;FIN	ADJ;MASC;SG
need	necessidade	need	necessidade	V;IND;PRS;FIN	N;FEM;SG
island	ilhas	island	ilha	N;SG	N;FEM;PL
form	formar	form	formar	N;SG	V;NFIN
find	encontre	find	encontre	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
find	encontra	find	encontrar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
served	servia	serve	servir	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
play	jogar	play	jogar	N;SG	V;NFIN
play	joga	play	jogar	N;SG	V;IND;SG;3;PRS;FIN
play	jogue	play	joguar	N;SG	V;SBJV;SG;3;PRS;FIN
play	reproduzir	play	reproduzir	N;SG	V;NFIN
works	obras	work	obra	V;IND;SG;3;PRS;FIN	N;FEM;PL
works	trabalhos	work	trabalho	V;IND;SG;3;PRS;FIN	N;MASC;PL
works	works	work	work	V;IND;SG;3;PRS;FIN	N;MASC;SG
proposed	propunha	propose	propor	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
proposed	proposta	propose	proposta	V;PST;V.PTCP	N;FEM;SG
live	viva	live	vivo	V;IMP;FIN	N;FEM;SG
live	live	live	live	V;IMP;FIN	N;MASC;SG
india	índia	india	índia	PROPN;SG	N;FEM;SG
india	india	india	india	PROPN;SG	N;MASC;SG
next	seguinte	next	seguinte	ADV	ADJ;MASC;SG
next	próxima	next	próximo	ADV	ADJ;FEM;SG
next	next	next	next	ADV	N;MASC;SG
special	special	special	special	ADJ	N;MASC;SG
little	pouco	little	pouco	ADJ	ADV
little	little	little	little	ADJ	N;MASC;SG
short	short	short	short	ADJ	N;MASC;SG
william	william	william	williar	PROPN;SG	N;MASC;SG
william	willian	william	willian	PROPN;SG	N;MASC;SG
william	guilherme	william	guilherme	PROPN;SG	N;MASC;SG
western	ocidental	western	ocidental	ADJ	N;FEM;SG
western	ocidentais	western	ocidental	ADJ	N;MASC;PL
western	western	western	western	ADJ	N;MASC;SG
western	oeste	western	oeste	ADJ	N;MASC;SG
france	franca	france	franca	PROPN;SG	N;FEM;SG
france	frança	france	frança	PROPN;SG	N;FEM;SG
others	outros	other	outro	N;PL	PRO;MASC;PL
others	outras	other	outro	N;PL	PRO;FEM;PL
royal	real	royal	real	PROPN;SG	N;MASC;SG
royal	royal	royal	royal	PROPN;SG	N;MASC;SG
current	correntes	current	corrente	ADJ	N;MASC;PL
current	corrente	current	corrente	ADJ	N;FEM;SG
full	full	full	full	ADJ	N;MASC;SG
red	vermelhas	red	vermelho	ADJ	N;FEM;PL
red	vermelha	red	vermelho	ADJ	N;FEM;SG
red	vermelho	red	vermelho	ADJ	N;MASC;SG
red	vermelhos	red	vermelho	ADJ	N;MASC;PL
red	red	red	red	ADJ	N;MASC;SG
san	san	san	san	PROPN;SG	N;MASC;SG
help	ajude	help	ajude	N;SG	V;SBJV;SG;3;PRS;FIN
help	ajudar	help	ajudar	N;SG	V;NFIN
preserved	conservas	preserve	conserva	V;PST;V.PTCP	N;FEM;PL
james	james	jame	jame	N;PL	N;MASC;SG
james	jaime	jame	jaime	N;PL	N;MASC;SG
james	tiago	jame	tiago	N;PL	N;MASC;SG
open	abre	open	abrir	ADJ	V;IND;SG;3;PRS;FIN
open	aberto	open	abrir	ADJ	V;MASC;SG;V.PTCP
open	abra	open	abrir	ADJ	V;SBJV;SG;3;PRS;FIN
open	abrir	open	abrir	ADJ	V;NFIN
open	aberta	open	abrir	ADJ	V;FEM;SG;V.PTCP
open	open	open	open	ADJ	N;MASC;SG
force	forçar	force	forçar	N;SG	V;NFIN
head	cabeças	head	cabeça	N;SG	N;FEM;PL
canada	canadá	canada	canadá	PROPN;SG	N;MASC;SG
canada	canada	canada	canada	PROPN;SG	N;FEM;SG
never	never	never	never	ADV	N;MASC;SG
australian	australiana	australian	australiano	ADJ	N;FEM;SG
australian	australianos	australian	australiano	ADJ	N;MASC;PL
australian	austrália	australian	austrália	ADJ	N;FEM;SG
australian	australiano	australian	australiano	ADJ	N;MASC;SG
australian	australian	australian	australian	ADJ	N;MASC;SG
george	jorge	george	jorge	PROPN;SG	N;MASC;SG
george	george	george	george	PROPN;SG	PROPN;MASC;SG
jpg	jpg	jpg	jpg	PROPN;SG	N;MASC;SG
late	atrasada	late	atrasar	ADV	V;FEM;SG;V.PTCP
late	tardia	late	tardio	ADV	N;FEM;SG
late	atrasados	late	atrasar	ADV	V;MASC;PL;V.PTCP
late	atrasado	late	atrasar	ADV	V;MASC;SG;V.PTCP
summer	verão	summer	ver	N;SG	V;IND;PL;3;FUT;FIN
round	redonda	round	redonda	ADV	N;FEM;SG
round	redondo	round	redonder	ADV	N;MASC;SG
round	ronda	round	ronda	ADV	N;FEM;SG
round	round	round	round	ADV	N;MASC;SG
round	rodada	round	rodada	ADV	N;FEM;SG
songs	songs	song	song	N;PL	N;MASC;SG
various	vários	various	vários	ADJ	PRO;MASC;PL
various	várias	various	várias	ADJ	PRO;FEM;PL
land	terrenos	land	terreno	N;SG	N;MASC;PL
land	terras	land	terra	N;SG	N;FEM;PL
business	negócios	business	negócio	N;SG	N;MASC;PL
america	america	america	americar	PROPN;SG	N;MASC;SG
america	américa	america	américo	PROPN;SG	N;FEM;SG
million	milhões	million	milhão	NUM	N;MASC;PL
million	milhão	million	milhão	NUM	N;MASC;SG
european	europeu	european	europeu	ADJ	N;MASC;SG
european	europeia	european	europeu	ADJ	N;FEM;SG
european	europeias	european	europeia	ADJ	N;FEM;PL
six	six	six	six	NUM	N;MASC;SG
post	postar	post	postar	N;SG	V;NFIN
post	publicar	post	publicar	N;SG	V;NFIN
why	porque	why	porque	ADV	CONJ
making	fazendo	making	fazer	N;SG	V;V.MSDR
subject	sujeito	subject	sujeitar	N;SG	V;MASC;SG;V.PTCP
young	young	young	young	ADJ	N;MASC;SG
young	jovens	young	jovem	ADJ	N;MASC;PL
total	total	total	total	ADJ	N;MASC;SG
david	davi	david	daver	PROPN;SG	N;MASC;SG
david	david	david	david	PROPN;SG	PROPN;MASC;SG
science	ciências	science	ciência	N;SG	N;FEM;PL
related	relacionados	related	relacionar	ADJ	V;MASC;PL;V.PTCP
related	relacionada	related	relacionar	ADJ	V;FEM;SG;V.PTCP
related	relacionadas	related	relacionar	ADJ	V;FEM;PL;V.PTCP
related	relacionado	related	relacionar	ADJ	V;MASC;SG;V.PTCP
led	led	lead	led	V;PST;V.PTCP	N;MASC;SG
