van	din	van	din		ADP;ACC
afrikaanse	africană	afrikaans	african	N;PL	ADJ;INDF;FEM;SG
afrikaanse	africane	afrikaans	african	N;PL	ADJ;INDF;FEM;PL
afrikaanse	african	afrikaans	african	N;PL	ADJ;INDF;MASC;SG
groot	mare	groot	mare	V;PRS	ADJ;INDF;MASC;SG
meer	lacul	baie	lac	DET	N;DEF;MASC;SG
meer	lake	baie	lakă	DET	PROPN
meer	lac	baie	lac	DET	N;INDF;MASC;SG
meer	mai	baie	mai	DET	ADV
onder	dedesubt	onder	dedesubt	ADP	
kerk	biserica	kerk	biserică		N;DEF;FEM;SG
kerk	biserică	kerk	biserică		N;INDF;FEM;SG
duimnael	miniatura	duimnael	miniatură	V;PRS	N;DEF;FEM;SG
duimnael	miniatură	duimnael	miniatură	V;PRS	N;INDF;FEM;SG
tussen	intre	tussen	intra	ADP	V;SBJV;3;PRS;FIN
baie	foarte	baie	foarte	DET	ADV
baie	multi	baie	mult	DET	
baie	mulți	baie	mult	DET	PRO;MASC;PL;3
baie	multe	baie	mult	DET	PRO;FEM;PL;3
begin	start	begin	start	V;PRS	N;INDF;MASC;SG
begin	pornire	begin	pornire	V;PRS	N;INDF;FEM;SG
hul	lor	hul	lui	PRO;PL;3	DET;3
waar	unde	waar	unde	PRO	ADV
waar	adevărat	waar	adevărat	PRO	ADV
waar	adevarat	waar	adevarat	PRO	ADJ;INDF;MASC;SG
dié	asta	dié	acesta	DET	PRO;FEM;SG;3
dié	aceasta	dié	acesta	DET	PRO;FEM;SG;3
eeu	secolul	eeu	secol		N;DEF;MASC;SG
eeu	secol	eeu	secol		N;INDF;MASC;SG
eeu	century	eeu	century		PROPN
haar	ea	haar	el	PRO;ACC;SG;3	PRO;FEM;SG;3
eksterne	extern	ekstern	extern	V;PRS	ADJ;INDF;MASC;SG
eksterne	externe	ekstern	extern	V;PRS	ADJ;INDF;FEM;PL
eksterne	externi	ekstern	extern	V;PRS	ADJ;INDF;MASC;PL
eksterne	externă	ekstern	extern	V;PRS	ADJ;INDF;FEM;SG
eksterne	exterior	ekstern	exterior	V;PRS	N;INDF;MASC;SG
nuwe	noua	nuut	nou	ADJ;NOM	ADJ;DEF;FEM;SG
nuwe	noi	nuut	eu	ADJ;NOM	PRO;PL;1
nuwe	nouă	nuut	nou	ADJ;NOM	
leë	gol	leë	gol		N;INDF;MASC;SG
leë	goale	leë	gol		ADJ;INDF;FEM;PL
leë	goală	leë	gol		ADJ;INDF;FEM;SG
leë	goala	leë	gol		N;DEF;FEM;SG
hom	el	hom	el	PRO;NOM;SG;3	PRO;MASC;SG;3
voor	front	voor	front	ADP	N;INDF;MASC;SG
voor	față	voor	față	ADP	N;INDF;FEM;SG
voor	inainte	voor	inainte	ADP	
voor	înainte	voor	înainte	ADP	ADV
nog	nogai	nog	nogai	ADV	
naam	name	naam	name	N;SG	
deel	cota	deel	cotă	V;PRS	N;DEF;FEM;SG
deel	share	deel	share	V;PRS	
deel	parte	deel	parte	V;PRS	N;INDF;FEM;SG
deel	partea	deel	parte	V;PRS	N;DEF;FEM;SG
drie	three	drie	three	NUM	N;INDF;MASC;SG
pous	papă	pous	papă		N;INDF;MASC;SG
sal	will	sal	will	V;PRS	PROPN
kon	putea	kan	putea	V;PST;FIN	V;IND;SG;3;IPFV;FIN
ons	our	ons	our	PRO;PL;1	N;INDF;MASC;SG
ons	noastră	ons	meu	PRO;PL;1	DET;FEM;SG;1
ons	noastra	ons	meu	PRO;PL;1	N;DEF;FEM;SG
ons	nostru	ons	meu	PRO;PL;1	DET;MASC;SG;1
ons	noastre	ons	meu	PRO;PL;1	DET;FEM;PL;1
nasionale	națională	nasionaal	național	ADJ;NOM	ADJ;INDF;FEM;SG
nasionale	nationala	nasionaal	national	ADJ;NOM	N;DEF;FEM;SG
noord	north	noord	north		PROPN
noord	nordul	noord	nord		N;DEF;MASC;SG
noord	nord	noord	nord		N;INDF;MASC;SG
jpg	jpg	jpg	jpg		N
gebied	teritoriu	bied	teritoriu	V;PST;V.PTCP	N;INDF;MASC;SG
gebied	teritoriul	bied	teritoriu	V;PST;V.PTCP	N;DEF;MASC;SG
gebied	zonă	bied	zonă	V;PST;V.PTCP	N;INDF;FEM;SG
gebied	zona	bied	zonă	V;PST;V.PTCP	N;DEF;FEM;SG
gebied	suprafață	bied	suprafață	V;PST;V.PTCP	N;INDF;FEM;SG
laat	tarziu	laat	tarziu	V;PRS	
laat	întârziat	laat	întârziat	V;PRS	ADJ;INDF;MASC;SG
laat	târziu	laat	târziu	V;PRS	ADV
saam	împreuna	saam	împreuna	ADV	
saam	impreuna	saam	impreuna	ADV	
style	styles	styal	styles		PROPN
style	stiluri	styal	stil		N;INDF;FEM;PL
style	stilurile	styal	stil		N;DEF;FEM;PL
moet	trebuie	moet	trebui	V;PRS	V;IND;3;PRS;FIN
weer	vremea	weer	vreme		N;DEF;FEM;SG
weer	vreme	weer	vreme		N;INDF;FEM;SG
werk	munca	werk	muncă	V;PRS	N;DEF;FEM;SG
werk	lucru	werk	lucru	V;PRS	N;INDF;MASC;SG
werk	muncă	werk	muncă	V;PRS	N;INDF;FEM;SG
werk	iov	werk	iov	V;PRS	
werk	job	werk	job	V;PRS	N;INDF;MASC;SG
werk	werk	werk	werk	V;PRS	PROPN
klein	mic	klein	mic		ADJ;INDF;MASC;SG
klein	mică	klein	mic		ADJ;INDF;FEM;SG
klein	micii	klein	mic		N;DEF;MASC;PL
klein	mici	klein	mic		ADJ;INDF;PL
klein	minore	klein	minor		N;INDF;FEM;PL
klein	minoră	klein	minor		ADJ;INDF;FEM;SG
klein	minora	klein	minoră		N;DEF;FEM;SG
klein	minor	klein	minor		ADJ;INDF;MASC;SG
klein	tiny	klein	tiny		N
oos	east	oos	east		PROPN
oos	est	oos	est		N;INDF;MASC;SG
oos	estul	oos	est		N;DEF;MASC;SG
geword	devin	word	deveni	V;PST;FIN	V;IND;PL;3;PRS;FIN
verenigde	unită	verenig	unit	ADJ;NOM	ADJ;INDF;FEM;SG
verenigde	united	verenig	united	ADJ;NOM	N;INDF;MASC;SG
wes	west	wes	west		PROPN
wes	vest	wes	vest		N;INDF;MASC;SG
wes	occident	wes	occident		N;INDF;MASC;SG
wes	vestul	wes	vest		N;DEF;MASC;SG
vorm	formă	vorm	formă	V;PRS	N;INDF;FEM;SG
vorm	forma	vorm	formă	V;PRS	N;DEF;FEM;SG
staan	stand	staan	sta	V;PRS	
genoem	menționat	noem	menționat	V;PST;V.PTCP	ADJ;INDF;MASC;SG
gemaak	făcute	maak	făcut	V;PST;V.PTCP	ADJ;INDF;FEM;PL
gemaak	made	maak	made	V;PST;V.PTCP	
gemaak	făcută	maak	făcut	V;PST;V.PTCP	ADJ;INDF;FEM;SG
gebou	clădire	bou	clădire	V;PST;V.PTCP	N;INDF;FEM;SG
gebou	cladire	bou	cladire	V;PST;V.PTCP	N;INDF;FEM;SG
gebou	clădirea	bou	clădire	V;PST;V.PTCP	N;DEF;FEM;SG
januarie	ianuarie	januarie	ianuarie		N;INDF;MASC;SG
januarie	manuală	januarie	manual		ADJ;INDF;FEM;SG
januarie	manual	januarie	manual		N;INDF;MASC;SG
januarie	manualul	januarie	manual		N;DEF;MASC;SG
junie	iunie	junie	iunie		N;INDF;MASC;SG
amerikaanse	americană	amerikaans	american	ADJ;NOM	ADJ;INDF;FEM;SG
amerikaanse	americancă	amerikaans	americanc	ADJ;NOM	ADJ;INDF;FEM;SG
nadat	dupa	nadat	dupa	CONJ	N;DEF;FEM;SG
nadat	după	nadat	după	CONJ	ADP;ACC
april	aprilie	april	aprilie		N;INDF;MASC;SG
lank	înalt	lank	înalt	ADV	ADJ;INDF;MASC;SG
lank	înaltă	lank	înalt	ADV	ADJ;INDF;FEM;SG
lank	inalt	lank	inalt	ADV	ADJ;INDF;MASC;SG
lank	inalta	lank	inalta	ADV	ADJ;DEF;FEM;SG
lank	lung	lank	lung	ADV	ADJ;INDF;MASC;SG
lank	lungă	lank	lung	ADV	ADJ;INDF;FEM;SG
lank	long	lank	long	ADV	
gestig	fondată	stig	fondat	V;PST;V.PTCP	ADJ;INDF;FEM;SG
gestig	fondat	stig	fonda	V;PST;V.PTCP	ADJ;INDF;MASC;SG
oktober	octombrie	oktober	octombrie		N;INDF;MASC;SG
julie	iulie	julie	iulie		N;INDF;MASC;SG
sedert	lansat	sedert	lansat	ADP	ADJ;INDF;MASC;SG
sedert	lansată	sedert	lansa	ADP	ADJ;INDF;FEM;SG
sedert	lansate	sedert	lansa	ADP	ADJ;INDF;FEM;PL
kaapstad	barcelona	kaapstad	barcelonă		N;DEF;FEM;PL
september	septembrie	september	septembrie		N;INDF;MASC;SG
engels	engleza	engels	engleza		N;DEF;FEM;SG
engels	engleză	engels	englez		N;INDF;FEM;SG
engels	romanian	engels	romanian		N;INDF;MASC;SG
party	party	party	party	V;PRS	N;INDF;MASC;SG
party	petrecere	party	petrecere	V;PRS	N;INDF;FEM;SG
party	partid	party	partid	V;PRS	N;INDF;MASC;SG
desember	decembrie	desember	decembrie		N;INDF;MASC;SG
maart	martie	maart	martie		N;INDF;MASC;SG
alle	toti	al	toti	DET	
alle	toți	al	tot	DET	PRO;MASC;PL;3
alle	toate	al	tot	DET	PRO;FEM;PL;3
alle	tot	al	tot	DET	PRO;MASC;SG;3
augustus	august	augustus	august		N;INDF;MASC;SG
gevolg	urmate	gevolg	urma	N;SG	ADJ;INDF;FEM;PL
gevolg	urmărit	gevolg	urmări	N;SG	ADJ;INDF;MASC;SG
gevolg	urmat	gevolg	urma	N;SG	ADJ;INDF;MASC;SG
gevolg	urmărită	gevolg	urmări	N;SG	ADJ;INDF;FEM;SG
februarie	februarie	februarie	februarie		N;INDF;MASC;SG
gaan	mergând	gaan	merge		V;V.MSDR
meeste	majoritatea	baie	majoritate		N;DEF;FEM;SG
gebore	nascut	gebore	naște	V;PRS	ADJ;INDF;MASC;SG
gebore	născută	gebore	naște	V;PRS	ADJ;INDF;FEM;SG
gebore	născut	gebore	naște	V;PRS	ADJ;INDF;MASC;SG
provinsie	state	provinsie	stat	N;SG	N;INDF;FEM;PL
lewe	life	lewe	life	N;SG	
vier	four	vier	four	V;PRS	N;INDF;MASC;SG
vier	patru	vier	patru	V;PRS	NUM;PL
november	november	november	november		N;INDF;MASC;SG
november	noiembrie	november	noiembrie		N;INDF;MASC;SG
franse	franceză	frans	francez	ADJ;NOM	ADJ;INDF;FEM;SG
franse	franceza	frans	franceza	ADJ;NOM	N;DEF;FEM;SG
dood	moartă	dood	mort	N;SG	ADJ;INDF;FEM;SG
dood	dead	dood	dead	N;SG	
dood	mort	dood	mort	N;SG	ADJ;INDF;MASC;SG
amptelike	oficiala	amptelik	oficială	ADJ;NOM	ADJ;DEF;FEM;SG
amptelike	oficială	amptelik	oficial	ADJ;NOM	ADJ;INDF;FEM;SG
koning	regele	koning	rege		N;DEF;MASC;SG
koning	king	koning	king		N;INDF;MASC;SG
koning	rege	koning	rege		N;INDF;MASC;SG
der	der	der	der		N;INDF;MASC;SG
moes	avea	moet	avea	V;PST;FIN	V;IND;SG;3;IPFV;FIN
moes	avut	moet	avea	V;PST;FIN	V;MASC;SG;V.PTCP
dieselfde	același	dieselfde	același	ADJ;NOM	DET;MASC;SG;3
wêreld	world	wêreld	world	N;SG	PROPN
volgende	următor	volg	următor	N;SG	ADJ;INDF;MASC;SG
volgende	următoarea	volg	următor	N;SG	ADJ;DEF;FEM;SG
geleë	localizată	geleë	localiza		ADJ;INDF;FEM;SG
geleë	localizat	geleë	localiza		ADJ;INDF;MASC;SG
geleë	situat	geleë	situa		ADJ;INDF;MASC;SG
plaaslike	localnic	plaaslik	localnic	ADJ;NOM	N;INDF;MASC;SG
plaaslike	locală	plaaslik	local	ADJ;NOM	ADJ;INDF;FEM;SG
regs	dreapta	regs	dreaptă	ADP	N;DEF;FEM;SG
regs	corect	regs	corect	ADP	ADV
internasionale	internaţională	internasionaal	internahional	ADJ;NOM	ADJ;INDF;FEM;SG
internasionale	internațională	internasionaal	internațional	ADJ;NOM	ADJ;INDF;FEM;SG
eie	personaliza	eie	personaliza	ADJ;NOM	V;IND;SG;3;IPFV;FIN
eie	proprie	eie	propriu	ADJ;NOM	ADJ;INDF;FEM;SG
eers	primii	eers	prim		NUM;DEF;MASC;PL
eers	prima	eers	prim		NUM;DEF;FEM;SG
eers	primul	eers	prim		NUM;DEF;MASC;SG
pretoria	pretoria	pretoria	pretorie		PROPN
steeds	inca	steeds	inca	ADV	
steeds	tot	steeds	tot	ADV	PRO;MASC;SG;3
stel	setată	stel	seta	V;PRS	ADJ;INDF;FEM;SG
stel	set	stel	set	V;PRS	N;INDF;MASC;SG
stel	setat	stel	setat	V;PRS	ADJ;INDF;MASC;SG
frankryk	franţa	frankryk	frangă		PROPN
frankryk	franța	frankryk	franța		PROPN
frankryk	franta	frankryk	frantă		PROPN
frankryk	france	frankryk	francă		N;INDF;MASC;SG
verwys	citată	verwys	cita	V;PRS	ADJ;INDF;FEM;SG
einde	termină	einde	termina	N;SG	V;IND;SG;3;PST;FIN
einde	finalizează	einde	finaliza	N;SG	V;IND;3;PRS;FIN
einde	sfarsit	einde	sfarsi	N;SG	
duitsland	germania	duitsland	germania	N;SG	PROPN
kaap	cape	kaap	cape		N;INDF;MASC;SG
kaap	pelerina	kaap	pelerină		N;DEF;FEM;SG
kaap	pelerină	kaap	pelerină		N;INDF;FEM;SG
wanneer	cand	wanneer	cand	PRO	
wanneer	când	wanneer	când	PRO	ADV
laaste	ultimele	laaste	ultim	DET	NUM;DEF;FEM;PL
laaste	ultima	laaste	ultim	DET	NUM;DEF;FEM;SG
laaste	ultimul	laaste	ultim	DET	NUM;DEF;MASC;SG
laaste	last	laaste	last	DET	N;INDF;MASC;SG
besluit	decizia	besluit	decizie	V;PRS	N;DEF;FEM;SG
besluit	decizie	besluit	decizie	V;PRS	N;INDF;FEM;SG
besluit	decisă	besluit	decide	V;PRS	ADJ;INDF;FEM;SG
besluit	decis	besluit	decide	V;PRS	N;INDF;MASC;SG
besluit	hotărât	besluit	hotărî	V;PRS	ADJ;INDF;MASC;SG
ryk	empire	ryk	empire		N;INDF;MASC;SG
ryk	imperiul	ryk	imperiu		N;DEF;MASC;SG
ryk	imperiu	ryk	imperiu		N;INDF;MASC;SG
ryk	imperiului	ryk	imperiu		N;DEF;MASC;SG
ryk	bogata	ryk	bogat		ADJ;DEF;FEM;SG
ryk	bogată	ryk	bogat		ADJ;INDF;FEM;SG
ryk	rich	ryk	rich		PROPN
ryk	bogat	ryk	bogat		ADJ;INDF;MASC;SG
asook	filantropie	asook	filantropie	CONJ	N;INDF;FEM;SG
sommige	unele	sommige	unul	DET	PRO;FEM;PL;3
sommige	unii	sommige	unul	DET	PRO;MASC;PL;3
afrikaans	afrikaans	afrikaans	afrikaans		N;INDF;MASC;SG
geskiedenis	istoric	geskiedenis	istoric	N;SG	ADJ;INDF;MASC;SG
vis	pesti	vis	pesti	N;SG	N;INDF;MASC;PL
vis	pești	vis	pești	N;SG	N;INDF;MASC;PL
plaas	ferma	plaas	fermă	V;PRS	N;DEF;FEM;SG
plaas	fermă	plaas	fermă	V;PRS	N;INDF;FEM;SG
plaas	post	plaas	post	V;PRS	N;INDF;MASC;SG
plaas	postare	plaas	postare	V;PRS	N;INDF;FEM;SG
plaas	postarea	plaas	postare	V;PRS	N;DEF;FEM;SG
wikipedia	wikipedia	wikipedia	wikipedia		N;DEF;FEM;SG
wetenskaplike	cercetător	wetenskaplik	cercetător	ADJ;NOM	N;INDF;MASC;SG
wetenskaplike	savant	wetenskaplik	savant	ADJ;NOM	N;INDF;MASC;SG
wetenskaplike	științifică	wetenskaplik	științific	ADJ;NOM	ADJ;INDF;FEM;SG
wetenskaplike	științific	wetenskaplik	științific	ADJ;NOM	ADV
ontwikkel	dezvoltate	ontwikkel	dezvoltat	V;PRS	ADJ;INDF;FEM;PL
ontwikkel	dezvoltată	ontwikkel	dezvolta	V;PRS	ADJ;INDF;FEM;SG
ontwikkel	dezvoltat	ontwikkel	dezvolta	V;PRS	ADJ;INDF;MASC;SG
ontwikkel	dezvolta	ontwikkel	dezvolta	V;PRS	V;IND;SG;3;IPFV;FIN
ontwikkel	dezvoltă	ontwikkel	dezvolta	V;PRS	V;IND;SG;3;PST;FIN
seun	fiule	seun	fiu	N;SG	
algemene	generalul	algemeen	general	ADV	N;DEF;MASC;SG
algemene	generale	algemeen	general	ADV	ADJ;INDF;FEM;PL
algemene	general	algemeen	general	ADV	ADJ;INDF;MASC;SG
verskillende	diferită	verskil	diferit	ADJ;NOM	ADJ;INDF;FEM;SG
verskillende	diferita	verskil	diferita	ADJ;NOM	ADJ;DEF;FEM;SG
europa	europei	europa	europă		PROPN;DEF;FEM;SG
europa	europa	europa	europa		PROPN
europa	europă	europa	europă		N;INDF;FEM;SG
stadion	stadion	stadion	stadion		N;INDF;MASC;SG
stadion	stadium	stadion	stadium		PROPN
stadion	stadionul	stadion	stadion		N;DEF;MASC;SG
belangrike	important	belangrik	important	ADJ;NOM	ADV
belangrike	importanta	belangrik	important	ADJ;NOM	ADJ;DEF;FEM;SG
belangrike	importantă	belangrik	important	ADJ;NOM	ADJ;INDF;FEM;SG
neem	ia	neem	lua	V;PRS	
neem	luati	neem	lua	V;PRS	
tans	cadou	tans	cadou	ADV	N;INDF;MASC;SG
tans	prezente	tans	prezent	ADV	V;IND;PL;3;PRS;FIN
tans	prezentul	tans	prezent	ADV	N;DEF;MASC;SG
tans	prezent	tans	prezent	ADV	N;INDF;MASC;SG
tans	prezentă	tans	prezent	ADV	ADJ;INDF;FEM;SG
kort	scurt	kort	scurt		ADV
kort	scurta	kort	scurta		ADJ;DEF;FEM;SG
kort	scurtă	kort	scurt		ADJ;INDF;FEM;SG
kort	short	kort	short		N;INDF;MASC;SG
kort	scurte	kort	scurt		ADJ;INDF;FEM;PL
self	self	self	self	PRO;SG;3;REFL	
mens	umane	mens	uman		ADJ;INDF;FEM;PL
mens	om	mens	om		N;INDF;MASC;SG
mens	umană	mens	uman		ADJ;INDF;FEM;SG
mens	uman	mens	uman		ADJ;INDF;MASC;SG
binne	interior	binne	interior	ADP	N;INDF;MASC;SG
binne	înăuntru	binne	înăuntru	ADP	
swart	crăpătură	swart	crăpătură		N;INDF;FEM;SG
swart	crack	swart	crack		N;INDF;MASC;SG
swart	neagră	swart	negru		ADJ;INDF;FEM;SG
swart	negru	swart	negru		ADJ;INDF;MASC;SG
swart	neagra	swart	negru		ADJ;DEF;FEM;SG
swart	black	swart	black		N;INDF;MASC;SG
europese	europeană	europees	european	ADJ;NOM	ADJ;INDF;FEM;SG
moontlik	posibile	moontlik	posibil	ADV	ADJ;INDF;FEM;PL
moontlik	posibila	moontlik	posibil	ADV	ADJ;DEF;FEM;SG
moontlik	posibilă	moontlik	posibil	ADV	ADJ;INDF;FEM;SG
gehou	plăcea	hou	plăcea	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
gehou	plăcut	hou	plăcut	V;PST;V.PTCP	ADJ;INDF;MASC;SG
per	per	per	per	ADP	
vroeë	early	vroeg	early	ADJ;NOM	N;INDF;MASC;SG
vroeë	timpuriu	vroeg	timpuriu	ADJ;NOM	ADV
vroeë	devreme	vroeg	devreme	ADJ;NOM	ADV
voorkom	preveni	voorkom	preveni	V;PRS	
mag	may	mag	may	V;PRS	
geneem	luată	neem	lua	V;PST;V.PTCP	ADJ;INDF;FEM;SG
geneem	luat	neem	lua	V;PST;V.PTCP	ADJ;INDF;MASC;SG
geneem	luate	neem	luat	V;PST;V.PTCP	ADJ;INDF;FEM;PL
hoe	cum	hoe	cum	PRO	ADV
volg	urmări	volg	urmări	V;PRS	
volg	pista	volg	pistă	V;PRS	N;DEF;FEM;SG
volg	pistă	volg	pistă	V;PRS	N;INDF;FEM;SG
volg	urmeaza	volg	urmează	V;PRS	V;IND;SG;3;IPFV;FIN
volg	follow	volg	follow	V;PRS	
soms	ocazionale	soms	ocazional	PART	ADJ;INDF;FEM;PL
soms	ocazional	soms	ocazional	PART	ADV
soms	uneori	soms	uneori	PART	ADV
soms	câteodată	soms	câteodată	PART	ADV
engeland	anglia	engeland	anglie		PROPN
engeland	england	engeland	england		PROPN
johannes	johannes	johannes	johannes		PROPN
johannes	john	johannes	john		PROPN
johannes	ioan	johannes	ioan		PROPN
vyf	five	vyf	fiv	NUM	N;INDF;MASC;SG
sonder	fara	sonder	fară	ADP	
johannesburg	johannesburg	johannesburg	johannesburg	PROPN;SG	N;INDF;MASC;SG
ontwerp	proiectare	ontwerp	proiectare	V;PRS	N;INDF;FEM;SG
ontwerp	design	ontwerp	design	V;PRS	N;INDF;MASC;SG
ontwerp	proiectarea	ontwerp	proiectare	V;PRS	N;DEF;FEM;SG
aarde	pamant	aarde	pamant	N;SG	
gee	dați	gee	da	V;PRS	V;IND;PL;2;IPFV;FIN
kry	ia	kry	lua	V;PRS	
paar	puține	paar	puțin		PRO;FEM;PL;3
paar	puțini	paar	puțin		PRO;MASC;PL;3
john	john	john	john		PROPN
john	ioan	john	ioan		PROPN
moderne	moderni	modern	modern	N;SG	ADJ;INDF;MASC;PL
moderne	moderna	modern	moderna	N;SG	ADJ;DEF;FEM;SG
moderne	modern	modern	modern	N;SG	ADJ;INDF;MASC;SG
moderne	moderne	modern	modern	N;SG	ADJ;INDF;FEM;PL
moderne	modernă	modern	modern	N;SG	ADJ;INDF;FEM;SG
ontvang	primite	ontvang	primit	V;PRS	ADJ;INDF;FEM;PL
ontvang	primită	ontvang	primi	V;PRS	ADJ;INDF;FEM;SG
ontvang	primirea	ontvang	primire	V;PRS	N;DEF;FEM;SG
bly	bly	bly	bly	V;PRS	PROPN
bly	rămâi	bly	ramâne	V;PRS	V;IND;SG;2;PRS;FIN
bly	stai	bly	sta	V;PRS	V;IND;SG;2;IPFV;FIN
amerika	americii	amerika	americ	N;SG	PROPN;DEF;FEM;SG
hoewel	deşi	hoewel	deşi	CONJ	CONJ;POS
hoewel	desi	hoewel	desi	CONJ	
webwerf	website	webwerf	websit	N;SG	
staat	state	staat	stat	N;SG	N;INDF;FEM;PL
weens	datorate	weens	datorat	ADP	ADJ;INDF;FEM;PL
weens	datorată	weens	datorat	ADP	ADJ;INDF;FEM;SG
vandag	astazi	vandag	astazi	ADV	
daardie	acelea	daardie	acela	DET	PRO;FEM;PL;3
daardie	alea	daardie	acela	DET	PRO;FEM;PL;3
ekonomiese	economică	ekonomies	economic	ADJ;NOM	ADJ;INDF;FEM;SG
aanvaar	acceptat	aanvaar	acceptat	V;PRS	ADJ;INDF;MASC;SG
aanvaar	acceptate	aanvaar	accepta	V;PRS	ADJ;INDF;FEM;PL
aanvaar	acceptata	aanvaar	acceptată	V;PRS	ADJ;DEF;FEM;SG
aanvaar	acceptată	aanvaar	accepta	V;PRS	ADJ;INDF;FEM;SG
aanvaar	acceptă	aanvaar	accepta	V;PRS	V;IND;SG;3;PST;FIN
aanvaar	accepta	aanvaar	accepta	V;PRS	V;IND;SG;3;IPFV;FIN
hou	păstrați	hou	păstra	V;PRS	V;IND;PL;2;IPFV;FIN
geskryf	scrisa	skryf	scrisa	V;PST;V.PTCP	ADJ;DEF;FEM;SG
geskryf	scris	skryf	scris	V;PST;V.PTCP	N;INDF;MASC;SG
geskryf	scrisă	skryf	scris	V;PST;V.PTCP	ADJ;INDF;FEM;SG
geskryf	arsă	skryf	arde	V;PST;V.PTCP	ADJ;INDF;FEM;SG
hele	intreg	heel	intreg	ADJ;NOM	
skrywer	scriitoare	skrywer	scriitor	N;SG	ADJ;INDF;FEM
see	seneca	see	senecă		N;INDF;MASC;SG
see	mare	see	mare		ADJ;INDF;MASC;SG
see	marea	see	mare		N;DEF;FEM;SG
verander	anula	verander	anula	V;PRS	V;IND;SG;3;IPFV;FIN
verander	renunță	verander	renunța	V;PRS	V;IND;SG;3;PST;FIN
verander	modificări	verander	modificare	V;PRS	N;INDF;FEM;PL
verander	schimbări	verander	schimbare	V;PRS	N;INDF;FEM;PL
verander	modificari	verander	modificare	V;PRS	
verander	schimbari	verander	schimbari	V;PRS	N;INDF;FEM;PL
verander	modifică	verander	modifica	V;PRS	V;IND;SG;3;PST;FIN
verander	schimba	verander	schimba	V;PRS	V;IND;SG;3;IPFV;FIN
verander	schimbare	verander	schimbare	V;PRS	N;INDF;FEM;SG
verander	schimbă	verander	schimba	V;PRS	V;IND;SG;3;PST;FIN
verander	schimbarea	verander	schimbare	V;PRS	N;DEF;FEM;SG
bereik	impact	bereik	impact	V;PRS	N;INDF;MASC;SG
bereik	impactul	bereik	impact	V;PRS	N;DEF;MASC;SG
bereik	atins	bereik	atinge	V;PRS	ADJ;INDF;MASC;SG
bereik	atinsă	bereik	atinge	V;PRS	ADJ;INDF;FEM;SG
