und	और	und	और	CONJ	
score	स्कोर	scoren	स्कोर	PROPN	N;NOM;MASC;SG;3
einen	एक	ein	एक	PRO;ACC;INDF;MASC;SG	NUM
dass	उस	dass	वह	CONJ	DET;ACC;SG;3
dass	कि	dass	कि	CONJ	
über	परिचय	über	परिचय	ADP	N;NOM;MASC;SG;3
über	अरदास	über	अरदास	ADP	
über	ऊपर	über	ऊपर	ADP	ADV;NOM;MASC;SG;3
aber	परन्तु	aber	परन्तु	CONJ	
aber	लेकीन	aber	लेकीन	CONJ	
aber	लकिन	aber	लकिन	CONJ	
wie	केसे	wie	केसे	ADP	N;NOM;MASC;SG;3
wie	कैसे	wie	कैसे	ADP	PRO
wie	कैसा	wie	कैसा	ADP	PRO
wie	like	wie	like	ADP	
wie	जैसे	wie	जैसे	ADP	CONJ
nur	सिर्फ	nur	सिर्फ	ADV	PART
nur	केवल	nur	केवल	ADV	PART
nur	तभी	nur	तभी	ADV	PRO;NOM
nur	सिर्फ	nur	सिर्फ	ADV	PART
nur	बस	nur	बस	ADV	N;NOM;FEM;SG;3
noch	स्टिल	noch	स्टिल	ADV	
unter	unter	unter	unter	ADP	PROPN;NOM;MASC;SG;3
unter	तहत	unter	तहत	ADP	CONJ
unter	अधीन	unter	अधीन	ADP	
unter	अंतर्गत	unter	अंतर्गत	ADP	CONJ
hat	रै	haben	रै	V;IND;SG;3;PRS;FIN	
hat	हैट	haben	हैट	V;IND;SG;3;PRS;FIN	
artikel	लेख	artikel	लेख	ADJ	N;NOM;MASC;SG;3
artikel	आलेख	artikel	आलेख	ADJ	N;NOM;MASC;SG;3
artikel	आइटम	artikel	आइटम	ADJ	N;NOM;MASC;SG;3
artikel	वस्तुएँ	artikel	वस्तु	ADJ	N;NOM;FEM;PL;3
artikel	मद	artikel	मद	ADJ	
artikel	वस्तुएं	artikel	वस्तु	ADJ	N;NOM;FEM;PL;3
artikel	लेख	artikel	लेख	ADJ	N;NOM;MASC;SG;3
artikel	आलेख	artikel	आलेख	ADJ	N;NOM;MASC;SG;3
man	पुरुष	man	पुरुष	PRO;NOM;INDF;SG	N;NOM;MASC;SG;3
man	मनुष्य	man	मनुष्य	PRO;NOM;INDF;SG	N;NOM;MASC;SG;3
man	मैन	man	मैन	PRO;NOM;INDF;SG	
man	आदमी	man	आदमी	PRO;NOM;INDF;SG	N;NOM;MASC;SG;3
man	इन्सान	man	इन्सान	PRO;NOM;INDF;SG	N;NOM;MASC;SG;3
man	man	man	ओे	PRO;NOM;INDF;SG	
vor	अग्र	vor	अग्र	ADP	
vor	सामने	vor	सामने	ADP	ADV;NOM;MASC;SG;3
vor	प्री	vor	प्री	ADP	N;NOM;MASC;SG;3
vor	पहले	vor	पहले	ADP	ADV;NOM;MASC;SG;3
wurden	यहूद	werden	यहूद	V;IND;PL;3;PST;FIN;PASS	
sein	उसकी	sein	वह	DET;NOM;MASC;SG	PRO;FEM;SG;3
sein	उसका	sein	वह	DET;NOM;MASC;SG	PRO;MASC;SG;3
sein	उसके	sein	वह	DET;NOM;MASC;SG	PRO;MASC;SG;3
diese	ये	dies	यह	PRO;NOM;FEM;SG	PRO;NOM;PL;3
diese	यह	dies	यह	PRO;NOM;FEM;SG	PRO;NOM;SG;3
diese	इस	dies	यह	PRO;NOM;FEM;SG	DET;ACC;SG;3
diese	ये	dies	यह	PRO;NOM;FEM;SG	PRO;NOM;PL;3
vom	इससे	vom	यह		PRO;SG;3
vom	vom	vom	vom		PROPN;NOM;MASC;SG;3
kann	मई	können	मई	V;IND;SG;3;PRS;FIN	PROPN;NOM;FEM;SG;3
kann	may	können	may	V;IND;SG;3;PRS;FIN	
hier	यहां	hier	यहाँ	ADV	PRO;NOM
hier	यहा	hier	यहा	ADV	
hier	यहाँ	hier	यहाँ	ADV	PRO;NOM
seine	उसकी	sein	वह	DET;NOM;FEM;SG	PRO;FEM;SG;3
seine	उसका	sein	वह	DET;NOM;FEM;SG	PRO;MASC;SG;3
seine	उसके	sein	वह	DET;NOM;FEM;SG	PRO;MASC;SG;3
seine	इसका	sein	यह	DET;NOM;FEM;SG	PRO;MASC;SG;3
seine	इसकी	sein	यह	DET;NOM;FEM;SG	PRO;FEM;SG;3
seine	इसके	sein	यह	DET;NOM;FEM;SG	PRO;MASC;SG;3
seit	जबसे	seit	जबसे	ADP	
seit	चूंकि	seit	चूंकि	ADP	CONJ
dieser	ये	dies	यह	PRO;NOM;MASC;SG	PRO;NOM;PL;3
dieser	यह	dies	यह	PRO;NOM;MASC;SG	PRO;NOM;SG;3
dieser	इस	dies	यह	PRO;NOM;MASC;SG	DET;ACC;SG;3
wenn	कब	wenn	कब	CONJ	PRO
wenn	जब	wenn	जब	CONJ	PRO;NOM
dann	तब	dann	तब	ADV	PRO;NOM
seiner	उसकी	sein	वह	DET;NOM;MASC;SG	PRO;FEM;SG;3
seiner	उसका	sein	वह	DET;NOM;MASC;SG	PRO;MASC;SG;3
seiner	उसके	sein	वह	DET;NOM;MASC;SG	PRO;MASC;SG;3
seiner	इसका	sein	यह	DET;NOM;MASC;SG	PRO;MASC;SG;3
seiner	इसकी	sein	यह	DET;NOM;MASC;SG	PRO;FEM;SG;3
seiner	इसके	sein	यह	DET;NOM;MASC;SG	PRO;MASC;SG;3
jahre	वर्ष	jahren	वर्ष	ADV	N;NOM;MASC;SG;3
jahre	साल	jahren	साल	ADV	N;NOM;MASC;SG;3
jahre	सालों	jahren	साल	ADV	N;NOM;MASC;PL;3
jahre	वर्ष	jahren	वर्ष	ADV	N;NOM;MASC;SG;3
jahre	साल	jahren	साल	ADV	N;NOM;MASC;SG;3
jahre	वर्षों	jahren	वर्ष	ADV	N;NOM;MASC;PL;3
jahre	सालो	jahren	सालो	ADV	
mai	मई	mai	मई	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG;3
mai	may	mai	may	PROPN;NOM;MASC;SG	
mai	mai	mai	mai	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
mai	माई	mai	माई	PROPN;NOM;MASC;SG	
isbn	isbn	isbn	ओप	;SG	PROPN;NOM;MASC;SG;3
was	कया	was	कया	PRO;NOM;NEUT;SG	V;SG;FIN;ACT
sowie	और	sowie	और	CONJ	
hatte	था	haben	था	V;IND;SG;3;PST;FIN	V;MASC;IND;SG;PST;FIN;ACT
zwischen	इंटरमीडिएट	zwischen	इंटरमीडिएट	ADP	N;NOM;MASC;SG;3
mehr	ज्यादा	mehr	ज्यादा	ADV	DET
mehr	आदि	mehr	आदि	ADV	PART
mehr	अधिक	mehr	अधिक	ADV	DET
gegen	बनाम	gegen	बनाम	ADP	
gegen	विरूद्ध	gegen	विरूद्ध	ADP	CONJ
waren	यहूद	sein	यहूद	V;IND;PL;3;PST;FIN	
zeit	अवधि	zeit	अवधि	ADJ	N;NOM;FEM;SG;3
zeit	काल	zeit	काल	ADJ	N;NOM;MASC;SG;3
zeit	वक़्त	zeit	वक़्त	ADJ	N;NOM;MASC;SG;3
zeit	वक्त	zeit	वक्त	ADJ	N;NOM;MASC;SG;3
zeit	समय	zeit	समय	ADJ	N;NOM;MASC;SG;3
stadt	बस्ती	staden	बस्ती		N;NOM;FEM;SG;3
stadt	नगर	staden	नगर		N;NOM;MASC;SG;3
stadt	कस्बा	staden	कस्बा		N;NOM;MASC;SG;3
stadt	शहर	staden	शहर		N;NOM;MASC;SG;3
stadt	सिटी	staden	सिटी		N;NOM;FEM;SG;3
stadt	नगर	staden	नगर		N;NOM;MASC;SG;3
stadt	शहर	staden	शहर		N;NOM;MASC;SG;3
stadt	शहरों	staden	शहर		N;ACC;MASC;PL;3
wieder	बैक	wieder	बैक	ADV	
wieder	पिछे	wieder	पिछ	ADV	V;MASC;SG;FIN;ACT
wieder	वापस	wieder	वापस	ADV	ADJ
gibt	बताएगा	geben	बता	V;IND;SG;3;PRS;FIN	V;MASC;IND;SG;3;FUT;FIN;ACT
gibt	रिटर्न	geben	रिटर्न	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
deutscher	जर्मन	deutsch	जर्मन	ADJ	PROPN;NOM;MASC;SG;3
deutscher	जर्मनी	deutsch	जर्मनी	ADJ	PROPN;NOM;MASC;SG;3
deutscher	deutscher	deutsch	deutscher	ADJ	N;NOM;MASC;SG;3
jahren	सालों	jahren	साल	ADJ	N;NOM;MASC;PL;3
jahren	वर्ष	jahren	वर्ष	ADJ	N;NOM;MASC;SG;3
jahren	साल	jahren	साल	ADJ	N;NOM;MASC;SG;3
jahren	वर्षों	jahren	वर्ष	ADJ	N;NOM;MASC;PL;3
jahren	सालो	jahren	सालो	ADJ	
mal	बार	mal	बार	ADV	N;NOM;FEM;SG;3
mal	टाइम्स	mal	टाइम्स	ADV	PROPN;NOM;MASC;SG;3
mal	मल	mal	मल	ADV	
ersten	पहली	erst	पहला	ADJ;NOM;PL	ADJ;NOM;FEM;SG
ersten	पहले	erst	पहले	ADJ;NOM;PL	ADV;NOM;MASC;SG;3
ersten	पहला	erst	पहला	ADJ;NOM;PL	ADJ;NOM;MASC;SG
jedoch	परन्तु	jedoch	परन्तु	ADV	
jedoch	लेकिन	jedoch	लेकिन	ADV	CONJ
jedoch	लेकीन	jedoch	लेकीन	ADV	
jedoch	मगर	jedoch	मगर	ADV	CONJ
jedoch	लकिन	jedoch	लकिन	ADV	
dort	वहाँ	dort	वहाँ	ADV	PRO;NOM
dort	वहां	dort	वहाँ	ADV	PRO;NOM
dort	वहा	dort	वह	ADV	
dort	वहीँ	dort	वहीँ	ADV	
seed	बीज	seed	बीज		N;NOM;MASC;SG;3
siehe	देखें	sehen	देख	V;IMP;SG;FIN	V;SBJV;PL;FIN;ACT
siehe	देखिए	sehen	देखिया	V;IMP;SG;FIN	V;SBJV;SG;FIN;ACT
drei	drei	drei	drei	NUM	
etwa	परिचय	etwa	परिचय	ADV	N;NOM;MASC;SG;3
deutschen	जर्मन	deutsch	जर्मन	ADJ	PROPN;NOM;MASC;SG;3
deutschen	जर्मनी	deutsch	जर्मनी	ADJ	PROPN;NOM;MASC;SG;3
teil	हिस्से	teil	हिस्सा	ADV	N;NOM;MASC;SG;3
teil	हिस्सा	teil	हिस्सा	ADV	N;NOM;MASC;SG;3
teil	पार्ट	teil	पार्ट	ADV	
teil	भाग	teil	भाग	ADV	
berlin	बर्लिन	berlin	बर्लिन	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
heute	आज	heute	आज	ADV	N;NOM;MASC;SG;3
habe	मिली	haben	मिल	V;SBJV;SG;3;PRS;FIN	V;PFV;FEM;SG;V.PTCP;ACT
habe	मिला	haben	मिल	V;SBJV;SG;3;PRS;FIN	V;PFV;MASC;SG;V.PTCP;ACT
alle	सभी	alle	सब	PRO;NOM;INDF;PL	PRO;NOM;3
alle	सब	alle	सब	PRO;NOM;INDF;PL	N;NOM;MASC;SG;3
während	दौरान	während	दौरान	CONJ	ADV;NOM;MASC;SG;3
während	जबकी	während	जबकी	CONJ	
während	जबकि	während	जबकि	CONJ	CONJ
ihre	उनकी	ihr	वह	DET;NOM;FEM;SG	PRO;FEM;SG;3;FORM
ihre	इनकी	ihr	यह	DET;NOM;FEM;SG	PRO;FEM;PL;3
ihre	उनका	ihr	वह	DET;NOM;FEM;SG	PRO;MASC;SG;3;FORM
ihre	उनके	ihr	वह	DET;NOM;FEM;SG	PRO;MASC;SG;3;FORM
ihre	इसका	ihr	यह	DET;NOM;FEM;SG	PRO;MASC;SG;3
ihre	इसकी	ihr	यह	DET;NOM;FEM;SG	PRO;FEM;SG;3
ihre	इसके	ihr	यह	DET;NOM;FEM;SG	PRO;MASC;SG;3
ihre	आपकी	ihr	आप	DET;NOM;FEM;SG	PRO;FEM;SG;2;FORM
ihre	आपके	ihr	आप	DET;NOM;FEM;SG	PRO;MASC;SG;2;FORM
ihre	आपका	ihr	आप	DET;NOM;FEM;SG	PRO;MASC;SG;2;FORM
ihre	अपने	ihr	अपना	DET;NOM;FEM;SG	PRO;NOM;MASC
ihre	अपना	ihr	अपना	DET;NOM;FEM;SG	PRO;NOM;MASC;SG
ihre	उसे	ihr	वह	DET;NOM;FEM;SG	PRO;SG;3
ihre	उसका	ihr	वह	DET;NOM;FEM;SG	PRO;MASC;SG;3
ihre	उसकी	ihr	वह	DET;NOM;FEM;SG	PRO;FEM;SG;3
ihre	उसके	ihr	वह	DET;NOM;FEM;SG	PRO;MASC;SG;3
ihre	तुम्हारा	ihr	तुम्हारा	DET;NOM;FEM;SG	PRO;MASC;SG;3
ihre	आपका	ihr	आप	DET;NOM;FEM;SG	PRO;MASC;SG;2;FORM
ihre	तुम्हारी	ihr	तुम्हारी	DET;NOM;FEM;SG	PRO;FEM;SG;3
anderen	अन्य	ander	अन्य	ADJ;NOM;PL	N;NOM;MASC;SG;3
anderen	अन्य	ander	अन्य	ADJ;NOM;PL	N;NOM;MASC;SG;3
später	बाद	spät	बाद	ADJ	ADV;NOM;MASC;SG;3
jan	jan	jan	ओे	PROPN;NOM;MASC;SG	
jan	जन	jan	जन	PROPN;NOM;MASC;SG	N;NOM;MASC;SG;3
mir	मीर	ich	मीर	PRO;DAT;SG;1	PROPN;NOM;MASC;SG;3
sehr	बहुत	sehr	बहुत	ADV	DET
seinen	उसकी	sein	वह	DET;ACC;MASC;SG	PRO;FEM;SG;3
seinen	उसका	sein	वह	DET;ACC;MASC;SG	PRO;MASC;SG;3
seinen	उसके	sein	वह	DET;ACC;MASC;SG	PRO;MASC;SG;3
ihr	आपको	ihr	आप	PRO;NOM;MASC;SG	PRO;SG;2;FORM
ihr	आपकी	ihr	आप	PRO;NOM;MASC;SG	PRO;FEM;SG;2;FORM
ihr	आपके	ihr	आप	PRO;NOM;MASC;SG	PRO;MASC;SG;2;FORM
ihr	आपका	ihr	आप	PRO;NOM;MASC;SG	PRO;MASC;SG;2;FORM
ihr	उसे	ihr	वह	PRO;NOM;MASC;SG	PRO;SG;3
ihr	उसका	ihr	वह	PRO;NOM;MASC;SG	PRO;MASC;SG;3
ihr	उसकी	ihr	वह	PRO;NOM;MASC;SG	PRO;FEM;SG;3
ihr	उसके	ihr	वह	PRO;NOM;MASC;SG	PRO;MASC;SG;3
gemeinde	मोहल्ला	gemeinde	मोहल्ला	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
gemeinde	जातियाँ	gemeinde	जाति	N;NOM;FEM;SG	N;NOM;FEM;PL;3
seinem	उसकी	sein	वह	DET;DAT;MASC;SG	PRO;FEM;SG;3
seinem	उसका	sein	वह	DET;DAT;MASC;SG	PRO;MASC;SG;3
seinem	उसके	sein	वह	DET;DAT;MASC;SG	PRO;MASC;SG;3
erste	पहली	erst	पहला	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
erste	पहले	erst	पहले	ADJ;NOM;FEM;PL	ADV;NOM;MASC;SG;3
erste	पहला	erst	पहला	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
liegt	झूठ	liegen	झूठ	V;IND;SG;3;PRS;FIN	
august	अगस्त	augusten	अगस्त	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
august	अगस्त	augusten	अगस्त	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
ohne	बिना	ohne	बिना	ADP	PART
ohne	बगैर	ohne	बगैर	ADP	PART
sollte	चाहिए	sollen	चाहिए	V;IND;SG;3;PST;FIN	V;ACT
deutschland	जर्मनी	deutschland	जर्मनी	PROPN;NOM	PROPN;NOM;MASC;SG;3
ihm	उससे	er	वह	PRO;DAT;MASC;SG;3	PRO;SG;3
ihm	उसको	er	वह	PRO;DAT;MASC;SG;3	PRO;SG;3
ihm	उसे	er	वह	PRO;DAT;MASC;SG;3	PRO;SG;3
ende	खतम	ende	खतम	N;ACC;NEUT;SG	ADP
ende	समाप्ति	ende	समाप्ति	N;ACC;NEUT;SG	N;NOM;FEM;SG;3
ende	समाप्त	ende	समाप्त	N;ACC;NEUT;SG	ADJ
ende	अंत	ende	अंत	N;ACC;NEUT;SG	N;NOM;MASC;SG;3
ende	समाप्ति	ende	समाप्ति	N;ACC;NEUT;SG	N;NOM;FEM;SG;3
ende	समाप्त	ende	समाप्त	N;ACC;NEUT;SG	ADJ
ende	समाप्ति	ende	समाप्ति	N;ACC;NEUT;SG	N;NOM;FEM;SG;3
märz	मार्च	märz	मार्च	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
märz	कूच	märz	कूच	PROPN;NOM;MASC;SG	N;NOM;FEM;SG;3
aug	अगस्त	augen	अगस्त		PROPN;NOM;MASC;SG;3
deutsche	जर्मन	deutsch	जर्मन	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
deutsche	जर्मनी	deutsch	जर्मनी	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
deutsche	डॉयचे	deutsch	डॉयचे	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
band	बैंड	binden	बैंड		N;NOM;MASC;SG;3
band	टेप	binden	टेप		N;NOM;MASC;SG;3
band	फीता	binden	फुत		N;NOM;MASC;SG;3
band	रिबन	binden	रिबन		N;NOM;MASC;SG;3
januar	जनवरी	januar	जनवरी	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG;3
doch	परन्तु	doch	परन्तु	ADV	
doch	लेकिन	doch	लेकिन	ADV	CONJ
doch	लेकीन	doch	लेकीन	ADV	
doch	मगर	doch	मगर	ADV	CONJ
doch	लकिन	doch	लकिन	ADV	
oktober	अक्टूबर	oktober	अक्टूबर	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
oktober	अक्तूबर	oktober	अक्तूबर	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
oktober	अक्टूबर	oktober	अक्टूबर	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
oktober	अक्तूबर	oktober	अक्तूबर	PROPN;NOM;SG	PROPN;NOM;MASC;SG;3
immer	सदा	immer	सदा	ADV	
nov	नवंबर	nov	नवंबर		PROPN;NOM;MASC;SG;3
nov	नवम्बर	nov	नवंबर		PROPN;NOM;MASC;SG;3
ihn	उससे	er	वह	PRO;ACC;MASC;SG;3	PRO;SG;3
ihn	उसको	er	वह	PRO;ACC;MASC;SG;3	PRO;SG;3
ihn	उसे	er	वह	PRO;ACC;MASC;SG;3	PRO;SG;3
wikipedia	विकिपीडिया	wikipedia	विकिपीडिया		PROPN;NOM;MASC;SG;3
jun	जून	jun	जून		PROPN;NOM;MASC;SG;3
kirche	चर्च	kirche	चर्च		N;NOM;MASC;SG;3
kirche	गिरजाघर	kirche	गिरजाघर		N;NOM;MASC;SG;3
kirche	चर्च	kirche	चर्च		N;NOM;MASC;SG;3
kirche	गिरिजाघर	kirche	गिरिजाघर		N;NOM;MASC;SG;3
juni	जून	juni	जून	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
juni	जून	juni	जून	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
konnte	couldn	können	couldn	V;IND;SG;3;PST;FIN	
april	अप्रैल	april	अप्रैल	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
april	अप्रेल	april	अप्रेल	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
april	अप्रैल	april	अप्रैल	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
september	सितम्बर	september	सितंबर	PROPN;SG	PROPN;NOM;MASC;SG;3
september	सितंबर	september	सितंबर	PROPN;SG	PROPN;NOM;MASC;SG;3
september	सितम्बर	september	सितंबर	PROPN;SG	PROPN;NOM;MASC;SG;3
selbst	सम	selbst	सम	ADV	
selbst	भी	selbst	भी	ADV	PART
selbst	स्व	selbst	स्व	ADV	
selbst	स्वयं	selbst	स्वयं	ADV	
selbst	स्वः	selbst	स्वः	ADV	
selbst	खुद	selbst	खुद	ADV	PRO;NOM
weitere	ज्यादा	weit	ज्यादा	ADJ;NOM;FEM;PL	DET
weitere	आदि	weit	आदि	ADJ;NOM;FEM;PL	PART
weitere	अधिक	weit	अधिक	ADJ;NOM;FEM;PL	DET
juli	जुलाई	juli	जुलाई	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG;3
andere	अन्य	ander	अन्य	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
andere	अन्य	ander	अन्य	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
okt	अक्टूबर	okt	अक्टूबर		PROPN;NOM;MASC;SG;3
okt	अक्तूबर	okt	अक्तूबर		PROPN;NOM;MASC;SG;3
feb	फरवरी	feb	फरवरी		PROPN;NOM;FEM;SG;3
feb	फ़रवरी	feb	फ़रवरी		PROPN;NOM;FEM;SG;3
kein	नही	kein	नही	PRO;NOM;INDF;MASC;SG;NEG	
kein	नहीं	kein	नहीं	PRO;NOM;INDF;MASC;SG;NEG	PART;NEG
geschichte	कहानी	geschicht	कहानी		N;NOM;FEM;SG;3
geschichte	स्टोरी	geschicht	स्टोरी		N;NOM;FEM;SG;3
geschichte	इतिहास	geschicht	इतिहास		N;NOM;MASC;SG;3
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
apr	अप्रैल	apr	अप्रैल		PROPN;NOM;MASC;SG;3
apr	अप्रेल	apr	अप्रेल		PROPN;NOM;MASC;SG;3
jpg	jpg	jpg	jpg		N;NOM;MASC;SG;3
dezember	दिसंबर	dezember	दिसंबर	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
dezember	दिसम्बर	dezember	दिसम्बर	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	
dezember	दिसंबर	dezember	दिसंबर	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
dezember	दिसम्बर	dezember	दिसम्बर	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
dez	दिसंबर	dez	दिसंबर		PROPN;NOM;MASC;SG;3
dez	दिसम्बर	dez	दिसम्बर		PROPN;NOM;MASC;SG;3
universität	विश्वविद्यालय	universität	विश्वविद्यालय	ADJ	N;NOM;MASC;SG;3
universität	यूनिवर्सिटी	universität	यूनिवर्सिटी	ADJ	N;NOM;FEM;SG;3
universität	विश्वविद्यालयों	universität	विश्वविद्यालय	ADJ	N;ACC;MASC;PL;3
platz	प्लाजा	platz	प्लाजा	ADV	N;NOM;MASC;SG;3
platz	वर्ग	platz	वर्ग	ADV	N;NOM;MASC;SG;3
platz	स्क्वायर	platz	स्क्वायर	ADV	N;NOM;MASC;SG;3
platz	वर्गाकार	platz	वर्गाकार	ADV	N;NOM;MASC;SG;3
platz	जगह	platz	जगह	ADV	N;NOM;FEM;SG;3
platz	स्थान	platz	स्थान	ADV	N;NOM;MASC;SG;3
platz	प्लेस	platz	प्लेस	ADV	N;NOM;FEM;SG;3
platz	अंतरिक्ष	platz	अंतरिक्ष	ADV	N;NOM;MASC;SG;3
platz	समष्टि	platz	समष्टि	ADV	
platz	जगह	platz	जगह	ADV	N;NOM;FEM;SG;3
platz	स्पेस	platz	स्पेस	ADV	N;NOM;MASC;SG;3
ihrer	उनकी	ihr	वह	DET;NOM;MASC;SG	PRO;FEM;SG;3;FORM
ihrer	इनकी	ihr	यह	DET;NOM;MASC;SG	PRO;FEM;PL;3
ihrer	उनका	ihr	वह	DET;NOM;MASC;SG	PRO;MASC;SG;3;FORM
ihrer	उनके	ihr	वह	DET;NOM;MASC;SG	PRO;MASC;SG;3;FORM
ihrer	आपकी	ihr	आप	DET;NOM;MASC;SG	PRO;FEM;SG;2;FORM
ihrer	आपके	ihr	आप	DET;NOM;MASC;SG	PRO;MASC;SG;2;FORM
ihrer	आपका	ihr	आप	DET;NOM;MASC;SG	PRO;MASC;SG;2;FORM
ihrer	अपने	ihr	अपना	DET;NOM;MASC;SG	PRO;NOM;MASC
