から	from	から	from	CONJ	
出演	görünüm	出演	görün	V	N;NOM;SG;3
出演	alçı	出演	alçı	V	
出演	döküm	出演	dök	V	
出演	atın	出演	at	V	
明治	meiji	明治	meiji	N	
時間	saatlerce	時間	saatlerce	N	ADV
時間	saat	時間	saat	N	
時間	vakit	時間	vakit	N	
時間	time	時間	tim	N	
開始	başla	開始	başla	V	
開始	başla	開始	başla	V	
開始	başlangıç	開始	başlangıç	V	
開始	başlat	開始	başlat	V	
シリーズ	serisi	シリーズ	seri	N	PROPN;NOM;SG;3
シリーズ	seri	シリーズ	seri	N	
のみ	yalnızca	のみ	yalnızca	ADP	ADV
のみ	sadece	のみ	sadece	ADP	ADV
記事	yazı	記事	yazı	N	
記事	hikâye	記事	hiku	N	
記事	öykü	記事	öykü	N	
記事	masal	記事	masal	N	
活動	faaliyetler	活動	faaliyet	V	N;NOM;PL;3
活動	etkinlikler	活動	etkinlik	V	N;NOM;PL;3
活動	faaliyetleri	活動	faaliyet	V	N;NOM;PL;3
活動	aktiviteler	活動	aktivite	V	N;NOM;PL;3
しかし	fakat	しかし	fakat	CONJ	
会話	muhabbet	会話	muhabbet	V	N;NOM;SG;3
会話	sohbet	会話	sohbet	V	N;NOM;SG;3
会話	sohbetler	会話	sohbet	V	N;NOM;PL;3
大阪	osaka	大阪	osaka	PROPN	PROPN;NOM;SG;3
大会	kongre	大会	kongre	N	
チーム	team	チーム	team	N	
チーム	ekip	チーム	ekip	N	
チーム	takım	チーム	takım	N	
存在	varoluş	存在	varoluş	V	
優勝	kazanma	優勝	kazan	V	
所属	ait	所属	ait	V	
国際	yurtdışı	国際	yurtdışı	N	
国際	uluslararası	国際	uluslararası	N	
一部	bazı	一部	bazı	N	DET
一部	bazıları	一部	bazı	N	
一部	bazılarını	一部	bazı	N	PRO;ACC;PL;3
一部	kimisi	一部	kimi	N	
結果	sonuç	結果	sonuç	N	
結果	sonuç	結果	sonuç	N	
アルバム	albüm	アルバム	albüm	N	
アルバム	albüm	アルバム	albüm	N	
バス	otobüsle	バス	otobüsle	PROPN	N;INS;SG;3
バス	otobüs	バス	otobüs	PROPN	N;NOM;SG;3
バス	levrek	バス	levrek	PROPN	N;NOM;SG;3
バス	bas	バス	bas	PROPN	
バス	bass	バス	bass	PROPN	
バス	otobüsler	バス	otobüs	PROPN	N;NOM;PL;3
バス	otobüs	バス	otobüs	PROPN	N;NOM;SG;3
ゲーム	oyun	ゲーム	oyun	N	
ゲーム	oyun	ゲーム	oyun	N	
ゲーム	oyun	ゲーム	oyun	N	
問題	sorun	問題	sorun	N	
問題	mesele	問題	mesele	N	
問題	problem	問題	problem	N	
問題	sorun	問題	sorun	N	
リーグ	league	リーグ	league	N	
リーグ	birlik	リーグ	birlik	N	
リーグ	lig	リーグ	lig	N	
リーグ	ligi	リーグ	ligi	N	
リーグ	fersah	リーグ	fersah	N	
開発	kalkınma	開発	kalkın	V	
開発	gelişme	開発	geliş	V	
開発	gelişim	開発	geliş	V	
事業	business	事業	business	N	
事業	işletme	事業	işle	N	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
事業	ticaret	事業	ticaret	N	
決定	karar	決定	karar	V	N;NOM;SG;3
決定	kararı	決定	karar	V	N;NOM;SG;3
決定	kararları	決定	karar	V	N;ACC;PL;3
決定	karar	決定	karar	V	N;NOM;SG;3
決定	kararlar	決定	karar	V	N;NOM;PL;3
音楽	music	音楽	music	N	
音楽	müzik	音楽	müzik	N	
転送	ileri	転送	ileri	V	
転送	öne	転送	ön	V	
転送	ileriye	転送	ileri	V	ADJ;DAT;SG;3
転送	aktarım	転送	aktarım	V	
転送	transfer	転送	transfer	V	
転送	havale	転送	havale	V	N;NOM;SG;3
転送	transfer	転送	transfer	V	
情報	bilgilendirme	情報	bilgilen	N	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
公式	mama	公式	mama	ADJ	
公式	formula	公式	formula	ADJ	
公式	formül	公式	formül	ADJ	
公式	resmî	公式	resmî	ADJ	
公式	official	公式	official	ADJ	N;NOM;SG;3
公式	resmi	公式	resmi	ADJ	
参加	katıl	参加	katıl	V	
参加	katılım	参加	katılım	V	
参加	katılımı	参加	katılım	V	N;ACC;SG;3
地域	bölge	地域	bölge	N	
変更	değişiklikler	変更	değişiklik	V	N;NOM;PL;3
変更	değişimler	変更	değişim	V	N;NOM;PL;3
変更	değişiklik	変更	değişiklik	V	N;NOM;SG;3
変更	değişiklikleri	変更	değişiklik	V	N;ACC;PL;3
変更	modifiye	変更	modif	V	N;DAT;SG;3
変更	düzenle	変更	düzen	V	N;INS;SG;3
変更	değiştir	変更	değiş	V	
変更	değişim	変更	değişim	V	
変更	değiştir	変更	değiş	V	
変更	değişiklik	変更	değişiklik	V	N;NOM;SG;3
編曲	aranjör	編曲	ara	N	
編曲	ayarlandı	編曲	ayarla	N	V;PFV;IND;SG;3;POS;PST;PASS
編曲	ayarladı	編曲	ayarla	N	V;PFV;IND;SG;3;POS;PST
編曲	ayarlama	編曲	ayarlam	N	
編曲	düzenleme	編曲	düzenle	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
編曲	anlaşma	編曲	anlaşma	N	
記録	kaydı	記録	kay	V	
記録	kayıt	記録	kayıt	V	
記録	plak	記録	plak	V	
記録	rekor	記録	rekor	V	
記録	kayıt	記録	kayıt	V	
関係	akraba	関係	akraba	N	
クラブ	klüp	クラブ	klüp	N	
クラブ	club	クラブ	club	N	
クラブ	kulüp	クラブ	kul	N	
中央	chūō	中央	chūō	N	
中央	merkez	中央	merkez	N	
中央	merkez	中央	merkez	N	
中央	orta	中央	orta	N	
中央	merkez	中央	merkez	N	
中央	orta	中央	orta	N	
中央	centre	中央	centre	N	PROPN;NOM;SG;3
同じ	aynen	同じ	aynen	ADJ	
同じ	ayni	同じ	ayni	ADJ	
同じ	aynısı	同じ	aynı	ADJ	N;NOM;SG;3
設立	yerleşik	設立	yerleşik	V	
考え	düşünme	考える	düşün	V	
考え	düşünce	考える	düşünce	V	
考え	düşünceler	考える	düşünce	V	N;NOM;PL;3
考え	düşünceleriniz	考える	düşünce	V	N;NOM;PL;3
考え	düşünce	考える	düşünce	V	
プロ	pro	プロ	pro	N	
プロ	profesyonel	プロ	profesyonel	N	
設置	kurulum	設置	kurulum	V	N;NOM;SG;3
設置	montaj	設置	montaj	V	
発表	duyuru	発表	duyur	V	N;NOM;SG;3
発表	anons	発表	anons	V	
発表	duyuru	発表	duyur	V	N;NOM;SG;3
発表	duyurular	発表	duyuru	V	N;NOM;PL;3
小学校	ilkokul	小学校	ilkokul	N	
編集	edit	編集	edit	V	
編集	düzenle	編集	düzen	V	N;INS;SG;3
編集	montaj	編集	montaj	V	
編集	kurgu	編集	kurgu	V	
編集	modifiye	編集	modif	V	N;DAT;SG;3
編集	düzenle	編集	düzen	V	N;INS;SG;3
編集	değiştir	編集	değiş	V	
シーズン	mevsim	シーズン	mevsim	N	
シーズン	sezon	シーズン	sezon	N	
シーズン	seasons	シーズン	seasons	N	
シーズン	mevsim	シーズン	mevsim	N	
ファイル	dosya	ファイル	dosya	N	
ファイル	dosya	ファイル	dosya	N	
フランス	fransa	フランス	fra	PROPN	PROPN;NOM;SG;3
フランス	france	フランス	france	PROPN	PROPN;NOM;SG;3
都市	sehir	都市	sehir	N	
都市	city	都市	city	N	PROPN;NOM;SG;3
都市	şehir	都市	şehir	N	
出版	yayıncı	出版	yayıncı	V	
出版	yayıncılık	出版	yayıncılık	V	N;NOM;SG;3
出版	yayın	出版	yayın	V	
出版	yayıncılık	出版	yayıncılık	V	N;NOM;SG;3
出版	yayın	出版	yayın	V	
会社	şirket	会社	şirket	N	
会社	bölük	会社	bölük	N	
世紀	yüzyıllarca	世紀	yüzyıllarca	N	ADV
世紀	yüzyıl	世紀	yüzyıl	N	
世紀	asır	世紀	asır	N	
ノート	not	ノート	not	N	
ノート	nota	ノート	nota	N	
ノート	not	ノート	not	N	
ノート	defter	ノート	defter	N	
ノート	dizüstü	ノート	dizüstü	N	
京都	kyoto	京都	kyoto	PROPN	PROPN;NOM;SG;3
社会	topluluk	社会	topluluk	N	
社会	toplum	社会	toplum	N	
ドイツ	almanya	ドイツ	al	PROPN	PROPN;NOM;SG;3
シングル	tekli	シングル	tekli	N	
シングル	single	シングル	sing	N	
シングル	tek	シングル	tek	N	
シングル	bekar	シングル	bekar	N	
センター	merkez	センター	merkez	N	
センター	orta	センター	orta	N	
センター	merkez	センター	merkez	N	
センター	orta	センター	orta	N	
センター	centre	センター	centre	N	PROPN;NOM;SG;3
終了	istifa	終了	istifa	V	
終了	bitiş	終了	bitiş	V	
終了	son	終了	son	V	
終了	sonu	終了	son	V	
終了	bitiş	終了	bitiş	V	
終了	çık	終了	çık	V	
終了	çıkışı	終了	çıkış	V	N;ACC;SG;3
終了	çıkış	終了	çıkış	V	
中心	merkez	中心	merkez	N	
中心	orta	中心	orta	N	
中心	merkez	中心	merkez	N	
中心	orta	中心	orta	N	
中心	centre	中心	centre	N	PROPN;NOM;SG;3
内容	içerik	内容	içerik	N	
内容	içindekiler	内容	içindeki	N	ADJ;NOM;PL;3
内容	içerik	内容	içerik	N	
文化	kültürü	文化	kültür	N	
文化	kültür	文化	kültür	N	
イギリス	ingiltere	イギリス	ingiltere	PROPN	PROPN;NOM;SG;3
ドラマ	drama	ドラマ	dra	N	
ドラマ	dram	ドラマ	dram	N	
さらに	devamı	さらに	devam	ADV	
中国	çin	中国	çin	PROPN	
撮影	sinematografi	撮影	sinematografi	V	N;NOM;SG;3
撮影	fotoğrafçılık	撮影	fotoğrafçılık	V	N;NOM;SG;3
撮影	fotoğraf	撮影	fotoğraf	V	
撮影	çekim	撮影	çekim	V	
野球	beysbol	野球	beysbol	N	
野球	beyzbol	野球	beyzbol	N	
位置	konum	位置	konum	V	N;NOM;SG;3
位置	mevki	位置	mevki	V	
位置	pozisyon	位置	pozisyon	V	
以下	aşağıda	以下	aşağı	N	ADJ;ESS;SG;3
以下	aşağı	以下	aşağ	N	
以下	aşağıya	以下	aşağı	N	ADJ;DAT;SG;3
以下	aşağıdan	以下	aşağı	N	ADJ;AT+ABL;SG;3
マン	mann	マン	mann	N	
卒業	mezun	卒業	mezun	V	
卒業	mezun	卒業	mezun	V	
卒業	mezuniyet	卒業	mezuniyet	V	
人物	şahıs	人物	şahıs	N	
人物	kisi	人物	kisi	N	
文庫	bunko	文庫	bunko	N	
公開	kamu	公開	kamu	V	N;NOM;SG;3
公開	halk	公開	halk	V	
公開	yayınla	公開	yayın	V	
北海道	hokkaido	北海道	hokkaido	PROPN	PROPN;NOM;SG;3
最終	sonuncusu	最終	sonuncu	N	NUM;NOM;SG;3
最終	last	最終	last	N	
最終	sonuncu	最終	sonuncu	N	
最終	son	最終	son	N	
最終	final	最終	final	N	
アニメ	anime	アニメ	anim	N	
確認	onay	確認	onay	V	
確認	doğrulama	確認	doğrulama	V	
確認	onayla	確認	ona	V	
確認	doğrula	確認	doğrula	V	
一般	genel	一般	genel	N	ADJ
一般	general	一般	general	N	
歴史	tarihi	歴史	tarih	N	
歴史	geçmiş	歴史	geç	N	
選挙	seçim	選挙	seçim	N	
選挙	seçim	選挙	seçim	N	
計画	planlı	計画	planlı	N	
計画	planlanan	計画	planla	N	V;PFV;IND;POS;PRS;V.PTCP;PASS
計画	planlanmış	計画	planla	N	V;PFV;NFH;IND;SG;3;POS;PST;PASS
計画	planlandı	計画	planla	N	V;PFV;IND;SG;3;POS;PST;PASS
計画	planlama	計画	planla	N	
計画	planlamak	計画	planla	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
計画	plân	計画	pl	N	
計画	planla	計画	plan	N	
計画	plan	計画	plan	N	
計画	plan	計画	plan	N	
経済	ekonomik	経済	ekonomik	N	ADJ
経済	ekonomi	経済	ekonomi	N	
ページ	sayfa	ページ	sayf	N	
教授	profesör	教授	profesör	N	
ラジオ	radio	ラジオ	radio	N	
ラジオ	radyo	ラジオ	radyo	N	
ラジオ	telsiz	ラジオ	telsiz	N	ADJ
グループ	gurup	グループ	gur	N	
グループ	grup	グループ	grup	N	
グループ	grubu	グループ	grup	N	
英語	ingiliz	英語	ingiliz	N	
英語	türkçe	英語	türkçe	N	
英語	turkish	英語	turkish	N	
英語	ingilizce	英語	ingilizce	N	
女性	kadin	女性	kadin	N	
女性	kadın	女性	kadın	N	
女性	kadın	女性	kadın	N	
女性	dişi	女性	dişi	N	
女性	kadınları	女性	kadın	N	ADJ;ACC;PL;3
女性	kadın	女性	kadın	N	
女性	kadinlar	女性	kadin	N	ADJ;NOM;PL;3
女性	kadınlar	女性	kadın	N	ADJ;NOM;PL;3
地区	bölge	地区	bölge	N	
地区	bahşı	地区	bahşı	N	
地区	ilçe	地区	ilçe	N	
獲得	kazan	獲得	kazan	V	
得点	puan	得点	pu	N	
得点	skor	得点	skor	N	
得点	sayı	得点	say	N	
コメント	yorum	コメント	yorum	N	
コメント	yorum	コメント	yorum	N	
漫画	karikatür	漫画	karikat	N	
漫画	manga	漫画	manga	N	
他の	diger	他の	diger	ADJ	
他の	diğerleri	他の	diğer	ADJ	N;ACC;PL;3
他の	diğerlerini	他の	diğer	ADJ	N;ACC;PL;3
自身	kendisi	自身	kendi	N	PRO;NOM;SG;3;REFL
就任	varsayım	就任	varsayım	V	
販売	satış	販売	satış	V	
販売	satışlar	販売	satış	V	N;NOM;PL;3
攻撃	saldırıları	攻撃	saldırı	V	N;ACC;PL;3
攻撃	saldırılar	攻撃	sal	V	N;NOM;PL;3
攻撃	saldırı	攻撃	saldırı	V	
攻撃	saldırı	攻撃	saldırı	V	
攻撃	saldır	攻撃	saldır	V	
サッカー	futbol	サッカー	futbol	N	
リー	lee	リー	None	N	
議員	senator	議員	senator	N	PROPN;NOM;SG;3
議員	senatör	議員	senatör	N	
協会	dernek	協会	dernek	N	
フジ	fuji	フジ	fuji	PROPN	PROPN;NOM;SG;3
自分	kendime	自分	kendi	N	PRO;DAT;SG;1;REFL
自分	kendimi	自分	kendi	N	PRO;ACC;SG;1;REFL
自分	kendim	自分	kendi	N	PRO;NOM;SG;1;REFL
戦争	war	戦争	war	N	
戦争	savas	戦争	savas	N	
製作	imalat	製作	imalat	V	
製作	yapım	製作	yapım	V	
製作	üretim	製作	üretim	V	
製作	prodüksiyon	製作	prodüksiyon	V	
部分	kısım	部分	kısım	N	
部分	bölüm	部分	bölüm	N	
部分	part	部分	part	N	
部分	kısmen	部分	kısmen	N	
高校	lise	高校	lise	N	
番号	rakam	番号	rakam	N	
番号	numara	番号	numar	N	
番号	sayı	番号	say	N	
最初	önce	最初	önce	N	
最初	ilk	最初	ilk	N	
最初	once	最初	once	N	
受賞	ödüller	受賞	ödül	V	N;NOM;PL;3
受賞	ödül	受賞	ödül	V	
受賞	ödülleri	受賞	ödül	V	N;NOM;PL;3
受賞	ödül	受賞	ödül	V	
受賞	ödülü	受賞	ödül	V	N;ACC;SG;3
期間	adet	期間	adet	N	
期間	nokta	期間	nokta	N	
期間	dönem	期間	dön	N	
広島	hiroşima	広島	hiroşima	PROPN	PROPN;NOM;SG;3
技術	teknoloji	技術	teknoloji	N	
海軍	donanma	海軍	donan	N	
リンク	bağ	リンク	bağ	V	
リンク	link	リンク	link	V	
リンク	bağlantı	リンク	bağlantı	V	
リンク	bağlantılar	リンク	bağlantı	V	N;NOM;PL;3
リンク	bağlar	リンク	bağla	V	
リンク	bağlantıları	リンク	bağlantı	V	N;NOM;PL;3
合併	birleşme	合併	birleşme	V	
合併	birleşme	合併	birleşme	V	
道路	yol	道路	yol	N	
特定	belirtilen	特定	belir		V;PFV;IND;POS;PRS;V.PTCP;PASS
特定	belirtilmiş	特定	belir		V;PFV;NFH;IND;SG;3;POS;PST;PASS
特定	belirtildi	特定	belir		V;PFV;IND;SG;3;POS;PST;PASS
朝日	asahi	朝日	asahi	PROPN	PROPN;NOM;SG;3
意味	anlam	意味	anlam	V	
意味	anlamı	意味	anlam	V	N;ACC;SG;3
意味	anlami	意味	anlami	V	
意味	anlamı	意味	anlam	V	N;ACC;SG;3
意味	anlamları	意味	anlam	V	N;ACC;PL;3
モデル	manken	モデル	manken	N	
モデル	model	モデル	model	N	
対応	yazışmaları	対応	yazış	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
列車	tren	列車	tren	N	
列車	tren	列車	tren	N	
建設	inşaat	建設	inşaat	V	
最後	sonuncusu	最後	sonuncu	N	NUM;NOM;SG;3
最後	last	最後	last	N	
最後	sonuncu	最後	sonuncu	N	
最後	son	最後	son	N	
科学	fen	科学	fen	N	
科学	bilimsel	科学	bilimsel	N	ADJ
理由	sebep	理由	sebep	N	
理由	sebebi	理由	sebep	N	
一	biri	一	biri	NUM	PRO;NOM;SG;3
一	bir	一	bir	NUM	
大正	taishō	大正	taishō	N	
最高	best	最高	best	N	
ブロック	engeller	ブロック	engel	N	
ブロック	blok	ブロック	blok	N	
ブロック	engelle	ブロック	engel	N	
ブロック	blok	ブロック	blok	N	
ブロック	block	ブロック	block	N	
ブロック	engelleme	ブロック	engelle	N	
車両	araç	車両	araç	N	
自動車	araba	自動車	araba	N	
自動車	araç	自動車	araç	N	
人口	nüfus	人口	nüfus	N	
人口	nüfus	人口	nüfus	N	
特に	özellikle	特に	özellikle	ADV	
特に	bilhassa	特に	bilhassa	ADV	
特に	özellikle	特に	özellikle	ADV	
特に	özelliklede	特に	özellikle	ADV	N;ESS;SG;3
特に	bilhassa	特に	bilhassa	ADV	
営業	business	営業	business	N	
営業	işletme	営業	işle	N	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
営業	ticaret	営業	ticaret	N	
新聞	gazete	新聞	gazet	N	
新聞	gazete	新聞	gazet	N	
連続	devamlılık	連続	devamlılık	ADJ	N;NOM;SG;3
連続	devamlı	連続	devamlı	ADJ	
連続	sürekli	連続	sürekli	ADJ	ADV
政府	hükümet	政府	hükümet	N	
構成	kompozisyon	構成	kompozisyon	V	N;NOM;SG;3
構成	yapısı	構成	yapı	V	N;NOM;SG;3
構成	yapı	構成	yapı	V	
最大	maksimum	最大	maksi	N	
最大	azami	最大	azami	N	
キャラクター	karakter	キャラクター	karak	N	
キャラクター	karakter	キャラクター	karak	N	
小説	roman	小説	roman	N	
それぞれ	herbiri	それぞれ	herbiri	ADV	PRO;NOM;SG;3
機関	enstitü	機関	enstit	N	
機関	kuruluş	機関	kuruluş	N	
機関	kurum	機関	kurum	N	
参照	referans	参照	referans	V	
参照	gönderme	参照	gönder	V	
参照	referans	参照	referans	V	
メンバー	üye	メンバー	üye	N	
メンバー	üye	メンバー	üye	N	
発行	sorun	発行	sorun	N	
発行	mesele	発行	mesele	N	
画像	görseller	画像	görsel	N	V;PFV;PL;3;POS;PRS
画像	fotoğraf	画像	fotoğraf	N	
画像	resim	画像	resim	N	
画像	resmi	画像	resmi	N	
画像	görsel	画像	görsel	N	
画像	resim	画像	resim	N	
画像	imaj	画像	imaj	N	
画像	resimli	画像	resimli	N	
状態	state	状態	state	N	
状態	eyalet	状態	eyalet	N	
状態	condition	状態	condition	N	
状態	şart	状態	şart	N	
状態	koşul	状態	koşul	N	
名称	adın	名称	ad	N	
ダム	dam	ダム	dam	N	
ダム	baraj	ダム	baraj	N	
ホーム	yuva	ホーム	yuva	N	
運行	ameliyat	運行	ameliyat	V	N;NOM;SG;3
運行	işlem	運行	işlem	V	
運行	operasyonu	運行	operasyon	V	N;ACC;SG;3
運行	operasyon	運行	operasyon	V	
投稿	post	投稿	post	V	
投稿	gönderi	投稿	gönder	V	N;NOM;SG;3
投稿	gönderiler	投稿	gönder	V	N;NOM;PL;3
投稿	gönderi	投稿	gönder	V	N;NOM;SG;3
投稿	paylaşım	投稿	paylaşım	V	N;NOM;SG;3
投稿	paylaşımda	投稿	paylaşım	V	N;ESS;SG;3
名前	adın	名前	ad	N	
福岡	fukuoka	福岡	fukuoka	PROPN	PROPN;NOM;SG;3
施設	tesis	施設	tesis	N	
施設	enstitü	施設	enstit	N	
施設	kuruluş	施設	kuruluş	N	
施設	kurum	施設	kurum	N	
施設	tesis	施設	tesis	N	
調査	anketler	調査	anket	V	N;NOM;PL;3
調査	anketleri	調査	anket	V	N;NOM;PL;3
調査	anket	調査	anket	V	N;NOM;SG;3
調査	soruşturma	調査	soruşturma	V	
調査	anket	調査	anket	V	N;NOM;SG;3
調査	anketi	調査	anket	V	N;ACC;SG;3
調査	ankete	調査	anket	V	N;NOM;SG;3
製造	imal	製造	imal	V	
イタリア	italya	イタリア	italya	PROPN	PROPN;NOM;SG;3
ロシア	rus	ロシア	rus	PROPN	
ロシア	rusça	ロシア	rusça	PROPN	PROPN;NOM;SG;3
ロシア	rusya	ロシア	rusya	PROPN	PROPN;NOM;SG;3
独立	bağımsız	独立	bağımsız	ADJ	
独立	bağımsızlığı	独立	bağımsızlık	ADJ	N;ACC;SG;3
独立	bağımsızlık	独立	bağımsızlık	ADJ	N;NOM;SG;3
物語	monogatari	物語	monogatari	N	
物語	hikâye	物語	hiku	N	
物語	öykü	物語	öykü	N	
物語	masal	物語	masal	N	
物語	anlatım	物語	anlatım	N	
物語	öykü	物語	öykü	N	
神社	jinja	神社	jinja	N	PROPN;NOM;SG;3
企画	planlama	企画	planla	N	
企画	planlamak	企画	planla	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
サン	san	サン	san	N	
名古屋	nagoya	名古屋	nago	PROPN	PROPN;NOM;SG;3
通常	normalde	通常	normalde	N	
通常	genellikle	通常	genellikle	N	
通常	genelde	通常	genelde	N	
企業	girişim	企業	giriş	N	
企業	kurumsal	企業	kurumsal	N	ADJ
企業	atılgan	企業	atılgan	N	
企業	enterprise	企業	enterpri	N	PROPN;NOM;SG;3
航空	hava	航空	hava	N	
スーパー	super	スーパー	super	N	
スーパー	süper	スーパー	süper	N	
帝国	empire	帝国	empir	N	
トン	ton	トン	ton	N	
トン	tonlarca	トン	tonlarca	N	ADV
トン	ton	トン	ton	N	
トン	ton	トン	ton	N	
影響	etki	影響	etki	V	
影響	nüfuz	影響	nüfuz	V	
影響	etkisi	影響	etki	V	N;NOM;SG;3
影響	etkiler	影響	etkile	V	
勝利	zaferler	勝利	zafer	V	N;NOM;PL;3
勝利	kazanın	勝利	kaza	V	N;GEN;SG;3
勝利	galibiyet	勝利	galibiyet	V	N;NOM;SG;3
勝利	kazan	勝利	kazan	V	
勝利	galibiyet	勝利	galibiyet	V	N;NOM;SG;3
勝利	zafer	勝利	zafer	V	
勝利	kazanma	勝利	kazan	V	
デザイン	tasarım	デザイン	tas	N	
デザイン	tasarım	デザイン	tas	N	
全て	herşey	全て	herşey	ADV	
全て	herşeyi	全て	herşey	ADV	N;ACC;SG;3
全て	hersey	全て	hersey	ADV	
本社	merkez	本社	merkez	N	
本社	karargah	本社	karargah	N	
人間	insani	人間	insani	N	
千葉	chiba	千葉	chiba	PROPN	PROPN;NOM;SG;3
アン	ang	アン	ang	PROPN	
アン	ann	アン	ann	PROPN	
交通	ulaştırma	交通	ulaş	N	V;PFV;IMP;SG;2;NEG;PRS;CAUS
交通	taşıma	交通	taşı	N	
交通	taşıt	交通	taşıt	N	
交通	ulaştırma	交通	ulaş	N	V;PFV;IMP;SG;2;NEG;PRS;CAUS
交通	taşıma	交通	taşı	N	
交通	nakliye	交通	nakil	N	
組織	kuruluş	組織	kuruluş	N	
組織	örgüt	組織	örgüt	N	
組織	örgütü	組織	örgüt	N	
組織	kuruluş	組織	kuruluş	N	
組織	örgüt	組織	örgüt	N	
構造	yapı	構造	yapı	N	
戦い	savaş	戦う	savaş	V	N;NOM;SG;3
戦い	muharebe	戦う	muharebe	V	N;NOM;SG;3
戦い	savas	戦う	savas	V	
実施	uygulama	実施	uygulama	V	
ここ	burada	ここ	bura	PRO	N;ESS;SG;3
ここ	burda	ここ	bura	PRO	N;ESS;SG;3
以前	önceki	以前	önceki	N	
以前	önceden	以前	önceden	N	ADV
以前	önce	以前	önce	N	
サービス	servis	サービス	servis	N	
統合	entegre	統合	entegre	V	
統合	birleştir	統合	birleş	V	
統合	entegrasyon	統合	entegrasyon	V	N;NOM;SG;3
統合	entegrasyonu	統合	entegrasyon	V	N;ACC;SG;3
テーマ	temalar	テーマ	tema	N	
テーマ	tema	テーマ	tema	N	
面積	bölge	面積	bölge	N	
面積	alan	面積	al	N	V;PFV;IND;POS;PRS;V.PTCP
エンジン	motor	エンジン	motor	N	
主演	başrol	主演	başrol	N	
ビル	fatura	ビル	fatura	N	
ビル	bill	ビル	bill	N	
日本語	japon	日本語	japon	N	
日本語	japonca	日本語	japonca	N	PROPN;NOM;SG;3
契約	sözleşmeleri	契約	sözleşme	V	N;ACC;PL;3
契約	sözleşme	契約	sözleşme	V	
契約	sözleşmesi	契約	sözleşme	V	N;NOM;SG;3
契約	kontrat	契約	kontrat	V	
設定	tercihler	設定	tercih	V	N;NOM;PL;3
設定	tercihleri	設定	tercih	V	N;ACC;PL;3
設定	ayarlar	設定	ayar	V	N;NOM;PL;3
設定	ayarları	設定	ayar	V	N;ACC;PL;3
設定	kurulum	設定	kurulum	V	N;NOM;SG;3
設定	tuzak	設定	tuzak	V	
設定	kurulumu	設定	kur	V	N;ACC;SG;3
設定	ayarlama	設定	ayarlam	V	
ライブ	live	ライブ	live	N	
