oli	бе	olema	съм	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
euroopa	европа	euroopa	европа	N;NOM;SG	PROPN;INDF;FEM;SG
euroopa	европейско	euroopa	европейски	N;NOM;SG	ADV
euroopa	европейски	euroopa	европейски	N;NOM;SG	ADJ;INDF;MASC;SG
euroopa	европейска	euroopa	европейски	N;NOM;SG	ADJ;INDF;FEM;SG
ameerika	американско	ameerika	американски	ADJ	ADV
ameerika	американец	ameerika	американец	ADJ	N;INDF;MASC;SG
ameerika	америка	ameerika	америка	ADJ	PROPN;INDF;FEM;SG
asub	разположена	asuma	разположа-(се)	V;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
asub	разположен	asuma	разположа-(се)	V;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
asub	разположени	asuma	разположа-(се)	V;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
asub	разположено	asuma	разположа-(се)	V;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ole	оле	olema	оле	V;IMP;SG;2;PRS;FIN;ACT	INTJ
venemaa	русия	vene_maa	русия	N;NOM;SG	PROPN;INDF;FEM;SG
esimene	първо	esimene	първо	ADJ;NOM;SG	ADV
nagu	like	nagu	like	CONJ	PROPN;INDF;MASC;SG
kaks	двама	kaks	двама	NUM;NOM;SG	NUM;INDF;PL
kaks	две	kaks	два	NUM;NOM;SG	NUM;INDF;FEM;PL
rootsi	швеция	rootsi	швеция	ADJ	PROPN;INDF;FEM;SG
saab	сааб	saama	сааб	V;IND;SG;3;PRS;FIN;ACT	PROPN;INDF;MASC;SG
saab	могат	saama	мога	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
saab	can	saama	can	V;IND;SG;3;PRS;FIN;ACT	PROPN;INDF;MASC;SG
umbes	относно	umbes	относно	ADV	ADP
vahel	между	vahel	между	ADV	ADP
linn	city	linn	city	N;NOM;SG	PROPN;INDF;MASC;SG
need	тези	see	този	PRO;NOM;PL	DET;PL
need	тези	see	този	PRO;NOM;PL	DET;PL
linna	city	linn	city	N;IN+ALL;LGSPEC1;SG	PROPN;INDF;MASC;SG
soome	финландия	soome	финландия	ADJ	PROPN;INDF;FEM;SG
all	под	all	под	ADV	ADP
nsv	съветска	nsv	съветски	PROPN	ADJ;INDF;FEM;SG
nsv	съветски	nsv	съветски	PROPN	ADJ;INDF;MASC;SG
nsv	ssr	nsv	ssr	PROPN	N;INDF;MASC;SG
neid	тези	see	този	PRO;PRT;PL	DET;PL
neid	ги	see	аз	PRO;PRT;PL	PRO;ACC;PL;3
neid	тях	see	аз	PRO;PRT;PL	PRO;ACC;PL;3
kõik	всички	kõik	всеки	PRO;NOM;SG	PRO;NOM;PL
kõik	всички	kõik	всеки	PRO;NOM;SG	PRO;NOM;PL
poliitik	политици	poliitik	политик	N;NOM;SG	N;INDF;MASC;PL
sest	защото	sest	защото	CONJ	ADV
pilt	screenshot	pilt	screenshot	N;NOM;SG	PROPN;INDF;MASC;SG
nõukogude	съветска	nõu_kogu	съветски	N;GEN;PL	ADJ;INDF;FEM;SG
nõukogude	съветски	nõu_kogu	съветски	N;GEN;PL	ADJ;INDF;MASC;SG
kuna	защото	kuna	защото	CONJ	ADV
põhja	северно	põhi	северно	N;IN+ALL;LGSPEC1;SG	ADV
põhja	северна	põhi	северен	N;IN+ALL;LGSPEC1;SG	ADJ;INDF;FEM;SG
põhja	северни	põhi	северен	N;IN+ALL;LGSPEC1;SG	ADJ;INDF;PL
põhja	северна	põhi	северен	N;IN+ALL;LGSPEC1;SG	ADJ;INDF;FEM;SG
läbi	чрез	läbi	чрез	ADV	ADP
läbi	през	läbi	през	ADV	ADP
mitte	не	mitte	не	ADV;NEG	INTJ;NEG
tänav	street	tänav	street	N;NOM;SG	PROPN;INDF;MASC;SG
sajandi	вековен	sajand	вековен	N;GEN;SG	ADJ;INDF;MASC;SG
kokku	общ	kokku	общ	ADV	ADJ;INDF;MASC;SG
kokku	обща	kokku	общ	ADV	ADJ;INDF;FEM;SG
alla	алла	alla	алла	ADV	PROPN;INDF;FEM;SG
prantsuse	френско	prantsuse	френски	ADJ	ADV
prantsuse	французи	prantsuse	француга	ADJ	N;INDF;MASC;PL
prantsuse	французин	prantsuse	французин	ADJ	N;INDF;MASC;SG
tagasi	гръб	tagasi	гръб	ADV	N;INDF;MASC;SG
enne	знамение	enne	знамение	ADV	N;INDF;NEUT;SG
enne	поличба	enne	поличба	ADV	N;INDF;FEM;SG
enne	преди	enne	преди	ADV	ADP
lääne	западно	lääs	западно	N;NOM;SG	ADV
lääne	западна	lääs	западна	N;NOM;SG	ADJ;INDF;FEM;SG
lääne	западен	lääs	западя-(се)	N;NOM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
lääne	уест	lääs	уест	N;NOM;SG	PROPN;INDF;MASC;SG
lääne	западна	lääs	западна	N;NOM;SG	ADJ;INDF;FEM;SG
lääne	западни	lääs	западен	N;NOM;SG	ADJ;INDF;PL
lääne	западен	lääs	западя-(се)	N;NOM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
lääne	западните	lääs	западен	N;NOM;SG	ADJ;DEF;PL
mai	май	mai	май	N;NOM;SG	PROPN;INDF;MASC;SG
mai	mai	mai	mai	N;NOM;SG	INTJ
mai	маи	mai	май	N;NOM;SG	ADV
itaalia	италия	itaalia	италия	ADJ	PROPN;INDF;FEM;SG
itaalia	италианец	itaalia	италианец	ADJ	N;INDF;MASC;SG
itaalia	италианско	itaalia	италиански	ADJ	ADV
näitleja	актриси	näitleja	актриса	N;NOM;SG	N;INDF;FEM;PL
suur	голямо	suur	голям	ADJ;NOM;SG	ADV
suur	големи	suur	голям	ADJ;NOM;SG	ADJ;INDF;PL
suur	биг	suur	биг	ADJ;NOM;SG	N;INDF;MASC;SG
suur	голямо	suur	голям	ADJ;NOM;SG	ADV
suur	големи	suur	голям	ADJ;NOM;SG	ADJ;INDF;PL
palju	mnogo	palju	mnogo	ADV	PROPN;INDF;NEUT;SG
palju	лот	palju	лот	ADV	N;INDF;MASC;SG
teda	него	tema	аз	PRO;PRT;SG;3	PRO;ACC;MASC;SG;3
teda	нея	tema	аз	PRO;PRT;SG;3	PRO;ACC;FEM;SG;3
lõuna	южни	lõuna	южен	N;NOM;SG	ADJ;INDF;PL
lõuna	южна	lõuna	южен	N;NOM;SG	ADJ;INDF;FEM;SG
lõuna	южно	lõuna	южен	N;NOM;SG	ADV
lõuna	южна	lõuna	южен	N;NOM;SG	ADJ;INDF;FEM;SG
valla	необвързан	vald	необвързан	N;NOM;SG	ADJ;INDF;MASC;SG
valla	единична	vald	единичен	N;NOM;SG	ADJ;INDF;FEM;SG
valla	необвързана	vald	побвържа	N;NOM;SG	ADJ;INDF;FEM;SG
valla	единичен	vald	единичен	N;NOM;SG	ADJ;INDF;MASC;SG
iii	ііі	iii	ііі	NUM	ADJ;INDF;MASC;SG
iii	iii	iii	iii	NUM	ADJ;INDF;MASC;SG
aprill	ейприл	aprill	ейприл	N;NOM;SG	PROPN;INDF;FEM;SG
karl	карл	karl	карл	N;NOM;SG	PROPN;INDF;MASC;SG
uus	ню	uus	ню	ADJ;NOM;SG	PROPN;INDF;MASC;SG
uus	ново	uus	нов	ADJ;NOM;SG	ADV
uus	нови	uus	нов	ADJ;NOM;SG	ADJ;INDF;PL
poola	поляк	poola	поляк	ADJ	N;INDF;MASC;SG
poola	полша	poola	полша	ADJ	PROPN;INDF;FEM;SG
saksamaa	германия	saksa_maa	германия	ADJ	PROPN;INDF;FEM;SG
rooma	рим	rooma	рим	ADJ	PROPN;INDF;MASC;SG
teine	второ	teine	втори	PRO;NOM;SG	ADV
teine	втора	teine	втори	PRO;NOM;SG	ADJ;INDF;FEM;SG
teine	втори	teine	втори	PRO;NOM;SG	ADJ;INDF;MASC;SG
teine	друг	teine	друг	PRO;NOM;SG	ADJ;INDF;MASC;SG
iga	всяка	iga	всеки	PRO;NOM;SG	DET;FEM;SG
iga	ига	iga	ига	PRO;NOM;SG	N;INDF;FEM;SG
iga	всяка	iga	всеки	PRO;NOM;SG	DET;FEM;SG
kirik	чърч	kirik	чърч	N;NOM;SG	PROPN;INDF;MASC;SG
maa	земно	maa	земно	N;NOM;SG	ADV
maa	земен	maa	земен	N;NOM;SG	ADJ;INDF;MASC;SG
maa	земи	maa	земя	N;NOM;SG	N;INDF;FEM;PL
võimalik	възможно	võimalik	възможно	ADJ;NOM;SG	ADV
võimalik	възможни	võimalik	възможен	ADJ;NOM;SG	ADJ;INDF;PL
klubi	club	klubi	club	N;NOM;SG	PROPN;INDF;MASC;SG
kuigi	макар	kuigi	макар	CONJ	ADP
kuigi	макар	kuigi	макар	CONJ	ADP
võitis	уон	võitma	уон	V;IND;SG;3;PST;FIN;ACT	N;INDF;MASC;SG
kolm	три	kolm	три	NUM;NOM;SG	NUM;INDF;PL
kolm	трима	kolm	трима	NUM;NOM;SG	NUM;INDF;PL
tuleb	очаквайте	tulema	очаквам	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IMP;PL;2;FIN
tuleb	идвам	tulema	идвам	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
tuntud	познат	tuntud	познат	ADJ;PST;V.PTCP;PASS	N;INDF;MASC;SG
tuli	дойде	tuli	дойда	N;NOM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
vana	старо	vana	стар	ADJ;NOM;SG	ADV
vana	стари	vana	стар	ADJ;NOM;SG	ADJ;INDF;PL
ida	източна	ida	източен	N;NOM;SG	ADJ;INDF;FEM;SG
ida	източно	ida	източно	N;NOM;SG	ADV
ida	източни	ida	източен	N;NOM;SG	ADJ;INDF;PL
ida	източен	ida	източа-(се)	N;NOM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ida	източно	ida	източно	N;NOM;SG	ADV
ida	ида	ida	ида	N;NOM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
oleks	би	olema	съм	V;COND;PRS;FIN;ACT	V;IPFV;COND;SG;3;PST;FIN
suure	голямо	suur	голям	ADJ;GEN;SG	ADV
suure	големи	suur	голям	ADJ;GEN;SG	ADJ;INDF;PL
suure	биг	suur	биг	ADJ;GEN;SG	N;INDF;MASC;SG
suure	голямо	suur	голям	ADJ;GEN;SG	ADV
suure	големи	suur	голям	ADJ;GEN;SG	ADJ;INDF;PL
suure	страхотно	suur	страхотно	ADJ;GEN;SG	ADV
sama	същият	sama	същ	PRO;NOM;SG	ADJ;DEF;MASC;SG
sama	същата	sama	същ	PRO;NOM;SG	ADJ;DEF;FEM;SG
sama	същото	sama	същ	PRO;NOM;SG	ADJ;DEF;NEUT;SG
järv	лейк	järv	лейк	N;NOM;SG	PROPN;INDF;MASC;SG
andis	даде	andma	дам-(се)	V;IND;SG;3;PST;FIN;ACT	V;PFV;IMP;SG;2;PST;FIN
prantsusmaa	франция	prantsus_maa	франция	N;NOM;SG	PROPN;INDF;FEM;SG
elu	life	elu	life	N;NOM;SG	PROPN;INDF;MASC;SG
läti	латвия	läti	латвия	ADJ	PROPN;INDF;FEM;SG
taani	дания	taani	дания	ADJ	PROPN;INDF;FEM;SG
poeg	синко	poeg	синко	N;NOM;SG	INTJ
poeg	сине	poeg	син	N;NOM;SG	PART
ümber	около	ümber	около	ADV	ADP
väike	малки	väike	малък	ADJ;NOM;SG	ADJ;INDF;PL
väike	малки	väike	малък	ADJ;NOM;SG	ADJ;INDF;PL
väike	литъл	väike	литъл	ADJ;NOM;SG	N;INDF;MASC;SG
väike	малко	väike	малко	ADJ;NOM;SG	ADV;INDF;PL
kuulus	прочут	kuuluma	прочут	N;NOM;SG	ADJ;INDF;MASC;SG
kuulus	известни	kuuluma	известен	N;NOM;SG	ADJ;INDF;PL
kuulus	прочута	kuuluma	прочутам-се	N;NOM;SG	ADJ;INDF;FEM;SG
kuulus	известна	kuuluma	известен	N;NOM;SG	ADJ;INDF;FEM;SG
kuulus	известен	kuuluma	известен	N;NOM;SG	ADJ;INDF;MASC;SG
osales	присъстваха	osalema	присъствам	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;3;IPFV;FIN;ACT
osales	участвали	osalema	участвам	V;IND;SG;3;PST;FIN;ACT	V;IPFV;INDF;PL;PST;V.PTCP;ACT
osales	участваха	osalema	участвам	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
norra	норвежки	nord	норвежки	ADJ	PROPN;INDF;MASC;SG
norra	норвегия	nord	норвегия	ADJ	PROPN;INDF;FEM;SG
friedrich	фридрих	friedrich	фридрих	N;NOM;SG	PROPN;INDF;MASC;SG
friedrich	фридрих	friedrich	фридрих	N;NOM;SG	PROPN;INDF;MASC;SG
endine	бивши	endine	бивш	ADJ;NOM;SG	ADJ;INDF;PL
endine	бивш	endine	бивш	ADJ;NOM;SG	N;INDF;MASC;SG
sündis	родени	sündima	родя-(се)	V;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
sündis	роден	sündima	родя-(се)	V;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sündis	родена	sündima	родя-(се)	V;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
paul	паул	paul	паул	N;NOM;SG	PROPN;INDF;MASC;SG
john	джон	john	джон	N;NOM;SG	PROPN;INDF;MASC;SG
john	йоан	john	йоан	N;NOM;SG	PROPN;INDF;MASC;SG
isbn	isbn	isbn	isbn		N;INDF;FEM;SG
hispaania	испания	hispaania	испания	ADJ	PROPN;INDF;FEM;SG
hispaania	испанци	hispaania	испанец	ADJ	N;INDF;MASC;PL
hispaania	испанско	hispaania	испански	ADJ	ADV
johannes	йоханес	johanne	йоханес	N;NOM;SG	PROPN;INDF;MASC;SG
new	ню	new	ню	N;NOM;SG	PROPN;INDF;MASC;SG
new	ново	new	нов	N;NOM;SG	ADV
new	нов	new	нов	N;NOM;SG	ADJ;INDF;MASC;SG
new	нови	new	нов	N;NOM;SG	ADJ;INDF;PL
new	нова	new	нов	N;NOM;SG	ADJ;INDF;FEM;SG
kreeka	гръцко	kreeka	гръцко	ADJ	ADV
kreeka	грък	kreeka	грък	ADJ	N;INDF;MASC;SG
kreeka	гърция	kreeka	гърция	ADJ	PROPN;INDF;FEM;SG
johann	йохан	johann	йохан	N;NOM;SG	PROPN;INDF;MASC;SG
kiriku	чърч	kirik	чърч	N;NOM;SG	PROPN;INDF;MASC;SG
briti	британско	briti	британски	ADJ	ADV
briti	британци	briti	британец	ADJ	N;INDF;MASC;PL
briti	британец	briti	британец	ADJ	N;INDF;MASC;SG
püha	свято	püha	свят	ADJ;NOM;SG	N;INDF;NEUT;SG
püha	свети	püha	свет	ADJ;NOM;SG	N;INDF;MASC;SG
püha	свята	püha	свят	ADJ;NOM;SG	N;INDF;FEM;SG
ukraina	украйна	ukraina	украйна	ADJ	PROPN;INDF;FEM;SG
der	дер	der	дер	N;NOM;SG	PROPN
mail	mail	mai	mail	N;AT+ESS
;SG	PROPN;INDF;MASC;SG
austria	austrian	austria	austrian	ADJ	PROPN;INDF;MASC;SG
austria	австрия	austria	австрия	ADJ	PROPN;INDF;FEM;SG
austria	австрийски	austria	австрийски	ADJ	PROPN;INDF;MASC;SG
austria	австрия	austria	австрия	ADJ	PROPN;INDF;FEM;SG
ega	нито	ega	нито	ADV;NEG	CONJ
poole	пул	pool	пул	NUM;NOM;SG	N;INDF;MASC;SG
poole	пуул	pool	пуул	NUM;NOM;SG	N;INDF;MASC;SG
viis	пет	viis	пет	NUM;NOM;SG	NUM;INDF;PL
aleksander	александър	aleksander	александър	N;NOM;SG	PROPN;INDF;MASC;SG
pool	полу	pool	полу	NUM;NOM;SG	ADJ;INDF;MASC;SG
pool	наполовина	pool	наполовина	NUM;NOM;SG	ADV
pool	половината	pool	половина	NUM;NOM;SG	N;DEF;FEM;SG
leedu	литва	leedu	литва	ADJ	PROPN;INDF;FEM;SG
moskva	москва	moskev	москва	ADJ	PROPN;INDF;FEM;SG
jaapani	япония	jaapani	япония	ADJ	N;INDF;FEM;SG
jaapani	японско	jaapani	японски	ADJ	ADV
jaapani	японци	jaapani	японец	ADJ	N;INDF;MASC;PL
jaapani	японец	jaapani	японец	ADJ	N;INDF;MASC;SG
seas	сред	seas	сред	ADV	ADP
ette	преден	ette	преден	ADV	ADJ;INDF;MASC;SG
ette	предни	ette	преден	ADV	ADJ;INDF;PL
ette	фронт	ette	фронт	ADV	N;INDF;MASC;SG
ette	предна	ette	преден	ADV	ADJ;INDF;FEM;SG
ette	аванс	ette	аванс	ADV	N;INDF;MASC;SG
hiina	порцелан	hiina	порцелам	ADJ	N;INDF;MASC;SG
hiina	китай	hiina	китай	ADJ	N;INDF;MASC;SG
hiina	чайна	hiina	чаен	ADJ	N;INDF;FEM;SG
hiina	кнр	hiina	кнр	ADJ	PROPN;INDF;MASC;SG
hiina	китайци	hiina	китаец	ADJ	N;INDF;MASC;PL
hiina	китайско	hiina	китайски	ADJ	ADV
hiina	китаец	hiina	китаец	ADJ	N;INDF;MASC;SG
sel	сел	see	сел	PRO;AT+ESS
;SG	PROPN;INDF;FEM;SG
ungari	унгария	ungari	унгария	ADJ	PROPN;INDF;FEM;SG
ilma	без	ilma	без	ADV	ADP
riik	държавно	riik	държавен	N;NOM;SG	ADV
seetõttu	затуй	see_tõttu	затуй	ADV	INTJ
lähedal	затваряне	lähedal	затваряне	ADV	N;INDF;NEUT;SG
lähedal	близки	lähedal	близък	ADV	ADJ;INDF;PL
isegi	дори	isegi	дори	ADV	PART
isegi	даже	isegi	даже	ADV	PART
suurbritannia	британия	suur_britannia	британие	N;NOM;SG	PROPN;INDF;FEM;SG
suurbritannia	великобритания	suur_britannia	великобритания	N;NOM;SG	PROPN;INDF;FEM;SG
sajand	вековен	sajand	вековен	N;NOM;SG	ADJ;INDF;MASC;SG
anti	анти	andma	анти	V;IND;PST;FIN;PASS	ADV
elas	живели	elama	живея	V;IND;SG;3;PST;FIN;ACT	V;IPFV;INDF;PL;IPFV;V.PTCP;ACT
jääb	останки	jääma	останка	V;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
neil	нийл	tema	нийл	PRO;AT+ESS
;PL;3	PROPN;INDF;MASC;SG
saar	саар	saar	саар	N;NOM;SG	PROPN;INDF;MASC;SG
heinrich	хайнрих	heinrich	хайнрих	N;NOM;SG	PROPN;INDF;MASC;SG
riia	рига	riia	рига	ADJ	PROPN;INDF;MASC;SG
jüri	джордж	jüri	джордж	N;NOM;SG	PROPN;INDF;MASC;SG
teised	другите	teine	друг	PRO;NOM;PL	ADJ;DEF;PL
teised	други	teine	друг	PRO;NOM;PL	ADJ;INDF;PL
teada	позната	teadma	познат	V;NFIN	ADJ;INDF;FEM;SG
teada	известни	teadma	известен	V;NFIN	ADJ;INDF;PL
teada	познат	teadma	познат	V;NFIN	N;INDF;MASC;SG
teada	известна	teadma	известен	V;NFIN	ADJ;INDF;FEM;SG
teada	известен	teadma	известен	V;NFIN	ADJ;INDF;MASC;SG
robert	роберт	robert	роберт	N;NOM;SG	PROPN;INDF;MASC;SG
robert	робер	robert	робер	N;NOM;SG	PROPN;INDF;MASC;SG
robert	робърт	robert	робърт	N;NOM;SG	PROPN;INDF;MASC;SG
ema	мамо	ema	мамо	N;NOM;SG	INTJ
ema	майко	ema	майка	N;NOM;SG	INTJ
postimees	пощальон	posti_mees	пощальон	N;NOM;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
peeter	петър	peeter	петър	N;NOM;SG	PROPN;INDF;MASC;SG
peeter	питър	peeter	питър	N;NOM;SG	PROPN;INDF;MASC;SG
peeter	петер	peeter	петер	N;NOM;SG	PROPN;INDF;MASC;SG
mitu	множествена	mitu	множествен	PRO;NOM;SG	ADJ;INDF;FEM;SG
mitu	многобройни	mitu	многоброен	PRO;NOM;SG	ADJ;INDF;PL
mitu	множество	mitu	множество	PRO;NOM;SG	N;INDF;NEUT;SG
und	сънувам	uni	сънувам	N;PRT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
liiga	лигата	liiga	лига	ADV	N;DEF;FEM;SG
liiga	лига	liiga	лига	ADV	N;INDF;FEM;SG
muusika	music	muusika	music	N;NOM;SG	PROPN;INDF;MASC;SG
viimane	последно	viimane	последно	ADJ;NOM;SG	ADV
viimane	последни	viimane	последен	ADJ;NOM;SG	ADJ;INDF;PL
meie	нашият	mina	наш	PRO;NOM;PL;1	DET;DEF;MASC;SG;1
meie	наша	mina	наш	PRO;NOM;PL;1	DET;INDF;FEM;SG;1
meie	нашия	mina	наш	PRO;NOM;PL;1	DET;DEF;MASC;SG;1
meie	нашата	mina	наш	PRO;NOM;PL;1	DET;DEF;FEM;SG;1
meie	нашите	mina	наш	PRO;NOM;PL;1	DET;DEF;PL;1
nikolai	николай	nikolai	николай	N;NOM;SG	PROPN;INDF;MASC;SG
nikolai	николас	nikolai	николас	N;NOM;SG	PROPN;INDF;MASC;SG
nikolai	никълъс	nikolai	никълъс	N;NOM;SG	PROPN;INDF;MASC;SG
nikolai	николай	nikolai	николай	N;NOM;SG	PROPN;INDF;MASC;SG
for	за	for	за	N;NOM;SG	ADP
antud	дадени	antud	дам-(се)	ADJ;PST;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
antud	дадено	antud	даден	ADJ;PST;V.PTCP;PASS	ADV
antud	предоставено	antud	предоставя	ADJ;PST;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
antud	предоставен	antud	предоставя	ADJ;PST;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
antud	предоставена	antud	предоставя	ADJ;PST;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
praegu	понастоящем	praegu	понастоящем	ADV	V;IPFV;IND;PL;1;PRS;FIN;ACT
hea	добро	hea	добър	ADJ;NOM;SG	ADV
hea	добре	hea	добре	ADJ;NOM;SG	ADV
järve	лейк	järv	лейк	N;IN+ALL;LGSPEC1;SG	PROPN;INDF;MASC;SG
saada	изпращане	saama	изпращане	V;NFIN	N;INDF;NEUT;SG
koosneb	съставен	koosnema	съставя	V;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
koosneb	съставени	koosnema	съставя	V;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
koosneb	съставена	koosnema	съставя	V;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
koosneb	съставено	koosnema	съставя	V;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
paljud	mnogo	palju	mnogo	PRO;NOM;PL	PROPN;INDF;NEUT;SG
paljud	много	palju	много	PRO;NOM;PL	ADV;INDF;PL
meetrit	метри	meeter	метър	N;PRT;SG	N;INDF;MASC;PL
meetrit	метри	meeter	метър	N;PRT;SG	N;INDF;MASC;PL
