το	les	ο	le	DET;NOM;DEF;NEUT;SG	DET;DEF;PL
είχε	avais	έχω	avoir	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;IPFV;FIN
δύο	two	δύο	two	NUM;NOM;MASC;PL	PROPN
αυτό	cette	αυτός	ce	PRO;NOM;NEUT;SG;3	DET;FEM;SG
αυτό	que	αυτός	que	PRO;NOM;NEUT;SG;3	CONJ
αυτή	she	αυτός	she	PRO;NOM;FEM;SG;3	PRO
αυτή	elle	αυτός	elle	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
όπου	oú	όπου	oú	ADV	CONJ
όπου	où	όπου	où	ADV	PRO
μία	un	ένας	un	NUM;NOM;FEM;SG	PRO;MASC;SG
μία	une	ένας	un	NUM;NOM;FEM;SG	DET;INDF;FEM;SG
μία	one	ένας	one	NUM;NOM;FEM;SG	PROPN
μπορεί	peuvent	μπορώ	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
μπορεί	pouvez	μπορώ	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
μπορεί	peux	μπορώ	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
χρόνια	chronique	χρόνος	chronique	N;NOM;NEUT;PL	N;FEM;SG
πρώτη	première	πρώτος	premier	NUM;NOM;FEM;SG	ADJ;FEM;SG
πρώτη	premières	πρώτος	premier	NUM;NOM;FEM;SG	ADJ;FEM;PL
πρώτη	premier	πρώτος	premier	NUM;NOM;FEM;SG	ADJ;MASC;SG
πρώτη	premiers	πρώτος	premier	NUM;NOM;FEM;SG	ADJ;MASC;PL
ένας	un	ένας	un	DET;NOM;INDF;MASC;SG	PRO;MASC;SG
ένας	one	ένας	one	DET;NOM;INDF;MASC;SG	PROPN
πόλη	villes	πόλη	ville	N;NOM;FEM;SG	N;FEM;PL
σύνδεσμοι	liens	σύνδεσμος	lien	N;ACC;MASC;SG	N;MASC;PL
μόνο	seul	μόνο	seul	ADV	ADJ;MASC;SG
μόνο	seule	μόνο	seul	ADV	ADJ;FEM;SG
πολύ	tres	πολύ	tre	ADV	ADJ;MASC;SG
κάθε	chaque	κάθε	chaque	PRO;ACC;FEM;SG;3	DET;FEM;SG
κάθε	chaque	κάθε	chaque	PRO;ACC;FEM;SG;3	DET;FEM;SG
αθήνα	athènes	αθήνα	athène	PROPN;ACC;FEM;SG	PROPN
τότε	puis	τότε	puis	ADV	CONJ
όνομα	nommer	όνομα	nommer	N;NOM;NEUT;SG	V;NFIN
όνομα	noms	όνομα	nom	N;NOM;NEUT;SG	N;MASC;PL
ελλάδα	grece	ελλάδα	grece	PROPN;ACC;FEM;SG	PROPN
ελλάδα	grèce	ελλάδα	grèce	PROPN;ACC;FEM;SG	N;FEM;SG
σήμερα	hui	σήμερα	hui	ADV	
σήμερα	aujourdhui	σήμερα	aujourdhui	ADV	PROPN
μέσα	interieur	μέσα	interieur	ADV	ADJ;MASC;SG
μέσα	inside	μέσα	inside	ADV	
μέσα	intérieur	μέσα	intérieur	ADV	N;MASC;SG
πως	comment	πως	comment	CONJ	ADV
μαζί	together	μαζί	together	ADV	PROPN
ιστορία	historique	ιστορία	historique	N;NOM;FEM;SG	ADJ;MASC;SG
αργότερα	ultérieur	αργά	ultérieur	ADV;CMPR	ADJ;MASC;SG
νέα	nouveau	νέος	nouveau	ADJ;NOM;NEUT;PL	ADJ;MASC;SG
νέα	nouvelle	νέος	nouveau	ADJ;NOM;NEUT;PL	ADJ;FEM;SG
νέα	nouveautés	νέος	nouveauté	ADJ;NOM;NEUT;PL	N;FEM;PL
νέα	nouveautés	νέος	nouveauté	ADJ;NOM;NEUT;PL	N;FEM;PL
νέα	actualité	νέος	actualité	ADJ;NOM;NEUT;PL	N;FEM;SG
νέα	actualités	νέος	actualité	ADJ;NOM;NEUT;PL	N;FEM;PL
πριν	avant	πριν	avant	ADV	ADP
εθνική	nationaux	εθνικός	national	ADJ;NOM;FEM;SG	ADJ;MASC;PL
εθνική	nationales	εθνικός	national	ADJ;NOM;FEM;SG	ADJ;FEM;PL
συζήτηση	discussions	συζήτηση	discussion	N;ACC;FEM;SG	N;FEM;PL
αρχείο	archiver	αρχείο	archiver	N;NOM;NEUT;SG	V;NFIN
αρχείο	archives	αρχείο	archive	N;NOM;NEUT;SG	N;FEM;PL
πρέπει	moût	πρέπει	moût	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
πρέπει	doivent	πρέπει	devoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
πρέπει	devez	πρέπει	devoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
έλληνες	grecs	έλληνας	grec	ADJ;NOM;MASC;PL	N;MASC;PL
πρώτο	première	πρώτος	premier	NUM;NOM;NEUT;SG	ADJ;FEM;SG
πρώτο	premières	πρώτος	premier	NUM;NOM;NEUT;SG	ADJ;FEM;PL
πρώτο	premier	πρώτος	premier	NUM;NOM;NEUT;SG	ADJ;MASC;SG
πρώτο	premiers	πρώτος	premier	NUM;NOM;NEUT;SG	ADJ;MASC;PL
έργο	travaux	έργο	travail	N;NOM;NEUT;SG	N;MASC;PL
έργο	travailler	έργο	travailler	N;NOM;NEUT;SG	V;NFIN
όχι	not	όχι	not	PART	PRO;SG;3
όχι	non	όχι	non	PART	ADV
όχι	pas	όχι	pas	PART	ADV;NEG
ελληνική	grecs	ελληνικός	grec	ADJ;NOM;FEM;SG	N;MASC;PL
ελληνική	grecques	ελληνικός	grec	ADJ;NOM;FEM;SG	ADJ;FEM;PL
μεγάλη	big	μεγάλος	big	ADJ;NOM;FEM;SG	INTJ
υπό	under	υπό	under	ADP	PROPN
άλλα	autre	άλλος	autre	PRO;NOM;NEUT;PL;3	PRO;SG
σαν	comme	σαν	comme	ADV	ADP
σαν	aime	σαν	aimer	ADV	V;IND;SG;3;PRS;FIN
σαν	aiment	σαν	aimer	ADV	V;IND;PL;3;PRS;FIN
σαν	genre	σαν	genre	ADV	N;MASC;SG
σαν	aimez	σαν	aimer	ADV	V;IMP;PL;2;PRS;FIN
ωστόσο	toutefois	ωστόσο	toutefois	CONJ	ADV
ωστόσο	cependant	ωστόσο	cependant	CONJ	ADV
άλλες	autre	άλλος	autre	PRO;NOM;FEM;PL;3	PRO;SG
τέλος	end	τέλος	end	ADV	N;MASC;SG
τέλος	fin	τέλος	fin	ADV	N;FEM;SG
σειρά	séries	σειρά	série	N;ACC;FEM;SG	N;FEM;PL
σειρά	commander	σειρά	commander	N;ACC;FEM;SG	V;NFIN
σειρά	rangées	σειρά	rangée	N;ACC;FEM;SG	V;FEM;PL;PST;V.PTCP
σειρά	rangée	σειρά	rangée	N;ACC;FEM;SG	V;FEM;SG;PST;V.PTCP
εκτός	sauf	εκτός	sauf	ADV	ADP
εκτός	excepté	εκτός	excepté	ADV	
συνέχεια	continuer	συνέχεια	continuer	N;ACC;FEM;SG	V;NFIN
συνέχεια	continue	συνέχεια	continu	N;ACC;FEM;SG	ADJ;FEM;SG
συνέχεια	continuons	συνέχεια	continuer	N;ACC;FEM;SG	V;IMP;PL;1;PRS;FIN
συνέχεια	continuez	συνέχεια	continuer	N;ACC;FEM;SG	V;IMP;PL;2;PRS;FIN
συνέχεια	poursuivre	συνέχεια	poursuivre	N;ACC;FEM;SG	V;NFIN
συνέχεια	continué	συνέχεια	continuer	N;ACC;FEM;SG	V;MASC;SG;PST;V.PTCP
κάτω	down	κάτω	down	ADV	PROPN
κάτω	descendre	κάτω	descendre	ADV	V;NFIN
κάτω	abaisser	κάτω	abaisser	ADV	V;NFIN
κάτω	inférieur	κάτω	inférieur	ADV	ADJ;MASC;SG
κάτω	inférieure	κάτω	inférieur	ADV	ADJ;FEM;SG
κάτω	dessous	κάτω	dessous	ADV	N;MASC;SG
πολλές	beaucoup	πολύς	beaucoup	ADJ;NOM;FEM;PL	ADV
πολλές	plusieurs	πολύς	plusieurs	ADJ;NOM;FEM;PL	PRO;PL
όλα	tout	όλος	tout	ADJ;NOM;NEUT;PL	PRO;MASC;SG
όλα	toute	όλος	tout	ADJ;NOM;NEUT;PL	DET;FEM;SG
όλα	toutes	όλος	tout	ADJ;NOM;NEUT;PL	PRO;FEM;PL
όλα	tous	όλος	tout	ADJ;NOM;NEUT;PL	PRO;MASC;PL
όλα	tout	όλος	tout	ADJ;NOM;NEUT;PL	PRO;MASC;SG
όλα	all	όλος	all	ADJ;NOM;NEUT;PL	
ακόμα	still	ακόμα	still	ADV	PROPN
φορές	fois	φορά	fois	N;NOM;FEM;PL	N;FEM;SG
ίδια	identiques	ίδιος	identique	ADJ;NOM;FEM;SG	ADJ;MASC;PL
ίδια	pareil	ίδιος	pareil	ADJ;NOM;FEM;SG	INTJ
ίδια	meme	ίδιος	même	ADJ;NOM;FEM;SG	INTJ
ίδια	mêmes	ίδιος	même	ADJ;NOM;FEM;SG	ADJ;MASC;PL
ίδια	même	ίδιος	même	ADJ;NOM;FEM;SG	ADV
αποτέλεσμα	effets	αποτέλεσμα	effet	N;ACC;NEUT;SG	N;MASC;PL
ιανουαρίου	janvier	ιανουάριος	janvier	PROPN;GEN;MASC;SG	N;MASC;SG
ταινίες	cinéma	ταινία	cinéma	N;NOM;FEM;PL	N;MASC;SG
ταινίες	ciné	ταινία	ciné	N;NOM;FEM;PL	N;MASC;SG
γεννήθηκε	naissance	γεννώ	naissance	V;PFV;IND;SG;3;PST;FIN;PASS	N;FEM;SG
γεννήθηκε	born	γεννώ	born	V;PFV;IND;SG;3;PST;FIN;PASS	PROPN
πολλά	beaucoup	πολύς	beaucoup	ADJ;NOM;NEUT;PL	ADV
πολλά	plusieurs	πολύς	plusieurs	ADJ;NOM;NEUT;PL	PRO;PL
τρεις	three	τρεις	three	NUM;NOM;MASC;PL	PROPN
χρήση	utiliser	χρήση	utiliser	N;ACC;FEM;SG	V;NFIN
χρήση	utilise	χρήση	utiliser	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
χρήση	utilisez	χρήση	utiliser	N;ACC;FEM;SG	V;IMP;PL;2;PRS;FIN
πολιτική	politiques	πολιτική	politique	N;NOM;FEM;SG	ADJ;MASC;PL
πολιτική	politique	πολιτική	politique	N;NOM;FEM;SG	ADJ;MASC;SG
πολιτική	politiques	πολιτική	politique	N;NOM;FEM;SG	ADJ;MASC;PL
πολιτική	politique	πολιτική	politique	N;NOM;FEM;SG	ADJ;MASC;SG
ακόμη	still	ακόμα	still	ADV	PROPN
ίδιο	pareil	ίδιος	pareil	ADJ;NOM;NEUT;SG	INTJ
ίδιο	meme	ίδιος	même	ADJ;NOM;NEUT;SG	INTJ
ίδιο	mêmes	ίδιος	même	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
ίδιο	même	ίδιος	même	ADJ;NOM;NEUT;SG	ADV
μας	notre	μου	son	PRO;GEN;MASC;PL;1	DET;MASC;SG
μας	nos	μου	son	PRO;GEN;MASC;PL;1	DET;MASC;PL
εκλογές	élection	εκλογή	élection	N;NOM;FEM;PL	N;FEM;SG
εκλογές	election	εκλογή	election	N;NOM;FEM;PL	N;FEM;SG
μέλος	membres	μέλος	membre	N;NOM;NEUT;SG	N;MASC;PL
εποχή	saisons	εποχή	saison	N;ACC;FEM;SG	N;FEM;PL
εποχή	era	εποχή	era	N;ACC;FEM;SG	PROPN
αρχικά	initiales	αρχικά	initial	ADV	ADJ;FEM;PL
κύπελλο	cup	κύπελλος	cup	N;NOM;NEUT;SG	PROPN
ζωή	zoe	ζωή	zoe	N;ACC;FEM;SG	PROPN
έδρα	seat	έδρα	seat	N;NOM;FEM;SG	PROPN
μεγάλο	grands	μεγάλος	grand	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
μεγάλο	grandes	μεγάλος	grand	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
μεγάλο	big	μεγάλος	big	ADJ;NOM;NEUT;SG	INTJ
κέντρο	centrer	κέντρο	centrer	N;NOM;NEUT;SG	V;NFIN
κάτι	quelquechose	κάτι	quelquechose	PRO;NOM;NEUT;SG;3	N;MASC;SG
κοντά	proche	κοντά	proche	ADV	ADJ;MASC;SG
κοντά	fermer	κοντά	fermer	ADV	V;NFIN
κοντά	proche	κοντά	proche	ADV	ADJ;MASC;SG
κοντά	proximité	κοντά	proximité	ADV	N;FEM;SG
κοντά	proche	κοντά	proche	ADV	ADJ;MASC;SG
μορφή	formater	μορφή	formater	N;NOM;FEM;SG	V;NFIN
κόμμα	parti	κόμμα	partir	N;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
γιατί	parce	γιατί	parce	CONJ	ADV
γιατί	car	γιατί	car	CONJ	CONJ
γιατί	parceque	γιατί	parceque	CONJ	
γιατί	pourquoi	γιατί	pourquoi	CONJ	ADV
γιατί	why	γιατί	why	CONJ	
ρόλο	rollo	ρόλος	rollo	N;ACC;MASC;SG	PROPN
άλμπουμ	albums	άλμπουμ	album	N;MASC;SG	N;MASC;PL
επειδή	parce	επειδή	parce	CONJ	ADV
επειδή	car	επειδή	car	CONJ	CONJ
επειδή	parceque	επειδή	parceque	CONJ	
γκολ	buts	γκολ	but		N;MASC;PL
γκολ	objectifs	γκολ	objectif		N;MASC;PL
γκολ	objectif	γκολ	objectif		N;MASC;SG
γκολ	but	γκολ	but		N;MASC;SG
ονομασία	nommer	ονομασία	nommer	N;NOM;FEM;SG	V;NFIN
ονομασία	noms	ονομασία	nom	N;NOM;FEM;SG	N;MASC;PL
κοινότητα	communautaire	κοινότητα	communautaire	N;ACC;FEM;SG	ADJ;MASC;SG
τελευταία	dernier	τελευταία	dernier	ADV	ADJ;MASC;SG
τελευταία	dernière	τελευταία	dernier	ADV	ADJ;FEM;SG
τελευταία	derniers	τελευταία	dernier	ADV	ADJ;MASC;PL
τελευταία	dernières	τελευταία	dernier	ADV	ADJ;FEM;PL
έκανε	did	κάνω	did	V;PFV;IND;SG;3;PST;FIN;ACT	
έκανε	fabriqués	κάνω	fabriquer	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
είτε	soit	είτε	soit	CONJ	CONJ
κυβέρνηση	gouvernements	κυβέρνηση	gouvernement	N;NOM;FEM;SG	N;MASC;PL
πρώτος	première	πρώτος	premier	NUM;NOM;MASC;SG	ADJ;FEM;SG
πρώτος	premières	πρώτος	premier	NUM;NOM;MASC;SG	ADJ;FEM;PL
πρώτος	premier	πρώτος	premier	NUM;NOM;MASC;SG	ADJ;MASC;SG
πρώτος	premiers	πρώτος	premier	NUM;NOM;MASC;SG	ADJ;MASC;PL
κάνει	fait	κάνω	faire	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;PST;V.PTCP
κάνει	faite	κάνω	faire	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;PST;V.PTCP
ηπα	usa	λπο	usa	N	PROPN
ανάμεσα	entre	ανάμεσα	entre	ADV	ADP
δεύτερη	second	δεύτερος	second	NUM;NOM;FEM;SG	ADJ;MASC;SG
δεύτερη	deuxième	δεύτερος	deuxième	NUM;NOM;FEM;SG	ADJ;MASC;SG
δεύτερη	deuxieme	δεύτερος	deuxieme	NUM;NOM;FEM;SG	ADJ;MASC;SG
δεύτερη	seconde	δεύτερος	second	NUM;NOM;FEM;SG	ADJ;FEM;SG
γλώσσα	langues	γλώσσα	langue	N;NOM;FEM;SG	N;FEM;PL
μάχη	combattre	μάχη	combattre	N;ACC;FEM;SG	V;NFIN
μάχη	combattre	μάχη	combattre	N;ACC;FEM;SG	V;NFIN
πανεπιστήμιο	universitaire	πανεπιστήμιο	universitaire	N;NOM;NEUT;SG	ADJ;MASC;SG
όλες	toute	όλος	tout	ADJ;NOM;FEM;PL	DET;FEM;SG
όλες	toutes	όλος	tout	ADJ;NOM;FEM;PL	PRO;FEM;PL
όλες	tous	όλος	tout	ADJ;NOM;FEM;PL	PRO;MASC;PL
όλες	tout	όλος	tout	ADJ;NOM;FEM;PL	PRO;MASC;SG
όλες	all	όλος	all	ADJ;NOM;FEM;PL	
δείτε	vois	βλέπω	vois	V;PFV;IMP;PL;2;FIN;ACT	V;IND;SG;2;PRS;FIN
δείτε	montre	βλέπω	montrer	V;PFV;IMP;PL;2;FIN;ACT	V;IND;SG;3;PRS;FIN
δείτε	montres	βλέπω	montre	V;PFV;IMP;PL;2;FIN;ACT	N;FEM;PL
δείτε	regarde	βλέπω	regarder	V;PFV;IMP;PL;2;FIN;ACT	V;IND;SG;3;PRS;FIN
συχνά	fréquent	συχνά	fréquent	ADV	ADJ;MASC;SG
πρώην	ancien	πρώην	ancien	ADV	ADJ;MASC;SG
πρώην	ancienne	πρώην	ancien	ADV	ADJ;FEM;SG
έλαβε	reçues	λαμβάνω	recevoir	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
έλαβε	reçus	λαμβάνω	recevoir	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
επίσημη	fonctionnaire	επίσημος	fonctionnaire	ADJ;NOM;FEM;SG	N;MASC;SG
επίσημη	officielles	επίσημος	officiel	ADJ;NOM;FEM;SG	ADJ;FEM;PL
επίσημη	officiels	επίσημος	officiel	ADJ;NOM;FEM;SG	ADJ;MASC;PL
επίσημη	formels	επίσημος	formel	ADJ;NOM;FEM;SG	ADJ;MASC;PL
κατοίκους	résidants	κάτοικος	résidant	N;ACC;MASC;PL	ADJ;MASC;PL
βόρεια	nord	βόρεια	nord	ADV	N;MASC;SG
βόρεια	septentrionale	βόρεια	septentrional	ADV	ADJ;FEM;SG
βόρεια	nordique	βόρεια	nordique	ADV	ADJ;MASC;SG
βόρεια	septentrional	βόρεια	septentrional	ADV	ADJ;MASC;SG
βόρεια	northern	βόρεια	northern	ADV	PROPN
βόρεια	nord	βόρεια	nord	ADV	N;MASC;SG
αγώνα	combattre	αγώνας	combattre	N;ACC;MASC;SG	V;NFIN
σελίδα	pages	σελίδα	page	N;NOM;FEM;SG	N;FEM;PL
ηλικία	âges	ηλικία	âge	N;NOM;FEM;SG	N;MASC;PL
χρησιμοποιείται	utilisées	χρησιμοποιώ	utiliser	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;PL;PST;V.PTCP
χρησιμοποιείται	utilisé	χρησιμοποιώ	utiliser	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;SG;PST;V.PTCP
χρησιμοποιείται	utilisés	χρησιμοποιώ	utiliser	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;PL;PST;V.PTCP
χρησιμοποιείται	utilisée	χρησιμοποιώ	utiliser	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;SG;PST;V.PTCP
πρώτα	première	πρώτα	premier	ADV	ADJ;FEM;SG
πρώτα	premières	πρώτα	premier	ADV	ADJ;FEM;PL
πρώτα	premier	πρώτα	premier	ADV	ADJ;MASC;SG
πρώτα	premiers	πρώτα	premier	ADV	ADJ;MASC;PL
μέγεθος	tailles	μέγεθος	taille	N;NOM;NEUT;SG	N;FEM;PL
θεωρείται	considérée	θεωρώ	considérer	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;SG;PST;V.PTCP
θεωρείται	considéré	θεωρώ	considérer	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;SG;PST;V.PTCP
θεωρείται	considérées	θεωρώ	considérer	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;PL;PST;V.PTCP
θεωρείται	considérés	θεωρώ	considérer	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;PL;PST;V.PTCP
εδώ	voilà	εδώ	voilà	ADV	V
εδώ	voici	εδώ	voici	ADV	V
νότια	méridional	νότιος	méridional	ADV	ADJ;MASC;SG
νότια	méridionale	νότιος	méridional	ADV	ADJ;FEM;SG
νότια	méridional	νότιος	méridional	ADV	ADJ;MASC;SG
νότια	sud	νότιος	sud	ADV	N;MASC;SG
νέο	nouvelles	νέος	nouveau	ADJ;ACC;NEUT;SG	ADJ;FEM;PL
νέο	nouveaux	νέος	nouveau	ADJ;ACC;NEUT;SG	ADJ;MASC;PL
νέο	nouveautés	νέος	nouveauté	ADJ;ACC;NEUT;SG	N;FEM;PL
ήδη	déja	ήδη	déja	ADV	
ήδη	deja	ήδη	deja	ADV	INTJ
ήδη	dejà	ήδη	dejà	ADV	
βασιλιά	king	βασιλιάς	king	N;ACC;MASC;SG	PROPN
μουσείο	musées	μουσείο	musée	N;NOM;NEUT;SG	N;MASC;PL
πολιτικός	politicien	πολιτικός	politicien	ADJ;NOM;MASC;SG	N;MASC;SG
δυο	two	δύο	two	NUM;NOM;PL	PROPN
μεγαλύτερη	âgées	μεγάλος	âgé	ADJ;NOM;CMPR;FEM;SG	ADJ;FEM;PL
πέθανε	die	πεθαίνω	der	V;PFV;IND;SG;3;PST;FIN;ACT	
πέθανε	crève	πεθαίνω	crever	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
πέθανε	meurs	πεθαίνω	meur	V;PFV;IND;SG;3;PST;FIN;ACT	INTJ
ανά	per	ανά	per	ADP	
μουσική	musiques	μουσικός	musique	ADJ;NOM;FEM;SG	N;FEM;PL
μουσική	musique	μουσικός	musique	ADJ;NOM;FEM;SG	N;FEM;SG
κόσμο	cosmo	κόσμος	cosmo	N;ACC;MASC;SG	
κόσμο	mondial	κόσμος	mondial	N;ACC;MASC;SG	ADJ;MASC;SG
κόσμο	mondiale	κόσμος	mondial	N;ACC;MASC;SG	ADJ;FEM;SG
άτομα	individuels	άτομο	individuel	N;NOM;NEUT;PL	ADJ;MASC;PL
δεύτερο	second	δεύτερος	second	NUM;NOM;NEUT;SG	ADJ;MASC;SG
δεύτερο	deuxième	δεύτερος	deuxième	NUM;NOM;NEUT;SG	ADJ;MASC;SG
δεύτερο	deuxieme	δεύτερος	deuxieme	NUM;NOM;NEUT;SG	ADJ;MASC;SG
δεύτερο	seconde	δεύτερος	second	NUM;NOM;NEUT;SG	ADJ;FEM;SG
είδος	taper	είδος	taper	N;NOM;NEUT;SG	V;NFIN
είδος	tapez	είδος	tape	N;NOM;NEUT;SG	V;IMP;PL;2;PRS;FIN
είδος	espèces	είδος	espèce	N;NOM;NEUT;SG	N;FEM;PL
μεγαλύτερο	âgées	μεγάλος	âgé	ADJ;NOM;CMPR;NEUT;SG	ADJ;FEM;PL
εκείνη	she	εκείνος	she	PRO;ACC;FEM;SG;3	PRO
εκείνη	elle	εκείνος	elle	PRO;ACC;FEM;SG;3	PRO;FEM;SG;3
χώρες	pays	χώρα	pays	N;NOM;FEM;PL	N;MASC;SG
εναντίον	against	εναντίον	against	ADP	PROPN
τρία	three	τρεις	three	NUM;NOM;NEUT;PL	PROPN
χαρακτηριστικά	caractéristiques	χαρακτηριστικός	caractéristique	N;NOM;NEUT;PL	ADJ;FEM;PL
χαρακτηριστικά	caractéristiques	χαρακτηριστικός	caractéristique	N;NOM;NEUT;PL	ADJ;FEM;PL
όρος	monter	όρος	monter	N;NOM;MASC;SG	V;NFIN
βασιλιάς	king	βασιλιάς	king	N;NOM;MASC;SG	PROPN
παιδιά	gars	παιδί	gars	N;NOM;NEUT;PL	N;MASC;SG
παιδιά	enfant	παιδί	enfant	N;NOM;NEUT;PL	N;MASC;SG
φαίνεται	looks	φαίνομαι	look	V;IPFV;IND;SG;3;PRS;FIN;PASS	N;MASC;PL
αρχαία	antiquité	αρχαίος	antiquité	ADJ;NOM;FEM;SG	N;FEM;SG
αρχαία	anciens	αρχαίος	ancien	ADJ;NOM;FEM;SG	ADJ;MASC;PL
μήκος	longueurs	μήκος	longueur	N;ACC;NEUT;SG	N;FEM;PL
κυκλοφόρησε	libérés	κυκλοφορώ	libérer	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
τι	quel	τι	quel	PRO;NOM;NEUT;SG;3	DET;MASC;SG
τι	quelle	τι	quel	PRO;NOM;NEUT;SG;3	DET;FEM;SG
ηθοποιός	comédienne	ηθοποιός	comédien	N;NOM;MASC;SG	ADJ;FEM;SG
ελληνικά	grecs	ελληνικός	grec	ADV	N;MASC;PL
ελληνικά	grecque	ελληνικός	grec	ADV	ADJ;FEM;SG
ελληνικά	grecques	ελληνικός	grec	ADV	ADJ;FEM;PL
ελληνικά	grec	ελληνικός	grec	ADV	ADJ;MASC;SG
δυνάμεις	powers	δύναμη	power	N;NOM;FEM;PL	PROPN
γαλλία	france	γαλλία	france	PROPN;ACC;FEM;SG	N;FEM;SG
ελληνικό	grecs	ελληνικός	grec	ADJ;NOM;NEUT;SG	N;MASC;PL
ελληνικό	grecques	ελληνικός	grec	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
ευρώπη	europe	ευρώπη	europe	PROPN;ACC;FEM;SG	N;FEM;SG
γνωστό	connues	γνωστός	connaître	ADJ;NOM;NEUT;SG	V;FEM;PL;PST;V.PTCP
γνωστό	connue	γνωστός	connaître	ADJ;NOM;NEUT;SG	V;FEM;SG;PST;V.PTCP
γνωστό	connus	γνωστός	connaître	ADJ;NOM;NEUT;SG	V;MASC;PL;PST;V.PTCP
γνωστό	connu	γνωστός	connaître	ADJ;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
παγκόσμιο	mondiaux	παγκόσμιος	mondial	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
βιβλίο	réserver	βιβλίο	réserver	N;NOM;NEUT;SG	V;NFIN
διάστημα	intervalles	διάστημα	intervalle	N;NOM;NEUT;SG	N;MASC;PL
οικογένεια	familiale	οικογένεια	familial	N;NOM;FEM;SG	ADJ;FEM;SG
