van	from	van	from	ADP	N
onder	under	onder	under	ADP	PROPN
nog	todavia	nog	todavia	ADV	INTJ
nog	still	nog	still	ADV	N
eerste	primero	één	primero	ADJ	ADV
meer	lagos	veel	lago	PRO	N;MASC;PL
meer	lago	veel	lago	PRO	N;MASC;SG
meer	laguna	veel	laguna	PRO	N;FEM;SG
meer	más	veel	más	PRO	ADV
meer	mas	veel	mas	PRO	ADV
meer	more	veel	more	PRO	
andere	otras	ander	otro	ADJ	PRO;FEM;PL
andere	otro	ander	otro	ADJ	PRO;MASC;SG
andere	otros	ander	otro	ADJ	PRO;MASC;PL
andere	otras	ander	otro	ADJ	PRO;FEM;PL
andere	otros	ander	otro	ADJ	PRO;MASC;PL
kan	podrían	kunnen	poder	V;SG;PRS;FIN	V;COND;PL;3;FIN
kan	podía	kunnen	poder	V;SG;PRS;FIN	V;IND;SG;3;IPFV;FIN
kan	podría	kunnen	poder	V;SG;PRS;FIN	V;COND;SG;3;FIN
kan	pueden	kunnen	poder	V;SG;PRS;FIN	V;IND;PL;3;PRS;FIN
kan	lata	kunnen	lata	V;SG;PRS;FIN	N;FEM;SG
kan	can	kunnen	can	V;SG;PRS;FIN	PROPN
kan	kan	kunnen	kan	V;SG;PRS;FIN	N;SG
cet	cet	cet	cet		N
geen	ninguna	geen	ninguno	DET	PRO;FEM;SG
geen	ninguno	geen	ninguno	DET	PRO;MASC;SG
haar	cabello	haar	cabello	PRO;ACC;3	N;MASC;SG
haar	pelo	haar	pelo	PRO;ACC;3	N;MASC;SG
haar	cabellos	haar	cabello	PRO;ACC;3	N;MASC;PL
haar	peinado	haar	peinado	PRO;ACC;3	ADJ;MASC;SG;V.PTCP
haar	su	haar	su	PRO;ACC;3	DET;SG;3
haar	her	haar	her	PRO;ACC;3	N
wel	pues	wel	pues	ADV	CONJ
wel	bueno	wel	buen	ADV	INTJ
wel	pozo	wel	pozo	ADV	N;MASC;SG
jaar	años	jaar	año	N;NEUT;SG	N;MASC;PL
jaar	anos	jaar	ano	N;NEUT;SG	N;MASC;PL
twee	two	twee	two	NUM	PROPN
wat	wat	wat	wat	PRO;3	N
deel	compartan	deel	compartir	N;NEUT;SG	V;IMP;PL;3;FIN
deel	comparte	deel	compartir	N;NEUT;SG	V;IND;SG;3;PRS;FIN
deel	compartir	deel	compartir	N;NEUT;SG	V;NFIN
deel	comparta	deel	compartir	N;NEUT;SG	V;IMP;SG;3;FIN
overleg	consultas	overleg	consulta	N;NEUT;SG	N;FEM;PL
overleg	consultas	overleg	consulta	N;NEUT;SG	N;FEM;PL
had	tenía	hebben	tener	V;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
had	tenido	hebben	tener	V;SG;PST;FIN	ADJ;MASC;SG;V.PTCP
had	había	hebben	haber	V;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
waar	where	waar	where	ADV	N
waar	donde	waar	donde	ADV	PRO
waar	adonde	waar	adonde	ADV	
waar	dónde	waar	dónde	ADV	PRO
waar	cierto	waar	cierto	ADV	ADJ;MASC;SG
waar	true	waar	true	ADV	N
waar	verdadera	waar	verdadero	ADV	ADJ;FEM;SG
waar	verdad	waar	verdad	ADV	N;FEM;SG
waar	verdadero	waar	verdadero	ADV	ADJ;MASC;SG
hebben	han	hebben	haber	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
veel	much	veel	much	PRO	N
veel	mucho	veel	mucho	PRO	ADV
hun	sus	hun	su	PRO;ACC;3	DET;PL;3
hun	su	hun	su	PRO;ACC;3	DET;SG;3
hun	hun	hun	hun	PRO;ACC;3	N
staat	state	staan	state	V;SG;PRS;FIN	N
staat	estado	staan	estado	V;SG;PRS;FIN	N;MASC;SG
tegen	against	tegen	against	ADP	N
tweede	segundos	twee	segundo	ADJ	N;MASC;PL
waren	eran	zijn	ser	V;PL;PST;FIN	V;IND;PL;3;IPFV;FIN
waren	estaban	zijn	estar	V;PL;PST;FIN	V;IND;PL;3;IPFV;FIN
kunnen	puedo	kunnen	poder	V;PL;PRS;FIN	V;IND;SG;1;PRS;FIN
kunnen	lata	kunnen	lata	V;PL;PRS;FIN	N;FEM;SG
kunnen	can	kunnen	can	V;PL;PRS;FIN	PROPN
kunnen	puede	kunnen	poder	V;PL;PRS;FIN	V;IND;SG;3;PRS;FIN
zie	see	zien	ser	V;SG;PRS;FIN	
geslacht	sexuales	geslacht	sexual	N;NEUT;SG	ADJ;PL
geslacht	sexos	geslacht	sexo	N;NEUT;SG	N;MASC;PL
zoals	gustar	zoals	gustar	CONJ	V;NFIN
zoals	like	zoals	like	CONJ	N
grote	large	groot	large	ADJ	N
grote	big	groot	big	ADJ	N
bar	bares	bar	bar	N;MASC+FEM;SG	N;MASC;PL
telt	condes	tellen	conde	V;SG;PRS;FIN	N;FEM;PL
nieuwe	novedad	nieuw	novedad	ADJ	N;FEM;SG
nieuwe	novedades	nieuw	novedad	ADJ	N;FEM;PL
later	posteriormente	laat	posteriormente	ADJ;CMPR	ADV
later	después	laat	después	ADJ;CMPR	ADV
via	via	via	via	ADP	
via	vía	via	vía	ADP	
nederlandse	neerlandés	nederlands	neerlandés	ADJ	N;MASC;SG
nederlandse	holandés	nederlands	holandés	ADJ	N;MASC;SG
nederlandse	holandeses	nederlands	holandés	ADJ	N;MASC;PL
mei	may	mei	maber	PROPN;MASC+FEM;SG	
mei	mayo	mei	mayo	PROPN;MASC+FEM;SG	N
mei	mei	mei	mei	PROPN;MASC+FEM;SG	N
alle	todas	al	todo	DET	PRO;FEM;PL
alle	all	al	all	DET	N
alle	todo	al	todo	DET	PRO;MASC;SG
alle	todos	al	todo	DET	PRO;MASC;PL
lijst	listado	lijst	listado	N;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
hier	aca	hier	acair	ADV	INTJ
hier	aqui	hier	aqui	ADV	INTJ
links	acoplamientos	links	acoplamiento	ADJ	N;MASC;PL
links	vínculos	links	vínculo	ADJ	N;MASC;PL
links	enlaces	links	enlace	ADJ	N;MASC;PL
links	links	links	link	ADJ	N;MASC;PL
links	izquierda	links	izquierda	ADJ	N;FEM;SG
jan	jan	jan	janto	N;MASC+FEM;SG	PROPN
jan	ene	jan	ene	N;MASC+FEM;SG	
weer	clima	weer	clima	ADV	N;MASC;SG
weer	tiempo	weer	tiempo	ADV	N;MASC;SG
weer	meteorología	weer	meteorología	ADV	N;FEM;SG
daar	ahi	daar	ahi	ADV	INTJ
vanaf	from	vanaf	from	ADP	N
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	PROPN
kwam	vinieron	komen	venir	V;SG;PST;FIN	V;IND;PL;3;PST;FIN
link	enlazar	link	enlazar	N;MASC+FEM;SG	V;NFIN
gebruikt	utilizada	gebruiken	utilizado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gebruikt	usada	gebruiken	usado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gebruikt	usado	gebruiken	usado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gebruikt	utilizado	gebruiken	utilizado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gebruikt	utilizados	gebruiken	utilizado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
gebruikt	usados	gebruiken	usado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
der	der	de	der	DET;DEF	PROPN
km²	km²	km²	kme	N;MASC+FEM;SG	
alleen	alone	alleen	alone	ADV	INTJ
alleen	solos	alleen	solo	ADV	ADJ;MASC;PL
alleen	sola	alleen	solo	ADV	ADJ;FEM;SG
nederlands	neerlandés	nederland	neerlandés	ADJ	N;MASC;SG
nederlands	holandés	nederland	holandés	ADJ	N;MASC;SG
nederlands	holandeses	nederland	holandés	ADJ	N;MASC;PL
eeuw	century	eeuw	century	N;MASC+FEM;SG	PROPN
vlinder	mariposas	vlinder	mariposo	N;MASC+FEM;SG	N;FEM;PL
keversoort	escarabajos	keversoort	escarabajo	N;MASC+FEM;SG	N;MASC;PL
laatste	last	laat	last	ADJ;RL	N
samen	juntos	samen	junto	ADV	ADJ;MASC;PL
samen	juntas	samen	junto	ADV	ADJ;FEM;PL
samen	together	samen	together	ADV	N
één	una	één	uno	NUM	DET;INDF;FEM;SG
één	one	één	one	NUM	N
één	uno	één	uno	NUM	PRO;MASC;SG
moet	deberían	moeten	deber	V;SG;PRS;FIN	V;COND;PL;3;FIN
moet	deberia	moeten	deberia	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
moet	debiera	moeten	deber	V;SG;PRS;FIN	V;SBJV;SG;3;IPFV;FIN
moet	deben	moeten	deber	V;SG;PRS;FIN	V;IND;PL;3;PRS;FIN
moet	debe	moeten	deber	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
moet	mosto	moeten	mosto	V;SG;PRS;FIN	N;MASC;SG
maken	make	maken	maker	V;NFIN	N
amerikaanse	american	amerikaans	americar	ADJ	N;FEM;SG
amerikaanse	americanos	amerikaans	americano	ADJ	N;MASC;PL
enkele	some	enkele	some	PRO	N
april	april	april	april	PROPN;MASC+FEM;SG	PROPN
april	abril	april	abril	PROPN;MASC+FEM;SG	N
verschillende	distintos	verschillend	distinto	ADJ	PRO;MASC;PL
verschillende	varios	verschillend	varios	ADJ	PRO;MASC;PL
verschillende	varias	verschillend	varios	ADJ	PRO;FEM;PL
verschillende	varios	verschillend	varios	ADJ	PRO;MASC;PL
verschillende	varias	verschillend	varios	ADJ	PRO;FEM;PL
gaat	goes	gaan	goe	V;SG;PRS;FIN	N
volgende	proxima	volgen	proximar	V;V.PTCP	N;FEM;SG
volgende	próximo	volgen	próximo	V;V.PTCP	ADJ;MASC;SG
volgende	siguiente	volgen	siguiente	V;V.PTCP	ADJ;SG
volgende	próxima	volgen	próximo	V;V.PTCP	ADJ;FEM;SG
volgende	next	volgen	next	V;V.PTCP	N
weg	away	weg	away	ADV	N
weg	road	weg	road	ADV	N;MASC
weg	camino	weg	camino	ADV	N;MASC;SG
weg	carretera	weg	carretera	ADV	N;FEM;SG
insect	insectos	insect	insecto	N;NEUT;SG	N;MASC;PL
zelf	auto	zelf	auto	ADV	N;MASC;SG
zelf	self	zelf	self	ADV	N
franse	francés	frans	francés	ADJ	N;MASC;SG
franse	franceses	frans	francés	ADJ	N;MASC;PL
terug	volver	terug	volver	ADV	V;NFIN
terug	espalda	terug	espalda	ADV	N;FEM;SG
terug	regreso	terug	regreso	ADV	N;MASC;SG
terug	back	terug	back	ADV	
rond	alrededor	rond	alrededor	ADP	ADV
rond	around	rond	around	ADP	N
rond	redonda	rond	redonda	ADP	N;FEM;SG
rond	redondo	rond	redondo	ADP	ADJ;MASC;SG
rond	redondos	rond	redondo	ADP	ADJ;MASC;PL
rond	ronda	rond	ronda	ADP	N;FEM;SG
rond	round	rond	round	ADP	N;MASC;SG
heb	got	hebben	got	V;SG;PRS;FIN	PROPN
heb	tengo	hebben	tener	V;SG;PRS;FIN	V;IND;SG;1;PRS;FIN
heb	consiguió	hebben	conseguir	V;SG;PRS;FIN	V;IND;SG;3;PST;FIN
heb	tener	hebben	tener	V;SG;PRS;FIN	V;NFIN
heb	tengan	hebben	tener	V;SG;PRS;FIN	V;IMP;PL;3;PRS;FIN
heb	han	hebben	haber	V;SG;PRS;FIN	V;IND;PL;3;PRS;FIN
heb	tienen	hebben	tener	V;SG;PRS;FIN	V;IND;PL;3;PRS;FIN
land	terrenos	land	terreno	N;NEUT;SG	N;MASC;PL
land	tierras	land	tierra	N;NEUT;SG	N;FEM;PL
kreeg	got	krijgen	got	V;SG;PST;FIN	PROPN
kreeg	tengo	krijgen	tener	V;SG;PST;FIN	V;IND;SG;1;PRS;FIN
werk	trabajos	werk	trabajo	N;NEUT;SG	N;MASC;PL
werk	trabaje	werk	trabaje	N;NEUT;SG	V;SBJV;SG;3;PRS;FIN
werk	trabajar	werk	trabajar	N;NEUT;SG	V;NFIN
juni	juni	juni	juni	PROPN;MASC+FEM;SG	PROPN
juni	june	juni	june	PROPN;MASC+FEM;SG	PROPN
juni	junio	juni	junio	PROPN;MASC+FEM;SG	N
goed	bien	goed	bien	ADJ	ADV
goed	bueno	goed	buen	ADJ	INTJ
duitse	alemanes	duits	alemán	ADJ	N;MASC;PL
duitse	alemán	duits	alemán	ADJ	N;MASC;SG
duitse	aleman	duits	alemar	ADJ	N;MASC;SG
mensen	pueblo	mens	pueblo	N;PL	N;MASC;SG
mensen	gente	mens	gente	N;PL	N;FEM;SG
vaak	frecuentemente	vaak	frecuentemente	ADJ	ADV
vaak	common	vaak	common	ADJ	N
vaak	menudo	vaak	menudo	ADJ	N
vaak	frecuentemente	vaak	frecuentemente	ADJ	ADV
januari	enero	januari	enero	PROPN;MASC+FEM;SG	N
orde	ordenar	orde	ordenar	N;MASC+FEM;SG	V;NFIN
orde	pedido	orde	pedido	N;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
orde	pedidos	orde	pedido	N;MASC+FEM;SG	ADJ;MASC;PL;V.PTCP
groot	large	groot	large	ADJ	N
groot	big	groot	big	ADJ	N
groot	groot	groot	groot	ADJ	N
marine	armada	marine	armado	N;MASC+FEM;SG	ADJ;FEM;SG;V.PTCP
genoemd	mencionado	noemen	mencionado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
genoemd	mencionada	noemen	mencionado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
genoemd	mencionados	noemen	mencionado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
genoemd	nombrada	noemen	nombrado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
genoemd	nombrado	noemen	nombrado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
genoemd	llamados	noemen	llamado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
genoemd	llamado	noemen	llamado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
genoemd	llamada	noemen	llamado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
komen	venida	komen	venido	V;NFIN	N;FEM;SG
komen	coming	komen	coming	V;NFIN	N
september	setiembre	september	setiembre	PROPN;MASC+FEM;SG	N
september	septiembre	september	septiembre	PROPN;MASC+FEM;SG	N
ongeveer	sobre	ongeveer	sobre	ADV	ADP
juli	julio	juli	julio	PROPN;MASC+FEM;SG	N
juli	juli	juli	juli	PROPN;MASC+FEM;SG	
speelde	jugaron	spelen	jugar	V;SG;PST;FIN	V;IND;PL;3;PST;FIN
speelde	jugado	spelen	jugado	V;SG;PST;FIN	ADJ;MASC;SG;V.PTCP
speelde	desempeñado	spelen	desempeñado	V;SG;PST;FIN	ADJ;MASC;SG;V.PTCP
dorp	poblado	dorp	poblado	N;NEUT;SG	ADJ;MASC;SG;V.PTCP
geraadpleegd	consultado	raadplegen	consultar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
geraadpleegd	consultados	raadplegen	consultado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
geraadpleegd	consultada	raadplegen	consultado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
leven	vivir	leven	vivir	N;NEUT;SG	V;NFIN
leven	vive	leven	vivir	N;NEUT;SG	V;IND;SG;3;PRS;FIN
oktober	octubre	oktober	octubre	PROPN;MASC+FEM;SG	N
binnen	dentro	binnen	dentro	ADP	ADV
binnen	adentro	binnen	adentro	ADP	
binnen	inside	binnen	insidir	ADP	INTJ
augustus	august	augustus	augusto	PROPN;MASC+FEM;SG	PROPN
augustus	agosto	augustus	agosto	PROPN;MASC+FEM;SG	N
augustus	augusto	augustus	augusto	PROPN;MASC+FEM;SG	N;MASC;SG
augustus	augustus	augustus	augustus	PROPN;MASC+FEM;SG	N
maart	marcha	maart	marcha	PROPN;MASC+FEM;SG	N;FEM;SG
maart	marchen	maart	marchen	PROPN;MASC+FEM;SG	V;IMP;PL;3;FIN
maart	marzo	maart	marzo	PROPN;MASC+FEM;SG	N
register	inscribirse	register	inscribirse	N;NEUT;SG	V;SBJV;SG;3;FIN
register	registrarse	register	registrar	N;NEUT;SG	V;SBJV;SG;3;IPFV;FIN
zal	will	zullen	will	V;SG;PRS;FIN	PROPN
zal	voluntad	zullen	voluntad	V;SG;PRS;FIN	N;FEM;SG
zal	testamento	zullen	testamento	V;SG;PRS;FIN	N;MASC;SG
marinespecies	marinespecies	marinespecie	marinespecies	N;NEUT;SG	N;MASC;PL
meter	contadores	meter	contador	N;MASC+FEM;SG	N;MASC;PL
meter	metros	meter	metro	N;MASC+FEM;SG	N;MASC;PL
meter	medidores	meter	medidor	N;MASC+FEM;SG	N;MASC;PL
meter	metros	meter	metro	N;MASC+FEM;SG	N;MASC;PL
meter	metros	meter	metro	N;MASC+FEM;SG	N;MASC;PL
vier	four	vier	four	NUM	N
vier	vier	vier	vier	NUM	N
december	diciembre	december	diciembre	PROPN;MASC+FEM;SG	N
amsterdam	ámsterdam	amsterdam	ámsterdam	PROPN;NEUT;SG	N;MASC;SG
amsterdam	amsterdam	amsterdam	amsterdam	PROPN;NEUT;SG	N;MASC;SG
zeer	very	zeer	ver	ADV	N
top	top	top	top	N;MASC+FEM;SG	
top	arriba	top	arriba	N;MASC+FEM;SG	ADV
top	cumbres	top	cumbre	N;MASC+FEM;SG	N;FEM;PL
november	noviembre	november	noviembre	PROPN;MASC+FEM;SG	N
den	den	den	dar	DET;DEF	V;IMP;PL;3;FIN
ronde	redondo	ronde	redondo	N;MASC+FEM;SG	ADJ;MASC;SG
ronde	redondos	ronde	redondo	N;MASC+FEM;SG	ADJ;MASC;PL
kon	podrían	kunnen	poder	V;SG;PST;FIN	V;COND;PL;3;FIN
kon	podía	kunnen	poder	V;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
kon	podria	kunnen	podria	V;SG;PST;FIN	V;IND;SG;3;PRS;FIN
kon	kon	kunnen	kon	V;SG;PST;FIN	INTJ
sint	sint	sint	sint	N;MASC+FEM;SG	
gemaakt	hecha	maken	hecho	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gemaakt	made	maken	mader	V;V.PTCP	N
gemaakt	hecho	maken	hecho	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gemaakt	creado	maken	creado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gemaakt	creados	maken	creado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
gemaakt	creadas	maken	creado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
gemaakt	creada	maken	creado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
groep	agrupar	groep	agrupar	N;MASC+FEM;SG	V;NFIN
won	ganados	winnen	ganado	V;SG;PST;FIN	ADJ;MASC;PL;V.PTCP
won	ganado	winnen	ganado	V;SG;PST;FIN	ADJ;MASC;SG;V.PTCP
won	gano	winnen	ganar	V;SG;PST;FIN	V;IND;SG;1;PRS;FIN
gebruik	usar	gebruik	usar	N;NEUT;SG	V;NFIN
gebruik	utilizar	gebruik	utilizar	N;NEUT;SG	V;NFIN
werken	obra	werken	obra	V;NFIN	N;FEM;SG
werken	trabajos	werken	trabajo	V;NFIN	N;MASC;PL
werken	trabajo	werken	trabajo	V;NFIN	N;MASC;SG
werken	trabajos	werken	trabajo	V;NFIN	N;MASC;PL
werken	obras	werken	obra	V;NFIN	N;FEM;PL
derde	terceros	drie	tercero	ADJ	N;MASC;PL
net	neto	net	neto	ADV	ADJ;MASC;SG
net	net	net	net	ADV	N
net	red	net	red	ADV	N;FEM;SG
net	neta	net	neta	ADV	ADJ;FEM;SG
net	netos	net	neto	ADV	N;MASC;PL
ter	ter	te	ter	ADP	
februari	febrero	februari	febrero	PROPN;MASC+FEM;SG	N
zuid	zuid	zuid	zuid	ADJ	N;MASC;SG
zuid	sur	zuid	sur	ADJ	N;MASC;SG
kleine	small	klein	small	ADJ	N
kleine	poco	klein	poco	ADJ	ADV
kleine	little	klein	little	ADJ	N
eens	once	eens	once	ADV	NUM;PL
zien	see	zien	ser	V;NFIN	
mogelijk	posiblemente	mogelijk	posiblemente	ADJ	ADV
wil	wil	willen	wil	V;SG;PRS;FIN	PROPN
wil	want	willen	want	V;SG;PRS;FIN	N
wil	quieren	willen	querer	V;SG;PRS;FIN	V;IND;PL;3;PRS;FIN
moeten	deben	moeten	deber	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
moeten	debe	moeten	deber	V;PL;PRS;FIN	V;IND;SG;3;PRS;FIN
moeten	mosto	moeten	mosto	V;PL;PRS;FIN	N;MASC;SG
nam	tomaron	nemen	tomar	V;SG;PST;FIN	V;IND;PL;3;PST;FIN
nam	nam	nemen	nam	V;SG;PST;FIN	
lijkt	parece	lijken	parecer	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
lijkt	aparece	lijken	aparecer	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
lijkt	miradas	lijken	mirada	V;SG;PRS;FIN	N;FEM;PL
lijkt	aspecto	lijken	aspecto	V;SG;PRS;FIN	N;MASC;SG
lijkt	parece	lijken	parecer	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
lijkt	looks	lijken	look	V;SG;PRS;FIN	N;MASC;PL
verenigde	united	verenigen	united	V;V.PTCP	N;SG
verenigde	unidos	verenigen	unido	V;V.PTCP	ADJ;MASC;PL;V.PTCP
verenigde	unido	verenigen	unido	V;V.PTCP	ADJ;MASC;SG;V.PTCP
verenigde	unida	verenigen	unido	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gezien	visto	zien	visto	V;V.PTCP	ADJ;MASC;SG;V.PTCP
begin	empezar	begin	empezar	N;NEUT;SG	V;NFIN
begin	comenzar	begin	comenzar	N;NEUT;SG	V;NFIN
begin	empezar	begin	empezar	N;NEUT;SG	V;NFIN
begin	empezando	begin	empezar	N;NEUT;SG	V;V.MSDR
begin	comenzando	begin	comenzar	N;NEUT;SG	V;V.MSDR
till	asta	till	aste	N;MASC+FEM;SG	
spelen	play	spelen	play	V;NFIN	N
volkstelling	censos	volkstelling	censo	N;MASC+FEM;SG	N;MASC;PL
officiële	funcionario	officeel	funcionario	ADJ	N;MASC;SG
officiële	official	officeel	official	ADJ	N
officiële	funcionaria	officeel	funcionaria	ADJ	N;FEM;SG
belgië	bélgica	belgiën	bélgico	PROPN;NEUT;SG	N;FEM;SG
begon	iniciada	beginnen	iniciado	V;SG;PST;FIN	ADJ;FEM;SG;V.PTCP
begon	iniciado	beginnen	iniciado	V;SG;PST;FIN	ADJ;MASC;SG;V.PTCP
beide	ambos	beide	ambos	PRO	NUM;MASC;PL
beide	ambas	beide	ambos	PRO	NUM;FEM;PL
beide	tanto	beide	tanto	PRO	ADV
bezocht	visitadas	bezoeken	visitado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
bezocht	visitados	bezoeken	visitado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
bezocht	visitada	bezoeken	visitado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
bezocht	visitado	bezoeken	visitar	V;V.PTCP	ADJ;MASC;SG;V.PTCP
nieuw	novedad	nieuw	novedad	ADJ	N;FEM;SG
nieuw	novedades	nieuw	novedad	ADJ	N;FEM;PL
nummer	song	nummer	song	N;MASC+FEM;SG	PROPN
lang	lang	lang	lang	ADJ	PROPN
lang	long	lang	long	ADJ	
beste	best	goed	best	ADJ;RL	N;MASC;SG
beste	mejor	goed	mejor	ADJ;RL	ADV
apr	apr	apr	apr	N;MASC+FEM;SG	
vinden	hallazgo	vinden	hallazgo	V;NFIN	N;MASC;SG
vinden	hallazgo	vinden	hallazgo	V;NFIN	N;MASC;SG
noord	noord	noord	noord	N;NEUT;SG	N;MASC;PL
john	juan	john	juan	N;MASC+FEM;SG	PROPN
john	john	john	john	N;MASC+FEM;SG	PROPN
aug	ago	aug	ago	N;MASC+FEM;SG	
frankrijk	francia	frankrijk	francia	PROPN;NEUT;SG	PROPN
frankrijk	france	frankrijk	france	PROPN;NEUT;SG	N;FEM;SG
west	occidental	west	occidental	N;MASC+FEM;SG	ADJ;SG
soorten	especie	soort	especie	N;PL	N;FEM;SG
dec	dec	dec	dec	N;MASC+FEM;SG	
dec	dic	dec	decir	N;MASC+FEM;SG	
boven	arriba	boven	arriba	ADP	ADV
boven	arriba	boven	arriba	ADP	ADV
boven	supra	boven	supro	ADP	
beschreven	descrito	beschrijven	descrito	V;V.PTCP	ADJ;MASC;SG;V.PTCP
beschreven	descrita	beschrijven	descrito	V;V.PTCP	ADJ;FEM;SG;V.PTCP
beschreven	descritos	beschrijven	descrito	V;V.PTCP	ADJ;MASC;PL;V.PTCP
jun	jun	jun	jun	N;MASC+FEM;SG	
gebouwd	construidos	bouwen	construido	V;V.PTCP	ADJ;MASC;PL;V.PTCP
gebouwd	construido	bouwen	construido	V;V.PTCP	ADJ;MASC;SG;V.PTCP
gebouwd	construida	bouwen	construido	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gebouwd	construidos	bouwen	construido	V;V.PTCP	ADJ;MASC;PL;V.PTCP
gebouwd	construido	bouwen	construido	V;V.PTCP	ADJ;MASC;SG;V.PTCP
