eagle	kartal	eagle	kartal	ADJ;POS	
poranění	yaraları	poranění	yara	N;NOM;NEUT;SG;POS	N;NOM;PL;3
poranění	yaralar	poranění	yara	N;NOM;NEUT;SG;POS	N;NOM;PL;3
poranění	yaralanmalar	poranění	yaralan	N;NOM;NEUT;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
poranění	yaralılar	poranění	yaralı	N;NOM;NEUT;SG;POS	N;NOM;PL;3
kytary	gitar	kytara	gitar	N;NOM;FEM;PL;POS	
eds	eds	eds	eds	PROPN;FEM;POS	
marina	marina	marina	marina	N;NOM;FEM;SG;POS	N;DAT;SG;3
akt	acp	akt	acp	N;INAN;NOM;MASC;SG;POS	
ltd	ltd	ltd	ltd	PROPN;NOM;MASC;SG;POS	
teplé	ilık	teplý	ilık	ADJ;NOM;NEUT;SG;POS	
teplé	sıcacık	teplý	sıcacık	ADJ;NOM;NEUT;SG;POS	
teplé	sıcak	teplý	sıcak	ADJ;NOM;NEUT;SG;POS	
španělsky	ispanyollar	španělsky	ispanyol	ADV;POS	N;NOM;PL;3
španělsky	ispanyol	španělsky	ispanyol	ADV;POS	
španělsky	ispanyolca	španělsky	ispanyolca	ADV;POS	
ekologické	çevre	ekologický	çevre	ADJ;NOM;MASC;SG;POS	
ekologické	çevresel	ekologický	çevresel	ADJ;NOM;MASC;SG;POS	
ekologické	ekolojik	ekologický	ekolojik	ADJ;NOM;MASC;SG;POS	
ekologické	organik	ekologický	organik	ADJ;NOM;MASC;SG;POS	
obal	ambalaj	obal	ambalaj	N;INAN;NOM;MASC;SG;POS	
obal	paketleme	obal	paketle	N;INAN;NOM;MASC;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
obal	koru	obal	koru	N;INAN;NOM;MASC;SG;POS	
obal	kapak	obal	kapak	N;INAN;NOM;MASC;SG;POS	
roků	yıllarca	rok	yıllarca	N;INAN;GEN;MASC;PL;POS	ADV
roků	yıllardır	rok	yıl	N;INAN;GEN;MASC;PL;POS	V;IPFV;IND;PL;3;POS
roků	yıllar	rok	yıl	N;INAN;GEN;MASC;PL;POS	N;NOM;PL;3
roků	seneler	rok	sene	N;INAN;GEN;MASC;PL;POS	
partnerství	ortaklığı	partnerství	ortaklık	N;NOM;NEUT;SG;POS	N;ACC;SG;3
partnerství	ortaklıklar	partnerství	ortaklık	N;NOM;NEUT;SG;POS	N;NOM;PL;3
napsáno	yazılmış	napsaný	yaz	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
napsáno	yazıldı	napsaný	yaz	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST;PASS
napsáno	yazan	napsaný	yaz	ADJ;NEUT;SG;POS;V.PTCP;PASS	
napsáno	yazılı	napsaný	yazılı	ADJ;NEUT;SG;POS;V.PTCP;PASS	
napsáno	yazılan	napsaný	yaz	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
autobus	otobüsle	autobus	otobüsle	N;INAN;NOM;MASC;SG;POS	N;INS;SG;3
vlád	hükümetler	vláda	hükümet	N;GEN;FEM;PL;POS	N;NOM;PL;3
rámec	kare	rámec	kare	N;INAN;NOM;MASC;SG;POS	
krásný	guzel	krásný	guzel	ADJ;INAN;NOM;MASC;SG;POS	
krásný	beautiful	krásný	beautiful	ADJ;INAN;NOM;MASC;SG;POS	
krásný	güzelim	krásný	güzelim	ADJ;INAN;NOM;MASC;SG;POS	
instrukce	talimat	instrukce	talimat	N;NOM;FEM;PL;POS	
instrukce	öğretim	instrukce	öğretim	N;NOM;FEM;PL;POS	N;NOM;SG;3
instrukce	talimat	instrukce	talimat	N;NOM;FEM;PL;POS	
chovu	üreme	chov	üre	N;INAN;GEN;MASC;SG;POS	V;PFV;NOM;IND;NEG;PRS;V.MSDR
změněn	değiştirilmiş	změněný	değiş	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
front	öne	fronta	ön	PROPN;INAN;NOM;MASC;SG;POS	
front	cephe	fronta	cephe	PROPN;INAN;NOM;MASC;SG;POS	
front	ön	fronta	ön	PROPN;INAN;NOM;MASC;SG;POS	
diego	diego	diego	diego	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;NOM;SG;3
werner	werner	werner	werner	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;NOM;SG;3
dáma	dama	dáma	dama	N;NOM;FEM;SG;POS	
dáma	lady	dáma	lady	N;NOM;FEM;SG;POS	
dáma	hanım	dáma	hanım	N;NOM;FEM;SG;POS	
dáma	bayan	dáma	bayan	N;NOM;FEM;SG;POS	
stb	stb	stb	stb	PROPN;FEM;POS	
komunistická	komünist	komunistický	komünist	ADJ;NOM;FEM;SG;POS	
experiment	deney	experiment	deney	N;INAN;NOM;MASC;SG;POS	
richter	richter	richter	rich	PROPN;ANIM;NOM;MASC;SG;POS	
atentát	suikast	atentát	suikast	N;INAN;NOM;MASC;SG;POS	
snížit	düşüş	snížit	düşüş	V;PFV;POS;NFIN	
snížit	azalma	snížit	azal	V;PFV;POS;NFIN	
discovery	keşfi	discovery	keşif	PROPN;FEM;POS	
discovery	keşif	discovery	keşif	PROPN;FEM;POS	
discovery	discovery	discovery	discovery	PROPN;FEM;POS	N;NOM;SG;3
grafika	grafik	grafika	grafik	N;NOM;FEM;SG;POS	
grafika	grafik	grafika	grafik	N;NOM;FEM;SG;POS	
vyučování	öğretme	vyučování	öğretme	N;NOM;NEUT;SG;POS	
úkolů	görevler	úkol	görev	N;INAN;GEN;MASC;PL;POS	N;NOM;PL;3
kirk	kirk	kirk	kirk	N;ANIM;NOM;MASC;SG;POS	
jarmila	jarmila	jarmila	jarmila	PROPN;NOM;FEM;SG;POS	
hlasovací	oylama	hlasovací	oyla	ADJ;NOM;MASC;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
hlasovací	oy	hlasovací	oy	ADJ;NOM;MASC;SG;POS	N;NOM;SG;3
podzemí	yeraltı	podzemí	yeraltı	N;NOM;NEUT;SG;POS	
podzemí	yeraltında	podzemí	yeraltı	N;NOM;NEUT;SG;POS	N;ESS;SG;3
identity	kimlikleri	identita	kimlik	N;NOM;FEM;SG;POS	N;ACC;PL;3
identity	kimlikler	identita	kimlik	N;NOM;FEM;SG;POS	N;NOM;PL;3
hráz	dam	hráz	dam	N;NOM;FEM;SG;POS	
hráz	baraj	hráz	baraj	N;NOM;FEM;SG;POS	
hráz	leke	hráz	lek	N;NOM;FEM;SG;POS	
ukázala	gösterdi	ukázat	göster	V;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
blokování	engelleme	blokování	engelle	N;NOM;NEUT;SG;POS	
blokování	engelle	blokování	engel	N;NOM;NEUT;SG;POS	
blokování	blok	blokování	blok	N;NOM;NEUT;SG;POS	
blokování	block	blokování	block	N;NOM;NEUT;SG;POS	
blokování	engelleme	blokování	engelle	N;NOM;NEUT;SG;POS	
ponorka	alt	ponorka	alt	N;NOM;FEM;SG;POS	
smíšený	karışık	smíšený	karışık	ADJ;INAN;NOM;MASC;SG;POS	
kritizoval	eleştirdi	kritizovat	eleştir	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
plošina	platform	plošina	platform	N;NOM;FEM;SG;POS	
sedí	oturuyorum	sedět	otur	V;IND;SG;3;POS;PRS;FIN;ACT	V;PROG;IND;SG;1;POS;INFM;PRS
hladina	düzey	hladina	düzey	N;NOM;FEM;SG;POS	
hladina	seviye	hladina	sev	N;NOM;FEM;SG;POS	
pruský	prusya	pruský	prusya	ADJ;ANIM;NOM;MASC;SG;POS	PROPN;NOM;SG;3
uložen	saklanır	uložený	saklan	ADJ;MASC;SG;POS;V.PTCP;PASS	V;IPFV;IND;SG;3;POS;PASS
svatební	düğün	svatební	düğün	ADJ;NOM;MASC;SG;POS	
svatební	nikah	svatební	nikah	ADJ;NOM;MASC;SG;POS	
svatební	evlilik	svatební	evlilik	ADJ;NOM;MASC;SG;POS	N;NOM;SG;3
udržuje	tutar	udržovat	tut	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	
abecedy	alfabesi	abeceda	alfabe	N;NOM;FEM;PL;POS	N;NOM;SG;3
povinné	zorunlu	povinný	zorunlu	ADJ;NOM;NEUT;SG;POS	
povinné	mecburi	povinný	mecburi	ADJ;NOM;NEUT;SG;POS	
povinné	zorunlu	povinný	zorunlu	ADJ;NOM;NEUT;SG;POS	
povinné	mecburi	povinný	mecburi	ADJ;NOM;NEUT;SG;POS	
ústní	ağız	ústní	ağız	ADJ;NOM;MASC;SG;POS	
ústní	sözlü	ústní	sözlü	ADJ;NOM;MASC;SG;POS	
ústní	oral	ústní	oral	ADJ;NOM;MASC;SG;POS	
dně	altta	dno	altta	N;NOM;NEUT;SG;POS	
dně	alt	dno	alt	N;NOM;NEUT;SG;POS	
dně	alttaki	dno	alttaki	N;NOM;NEUT;SG;POS	
dně	dibi	dno	dibi	N;NOM;NEUT;SG;POS	
dně	dibe	dno	dibe	N;NOM;NEUT;SG;POS	
řecká	yunanlı	řecký	yunanlı	ADJ;NOM;FEM;SG;POS	
řecká	yunan	řecký	yunan	ADJ;NOM;FEM;SG;POS	
řecká	yunanca	řecký	yunanca	ADJ;NOM;FEM;SG;POS	V;PFV;IND;POS;PRS;PASS
kapacitu	kapasite	kapacita	kapasit	N;ACC;FEM;SG;POS	
kapacitu	kapasitesi	kapacita	kapasite	N;ACC;FEM;SG;POS	N;NOM;SG;3
odolnost	direnç	odolnost	direnç	N;NOM;FEM;SG;POS	
odolnost	direnç	odolnost	direnç	N;NOM;FEM;SG;POS	
připojit	ekle	připojit	ekil	V;PFV;POS;NFIN	
připojit	katıl	připojit	katıl	V;PFV;POS;NFIN	
připojit	bağla	připojit	bağla	V;PFV;POS;NFIN	
připojit	bağlan	připojit	bağlan	V;PFV;POS;NFIN	
připojit	ekle	připojit	ekil	V;PFV;POS;NFIN	
zajímavý	ilginç	zajímavý	ilginç	ADJ;INAN;NOM;MASC;SG;POS	
zajímavý	enteresan	zajímavý	enteresan	ADJ;INAN;NOM;MASC;SG;POS	
classic	klasik	classic	klasik	N;INAN;NOM;MASC;SG;POS	
vyhrát	kazanın	vyhrát	kaza	V;POS;NFIN	N;GEN;SG;3
vyhrát	galibiyet	vyhrát	galibiyet	V;POS;NFIN	N;NOM;SG;3
vyhrát	kazan	vyhrát	kazan	V;POS;NFIN	
jídla	yiyecek	jídlo	yiyecek	N;NOM;NEUT;PL;POS	
jídla	gıda	jídlo	gıda	N;NOM;NEUT;PL;POS	
jídla	yemek	jídlo	yemek	N;NOM;NEUT;PL;POS	N;NOM;SG;3
turistika	turizm	turistika	turizm	N;NOM;FEM;SG;POS	
turistika	yürüyüş	turistika	yürüyüş	N;NOM;FEM;SG;POS	
rozhovory	konuşmalar	rozhovor	konuş	N;INAN;NOM;MASC;PL;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
rozhovory	röportaj	rozhovor	röportaj	N;INAN;NOM;MASC;PL;POS	
rozhovory	mülakat	rozhovor	mülakat	N;INAN;NOM;MASC;PL;POS	N;NOM;SG;3
rozhovory	konuşuyor	rozhovor	konuş	N;INAN;NOM;MASC;PL;POS	V;PROG;IND;SG;3;POS;INFM;PRS
rozhovory	konuşur	rozhovor	konuş	N;INAN;NOM;MASC;PL;POS	
plánované	planlı	plánovaný	planlı	ADJ;NOM;NEUT;SG;POS	
plánované	planlanan	plánovaný	planla	ADJ;NOM;NEUT;SG;POS	V;PFV;IND;POS;PRS;V.PTCP;PASS
plánované	planlanmış	plánovaný	planla	ADJ;NOM;NEUT;SG;POS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
plánované	planlandı	plánovaný	planla	ADJ;NOM;NEUT;SG;POS	V;PFV;IND;SG;3;POS;PST;PASS
kfar	kfar	kfar	kfar	PROPN;INAN;NOM;MASC;SG;POS	
radost	sevinç	radost	sevinç	N;NOM;FEM;SG;POS	
radost	joy	radost	joy	N;NOM;FEM;SG;POS	
radost	keyif	radost	keyif	N;NOM;FEM;SG;POS	
radost	neşe	radost	neş	N;NOM;FEM;SG;POS	
radost	mutluluklar	radost	mutluluk	N;NOM;FEM;SG;POS	N;NOM;PL;3
radost	mutlu	radost	mutlu	N;NOM;FEM;SG;POS	ADJ
radost	happy	radost	happy	N;NOM;FEM;SG;POS	
office	büro	office	büro	N;NOM;FEM;SG;POS	
office	office	office	office	N;NOM;FEM;SG;POS	
office	ofis	office	ofis	N;NOM;FEM;SG;POS	
odměny	ödül	odměna	ödül	N;NOM;FEM;PL;POS	
dostatečné	yeterli	dostatečný	yeterli	ADJ;NOM;NEUT;SG;POS	
dědice	mirasçı	dědic	mirasçı	N;ANIM;NOM;MASC;SG;POS	
dědice	vâris	dědic	vâris	N;ANIM;NOM;MASC;SG;POS	
dědice	varis	dědic	varis	N;ANIM;NOM;MASC;SG;POS	
ukázat	şov	ukázat	şov	V;POS;NFIN	
ukázat	gösteri	ukázat	göster	V;POS;NFIN	
ukázat	show	ukázat	show	V;POS;NFIN	
impérium	empire	impérium	empir	N;NOM;NEUT;SG;POS	
podrobně	ayrıntılı	podrobně	ayrıntılı	ADV;POS	
podrobně	detaylı	podrobně	detaylı	ADV;POS	
dopisy	mektup	dopis	mektup	N;INAN;NOM;MASC;PL;POS	N;NOM;SG;3
dopisy	harf	dopis	harf	N;INAN;NOM;MASC;PL;POS	
roberto	roberta	roberto	roberta	PROPN;ANIM;NOM;MASC;SG;POS	
roberto	roberto	roberto	roberto	PROPN;ANIM;NOM;MASC;SG;POS	
ledu	buz	led	buz	N;INAN;GEN;MASC;SG;POS	
ledu	ice	led	ice	N;INAN;GEN;MASC;SG;POS	
prozatímní	geçici	prozatímní	geçici	ADJ;NOM;MASC;SG;POS	
prozatímní	geçici	prozatímní	geçici	ADJ;NOM;MASC;SG;POS	
obilí	tahıl	obilí	tahıl	N;NOM;NEUT;SG;POS	
obilí	buğday	obilí	buğday	N;NOM;NEUT;SG;POS	
odborník	uzman	odborník	uzman	N;ANIM;NOM;MASC;SG;POS	
odborník	uzman	odborník	uzman	N;ANIM;NOM;MASC;SG;POS	
portály	portal	portál	portal	N;INAN;NOM;MASC;PL;POS	
deklarace	ilanı	deklarace	ilan	N;NOM;FEM;SG;POS	N;ACC;SG;3
deklarace	beyan	deklarace	beyan	N;NOM;FEM;SG;POS	
deklarace	bildiri	deklarace	bildiri	N;NOM;FEM;SG;POS	
upravené	düzenledi	upravený	düzenle	ADJ;NOM;MASC;PL;POS	V;PFV;IND;SG;3;POS;PST
upravené	düzenlendi	upravený	düzenle	ADJ;NOM;MASC;PL;POS	V;PFV;IND;SG;3;POS;PST;PASS
upravené	ayarlandı	upravený	ayarla	ADJ;NOM;MASC;PL;POS	V;PFV;IND;SG;3;POS;PST;PASS
upravené	modifiye	upravený	modif	ADJ;NOM;MASC;PL;POS	N;DAT;SG;3
upravené	değiştirilmiş	upravený	değiş	ADJ;NOM;MASC;PL;POS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
upravené	değiştirildi	upravený	değiş	ADJ;NOM;MASC;PL;POS	V;PFV;IND;SG;3;POS;PST;PASS
upravené	özelleştirilmiş	upravený	özelleş	ADJ;NOM;MASC;PL;POS	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS
přidání	ilave	přidání	ilave	N;NOM;NEUT;SG;POS	
přidání	ek	přidání	ek	N;NOM;NEUT;SG;POS	
přidání	ekleme	přidání	ekle	N;NOM;NEUT;SG;POS	
přidání	eklemek	přidání	ekle	N;NOM;NEUT;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
přidání	ekleyin	přidání	ekle	N;NOM;NEUT;SG;POS	V;PFV;IMP;PL;2;POS;PRS
přidání	ekle	přidání	ekil	N;NOM;NEUT;SG;POS	
přidání	ekleme	přidání	ekle	N;NOM;NEUT;SG;POS	
náměstek	vekil	náměstek	vekil	N;ANIM;NOM;MASC;SG;POS	
náměstek	yardımcı	náměstek	yardımcı	N;ANIM;NOM;MASC;SG;POS	
plod	fetüs	plod	fetüs	N;INAN;NOM;MASC;SG;POS	
instalace	tesisler	instalace	tesis	N;NOM;FEM;SG;POS	N;NOM;PL;3
instalace	yüklemeleri	instalace	yükle	N;NOM;FEM;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
instalace	yükleme	instalace	yükle	N;NOM;FEM;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
instalace	montaj	instalace	montaj	N;NOM;FEM;SG;POS	
instalace	yükleyin	instalace	yükle	N;NOM;FEM;SG;POS	V;PFV;IMP;PL;2;POS;PRS
instalace	yükle	instalace	yükle	N;NOM;FEM;SG;POS	
instalace	yükleme	instalace	yükle	N;NOM;FEM;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
chlapci	gençler	chlapec	genç	N;ANIM;NOM;MASC;PL;POS	ADJ;NOM;PL;3
organické	organik	organický	organik	ADJ;NOM;MASC;SG;POS	
revize	sürüm	revize	sürü	N;NOM;FEM;SG;POS	
revize	revizyon	revize	revizyon	N;NOM;FEM;SG;POS	
indiana	indiana	indiana	indian	PROPN;NOM;FEM;SG;POS	
morální	manevi	morální	manevi	ADJ;NOM;MASC;SG;POS	
morální	ahlak	morální	ahlak	ADJ;NOM;MASC;SG;POS	N;NOM;SG;3
morální	ahlaki	morální	ahlaki	ADJ;NOM;MASC;SG;POS	
morální	moral	morální	moral	ADJ;NOM;MASC;SG;POS	
koalici	koalisyon	koalice	koalisyon	N;ACC;FEM;SG;POS	
double	ikili	double	ikili	PROPN;INAN;NOM;MASC;SG;POS	
double	çifte	double	çift	PROPN;INAN;NOM;MASC;SG;POS	
double	çift	double	çift	PROPN;INAN;NOM;MASC;SG;POS	
double	duble	double	duble	PROPN;INAN;NOM;MASC;SG;POS	
nelson	nelson	nelson	nelson	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;NOM;SG;3
utrpení	istırap	utrpení	istır	N;NOM;NEUT;SG;POS	
utrpení	izdırap	utrpení	izdır	N;NOM;NEUT;SG;POS	V;PFV;IND;POS;PRS;V.CVB;CAUS
utrpení	sefalet	utrpení	sefalet	N;NOM;NEUT;SG;POS	
utrpení	izdırap	utrpení	izdır	N;NOM;NEUT;SG;POS	V;PFV;IND;POS;PRS;V.CVB;CAUS
nářečí	lehçeleri	nářečí	lehçe	N;NOM;NEUT;SG;POS	N;ACC;PL;3
závislé	bağımlı	závislý	bağımlı	ADJ;NOM;NEUT;SG;POS	
báze	üsleri	báze	üs	N;NOM;FEM;SG;POS	N;NOM;PL;3
báze	kaleler	báze	kale	N;NOM;FEM;SG;POS	N;NOM;PL;3
báze	üs	báze	üs	N;NOM;FEM;SG;POS	
báze	baz	báze	baz	N;NOM;FEM;SG;POS	
báze	üssü	báze	üss	N;NOM;FEM;SG;POS	
báze	taban	báze	taban	N;NOM;FEM;SG;POS	
fotografování	fotoğraf	fotografování	fotoğraf	N;NOM;NEUT;SG;POS	
vysoko	high	vysoko	high	ADV;POS	
vysoko	yükseklerde	vysoko	yüksek	ADV;POS	ADJ;ESS;PL;3
vysoko	çak	vysoko	çak	ADV;POS	
vysoko	yükseğe	vysoko	yüksek	ADV;POS	
vysoko	yüksek	vysoko	yüksek	ADV;POS	ADJ
sadu	orchard	sada	orchard	N;ACC;FEM;SG;POS	PROPN;NOM;SG;3
ken	ken	ken	i	PROPN;ANIM;NOM;MASC;SG;POS	V;PFV;IND;PRS;V.CVB
luigi	luigi	luigi	luigi	PROPN;ANIM;NOM;MASC;SG;POS	
rozšířený	uzamış	rozšířený	uza	ADJ;INAN;NOM;MASC;SG;POS	V;PFV;NFH;IND;SG;3;POS;PST
dobýt	ele	dobýt	el	V;POS;NFIN	N;DAT;SG;3
získávání	edinme	získávání	edin	N;NOM;NEUT;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
vlastník	sahibinden	vlastník	sahip	N;ANIM;NOM;MASC;SG;POS	N;AT+ABL;SG;3
politiků	politikacılar	politik	politikacı	N;ANIM;GEN;MASC;PL;POS	N;NOM;PL;3
politiků	politikacı	politik	politikacı	N;ANIM;GEN;MASC;PL;POS	
politiků	siyasiler	politik	siyasi	N;ANIM;GEN;MASC;PL;POS	N;NOM;PL;3
střela	vuruldu	střela	vur	N;NOM;FEM;SG;POS	V;PFV;IND;SG;3;POS;PST
střela	atış	střela	atış	N;NOM;FEM;SG;POS	
střela	vurdu	střela	vur	N;NOM;FEM;SG;POS	V;PFV;IND;SG;3;POS;PST
střela	füze	střela	füz	N;NOM;FEM;SG;POS	
ptáky	kuşlar	pták	kuş	N;ANIM;ACC;MASC;PL;POS	N;NOM;PL;3
hluboko	derine	hluboko	derin	ADV;POS	
hluboko	derin	hluboko	derin	ADV;POS	
hluboko	deep	hluboko	deep	ADV;POS	
hluboko	derinden	hluboko	derin	ADV;POS	ADJ;AT+ABL;SG;3
