yang	יאנג	yang	אנג	PRO	PROPN
negara	מדינות	negara	מדינה	N;SG	N;FEM;PL
negara	ארצי	negara	ארצי	N;SG	PROPN
negara	המדינה	negara	המדין	N;SG	V;FEM;SG;3;PST;ACT
negara	מדינות	negara	מדינה	N;SG	N;FEM;PL
negara	ארצות	negara	ארץ	N;SG	N;FEM;PL
kemudian	ואז	kemudian	ואז	ADV	
banyak	רבות	banyak	רב	ADV	N;FEM;PL
banyak	רבים	banyak	רב	ADV	V;MASC;PL;V.PTCP;ACT
kabupaten	המחוז	kabupaten	המחוז	N;SG	
kabupaten	מחוזות	kabupaten	מחוז	N;SG	N;MASC;PL
dia	דיה	dia	די	PRO	
kumbang	חיפושית	kumbang	חיפושי	N	ADV
lalat	לעוף	lalat	לעוף	N;SG	
lalat	טוס	lalat	טס	N;SG	
lalat	פליי	lalat	הפליי	N;SG	PROPN
lalat	זבובים	lalat	זבוב	N;SG	N;MASC;PL
familia	פמיליה	familia	פמיליה	PROPN	PROPN
isi	למלא	isi	מילא	N;SG	V;NFIN;ACT
daftar	הרשימה	daftar	הרשים	N;SG	V;FEM;SG;3;PST;ACT
baru	חדשים	baru	חדש	ADJ;SG	ADJ;MASC;PL
antara	אנטרה	antara	אנטרה	ADP	PROPN
barat	המערב	barat	המערב	N;SG	PROPN
barat	ווסט	barat	וסט	N;SG	PROPN
barat	מערבה	barat	מערבה	N;SG	ADV
barat	וסט	barat	וסט	N;SG	PROPN
barat	המערבי	barat	המערבי	N;SG	PROPN
barat	מערבי	barat	מערבי	N;SG	PROPN
namun	אולם	namun	אולם	CONJ	CONJ
wilayah	האזור	wilayah	האזור	N;SG	PROPN
wilayah	אזורים	wilayah	אזור	N;SG	N;MASC;PL
wilayah	אזורי	wilayah	אזור	N;SG	N;MASC;PL
wilayah	שטחים	wilayah	שטח	N;SG	N;MASC;PL
wilayah	השטחים	wilayah	השטח	N;SG	N;MASC;PL
tanggal	תאריך	tanggal	תאריך	N;SG;ACT	PROPN
tanggal	התאריך	tanggal	התאריך	N;SG;ACT	ADV
tanggal	דייט	tanggal	דייט	N;SG;ACT	PROPN
tanggal	תאריכים	tanggal	תאריך	N;SG;ACT	N;MASC;PL
dunia	העולם	dunia	העולם	N;SG	
dunia	עולמות	dunia	עולם	N;SG	N;MASC;PL
timur	מזרחה	timur	מזרחה	N;SG	ADV
timur	המזרח	timur	המזרח	N;SG	PROPN
timur	איסט	timur	איסט	N;SG	PROPN
timur	טימור	timur	טימור	N;SG	PROPN
timur	המזרחי	timur	המזרח	N;SG	PROPN
tempat	המקום	tempat	המקום	N;SG	
tempat	מקומות	tempat	מקום	N;SG	N;MASC;PL
tempat	למקומות	tempat	למקום	N;SG	
para	para	para	para	DET	
selatan	דרומי	selatan	דרומי	N;SG	PROPN
selatan	דרומית	selatan	דרומי	N;SG	ADV
selatan	הדרומי	selatan	הדרום	N;SG	PROPN
selatan	דרומה	selatan	דרומה	N;SG	
selatan	הדרום	selatan	הדרום	N;SG	
amerika	אמריקאים	amerika	אמריקני	PROPN;SG	N;MASC;PL
amerika	אמריקני	amerika	אמריקני	PROPN;SG	PROPN
amerika	אמריקאית	amerika	אמריקני	PROPN;SG	ADV
amerika	אמריקאי	amerika	אמריקני	PROPN;SG	ADJ;MASC;SG
amerika	אמריקה	amerika	אמריקה	PROPN;SG	PROPN
atas	עליון	atas	עליון	ADP;SG	ADJ;MASC;SG
atas	העליונה	atas	העליונה	ADP;SG	PROPN
kingdom	ממלכה	kingdom	ממלכה	PROPN	N;FEM;SG
kingdom	הממלכה	kingdom	הממלך	PROPN	PROPN
september	ספטמבר	september	ספטמבר	N;SG	PROPN
mei	במאי	mei	במאי	PROPN;SG	N;MASC;SG
mei	מיי	mei	מיי	PROPN;SG	
mei	מאי	mei	מאי	PROPN;SG	PROPN
anak	אהרי	anak	אהרי	N;SG	
anak	בני	anak	בני	N;SG	PROPN
anak	בן	anak	בן	N;SG	PROPN
anak	ילדים	anak	ילד	N;SG	N;MASC;PL
species	מין	species	מין	N	
species	זן	species	זן	N	
hidup	life	hidup	life	N;SG	
hidup	החיים	hidup	החיים	N;SG	ADV
hidup	חיים	hidup	חיים	N;SG	PROPN
hidup	בחיים	hidup	בחיים	N;SG	
hidup	חי	hidup	חי	N;SG	
lagu	השיר	lagu	השיר	N;SG	ADV
lagu	שירים	lagu	שיר	N;SG	N;MASC;PL
lagu	השירים	lagu	השיר	N;SG	N;MASC;PL
provinsi	נפה	provinsi	נפה	PROPN;SG	PROPN
provinsi	מחוז	provinsi	מחוז	PROPN;SG	N;MASC;SG
provinsi	מחוזות	provinsi	מחוז	PROPN;SG	N;MASC;PL
provinsi	אזור	provinsi	אזור	PROPN;SG	N;MASC;SG
utara	צפונה	utara	צפון	PROPN;SG	ADV
utara	הצפון	utara	הצפון	PROPN;SG	PROPN
utara	צפון	utara	צפון	PROPN;SG	N;MASC;SG
utara	צפון	utara	צפון	PROPN;SG	N;MASC;SG
jawa	java	jawa	java	PROPN;SG	PROPN
daerah	אזורים	daerah	אזור	N;SG	N;MASC;PL
daerah	אזורי	daerah	אזור	N;SG	N;MASC;PL
daerah	האזור	daerah	האזור	N;SG	PROPN
daerah	המחוז	daerah	המחוז	N;SG	
daerah	מקטע	daerah	מקטע	N;SG	
sekolah	לימודים	sekolah	לימודים	N;SG	N;MASC;PL
hanya	פשוט	hanya	פשוט	ADV	
air	מיים	air	מיים	N;SG	PROPN
air	מים	air	מים	N;SG	N;MASC;PL
air	ווטרס	air	ווטרס	N;SG	PROPN
air	אייר	air	אייר	N;SG	PROPN
air	אויר	air	אויר	N;SG	PROPN
terletak	אותרה	terletak	אותר	V;SG;PASS	PROPN
terletak	שקרים	terletak	שקר	V;SG;PASS	N;MASC;PL
hari	day	hari	day	N;SG	
hari	ימים	hari	יום	N;SG	N;MASC;PL
hari	ימי	hari	יום	N;SG	PROPN
hari	הימים	hari	הימה	N;SG	N;MASC;PL
digunakan	בשימוש	digunakan	בשימוש	V;SG;PASS	PROPN
kali	קאלי	kali	קאלי	N;SG	PROPN
kali	הזמן	kali	הזמן	N;SG	
kali	טיים	kali	טיים	N;SG	PROPN
kali	פעמים	kali	פעם	N;SG	N;FEM;PL
kali	הטיימס	kali	הטיימס	N;SG	PROPN
kali	טיימס	kali	טיימס	N;SG	PROPN
kali	זמנים	kali	זמן	N;SG	N;MASC;PL
sama	שווים	sama	שווה	ADJ;SG	ADJ;MASC;PL
sama	שווה	sama	שווה	ADJ;SG	PROPN
ketika	מתי	ketika	מתי	CONJ	ADV
sangat	בחוזקה	sangat	בחוזקה	ADV	PROPN
album	האלבום	album	האלבום	N;SG	PROPN
album	אלבומים	album	אלבום	N;SG	N;MASC;PL
hal	דברים	hal	דבר	N;SG	N;MASC;PL
hal	הל	hal	הל	N;SG	
hal	האל	hal	האל	N;SG	
hal	דברים	hal	דבר	N;SG	N;MASC;PL
jepang	יפן	jepang	יפן	PROPN;SG	PROPN
jepang	יפני	jepang	יפני	PROPN;SG	PROPN
jepang	יפנית	jepang	יפני	PROPN;SG	PROPN
jepang	יפנים	jepang	יפנים	PROPN;SG	N;MASC;PL
panjang	אורך	panjang	אורך	ADJ;SG	
panjang	האורך	panjang	האורך	ADJ;SG	PROPN
panjang	לונג	panjang	לונג	ADJ;SG	PROPN
selama	במהלך	selama	במהלך	ADP	ADV
kedua	שנית	kedua	שנית	NUM	
kedua	שנית	kedua	שנית	NUM	
tengah	סנטרל	tengah	סנטרל	PROPN;SG	PROPN
tengah	מרכזית	tengah	מרכזי	PROPN;SG	ADV
tengah	מרכז	tengah	מרכז	PROPN;SG	N;MASC;SG
tengah	מרכזי	tengah	מרכזי	PROPN;SG	ADJ;MASC;SG
tengah	המרכז	tengah	המרכז	PROPN;SG	PROPN
tengah	מרכז	tengah	מרכז	PROPN;SG	N;MASC;SG
tengah	אמצע	tengah	אמצע	PROPN;SG	N;MASC;SG
tengah	ביניים	tengah	ביניים	PROPN;SG	
tengah	התיכון	tengah	התיכון	PROPN;SG	PROPN
tengah	האמצע	tengah	האמצע	PROPN;SG	
tengah	המרכז	tengah	המרכז	PROPN;SG	PROPN
tengah	מרכז	tengah	מרכז	PROPN;SG	N;MASC;SG
tengah	סנטר	tengah	סנטר	PROPN;SG	PROPN
bisa	יכולה	bisa	יכול	ADV	V;FEM;SG;V.PTCP
bisa	יכול	bisa	None	ADV	V;MASC;SG;V.PTCP
team	צוות	team	צוות	PROPN	N;FEM;SG
team	קבוצה	team	קבוצה	PROPN	N;FEM;SG
sejak	מאז	sejak	מאז	ADP	ADV
lainnya	אחרים	lainnya	אחר	N	ADJ;MASC;PL
lainnya	אחר	lainnya	אחר	N	ADP
lainnya	אחרות	lainnya	אחר	N	ADJ;FEM;PL
lainnya	אחרים	lainnya	אחר	N	ADJ;MASC;PL
lainnya	ואחרים	lainnya	ואחר	N	PROPN
lainnya	עוד	lainnya	עוד	N	ADV
lainnya	יותר	lainnya	יותר	N	ADV
menggunakan	שימוש	mengunakan	שימוש	V;SG;ACT	N;MASC;SG
menggunakan	שימוש	mengunakan	שימוש	V;SG;ACT	N;MASC;SG
menggunakan	שימושים	mengunakan	שימושים	V;SG;ACT	N;MASC;PL
raja	המלך	raja	המלך	PROPN;SG	
raja	קינג	raja	קינג	PROPN;SG	PROPN
raja	מלך	raja	מלך	PROPN;SG	N;MASC;SG
bersama	הדדית	bersama	הדדי	ADP;SG;ACT	ADV
bersama	הדדי	bersama	הדדי	ADP;SG;ACT	PROPN
bersama	יחד	bersama	יחד	ADP;SG;ACT	ADV
bersama	ביחד	bersama	ביחד	ADP;SG;ACT	
bersama	יחדיו	bersama	יחדיו	ADP;SG;ACT	ADV
berasal	מקורו	berasal	מקור	V;SG;ACT	
berasal	שמקורם	berasal	שמקורם	V;SG;ACT	PROPN
serikat	האיחוד	serikat	האיחוד	PROPN;SG	PROPN
serikat	איגוד	serikat	איגוד	PROPN;SG	N;MASC;SG
serikat	איחוד	serikat	None	PROPN;SG	N;MASC;SG
inggris	באנגליה	inggris	באנגליה	PROPN;SG	PROPN
inggris	אנגליה	inggris	אנגליה	PROPN;SG	PROPN
inggris	אנגלית	inggris	אנגלית	PROPN;SG	PROPN
utama	ראשי	utama	ראש	ADJ;SG	N;PSSD;MASC;PL
utama	העיקרי	utama	העיקר	ADJ;SG	PROPN
disebut	ציינו	disebut	ציין	V;SG;PASS	V;PL;3;PST;ACT
disebut	הזכיר	disebut	הזכיר	V;SG;PASS	V;MASC;SG;3;PST;ACT
disebut	נקרא	disebut	נקרא	V;SG;PASS	V;MASC;SG;3;PST;MID
kembali	החזר	kembali	החזר	V;SG;ACT	PROPN
kembali	אחורה	kembali	אחורה	V;SG;ACT	ADV
kembali	בחזרה	kembali	בחזרה	V;SG;ACT	
kembali	חזרה	kembali	None	V;SG;ACT	ADV
kembali	לאחור	kembali	לאחור	V;SG;ACT	ADV
menyebabkan	גורם	mensebabkan	גורם	V;SG;ACT	N;MASC;SG
menyebabkan	גרימת	mensebabkan	גרימה	V;SG;ACT	N;FEM;SG
menyebabkan	סיבה	mensebabkan	סיבה	V;SG;ACT	N;FEM;SG
menyebabkan	גורם	mensebabkan	גורם	V;SG;ACT	N;MASC;SG
menyebabkan	סיבות	mensebabkan	סיבה	V;SG;ACT	N;FEM;PL
lihat	ראי	lihat	ראי	V;SG;ACT	
lihat	תראו	lihat	ראה	V;SG;ACT	
lihat	צפי	lihat	None	V;SG;ACT	
lihat	צפייה	lihat	צפייה	V;SG;ACT	N;FEM;SG
lihat	צפה	lihat	צפה	V;SG;ACT	PROPN
lihat	תצוגה	lihat	תצוגה	V;SG;ACT	N;FEM;SG
lihat	הצג	lihat	הצג	V;SG;ACT	
tinggi	גובה	tinggi	גובה	ADJ;SG	N;MASC;SG
waktu	הזמן	waktu	הזמן	N;SG	
waktu	טיים	waktu	טיים	N;SG	PROPN
jenis	אדיב	jenis	אדיב	N;SG	PROPN
jenis	הסוגים	jenis	הסוג	N;SG	N;MASC;PL
jenis	סוגים	jenis	סוג	N;SG	N;MASC;PL
jenis	טיפוסים	jenis	טיפוס	N;SG	N;MASC;PL
bulan	מון	bulan	מון	N;SG	PROPN
bulan	ירח	bulan	ירח	N;SG	PROPN
bulan	הירח	bulan	הירח	N;SG	PROPN
bulan	חודשים	bulan	חודש	N;SG	N;MASC;PL
bulan	חודשי	bulan	חודש	N;SG	PROPN
bulan	חודשיים	bulan	חודש	N;SG	N;MASC;DU
departemen	מחלקות	departemen	מחלקה	N;SG	N;FEM;PL
situs	אתרים	situs	אתר	N;SG	N;MASC;PL
dikenal	מוכר	dikenal	מוכר	V;SG;PASS	
dikenal	מוכרת	dikenal	מוכר	V;SG;PASS	ADJ;FEM;SG
dikenal	ידוע	dikenal	ידוע	V;SG;PASS	N;MASC;SG
dikenal	הידוע	dikenal	הידוע	V;SG;PASS	
dikenal	ידועה	dikenal	ידע	V;SG;PASS	V;FEM;SG;V.PTCP;ACT
dikenal	ידועים	dikenal	ידוע	V;SG;PASS	N;MASC;PL
laba	הרווח	laba	הרווח	N;SG	
laba	רווח	laba	רווח	N;SG	PROPN
laba	ספיידר	laba	ספיידר	N;SG	PROPN
laba	עכביש	laba	עכביש	N;SG	
membuat	צרי	menbuat	צרי	V;SG;ACT	
membuat	צור	menbuat	צור	V;SG;ACT	PROPN
membuat	הפוך	menbuat	הפוך	V;SG;ACT	
sementara	בזמן	sementara	בזמן	CONJ	PROPN
sementara	זמנית	sementara	זמנית	CONJ	ADV
sementara	זמנית	sementara	זמנית	CONJ	ADV
sementara	זמני	sementara	זמני	CONJ	
mulai	התחלה	mulai	התחלה	V;SG;ACT	N;FEM;SG
mulai	התחל	mulai	התחל	V;SG;ACT	PROPN
mulai	התחל	mulai	התחל	V;SG;ACT	PROPN
mulai	החל	mulai	None	V;SG;ACT	ADP
resmi	רישמי	resmi	רישמי	ADJ;SG	PROPN
resmi	מורשה	resmi	מורשה	ADJ;SG	V;MASC;SG;V.PTCP;PASS
resmi	מוסמך	resmi	מוסמך	ADJ;SG	V;MASC;SG;V.PTCP;PASS
sekitar	אודות	sekitar	אודות	ADP	
sekitar	סביב	sekitar	סביב	ADP	ADV
sekitar	בסביבה	sekitar	בסביבה	ADP	
sekitar	מסביב	sekitar	מסביב	ADP	
udara	אייר	udara	אייר	N;SG	PROPN
udara	אויר	udara	אויר	N;SG	PROPN
melalui	דרך	melalui	דרך	ADP	
melalui	ויה	melalui	ויה	ADP	PROPN
melalui	דרך	melalui	דרך	ADP	
nasional	לאומי	nasional	לאומי	ADJ;SG	PROPN
nasional	לאומית	nasional	לאומי	ADJ;SG	ADV
tetapi	אך	tetapi	אך	CONJ	CONJ
tetapi	אבל	tetapi	אבל	CONJ	CONJ
note	תו	note	תו	PROPN	
note	פתק	note	פתק	PROPN	
note	הערה	note	הערה	PROPN	ADV
perang	המלחמה	perang	המלחם	N;SG	PROPN
perang	המלחמות	perang	המלחמות	N;SG	N;FEM;PL
perang	מלחמות	perang	מלחמה	N;SG	N;FEM;PL
tentang	אודות	tentang	אודות	ADP;SG;ACT	
pulau	אי	pulau	אי	N;SG	ADV
pulau	האי	pulau	האי	N;SG	
pulau	האיים	pulau	האיים	N;SG	PROPN
pulau	איים	pulau	אי	N;SG	PROPN
rumah	הביתה	rumah	הביתה	N;SG	ADV
rumah	הום	rumah	הום	N;SG	
rumah	בבית	rumah	בבית	N;SG	
rumah	הבית	rumah	הבית	N;SG	ADV
rumah	home	rumah	home	N;SG	
rumah	בתים	rumah	בית	N;SG	N;MASC;PL
rumah	הבית	rumah	הבית	N;SG	ADV
rumah	האוס	rumah	האוס	N;SG	PROPN
pendidikan	חינוכית	pendidikan	חינוכי	N;SG	ADV
pendidikan	חינוכי	pendidikan	חינוכי	N;SG	ADJ;MASC;SG
laut	ימית	laut	ימית	N;SG	PROPN
laut	נחת	laut	נחת	N;SG	
laut	הים	laut	הים	N;SG	
laut	האוקיינוס	laut	האוקיינוס	N;SG	PROPN
tim	טים	tim	טים	N;SG	PROPN
tim	קבוצות	tim	קבוצה	N;SG	N;FEM;PL
tim	צוותי	tim	צוות	N;SG	N;FEM;PL
tim	צוותים	tim	צוות	N;SG	N;FEM;PL
sistem	המערכת	sistem	המערך	N;SG	
sistem	מערכות	sistem	מערכת	N;SG	N;FEM;PL
universitas	אוניברסיטאות	universitas	אוניברסיטה	PROPN;SG	N;FEM;PL
universitas	אוניברסיטה	universitas	אוניברסיטה	PROPN;SG	N;FEM;SG
universitas	האוניברסיטה	universitas	האוניברסיטה	PROPN;SG	N;FEM;SG
komune	קומונה	komune	קומונה	N	PROPN
semua	כולם	semua	None	DET	N;MASC;PL
semua	הכל	semua	הכיל	DET	N
larva	זחל	larva	זחל	N	PROPN
berbagai	שונים	berbagai	שונה	DET	ADJ;MASC;PL
seed	זרע	seed	זרע	PROPN	
selain	הצידה	selain	הצידה	ADP;SG	ADV
selain	בצד	selain	בצד	ADP;SG	
batang	בר	batang	בר	N;SG	
oktober	באוקטובר	oktober	באוקטובר	PROPN;SG	PROPN
oktober	אוקטובר	oktober	אוקטובר	PROPN;SG	PROPN
sendiri	לבדי	sendiri	לבדי	ADJ;SG	
sendiri	לבדו	sendiri	לבד	ADJ;SG	
sendiri	לבד	sendiri	לבד	ADJ;SG	
sendiri	משל	sendiri	משל	ADJ;SG	
sendiri	בעצמך	sendiri	בעצמך	ADJ;SG	ADV
sendiri	עצמך	sendiri	עצמו	ADJ;SG	PRO;MASC;SG;2;REFL
red	רד	red	רד	PROPN	PROPN
red	אדום	red	אדום	PROPN	ADJ;MASC;SG
red	אדומים	red	אדום	PROPN	N;MASC;PL
red	אדומה	red	אדום	PROPN	N;FEM;SG
center	המרכז	center	המרכז	PROPN	PROPN
center	מרכז	center	מרכז	PROPN	N;MASC;SG
center	סנטר	center	סנטר	PROPN	PROPN
matahari	השמש	matahari	השמש	N;SG	
matahari	שמש	matahari	שמש	N;SG	
matahari	סון	matahari	סון	N;SG	PROPN
matahari	סאן	matahari	סאן	N;SG	PROPN
matahari	שמשות	matahari	שמשה	N;SG	N;FEM;PL
presiden	נשיאה	presiden	נשיאה	N;SG	PROPN
presiden	הנשיא	presiden	הנשיא	N;SG	PROPN
tiga	שלשות	tiga	שלשה	NUM	N;FEM;PL
tiga	three	tiga	three	NUM	
jalan	כביש	jalan	כביש	N;SG;ACT	PROPN
musik	מוזיקלי	musik	מוזיקלי	N;SG	ADJ;MASC;SG
musik	מוסיקלי	musik	מוזיקלי	N;SG	ADJ;MASC;SG
planet	פלנטה	planet	פלנטה	N;SG	
planet	פלאנט	planet	פלאנט	N;SG	PROPN
planet	כוכבים	planet	כוכב	N;SG	N;MASC;PL
world	העולם	world	העולם	PROPN	
world	עולם	world	עולם	PROPN	N;MASC;SG
umum	כללי	umum	כלל	ADJ;SG	N;MASC;PL
umum	גנרל	umum	גנרל	ADJ;SG	N;MASC;SG
kerusakan	נזקים	kerusakan	נזק	N;SG	N;MASC;PL
kerusakan	פיצויים	kerusakan	פיצוי	N;SG	N;MASC;PL
kerusakan	נזקים	kerusakan	נזק	N;SG	N;MASC;PL
kerusakan	הנזקים	kerusakan	הנזק	N;SG	N;MASC;PL
new	חדש	new	חדש	PROPN	ADJ;MASC;SG
new	חדשה	new	חדש	PROPN	ADJ;FEM;SG
new	חדשים	new	חדש	PROPN	ADJ;MASC;PL
diakses	גישה	diakses	גישה	V;SG;PASS	N;FEM;SG
diakses	נגיש	diakses	הגיש	V;SG;PASS	ADJ;MASC;SG
diakses	נגישות	diakses	נגישה	V;SG;PASS	N;FEM;SG
belanda	הולנד	belanda	הולנד	PROPN;SG	PROPN
belanda	הולנד	belanda	הולנד	PROPN;SG	PROPN
belanda	הולנדית	belanda	הולנדי	PROPN;SG	PROPN
belanda	הולנדי	belanda	הולנדי	PROPN;SG	PROPN
belanda	ההולנדי	belanda	ההולנד	PROPN;SG	PROPN
kecil	קטנים	kecil	קטן	ADJ;SG	ADJ;MASC;PL
kecil	סמול	kecil	סמול	ADJ;SG	
kecil	קטנות	kecil	קטן	ADJ;SG	ADJ;FEM;PL
kecil	ליטל	kecil	ניטל	ADJ;SG	PROPN
kecil	קטין	kecil	קטין	ADJ;SG	N;MASC;SG
kecil	שולי	kecil	שול	ADJ;SG	
kecil	מינור	kecil	מינור	ADJ;SG	N;MASC;SG
kecil	קטנטנה	kecil	קטנטןה	ADJ;SG	ADV
kecil	קטנטן	kecil	קטנטן	ADJ;SG	PROPN
kecil	טייני	kecil	טייני	ADJ;SG	PROPN
kecil	זעיר	kecil	זעיר	ADJ;SG	
menteri	המזכירה	menteri	המזכירה	N;SG	V;FEM;SG;3;PST;ACT
menteri	המזכיר	menteri	המזכיר	N;SG	PROPN
menteri	מזכירה	menteri	הזכיר	N;SG	V;FEM;SG;V.PTCP;ACT
menteri	השר	menteri	השר	N;SG	
menteri	שרים	menteri	שר	N;SG	N;MASC;PL
menteri	השרים	menteri	השרים	N;SG	ADV
jumlah	סכומים	jumlah	סכום	N;SG	N;MASC;PL
jumlah	כמויות	jumlah	כמות	N;SG	N;FEM;PL
jumlah	הסכום	jumlah	הסכום	N;SG	
jumlah	הסכום	jumlah	הסכום	N;SG	
kata	אומרת	kata	אמר	N;SG	V;FEM;SG;V.PTCP;ACT
kata	אומר	kata	אמר	N;SG	V;MASC;SG;V.PTCP;ACT
kata	סעיד	kata	סעיד	N;SG	PROPN
kata	אמר	kata	אמר	N;SG	V;MASC;SG;3;PST;ACT
kata	מלים	kata	מילה	N;SG	N;FEM;PL
kata	מילות	kata	מילה	N;SG	N;FEM;PL
kata	מילים	kata	מילה	N;SG	N;FEM;PL
kata	קאטה	kata	קאטה	N;SG	PROPN
penduduk	תושבת	penduduk	תושבת	N;SG	V;FEM;SG;V.PTCP;ACT
penduduk	מתמחה	penduduk	התמחה	N;SG	V;MASC;SG;V.PTCP
penduduk	מתמחים	penduduk	התמחה	N;SG	V;MASC;PL;V.PTCP
penduduk	תושבים	penduduk	תושב	N;SG	N;MASC;PL
harus	אמור	harus	אמור	ADV;SG;ACT	ADJ;MASC;SG
harus	צריך	harus	צריך	ADV;SG;ACT	V;MASC;SG
harus	אמורה	harus	אמור	ADV;SG;ACT	ADJ;FEM;SG
harus	חייב	harus	חייב	ADV;SG;ACT	ADJ;MASC;SG
bawah	תחתון	bawah	תחתון	N;SG	ADJ;MASC;SG
awal	ארלי	awal	ארלי	ADJ;SG	PROPN
awal	תחילת	awal	תחילה	ADJ;SG	N;PSSD;FEM;SG
awal	מוקדם	awal	מוקדם	ADJ;SG	ADV
awal	התחלה	awal	התחלה	ADJ;SG	N;FEM;SG
awal	ההתחלה	awal	ההתחלה	ADJ;SG	V;FEM;SG;3;PST
