और	y	और	y		CONJ
उसके	su	वह	su	PRO;MASC;SG;3	DET;SG;3
उसके	su	वह	su	PRO;MASC;SG;3	DET;SG;3
उसके	her	वह	her	PRO;MASC;SG;3	N
देखें	watch	देख	watch	V;SBJV;PL;FIN;ACT	N
देखें	mira	देख	mirar	V;SBJV;PL;FIN;ACT	V;IMP;SG;2;FIN
देखें	reloj	देख	reloj	V;SBJV;PL;FIN;ACT	N;MASC;SG
देखें	véase	देख	véase	V;SBJV;PL;FIN;ACT	V;SBJV;SG;3;PRS;FIN
देखें	see	देख	ser	V;SBJV;PL;FIN;ACT	
देखें	vea	देख	ver	V;SBJV;PL;FIN;ACT	V;IMP;SG;3;FIN
देखें	vistas	देख	visto	V;SBJV;PL;FIN;ACT	ADJ;FEM;PL;V.PTCP
देखें	vista	देख	visto	V;SBJV;PL;FIN;ACT	ADJ;FEM;SG;V.PTCP
देखें	view	देख	view	V;SBJV;PL;FIN;ACT	PROPN
उत्तर	contestar	उत्तर	contestar	PROPN;NOM;MASC;SG;3	V;NFIN
उत्तर	contesta	उत्तर	contestar	PROPN;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
उत्तर	responder	उत्तर	responder	PROPN;NOM;MASC;SG;3	V;NFIN
उत्तर	respuesta	उत्तर	respuesta	PROPN;NOM;MASC;SG;3	N;FEM;SG
उत्तर	norte	उत्तर	norte	PROPN;NOM;MASC;SG;3	N;MASC;SG
उत्तर	respuestas	उत्तर	respuesta	PROPN;NOM;MASC;SG;3	N;FEM;PL
भाषा	idiomas	भाषा	idioma	N;NOM;FEM;SG;3	N;MASC;PL
भाषा	lenguas	भाषा	lengua	N;NOM;FEM;SG;3	N;FEM;PL
भाषा	idiomas	भाषा	idioma	N;NOM;FEM;SG;3	N;MASC;PL
लिये	para	ले	para	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	todas	सब	todo	PRO;NOM;3	PRO;FEM;PL
सभी	all	सब	all	PRO;NOM;3	N
सभी	todo	सब	todo	PRO;NOM;3	PRO;MASC;SG
सभी	todos	सब	todo	PRO;NOM;3	PRO;MASC;PL
प्राप्त	recibir	प्राप्त	recibir	ADJ	V;NFIN
प्राप्त	reciba	प्राप्त	recibir	ADJ	V;SBJV;SG;3;PRS;FIN
प्राप्त	reciban	प्राप्त	recibir	ADJ	V;IMP;PL;3;FIN
प्राप्त	recibe	प्राप्त	recibir	ADJ	V;IND;SG;3;PRS;FIN
इसका	sus	यह	su	PRO;MASC;SG;3	DET;PL;3
इसका	su	यह	su	PRO;MASC;SG;3	DET;SG;3
प्रयोग	experimentos	प्रयोग	experimento	N;NOM;MASC;SG;3	N;MASC;PL
प्रयोग	experimentar	प्रयोग	experimentar	N;NOM;MASC;SG;3	V;NFIN
शामिल	incluye	शामिल	incluir	ADJ	V;IND;SG;3;PRS;FIN
शामिल	incluye	शामिल	incluir	ADJ	V;IND;SG;3;PRS;FIN
शामिल	incluyen	शामिल	incluir	ADJ	V;IND;PL;3;PRS;FIN
शामिल	incluya	शामिल	incluir	ADJ	V;SBJV;SG;3;FIN
शामिल	incluyan	शामिल	incluir	ADJ	V;IMP;PL;3;FIN
शामिल	incluir	शामिल	incluir	ADJ	V;NFIN
उन्हें	ellas	वह	él	PRO;SG;3;FORM	PRO;FEM;PL;3
उन्हें	ellos	वह	él	PRO;SG;3;FORM	PRO;MASC;PL;3
उस	eso	वह	ese	DET;ACC;SG;3	PRO;SG
उस	que	वह	que	DET;ACC;SG;3	CONJ
स्थान	sitios	स्थान	sitio	N;NOM;MASC;SG;3	N;MASC;PL
स्थान	lugares	स्थान	lugar	N;NOM;MASC;SG;3	N;MASC;PL
स्थान	localidades	स्थान	localidad	N;NOM;MASC;SG;3	N;FEM;PL
स्थान	plazas	स्थान	plaza	N;NOM;MASC;SG;3	N;FEM;PL
स्थान	localizaciones	स्थान	localización	N;NOM;MASC;SG;3	N;FEM;PL
स्थान	ubicaciones	स्थान	ubicación	N;NOM;MASC;SG;3	N;FEM;PL
स्थान	lugares	स्थान	lugar	N;NOM;MASC;SG;3	N;MASC;PL
स्थान	localidades	स्थान	localidad	N;NOM;MASC;SG;3	N;FEM;PL
प्रमुख	chief	प्रमुख	chief	N;NOM;MASC;SG;3	PROPN
प्रमुख	mayor	प्रमुख	mayor	N;NOM;MASC;SG;3	ADJ;SG
प्रमुख	principales	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;PL
प्रमुख	principal	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;SG
हुई	hui	हो	huir	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	playas	बीच	playa	ADV;NOM;MASC;SG;3	N;FEM;PL
बीच	playa	बीच	playa	ADV;NOM;MASC;SG;3	N;FEM;SG
बीच	centrar	बीच	centrar	ADV;NOM;MASC;SG;3	V;NFIN
बीच	centro	बीच	centro	ADV;NOM;MASC;SG;3	N;MASC;SG
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	N;MASC;SG
गए	gone	जा	gone	V;PFV;MASC;PL;V.PTCP;ACT	N
गए	ido	जा	ir	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
मुख्य	jefa	मुख्य	jefa	PROPN;NOM;MASC;SG;3	N;FEM;SG
मुख्य	chief	मुख्य	chief	PROPN;NOM;MASC;SG;3	PROPN
मुख्य	jefe	मुख्य	jefe	PROPN;NOM;MASC;SG;3	N;MASC;SG
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	N
मुख्य	principales	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;PL
मुख्य	principal	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;SG
थी	estaba	था	estar	V;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
थी	era	था	ser	V;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	ADJ;SG
उसे	su	वह	su	PRO;SG;3	DET;SG;3
उसे	her	वह	her	PRO;SG;3	N
कार्य	tareas	कार्य	tarea	N;NOM;MASC;SG;3	N;FEM;PL
कार्य	job	कार्य	job	N;NOM;MASC;SG;3	INTJ
कार्य	trabajos	कार्य	trabajo	N;NOM;MASC;SG;3	N;MASC;PL
कार्य	trabaje	कार्य	trabaje	N;NOM;MASC;SG;3	V;SBJV;SG;3;PRS;FIN
कार्य	trabajar	कार्य	trabajar	N;NOM;MASC;SG;3	V;NFIN
कार्य	trabajos	कार्य	trabajo	N;NOM;MASC;SG;3	N;MASC;PL
कार्य	empleos	कार्य	empleo	N;NOM;MASC;SG;3	N;MASC;PL
उनकी	sus	वह	su	PRO;FEM;SG;3;FORM	DET;PL;3
उनकी	su	वह	su	PRO;FEM;SG;3;FORM	DET;SG;3
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	N;MASC;SG
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	
उपयोग	usar	उपयोग	usar	N;NOM;MASC;SG;3	V;NFIN
उपयोग	utilizar	उपयोग	utilizar	N;NOM;MASC;SG;3	V;NFIN
उपयोग	utiliza	उपयोग	utilizar	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
उपयोग	usos	उपयोग	uso	N;NOM;MASC;SG;3	N;MASC;PL
लोगों	pueblo	लोग	pueblo	N;ACC;MASC;PL;3	N;MASC;SG
लोगों	gente	लोग	gente	N;ACC;MASC;PL;3	N;FEM;SG
काम	trabajos	काम	trabajo	N;NOM;MASC;SG;3	N;MASC;PL
काम	trabaje	काम	trabaje	N;NOM;MASC;SG;3	V;SBJV;SG;3;PRS;FIN
काम	trabajar	काम	trabajar	N;NOM;MASC;SG;3	V;NFIN
विश्व	mundial	विश्व	mundial	N;NOM;MASC;SG;3	ADJ;SG
भाग	secciones	भाग	sección		N;FEM;PL
भाग	tramos	भाग	tramo		N;MASC;PL
भाग	part	भाग	part		N
भाग	parte	भाग	parte		N;FEM;SG
भाग	repuestos	भाग	repuesto		N;MASC;PL
भाग	piezas	भाग	pieza		N;FEM;PL
भाग	partes	भाग	parte		N;FEM;PL
निर्माण	construcciones	निर्माण	construcción	N;NOM;MASC;SG;3	N;FEM;PL
निर्माण	construya	निर्माण	construir	N;NOM;MASC;SG;3	V;IMP;SG;3;FIN
निर्माण	construir	निर्माण	construir	N;NOM;MASC;SG;3	V;NFIN
निर्माण	construye	निर्माण	construir	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
दोनों	ambos	दो	ambos	N;ACC;MASC;PL;3	NUM;MASC;PL
दोनों	ambas	दो	ambos	N;ACC;MASC;PL;3	NUM;FEM;PL
दोनों	tanto	दो	tanto	N;ACC;MASC;PL;3	ADV
राष्ट्रीय	nacionales	राष्ट्रीय	nacional	PROPN;NOM;MASC;SG;3	ADJ;PL
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;SG
राष्ट्रीय	nacional	राष्ट्रीय	nacional	PROPN;NOM;MASC;SG;3	ADJ;SG
जानकारी	informaciones	जानकारी	información	N;NOM;FEM;SG;3	N;FEM;PL
पोर्टल	portales	पोर्टल	portal	N;NOM;MASC;SG;3	N;MASC;PL
शहर	céntrico	शहर	céntrico	N;NOM;MASC;SG;3	ADJ;MASC;SG
शहर	ciudades	शहर	ciudad	N;NOM;MASC;SG;3	N;FEM;PL
बार	barras	बार	barra	N;NOM;FEM;SG;3	N;FEM;PL
बार	rejas	बार	rejo	N;NOM;FEM;SG;3	N;FEM;PL
बार	bares	बार	bar	N;NOM;FEM;SG;3	N;MASC;PL
बार	bares	बार	bar	N;NOM;FEM;SG;3	N;MASC;PL
बार	tiempos	बार	tiempo	N;NOM;FEM;SG;3	N;MASC;PL
बार	veces	बार	vez	N;NOM;FEM;SG;3	N;FEM;PL
बार	épocas	बार	época	N;NOM;FEM;SG;3	N;FEM;PL
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	N;SG
लगभग	casi	लगभग	casi	PART	ADV
लगभग	aproximadamente	लगभग	aproximadamente	PART	ADV
यहाँ	aquí	यहाँ	aquí	PRO;NOM	ADV
यहाँ	aca	यहाँ	acair	PRO;NOM	INTJ
यहाँ	aqui	यहाँ	aqui	PRO;NOM	INTJ
यहाँ	acá	यहाँ	acá	PRO;NOM	ADV
केवल	únicamente	केवल	únicamente	PART	ADV
केवल	solo	केवल	solo	PART	ADV
केवल	sólo	केवल	sólo	PART	ADV
केवल	solamente	केवल	solamente	PART	ADV
देश	paises	देश	pais	N;NOM;MASC;SG;3	N;MASC;PL
देश	países	देश	país	N;NOM;MASC;SG;3	N;MASC;PL
अलग	distintos	अलग	distinto	ADJ	PRO;MASC;PL
अलग	separar	अलग	separar	ADJ	V;NFIN
विशेष	exclusividad	विशेष	exclusividad	ADJ;NOM	N;FEM;SG
विशेष	special	विशेष	special	ADJ;NOM	N
इसकी	sus	यह	su	PRO;FEM;SG;3	DET;PL;3
इसकी	su	यह	su	PRO;FEM;SG;3	DET;SG;3
कभी	ever	कभी	ever	PRO	N
दी	dados	दे	dado	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
पृष्ठ	páginas	पृष्ठ	página	N;NOM;MASC;SG;3	N;FEM;PL
पृष्ठ	paginas	पृष्ठ	pagina	N;NOM;MASC;SG;3	N;FEM;PL
माना	considerada	मान	considerado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
माना	considerados	मान	considerado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
माना	consideradas	मान	considerar	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;FEM;PL;V.PTCP
माना	considerado	मान	considerado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
माना	mana	मान	mana	V;PFV;MASC;SG;V.PTCP;ACT	N;FEM;SG
माना	supuestamente	मान	supuestamente	V;PFV;MASC;SG;V.PTCP;ACT	ADV
शब्द	palabras	शब्द	palabra	N;NOM;MASC;SG;3	N;FEM;PL
पुरस्कार	recompensas	पुरस्कार	recompensa	N;NOM;MASC;SG;3	N;FEM;PL
पुरस्कार	premios	पुरस्कार	premio	N;NOM;MASC;SG;3	N;MASC;PL
पुरस्कार	premiado	पुरस्कार	premiado	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
पुरस्कार	premios	पुरस्कार	premio	N;NOM;MASC;SG;3	N;MASC;PL
पुरस्कार	premios	पुरस्कार	premio	N;NOM;MASC;SG;3	N;MASC;PL
पुरस्कार	galardones	पुरस्कार	galardón	N;NOM;MASC;SG;3	N;MASC;PL
पुरस्कार	premios	पुरस्कार	premio	N;NOM;MASC;SG;3	N;MASC;PL
लेख	articulos	लेख	articulo	N;NOM;MASC;SG;3	N;MASC;PL
लेख	artículos	लेख	artículo	N;NOM;MASC;SG;3	N;MASC;PL
अब	now	अब	now	PRO;NOM	
अब	ahora	अब	ahora	PRO;NOM	ADV
दौरान	durante	दौरान	durante	ADV;NOM;MASC;SG;3	ADP
अमेरिका	america	अमेरिका	america	PROPN;NOM;MASC;SG;3	N;FEM;SG
अमेरिका	américa	अमेरिका	américa	PROPN;NOM;MASC;SG;3	N;FEM;SG
मंदिर	templos	मंदिर	templo	N;NOM;MASC;SG;3	N;MASC;PL
अलावा	adición	अलावा	adición	ADP	N;FEM;SG
अलावा	aparte	अलावा	aparte	ADP	ADV
वार्ता	conversaciones	वार्ता	conversación	N;NOM;FEM;SG;3	N;FEM;PL
वार्ता	charlas	वार्ता	charla	N;NOM;FEM;SG;3	N;FEM;PL
दक्षिण	sur	दक्षिण	sur	PROPN;NOM;MASC;SG;3	N;MASC;SG
विभिन्न	varios	विभिन्न	varios	ADJ	PRO;MASC;PL
विभिन्न	varias	विभिन्न	varios	ADJ	PRO;FEM;PL
विभिन्न	varios	विभिन्न	varios	ADJ	PRO;MASC;PL
विभिन्न	diversos	विभिन्न	diverso	ADJ	PRO;MASC;PL
