守山	moriyama	守山	moriya	PROPN	N;DAT;FEM;DU
ヤンキー	jenki	ヤンキー	jenka	N	
飛躍	skok	飛躍	skok	V	N;NOM;MASC;SG
飛躍	preskok	飛躍	preskok	V	N;NOM;MASC;SG
ボア	boa	ボア	boa	PROPN	PROPN;NOM;MASC;SG
麻痺	paralizo	麻痺	paraliza	V	N;ACC;FEM;SG
麻痺	paraliza	麻痺	paraliza	V	N;NOM;FEM;SG
麻痺	paralitični	麻痺	paralitičen	V	ADJ;NOM;MASC;PL
麻痺	paralize	麻痺	paraliza	V	N;NOM;FEM;PL
オリンピア	olimpija	オリンピア	olimpija	PROPN	N;NOM;FEM;SG
クラウス	kraus	クラウス	kraus	PROPN	N;NOM;MASC;SG
クラウス	klaus	クラウス	klaus	PROPN	N;NOM;MASC;SG
賞賛	občudovanja	賞賛	občudovanje	V	N;GEN;NEUT;SG
賞賛	občudovanje	賞賛	občudovanje	V	N;NOM;NEUT;SG
賞賛	pohvala	賞賛	pohvalati	V	N;NOM;FEM;SG
賞賛	pohvale	賞賛	pohvalati	V	N;NOM;FEM;PL
シリアル	serijsko	シリアル	serijsko	N	ADJ;NOM;NEUT;SG
シリアル	zaporedna	シリアル	zaporeden	N	ADJ;NOM;FEM;SG
シリアル	serijski	シリアル	serijski	N	ADJ;NOM;MASC;SG
水分	vlaga	水分	vlaga	N	V;IPFV;IND;SG;3;PRS;FIN
バーバラ	barbara	バーバラ	barbara	PROPN	N;NOM;FEM;SG
サニー	sončna	サニー	sončen	N	ADJ;NOM;FEM;SG
サニー	sončni	サニー	sončen	N	ADJ;NOM;MASC;SG
サニー	sončen	サニー	sončen	N	ADJ;NOM;INDF;MASC;SG
サニー	sončno	サニー	sončno	N	ADJ;NOM;NEUT;SG
嫉妬	ljubosumen	嫉妬	ljubosumen	V	ADJ;NOM;INDF;MASC;SG
嫉妬	ljubosumni	嫉妬	ljubosumen	V	ADJ;NOM;MASC;PL
嫉妬	ljubosumna	嫉妬	ljubosumen	V	ADJ;NOM;FEM;SG
嫉妬	ljubosumja	嫉妬	ljubosumje	V	N;GEN;NEUT;SG
嫉妬	ljubosumje	嫉妬	ljubosomje	V	N;NOM;NEUT;SG
退却	umik	退却	umik	V	N;NOM;MASC;SG
悪意	zlonamerne	悪意	zlonameren	N	ADJ;NOM;FEM;PL
アーロン	aaron	アーロン	aaron	PROPN	N;NOM;MASC;SG
アーロン	aron	アーロン	arona	PROPN	N;NOM;MASC;SG
アンチ	anti	アンチ	anta	PROPN	N;NOM;MASC;SG
ステンレス	nerjavnega	ステンレス	nerjaven	N	ADJ;GEN;NEUT;SG
伝送	menjalnik	伝送	menjalnik	V	N;NOM;MASC;SG
伝送	posredovanje	伝送	posredovanje	V	N;NOM;NEUT;SG
伝送	prenos	伝送	prenos	V	N;NOM;MASC;SG
伝送	pošiljanje	伝送	pošiljanje	V	N;NOM;NEUT;SG
トロイ	troy	トロイ	troy	PROPN	PROPN;NOM;MASC;SG
トロイ	trojo	トロイ	troj	PROPN	N;ACC;NEUT;SG
タンカー	tanker	タンカー	tanker	PROPN	N;NOM;MASC;SG
処罰	kaznovanje	処罰	kaznovanje	V	N;NOM;NEUT;SG
処罰	kazen	処罰	kazen	V	N;NOM;FEM;SG
処罰	kaznovanje	処罰	kaznovanje	V	N;NOM;NEUT;SG
キャンセル	preklic	キャンセル	preklic	V	N;NOM;MASC;SG
キャンセル	preklicana	キャンセル	preklican	V	ADJ;NOM;FEM;SG;V.PTCP
キャンセル	odpovedan	キャンセル	odpovedan	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
キャンセル	odpovedana	キャンセル	odpovedan	V	ADJ;NOM;FEM;SG;V.PTCP
キャンセル	preklican	キャンセル	preklican	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
キャンセル	preklicano	キャンセル	preklicano	V	ADJ;NOM;NEUT;SG;V.PTCP
キャンセル	odpovedan	キャンセル	odpovedan	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
キャンセル	preklicana	キャンセル	preklican	V	ADJ;NOM;FEM;SG;V.PTCP
キャンセル	preklican	キャンセル	preklican	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
キャンセル	odpovedana	キャンセル	odpovedan	V	ADJ;NOM;FEM;SG;V.PTCP
キャンセル	razveljavitev	キャンセル	razveljavitev	V	N;NOM;FEM;SG
キャンセル	preklic	キャンセル	preklic	V	N;NOM;MASC;SG
キャンセル	izbris	キャンセル	izbris	V	N;NOM;MASC;SG
ウィキ	wiki	ウィキ	wika	PROPN	N;NOM;MASC;SG
リスボン	lizbonska	リスボン	lizbonski	PROPN	ADJ;NOM;FEM;SG
リスボン	lizboni	リスボン	lizbon	PROPN	PROPN;NOM;FEM;SG
リスボン	lizbonske	リスボン	lizbonski	PROPN	ADJ;NOM;FEM;PL
リスボン	lisbon	リスボン	lisbon	PROPN	N;NOM;MASC;SG
剥	prikrajšani	剥	prikrajšan	N	ADJ;NOM;MASC;PL;V.PTCP
剥	ogroženim	剥	ogrožen	N	ADJ;DAT;MASC;PL;V.PTCP
掘削	izkopavanje	掘削	izkopavanje	V	N;NOM;NEUT;SG
掘削	vrtanje	掘削	vrtanje	V	N;NOM;NEUT;SG
ボリビア	bolivijske	ボリビア	bolivijski	PROPN	ADJ;NOM;FEM;PL
ボリビア	boliviji	ボリビア	bolivija	PROPN	N;NOM;FEM;SG
棄却	razrešitev	棄却	razrešitev	V	N;NOM;FEM;SG
悪	more	悪	moči	N	V;IPFV;IND;SG;3;PRS;FIN
チェルシー	chelsea	チェルシー	chelse	PROPN	N;NOM;MASC;SG
ナンシー	nancy	ナンシー	nancy	PROPN	PROPN;NOM;FEM;SG
カタール	katar	カタール	katar	PROPN	N;NOM;MASC;SG
解読	dekodiranje	解読	dekodiranje	V	N;NOM;NEUT;SG
ゲイリー	gary	ゲイリー	gary	PROPN	PROPN;NOM;MASC;SG
やまと	yamato	やまと	yamato	PROPN	N;NOM;FEM;SG
出血	krvavitve	出血	krvavitev	V	N;NOM;FEM;PL
出血	krvavitev	出血	krvavitev	V	N;NOM;FEM;SG
出血	krvavitve	出血	krvavitev	V	N;NOM;FEM;PL
出血	krvavitev	出血	krvavitev	V	N;NOM;FEM;SG
濡れ	mokre	濡れる	mokra	V	ADJ;NOM;FEM;PL
濡れ	mokro	濡れる	mokro	V	N;ACC;FEM;SG
濡れ	mokra	濡れる	mokra	V	ADJ;NOM;FEM;SG
濡れ	mokri	濡れる	mokri	V	ADJ;NOM;MASC;PL
濡れ	moker	濡れる	moker	V	ADJ;NOM;INDF;MASC;SG
ロンド	rondo	ロンド	rondo	PROPN	N;NOM;MASC;SG
台北市	tajpeju	台北市	tajpej	PROPN	N;DAT;MASC;SG
正夫	masao	正夫	masao	PROPN	N;NOM;MASC;SG
ジュリエット	julijo	ジュリエット	juliti	PROPN	N;ACC;FEM;SG
ジュリエット	juliet	ジュリエット	juliet	PROPN	N;NOM;MASC;SG
ジュリエット	julija	ジュリエット	julij	PROPN	N;GEN;MASC;SG
マクラーレン	mclaren	マクラーレン	mclaren	PROPN	N;NOM;MASC;SG
オアシス	oasis	オアシス	oasis	PROPN	
クウェート	kuvajt	クウェート	kuvajt	PROPN	N;NOM;MASC;SG
クウェート	kuvajtski	クウェート	kuvajtski	PROPN	ADJ;NOM;MASC;PL
疲労	naporno	疲労	naporen	V	ADJ;NOM;NEUT;SG
疲労	utrujenost	疲労	utrujenost	V	N;NOM;FEM;SG
疲労	utrujenost	疲労	utrujenost	V	N;NOM;FEM;SG
疲労	izčrpanosti	疲労	izčrpanost	V	N;GEN;FEM;SG
平壌	pjongjang	平壌	pjongjang	PROPN	N;NOM;MASC;SG
ディー	dee	ディー	dee	PROPN	PROPN;NOM;MASC;SG
ジャイアント	velikanski	ジャイアント	velikanski	N	ADJ;NOM;MASC;SG
ジャイアント	ogromen	ジャイアント	ogromen	N	ADJ;NOM;INDF;MASC;SG
ジャイアント	orjaški	ジャイアント	orjaški	N	ADJ;NOM;DEF;MASC;SG
バディ	buddy	バディ	buddy	PROPN	N;NOM;MASC;SG
出願	zahtevek	出願	zahtevek	V	N;NOM;MASC;SG
出願	vloga	出願	vloga	V	N;NOM;FEM;SG
ウォーレン	warren	ウォーレン	warren	PROPN	
銃弾	metka	銃弾	metek	N	ADJ;NOM;FEM;SG
妥協	kompromis	妥協	kompromis	V	N;NOM;MASC;SG
ピストン	batni	ピストン	baten	N	ADJ;NOM;DEF;MASC;SG
トモ	tomo	トモ	tom	PROPN	N;NOM;MASC;SG
ユーラシア	evrazijskih	ユーラシア	evrazijski	PROPN	ADJ;GEN;MASC;PL
フェリックス	felix	フェリックス	felen	PROPN	N;NOM;MASC;SG
クレーター	kraterjev	クレーター	krater	PROPN	N;GEN;MASC;PL
クレーター	krater	クレーター	krater	PROPN	N;NOM;MASC;SG
キャピタル	kapitala	キャピタル	kapital	PROPN	N;GEN;MASC;SG
キャピタル	prestolnica	キャピタル	prestolnica	PROPN	N;NOM;FEM;SG
キャピタル	kapital	キャピタル	kapital	PROPN	N;NOM;MASC;SG
糖尿病	sladkorna	糖尿病	sladkoren	N	ADJ;NOM;FEM;SG
ディズニーランド	disneyland	ディズニーランド	disneylanda	PROPN	N;NOM;MASC;SG
エルフ	palček	エルフ	palček	PROPN	N;NOM;MASC;SG
エルフ	škrat	エルフ	škrat	PROPN	N;NOM;MASC;SG
エルフ	škratje	エルフ	škratje	PROPN	N;NOM;MASC;PL
エルフ	škrati	エルフ	škrati	PROPN	N;NOM;MASC;PL
エルフ	palčki	エルフ	palček	PROPN	N;NOM;MASC;PL
シックス	šest	シックス	šest	V	NUM;NOM;PL
シックス	six	シックス	six	V	
蛍光	fluorescenčne	蛍光	fluorrescenče	N	ADJ;NOM;FEM;PL
グアム	guam	グアム	guam	PROPN	N;NOM;MASC;SG
ルター	luther	ルター	luther	PROPN	N;NOM;MASC;SG
共鳴	resonance	共鳴	resonanca	V	N;NOM;FEM;PL
ジュリアン	julian	ジュリアン	julian	PROPN	N;NOM;MASC;SG
ジュリアン	julien	ジュリアン	julien	PROPN	PROPN;NOM;MASC;SG
受領	prejem	受領	prejem	V	N;NOM;MASC;SG
チャーチル	churchill	チャーチル	churchill	PROPN	N;NOM;MASC;SG
湯川	jukava	湯川	jukav	PROPN	V;IPFV;IND;DU;1;PRS;FIN
及川	oikawa	及川	oikaw	PROPN	N;NOM;MASC;SG
シャム	siamska	シャム	siamski	PROPN	ADJ;NOM;FEM;SG
帰属	dodeljevanje	帰属	dodeljevanje	V	N;NOM;NEUT;SG
帰属	dodelitev	帰属	dodelitev	V	N;NOM;FEM;SG
モモ	breskev	モモ	breskev	PROPN	N;GEN;MASC;PL
モモ	breskve	モモ	breskva	PROPN	N;NOM;FEM;PL
モモ	momo	モモ	momo	PROPN	N;NOM;MASC;SG
モモ	breskev	モモ	breskev	PROPN	N;GEN;MASC;PL
モモ	breskve	モモ	breskva	PROPN	N;NOM;FEM;PL
デンバー	denverju	デンバー	denver	PROPN	N;DAT;MASC;SG
デンバー	denver	デンバー	denver	PROPN	PROPN;NOM;MASC;SG
デンバー	denverja	デンバー	denver	PROPN	N;ACC;MASC;SG
正午	opoldne	正午	opoldne	N	ADV
正午	poldne	正午	polden	N	ADV
ハント	hunt	ハント	hunt	PROPN	
ハント	lov	ハント	lov	PROPN	N;NOM;MASC;SG
ドレスデン	dresden	ドレスデン	dresden	PROPN	PROPN;NOM;MASC;SG
欠席	odsotna	欠席	odsoten	V	ADJ;NOM;FEM;SG
欠席	odsoten	欠席	odsoten	V	ADJ;NOM;INDF;MASC;SG
欠席	odsotnosti	欠席	odsotnost	V	N;GEN;FEM;SG
欠席	odsotnosti	欠席	odsotnost	V	N;GEN;FEM;SG
欠席	odsotnost	欠席	odsotnost	V	N;NOM;FEM;SG
批准	ratifikacija	批准	ratifikacija	V	N;NOM;FEM;SG
説教	pridige	説教	pridiga	V	N;NOM;FEM;PL
説教	pridiga	説教	pridigati	V	N;NOM;FEM;SG
説教	pridigo	説教	pridiga	V	N;ACC;FEM;SG
説教	pridiga	説教	pridigati	V	N;NOM;FEM;SG
著しい	izjemno	著しい	izjemno	ADJ	ADV
カウンティ	okrožni	カウンティ	okrožen	PROPN	ADJ;NOM;MASC;SG
カウンティ	okrožje	カウンティ	okrožje	PROPN	N;NOM;NEUT;SG
カウンティ	okraj	カウンティ	okraj	PROPN	N;NOM;MASC;SG
カウンティ	okrožju	カウンティ	okrožje	PROPN	N;DAT;NEUT;SG
カウンティ	okrožjih	カウンティ	okrožje	PROPN	N;ESS;NEUT;PL
カウンティ	okrožja	カウンティ	okrožje	PROPN	N;NOM;NEUT;SG
返済	poplačilo	返済	poplačilo	V	N;NOM;NEUT;SG
返済	povračilo	返済	povračilo	V	N;NOM;NEUT;SG
返済	vračilo	返済	vračilo	V	N;NOM;NEUT;SG
淳子	junko	淳子	junko	PROPN	N;ACC;FEM;SG
ウェスタン	zahodna	ウェスタン	zahoden	PROPN	ADJ;NOM;FEM;SG
ウェスタン	zahodni	ウェスタン	zahoden	PROPN	ADJ;NOM;DEF;MASC;SG
ウェスタン	western	ウェスタン	western	PROPN	
ウェスタン	zahodno	ウェスタン	zahodno	PROPN	ADV
スキャン	pregledovanje	スキャン	pregledovanje	V	N;NOM;NEUT;SG
スキャン	skeniranje	スキャン	skeniranje	V	N;NOM;NEUT;SG
スキャン	skeniranje	スキャン	skeniranje	V	N;NOM;NEUT;SG
敬	spoštovanja	敬	spoštovanje	PROPN	N;GEN;NEUT;SG
敬	spoštovati	敬	spoštovati	PROPN	V;IPFV;NFIN
敬	spoštovanje	敬	spoštovanje	PROPN	N;NOM;NEUT;SG
敬	spoštuj	敬	spoštuj	PROPN	V;IPFV;IND;SG;3;PRS;FIN
オリエンタル	oriental	オリエンタル	orientati	N	V;PFV;MASC;SG;V.PTCP
鋭い	ostro	鋭い	ostro	ADJ	ADV
鋭い	sharp	鋭い	sharpa	ADJ	N;NOM;MASC;SG
お茶	tea	お茶	tea	N	
クローズ	zapri	クローズ	zapreti	N	V;PFV;IND;SG;2;PRS;FIN
ワープ	warp	ワープ	warpa	PROPN	N;NOM;MASC;SG
コリンズ	collins	コリンズ	collins	PROPN	PROPN;NOM;MASC;SG
飲む	pitja	飲む	pitje	V	N;GEN;NEUT;SG
飲む	pitje	飲む	pitje	V	N;NOM;NEUT;SG
飲む	pijača	飲む	pijača	V	N;NOM;FEM;SG
飲む	pijačo	飲む	pijača	V	N;ACC;FEM;SG
飲む	pij	飲む	pij	V	N;NOM;MASC;SG
飲む	pijača	飲む	pijača	V	N;NOM;FEM;SG
ポータブル	prenosni	ポータブル	prenosen	N	ADJ;NOM;MASC;PL
ポータブル	prenosno	ポータブル	prenosen	N	ADJ;NOM;NEUT;SG
ポータブル	prenosna	ポータブル	prenosen	N	ADJ;NOM;FEM;SG
モンロー	monroe	モンロー	moner	PROPN	N;NOM;MASC;SG
ローテーション	zasuk	ローテーション	zasuka		N;NOM;MASC;SG
ローテーション	rotacije	ローテーション	rotacija		N;NOM;FEM;PL
ローテーション	kroženje	ローテーション	kroženje		N;NOM;NEUT;SG
ローテーション	vrtenje	ローテーション	vrtenje		N;NOM;NEUT;SG
マッカーサー	macarthur	マッカーサー	macarthura	PROPN	N;NOM;MASC;SG
ハチ	osa	ハチ	osa	PROPN	PROPN;NOM;FEM;SG
ハチ	ose	ハチ	ose	PROPN	
ハチ	čebel	ハチ	čebela	PROPN	N;NOM;FEM;SG
ハチ	čebele	ハチ	čebela	PROPN	N;NOM;FEM;PL
ハチ	ose	ハチ	ose	PROPN	
ミッチェル	mitchell	ミッチェル	mitchel	PROPN	N;NOM;MASC;SG
個別	individualno	個別	individualno	ADJ	ADV
ジャスト	le	ジャスト	le	PROPN	PART
ジャスト	samo	ジャスト	samo	PROPN	PART
フォーカス	osredotočiti	フォーカス	osredotočiti	N	V;PFV;NFIN
分化	razlikovanje	分化	razlikovanje	V	N;NOM;NEUT;SG
ウエスタン	zahodna	ウエスタン	zahoden	N	ADJ;NOM;FEM;SG
ウエスタン	zahodni	ウエスタン	zahoden	N	ADJ;NOM;DEF;MASC;SG
ウエスタン	western	ウエスタン	western	N	
ウエスタン	zahodno	ウエスタン	zahodno	N	ADV
ラトビア	latvije	ラトビア	latvija	PROPN	N;NOM;FEM;PL
ラトビア	latvijo	ラトビア	latev	PROPN	N;ACC;FEM;SG
ラトビア	latvija	ラトビア	latvija	PROPN	N;NOM;FEM;SG
ラトビア	latvijski	ラトビア	latvijski	PROPN	ADJ;NOM;MASC;SG
スタンス	drža	スタンス	držati	PROPN	N;NOM;FEM;SG
発令	izdajanje	発令	izdajanje	V	N;NOM;NEUT;SG
発令	izdaja	発令	izdajati	V	N;NOM;FEM;SG
激戦	silovito	激戦	silovito	N	ADV
おいしい	okusno	おいしい	okusno	ADJ	ADV
停滞	stagnacijo	停滞	stagnacija	V	N;ACC;FEM;SG
停滞	mirovanju	停滞	mirovanje	V	N;DAT;NEUT;SG
カブス	mladiči	カブス	mladič	PROPN	N;NOM;MASC;PL
カブス	mladiča	カブス	mladič	PROPN	N;ACC;MASC;SG
照射	obsevanje	照射	obsevanje	V	N;NOM;NEUT;SG
照射	izpostavitev	照射	izpostavitev	V	N;NOM;FEM;SG
照射	izpostavljanje	照射	izpostavljanje	V	N;NOM;NEUT;SG
照射	izpostavljenost	照射	izpostavljenost	V	N;NOM;FEM;SG
照射	izpostavljenosti	照射	izpostavljenost	V	N;GEN;FEM;SG
クルーザー	križarka	クルーザー	križarka	PROPN	N;NOM;FEM;SG
江藤	eto	江藤	eto	PROPN	
アーカンソー	arkansas	アーカンソー	arkansas	PROPN	PROPN;NOM;MASC;SG
バットマン	batman	バットマン	batman	PROPN	N;NOM;MASC;SG
裁定	odločanje	裁定	odločanje	V	N;NOM;NEUT;SG
ホフマン	hoffmann	ホフマン	hoffmann	PROPN	N;NOM;MASC;SG
ホフマン	hoffman	ホフマン	hoffman	PROPN	N;NOM;MASC;SG
ホフマン	hofmann	ホフマン	hofmann	PROPN	N;NOM;MASC;SG
鉄砲	teppo	鉄砲	teppo	N	
レジスタ	registrira	レジスタ	registrirati	N	V;IND;SG;3;PRS;FIN
ピュア	čisti	ピュア	čist	N	ADJ;NOM;DEF;MASC;SG
ピュア	čist	ピュア	čist	N	
ピュア	čista	ピュア	čist	N	ADJ;NOM;FEM;SG
蒸留	destilirano	蒸留	destilirano	N	ADJ;NOM;NEUT;SG;V.PTCP
フレイ	frey	フレイ	frey	PROPN	PROPN;NOM;MASC;SG
ヒューズ	hughes	ヒューズ	hughes	PROPN	N;NOM;MASC;SG
ヒューズ	varovalka	ヒューズ	varovalka	PROPN	N;NOM;FEM;SG
問い合わせ	poizvedbe	問い合わせる	poizvedba	V	N;NOM;FEM;PL
問い合わせ	poizvedbe	問い合わせる	poizvedba	V	N;NOM;FEM;PL
問い合わせ	preiskave	問い合わせる	preiskava	V	N;NOM;FEM;PL
ポーター	porter	ポーター	porter	PROPN	N;NOM;MASC;SG
ポーター	porterja	ポーター	porter	PROPN	N;NOM;MASC;SG
帰宅	domača	帰宅	domač	V	ADJ;NOM;FEM;SG
帰宅	doma	帰宅	doma	V	ADV
帰宅	domov	帰宅	domov	V	ADV
帰宅	dom	帰宅	dom	V	N;NOM;MASC;SG
デス	smrt	デス	smrt	PROPN	N;NOM;FEM;SG
ヨルダン	jordanski	ヨルダン	jordanski	PROPN	ADJ;NOM;MASC;SG
ヨルダン	jordan	ヨルダン	jordan	PROPN	N;NOM;MASC;SG
起業	podjetnik	起業	podjetnik	V	N;NOM;MASC;SG
起業	podjetništvo	起業	podjetništvo	V	N;NOM;NEUT;SG
未	nedokončano	未	nedokončano	N	ADV
未	nedokončane	未	nedokončan	N	ADJ;NOM;FEM;PL
未	nedokončan	未	nedokončan	N	ADJ;NOM;INDF;MASC;SG
シスター	sestra	シスター	sestra	PROPN	N;NOM;FEM;SG
シスター	sestrica	シスター	sestrica	PROPN	N;NOM;FEM;SG
脂肪	debel	脂肪	debel	N	ADJ;NOM;INDF;MASC;SG
脂肪	debela	脂肪	debela	N	ADJ;NOM;FEM;SG
脂肪	debeli	脂肪	debela	N	ADJ;NOM;MASC;PL
アーネスト	ernest	アーネスト	ernest	PROPN	N;NOM;MASC;SG
眠る	spanec	眠る	spanec	V	N;NOM;MASC;SG
眠る	spanje	眠る	spanje	V	N;NOM;NEUT;SG
天台	tendai	天台	tendai	N	
彼	fant	彼	fant	PRO	N;NOM;MASC;SG
エミー	amy	エミー	amy	PROPN	PROPN;NOM;FEM;SG
迫害	preganjanje	迫害	preganjanje	V	N;NOM;NEUT;SG
迫害	preganjanja	迫害	preganjanje	V	N;GEN;NEUT;SG
迫害	pregon	迫害	pregon	V	N;NOM;MASC;SG
迫害	preganjani	迫害	preganjan	V	ADJ;NOM;MASC;PL;V.PTCP
勧誘	nagovarjanje	勧誘	nagovarjanje	V	N;NOM;NEUT;SG
ザック	zac	ザック	zac	PROPN	PROPN;NOM;MASC;SG
陶器	pottery	陶器	pottery	N	
メグ	meg	メグ	mega	PROPN	PROPN;NOM;FEM;SG
ボールド	drzno	ボールド	drzno	PROPN	ADV
ボールド	drzen	ボールド	drzen	PROPN	ADJ;NOM;INDF;MASC;SG
ボールド	drzna	ボールド	drzno	PROPN	ADJ;NOM;FEM;SG
ボールド	drzni	ボールド	drzen	PROPN	ADJ;NOM;DEF;MASC;SG
トッド	todd	トッド	todd	PROPN	PROPN;NOM;MASC;SG
入浴	kopa	入浴	kopa	V	N;NOM;FEM;SG
入浴	kopalnih	入浴	kopalen	V	ADJ;GEN;MASC;PL
入浴	kopanje	入浴	kopanje	V	N;NOM;NEUT;SG
入浴	kopel	入浴	kopel	V	N;NOM;FEM;SG
入浴	kopanje	入浴	kopanje	V	N;NOM;NEUT;SG
入浴	kad	入浴	kad	V	N;NOM;MASC;SG
ハング	obesili	ハング	obesiti	N	V;PFV;MASC;PL;V.PTCP
ハング	obešen	ハング	obešen	N	ADJ;NOM;INDF;MASC;SG;V.PTCP
ハング	obesili	ハング	obesiti	N	V;PFV;MASC;PL;V.PTCP
ハング	obesi	ハング	obesiti	N	V;PFV;IND;SG;3;PRS;FIN
ジュネーヴ	ženevi	ジュネーヴ	ženeva	PROPN	N;NOM;FEM;SG
ハーバート	herbert	ハーバート	herbert	PROPN	N;NOM;MASC;SG
未	nedokončano	未	nedokončano	N	ADV
未	nedokončane	未	nedokončan	N	ADJ;NOM;FEM;PL
未	nedokončan	未	nedokončan	N	ADJ;NOM;INDF;MASC;SG
未	nedokončano	未	nedokončano	N	ADV
未	nepopolna	未	nepopolen	N	ADJ;NOM;FEM;SG
未	nepopolno	未	nepopoln	N	ADJ;NOM;NEUT;SG
未	nepopoln	未	nepopoln	N	ADJ;NOM;INDF;MASC;SG
未	nepopolni	未	nepopolen	N	ADJ;NOM;MASC;PL
ブレーメン	bremen	ブレーメン	bremen	PROPN	N;GEN;NEUT;PL
宮澤	mijazava	宮澤	mijazati	PROPN	V;IPFV;IND;DU;1;PRS;FIN
変装	preobleki	変装	preoblek	V	N;NOM;MASC;SG
変装	prikrito	変装	prikrit	V	ADJ;NOM;NEUT;SG;V.PTCP
変装	prikrita	変装	prikrit	V	ADJ;NOM;FEM;SG;V.PTCP
変装	preobleke	変装	preoblek	V	N;NOM;FEM;PL
祐介	jusuke	祐介	jusuk	PROPN	N;NOM;FEM;PL
オリーブ	oljčno	オリーブ	oljčen	N	ADJ;NOM;NEUT;SG
ダブリン	dublin	ダブリン	dublina	PROPN	N;NOM;MASC;SG
スチュアート	stuart	スチュアート	stuart	PROPN	N;NOM;MASC;SG
アルブレヒト	albrecht	アルブレヒト	albrecht	PROPN	N;NOM;MASC;SG
サンティアゴ	santiago	サンティアゴ	santiaga	PROPN	N;NOM;MASC;SG
雅人	masato	雅人	masata	PROPN	N;NOM;FEM;SG
一樹	kazuki	一樹	kazuka	PROPN	N;NOM;MASC;SG
ブルターニュ	brittany	ブルターニュ	brittany	PROPN	PROPN;NOM;FEM;SG
スレッド	niti	スレッド	niti	N	PART
