바트	bart	바트	bart		N;INDF;MASC;SG
차단되었습니다	blocată	차단+되+었+습니다	bloca	V	ADJ;INDF;FEM;SG
새크라멘토	sacramento	새크라멘토	sacramento	PROPN	N;INDF;MASC;SG
콴타스	qantas	콴타스	qantas	N	
힉스	hicks	힉스	hicks	PROPN	PROPN
힉스	higgs	힉스	higgs	PROPN	N;INDF;MASC;SG
깨진	stricat	깨+어+지+ㄴ	strica	V	ADJ;INDF;MASC;SG
깨진	rupt	깨+어+지+ㄴ	rupt	V	ADJ;INDF;MASC;SG
깨진	spart	깨+어+지+ㄴ	spart	V	ADJ;INDF;MASC;SG
깨진	rupte	깨+어+지+ㄴ	rupt	V	ADJ;INDF;FEM;PL
풀기	extragere	풀+기	extragere	V	N;INDF;FEM;SG
풀기	extras	풀+기	extras	V	ADJ;INDF;MASC;SG
풀기	extract	풀+기	extract	V	N;INDF;MASC;SG
딜런	dillon	디런	dillon		PROPN
딜런	dylan	디런	dylan		PROPN
선샤인	soare	선샤인	soare		N;INDF;MASC;SG
선샤인	sunshine	선샤인	sunshine		N;INDF;MASC;SG
폴란드어	poloneze	폴란드어	polonez		ADJ;INDF;FEM;PL
폴란드어	poloneză	폴란드어	polonez		ADJ;INDF;FEM;SG
폴란드어	polonez	폴란드어	polonez		ADJ;INDF;MASC;SG
마스터즈	stăpâni	마스터즈	stăpâni	N	
보내기	trimiterea	보내+기	trimitere	V	N;DEF;FEM;SG
위조	făurit	위조	fauri	N	ADJ;INDF;MASC;SG
위조	falsificate	위조	falsifica	N	ADJ;INDF;FEM;PL
위조	falsificat	위조	falsifica	N	ADJ;INDF;MASC;SG
위조	contrafăcute	위조	contraface	N	ADJ;INDF;FEM;PL
모가미	mogami	모가미	mogam	PROPN	
게오르기	georgy	게오르+기	georgy	PROPN	N;INDF;MASC;SG
고추	pepper	고추	pepper		N;INDF;MASC;SG
고추	piper	고추	piper		N;INDF;MASC;SG
고추	piperul	고추	piper		N;DEF;MASC;SG
오리엔트	orient	오리엔트	orient		N;INDF;MASC;SG
아나톨리아	anatolia	아나톨리아	anatolie	PROPN	N;DEF;FEM;SG
스탠더드	standardul	스탠더드	standard		N;DEF;MASC;SG
스탠더드	standard	스탠더드	standard		ADJ
스토어	magazine	스토어	magazine		N;INDF;FEM;PL
스토어	magazin	스토어	magazin		N;INDF;MASC;SG
스토어	magazinul	스토어	magazin		N;DEF;MASC;SG
스토어	stochează	스토어	stoca		V;IND;3;PRS;FIN
포트리스	fortăreaţa	포트리스	fortărea	PROPN	N;DEF;FEM;SG
포트리스	cetate	포트리스	cetate	PROPN	
포트리스	cetatea	포트리스	cetate	PROPN	N;DEF;FEM;SG
포트리스	fortareata	포트리스	fortareat	PROPN	N;DEF;FEM;SG
탐험	explorează	탐험	explora	N	V;IND;3;PRS;FIN
탐험	explora	탐험	explora	N	V;IND;SG;3;IPFV;FIN
대처	thatcher	대처	thatcher		PROPN
덕이	doug	덕+이	doig		PROPN
클라리넷	clarinet	클라리넷	clarinet		N;INDF;MASC;SG
제레미	jeremy	제레미	jeremy		PROPN
버터	untul	버터	untul		N;DEF;MASC;SG
버터	unt	버터	unt		N;INDF;MASC;SG
캐피탈	capitoliu	캐피탈	capitoliu		N;INDF;MASC;PL
캐피탈	capitala	캐피탈	capitală		N;DEF;FEM;SG
캐피탈	capitală	캐피탈	capitală		N;INDF;FEM;SG
캐피탈	capital	캐피탈	capital		N;INDF;MASC;SG
제곱	pătrat	제곱	pătrat		N;INDF;MASC;SG
제곱	square	제곱	square		N;INDF;MASC;SG
제곱	patrat	제곱	patrat		N;INDF;MASC;SG
마트	mart	마트	mart		N;INDF;MASC;SG
면책	imunitate	면책	imunitate		N;INDF;FEM;SG
면책	imunitatea	면책	imunitate		N;DEF;FEM;SG
앨리슨	allison	앨리슨	allison		PROPN
앨리슨	alison	앨리슨	alison		PROPN
쇼팽	chopin	쇼팽	chopin	PROPN	PROPN
애너하임	anaheim	애너하+이+ㄹ	anaheim	PROPN	PROPN
자동화	automatizează	자동화	automatiza	N	V;IND;3;PRS;FIN
자동화	automatizate	자동화	automatiza	N	ADJ;INDF;FEM;PL
매력적인	fermecător	매력+적+이+ㄴ	fermecător	V	ADJ;INDF;MASC;SG
매력적인	fermecătoare	매력+적+이+ㄴ	fermecător	V	ADJ;INDF;FEM
샤프	sharp	샤프	sharp		N;INDF;MASC;SG
신타로	shintaro	신타+로	shintaro		N;INDF;MASC;SG
채워	umplere	채우+어	umplere		N;INDF;FEM;SG
백조자리	cygni	백조+자리	cygn	N	
양곤	yangon	양곤	yangon	PROPN	N;INDF;MASC;SG
마나	mana	말+나	mană		N;DEF;FEM;SG
폴로	polo	폴+로	polo		N;INDF;MASC;SG
포츠머스	portsmouth	포츠머스	portsmouth	PROPN	PROPN
기차	train	기차	train		N;INDF;MASC;SG
기차	trenul	기차	tren		N;DEF;MASC;SG
기차	tren	기차	tren		N;INDF;MASC;SG
기차	trenurile	기차	tren		N;DEF;FEM;PL
기차	trenuri	기차	tren		N;INDF;FEM;PL
쿠키	cookie	쿠키	cookie	N	
이오니아	ionică	이오니아	ionic	PROPN	N;INDF;FEM;SG
발명	inventează	발명	inventa	N	V;IND;3;PRS;FIN
발명	inventa	발명	inventa	N	V;IND;SG;3;IPFV;FIN
발명	inventate	발명	inventa	N	ADJ;INDF;FEM;PL
발명	inventat	발명	inventa	N	ADJ;INDF;MASC;SG
편견	prejudecată	편견	prejudeca	N	ADJ;INDF;FEM;SG
편견	prejudecată	편견	prejudeca	N	ADJ;INDF;FEM;SG
조지타운	georgetown	조지럽+ㄴ	georgetown		PROPN
모니카	monica	모니카	monică		N;DEF;FEM;SG
클라인	klein	클라인	klein		PROPN
이웃집	vecină	이웃집	vecin	N	ADJ;INDF;FEM;SG
이웃집	vecine	이웃집	vecin	N	ADJ;INDF;FEM;PL
더러운	murdare	더럽+ㄴ	murdar		ADJ;INDF;FEM;PL
더러운	murdară	더럽+ㄴ	murdar		ADJ;INDF;FEM;SG
더러운	murdari	더럽+ㄴ	murdar		ADJ;INDF;MASC;PL
더러운	murdar	더럽+ㄴ	murdar		ADJ;INDF;MASC;SG
스프링필드	springfield	스프링필드	springfield	PROPN	N;INDF;MASC;SG
바흐	bach	바흐	bach	PROPN	PROPN
다무라	tamura	다무라	tamură		N;DEF;FEM;SG
발전기	generatoare	발전기	generator	N	ADJ;INDF;FEM
트라이앵글	triunghi	트라이앵글	triunghi		N;INDF;MASC;SG
트라이앵글	triunghiul	트라이앵글	triunghi		N;DEF;MASC;SG
선포	declarată	선포	declarat	N	ADJ;INDF;FEM;SG
선포	declarate	선포	declara	N	ADJ;INDF;FEM;PL
선포	declarat	선포	declara	N	ADJ;INDF;MASC;SG
선포	declara	선포	declara	N	V;IND;SG;3;IPFV;FIN
선포	declară	선포	declara	N	V;IND;3;PRS;FIN
선포	declar	선포	declar	N	V;IND;SG;1;PRS;FIN
바벨	babel	바벨	babel		N;INDF;MASC;SG
타지키스탄	tadjic	타지키스탄	tadjic	PROPN	N;INDF;MASC;SG
타지키스탄	tadjikistan	타지키스탄	tadjikistan	PROPN	ADJ;INDF;MASC;SG
스웨덴어	suedeza	스웨덴어	suedeză		ADJ;DEF;FEM;SG
스웨덴어	suedezi	스웨덴어	suedez		ADJ;INDF;MASC;PL
스웨덴어	suedeză	스웨덴어	suedeză		N;INDF;FEM;SG
스웨덴어	suedez	스웨덴어	suedez		ADJ;INDF;MASC;SG
잠비아	zambia	잠비아	zambia	PROPN	PROPN
길거리	street	길거리	street		N;INDF;MASC;SG
길거리	strada	길거리	stradă		N;DEF;FEM;SG
길거리	stradă	길거리	stradă		N;INDF;FEM;SG
길거리	străzile	길거리	stradă		N;DEF;FEM;PL
길거리	străzi	길거리	stradă		N;INDF;FEM;PL
길거리	strazi	길거리	strad		N;INDF;FEM;PL
글로리아	gloria	글로리아	gloria		N;DEF;FEM;SG
무엇이든	orice	무엇+이든	orice		PRO;SG;3
레이아웃	layout	레이아웃	layout		N;INDF;MASC;SG
레이아웃	aranjament	레이아웃	aranjament		N;INDF;MASC;SG
자극	stimulat	자극	stimula	N	ADJ;INDF;MASC;SG
갑옷	armură	갑옷	armură		N;INDF;FEM;SG
갑옷	armura	갑옷	armură		N;DEF;FEM;SG
갑옷	armuri	갑옷	arm		N;INDF;FEM;PL
갑옷	armură	갑옷	armură		N;INDF;FEM;SG
갑옷	armura	갑옷	armură		N;DEF;FEM;SG
갑옷	armuri	갑옷	arm		N;INDF;FEM;PL
평행	paralel	평행	paralel	N	ADV
평행	paralelă	평행	paralelă	N	ADJ;INDF;FEM;SG
평행	paralele	평행	paralel	N	ADJ;INDF;FEM;PL
미드웨이	midway	미드웨이	midway		PROPN
슈트	costum	슈트	costum		N;INDF;MASC;SG
현명한	înțelept	현명+하+ㄴ	înțelept	V	ADJ;INDF;MASC;SG
시온	zion	시온	zion		N;INDF;MASC;SG
아스타나	astana	아스타+나	astana	PROPN	N;DEF;FEM;SG
노부유키	nobuyuki	노부유키	nobuyud	PROPN	
수잔	susan	수잔	susan		N;INDF;MASC;SG
프라이부르크	freiburg	프라이부르크	freiburg	PROPN	PROPN
그리스인	grecilor	그리스인	grec		N;DEF;MASC;PL
그리스인	greci	그리스인	grec		N;INDF;MASC;PL
그리스인	grecii	그리스인	grec		N;DEF;MASC;PL
열기	deschis	열+기	deschis		ADJ;INDF;MASC;SG
열기	deschide	열+기	deschide		V;IND;SG;3;PRS;FIN
열기	open	열+기	open		N;INDF;MASC;SG
피스	pace	피스	pace		N;INDF;FEM;SG
피스	pacea	피스	pace		N;DEF;FEM;SG
같음	egali	같+ㅁ	egal		ADJ;INDF;MASC;PL
같음	egal	같+ㅁ	egal		ADJ;INDF;MASC;SG
샌드위치	sandwich	샌드위치	sandwich		N;INDF;MASC;SG
모의	machetei	모의	machetă		N;DEF;FEM;SG
모의	machetă	모의	machetă		N;INDF;FEM;SG
모의	macheta	모의	machetă		N;DEF;FEM;SG
그라비아	gravure	그라비아	gravură		N;INDF;FEM;SG
센타우루스자리	centaurus	센타우루스자리	centaurus	PROPN	N;INDF;MASC;SG
센타우루스자리	centauri	센타우루스자리	centaur	PROPN	N;INDF;MASC;PL
바리	bari	바리	bar		N;INDF;MASC;SG
아토스	athos	아토스	athos		N;INDF;MASC;SG
디렉터리	directoare	디렉터리	director	N	ADJ;INDF;FEM
떨어지지	toamna	떨어지+지	toamnă	V	N;DEF;FEM;SG
열정	entuziast	열정	entuziast	N	ADJ;INDF;MASC;SG
열정	pasionat	열정	pasiona	N	ADJ;INDF;MASC;SG
열정	pasională	열정	pasional	N	ADJ;INDF;FEM;SG
열정	pasionată	열정	pasiona	N	ADJ;INDF;FEM;SG
열정	pasional	열정	pasional	N	ADJ;INDF;MASC;SG
이동식	detașabile	이동식	detașabil	N	ADJ;INDF;FEM;PL
수백만	milioane	수백만	milion		NUM;INDF;FEM;PL
글로브	glob	글로브	glob		N;INDF;MASC;SG
글로브	globe	글로브	globă		N;INDF;MASC;SG
글로브	globul	글로브	glob		N;DEF;MASC;SG
기린	girafă	기리+ㄴ	girafă		N;INDF;FEM;SG
기린	girafa	기리+ㄴ	girafă		N;DEF;FEM;SG
기린	girafe	기리+ㄴ	giraf		N;INDF;FEM;PL
수년	ani	수년	an		N;INDF;MASC;PL
수년	anii	수년	an		N;DEF;MASC;PL
파산	faliment	파산	faliment		N;INDF;MASC;SG
파산	falimentul	파산	faliment		N;DEF;MASC;SG
파산	faliment	파산	faliment		N;INDF;MASC;SG
버펄로	bivoli	버티+로	bivol	ADV	N;INDF;MASC;PL
버펄로	bivol	버티+로	bivol	ADV	N;INDF;MASC;SG
버펄로	buffalo	버티+로	buffalo	ADV	N;INDF;MASC;SG
버펄로	bizon	버티+로	bizon	ADV	N;INDF;MASC;SG
버펄로	bizoni	버티+로	bizon	ADV	N;INDF;MASC;PL
무작위로	random	무작위+로	random	ADV	V;IND;SG;3;PRS;FIN
무작위로	aleatoare	무작위+로	aleator	ADV	N;INDF;FEM;PL
무작위로	aleatorie	무작위+로	aleatoriu	ADV	N;INDF;FEM;SG
이겨	bate	이기+어	bate		V;IND;SG;3;PRS;FIN
우울	deprimată	우울	deprimat	N	ADJ;INDF;FEM;SG
우울	depresivă	우울	depresiv	N	ADJ;INDF;FEM;SG
우울	deprimat	우울	deprima	N	ADJ;INDF;MASC;SG
우울	deprimantă	우울	deprimant	N	ADJ;INDF;FEM;SG
우울	depresiv	우울	depresiv	N	ADJ;INDF;MASC;SG
우울	melancolic	우울	melancolic	N	ADV
홀로코스트	holocaustului	홀로코스트	holocaust	PROPN	N;DEF;MASC;SG
홀로코스트	holocaust	홀로코스트	holocaust	PROPN	N;INDF;MASC;SG
디스커버리	descoperire	디스크리리	descoperire		N;INDF;FEM;SG
디스커버리	descoperiri	디스크리리	descoperire		N;INDF;FEM;PL
디스커버리	descoperirea	디스크리리	descoperire		N;DEF;FEM;SG
디스커버리	discovery	디스크리리	discovery		N;INDF;MASC;SG
테크	tech	테크	tech		N
절약	economisire	절약	economisire		N;INDF;FEM;SG
절약	salvarea	절약	salvare		N;DEF;FEM;SG
알마티	almatî	알마티	almat	PROPN	PROPN
곱셈	multiplicare	곱+과	multiplicare		N;INDF;FEM;SG
곱셈	multiplica	곱+과	multiplică		V;IND;SG;3;IPFV;FIN
스와	suwa	스+와	suwa		PROPN
투르	excursii	투르	excursie		N;INDF;FEM;PL
투르	tururi	투르	tur		N;INDF;FEM;PL
교정	corective	교정	corectiv	N	ADJ;INDF;FEM;PL
교정	corectate	교정	corecta	N	ADJ;INDF;FEM;PL
교정	corectată	교정	corecta	N	ADJ;INDF;FEM;SG
교정	corectat	교정	corecta	N	ADJ;INDF;MASC;SG
앙투안	antoine	앙투안	antoină	PROPN	N;INDF;MASC;SG
리히텐슈타인	liechtenstein	리히+정레타인	liechtenstein	PROPN	PROPN
리히텐슈타인	lichtenstein	리히+정레타인	lichtenstein	PROPN	N;INDF;MASC;SG
오데사	odessa	오데사	odessa	PROPN	PROPN
사모아	samoa	사모아	samoa		PROPN
레이먼드	raymond	레이먼드	raymond	PROPN	PROPN
저널리스트	ziaristă	저널리스트	ziaristă		N;INDF;FEM;SG
저널리스트	jurnalistul	저널리스트	jurnalist		N;DEF;MASC;SG
저널리스트	jurnalist	저널리스트	jurnalist		N;INDF;MASC;SG
저널리스트	jurnalistă	저널리스트	jurnalist		ADJ;INDF;FEM;SG
저널리스트	ziarist	저널리스트	ziarist		N;INDF;MASC;SG
차드	ciad	차드	ciad	PROPN	PROPN
차드	chad	차드	chad	PROPN	PROPN
무하마드	muhammad	무하마드	muhammad	PROPN	PROPN
무하마드	mohammed	무하마드	mohammed	PROPN	PROPN
강력	puternica	강력	puternic		ADJ;DEF;FEM;SG
강력	puternic	강력	puternic		ADJ;INDF;MASC;SG
해석학	analitică	해석학	analitic	N	ADJ;INDF;FEM;SG
해석학	analitice	해석학	analitic	N	ADJ;INDF;FEM;PL
해석학	analitic	해석학	analitic	N	ADV
카사블랑카	casablanca	카사블랑카	casablancă	PROPN	N;DEF;FEM;SG
커먼즈	commons	커먼즈	commons		N;INDF;MASC;SG
레지던트	locuitor	레지던트	locuitor		N;INDF;MASC;SG
레지던트	rezident	레지던트	rezident		N;INDF;MASC;SG
레지던트	rezidente	레지던트	rezidentă		ADJ;INDF;FEM;PL
레지던트	rezidentă	레지던트	rezident		N;INDF;FEM;SG
레지던트	locuitori	레지던트	locuitor		N;INDF;MASC;PL
레지던트	locuitorii	레지던트	locuitor		N;DEF;MASC;PL
레지던트	rezidenți	레지던트	rezident		N;INDF;MASC;PL
파라오	faraoni	파라오	faraon		N;INDF;MASC;PL
파라오	faraonul	파라오	faraon		N;DEF;MASC;SG
파라오	faraonului	파라오	faraon		N;DEF;MASC;SG
파라오	faraon	파라오	faraon		N;INDF;MASC;SG
레슬리	lesley	레슬리	lesley		PROPN
레슬리	leslie	레슬리	leslie		PROPN
올림포스	olimp	올림포스	olimp	PROPN	PROPN
올림포스	olympus	올림포스	olympus	PROPN	N;INDF;MASC;SG
에리크	erik	에리크	erik	PROPN	PROPN
에리크	eric	에리크	eric	PROPN	PROPN
퍼레이드	parada	퍼레이드	paradă		N;DEF;FEM;SG
퍼레이드	paradă	퍼레이드	paradă		N;INDF;FEM;SG
퍼레이드	defilare	퍼레이드	defilare		N;INDF;FEM;SG
퍼레이드	parade	퍼레이드	parad		N;INDF;FEM;PL
리버티	libertate	리버티	libertate		N;INDF;FEM;SG
리버티	liberty	리버티	liberty		N;INDF;MASC;SG
로크	locke	로크	lock		PROPN
투르크메니스탄	turkmenistan	투르크메니스탄	turkmenistan	PROPN	ADJ;INDF;MASC;SG
투르크메니스탄	turkmen	투르크메니스탄	turkmen	PROPN	ADJ;INDF;MASC;SG
코카콜라	cocs	코카콜라	cocs		N;INDF;MASC;SG
코카콜라	cocaină	코카콜라	cocaină		N;INDF;FEM;SG
오스트레일리아인	australieni	오스트레일리아인	australian	V	ADJ;INDF;MASC;PL
화합	armonia	화합	armonie		N;DEF;FEM;SG
화합	armonie	화합	armonie		N;INDF;FEM;SG
화합	harmony	화합	harmony		N;INDF;MASC;SG
포탈	portaluri	포탈	portal		N;INDF;FEM;PL
포탈	portal	포탈	portal		N;INDF;MASC;SG
포탈	portalul	포탈	portal		N;DEF;MASC;SG
히브리	ebraică	히브리	ebraic		N;INDF;FEM;SG
맥도날드	mcdonald	맥도날드	mcdonald		N;INDF;MASC;SG
맥도날드	macdonald	맥도날드	macdonald		PROPN
맥도날드	mcdonalds	맥도날드	mcdonalds		N;INDF;MASC;SG
브레스트	brest	브레스트	brest	PROPN	PROPN
낚시	pescuiesc	낚시	pescui	N	V;IND;PL;3;PRS;FIN
밀리미터	milimetri	밀리미터	milimetru		N;INDF;MASC;PL
밀리미터	milimetru	밀리미터	milimetru		N;INDF;MASC;SG
밀리미터	milimetru	밀리미터	milimetru		N;INDF;MASC;SG
밀리미터	centimetru	밀리미터	centimetru		N;INDF;MASC;SG
밀리미터	milimetri	밀리미터	milimetru		N;INDF;MASC;PL
노퍽	norfolk	노퍽	norfolk		N;INDF;MASC;SG
기울여	înclinare	기울이+어	înclinare	V	N;INDF;FEM;SG
커스텀	personalizată	커스텀	personaliza		ADJ;INDF;FEM;SG
커스텀	personalizate	커스텀	personalizat		ADJ;INDF;FEM;PL
커스텀	personalizat	커스텀	personaliza		ADJ;INDF;MASC;SG
비참한	mizerabil	비참+하+ㄴ	mizerabil	V	ADJ;INDF;MASC;SG
디랙	dirac	디랙	dirac		N;INDF;MASC;SG
수마트라	sumatra	수마트+이+라	sumatra		N;DEF;FEM;SG
전망	prospect	전망	prospect		N;INDF;MASC;SG
전망	perspectivele	전망	perspectivă		N;DEF;FEM;PL
전망	perspective	전망	perspectivă		N;INDF;FEM;PL
메콩	mekong	메콩	mekong	PROPN	N;INDF;MASC;SG
앨릭스	alex	앨릭스	alex		PROPN
보나파르트	bonaparte	보나파르트	bonaparte		N;INDF;FEM;PL
선덜랜드	sunderland	선덜랜드	sunderland	PROPN	N;INDF;MASC;SG
동정	simpatie	동정	simpatie		N;INDF;FEM;SG
동정	compasiune	동정	compasiune		N;INDF;FEM;SG
동정	compasiunea	동정	compasiune		N;DEF;FEM;SG
칼리아리	cagliari	칼리아리	cagliar	PROPN	N;INDF;MASC;PL
전자공학	electronică	전자공학	electronic	N	ADJ;INDF;FEM;SG
전자공학	electronice	전자공학	electronic	N	ADJ;INDF;FEM;PL
검토하기	recenzie	검토+하+기	recenzie	V	N;INDF;FEM;SG
검토하기	revizuirea	검토+하+기	revizuire	V	N;DEF;FEM;SG
검토하기	revizuire	검토+하+기	revizuire	V	N;INDF;FEM;SG
랠프	ralph	랠프	ralph	PROPN	PROPN
