sandstein	zandsteen	sandstein	zandsteen		N;MASC+FEM;SG
ernest	ernst	ernest	ernst	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
wen	wie	wer	wie	ADV	PRO;3
wen	who	wer	who	ADV	
wen	wen	wer	wen	ADV	N;MASC+FEM;SG
kreuzer	kruisers	kreuzer	kruiser	ADJ	N;PL
kreuzer	kruiser	kreuzer	kruis	ADJ	N;MASC+FEM;SG
kreuzer	cruiser	kreuzer	cruis	ADJ	N;MASC+FEM;SG
erdbeben	seismische	erdbeben	seismisch	V;NFIN	ADJ
erdbeben	aardbeving	erdbeben	aardbeving	V;NFIN	N;MASC+FEM;SG
erdbeben	aardbevingen	erdbeben	aardbeving	V;NFIN	N;PL
feier	plechtigheid	feier	plechtigheid		N;MASC+FEM;SG
feier	ceremonie	feier	ceremonie		N;MASC+FEM;SG
feier	feest	feier	feest		N;NEUT;SG
feier	partij	feier	partij		N;MASC+FEM;SG
feier	feestje	feier	feest		N;NEUT;SG
feier	party	feier	party		N;MASC+FEM;SG
feier	vieren	feier	vieren		V;NFIN
feier	huldiging	feier	huldiging		N;MASC+FEM;SG
feier	viering	feier	viering		N;MASC+FEM;SG
schäfer	herder	schäf	herder	PROPN	N;MASC+FEM;SG
schäfer	shepherd	schäf	shepherd	PROPN	N;MASC+FEM;SG
schäfer	schaefer	schäf	schaefer	PROPN	N;MASC+FEM;SG
schäfer	schäfer	schäf	schäfer	PROPN	N;MASC+FEM;SG
schäfer	herders	schäf	herder	PROPN	N;PL
rückseite	achteruit	rückseite	achteruit	ADJ	ADV
rückseite	omgekeerde	rückseite	omkeerd	ADJ	V;V.PTCP
rückseite	omkeren	rückseite	omkeren	ADJ	V;NFIN
rückseite	omgekeerd	rückseite	omkeren	ADJ	V;V.PTCP
rückseite	achterkant	rückseite	achterkant	ADJ	N;MASC+FEM;SG
rückseite	achteraan	rückseite	achteraan	ADJ	ADV
rückseite	achterhoede	rückseite	achterhoede	ADJ	N;MASC+FEM;SG
rückseite	achterzijde	rückseite	achterzijde	ADJ	N;MASC+FEM;SG
rückseite	terug	rückseite	terug	ADJ	ADV
rückseite	rug	rückseite	rug	ADJ	N;MASC+FEM;SG
rückseite	back	rückseite	back	ADJ	N;MASC+FEM;SG
lokomotive	locomotief	lokomotiv	locomotief	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
vermutung	vermoeden	vermutung	vermoeden	ADV	V;V.PTCP
vermutung	veronderstelling	vermutung	veronderstelling	ADV	N;MASC+FEM;SG
vermutung	vermoeden	vermutung	vermoeden	ADV	V;V.PTCP
vermutung	gissen	vermutung	gissen	ADV	V;NFIN
vermutung	aannames	vermutung	aanname	ADV	N;PL
vermutung	veronderstellingen	vermutung	veronderstelling	ADV	N;PL
vermutung	hypothesen	vermutung	hypothesen	ADV	N;PL
vermutung	aannamen	vermutung	aannaam	ADV	V;PL;PST;FIN
vermutung	veronderstelling	vermutung	veronderstelling	ADV	N;MASC+FEM;SG
propaganda	propaganda	propaganda	propaganda	PROPN	N;MASC+FEM;SG
kenntnisse	vaardigheden	kenntnis	vaardigheid	ADJ	N;PL
kenntnisse	skills	kenntnis	skill	ADJ	N;PL
kenntnisse	kennis	kenntnis	kennis	ADJ	N;MASC+FEM;SG
spalte	column	spalten	column	ADJ;NOM;SG	N;MASC+FEM;SG
spalte	zuil	spalten	zuil	ADJ;NOM;SG	N;MASC+FEM;SG
spalte	kolom	spalten	kolom	ADJ;NOM;SG	N;MASC+FEM;SG
spalte	kolommen	spalten	kolommen	ADJ;NOM;SG	N;PL
spalte	zuilen	spalten	zuilen	ADJ;NOM;SG	N;PL
spalte	pilaren	spalten	pilaar	ADJ;NOM;SG	N;PL
southern	zuidelijk	southern	zuidelijk	PROPN	ADJ
oswald	oswald	oswald	oswald	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
überlegungen	overwegingen	überlegungen	overweging	V;NFIN	N;PL
überlegungen	beschouwingen	überlegungen	beschouwing	V;NFIN	N;PL
überlegungen	reflecties	überlegungen	reflectie	V;NFIN	N;PL
überlegungen	gedachten	überlegungen	gedacht	V;NFIN	N;PL
überlegungen	gedachtes	überlegungen	dachtel	V;NFIN	N;PL
report	verslag	report	verslag	PROPN	N;NEUT;SG
report	rapporteren	report	rapporteren	PROPN	V;NFIN
report	rapport	report	rapport	PROPN	N;NEUT;SG
geheimen	secret	geheimen	secret	ADJ	
teilung	verdelen	teilung	verdelen	N;NOM;FEM;SG	V;NFIN
teilung	verdeel	teilung	verdelen	N;NOM;FEM;SG	V;SG;PRS;FIN
fremde	vreemdelingen	fremd	vreemdeling	ADJ;NOM;FEM;PL	N;PL
fremde	buitenstaanders	fremd	buitenstaander	ADJ;NOM;FEM;PL	N;PL
fremde	vreemdeling	fremd	vreemdeling	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
lkw	vrachtwagens	lkw	vrachtwagen		N;PL
lkw	vrachtauto	lkw	vrachtauto		N;MASC+FEM;SG
lkw	truck	lkw	truck		N;MASC+FEM;SG
lkw	vrachtwagen	lkw	vrachtwagen		N;MASC+FEM;SG
lkw	vrachtauto	lkw	vrachtauto		N;MASC+FEM;SG
lkw	vrachtwagen	lkw	vrachtwagen		N;MASC+FEM;SG
lkw	vrachtwagens	lkw	vrachtwagen		N;PL
lkw	trucks	lkw	trucks		N;PL
abbildungen	grafieken	abbildung	grafiek	V;NFIN	N;PL
abbildungen	plaatjes	abbildung	plaat	V;NFIN	N;PL
abbildungen	beelden	abbildung	beeld	V;NFIN	N;PL
abbildungen	afbeeldingen	abbildung	afbeelding	V;NFIN	N;PL
abbildungen	figuren	abbildung	figuur	V;NFIN	N;PL
abbildungen	cijfers	abbildung	cijfer	V;NFIN	N;PL
abbildungen	illustraties	abbildung	illustratie	V;NFIN	N;PL
verschwinden	verdwijning	verschwinden	verdwijning	V;NFIN	N;MASC+FEM;SG
verschwinden	vermissing	verschwinden	vermissing	V;NFIN	N;MASC+FEM;SG
spenden	donatie	spenden	donatie	V;NFIN	N;MASC+FEM;SG
spenden	schenking	spenden	schenking	V;NFIN	N;MASC+FEM;SG
spenden	donaties	spenden	donatie	V;NFIN	N;PL
spenden	schenkingen	spenden	schenking	V;NFIN	N;PL
spenden	donaties	spenden	donatie	V;NFIN	N;PL
spenden	giften	spenden	gift	V;NFIN	N;PL
mdr	mdr	mdr	mdr		N;MASC+FEM;SG
monarchie	monarchie	monarchie	monarchie	PROPN	N;MASC+FEM;SG
republikanischen	republikein	republikanisch	republikein	ADJ;NOM;MASC;PL	N;MASC+FEM;SG
republikanischen	republikeinen	republikanisch	republikein	ADJ;NOM;MASC;PL	N;PL
scharf	sharp	scharf	sharp	ADJ	N;MASC+FEM;SG
scharf	gekruid	scharf	kruien	ADJ	V;V.PTCP
frisch	verse	frisch	vers	ADJ	N;MASC+FEM;SG
frisch	frisch	frisch	frisch	ADJ	N;MASC+FEM;SG
kelly	kelly	kelly	kelly	PROPN;NOM;SG	N;MASC+FEM;SG
alabama	alabama	alabama	alabama	PROPN;NOM;NEUT;SG	N;NEUT;SG
loire	loire	loire	loir	PROPN;NOM;SG	N;MASC+FEM;SG
audio	audio	audio	audio		N;MASC+FEM;SG
audio	geluid	audio	geluid		N;NEUT;SG
kurfürsten	keurvorst	kurfürst	keurvorst	N;PL	N;MASC+FEM;SG
kette	ketenen	kett	ketenen	N;NOM;FEM;SG	V;NFIN
kette	kettingen	kett	ketting	N;NOM;FEM;SG	N;PL
kette	ketens	kett	keten	N;NOM;FEM;SG	N;PL
kette	keten	kett	keten	N;NOM;FEM;SG	N;PL
herrenhaus	herenhuis	herrenhaus	herenhuis	ADJ	N;NEUT;SG
herrenhaus	manor	herrenhaus	manor	ADJ	N;NEUT;SG
schicht	shift	schechen	shift	ADJ	N;MASC+FEM;SG
schicht	verschuiving	schechen	verschuiving	ADJ	N;MASC+FEM;SG
schicht	verschuiven	schechen	verschuiven	ADJ	V;NFIN
schicht	stratum	schechen	stratum	ADJ	N;MASC+FEM;SG
justiz	justice	justiz	justice		
justiz	gerechtigheid	justiz	gerechtigheid		N;MASC+FEM;SG
justiz	justitie	justiz	justitie		N;MASC+FEM;SG
justiz	rechtvaardigheid	justiz	rechtvaardigheid		N;MASC+FEM;SG
justiz	justitiële	justiz	justitiel		ADJ
alberto	alberto	alberto	alberto	PROPN;NOM;SG	N;MASC+FEM;SG
offizieller	ambtenaar	offiziell	ambtenaar	ADJ	N;MASC+FEM;SG
bewaffneten	schutters	bewaffnet	schutter	V;IND;PL;3;PST;FIN	N;PL
mittelmeer	mediterrane	mittelmeer	mediterrane		ADJ
faktor	factor	faktor	factor	ADJ	N;MASC+FEM;SG
ermordung	moord	ermordung	moord		N;MASC+FEM;SG
ermordung	moord	ermordung	moord		N;MASC+FEM;SG
ermordung	moordaanslag	ermordung	moordaanslag		N;MASC+FEM;SG
connecticut	connecticut	connecticut	connecticut	PROPN	N;MASC+FEM;SG
persönlichkeit	persoonlijkheden	persönlichkeit	persoonlijkheid	ADJ	N;PL
persönlichkeit	persoonlijkheid	persönlichkeit	persoonlijkheid	ADJ	N;MASC+FEM;SG
kaliningrad	kaliningrad	kaliningrad	kaliningrad	PROPN	N;MASC+FEM;SG
zusatz	toevoeging	zusatz	toevoeging		N;MASC+FEM;SG
zusatz	optellen	zusatz	optellen		V;NFIN
zusatz	addendum	zusatz	addendum		N;NEUT;SG
zusatz	additief	zusatz	additief		N;NEUT;SG
guido	guido	guido	guido	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
leutnant	luitenant	leutnant	luitenant	ADJ	N;MASC+FEM;SG
lateinische	latijn	lateinisch	latijn	ADJ;NOM;FEM;PL	N;NEUT;SG
xvi	xvi	xvi	xvi	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
abbau	demonteren	Abbau	demonteren	N	V;NFIN
vietnam	vietnam	vietnam	vietnemen	PROPN	PROPN;NEUT;SG
strategie	strategieën	strategie	strategieën	N;SG	N;PL
uruguay	uruguay	uruguay	uruguay	PROPN;NOM;MASC;SG	PROPN;NEUT;SG
einheimischen	inboorlingen	einheimisch	inboorling	ADJ	N;PL
gruyter	gruyter	gruyt	gruyter		N;MASC+FEM;SG
liechtenstein	liechtenstein	liechtenstein	liechtenstein	PROPN;NOM;NEUT;SG	N;NEUT;SG
liechtenstein	lichtenstein	liechtenstein	lichtenstein	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
holocaust	holocaust	holocaust	holocaust	PROPN;NOM;SG	N;MASC+FEM;SG
siegel	robben	siegel	rob		N;PL
siegel	zeehonden	siegel	zeehonde		N;PL
siegel	zegels	siegel	zegel		N;PL
siegel	seals	siegel	seals		N;PL
siegel	siegel	siegel	siegel		N;MASC+FEM;SG
siegel	verzegelen	siegel	verzegelen		V;NFIN
siegel	zegel	siegel	zegel		N;NEUT;SG
siegel	zeehond	siegel	zeehond		N;MASC+FEM;SG
siegel	verzegeling	siegel	verzegeling		N;MASC+FEM;SG
quer	dwars	quer	dwars	ADV	ADJ
quer	transversale	quer	transversaal	ADV	N;MASC+FEM;SG
fragt	vroegen	fragen	vraag	V;IND;SG;3;PRS;FIN	V;PL;PST;FIN
ausscheiden	ontslagbrief	ausscheiden	ontslagbrief	V;NFIN	N;MASC+FEM;SG
ausscheiden	ontslag	ausscheiden	ontslag	V;NFIN	N;NEUT;SG
hamm	gam	hamm	gemen	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
hamm	hamm	hamm	hamm	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
auschwitz	auschwitz	auschwitz	auschwitz	PROPN	N;NEUT;SG
planungen	planning	planung	planning	V;NFIN	N;MASC+FEM;SG
planungen	plannen	planung	plan	V;NFIN	N;PL
planungen	plannen	planung	plan	V;NFIN	N;PL
beendigung	beëindiging	beendigung	beëindiging	ADV	N;MASC+FEM;SG
beendigung	opzegging	beendigung	opzegging	ADV	N;MASC+FEM;SG
detroit	detroit	detroit	detroit	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
emma	emma	emma	emma	PROPN;NOM;SG	N;MASC+FEM;SG
publikation	publikaties	publikation	publikatie	N;NOM;FEM;SG	N;PL
publikation	publicaties	publikation	publicatie	N;NOM;FEM;SG	N;PL
stoff	doek	stoff	doek		N;NEUT;SG
stoff	substantie	stoff	substantie		N;MASC+FEM;SG
stoff	stof	stoff	stof		N;MASC+FEM;SG
stoff	weefsel	stoff	weefsel		N;NEUT;SG
fremden	vreemdelingen	fremd	vreemdeling	ADJ	N;PL
fremden	aliens	fremd	aliens	ADJ	N;PL
fremden	vreemdelingen	fremd	vreemdeling	ADJ	N;PL
fremden	vreemdeling	fremd	vreemdeling	ADJ	N;MASC+FEM;SG
gelben	gele	gelb	geel		ADJ
gelben	geel	gelb	geel		ADJ
krankheiten	ziektes	krankheit	ziekte	V;NFIN	N;PL
krankheiten	ziekten	krankheit	ziekte	V;NFIN	N;PL
krankheiten	ziekte	krankheit	ziekte	V;NFIN	N;MASC+FEM;SG
krankheiten	ziektes	krankheit	ziekte	V;NFIN	N;PL
krankheiten	ziekten	krankheit	ziekte	V;NFIN	N;PL
krankheiten	stoornissen	krankheit	stoornis	V;NFIN	N;PL
krankheiten	aandoeningen	krankheit	aandoening	V;NFIN	N;PL
krankheiten	ziekte	krankheit	ziekte	V;NFIN	N;MASC+FEM;SG
zentimetern	centimeters	zentimetern	centimeter	ADJ	N;PL
bukarest	boekarest	bukarest	boekarest	PROPN;NOM;NEUT;SG	N;MASC+FEM;SG
mans	mans	mans	mans	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
denkmäler	gedenktekens	denkmäl	denkenken	ADJ	N;PL
denkmäler	monumenten	denkmäl	monument	ADJ	N;PL
maine	maine	mainen	maine	PROPN;NOM;SG	N;MASC+FEM;SG
rief	riepen	rufen	roepen	V;IND;SG;3;PST;FIN	V;PL;PST;FIN
entlassung	ontladen	entlassung	ontladen	N;NOM;FEM;SG	V;V.PTCP
entlassung	lozen	entlassung	lozen	N;NOM;FEM;SG	V;NFIN
kongo	congo	kongo	congo	PROPN;NOM;MASC;SG	N;NEUT;SG
stämme	stammen	stammen	stam		N;PL
stämme	stammen	stammen	stam		N;PL
siebten	seventh	siebt	seventh	ADJ;NOM;MASC;SG	
musikern	musici	musikern	musicus	V;NFIN	N;PL
musikern	muzikanten	musikern	muzikant	V;NFIN	N;PL
grob	grofweg	grob	grofweg	ADJ	ADV
dialekt	dialect	dialekt	dialect	ADJ	N;NEUT;SG
dialekt	volkstaal	dialekt	volkstaal	ADJ	N;MASC+FEM;SG
dialekt	dialecten	dialekt	dialect	ADJ	N;PL
philologie	filologie	philologie	filologie	PROPN;NOM;SG	N;MASC+FEM;SG
hofmann	hofmann	hofmann	hofmann	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
südkorea	taiwan	südkorea	taiwan	PROPN;NOM;MASC;SG	PROPN;NEUT;SG
südkorea	taiwanese	südkorea	taiwanees	PROPN;NOM;MASC;SG	ADJ
südkorea	korea	südkorea	korea	PROPN;NOM;MASC;SG	PROPN;NEUT;SG
südkorea	seoul	südkorea	seoul	PROPN;NOM;MASC;SG	N;NEUT;SG
südkorea	seoel	südkorea	seoel	PROPN;NOM;MASC;SG	N;NEUT;SG
beachtung	aandacht	beachtung	aandacht		N;MASC+FEM;SG
beachtung	attentie	beachtung	attentie		N;MASC+FEM;SG
beachtung	opgelet	beachtung	opletten		V;V.PTCP
grimm	grimm	greimen	grimm		N;MASC+FEM;SG
merkmal	kenmerkend	merkmal	kenmerken	ADJ	V;V.PTCP
merkmal	kenmerk	merkmal	kenmerk	ADJ	N;NEUT;SG
merkmal	kenmerk	merkmal	kenmerk	ADJ	N;NEUT;SG
merkmal	functie	merkmal	functie	ADJ	N;MASC+FEM;SG
orthodoxen	orthodoxie	orthodox	orthodoxie	ADJ	N;MASC+FEM;SG
epoche	tijdperken	epoch	tijdperk	N;SG	N;PL
engineering	engineering	engineering	engineering	PROPN	N;MASC+FEM;SG
engineering	machinebouw	engineering	machinebouw	PROPN	N;MASC+FEM;SG
engineering	techniek	engineering	techniek	PROPN	N;MASC+FEM;SG
rechnung	rekening	rechnung	rekening	PROPN;SG	N;MASC+FEM;SG
rechnung	account	rechnung	accounen	PROPN;SG	N;NEUT;SG
rechnung	facturen	rechnung	factuur	PROPN;SG	N;PL
rechnung	facturen	rechnung	factuur	PROPN;SG	N;PL
rechnung	bill	rechnung	bill	PROPN;SG	N;MASC+FEM;SG
rechnung	wetsontwerp	rechnung	wetsontwerp	PROPN;SG	N;NEUT;SG
rechnung	wetsvoorstel	rechnung	wetsvoorstel	PROPN;SG	N;NEUT;SG
rechnung	factuur	rechnung	factuur	PROPN;SG	N;MASC+FEM;SG
browser	browsers	brows	browser	ADJ	N;PL
browser	browser	brows	browser	ADJ	N;MASC+FEM;SG
konsul	consul	konsul	consul		N;MASC+FEM;SG
stab	steken	stab	steken		V;NFIN
stab	steek	stab	steek		V;SG;PRS;FIN
stab	hengel	stab	hengel		N;MASC+FEM;SG
stab	idd	stab	idd		INTJ
stab	rod	stab	rod		N;MASC+FEM;SG
wertung	scoren	wertung	scoren	N;FEM;SG	V;NFIN
vorschriften	verordeningen	vorschreifen	verordening	V;NFIN	N;PL
vorschriften	reglementen	vorschreifen	reglement	V;NFIN	N;PL
vorschriften	voorschriften	vorschreifen	voorschrift	V;NFIN	N;PL
vorschriften	rules	vorschreifen	rules	V;NFIN	N;PL
vorschriften	regels	vorschreifen	regel	V;NFIN	N;PL
vorschriften	specificaties	vorschreifen	specificatie	V;NFIN	N;PL
vorschriften	bepalingen	vorschreifen	bepaling	V;NFIN	N;PL
eintracht	eintracht	eintrachen	eintracht	PROPN	N;MASC+FEM;SG
eintracht	harmonie	eintrachen	harmonie	PROPN	N;MASC+FEM;SG
eintracht	harmony	eintrachen	harmony	PROPN	N;MASC+FEM;SG
eintragen	register	eintragen	register	V;NFIN	N;NEUT;SG
eintragen	enter	eintragen	enter	V;NFIN	N;NEUT;SG
rad	rad	raden	rad		N;NEUT;SG
rad	wiel	raden	wiel		N;NEUT;SG
rad	rad	raden	rad		N;NEUT;SG
götter	goden	gott	god		N;PL
vfb	vfb	vfb	vfb	PROPN;NOM;MASC;SG	PROPN;NEUT;SG
lass	laten	laß	laten	V;IND;SG;2;PRS;FIN	V;PL;PRS;FIN
harz	harz	harz	harz		N;MASC+FEM;SG
harz	hars	harz	hars		N;MASC+FEM;SG
beitragen	bijdragen	beitragen	bijdrage	V;NFIN	N;PL
lars	lars	lars	lars	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
lucas	lucas	lucas	lucas	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
südtirol	südtirol	südtirol	südtirol	PROPN	N;MASC+FEM;SG
schiedsrichter	arbiter	schiedsrichter	arbiter	ADJ	N;MASC+FEM;SG
schiedsrichter	scheidsrechter	schiedsrichter	scheidsrechter	ADJ	N;MASC+FEM;SG
schiedsrichter	scheidsrechter	schiedsrichter	scheidsrechter	ADJ	N;MASC+FEM;SG
schiedsrichter	ref	schiedsrichter	ref	ADJ	N;MASC+FEM;SG
schiedsrichter	scheidsrechter	schiedsrichter	scheidsrechter	ADJ	N;MASC+FEM;SG
schiedsrichter	scheidsrechters	schiedsrichter	scheidsrechter	ADJ	N;PL
dünn	skinny	dünn	skinny	ADJ	N;MASC+FEM;SG
dünn	thin	dünn	thin	ADJ	
bestimmungen	verordeningen	bestimmung	verordening	V;NFIN	N;PL
bestimmungen	reglementen	bestimmung	reglement	V;NFIN	N;PL
bestimmungen	bepalingen	bestimmung	bepaling	V;NFIN	N;PL
mauern	prikbord	mauern	prikbord	V;NFIN	N;NEUT;SG
mauern	wand	mauern	wand	V;NFIN	N;MASC+FEM;SG
mauern	muur	mauern	muur	V;NFIN	N;MASC+FEM;SG
mauern	muren	mauern	muur	V;NFIN	N;PL
mauern	wanden	mauern	wand	V;NFIN	N;PL
three	drie	threen	drie	PROPN	NUM
three	three	threen	three	PROPN	
verlieren	los	verlieren	los	V;NFIN	ADJ
verlieren	losjes	verlieren	los	V;NFIN	N;PL
verlieren	losse	verlieren	losse	V;NFIN	ADJ
verlieren	verlies	verlieren	verlies	V;NFIN	N;NEUT;SG
gefangenschaft	gevangene	gefangenschaft	vangen	ADJ	V;V.PTCP
gefangenschaft	opsluiting	gefangenschaft	opsluiting	ADJ	N;MASC+FEM;SG
gefangenschaft	gevangenneming	gefangenschaft	gevangenneming	ADJ	N;MASC+FEM;SG
gefangenschaft	gevangenisstraf	gefangenschaft	gevangenisstraf	ADJ	N;MASC+FEM;SG
gefangenschaft	gevangenschap	gefangenschaft	gevangenschap	ADJ	N;MASC+FEM;SG
gefangenschaft	nablijven	gefangenschaft	nablijf	ADJ	V;NFIN
gefangenschaft	detentie	gefangenschaft	detentie	ADJ	N;MASC+FEM;SG
gefangenschaft	bewaring	gefangenschaft	bewaring	ADJ	N;MASC+FEM;SG
gefangenschaft	gevangenschap	gefangenschaft	gevangenschap	ADJ	N;MASC+FEM;SG
henning	henning	hennengen	henning	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
comics	comics	comic	comics	PROPN	N;MASC+FEM;SG
comics	strips	comic	strip	PROPN	N;PL
comics	stripverhalen	comic	stripverhaal	PROPN	N;PL
comics	stripboeken	comic	stripboek	PROPN	N;PL
comics	stripverhaal	comic	stripverhaal	PROPN	N;NEUT;SG
comics	comic	comic	comic	PROPN	N;MASC+FEM;SG
comics	komiek	comic	komiek	PROPN	N;MASC+FEM;SG
umfassenden	veelomvattend	umfassend	veelomvattend	V;FIN	ADJ
sainte	sainte	sainen	sainte	PROPN;NOM;SG	N;MASC+FEM;SG
moon	maan	moon	maan	PROPN;NOM;SG	N;MASC+FEM;SG
moon	moon	moon	moon	PROPN;NOM;SG	N;MASC+FEM;SG
wem	wie	wer	wie	ADV	PRO;3
wem	who	wer	who	ADV	
wem	wiens	wer	wie	ADV	DET
teufel	hel	teufel	hel		N;MASC+FEM;SG
teufel	hell	teufel	hell		N;MASC+FEM;SG
teufel	duivel	teufel	duivel		N;MASC+FEM;SG
teufel	duivels	teufel	duivel		N;PL
teufel	satan	teufel	satan		N;MASC+FEM;SG
teufel	duivels	teufel	duivel		N;PL
notre	notre	notre	notre	PROPN;SG	N;MASC+FEM;SG
leinwand	canvas	leinwand	canvas		N;NEUT;SG
leinwand	doek	leinwand	doek		N;NEUT;SG
leinwand	screen	leinwand	screen		N;MASC+FEM;SG
leinwand	scherm	leinwand	scherm		N;NEUT;SG
leinwand	beeldscherm	leinwand	beeldscherm		N;NEUT;SG
rugby	rugby	rugby	rugby	PROPN	N;MASC+FEM;SG
vorhaben	project	vorhaben	project		N;NEUT;SG
vorhaben	projecten	vorhaben	project		N;PL
riga	riga	riga	riga	PROPN;NOM;SG	N;NEUT;SG
kameramann	cameraman	kameramann	cameraman	ADJ	N;MASC+FEM;SG
vorn	front	vorn	front	ADV	
vorn	voorkant	vorn	voorkant	ADV	N;MASC+FEM;SG
vorn	voorzijde	vorn	voorzijde	ADV	N;MASC+FEM;SG
madonna	madonna	madonna	madonna	PROPN;NOM;SG	N;MASC+FEM;SG
roberto	roberto	roberto	roberto	PROPN	N;MASC+FEM;SG
bedeutend	beduidend	bedeutend	beduiden	ADJ	V;V.PTCP
bedeutend	significant	bedeutend	significant	ADJ	N;MASC+FEM;SG
wohnen	living	wohnen	living	V;NFIN	N;MASC+FEM;SG
wohnen	huisvesting	wohnen	huisvesting	V;NFIN	N;MASC+FEM;SG
wohnen	live	wohnen	live	V;NFIN	N;MASC+FEM;SG
wohnen	leven	wohnen	leven	V;NFIN	N;NEUT;SG
vorfahren	voorvaderen	vorfahren	voorvaderen		N;PL
vorfahren	voorouders	vorfahren	voorouder		N;PL
