din	fra	din	fra	ADP;ACC	ADV
cod	koder	cod	kode		N;INDF;MASC+FEM;PL
cod	kode	cod	kode		N;INDF;MASC+FEM;SG
cod	koden	cod	koden		N;DEF;MASC+FEM;SG
cod	torsk	cod	torsk		N;INDF;MASC+FEM;SG
cod	cod	cod	cod		
populatie	befolkningen	populatie	befolkning	N;INDF;FEM;SG	N;DEF;MASC+FEM;SG
populatie	indbyggere	populatie	indbygger	N;INDF;FEM;SG	N;INDF;MASC+FEM;PL
bucuresti	bukarest	bucurest	bukarest	PROPN	ADJ;RL
bucuresti	bucuresti	bucurest	bucuresti	PROPN	N;INDF
bucuresti	bukarest	bucurest	bukarest	PROPN	ADJ;RL
bucuresti	bukarest	bucurest	bukarest	PROPN	ADJ;RL
romania	rumænien	romanie	rumænie	N;DEF;FEM;SG	PROPN
romania	rumænien	romanie	rumænie	N;DEF;FEM;SG	PROPN
jpg	jpg	jpg	jpg	N	
lista	liste	listă	liste	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
lista	list	listă	list	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
lista	liste	listă	liste	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
lista	list	listă	list	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
ucraina	ukraine	ucraina	ukrain	PROPN	PROPN
ani	ani	an	ani	N;INDF;MASC;PL	
ani	år	an	år	N;INDF;MASC;PL	N;INDF;NEUT;SG
avea	havde	avea	have	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
avea	haft	avea	have	V;IND;SG;3;IPFV;FIN	V;INDF;SG;PST;V.PTCP
intre	mellem	intra	mellem	V;SBJV;3;PRS;FIN	ADP
intre	imellem	intra	imellem	V;SBJV;3;PRS;FIN	ADV
intre	mellem	intra	mellem	V;SBJV;3;PRS;FIN	ADP
intre	imellem	intra	imellem	V;SBJV;3;PRS;FIN	ADV
pana	till	pană	till	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
pana	indtil	pană	indtil	N;DEF;FEM;SG	CONJ
pana	fjer	pană	fjer	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
doua	to	doi	to	NUM;FEM;SG	NUM
doua	to	doi	to	NUM;FEM;SG	NUM
rege	kongens	rege	konge	N;INDF;MASC;SG	N;GEN;DEF;MASC+FEM;SG
rege	kong	rege	kong	N;INDF;MASC;SG	
rege	kongen	rege	konge	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
rege	king	rege	king	N;INDF;MASC;SG	
sub	under	sub	under	ADP;ACC	ADV
alte	andre	alt	anden	DET;FEM;PL;3	PRO;PL
alte	andet	alt	anden	DET;FEM;PL;3	PRO;NEUT;SG
cand	da	cand	da		ADV
cand	når	cand	når		CONJ
cand	hvornår	cand	hvornår		ADV
cand	da	cand	da		ADV
cand	når	cand	når		CONJ
cand	hvornår	cand	hvornår		ADV
anii	år	an	år	N;DEF;MASC;PL	N;INDF;NEUT;SG
judetul	county	judet	county	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
judetul	amt	judet	amt	N;DEF;MASC;SG	N;INDF;NEUT;SG
judetul	amtskommune	judet	amtskommun	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
judetul	county	judet	county	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
judetul	amt	judet	amt	N;DEF;MASC;SG	N;INDF;NEUT;SG
judetul	amtskommune	judet	amtskommun	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
centura	sikkerhedssele	centură	sikkerhedssel	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
centura	bælte	centură	bælte	N;DEF;FEM;SG	N;INDF;NEUT;SG
centura	sele	centură	sel	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
centura	bælte	centură	bælte	N;DEF;FEM;SG	N;INDF;NEUT;SG
centura	sele	centură	sel	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
dinastia	dynasti	dinastie	dynasti	N;DEF;FEM;SG	N;INDF;NEUT;SG
timp	tiden	timp	tid	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
despre	omkring	despre	omkring	ADP;ACC	ADV
majoritatea	højst	majoritate	højst	N;DEF;FEM;SG	ADV
majoritatea	mest	majoritate	mest	N;DEF;FEM;SG	ADV;RL
majoritatea	majoritet	majoritate	majoritet	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
majoritatea	flertal	majoritate	flertal	N;DEF;FEM;SG	N;INDF;NEUT;SG
limba	tunge	limbă	tung	N;DEF;FEM;SG	ADJ;PL
limba	tongue	limbă	tongue	N;DEF;FEM;SG	
limba	sprog	limbă	sprog	N;DEF;FEM;SG	N;INDF;NEUT;SG
limba	tunge	limbă	tung	N;DEF;FEM;SG	ADJ;PL
limba	tongue	limbă	tongue	N;DEF;FEM;SG	
limba	sprog	limbă	sprog	N;DEF;FEM;SG	N;INDF;NEUT;SG
multe	mange	mult	mange	PRO;FEM;PL;3	ADJ;PL
socorro	socorro	socorro	socorro		
prima	første	prim	første	NUM;DEF;FEM;SG	ADJ
prima	først	prim	først	NUM;DEF;FEM;SG	ADV
prima	præmie	prim	præmie	NUM;DEF;FEM;SG	N;INDF;MASC+FEM;SG
prima	premium	prim	premium	NUM;DEF;FEM;SG	
prima	præmien	prim	præmie	NUM;DEF;FEM;SG	N;DEF;MASC+FEM;SG
sat	village	sat	villag	N;INDF;MASC;SG	
sat	landsbyen	sat	landsby	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
sat	sat	sat	sætte	N;INDF;MASC;SG	V;INDF;SG;PST;V.PTCP
sat	siddet	sat	sidde	N;INDF;MASC;SG	V;INDF;SG;PST;V.PTCP
sat	sad	sat	sidde	N;INDF;MASC;SG	V;IND;PST;FIN;ACT
martie	marchere	martie	marcher	N;INDF;MASC;SG	V;NFIN;ACT
biserica	church	biserică	church	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
biserica	kirke	biserică	kirke	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
biserica	church	biserică	church	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
biserica	kirke	biserică	kirke	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
fisier	filen	fisier	fil	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
fisier	filen	fisier	fil	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
toate	alle	tot	al	PRO;FEM;PL;3	ADJ;PL
toate	alt	tot	al	PRO;FEM;PL;3	ADJ;NEUT;SG
latns	latns	latns	latns		
latd	latd	latd	latd		
longd	longd	longd	longd		
adresa	adresse	adresă	adresse	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
adresa	adresse	adresă	adresse	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
imagine	billedet	imagine	billede	N;INDF;FEM;SG	N;DEF;NEUT;SG
statul	stat	stat	stat	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
statul	state	stat	state	N;DEF;MASC;SG	
statul	delstat	stat	delstat	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
statul	tilstand	stat	tilstand	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
fie	enten	fie	enten	CONJ;POS	ADV
familia	familie	familie	familie	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
familia	family	familie	family	N;DEF;FEM;SG	
numele	betegnelse	nume	betegnelse	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
numele	navn	nume	navn	N;DEF;MASC;SG	N;INDF;NEUT;SG
timpul	tid	timp	tid	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
timpul	tidspunkt	timp	tidspunkt	N;DEF;MASC;SG	N;INDF;NEUT;SG
timpul	gang	timp	gang	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
timpul	klokkeslæt	timp	klokkeslæt	N;DEF;MASC;SG	N;INDF;NEUT;SG
nord	nordpå	nord	nordpå	N;INDF;MASC;SG	ADV
nord	nordlige	nord	nordlig	N;INDF;MASC;SG	ADJ;PL
principala	vigtigste	principal	vigtig	ADJ;DEF;FEM;SG	ADJ;DEF;RL
principala	main	principal	main	ADJ;DEF;FEM;SG	
principala	vigtigste	principal	vigtig	ADJ;DEF;FEM;SG	ADJ;DEF;RL
principala	main	principal	main	ADJ;DEF;FEM;SG	
sud	sydpå	sud	sydpå	N;INDF;MASC;SG	ADV
sud	sydlige	sud	sydlig	N;INDF;MASC;SG	ADJ;PL
erau	var	fi	være	V;IND;PL;3;IPFV;FIN	V;IND;PST;FIN;ACT
loc	stedet	loc	sted	N;INDF;MASC;SG	N;DEF;NEUT;SG
loc	place	loc	place	N;INDF;MASC;SG	
primul	første	prim	første	NUM;DEF;MASC;SG	ADJ
primul	først	prim	først	NUM;DEF;MASC;SG	ADV
editura	forlægger	editură	forlægge	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
editura	udgiver	editură	udgive	N;DEF;FEM;SG	V;IND;PRS;FIN;ACT
editura	forlag	editură	forlag	N;DEF;FEM;SG	N;INDF;NEUT;SG
asteroid	asteroide	asteroid	asteroide	ADJ;INDF;MASC;SG	N;INDF;MASC+FEM;SG
recensamantului	optælling	recensamant	optælling	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
recensamantului	folketælling	recensamant	folketælling	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
trei	three	trei	thre	NUM;PL	
lats	lats	lats	lats		
longm	longm	longm	longm		
latm	latm	latm	latm		
discutie	diskussioner	discutie	diskussion	N;INDF;FEM;SG	N;INDF;MASC+FEM;PL
discutie	drøftelser	discutie	drøftelse	N;INDF;FEM;SG	N;INDF;MASC+FEM;PL
discutie	diskussioner	discutie	diskussion	N;INDF;FEM;SG	N;INDF;MASC+FEM;PL
discutie	drøftelser	discutie	drøftelse	N;INDF;FEM;SG	N;INDF;MASC+FEM;PL
discutie	diskussioner	discutie	diskussion	N;INDF;FEM;SG	N;INDF;MASC+FEM;PL
discutie	drøftelser	discutie	drøftelse	N;INDF;FEM;SG	N;INDF;MASC+FEM;PL
franta	frankrig	frantă	frankrig	PROPN	
franta	france	frantă	france	PROPN	
franta	frankrig	frantă	frankrig	PROPN	
franta	france	frantă	france	PROPN	
franta	frankrig	frantă	frankrig	PROPN	
franta	france	frantă	france	PROPN	
partea	del	parte	del	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
mult	much	mult	much	ADV	
mult	meget	mult	meget	ADV	ADJ;INDF;SG
fara	uden	fară	uden		ADV
fara	uden	fară	uden		ADV
departamentul	afdeling	departament	afdeling	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
departamentul	departement	departament	departement	N;DEF;MASC;SG	N;INDF;NEUT;SG
foarte	meget	foarte	meget	ADV	ADJ;INDF;SG
data	date	dată	date	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
data	dato	dată	dato	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
data	oplysninger	dată	oplysning	N;DEF;FEM;SG	N;INDF;MASC+FEM;PL
data	data	dată	data	N;DEF;FEM;SG	N;INDF;NEUT;PL
data	date	dată	date	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
data	dato	dată	dato	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
departament	afdelingen	departament	afdeling	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
grup	gruppen	grup	gruppe	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
locul	place	loc	place	N;DEF;MASC;SG	
locul	sted	loc	sted	N;DEF;MASC;SG	N;INDF;NEUT;SG
locul	plads	loc	plads	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
oras	byen	oras	by	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
oras	city	oras	city	N;INDF;MASC;SG	
oras	byen	oras	by	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
oras	byen	oras	by	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
oras	city	oras	city	N;INDF;MASC;SG	
oras	byen	oras	by	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
oras	byen	oras	by	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
oras	city	oras	city	N;INDF;MASC;SG	
oras	byen	oras	by	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
pot	can	putea	cinke	V;IND;PL;3;PRS;FIN	
camp	lejren	camp	lejr	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
camp	camp	camp	camp	N;INDF;MASC;SG	
camp	marken	camp	mark	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
germania	tyskland	germania	tyskland	PROPN	PROPN
face	lav	face	lav	V;IND;SG;3;PRS;FIN	V;IMP
face	foretag	face	foretag	V;IND;SG;3;PRS;FIN	V;IMP
satul	village	sat	villag	N;DEF;MASC;SG	
satul	landsby	sat	landsby	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
national	nationale	national	national	ADJ;INDF;MASC;SG	ADJ;PL
national	nationalt	national	nationalt	ADJ;INDF;MASC;SG	ADV
national	national	national	national	ADJ;INDF;MASC;SG	
national	nationale	national	national	ADJ;INDF;MASC;SG	ADJ;PL
national	nationalt	national	nationalt	ADJ;INDF;MASC;SG	ADV
national	national	national	national	ADJ;INDF;MASC;SG	
national	nationale	national	national	ADJ;INDF;MASC;SG	ADJ;PL
national	nationalt	national	nationalt	ADJ;INDF;MASC;SG	ADV
national	national	national	national	ADJ;INDF;MASC;SG	
perioada	tidsrum	perioadă	tidsrum	N;DEF;FEM;SG	N;INDF;NEUT;SG
perioada	periode	perioadă	periode	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
perioada	tidsrum	perioadă	tidsrum	N;DEF;FEM;SG	N;INDF;NEUT;SG
perioada	periode	perioadă	periode	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
minoritate	mindretallet	minoritate	mindretal	N;INDF;FEM;SG	N;DEF;NEUT;SG
ucraineana	ukrainsk	ucrainean	ukrainsk	N;DEF;FEM;SG	ADJ;INDF;SG
ucraineana	ukrainske	ucrainean	ukrainsk	N;DEF;FEM;SG	ADJ;PL
cadrul	rammer	cadru	ramme	N;DEF;MASC;SG	V;IND;PRS;FIN;ACT
cadrul	ramme	cadru	ramme	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
general	generelt	general	generel	ADJ;INDF;MASC;SG	ADV
general	generelle	general	generel	ADJ;INDF;MASC;SG	ADJ;PL
razboi	krigen	razboi	krig	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
razboi	war	razboi	war	N;INDF;MASC;SG	
razboi	krige	razboi	krig	N;INDF;MASC;SG	N;INDF;MASC+FEM;PL
razboi	krigen	razboi	krig	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
razboi	war	razboi	war	N;INDF;MASC;SG	
razboi	krige	razboi	krig	N;INDF;MASC;SG	N;INDF;MASC+FEM;PL
peste	over	peste	over	ADP;ACC	ADV
peste	derover	peste	derover	ADP;ACC	ADV
peste	slut	peste	slut	ADP;ACC	N
peste	fisk	peste	fisk	ADP;ACC	N;INDF;MASC+FEM;SG
peste	fish	peste	fish	ADP;ACC	N;INDF;MASC+FEM;SG
peste	fiske	peste	fisk	ADP;ACC	V;NFIN;ACT
romana	rumænske	romană	rumænsk	N;DEF;FEM;SG	ADJ;PL
romana	rumænsk	romană	rumænsk	N;DEF;FEM;SG	ADJ;INDF;SG
romana	romerske	romană	romersk	N;DEF;FEM;SG	ADJ;PL
romana	roman	romană	roman	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
romana	romer	romană	rome	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
romana	romersk	romană	romersk	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
romana	romana	romană	romana	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
afla	lære	afla	lære	V;IND;SG;3;IPFV;FIN	N;INDF;MASC+FEM;SG
afla	lær	afla	lær	V;IND;SG;3;IPFV;FIN	V;IMP
inceput	startet	incepe	starte	ADJ;INDF;MASC;SG	V;INDF;SG;PST;V.PTCP
inceput	påbegyndt	incepe	påbegynde	ADJ;INDF;MASC;SG	V;INDF;SG;PST;V.PTCP
inceput	begyndte	incepe	begynde	ADJ;INDF;MASC;SG	V;IND;PST;FIN;ACT
inceput	begyndt	incepe	begynde	ADJ;INDF;MASC;SG	V;INDF;SG;PST;V.PTCP
inceput	startede	incepe	starte	ADJ;INDF;MASC;SG	V;IND;PST;FIN;ACT
inceput	begynder	incepe	begynde	ADJ;INDF;MASC;SG	V;IND;PRS;FIN;ACT
inceput	begyndelse	incepe	begyndelse	ADJ;INDF;MASC;SG	N;INDF;MASC+FEM;SG
inceput	begyndelsen	incepe	begyndelse	ADJ;INDF;MASC;SG	N;DEF;MASC+FEM;SG
iii	iii	trei	iii	NUM;SG	NUM
duce	duke	duce	duke	V;IND;SG;3;PRS;FIN	
duce	hertug	duce	hertug	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
duce	duce	duce	duc	V;IND;SG;3;PRS;FIN	
roman	rumænske	roman	rumænsk	N;INDF;MASC;SG	ADJ;PL
roman	rumænsk	roman	rumænsk	N;INDF;MASC;SG	ADJ;INDF;SG
roman	romerske	roman	romersk	N;INDF;MASC;SG	ADJ;PL
roman	novellen	roman	novel	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
provincia	provins	provincie	provins	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
existand	bestående	existand	bestå		V;PRS;V.PTCP
existand	eksisterende	existand	eksistere		V;PRS;V.PTCP
wikipedia	wikipedia	wikipedia	wikipedia	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
specie	dyrearter	specie	dyrearter	N;INDF;FEM;SG	N;INDF;NEUT;PL
specie	arter	specie	arte	N;INDF;FEM;SG	N;INDF;MASC+FEM;PL
punct	dot	punct	dot	N;INDF;MASC;SG	
punct	peg	punct	peg	N;INDF;MASC;SG	
stat	state	stat	state	N;INDF;MASC;SG	
unite	forenet	unit	forenet	ADJ;INDF;FEM;PL	V;INDF;SG;PST;V.PTCP
unite	united	unit	united	ADJ;INDF;FEM;PL	
unite	forenede	unit	forene	ADJ;INDF;FEM;PL	V;PL;PST;V.PTCP
moldova	moldovas	moldova	moldovas	PROPN	
moldova	moldova	moldova	moldova	PROPN	
aceste	disse	acest	denne	DET;FEM;PL;3	PRO;PL
secolul	århundrede	secol	århundrede	N;DEF;MASC;SG	N;INDF;NEUT;SG
life	liv	life	liv		N;INDF;NEUT;SG
life	livet	life	liv		N;DEF;NEUT;SG
life	livstid	life	livstid		N;INDF;MASC+FEM;SG
life	life	life	life		
resedinta	opholdssted	resedinta	opholdssted	N;DEF;FEM;SG	N;INDF;NEUT;SG
resedinta	ophold	resedinta	ophold	N;DEF;FEM;SG	N;INDF;NEUT;SG
resedinta	bopæl	resedinta	bopæl	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
resedinta	bolig	resedinta	bolig	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
resedinta	opholdssted	resedinta	opholdssted	N;DEF;FEM;SG	N;INDF;NEUT;SG
resedinta	ophold	resedinta	ophold	N;DEF;FEM;SG	N;INDF;NEUT;SG
resedinta	bopæl	resedinta	bopæl	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
resedinta	bolig	resedinta	bolig	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
resedinta	opholdssted	resedinta	opholdssted	N;DEF;FEM;SG	N;INDF;NEUT;SG
resedinta	ophold	resedinta	ophold	N;DEF;FEM;SG	N;INDF;NEUT;SG
resedinta	bopæl	resedinta	bopæl	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
resedinta	bolig	resedinta	bolig	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
orasul	city	oras	city	N;DEF;MASC;SG	
orasul	storby	oras	storby	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
orasul	by	oras	by	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
orasul	town	oras	town	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
orasul	by	oras	by	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
orasul	city	oras	city	N;DEF;MASC;SG	
orasul	storby	oras	storby	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
orasul	by	oras	by	N;DEF;MASC;SG	N;INDF;MASC+FEM;SG
tot	alle	tot	al	PRO;MASC;SG;3	ADJ;PL
tot	alt	tot	al	PRO;MASC;SG;3	ADJ;NEUT;SG
tot	stadig	tot	stadig	PRO;MASC;SG;3	ADV
tot	stadigvæk	tot	stadigvæk	PRO;MASC;SG;3	ADV
chiar	selv	chiar	selv	ADV	PRO
facut	made	face	made	ADJ;INDF;MASC;SG	
facut	lavet	face	lave	ADJ;INDF;MASC;SG	V;INDF;SG;PST;V.PTCP
facut	foretaget	face	foretage	ADJ;INDF;MASC;SG	V;INDF;SG;PST;V.PTCP
cunoscute	vidst	cunoscut	vidst	ADJ;INDF;FEM;PL	ADV
cunoscute	kendte	cunoscut	kende	ADJ;INDF;FEM;PL	V;IND;PST;FIN;ACT
cunoscute	kendt	cunoscut	kendt	ADJ;INDF;FEM;PL	ADJ;INDF;SG
film	movie	film	movie	N;INDF;MASC;SG	
film	film	film	film	N;INDF;MASC;SG	N;INDF;MASC+FEM;PL
film	filme	film	filme	N;INDF;MASC;SG	V;NFIN;ACT
film	film	film	film	N;INDF;MASC;SG	N;INDF;MASC+FEM;PL
cunoscuta	vidst	cunoscuta	vidst	ADJ;DEF;FEM;SG	ADV
cunoscuta	kendte	cunoscuta	kende	ADJ;DEF;FEM;SG	V;IND;PST;FIN;ACT
cunoscuta	kendt	cunoscuta	kendt	ADJ;DEF;FEM;SG	ADJ;INDF;SG
decat	end	decat	end		ADP
decat	end	decat	end		ADP
mari	big	mare	big	ADJ;INDF;PL	
mari	stor	mare	stor	ADJ;INDF;PL	ADJ;INDF;MASC+FEM;SG
mari	stort	mare	stor	ADJ;INDF;PL	ADJ;INDF;NEUT;SG
mari	mari	mare	mari	ADJ;INDF;PL	
mari	haves	mare	have	ADJ;INDF;PL	V;IND;PRS;FIN;PASS
fata	front	fată	front	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
fata	foran	fată	foran	N;DEF;FEM;SG	ADV
fata	forside	fată	forside	N;DEF;FEM;SG	V;IMP
fata	ansigt	fată	ansigt	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	fjæs	fată	fjæs	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	face	fată	face	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	ansigt	fată	ansigt	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	fjæs	fată	fjæs	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	face	fată	face	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	girl	fată	girl	N;DEF;FEM;SG	
fata	tøs	fată	tøs	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
fata	pige	fată	pige	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
fata	ansigt	fată	ansigt	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	fjæs	fată	fjæs	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	face	fată	face	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	girl	fată	girl	N;DEF;FEM;SG	
fata	tøs	fată	tøs	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
fata	pige	fată	pige	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
fata	ansigt	fată	ansigt	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	fjæs	fată	fjæs	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	face	fată	face	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	ansigt	fată	ansigt	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	fjæs	fată	fjæs	N;DEF;FEM;SG	N;INDF;NEUT;SG
fata	face	fată	face	N;DEF;FEM;SG	N;INDF;NEUT;SG
club	klubben	club	klub	N;INDF;MASC;SG	N;DEF;MASC+FEM;SG
componente	komponenterne	componentă	komponent	N;INDF;FEM;PL	N;DEF;MASC+FEM;PL
ulterior	efterfølgende	ulterior	efterfølgende	ADV	ADJ
est	østpå	est	østpå	N;INDF;MASC;SG	ADV
est	est	est	est	N;INDF;MASC;SG	
nou	nye	nou	ny	ADJ;INDF;MASC;SG	ADJ;PL
ales	valgt	ales	vælge	ADV	V;INDF;SG;PST;V.PTCP
ales	udvalgt	ales	udvælge	ADV	V;INDF;SG;PST;V.PTCP
ales	valgte	ales	vælge	ADV	V;IND;PST;FIN;ACT
ioan	johannes	ioan	johan	PROPN	N;GEN;INDF;MASC+FEM;SG
ioan	john	ioan	john	PROPN	PROPN
ion	ion	ion	ion	N;INDF;MASC;SG	
rusa	russer	rusa	russe	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
rusa	russiske	rusa	russisk	N;DEF;FEM;SG	ADJ;PL
rusa	russisk	rusa	russisk	N;DEF;FEM;SG	ADJ;INDF;SG
rusa	russer	rusa	russe	N;DEF;FEM;SG	N;INDF;MASC+FEM;SG
