категория	kategorii	категория	kategorie	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
первое	nejdřív	первый	brzy	ADJ;NOM;NEUT;SG	ADV;RL;POS
первое	nejprve	первый	nejprve	ADJ;NOM;NEUT;SG	ADV
первое	nejdříve	первый	brzy	ADJ;NOM;NEUT;SG	ADV;RL;POS
всего	celková	все	celkový	PRO;INAN;GEN;NEUT;SG	ADJ;NOM;FEM;SG;POS
всего	celkové	все	celkový	PRO;INAN;GEN;NEUT;SG	ADJ;NOM;NEUT;SG;POS
всего	celkový	все	celkový	PRO;INAN;GEN;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
всего	celkem	все	celkem	PRO;INAN;GEN;NEUT;SG	ADV
первый	nejdřív	первый	brzy	ADJ;NOM;MASC;SG	ADV;RL;POS
первый	nejprve	первый	nejprve	ADJ;NOM;MASC;SG	ADV
первый	nejdříve	первый	brzy	ADJ;NOM;MASC;SG	ADV;RL;POS
карты	karet	карта	karta	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL;POS
карты	map	карта	mapa	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL;POS
два	dvojka	два	dvojka	NUM;NOM;MASC	N;NOM;FEM;SG;POS
всех	vse	все	vse	PRO;ANIM;ACC;PL	N;NOM;FEM;SG;POS
всех	všichni	все	všechen	PRO;ANIM;ACC;PL	DET;ANIM;NOM;MASC;PL
всех	všechno	все	všechen	PRO;ANIM;ACC;PL	DET;NOM;NEUT;SG
всех	všechny	все	všechen	PRO;ANIM;ACC;PL	DET;NOM;MASC;PL
всех	vše	все	všechen	PRO;ANIM;ACC;PL	DET;NOM;NEUT;SG
всех	všichni	все	všechen	PRO;ANIM;ACC;PL	DET;ANIM;NOM;MASC;PL
всех	každý	все	každý	PRO;ANIM;ACC;PL	DET;ANIM;NOM;MASC;SG;POS
всех	všem	все	všechen	PRO;ANIM;ACC;PL	DET;DAT;PL
раз	kdysi	раз	kdysi	CONJ	ADV
раз	jednou	раз	jednou	CONJ	ADV
территории	území	территория	území	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
главы	kapitol	глава	kapitola	N;ANIM;NOM;MASC;PL	N;GEN;FEM;PL;POS
карта	mapy	карта	mapa	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
карта	mapu	карта	mapa	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
карта	kartu	карта	karta	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
площадь	oblasti	площадь	oblast	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
всё	všechno	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
всё	vše	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
даже	dokonce	даже	dokonce	PART	ADV
группы	skupinu	группа	skupina	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
группы	skupina	группа	skupina	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
группы	skupin	группа	skupina	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL;POS
размер	velikosti	размер	velikost	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG;POS
поселения	osad	поселение	osada	N;INAN;NOM;NEUT;PL	N;GEN;FEM;PL;POS
над	over	над	over	ADP	N;MASC;SG;POS
над	konec	над	konec	ADP	N;INAN;NOM;MASC;SG;POS
страны	zemi	страна	země	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
страны	země	страна	země	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
страны	země	страна	země	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
ему	jeho	он	jeho	PRO;DAT;MASC;SG;3	DET;3
ему	nej	он	nej	PRO;DAT;MASC;SG;3	N;NOM;MASC;SG;POS
ему	ho	он	on	PRO;DAT;MASC;SG;3	PRO;ACC;SG;3
работы	práce	работа	práce	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
работы	prace	работа	prace	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
работы	pracovní	работа	pracovní	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG;POS
работы	práci	работа	práce	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
работы	pracovat	работа	pracovat	N;INAN;NOM;FEM;PL	V;IPFV;POS;NFIN
упоминание	zmínku	упоминание	zmínka	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG;POS
упоминание	zmínit	упоминание	zmínit	N;INAN;NOM;NEUT;SG	V;PFV;POS;NFIN
истории	dějepis	история	dějepis	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG;POS
истории	historie	история	historie	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
истории	historii	история	historie	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
которая	kterou	который	který	PRO;NOM	DET;ACC;FEM;SG
которая	který	который	který	PRO;NOM	DET;NOM;MASC;SG
которая	která	который	který	PRO;NOM	DET;NOM;FEM;SG
которая	které	который	který	PRO;NOM	DET;NOM;NEUT;PL
александр	alexandre	александр	alexandre	N;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
александр	alexandr	александр	alexandr	N;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
александр	alexander	александр	alexander	N;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
армии	armády	армия	armáda	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
армии	armádní	армия	armádní	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;PL;POS
армии	armádu	армия	armáda	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
армии	army	армия	arma	N;INAN;NOM;FEM;SG	PROPN;FEM;POS
кроме	vyjma	кроме	vyjma	ADP	N;NOM;FEM;SG;POS
игроки	hráče	игрок	hráč	N;ANIM;NOM;MASC;PL	N;ANIM;ACC;MASC;PL;POS
игроки	hráčů	игрок	hráč	N;ANIM;NOM;MASC;PL	N;ANIM;GEN;MASC;PL;POS
игроки	přehrávače	игрок	přehrávač	N;ANIM;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
другие	jiná	другой	jiný	ADJ;NOM;PL	ADJ;NOM;FEM;SG;POS
другие	jiné	другой	jiný	ADJ;NOM;PL	ADJ;NOM;NEUT;SG;POS
другие	jiný	другой	jiný	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;SG;POS
другие	jiné	другой	jiný	ADJ;NOM;PL	ADJ;NOM;NEUT;SG;POS
получил	mám	получить	mít	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;1;POS;PRS;FIN;ACT
история	dějiny	история	dějiny	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
история	historii	история	historie	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
совета	radu	совет	rada	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG;POS
совета	rady	совет	rada	N;INAN;GEN;MASC;SG	N;NOM;FEM;PL;POS
совета	rada	совет	rada	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG;POS
фильм	filmová	фильм	filmový	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
фильм	filmová	фильм	filmový	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
пункты	položek	пункт	položka	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL;POS
пункты	odstavců	пункт	odstavec	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
времени	dob	время	doba	N;INAN;GEN;NEUT;SG	N;GEN;FEM;PL;POS
времени	čas	время	čas	N;INAN;GEN;NEUT;SG	N;INAN;NOM;MASC;SG;POS
времени	doba	время	doba	N;INAN;GEN;NEUT;SG	N;NOM;FEM;SG;POS
времени	time	время	time	N;INAN;GEN;NEUT;SG	N;INAN;NOM;MASC;SG;POS
участник	člena	участник	člen	N;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
участник	členské	участник	členský	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL;POS
страница	stránky	страница	stránka	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
страница	page	страница	page	N;INAN;NOM;FEM;SG	PROPN;MASC;SG;POS
страница	stránku	страница	stránka	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
википедии	wikipedie	википедия	wikipedie	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
человека	lidská	человек	lidský	N;ANIM;ACC;MASC;SG	ADJ;NOM;FEM;SG;POS
человека	člověk	человек	člověk	N;ANIM;ACC;MASC;SG	N;ANIM;NOM;MASC;SG;POS
человека	lidské	человек	lidský	N;ANIM;ACC;MASC;SG	ADJ;NOM;NEUT;SG;POS
человека	lidský	человек	lidský	N;ANIM;ACC;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
автор	autora	автор	autor	N;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
республики	republice	республика	republika	N;INAN;NOM;FEM;PL	N;DAT;FEM;SG;POS
республики	republic	республика	republic	N;INAN;NOM;FEM;PL	PROPN;INAN;MASC;SG;POS
республики	republika	республика	republika	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
статей	předměty	статья	předmět	N;INAN;GEN;FEM;PL	N;INAN;NOM;MASC;PL;POS
статей	výrobky	статья	výrobek	N;INAN;GEN;FEM;PL	N;INAN;NOM;MASC;PL;POS
статей	články	статья	článek	N;INAN;GEN;FEM;PL	N;INAN;NOM;MASC;PL;POS
случае	case	случай	casa	N;INAN;ESS;MASC;SG	PROPN;NOM;MASC;SG;POS
случае	případě	случай	případ	N;INAN;ESS;MASC;SG	N;INAN;DAT;MASC;SG;POS
случае	pouzdro	случай	pouzdro	N;INAN;ESS;MASC;SG	N;NOM;NEUT;SG;POS
случае	případ	случай	případ	N;INAN;ESS;MASC;SG	N;INAN;NOM;MASC;SG;POS
центр	center	центр	centrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL;POS
центр	centre	центр	centre	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;POS
жизни	life	жизнь	life	N;INAN;NOM;FEM;PL	PROPN;INAN;NOM;MASC;SG;POS
жизни	zivot	жизнь	zivot	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG;POS
жизни	životní	жизнь	životní	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG;POS
жизни	život	жизнь	život	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG;POS
жизни	žije	жизнь	žít	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
жизни	životů	жизнь	život	N;INAN;NOM;FEM;PL	N;INAN;GEN;MASC;PL;POS
генерал	obecně	генерал	obecně	N;ANIM;NOM;MASC;SG	ADV;POS
генерал	všeobecné	генерал	všeobecný	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
генерал	obecné	генерал	obecný	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
родился	narodil	рождаться	narodit	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
родился	narozena	рождаться	narozený	V;PFV;MASC;IND;SG;PST;FIN;MID	ADJ;POS;V.PTCP;PASS
родился	narozen	рождаться	narozený	V;PFV;MASC;IND;SG;PST;FIN;MID	ADJ;MASC;SG;POS;V.PTCP;PASS
союза	union	союз	union	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
союза	svaz	союз	svaz	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
союза	odbory	союз	odbory	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;PL;POS
союза	unie	союз	unie	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG;POS
кто	ktery	кто	kter	PRO;NOM	PROPN;ANIM;GEN;MASC;SG;POS
кто	který	кто	který	PRO;NOM	DET;NOM;MASC;SG
кто	koho	кто	kdo	PRO;NOM	PRO;ANIM;ACC;MASC
кто	who	кто	who	PRO;NOM	PROPN;FEM;POS
связи	sdělení	связь	sdělení	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
связи	komunikační	связь	komunikační	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG;POS
связи	komunikace	связь	komunikace	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
день	dne	день	den	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
именно	přesně	именно	přesně	PART	ADV;POS
именно	presne	именно	presnout	PART	PROPN;ANIM;NOM;MASC;SG;POS
община	komunity	община	komunita	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
округа	kraje	округ	kraj	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;PL;POS
округа	okrsků	округ	okrsek	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;PL;POS
округа	okresů	округ	okres	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;PL;POS
округа	kraje	округ	kraj	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;PL;POS
франции	francii	франция	francie	N;INAN;NOM;FEM;PL	PROPN;ACC;FEM;SG;POS
франции	francie	франция	francie	N;INAN;NOM;FEM;PL	PROPN;NOM;FEM;SG;POS
группа	skupinu	группа	skupina	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
группа	skupiny	группа	skupina	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
игры	hrách	игра	hra	N;INAN;NOM;FEM;PL	N;DAT;FEM;PL;POS
поэтому	tudíž	поэтому	tudíž	ADV	CONJ
поэтому	proto	поэтому	proto	ADV	CONJ
санкт	sankt	санкт	sankt	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;POS
ширина	šířku	ширина	šířka	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
просто	prostě	просто	prostě	PART	ADV;POS
регион	regionu	регион	region	N;INAN;NOM;MASC;SG	N;INAN;DAT;MASC;SG;POS
конце	ukončit	конец	ukončit	N;INAN;ESS;MASC;SG	V;PFV;POS;NFIN
