les	het	le	het	DET;DEF;PL	PRO;3
décès	overlijden	décès	overlijden	N;MASC;SG	V;NFIN
décès	sterfgevallen	décès	sterfvallen	N;MASC;SG	N;PL
liens	links	lien	links	N;MASC;PL	ADJ
était	was	être	zijn	V;IND;SG;3;IPFV;FIN	V;SG;PST;FIN
commune	gemeenschappelijk	commune	gemeenschappelijk	N;FEM;SG	ADJ
commune	vaak	commune	vaak	N;FEM;SG	ADJ
jean	jean	jean	jean	PROPN	N;MASC+FEM;SG
jean	johannes	jean	johanne	PROPN	N;PL
jean	john	jean	john	PROPN	N;MASC+FEM;SG
peut	mogen	pouvoir	mogen	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
peut	may	pouvoir	may	V;IND;SG;3;PRS;FIN	
peut	mei	pouvoir	mei	V;IND;SG;3;PRS;FIN	PROPN;MASC+FEM;SG
peut	mag	pouvoir	mogen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
peut	moge	pouvoir	mogen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
peut	kunt	pouvoir	kunnen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
peut	kunnen	pouvoir	kunnen	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
première	première	premier	première	ADJ;FEM;SG	N;MASC+FEM;SG
première	premiere	premier	premier	ADJ;FEM;SG	N;MASC+FEM;SG
première	eerst	premier	eerst	ADJ;FEM;SG	ADV
ans	ans	an	ans	N;MASC;PL	N;MASC+FEM;SG
ans	jaar	an	jaar	N;MASC;PL	N;NEUT;SG
premier	premier	premier	premier	ADJ;MASC;SG	N;MASC+FEM;SG
premier	eerst	premier	eerst	ADJ;MASC;SG	ADV
voir	weergave	voir	weergave	V;NFIN	N;MASC+FEM;SG
voir	uitzicht	voir	uitzicht	V;NFIN	N;NEUT;SG
pays	landen	pays	land	N;MASC;SG	N;PL
grand	large	grand	larg	ADJ;MASC;SG	
grand	big	grand	big	ADJ;MASC;SG	N;MASC+FEM;SG
grand	grand	grand	grand	ADJ;MASC;SG	
tout	alle	tout	al	PRO;MASC;SG	DET
tout	allemaal	tout	allemaal	PRO;MASC;SG	ADV
lors	tijdens	lors	tijdens	ADV	ADP
lors	gedurende	lors	gedurende	ADV	ADP
années	jaar	année	jaar	N;FEM;PL	N;NEUT;SG
bien	lekker	bien	lekker	ADV	ADJ
bien	goed	bien	goed	ADV	ADJ
puis	dan	puis	dan	CONJ	ADV
puis	daarna	puis	daarna	CONJ	ADV
sud	zuid	sud	zuid	N;MASC;SG	ADJ
avant	front	avant	front	ADP	
avant	voorkant	avant	voorkant	ADP	N;MASC+FEM;SG
avant	voorzijde	avant	voorzijde	ADP	N;MASC+FEM;SG
avant	voordat	avant	voordat	ADP	CONJ
trois	three	trois	three	NUM	
sans	sans	sans	sans	ADP	
fin	beëindigen	fin	beëindigen	N;FEM;SG	V;NFIN
temps	weer	temps	weer	N;MASC;SG	ADV
plusieurs	verschillende	plusieurs	verschillend	PRO;PL	ADJ
plusieurs	verscheidene	plusieurs	verscheidene	PRO;PL	ADJ
plusieurs	meervoudige	plusieurs	meervoudig	PRO;PL	ADJ
plusieurs	veelvoud	plusieurs	veelvoud	PRO;PL	N;NEUT;SG
plusieurs	meervoudig	plusieurs	meervoudig	PRO;PL	ADJ
faire	faire	faire	fair	V;NFIN	ADJ
mars	maart	mars	maart	N;MASC;SG	PROPN;MASC+FEM;SG
mars	marcheren	mars	marcheren	N;MASC;SG	V;NFIN
série	reeksen	série	reeks	N;FEM;SG	N;PL
série	series	série	serie	N;FEM;SG	N;PL
série	seriële	série	seriel	N;FEM;SG	ADJ
mai	mogen	mai	mogen	N;MASC;SG	V;PL;PRS;FIN
mai	may	mai	may	N;MASC;SG	
mai	mei	mai	mei	N;MASC;SG	PROPN;MASC+FEM;SG
mai	mag	mai	mogen	N;MASC;SG	V;SG;PRS;FIN
mai	moge	mai	mogen	N;MASC;SG	V;SG;PRS;FIN
mort	dood	mourir	dood	V;MASC;SG;PST;V.PTCP	ADJ
mort	doods	mourir	doods	V;MASC;SG;PST;V.PTCP	ADJ
mort	mort	mourir	mort	V;MASC;SG;PST;V.PTCP	N;MASC+FEM;SG
mort	dood	mourir	dood	V;MASC;SG;PST;V.PTCP	ADJ
mort	doods	mourir	doods	V;MASC;SG;PST;V.PTCP	ADJ
mort	dead	mourir	dead	V;MASC;SG;PST;V.PTCP	N;MASC+FEM;SG
juin	juni	juin	juni	N;MASC;SG	PROPN;MASC+FEM;SG
française	frans	français	frans	ADJ;FEM;SG	PROPN;MASC+FEM;SG
française	fransen	français	frans	ADJ;FEM;SG	PROPN;MASC+FEM;SG
pierre	stenen	pierre	steen	N;FEM;SG	N;PL
janvier	januari	janvier	januari	N;MASC;SG	PROPN;MASC+FEM;SG
avoir	heb	avoir	hebben	V;NFIN	V;SG;PRS;FIN
fois	tijden	fois	tijd	N;FEM;SG	N;PL
autre	overige	autre	overig	PRO;SG	ADJ
autre	andere	autre	ander	PRO;SG	ADJ
autre	ander	autre	ander	PRO;SG	ADJ
autre	overig	autre	overig	PRO;SG	
septembre	september	septembre	september	N;MASC;SG	PROPN;MASC+FEM;SG
juillet	juli	juillet	juli	N;MASC;SG	PROPN;MASC+FEM;SG
état	staat	état	staan	N;MASC;SG	V;SG;PRS;FIN
octobre	oktober	octobre	oktober	N;MASC;SG	PROPN;MASC+FEM;SG
octobre	october	octobre	october	N;MASC;SG	PROPN;MASC+FEM;SG
général	algemene	général	algemeen	N;MASC;SG	ADJ
général	algemeen	général	algemeen	N;MASC;SG	ADJ
avril	april	avril	april	N;MASC;SG	PROPN;MASC+FEM;SG
tous	alle	tout	al	PRO;MASC;PL	DET
tous	allemaal	tout	allemaal	PRO;MASC;PL	ADV
politique	beleid	politique	beleid	ADJ;MASC;SG	N;NEUT;SG
politique	politiek	politique	politiek	ADJ;MASC;SG	N;MASC+FEM;SG
décembre	december	décembre	december	N;MASC;SG	PROPN;MASC+FEM;SG
août	augustus	août	augustus	N;MASC;SG	PROPN;MASC+FEM;SG
todo	todo	todo	todo	PROPN	N;MASC+FEM;SG
novembre	november	novembre	november	N;MASC;SG	PROPN;MASC+FEM;SG
avait	hadden	avoir	hebben	V;IND;SG;3;IPFV;FIN	V;PL;PST;FIN
avait	had	avoir	hebben	V;IND;SG;3;IPFV;FIN	V;SG;PST;FIN
avait	gehad	avoir	hebben	V;IND;SG;3;IPFV;FIN	V;V.PTCP
prix	prijzen	prix	prijs	N;MASC;SG	N;PL
prix	prijzen	prix	prijs	N;MASC;SG	N;PL
février	februari	février	februari	N;MASC;SG	PROPN;MASC+FEM;SG
grande	large	grand	larg	ADJ;FEM;SG	
grande	big	grand	big	ADJ;FEM;SG	N;MASC+FEM;SG
grande	grande	grand	grande	ADJ;FEM;SG	N;MASC+FEM;SG
peu	weinigen	peu	weinig	ADV	PRO
peu	paar	peu	paar	ADV	N;NEUT;SG
peu	weinig	peu	weinig	ADV	PRO
peu	kleine	peu	klein	ADV	ADJ
peu	weinig	peu	weinig	ADV	PRO
peu	little	peu	little	ADV	
peu	klein	peu	klein	ADV	ADJ
américain	amerikaan	américain	amerikaan	ADJ;MASC;SG	N;MASC+FEM;SG
soit	hetzij	soit	hetzij	CONJ	CONJ
soit	ofwel	soit	ofwel	CONJ	ADV
début	start	début	starten	N;MASC;SG	V;SG;PRS;FIN
début	starten	début	starten	N;MASC;SG	V;NFIN
début	beginnen	début	beginnen	N;MASC;SG	V;NFIN
ligne	roei	ligne	roei	N;FEM;SG	V;SG;PRS;FIN
ligne	roeien	ligne	roeien	N;FEM;SG	V;NFIN
encore	toegift	encore	toegifn	ADV	N;MASC+FEM;SG
vie	life	vie	life	N;FEM;SG	
unis	united	unir	united	V;MASC;PL;PST;V.PTCP	N;NEUT;SG
football	voetballen	football	voetballen	N;MASC;SG	V;NFIN
football	voetballen	football	voetballen	N;MASC;SG	V;NFIN
jeux	gamen	jeu	gaam	N;MASC;PL	V;NFIN
jeux	gaming	jeu	gaming	N;MASC;PL	N;MASC+FEM;SG
moins	minder	moins	minder	ADV	PRO
ouest	westelijk	ouest	westelijk	N;MASC;SG	ADJ
ouest	westelijk	ouest	westelijk	N;MASC;SG	ADJ
centre	centreren	centre	centreren	N;MASC;SG	V;NFIN
centre	centreren	centre	centreren	N;MASC;SG	V;NFIN
cours	cursussen	cours	cursus	N;MASC;SG	N;PL
partir	verlof	partir	verlof	V;NFIN	N;NEUT;SG
leurs	hun	son	hun	DET;MASC;PL	PRO;ACC;3
coupe	knippen	coupe	knip	N;FEM;SG	V;NFIN
coupe	knippen	coupe	knip	N;FEM;SG	V;NFIN
coupe	snijden	coupe	snijden	N;FEM;SG	V;NFIN
coupe	knippen	coupe	knip	N;FEM;SG	V;NFIN
coupe	snijden	coupe	snijden	N;FEM;SG	V;NFIN
connexes	gerelateerd	connexe	relateren	ADJ;MASC;PL	V;V.PTCP
connexes	gerelateerde	connexe	relateren	ADJ;MASC;PL	V;V.PTCP
homme	mannelijk	homme	mannelijk	N;MASC;SG	ADJ
homme	mannelijke	homme	mannelijk	N;MASC;SG	ADJ
homme	mannen	homme	mannen	N;MASC;SG	N;PL
quatre	four	quatre	four	NUM	
cas	gevallen	cas	geval	N;MASC;SG	N;PL
jeu	gamen	jeu	gaam	N;MASC;SG	V;NFIN
jeu	gokken	jeu	gok	N;MASC;SG	V;NFIN
genre	zoals	genre	zoals	N;MASC;SG	CONJ
genre	like	genre	lik	N;MASC;SG	
fils	zoons	fils	zoon	N;MASC;SG	N;PL
fils	zonen	fils	zone	N;MASC;SG	N;PL
fils	garens	fils	garen	N;MASC;SG	N;PL
fils	garen	fils	gaar	N;MASC;SG	V;NFIN
parti	feest	partir	feest	V;MASC;SG;PST;V.PTCP	N;NEUT;SG
parti	partij	partir	partij	V;MASC;SG;PST;V.PTCP	N;MASC+FEM;SG
parti	feestje	partir	feest	V;MASC;SG;PST;V.PTCP	N;NEUT;SG
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	N;MASC+FEM;SG
parti	gone	partir	goon	V;MASC;SG;PST;V.PTCP	
mise	weddenschap	mettre	weddenschap	V;FEM;SG;PST;V.PTCP	N;MASC+FEM;SG
mise	inzet	mettre	inzet	V;FEM;SG;PST;V.PTCP	N;MASC+FEM;SG
forme	form	forme	form	N;FEM;SG	
devient	wordt	devenir	worden	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
ancien	elder	ancien	elder	ADJ;MASC;SG	N;MASC+FEM;SG
ordre	bestellen	ordre	bestellen	N;MASC;SG	V;NFIN
école	scholen	école	school	N;FEM;SG	N;PL
carrière	carrières	carrière	carrière	N;FEM;SG	N;PL
part	delen	part	delen	N;FEM;SG	V;NFIN
charles	charles	charle	charles	N;MASC;SG	N;PL
durant	durant	durant	durant	ADP	N;MASC+FEM;SG
rapport	rapporteren	rapport	rapporteren	N;MASC;SG	V;NFIN
type	typ	type	typ	N;MASC;SG	V;SG;PRS;FIN
compte	tellen	compte	tellen	N;MASC;SG	V;NFIN
armée	militairen	armée	militair	N;FEM;SG	N;PL
armée	militair	armée	militair	N;FEM;SG	ADJ
armée	militaire	armée	militair	N;FEM;SG	ADJ
discuter	chat	discuter	chat	V;NFIN	N;MASC+FEM;SG
car	omdat	car	omdat	CONJ	CONJ
chaque	elk	chaque	elk	DET;FEM;SG	PRO
chaque	ieder	chaque	ieder	DET;FEM;SG	PRO
chaque	elk	chaque	elk	DET;FEM;SG	PRO
chaque	ieder	chaque	ieder	DET;FEM;SG	PRO
anglais	engels	anglais	engel	N;MASC;SG	ADJ
anglais	engelsen	anglais	engelsen	N;MASC;SG	N;PL
john	johannes	john	johanne	PROPN	N;PL
john	john	john	john	PROPN	N;MASC+FEM;SG
conseil	raadplegen	conseil	raadplegen	N;MASC;SG	V;NFIN
conseil	adviezen	conseil	advies	N;MASC;SG	N;PL
françois	frans	françois	frans	PROPN	PROPN;MASC+FEM;SG
françois	francis	françois	francis	PROPN	N;MASC+FEM;SG
françois	franciscus	françois	franciscus	PROPN	N;MASC+FEM;SG
françois	francois	françois	francois	PROPN	N;MASC+FEM;SG
françois	françois	françois	françois	PROPN	N;MASC+FEM;SG
françois	francois	françois	francois	PROPN	N;MASC+FEM;SG
françois	françois	françois	françois	PROPN	N;MASC+FEM;SG
maison	thuis	maison	thuis	N;FEM;SG	ADV
demande	aanvragen	demande	aanvragen	N;FEM;SG	V;NFIN
demande	verzoeken	demande	verzoek	N;FEM;SG	N;PL
demande	ask	demande	ask	N;FEM;SG	INTJ
doit	moeten	devoir	moeten	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
doit	moet	devoir	moeten	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
meilleur	better	meilleur	goed	ADJ;MASC;SG	
meilleur	meilleur	meilleur	meilleur	ADJ;MASC;SG	N;MASC+FEM;SG
droit	juist	droit	juist	N;MASC;SG	ADV
droit	recht	droit	recht	N;MASC;SG	ADJ
droit	rechts	droit	rechts	N;MASC;SG	ADJ
mois	maandenlang	mois	maandenlang	N;MASC;SG	ADJ
mois	maanden	mois	maanden	N;MASC;SG	N;PL
île	île	île	wle	N;FEM;SG	PROPN;MASC+FEM;SG
jacques	jacques	jacque	jacque	N;MASC;SG	N;PL
score	scoren	score	scoren	N;MASC;SG	V;NFIN
dit	said	dire	said	V;MASC;SG;PST;V.PTCP	
dit	zegt	dire	zeggen	V;MASC;SG;PST;V.PTCP	V;SG;PRS;FIN
center	centreren	center	centreren	N;MASC;SG	V;NFIN
elles	elles	il	elles	PRO;FEM;PL;3	N;MASC+FEM;SG
petit	petit	petit	petit	ADJ;MASC;SG	N;MASC+FEM;SG
petit	weinig	petit	weinig	ADJ;MASC;SG	PRO
petit	little	petit	little	ADJ;MASC;SG	
toutes	alle	tout	al	PRO;FEM;PL	DET
toutes	allemaal	tout	allemaal	PRO;FEM;PL	ADV
argent	zilveren	argent	zilveren	N;MASC;SG	V;V.PTCP
souvent	regelmatig	souvent	regelmatig	ADV	ADJ
souvent	veelvuldig	souvent	veelvuldig	ADV	ADJ
souvent	frequent	souvent	frequent	ADV	ADJ
souvent	vaak	souvent	vaak	ADV	ADJ
souvent	vaak	souvent	vaak	ADV	ADJ
style	style	style	style	N;MASC;SG	
olympiques	olympic	olympique	olympic	ADJ;MASC;PL	N;MASC+FEM;SG
quand	wanneer	quand	wanneer	CONJ	ADV
top	bovenste	top	boven	N;MASC;SG	ADJ;RL
mondiale	wereld	mondial	wereld	ADJ;FEM;SG	N;MASC+FEM;SG
mondiale	global	mondial	global	ADJ;FEM;SG	N;MASC+FEM;SG
ensemble	ensemble	ensemble	ensemble	ADV	N;NEUT;SG
toute	allen	tout	al	DET;FEM;SG	PRO
toute	allemaal	tout	allemaal	DET;FEM;SG	ADV
toute	alles	tout	alles	DET;FEM;SG	PRO;3
étaient	waren	être	zijn	V;IND;PL;3;IPFV;FIN	V;PL;PST;FIN
troisième	third	troisième	third	ADJ;MASC;SG	
nombreux	veel	nombreux	veel	ADJ;MASC;PL	PRO
nombreux	velen	nombreux	veel	ADJ;MASC;PL	PRO
nombreux	vele	nombreux	veel	ADJ;MASC;PL	PRO
tard	late	tard	laat	ADV	ADJ
tard	laat	tard	laten	ADV	V;SG;PRS;FIN
reste	blijven	rester	blijven	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
roman	romeinse	roman	romeins	N;MASC;SG	ADJ
roman	romeins	roman	romein	N;MASC;SG	ADJ
jours	days	jour	days	N;MASC;PL	N;MASC+FEM;SG
hui	hui	hui	hui		N;MASC+FEM;SG
hui	vandaag	hui	vandaag		ADV
édition	bewerk	édition	bewerk	N;FEM;SG	V;SG;PRS;FIN
édition	bewerken	édition	bewerken	N;FEM;SG	V;NFIN
édition	bewerken	édition	bewerken	N;FEM;SG	V;NFIN
édition	uitgeverijen	édition	uitgeverij	N;FEM;SG	N;PL
édition	publiceren	édition	publiceren	N;FEM;SG	V;NFIN
éditions	uitgave	édition	uitgave	N;FEM;PL	N;MASC+FEM;SG
historique	geschiedenis	historique	geschiedenis	ADJ;MASC;SG	N;MASC+FEM;SG
sera	will	être	will	V;IND;SG;3;FUT;FIN	
sera	zal	être	zullen	V;IND;SG;3;FUT;FIN	V;SG;PRS;FIN
sera	zullen	être	zullen	V;IND;SG;3;FUT;FIN	V;PL;PRS;FIN
officiel	ambtenaar	officiel	ambtenaar	ADJ;MASC;SG	N;MASC+FEM;SG
membres	lid	membre	lid	N;MASC;PL	N;NEUT;SG
membres	lidmaatschap	membre	lidmaatschap	N;MASC;PL	N;NEUT;SG
espèce	diersoorten	espèce	diersoort	N;FEM;SG	N;PL
espèce	soorten	espèce	soort	N;FEM;SG	N;PL
michel	michiel	michel	michiel	PROPN	N;MASC+FEM;SG
michel	michaël	michel	michaël	PROPN	N;MASC+FEM;SG
michel	michael	michel	michael	PROPN	N;MASC+FEM;SG
michel	michel	michel	michel	PROPN	N;MASC+FEM;SG
travail	werken	travail	werken	N;MASC;SG	V;NFIN
femme	vrouwen	femme	vrouw	N;FEM;SG	N;PL
femme	woman	femme	woman	N;FEM;SG	
femme	vrouwelijke	femme	vrouwelijk	N;FEM;SG	ADJ
femme	vrouwelijk	femme	vrouwelijk	N;FEM;SG	ADJ
cinq	five	cinq	five	NUM	N;MASC+FEM;SG
cinq	cinq	cinq	cinq	NUM	N;MASC+FEM;SG
bas	kousen	bas	kous	ADJ;MASC;SG	N;PL
bas	low	bas	low	ADJ;MASC;SG	N;MASC+FEM;SG
bas	bas	bas	bas	ADJ;MASC;SG	N;MASC+FEM;SG
allemagne	allemagne	allemagne	allemagne	PROPN	N;MASC+FEM;SG
allemagne	duitsland	allemagne	duitsland	PROPN	PROPN;NEUT;SG
compétition	concurrerend	compétition	concurreren	N;FEM;SG	V;V.PTCP
compétition	concurrerende	compétition	concurreren	N;FEM;SG	V;V.PTCP
compétition	competitief	compétition	competitief	N;FEM;SG	ADJ
compétition	competitieve	compétition	competitief	N;FEM;SG	ADJ
wikipédia	wikipedia	wikipédia	wikipedia	V;MASC;SG;PST;V.PTCP	N;MASC+FEM;SG
allemand	duits	allemand	duits	N;MASC;SG	ADJ
allemand	duitse	allemand	duits	N;MASC;SG	ADJ
britannique	britten	britannique	brit	ADJ;MASC;SG	N;PL
italie	italië	italie	italië	PROPN	PROPN;NEUT;SG
demi	helft	demi	helft	ADJ;MASC;SG	N;MASC+FEM;SG
demi	demi	demi	demi	ADJ;MASC;SG	N;MASC+FEM;SG
route	weg	route	weg	N;FEM;SG	ADV
finale	definitief	finale	definitief	N;FEM;SG	ADJ
finale	finales	finale	finale	N;FEM;SG	N;PL
jeune	young	jeune	young	ADJ;MASC;SG	N;MASC+FEM;SG
peuvent	kan	pouvoir	kunnen	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
peuvent	kunt	pouvoir	kunnen	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
york	york	york	york	PROPN	ADV
long	long	long	long	ADJ;MASC;SG	N;MASC+FEM;SG
militaire	militairen	militaire	militair	ADJ;MASC;SG	N;PL
militaire	krijgsmacht	militaire	krijgsmacht	ADJ;MASC;SG	N;MASC+FEM;SG
bronze	bronzen	bronze	bronzen	N;MASC;SG	V;NFIN
bronze	bronze	bronze	bronze	N;MASC;SG	
américaine	amerikaan	américain	amerikaan	ADJ;FEM;SG	N;MASC+FEM;SG
haut	high	haut	high	ADJ;MASC;SG	
haut	top	haut	top	ADJ;MASC;SG	N;MASC+FEM;SG
haut	bovenkant	haut	bovenkant	ADJ;MASC;SG	N;MASC+FEM;SG
suisse	zwitserland	suisse	zwitserland	ADJ;MASC;SG	N;NEUT;SG
suisse	zwitsers	suisse	zwitser	ADJ;MASC;SG	N;PL
valign	valign	valign	valign	PROPN	N;SG
beaucoup	veel	beaucoup	veel	ADV	PRO
beaucoup	velen	beaucoup	veel	ADV	PRO
beaucoup	vele	beaucoup	veel	ADV	PRO
beaucoup	veel	beaucoup	veel	ADV	PRO
beaucoup	much	beaucoup	much	ADV	
dire	say	dire	say	V;NFIN	
seul	alone	seul	alone	ADJ;MASC;SG	
seul	alleen	seul	alleen	ADJ;MASC;SG	ADV
seul	alleen	seul	alleen	ADJ;MASC;SG	ADV
seul	enkel	seul	enkel	ADJ;MASC;SG	PRO
seul	slechts	seul	slechts	ADJ;MASC;SG	ADV
fille	girl	fille	girl	N;FEM;SG	
enfants	kids	enfant	kids	N;MASC;PL	N;MASC+FEM;SG
pouvoir	macht	pouvoir	macht	V;NFIN	N;MASC+FEM;SG
pouvoir	kracht	pouvoir	kracht	V;NFIN	N;MASC+FEM;SG
pouvoir	power	pouvoir	power	V;NFIN	N;MASC+FEM;SG
pouvoir	vermogen	pouvoir	vermogen	V;NFIN	N;NEUT;SG
merci	thanks	merci	thanks	INTJ	N;SG
merci	bedankt	merci	bedanken	INTJ	V;V.PTCP
tête	hoofden	tête	hoofd	N;FEM;SG	N;PL
tête	koppen	tête	kop	N;FEM;SG	N;PL
construction	bouwen	construction	bouwen	N;FEM;SG	V;NFIN
premiers	eerst	premier	eerst	ADJ;MASC;PL	ADV
présente	presenteert	présent	presenteren	ADJ;FEM;SG	V;SG;PRS;FIN
présente	cadeaus	présent	cadeaus	ADJ;FEM;SG	N;PL
présente	cadeautjes	présent	cadeautje	ADJ;FEM;SG	N;PL
présente	heden	présent	heden	ADJ;FEM;SG	ADV
présente	presenteren	présent	presenteren	ADJ;FEM;SG	V;NFIN
présente	presenteer	présent	presenteren	ADJ;FEM;SG	V;SG;PRS;FIN
public	publiek	public	publiek	ADJ;MASC;SG	N;NEUT;SG
pages	bladzijde	page	bladzijde	N;FEM;PL	N;MASC+FEM;SG
pages	pagina	page	pagina	N;FEM;PL	N;MASC+FEM;SG
simple	singles	simple	singles	ADJ;MASC;SG	N;PL
simple	vrijgezellen	simple	vrijgezel	ADJ;MASC;SG	N;PL
henri	hendrik	henri	hendrik	PROPN	N;MASC+FEM;SG
henri	henry	henri	henry	PROPN	N;MASC+FEM;SG
henri	hendrik	henri	hendrik	PROPN	N;MASC+FEM;SG
henri	henri	henri	henri	PROPN	N;MASC+FEM;SG
chanson	nummers	chanson	nummer	N;FEM;SG	N;PL
chanson	liederen	chanson	lied	N;FEM;SG	N;PL
chanson	songs	chanson	songs	N;FEM;SG	N;PL
chanson	liedjes	chanson	lied	N;FEM;SG	N;PL
sortie	uitvoer	sortir	uitvoer	V;FEM;SG;PST;V.PTCP	N;MASC+FEM;SG
sortie	output	sortir	outputten	V;FEM;SG;PST;V.PTCP	N;MASC+FEM;SG
sortie	uitje	sortir	uitje	V;FEM;SG;PST;V.PTCP	N;NEUT;SG
sortie	uitstapje	sortir	uitstap	V;FEM;SG;PST;V.PTCP	N;NEUT;SG
sortie	exit	sortir	exit	V;FEM;SG;PST;V.PTCP	N;MASC+FEM;SG
sortie	uitgang	sortir	uitgang	V;FEM;SG;PST;V.PTCP	N;MASC+FEM;SG
sortie	eruit	sortir	eruit	V;FEM;SG;PST;V.PTCP	ADV
sortie	uit	sortir	uit	V;FEM;SG;PST;V.PTCP	ADP
sortie	out	sortir	out	V;FEM;SG;PST;V.PTCP	
empire	rijk	empire	rijk	N;MASC;SG	ADJ
david	david	david	david	PROPN	PROPN;MASC+FEM;SG
loi	handelen	loi	handelen	N;FEM;SG	V;NFIN
côté	side	côté	side	N;MASC;SG	
haute	high	haut	high	ADJ;FEM;SG	
haute	haute	haut	haute	ADJ;FEM;SG	N;MASC+FEM;SG
vue	weergave	voir	weergave	V;FEM;SG;PST;V.PTCP	N;MASC+FEM;SG
vue	uitzicht	voir	uitzicht	V;FEM;SG;PST;V.PTCP	N;NEUT;SG
vue	bekijk	voir	bekijk	V;FEM;SG;PST;V.PTCP	V;SG;PRS;FIN
espagne	spanje	espagner	spanje	N;MASC;SG	PROPN;NEUT;SG
nombreuses	veel	nombreux	veel	ADJ;FEM;PL	PRO
nombreuses	velen	nombreux	veel	ADJ;FEM;PL	PRO
nombreuses	vele	nombreux	veel	ADJ;FEM;PL	PRO
recherche	zoeken	recherche	zoeken	N;FEM;SG	V;NFIN
recherche	doorzoeken	recherche	doorzoeken	N;FEM;SG	V;NFIN
recherche	zoek	recherche	zoek	N;FEM;SG	ADJ
classement	rangschikken	classement	rangschik	N;MASC;SG	V;NFIN
double	tweepersoons	double	tweepersoons	ADJ;MASC;SG	N;MASC+FEM;SG
double	verdubbelen	double	verdubbelen	ADJ;MASC;SG	V;NFIN
double	double	double	double	ADJ;MASC;SG	N;MASC+FEM;SG
double	duplicaat	double	duplicaat	ADJ;MASC;SG	N;NEUT;SG
