филологических	filologiczny	филологический	filologiczny	ADJ;GEN;PL	ADJ;NOM;MASC;SG
павлов	pawłow	павл	pawłowa	N;ANIM;NOM;MASC;SG	
социальный	społecznego	социальный	społeczny	ADJ;NOM;MASC;SG	ADJ;ACC;MASC;SG
обсуждается	omawia	обсуждать	omawia	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
обсуждается	omówiono	обсуждать	omówić	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;PFV;IND;0;PST;FIN;ACT
выразил	wyrażony	выразить	wyrazić	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
выразил	wyrażona	выразить	wyraż	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
выразил	wyrażone	выразить	wyrazić	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
реальность	rzeczywistości	реальность	rzeczywistość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
реальность	reality	реальность	realit	N;INAN;NOM;FEM;SG	
хасан	hasan	хасан	hasan	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
хасан	hassan	хасан	hassan	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
намерения	intencji	намерение	intencja	N;INAN;NOM;NEUT;PL	N;GEN;FEM;SG
намерения	zamiarów	намерение	zamiar	N;INAN;NOM;NEUT;PL	N;GEN;MASC;PL
намерения	zamiar	намерение	zamiar	N;INAN;NOM;NEUT;PL	V;PFV;IND;PRS;FIN;ACT
гонсалес	gonzales	гонсалес	gonzales	N;ANIM;NOM;MASC;SG	
гонсалес	gonzález	гонсалес	gonzól	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
хоп	hop	хоп	hop	N;INAN;NOM;MASC;SG	
юлий	julius	юлий	julius	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
юлий	juliusz	юлий	juliusz	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
мок	mkol	мок	mkol	N;INAN;NOM;FEM;SG	
арбитр	arbitra	арбитр	arbitra	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
свадьба	weselny	свадьба	weselny	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
вреда	skrzywdzić	вред	skrzywdzić	N;INAN;GEN;MASC;SG	V;PFV;NFIN;ACT
вреда	szkodzić	вред	szkodzić	N;INAN;GEN;MASC;SG	V;IPFV;NFIN;ACT
журналистики	dziennikarstwo	журналистика	dziennikarstwo	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
преобразование	konwersja	преобразование	konwersja	N;INAN;NOM;NEUT;SG	
преобразование	konwersji	преобразование	konwersja	N;INAN;NOM;NEUT;SG	
преобразование	zamiana	преобразование	zamiana	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
преобразование	konwersja	преобразование	konwersja	N;INAN;NOM;NEUT;SG	
преобразование	konwersje	преобразование	konwersja	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
преобразование	przemiany	преобразование	przemiać	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
преобразование	transformacji	преобразование	transformacja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
ученый	naukowca	ученый	naukowca	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
ученый	uczony	ученый	uczony	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
ученый	naukowcem	ученый	naukowiec	N;ANIM;NOM;MASC;SG	N;INS;MASC;SG
ученый	uczony	ученый	uczony	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
театры	teatrów	театр	teatr	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
содружества	commonwealth	содружество	commonwealt	N;INAN;NOM;NEUT;PL	N;NOM;MASC;SG
содружества	wspólnota	содружество	wspólnota	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
гитары	gitary	гитара	gitar	N;INAN;NOM;FEM;PL	
гитары	gitara	гитара	gitar	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
гитары	gitarze	гитара	gitarz	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;PRS;FIN;ACT
гитары	gitary	гитара	gitar	N;INAN;NOM;FEM;PL	
крейсеров	krążowniki	крейсер	krążownik	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
неба	niebo	небо	niebo	N;INAN;GEN;NEUT;SG	N;NOM;NEUT;SG
неба	niebie	небо	niebo	N;INAN;GEN;NEUT;SG	N;DAT;NEUT;SG
неба	sky	небо	ska	N;INAN;GEN;NEUT;SG	
неба	nieba	небо	niebo	N;INAN;GEN;NEUT;SG	
политехнический	politechniki	политехнический	politechnik	ADJ;NOM;MASC;SG	N;GEN;MASC;SG
закрыто	zamknięty	закрыть	zamknięty	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
закрыто	nieczynne	закрыть	nieczynny	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG
закрыто	zamknięte	закрыть	zamknąć	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
закрыто	zamknięta	закрыть	zamknąć	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
механик	mechanika	механик	mechanika	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
склад	magazynie	склад	magazyn	N;INAN;NOM;MASC;SG	N;DAT;MASC;SG
джейсон	jasona	джейсон	jason	N;ANIM;NOM;MASC;SG	
джейсон	jason	джейсон	jason	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
критическое	krytycznych	критический	krytyczny	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;PL
используемые	stosowane	использовать	stosować	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
используемые	wykorzystane	использовать	wykorzystać	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
используемые	użyte	использовать	użyć	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
используемые	używana	использовать	używać	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
используемые	używany	использовать	używać	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
используемые	używane	использовать	używać	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
прощения	przebaczenie	прощение	przebaczenie	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
прощения	wybaczenie	прощение	wybaczyć	N;INAN;NOM;NEUT;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
прощения	przebaczenia	прощение	przebaczenie	N;INAN;NOM;NEUT;PL	N;GEN;NEUT;SG
райан	ryana	райан	ryana	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
райан	ryan	райан	ryan	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
особняк	rezydencji	особняк	rezydencja	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
хлеб	chleba	хлеб	chleb	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
хлеб	chleb	хлеб	chleb	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
ближайшее	najbliższy	ближайший	bliski	ADJ;NOM;NEUT;SG	ADJ;NOM;CMPR;MASC;SG
ближайшее	najbliższa	ближайший	bliski	ADJ;NOM;NEUT;SG	ADJ;NOM;CMPR;FEM;SG
ближайшее	najbliższej	ближайший	bliski	ADJ;NOM;NEUT;SG	ADJ;GEN;CMPR;FEM;SG
ближайшее	najbliższe	ближайший	bliski	ADJ;NOM;NEUT;SG	ADJ;NOM;CMPR;NEUT;SG
ближайшее	najbliżej	ближайший	blisko	ADJ;NOM;NEUT;SG	ADV;RL
сады	sadów	сад	sad	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
сады	ogrodów	сад	ogród	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
слоя	warstwa	слой	warstwa	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
слоя	warstwy	слой	warstwa	N;INAN;GEN;MASC;SG	N;ACC;FEM;PL
движок	silnika	движок	silnik	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
движок	silniki	движок	silnik	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
девочки	girls	девочка	girls	N;ANIM;NOM;FEM;PL	
освободить	zwolnienie	освободить	zwolnienie	V;PFV;NFIN;ACT	N;NOM;NEUT;SG;V.MSDR
освободить	uwolnienie	освободить	uwolnić	V;PFV;NFIN;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
гипотезы	hipotez	гипотеза	hipoteza	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
логично	logicznie	логичный	logicznie	ADJ;NEUT;SG	ADV
логично	logika	логичный	logika	ADJ;NEUT;SG	N;NOM;FEM;SG
логично	logicznie	логичный	logicznie	ADJ;NEUT;SG	ADV
выпускников	absolwentów	выпускник	absolwent	N;ANIM;GEN;MASC;PL	N;ACC;MASC;PL
выпускников	absolwentów	выпускник	absolwent	N;ANIM;GEN;MASC;PL	N;ACC;MASC;PL
жаль	żal	жаль	żal	ADV	V;IND;PRS;FIN
жаль	szkoda	жаль	szkoda	ADV	V;IND;PRS;FIN
жаль	litości	жаль	litość	ADV	N;GEN;FEM;SG
месяцы	miesiące	месяц	miesiąc	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
месяцы	miesięcy	месяц	miesiąc	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
месяцы	miesiącach	месяц	miesiąc	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
стремится	dąży	стремиться	dążyć	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IPFV;IND;SG;3;PRS;FIN;ACT
стремится	poszukuje	стремиться	poszukiwać	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IPFV;IND;SG;3;PRS;FIN;ACT
индонезия	indonezja	индонезия	indonezja	N;INAN;NOM;FEM;SG	
стол	tabeli	стол	tabel	N;INAN;NOM;MASC;SG	
стол	tabela	стол	tabel	N;INAN;NOM;MASC;SG	
луиджи	luigi	луидж	luig	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
исчезли	zniknął	исчезнуть	zniknąć	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
могилы	grobów	могила	grób	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
могилы	graves	могила	graves	N;INAN;NOM;FEM;PL	
томми	tommy	то	tommy	N;ANIM;NOM;MASC;SG	
королевская	royal	королевский	royal	ADJ;NOM;FEM;SG	
белков	białek	белок	białek	N;INAN;GEN;MASC;PL	
белков	białka	белок	białko	N;INAN;GEN;MASC;PL	N;ACC;NEUT;SG
чан	chang	чан	chang	PART	V;IPFV;IND;SG;PRS;FIN;ACT
чан	chana	чан	chany	PART	
чан	chan	чан	chan	PART	PROPN;NOM;MASC;SG
чан	jang	чан	jang	PART	
улицах	ulice	улица	ulica	N;INAN;ESS;FEM;PL	N;NOM;FEM;PL
улицах	ulic	улица	ulica	N;INAN;ESS;FEM;PL	
тольятти	togliatti	тольять	togliatta	N;INAN;NOM;MASC;SG	
самцы	samców	самец	samc	N;ANIM;NOM;MASC;PL	
самцы	mężczyzn	самец	mężczyzna	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
самцы	samce	самец	samka	N;ANIM;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
технику	technika	техника	technika	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
частного	private	частный	privaty	ADJ;GEN;MASC;SG	
частного	prywatne	частный	prywatny	ADJ;GEN;MASC;SG	ADJ;NOM;NEUT;SG
частного	szeregowy	частный	szeregowy	ADJ;GEN;MASC;SG	ADJ;NOM;MASC;SG
частного	prywatna	частный	prywatny	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG
частного	prywatny	частный	prywatny	ADJ;GEN;MASC;SG	ADJ;NOM;MASC;SG
оригинальные	oryginalna	оригинальный	oryginalny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
оригинальные	pierwotnym	оригинальный	pierwotny	ADJ;NOM;PL	ADJ;INS;MASC;SG
оригинальные	oryginalny	оригинальный	oryginalny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
оригинальные	oryginał	оригинальный	oryginał	ADJ;NOM;PL	N;ACC;MASC;SG
оригинальные	oryginalne	оригинальный	oryginalny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
рыцарь	rycerze	рыцарь	rycerz	N;ANIM;NOM;MASC;SG	N;NOM;MASC;PL
рыцарь	knight	рыцарь	knight	N;ANIM;NOM;MASC;SG	
прокат	dzierżawa	прокат	dzierżawać	N;INAN;NOM;MASC;SG	
литве	litwy	литв	litwa	N;INAN;NOM;FEM;SG	PROPN;GEN;FEM;SG
литве	litwa	литв	litwa	N;INAN;NOM;FEM;SG	
родригес	rodriguez	родригес	rodriguez	N;ANIM;NOM;MASC;SG	
родригес	rodríguez	родригес	rodríguez	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
родригес	rodrigues	родригес	rodrigues	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
родригес	rodríguez	родригес	rodríguez	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
дам	dam	дать	dać		V;PFV;IND;SG;1;FUT;FIN;ACT
наблюдать	obserwuj	наблюдать	obserwować	V;IPFV;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
кама	kama	кам	kama	N;INAN;NOM;FEM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
печатных	drukowane	печатный	drukować	ADJ;GEN;PL	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
печатных	wydrukowane	печатный	wydrukować	ADJ;GEN;PL	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
северное	północ	северный	północ	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG
северное	północna	северный	północny	ADJ;NOM;NEUT;SG	
северное	północnej	северный	północny	ADJ;NOM;NEUT;SG	ADJ;GEN;FEM;SG
северное	północny	северный	północny	ADJ;NOM;NEUT;SG	N;ACC;MASC;SG
ценностей	wartości	ценность	wartość	N;INAN;GEN;FEM;PL	N;GEN;FEM;SG
квадратный	plac	квадратный	plac	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
квадратный	kwadrat	квадратный	kwadrat	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
квадратный	square	квадратный	squary	ADJ;NOM;MASC;SG	
малайзии	malezja	малайзия	malezja	N;INAN;NOM;FEM;PL	
малайзии	malezji	малайзия	malezja	N;INAN;NOM;FEM;PL	
малайзии	malezji	малайзия	malezja	N;INAN;NOM;FEM;PL	
одежда	ubrania	одежда	ubranie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;PL
одежда	ubrania	одежда	ubranie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;PL
промышленные	przemysłowy	промышленный	przemysłowy	ADJ;NOM;PL	ADJ;NOM;MASC;SG
промышленные	przemysł	промышленный	przemysł	ADJ;NOM;PL	N;NOM;MASC;SG
промышленные	przemysłowych	промышленный	przemysłowy	ADJ;NOM;PL	ADJ;GEN;MASC;PL
промышленные	przemysłowe	промышленный	przemysłowy	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
тяжёлая	heavy	тяжелый	heav	ADJ;NOM;FEM;SG	
мкс	iss	мкс	issa	N;INAN;NOM;FEM;SG	
мкс	irc	мкс	irc	N;INAN;NOM;FEM;SG	
мкс	icm	мкс	iem	N;INAN;NOM;FEM;SG	
мкс	cie	мкс	ty	N;INAN;NOM;FEM;SG	PRO;ACC;MASC;SG;2
оппонентов	przeciwnicy	оппонент	przeciwnik	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
оппонентов	przeciwników	оппонент	przeciwnik	N;ANIM;GEN;MASC;PL	N;ACC;MASC;PL
вдова	wdową	вдова	wdowy	N;ANIM;NOM;FEM;SG	ADJ;ACC;FEM;SG
вдова	wdowy	вдова	wdowa	N;ANIM;NOM;FEM;SG	
грибы	grzybów	гриб	grzyb	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
грибы	grzyb	гриб	grzyb	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
идеологии	ideologii	идеология	ideologia	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
идеологии	ideologie	идеология	ideologia	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
разрешить	dopuszczają	разрешить	dopuścić	V;PFV;NFIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
разрешить	zezwolenie	разрешить	zezwolenie	V;PFV;NFIN;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
разрешить	pozwolenie	разрешить	pozwolenie	V;PFV;NFIN;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
барбара	barbary	барбар	barbara	N;ANIM;NOM;FEM;SG	
барбара	barbara	барбар	barbar	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
барбара	barbaro	барбар	barbaro	N;ANIM;NOM;FEM;SG	
признали	uznane	признать	uznać	V;PFV;IND;PL;PST;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
признали	uznawane	признать	uznawać	V;PFV;IND;PL;PST;FIN;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
признали	uznany	признать	uznać	V;PFV;IND;PL;PST;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
признали	uznana	признать	uznać	V;PFV;IND;PL;PST;FIN;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
