van	from	van	from	ADP	PROPN
haar	волос	haar	волос	PRO;ACC;3	N;INAN;GEN;FEM;PL
haar	ей	haar	она	PRO;ACC;3	PRO;DAT;FEM;SG;3
wel	ну	wel	ну	ADV	PART
jaar	годы	jaar	год	N;NEUT;SG	N;INAN;ACC;MASC;PL
jaar	лет	jaar	год	N;NEUT;SG	N;INAN;GEN;MASC;PL
jaar	years	jaar	years	N;NEUT;SG	PROPN
wat	какие	wat	какой	PRO;3	DET;NOM;PL
wat	какая	wat	какой	PRO;3	DET;NOM;FEM;SG
wat	какой	wat	какой	PRO;3	DET;NOM;MASC;SG
wat	ват	wat	ват	PRO;3	N;INAN;NOM;MASC;SG
deel	частично	deel	частично	N;NEUT;SG	ADV
deel	поделиться	deel	делиться	N;NEUT;SG	V;PFV;NFIN;MID
deel	разделить	deel	разделить	N;NEUT;SG	V;PFV;NFIN;ACT
deel	поделитесь	deel	делиться	N;NEUT;SG	V;PFV;IMP;PL;2;FUT;FIN;MID
werden	стала	worden	стать	V;PL;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
werden	стал	worden	стать	V;PL;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
overleg	консультации	overleg	консультация	N;NEUT;SG	N;INAN;NOM;FEM;PL
overleg	консультации	overleg	консультация	N;NEUT;SG	N;INAN;NOM;FEM;PL
zou	бы	zullen	бы	V;SG;PST;FIN	PART;COND
waar	true	waar	true	ADV	PROPN
veel	многих	veel	много	PRO	NUM
veel	много	veel	много	PRO	ADV
veel	многим	veel	много	PRO	NUM
veel	многие	veel	много	PRO	NUM
veel	многое	veel	многое	PRO	N;INAN;NOM;NEUT;SG
veel	много	veel	много	PRO	ADV
hun	хун	hun	хун	PRO;ACC;3	N;INAN;NOM;MASC;SG
staat	штат	staan	штат	V;SG;PRS;FIN	N;INAN;NOM;MASC;SG
staat	состояние	staan	состояние	V;SG;PRS;FIN	N;INAN;NOM;NEUT;SG
staat	государство	staan	государство	V;SG;PRS;FIN	N;INAN;NOM;NEUT;SG
tweede	секунда	twee	секунда	ADJ	N;INAN;NOM;FEM;SG
waren	были	zijn	быть	V;PL;PST;FIN	V;IPFV;IND;PL;PST;FIN;ACT
kunnen	может	kunnen	мочь	V;PL;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
kunnen	могу	kunnen	мочь	V;PL;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
kunnen	можно	kunnen	можно	V;PL;PRS;FIN	ADV
kunnen	can	kunnen	can	V;PL;PRS;FIN	PROPN
zie	см	zien	сантиметр	V;SG;PRS;FIN	ADV
zoals	нравится	zoals	нравиться	CONJ	V;IPFV;IND;SG;3;PRS;FIN;MID
zoals	like	zoals	like	CONJ	PROPN
grote	big	groot	big	ADJ	PROPN
grote	биг	groot	биг	ADJ	
nieuwe	новинка	nieuw	новинка	ADJ	N;INAN;NOM;FEM;SG
zij	she	zij	she	PRO;NOM;3	PROPN
jaren	years	jaar	years	N;PL	PROPN
later	позднее	laat	поздно	ADJ;CMPR	ADV;CMPR
later	позже	laat	поздно	ADJ;CMPR	ADV;CMPR
via	виа	via	виа	ADP	N;INAN;NOM;MASC;SG
via	via	via	via	ADP	PROPN
gebied	зоны	gebied	зона	N;NEUT;SG	N;INAN;NOM;FEM;PL
hem	ему	hem	он	PRO;ACC;3	PRO;DAT;MASC;SG;3
mei	мая	mei	май	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
mei	мэй	mei	мэй	PROPN;MASC+FEM;SG	N;ANIM;NOM;FEM;SG
mei	май	mei	май	PROPN;MASC+FEM;SG	
mei	майские	mei	майский	PROPN;MASC+FEM;SG	ADJ;NOM;PL
mei	мэй	mei	мэй	PROPN;MASC+FEM;SG	N;ANIM;NOM;FEM;SG
mei	мей	mei	мей	PROPN;MASC+FEM;SG	N;INAN;NOM;FEM;SG
alle	всем	al	все	DET	PRO;ANIM;DAT;PL
alle	всех	al	все	DET	PRO;ANIM;ACC;PL
alle	all	al	all	DET	PROPN
alle	все	al	все	DET	PRO;INAN;NOM;NEUT;SG
stad	town	stad	town	N;MASC+FEM;SG	PROPN
stad	city	stad	city	N;MASC+FEM;SG	PROPN
stad	города	stad	город	N;MASC+FEM;SG	N;INAN;NOM;MASC;PL
hier	вот	hier	вот	ADV	PART
links	связи	links	связь	ADJ	N;INAN;NOM;FEM;PL
links	ссылки	links	ссылка	ADJ	N;INAN;NOM;FEM;PL
links	слева	links	слева	ADJ	ADV
links	налево	links	налево	ADJ	ADV
links	осталось	links	остаться	ADJ	V;PFV;NEUT;IND;SG;PST;FIN;MID
links	оставил	links	оставить	ADJ	V;PFV;MASC;IND;SG;PST;FIN;ACT
nederland	нидерланды	nederland	нидерланд	N;NEUT;SG	N;INAN;NOM;MASC;PL
nederland	нидерландов	nederland	нидерланд	N;NEUT;SG	N;INAN;GEN;MASC;PL
tijd	time	tijd	time	N;MASC+FEM;SG	PROPN
weer	погода	weer	погода	ADV	N;INAN;NOM;FEM;SG
vanaf	from	vanaf	from	ADP	PROPN
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	
link	связать	link	связать	N;MASC+FEM;SG	V;PFV;NFIN;ACT
http	http	ht	http	N;MASC+FEM;SG	PROPN
der	дер	de	дер	DET;DEF	ADV
alleen	одна	alleen	один	ADV	DET;NOM;FEM;SG
alleen	одни	alleen	один	ADV	DET;NOM;PL
alleen	один	alleen	один	ADV	NUM;NOM;MASC
alleen	только	alleen	только	ADV	PART
vlinder	бабочки	vlinder	бабочка	N;MASC+FEM;SG	N;ANIM;NOM;FEM;PL
per	пер	per	перо	ADP	N;INAN;NOM;MASC;SG
bekend	знакомые	bekend	знакомый	ADJ	N;ANIM;NOM;MASC;PL
bekend	знакомая	bekend	знакомая	ADJ	N;ANIM;NOM;FEM;SG
club	club	club	club	N;MASC+FEM;SG	PROPN
laatste	последние	laat	последний	ADJ;RL	ADJ;NOM;PL
laatste	последнее	laat	последний	ADJ;RL	ADJ;NOM;NEUT;SG
laatste	last	laat	last	ADJ;RL	PROPN
laatste	последний	laat	последний	ADJ;RL	ADJ;NOM;MASC;SG
laatste	последняя	laat	последний	ADJ;RL	ADJ;NOM;FEM;SG
laatste	latest	laat	latest	ADJ;RL	PROPN
één	одна	één	один	NUM	DET;NOM;FEM;SG
één	one	één	one	NUM	PROPN
één	одно	één	один	NUM	DET;NOM;NEUT;SG
moet	должен	moeten	должен	V;SG;PRS;FIN	ADJ;MASC;SG
moet	должны	moeten	должен	V;SG;PRS;FIN	ADJ;PL
moet	должен	moeten	должен	V;SG;PRS;FIN	ADJ;MASC;SG
moet	должно	moeten	должен	V;SG;PRS;FIN	ADJ;NEUT;SG
moet	должны	moeten	должен	V;SG;PRS;FIN	ADJ;PL
maken	изготовление	maken	изготовление	V;NFIN	N;INAN;NOM;NEUT;SG
maken	создание	maken	создание	V;NFIN	N;INAN;NOM;NEUT;SG
maken	make	maken	make	V;NFIN	PROPN
amerikaanse	american	amerikaans	american	ADJ	PROPN
amerikaanse	американец	amerikaans	американец	ADJ	N;ANIM;NOM;MASC;SG
enkele	некоторых	enkele	некоторый	PRO	DET;GEN;PL
enkele	некоторые	enkele	некоторый	PRO	DET;NOM;PL
verder	далее	verder	далее	ADJ;CMPR	ADV
verder	дальнейшая	verder	дальнейший	ADJ;CMPR	ADJ;NOM;FEM;SG
april	эйприл	april	эйприль	PROPN;MASC+FEM;SG	N;ANIM;NOM;FEM;SG
april	апрель	april	апрель	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
april	апреля	april	апрель	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
verschillende	несколько	verschillend	несколько	ADJ	ADV
volgende	далее	volgen	далее	V;V.PTCP	ADV
volgende	следующий	volgen	следующий	V;V.PTCP	ADJ;NOM;MASC;SG
volgende	следующая	volgen	следующий	V;V.PTCP	ADJ;NOM;FEM;SG
volgende	next	volgen	next	V;V.PTCP	PROPN
weg	дорога	weg	дорога	ADV	N;INAN;NOM;FEM;SG
weg	дорожной	weg	дорожный	ADV	ADJ;INS;FEM;SG
weg	road	weg	road	ADV	PROPN
weg	роуд	weg	роуд	ADV	N;INAN;NOM;MASC;SG
insect	насекомых	insect	насекомое	N;NEUT;SG	N;ANIM;GEN;NEUT;PL
film	film	film	film	N;MASC+FEM;SG	PROPN
zelf	себя	zelf	себя	ADV	PRO;ACC
zelf	сам	zelf	сам	ADV	ADJ;NOM;MASC;SG
franse	французы	frans	француз	ADJ	N;ANIM;NOM;MASC;PL
terug	back	terug	back	ADV	PROPN
terug	спина	terug	спина	ADV	N;INAN;NOM;FEM;SG
rond	вокруг	rond	вокруг	ADP	ADV
rond	круглая	rond	круглый	ADP	ADJ;NOM;FEM;SG
rond	круглые	rond	круглый	ADP	ADJ;NOM;PL
rond	раунд	rond	раунд	ADP	N;INAN;NOM;MASC;SG
heb	есть	hebben	быть	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
heb	получила	hebben	получить	V;SG;PRS;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
heb	получил	hebben	получить	V;SG;PRS;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
heb	иметь	hebben	иметь	V;SG;PRS;FIN	V;IPFV;NFIN;ACT
wikipedia	википедии	wikipedia	википедия	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
land	страны	land	страна	N;NEUT;SG	N;INAN;NOM;FEM;PL
land	земли	land	земля	N;NEUT;SG	N;INAN;NOM;FEM;PL
land	земельный	land	земельный	N;NEUT;SG	ADJ;NOM;MASC;SG
land	land	land	land	N;NEUT;SG	PROPN
kreeg	есть	krijgen	быть	V;SG;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
werk	работы	werk	работа	N;NEUT;SG	N;INAN;NOM;FEM;PL
juni	юни	juni	юнь	PROPN;MASC+FEM;SG	
juni	июнь	juni	июнь	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
juni	джун	juni	джун	PROPN;MASC+FEM;SG	N;ANIM;NOM;FEM;SG
juni	июня	juni	июнь	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
goed	хорошо	goed	хорошо	ADJ	ADV
duitse	немец	duits	немец	ADJ	N;ANIM;NOM;MASC;SG
duitse	германии	duits	германия	ADJ	N;INAN;ESS;NEUT;SG
mensen	народ	mens	народ	N;PL	N;INAN;NOM;MASC;SG
vaak	часто	vaak	часто	ADJ	ADV
vaak	нередко	vaak	нередко	ADJ	ADV
vaak	часто	vaak	часто	ADJ	ADV
vaak	зачастую	vaak	зачастую	ADJ	ADV
januari	январь	januari	январь	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
januari	января	januari	январь	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
orde	заказать	orde	заказать	N;MASC+FEM;SG	V;PFV;NFIN;ACT
groot	big	groot	big	ADJ	PROPN
groot	биг	groot	биг	ADJ	
groot	здорово	groot	здорово	ADJ	ADV
groot	отлично	groot	отлично	ADJ	ADV
groot	великолепно	groot	великолепно	ADJ	ADV
groot	грут	groot	грута	ADJ	
september	сентября	september	сентябрь	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
september	сентябрь	september	сентябрь	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
ongeveer	about	ongeveer	about	ADV	PROPN
ongeveer	о	ongeveer	о	ADV	INTJ
php	php	php	php	N;MASC+FEM;SG	PROPN
juli	июль	juli	июль	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
speelde	играли	spelen	играть	V;SG;PST;FIN	V;IPFV;IND;PL;PST;FIN;ACT
leven	life	leven	life	N;NEUT;SG	PROPN
leven	жизни	leven	жизнь	N;NEUT;SG	N;INAN;NOM;FEM;PL
leven	живи	leven	жить	N;NEUT;SG	V;IPFV;IMP;SG;2;FIN;ACT
leven	живите	leven	жить	N;NEUT;SG	V;IPFV;IND;PL;2;PRS;FIN;ACT
leven	live	leven	live	N;NEUT;SG	PROPN
leven	живу	leven	жить	N;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
leven	жить	leven	жить	N;NEUT;SG	V;IPFV;NFIN;ACT
oktober	октябрь	oktober	октябрь	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
oktober	октября	oktober	октябрь	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
binnen	крытый	binnen	крытый	ADP	ADJ;NOM;MASC;SG
binnen	внутри	binnen	внутри	ADP	ADV
binnen	изнутри	binnen	изнутри	ADP	ADV
binnen	внутрь	binnen	внутрь	ADP	ADV
augustus	августа	augustus	август	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
augustus	август	augustus	август	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
augustus	август	augustus	август	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
maart	марш	maart	марш	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
maart	март	maart	март	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
maart	марта	maart	март	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
register	зарегистрироваться	register	регистрироваться	N;NEUT;SG	V;PFV;NFIN;MID
register	зарегистрировать	register	регистрировать	N;NEUT;SG	V;PFV;NFIN;ACT
zal	воля	zullen	воля	V;SG;PRS;FIN	N;INAN;NOM;FEM;SG
zal	будет	zullen	быть	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
zal	уилл	zullen	уилл	V;SG;PRS;FIN	N;ANIM;NOM;MASC;SG
meter	метрах	meter	метр	N;MASC+FEM;SG	N;INAN;ESS;MASC;PL
meter	метров	meter	метр	N;MASC+FEM;SG	N;INAN;GEN;MASC;PL
meter	метров	meter	метр	N;MASC+FEM;SG	N;INAN;GEN;MASC;PL
vier	vier	vier	vier	NUM	PROPN
december	декабрь	december	декабрь	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
amsterdam	амстердам	amsterdam	амстерд	PROPN;NEUT;SG	N;INAN;NOM;MASC;PL
top	сверху	top	сверху	N;MASC+FEM;SG	ADV
top	top	top	top	N;MASC+FEM;SG	PROPN
november	ноября	november	ноябрь	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
november	ноябрь	november	ноябрь	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
oude	old	oud	old	ADJ	PROPN
den	логово	den	логово	DET;DEF	N;INAN;NOM;NEUT;SG
den	ден	den	день	DET;DEF	
ronde	круглая	ronde	круглый	N;MASC+FEM;SG	ADJ;NOM;FEM;SG
ronde	круглые	ronde	круглый	N;MASC+FEM;SG	ADJ;NOM;PL
kon	может	kunnen	мочь	V;SG;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
kon	мог	kunnen	мочь	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
kon	могла	kunnen	мочь	V;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
kon	кон	kunnen	кон	V;SG;PST;FIN	
groep	группы	groep	группа	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
groep	group	groep	group	N;MASC+FEM;SG	PROPN
gebruik	используйте	gebruik	использовать	N;NEUT;SG	V;IPFV;IMP;PL;2;FIN;ACT
gebruik	использовать	gebruik	использовать	N;NEUT;SG	V;IPFV;NFIN;ACT
werken	работа	werken	работа	V;NFIN	N;INAN;NOM;FEM;SG
werken	работы	werken	работа	V;NFIN	N;INAN;NOM;FEM;PL
werken	труд	werken	труд	V;NFIN	N;INAN;NOM;MASC;SG
werken	работа	werken	работа	V;NFIN	N;INAN;NOM;FEM;SG
werken	рабочий	werken	рабочий	V;NFIN	ADJ;NOM;MASC;SG
werken	рабочей	werken	рабочий	V;NFIN	ADJ;INS;FEM;SG
net	нетто	net	нетто	ADV	N;INAN;NOM;MASC;SG
net	net	net	net	ADV	PROPN
net	чистый	net	чистый	ADV	ADJ;NOM;MASC;SG
ter	тер	te	тер	ADP	N;INAN;NOM;FEM;SG
februari	февраля	februari	февраль	PROPN;MASC+FEM;SG	N;INAN;GEN;MASC;SG
februari	февраль	februari	февраль	PROPN;MASC+FEM;SG	N;INAN;NOM;MASC;SG
zuid	юг	zuid	юг	ADJ	N;INAN;NOM;MASC;SG
kleine	little	klein	little	ADJ	PROPN
kleine	мало	klein	мало	ADJ	ADV
eens	раз	eens	раз	ADV	CONJ
zien	см	zien	сантиметр	V;NFIN	ADV
wil	уил	willen	уитеть	V;SG;PRS;FIN	
moeten	должен	moeten	должен	V;PL;PRS;FIN	ADJ;MASC;SG
moeten	должно	moeten	должен	V;PL;PRS;FIN	ADJ;NEUT;SG
moeten	должны	moeten	должен	V;PL;PRS;FIN	ADJ;PL
nam	дн	nemen	дно	V;SG;PST;FIN	N;INAN;NOM;FEM;SG
lijkt	кажется	lijken	казаться	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;MID
lijkt	появляется	lijken	появляться	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;MID
lijkt	выглядит	lijken	выглядеть	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
lijkt	смотрится	lijken	смотреться	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
station	station	station	station	N;NEUT;SG	PROPN
station	станции	station	станция	N;NEUT;SG	N;INAN;NOM;FEM;PL
verenigde	united	verenigen	united	V;V.PTCP	PROPN
verenigde	юнайтед	verenigen	юнайтед	V;V.PTCP	N;INAN;NOM;MASC;SG
man	чел	man	человек	N;MASC+FEM;SG	
man	man	man	man	N;MASC+FEM;SG	PROPN
water	воды	water	вода	N;NEUT;SG	N;INAN;NOM;FEM;PL
begin	начинайте	begin	начинать	N;NEUT;SG	V;IPFV;IMP;PL;2;FIN;ACT
begin	начать	begin	начать	N;NEUT;SG	V;PFV;NFIN;ACT
begin	начать	begin	начать	N;NEUT;SG	V;PFV;NFIN;ACT
begin	начинайте	begin	начинать	N;NEUT;SG	V;IPFV;IMP;PL;2;FIN;ACT
koning	king	koning	king	N;MASC+FEM;SG	PROPN
slechts	только	slechts	только	ADV	PART
spelen	play	spelen	play	V;NFIN	PROPN
volkstelling	переписи	volkstelling	перепись	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
belgië	бельгии	belgiën	бельгия	PROPN;NEUT;SG	N;INAN;NOM;FEM;PL
belgië	бельгия	belgiën	бельгия	PROPN;NEUT;SG	N;INAN;NOM;FEM;SG
belgië	бельгию	belgiën	бельгия	PROPN;NEUT;SG	N;INAN;ACC;FEM;SG
begon	начали	beginnen	начать	V;SG;PST;FIN	V;PFV;IND;PL;PST;FIN;ACT
beide	оба	beide	оба	PRO	NUM;NOM;MASC
beide	обе	beide	оба	PRO	NUM;NOM;FEM
nieuw	новинка	nieuw	новинка	ADJ	N;INAN;NOM;FEM;SG
nummer	song	nummer	song	N;MASC+FEM;SG	PROPN
lang	лэнг	lang	лэнг	ADJ	PART
lang	долго	lang	долго	ADJ	ADV
lang	лонг	lang	лонг	ADJ	
beste	лучшие	goed	лучший	ADJ;RL	ADJ;NOM;PL
beste	лучшая	goed	лучший	ADJ;RL	ADJ;NOM;FEM;SG
beste	лучший	goed	лучший	ADJ;RL	ADJ;NOM;MASC;SG
beste	best	goed	best	ADJ;RL	PROPN
beste	лучшее	goed	лучший	ADJ;RL	ADJ;NOM;NEUT;SG
apr	апр	apr	апр	N;MASC+FEM;SG	
pagina	page	pagina	page	N;MASC+FEM;SG	PROPN
pagina	страницы	pagina	страница	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
noord	северный	noord	северный	N;NEUT;SG	ADJ;NOM;MASC;SG
noord	северная	noord	северный	N;NEUT;SG	ADJ;NOM;FEM;SG
noord	северной	noord	северный	N;NEUT;SG	ADJ;INS;FEM;SG
band	band	band	band	N;MASC+FEM;SG	PROPN
frankrijk	франции	frankrijk	франция	PROPN;NEUT;SG	N;INAN;NOM;FEM;PL
frankrijk	франс	frankrijk	франс	PROPN;NEUT;SG	N;INAN;NOM;MASC;SG
frankrijk	франция	frankrijk	франция	PROPN;NEUT;SG	N;INAN;NOM;FEM;SG
frankrijk	france	frankrijk	france	PROPN;NEUT;SG	PROPN
west	уэст	west	уэст	N;MASC+FEM;SG	PART
west	западная	west	западный	N;MASC+FEM;SG	ADJ;NOM;FEM;SG
west	западный	west	западный	N;MASC+FEM;SG	ADJ;NOM;MASC;SG
soorten	вид	soort	вид	N;PL	N;INAN;NOM;MASC;SG
dec	дек	dec	дек	N;MASC+FEM;SG	
boven	наверх	boven	наверх	ADP	ADV
boven	наверху	boven	наверху	ADP	ADV
boven	выше	boven	высокий	ADP	ADJ;CMPR
jun	чжун	jun	чжун	N;MASC+FEM;SG	PART
actief	активно	actief	активно	ADJ	ADV
wanneer	когда	wanneer	когда	ADV	CONJ
wanneer	when	wanneer	when	ADV	PROPN
toont	отображение	tonen	отображение	V;SG;PRS;FIN	N;INAN;NOM;NEUT;SG
ben	бэн	zijn	бэн	V;SG;PRS;FIN	N;INAN;NOM;MASC;SG
ben	бен	zijn	бен	V;SG;PRS;FIN	PART
hoe	как	hoe	как	ADV	CONJ
dag	пока	dag	пока	N;MASC+FEM;SG	CONJ
dag	day	dag	day	N;MASC+FEM;SG	PROPN
uiteindelijk	наконец	uiteindelijk	наконец	ADJ	ADV
zelfs	даже	zelfs	даже	ADV	PART
grootste	наибольшая	groot	наибольший	ADJ;RL	ADJ;NOM;FEM;SG
vader	пап	vader	пап	N;MASC+FEM;SG	N;ANIM;GEN;MASC;PL
vader	отче	vader	отче	N;MASC+FEM;SG	INTJ
belgische	бельгии	belgisch	бельгия	ADJ	N;INAN;NOM;FEM;PL
indeling	классификации	indeling	классификация	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
jul	июл	jul	июль	N;MASC+FEM;SG	
opnieuw	повторить	opnieuw	повторить	ADV	V;PFV;NFIN;ACT
opnieuw	переделать	opnieuw	переделать	ADV	V;PFV;NFIN;ACT
hadden	имел	hebben	иметь	V;PL;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
nov	ноя	nov	она	N;MASC+FEM;SG	
serie	серии	serie	серия	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
rol	роли	rol	роль	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
oorlog	войны	oorlog	война	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
oorlog	war	oorlog	war	N;MASC+FEM;SG	PROPN
oorlog	войн	oorlog	война	N;MASC+FEM;SG	N;INAN;GEN;FEM;PL
oorlog	войны	oorlog	война	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
geschiedenis	истории	geschiedenis	история	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
duitsland	германия	duitsland	германий	PROPN;NEUT;SG	N;INAN;NOM;NEUT;SG
duitsland	германию	duitsland	германия	PROPN;NEUT;SG	N;INAN;ACC;NEUT;SG
duitsland	германии	duitsland	германия	PROPN;NEUT;SG	N;INAN;ESS;NEUT;SG
huis	house	huis	house	N;NEUT;SG	PROPN
huis	хауз	huis	хауз	N;NEUT;SG	
huis	хаус	huis	хаус	N;NEUT;SG	INTJ
huis	дома	huis	дома	N;NEUT;SG	ADV
huis	домой	huis	домой	N;NEUT;SG	ADV
huis	домашний	huis	домашний	N;NEUT;SG	ADJ;NOM;MASC;SG
