氟化	фторид	氟化	фторид		N;INAN;NOM;MASC;SG
光榮	славный	光榮	славный	N	ADJ;NOM;MASC;SG
胡	перец	胡	перец	PROPN	N;INAN;NOM;MASC;SG
胡	пеппер	胡	пеппер	PROPN	N;ANIM;NOM;MASC;SG
自信	уверен	自信	уверенный	N	ADJ;MASC;SG
自信	уверенно	自信	уверенно	N	ADV
自信	уверены	自信	уверенный	N	ADJ;PL
殖民	колонистов	殖民	колонист	V	N;ANIM;GEN;MASC;PL
染色	хромосомы	染色	хромосома	V	N;INAN;NOM;FEM;PL
染色	хромосома	染色	хромосом	V	N;INAN;NOM;FEM;SG
相交	пересечения	相交	пересечение	V	N;INAN;NOM;NEUT;PL
相交	пересечение	相交	пересечение	V	N;INAN;NOM;NEUT;SG
溫柔	нежный	溫柔	нежный	N	ADJ;NOM;MASC;SG
溫柔	нежная	溫柔	нежный	N	ADJ;NOM;FEM;SG
溫柔	нежные	溫柔	нежный	N	ADJ;NOM;PL
溫柔	нежная	溫柔	нежный	N	ADJ;NOM;FEM;SG
溫柔	нежный	溫柔	нежный	N	ADJ;NOM;MASC;SG
溫柔	нежно	溫柔	нежно	N	ADV
抒情	лирическое	抒情	лирический	N	ADJ;NOM;NEUT;SG
愛麗絲	элис	愛麗絲	элис	PROPN	N;ANIM;NOM;FEM;SG
愛麗絲	алиса	愛麗絲	алиса	PROPN	N;ANIM;NOM;FEM;SG
申訴	жалоба	申訴	жалоба	N	ADV
蔓延	разрастание	蔓延	разрастание		N;INAN;NOM;NEUT;SG
蔓延	распространяется	蔓延	распространяться		V;IPFV;IND;SG;3;PRS;FIN;PASS
加勒比	карибского	加勒比	карибский	PROPN	ADJ;GEN;MASC;SG
陡	крутых	陡	крутой	N	ADJ;GEN;PL
無名	безымянный	無名	безымянный	N	ADJ;NOM;MASC;SG
血腥	кровавые	血腥	кровавый	N	ADJ;NOM;PL
血腥	кровавый	血腥	кровавый	N	ADJ;NOM;MASC;SG
血腥	кровавая	血腥	кровавый	N	ADJ;NOM;FEM;SG
經理	manager	經理	manager	N	PROPN
經理	управляющий	經理	управлять	N	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT
堡壘	бастион	堡壘	бастион		N;INAN;NOM;MASC;SG
堡壘	крепость	堡壘	крепость		N;INAN;NOM;FEM;SG
堡壘	форт	堡壘	форт		N;INAN;NOM;MASC;SG
堡壘	крепость	堡壘	крепость		N;INAN;NOM;FEM;SG
工資	заработная	工資	заработный	N	ADJ;NOM;FEM;SG
乘車	поездка	乘車	поездка	V	N;INAN;NOM;FEM;SG
寂寞	одинокая	寂寞	одинокий	N	ADJ;NOM;FEM;SG
寂寞	одиноко	寂寞	одиноко	N	ADV
寂寞	одинокий	寂寞	одинокий	N	ADJ;NOM;MASC;SG
寂寞	одинок	寂寞	одинокий	N	ADJ;MASC;SG
叢	bundle	叢	bundle	N	PROPN
花卉	цветочные	花卉	цветочный	N	ADJ;NOM;PL
蘇維埃	советская	蘇維埃	советский	PROPN	ADJ;NOM;FEM;SG
蘇維埃	советского	蘇維埃	советский	PROPN	ADJ;GEN;MASC;SG
蘇維埃	советский	蘇維埃	советский	PROPN	ADJ;NOM;MASC;SG
蘇維埃	советские	蘇維埃	советский	PROPN	ADJ;NOM;PL
安藤	андо	安藤	андо	PROPN	
和	гармонию	和	гармония	ADP	N;INAN;ACC;FEM;SG
和	гармония	和	гармония	ADP	N;INAN;NOM;FEM;SG
和	гармонии	和	гармония	ADP	N;INAN;NOM;FEM;PL
室外	снаружи	室外	снаружи	N	ADV
室外	вне	室外	вне	N	ADP
室外	открытый	室外	открыть	N	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
刺殺	убийство	刺殺	убийство	V	N;INAN;NOM;NEUT;SG
坐標	координировать	坐標	координировать	N	V;IPFV;NFIN;ACT
永恆	timeless	永恆	timeless	N	PROPN
永恆	вечное	永恆	вечный	N	ADJ;NOM;NEUT;SG
永恆	вечный	永恆	вечный	N	ADJ;NOM;MASC;SG
永恆	вечная	永恆	вечный	N	ADJ;NOM;FEM;SG
永恆	вечной	永恆	вечный	N	ADJ;INS;FEM;SG
津	пособия	津	пособие	PROPN	N;INAN;NOM;NEUT;PL
津	надбавки	津	надбавка	PROPN	N;INAN;NOM;FEM;PL
津	пособие	津	пособие	PROPN	N;INAN;NOM;NEUT;SG
破解	трещина	破解	трещина	V	N;INAN;NOM;FEM;SG
甲殼	ракообразных	甲殼	ракообразный	N	ADJ;GEN;PL
麻雀	воробьев	麻雀	воробей	PROPN	N;ANIM;GEN;MASC;PL
麻雀	воробей	麻雀	воробь	PROPN	N;ANIM;NOM;MASC;SG
關	уходу	關	уход	PROPN	N;INAN;DAT;MASC;SG
關	забота	關	забота	PROPN	N;INAN;NOM;FEM;SG
關	заботливый	關	заботливый	PROPN	ADJ;NOM;MASC;SG
關	уход	關	уход	PROPN	N;INAN;NOM;MASC;SG
盧森堡	люксембург	盧森堡	люксембург	PROPN	N;INAN;NOM;MASC;SG
盧森堡	люксембурга	盧森堡	люксембург	PROPN	N;INAN;GEN;MASC;SG
佔有	хранение	佔有	хранение	V	N;INAN;NOM;NEUT;SG
佔有	владение	佔有	владение	V	N;INAN;NOM;NEUT;SG
佔有	обладание	佔有	обладание	V	N;INAN;NOM;NEUT;SG
獨家	эксклюзивный	獨家	эксклюзивный		ADJ;NOM;MASC;SG
獨家	эксклюзивные	獨家	эксклюзивный		ADJ;NOM;PL
獨家	исключительной	獨家	исключительный		ADJ;INS;FEM;SG
復原	восстановление	復原	восстановление	V	N;INAN;NOM;NEUT;SG
復原	восстановления	復原	восстановление	V	N;INAN;GEN;NEUT;SG
復原	оздоровление	復原	оздоровление	V	N;INAN;NOM;NEUT;SG
復原	восстановление	復原	восстановление	V	N;INAN;NOM;NEUT;SG
復原	восстановления	復原	восстановление	V	N;INAN;GEN;NEUT;SG
真主	аллах	真主	алла	PROPN	N;ANIM;NOM;MASC;SG
清潔	чистоты	清潔	чистота	V	N;INAN;GEN;FEM;SG
清潔	чистота	清潔	чистота	V	N;INAN;NOM;FEM;SG
清潔	чистка	清潔	чистка	V	N;INAN;NOM;FEM;SG
清潔	уборка	清潔	уборка	V	N;INAN;NOM;FEM;SG
清潔	уборки	清潔	уборка	V	N;INAN;NOM;FEM;PL
清潔	очистка	清潔	очистка	V	N;INAN;NOM;FEM;SG
清潔	чистые	清潔	чистый	V	ADJ;NOM;PL
清潔	чистая	清潔	чистый	V	ADJ;NOM;FEM;SG
清潔	чисто	清潔	чисто	V	ADV
清潔	чистый	清潔	чистый	V	ADJ;NOM;MASC;SG
清潔	чистой	清潔	чистый	V	ADJ;INS;FEM;SG
多	диверсификация	多	диверсификация	NUM	N;INAN;NOM;FEM;SG
多	плюрализм	多	плюрализм	NUM	N;INAN;NOM;MASC;SG
多	разнообразие	多	разнообразие	NUM	N;INAN;NOM;NEUT;SG
多	разнообразия	多	разнообразие	NUM	N;INAN;GEN;NEUT;SG
多	многообразие	多	многообразие	NUM	N;INAN;NOM;NEUT;SG
多	диверсификации	多	диверсификация	NUM	N;INAN;NOM;FEM;PL
多	диверсификация	多	диверсификация	NUM	N;INAN;NOM;FEM;SG
多	плюрализм	多	плюрализм	NUM	N;INAN;NOM;MASC;SG
多	плюрализма	多	плюрализм	NUM	N;INAN;GEN;MASC;SG
友善	дружеские	友善	дружеский	N	ADJ;NOM;PL
友善	дружественных	友善	дружественный	N	ADJ;GEN;PL
友善	friendly	友善	friendly	N	PROPN
友善	дружелюбный	友善	дружелюбный	N	ADJ;NOM;MASC;SG
甜蜜	сладкий	甜蜜	сладкий	N	ADJ;NOM;MASC;SG
甜蜜	сладкие	甜蜜	сладкий	N	ADJ;NOM;PL
甜蜜	сладкая	甜蜜	сладкий	N	ADJ;NOM;FEM;SG
瘦	тощий	瘦	тощий	N	ADJ;NOM;MASC;SG
瘦	тонкий	瘦	тонкий	N	ADJ;NOM;MASC;SG
瘦	тонкая	瘦	тонкий	N	ADJ;NOM;FEM;SG
瘦	тонкие	瘦	тонкий	N	ADJ;NOM;PL
前衛	vanguard	前衛	vanguard	N	PROPN
丟	бросок	丟	бросок	V	N;INAN;NOM;MASC;SG
雪梨	сидни	雪梨	сиднь	PROPN	N;ANIM;NOM;MASC;SG
雪梨	сидней	雪梨	сидней	PROPN	N;INAN;NOM;MASC;SG
批量	навалом	批量	навалом	N	ADV
鳳蝶	papilio	鳳蝶	papilio	N	PROPN
消化	пищеварение	消化	пищеварение	V	N;INAN;NOM;NEUT;SG
消化	пищеварительной	消化	пищеварительный	V	ADJ;INS;FEM;SG
消化	дайджест	消化	дайджест	V	N;INAN;NOM;MASC;SG
凱撒	цезарь	凱撒	цезарь	PROPN	N;ANIM;NOM;MASC;SG
馬達加斯加	мадагаскар	馬達加斯加	мадагаскар	PROPN	N;INAN;NOM;FEM;SG
馬達加斯加	мадагаскара	馬達加斯加	мадагаскар	PROPN	N;INAN;NOM;MASC;SG
告別	прощание	告別	прощание	V	N;INAN;NOM;NEUT;SG
胖	толстый	胖	толстый	N	ADJ;NOM;MASC;SG
胖	толстая	胖	толстый	N	ADJ;NOM;FEM;SG
胖	жирный	胖	жирный	N	ADJ;NOM;MASC;SG
狹窄	стеноз	狹窄	стеноза	ADJ	N;INAN;NOM;MASC;SG
狹窄	сузить	狹窄	сужать	ADJ	V;PFV;NFIN;ACT
裁決	вердикт	裁決	вердикт	V	N;INAN;NOM;MASC;SG
裁決	приговор	裁決	приговор	V	N;INAN;NOM;MASC;SG
裁決	постановление	裁決	постановление	V	N;INAN;NOM;NEUT;SG
無力	бессилен	無力	бессильный	N	ADJ;MASC;SG
節省	сбережения	節省	сбережения	V	N;INAN;NOM;NEUT;PL
節省	сбережений	節省	сбережения	V	N;INAN;GEN;NEUT;PL
節省	экономия	節省	экономия	V	N;INAN;NOM;FEM;SG
節省	спасение	節省	спасение	V	N;INAN;NOM;NEUT;SG
節省	сохранение	節省	сохранение	V	N;INAN;NOM;NEUT;SG
節省	экономия	節省	экономия	V	N;INAN;NOM;FEM;SG
利率	оцените	利率	оценить	N	V;PFV;IMP;PL;2;FIN;ACT
水下	подводные	水下	подводный	N	ADJ;NOM;PL
水下	подводная	水下	подводный	N	ADJ;NOM;FEM;SG
水下	подводного	水下	подводный	N	ADJ;GEN;MASC;SG
壓制	репрессии	壓制	репрессия	V	N;INAN;NOM;FEM;PL
壓制	репрессий	壓制	репрессия	V	N;INAN;GEN;FEM;PL
壓制	подавление	壓制	подавление	V	N;INAN;NOM;NEUT;SG
壓制	пресечения	壓制	пресечение	V	N;INAN;NOM;NEUT;PL
壓制	пресечения	壓制	пресечение	V	N;INAN;NOM;NEUT;PL
壓制	подавление	壓制	подавление	V	N;INAN;NOM;NEUT;SG
壓制	пресечение	壓制	пресечение	V	N;INAN;NOM;NEUT;SG
壓制	подавление	壓制	подавление	V	N;INAN;NOM;NEUT;SG
重溫	переживать	重溫	переживать	N	V;IPFV;NFIN;ACT
指稱	утверждения	指稱	утверждение	V	N;INAN;NOM;NEUT;PL
指稱	обвинения	指稱	обвинение	V	N;INAN;NOM;NEUT;PL
指稱	утверждение	指稱	утверждение	V	N;INAN;NOM;NEUT;SG
突襲	рейд	突襲	рейд	V	N;INAN;NOM;MASC;SG
突襲	налет	突襲	налет	V	N;INAN;NOM;MASC;SG
突襲	рейды	突襲	рейд	V	N;INAN;NOM;MASC;PL
示	модели	示	модель	V	N;INAN;NOM;FEM;PL
示	образец	示	образец	V	N;INAN;NOM;MASC;SG
示	model	示	model	V	PROPN
示	модель	示	модель	V	N;INAN;NOM;FEM;SG
示	демонстрация	示	демонстрация	V	N;INAN;NOM;FEM;SG
示	демонстрацию	示	демонстрация	V	N;INAN;ACC;FEM;SG
示	демонстрации	示	демонстрация	V	N;INAN;NOM;FEM;PL
示	демонстрация	示	демонстрация	V	N;INAN;NOM;FEM;SG
示	демо	示	демо	V	ADV
保全	сохранять	保全	сохранять	N	V;IPFV;NFIN;ACT
智力	интеллектуальной	智力	интеллектуальный	N	ADJ;INS;FEM;SG
智力	интеллектуальная	智力	интеллектуальный	N	ADJ;NOM;FEM;SG
發光	чистка	發光	чистка	V	N;INAN;NOM;FEM;SG
發光	блеск	發光	блеск	V	N;INAN;NOM;MASC;SG
發光	световой	發光	световой	V	ADJ;NOM;MASC;SG
結盟	альянс	結盟	альянс	V	N;INAN;NOM;MASC;SG
阿拉伯	арабская	阿拉伯	арабский	PROPN	ADJ;NOM;FEM;SG
阿拉伯	арабский	阿拉伯	арабский	PROPN	ADJ;NOM;MASC;SG
異議	возражаю	異議	возражать	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
窮	бедные	窮	бедный		ADJ;NOM;PL
窮	бедный	窮	бедный		ADJ;NOM;MASC;SG
窮	бедная	窮	бедный		ADJ;NOM;FEM;SG
窮	бедных	窮	бедный		ADJ;GEN;PL
投球	подача	投球	подача	V	N;INAN;NOM;FEM;SG
銀色	серебряный	銀色	серебряный	N	ADJ;NOM;MASC;SG
小牛	тельца	小牛	тельца	PROPN	N;INAN;NOM;NEUT;PL
訪談	собеседование	訪談	собеседование	V	N;INAN;NOM;NEUT;SG
訪談	интервью	訪談	интервью	V	N;INAN;NOM;NEUT;SG
訪談	беседа	訪談	беседа	V	N;INAN;NOM;FEM;SG
訪談	интервью	訪談	интервью	V	N;INAN;NOM;NEUT;SG
訪談	собеседования	訪談	собеседование	V	N;INAN;NOM;NEUT;PL
訪談	беседы	訪談	беседа	V	N;INAN;NOM;FEM;PL
揚州	янчжоу	揚州	янчжоу	PROPN	N;INAN;NOM;MASC;SG
就	инаугурации	就	инаугурация	ADV	N;INAN;NOM;FEM;PL
噴發	извержение	噴發	извержение	V	N;INAN;NOM;NEUT;SG
噴發	извержения	噴發	извержение	V	N;INAN;NOM;NEUT;PL
饒	рао	饒	рао	V	N;INAN;NOM;NEUT;SG
主觀	субъективных	主觀	субъективный	N	ADJ;GEN;PL
反感	отвращение	反感	отвращение	V	N;INAN;NOM;NEUT;SG
反感	противно	反感	противный	V	ADJ;NEUT;SG
李	сливы	李	слив	PROPN	N;INAN;NOM;FEM;PL
鹼	щелочных	鹼	щелочный	N	ADJ;GEN;PL
鹼	щелочной	鹼	щелочный	N	ADJ;NOM;MASC;SG
秋山	акияма	秋山	акиям	PROPN	N;INAN;NOM;FEM;SG
福爾摩斯	холмс	福爾摩斯	холмс	PROPN	N;ANIM;NOM;MASC;SG
野心	амбициозных	野心	амбициозный	N	ADJ;GEN;PL
印地安	индейцев	印地安	индеец	PROPN	N;ANIM;GEN;MASC;PL
印地安	индейцы	印地安	индеец	PROPN	N;ANIM;NOM;MASC;PL
顯示	отображения	顯示	отображение	V	N;INAN;NOM;NEUT;PL
顯示	отображение	顯示	отображение	V	N;INAN;NOM;NEUT;SG
顯示	показ	顯示	показ	V	N;INAN;NOM;MASC;SG
有害	вредные	有害	вредный	N	ADJ;NOM;PL
有害	вредных	有害	вредный	N	ADJ;GEN;PL
銀河	галактика	銀河	галактика	PROPN	N;INAN;NOM;FEM;SG
銀河	галактике	銀河	галактика	PROPN	N;INAN;DAT;FEM;SG
銀河	galaxy	銀河	galaxy	PROPN	PROPN
銀河	гэлакси	銀河	гэлакс	PROPN	N;INAN;NOM;MASC;SG
劍橋	кембридж	劍橋	кембридж	PROPN	N;INAN;NOM;MASC;SG
詛咒	проклятие	詛咒	проклятие	V	N;INAN;NOM;NEUT;SG
詛咒	проклятье	詛咒	проклятье	V	N;INAN;NOM;NEUT;SG
達拉斯	даллас	達拉斯	даллас	PROPN	N;INAN;NOM;MASC;SG
草莓	клубника	草莓	клубника	V	N;INAN;NOM;FEM;SG
教父	крестный	教父	крестный	N	ADJ;NOM;MASC;SG
廁	туалет	廁	туалет	V	N;INAN;NOM;MASC;SG
廁	унитаз	廁	унитаз	V	N;INAN;NOM;MASC;SG
廁	ванная	廁	ванный	V	N;INAN;NOM;FEM;SG
廁	ванной	廁	ванная	V	N;INAN;INS;FEM;SG
廁	ванную	廁	ванная	V	N;INAN;ACC;FEM;SG
廁	туалет	廁	туалет	V	N;INAN;NOM;MASC;SG
葉子	оставляет	葉子	оставлять	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
激進	радикально	激進	радикально	N	ADV
激進	радикальные	激進	радикальный	N	ADJ;NOM;PL
有罪	виновны	有罪	виновный	V	ADJ;PL
有罪	виновен	有罪	виновный	V	ADJ;MASC;SG
禮拜	поклоняться	禮拜	поклоняться	N	V;IPFV;NFIN;MID
樣式	style	樣式	style	N	PROPN
遷徙	миграции	遷徙	миграция	V	N;INAN;NOM;FEM;PL
遷徙	миграция	遷徙	миграция	V	N;INAN;NOM;FEM;SG
抄襲	плагиат	抄襲	плагиат	V	N;INAN;NOM;MASC;SG
海倫	элен	海倫	элен	PROPN	N;ANIM;NOM;FEM;SG
海倫	хелен	海倫	хеленый	PROPN	N;ANIM;NOM;FEM;SG
螢	ин	螢	ин	N	INTJ
多瑙	дунай	多瑙	дуна	PROPN	N;INAN;NOM;MASC;SG
阿爾及利亞	алжир	阿爾及利亞	алжир	PROPN	N;INAN;NOM;MASC;SG
阿爾及利亞	алжира	阿爾及利亞	алжир	PROPN	N;INAN;NOM;MASC;SG
阿爾及利亞	алжире	阿爾及利亞	алжир	PROPN	N;INAN;NOM;MASC;SG
騷擾	преследование	騷擾	преследование	V	N;INAN;NOM;NEUT;SG
騷擾	преследования	騷擾	преследование	V	N;INAN;NOM;NEUT;PL
騷擾	притеснения	騷擾	притеснение	V	N;INAN;NOM;NEUT;PL
騷擾	домогательства	騷擾	домогательство	V	N;INAN;NOM;NEUT;PL
攝影	камера	攝影	камера	V	N;INAN;NOM;FEM;SG
攝影	камеру	攝影	камера	V	N;INAN;ACC;FEM;SG
攝影	фотоаппарат	攝影	фотоаппарат	V	N;INAN;NOM;MASC;SG
拜	посещение	拜	посещение	PROPN	N;INAN;NOM;NEUT;SG
拜	посещения	拜	посещение	PROPN	N;INAN;NOM;NEUT;PL
出版	издательство	出版	издательство	V	N;INAN;NOM;NEUT;SG
出版	издатель	出版	издатель	V	N;ANIM;NOM;MASC;SG
出版	издателей	出版	издатель	V	N;ANIM;GEN;MASC;PL
溫和	нежно	溫和	нежно	ADJ	ADV
溫和	умеренности	溫和	умеренность	ADJ	N;INAN;NOM;FEM;SG
公升	литр	公升	литр	V	N;INAN;NOM;MASC;SG
公升	литров	公升	литр	V	N;INAN;GEN;MASC;PL
公升	литра	公升	литр	V	N;INAN;NOM;MASC;SG
公升	литр	公升	литр	V	N;INAN;NOM;MASC;SG
公升	литров	公升	литр	V	N;INAN;GEN;MASC;PL
相對	относительности	相對	относительность	ADJ	N;INAN;GEN;FEM;SG
對	противоположное	對	противоположный	ADP	ADJ;NOM;NEUT;SG
對	напротив	對	напротив	ADP	ADV
悼念	дань	悼念	дань	V	N;INAN;NOM;FEM;SG
悼念	должное	悼念	должный	V	ADJ;NOM;NEUT;SG
悼念	трауре	悼念	траур	V	N;INAN;ESS;MASC;SG
賭場	казино	賭場	казино	N	ADV
賭場	казино	賭場	казино	N	ADV
悲劇	трагический	悲劇	трагический	N	ADJ;NOM;MASC;SG
悲劇	трагические	悲劇	трагический	N	ADJ;NOM;PL
悲劇	трагических	悲劇	трагический	N	ADJ;GEN;PL
悲劇	трагическая	悲劇	трагический	N	ADJ;NOM;FEM;SG
鎖定	замок	鎖定	замок	V	N;INAN;NOM;MASC;SG
鎖定	блокировка	鎖定	блокировка	V	N;INAN;NOM;FEM;SG
喀麥隆	камеруна	喀麥隆	камерун	PROPN	N;INAN;NOM;MASC;PL
喀麥隆	камеруне	喀麥隆	камерун	PROPN	N;INAN;DAT;FEM;SG
喀麥隆	камерун	喀麥隆	камерун	PROPN	N;INAN;NOM;MASC;SG
誤解	заблуждение	誤解	заблуждение	V	N;INAN;NOM;NEUT;SG
誤解	недоразумение	誤解	недоразумение	V	N;INAN;NOM;NEUT;SG
誤解	недопонимание	誤解	недопонимание	V	N;INAN;NOM;NEUT;SG
誤解	недоразумений	誤解	недоразумение	V	N;INAN;GEN;NEUT;PL
彎曲	изогнутый	彎曲	изогнуть	N	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
溫暖	тепло	溫暖	теплый	N	ADJ;NEUT;SG
溫暖	теплая	溫暖	теплый	N	ADJ;NOM;FEM;SG
溫暖	теплые	溫暖	теплый	N	ADJ;NOM;PL
溫暖	тёплый	溫暖	тёплый	N	ADJ;NOM;MASC;SG
溫暖	теплый	溫暖	теплый	N	ADJ;NOM;MASC;SG
溫暖	тепло	溫暖	теплый	N	ADJ;NEUT;SG
解剖	анатомии	解剖	анатомия		N;INAN;NOM;FEM;PL
解剖	расслоение	解剖	расслоение		N;INAN;NOM;NEUT;SG
解剖	вскрытия	解剖	вскрытие		N;INAN;NOM;NEUT;PL
解剖	вскрытие	解剖	вскрытие		N;INAN;NOM;NEUT;SG
神像	гато	神像	гато	N	
你	привет	你	привет	PRO;2	
你	здравствуйте	你	здравствовать	PRO;2	V;IPFV;IMP;PL;2;FIN;ACT
耕地	пахотные	耕地	пахотный	N	ADJ;NOM;PL
承包	подрядчики	承包	подрядчик	V	N;ANIM;NOM;MASC;PL
承包	подрядчиков	承包	подрядчик	V	N;ANIM;GEN;MASC;PL
承包	подрядчик	承包	подрядчик	V	N;ANIM;NOM;MASC;SG
承包	подрядчика	承包	подрядчик	V	N;ANIM;ACC;MASC;SG
方舟	арк	方舟	арк	PROPN	
方舟	ковчег	方舟	ковчег	PROPN	N;INAN;NOM;MASC;SG
編譯	компиляции	編譯	компиляция	V	N;INAN;NOM;FEM;PL
編譯	компиляция	編譯	компиляция	V	N;INAN;NOM;FEM;SG
編譯	компиляция	編譯	компиляция	V	N;INAN;NOM;FEM;SG
編譯	компиляции	編譯	компиляция	V	N;INAN;NOM;FEM;PL
編譯	подборка	編譯	подборка	V	N;INAN;NOM;FEM;SG
編譯	компиляция	編譯	компиляция	V	N;INAN;NOM;FEM;SG
編譯	компиляция	編譯	компиляция	V	N;INAN;NOM;FEM;SG
鉛	ведущая	鉛	вести	N	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT
鉛	ведущие	鉛	ведущий	N	ADJ;NOM;PL
界	определить	界	определить	N	V;PFV;NFIN;ACT
界	определяющие	界	определять	N	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
界	определяя	界	определять	N	V;IPFV;PRS;V.CVB;ACT
日光	дневное	日光	дневной	PROPN	ADJ;NOM;NEUT;SG
馬賽	марсель	馬賽	марсель	PROPN	N;INAN;NOM;MASC;SG
彈性	гибко	彈性	гибко	N	ADV
彈性	гибкий	彈性	гибкий	N	ADJ;NOM;MASC;SG
彈性	гибкой	彈性	гибкий	N	ADJ;INS;FEM;SG
