von	no	von	no	ADP	
jahre	gadi	jahren	gads	ADV	N;NOM;MASC;PL
jahre	gadiem	jahren	gads	ADV	N;DAT;MASC;PL
mai	var	mai	varēt	PROPN;NOM;MASC;SG	V;FH;IND;3;POS;PRS;FIN;ACT
mai	drīkst	mai	drīkstēt	PROPN;NOM;MASC;SG	V;FH;IND;3;POS;PRS;FIN;ACT
mai	maijs	mai	maijs	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
mai	mai	mai	mai	PROPN;NOM;MASC;SG	
isbn	isbn	isbn	isbn	;SG	N
was	ko	was	kas	PRO;NOM;NEUT;SG	PRO;ACC
team	team	team	tu	N;NOM;NEUT;SG	
mehr	vairak	mehr	vairāk	ADV	
keine	nav	kein	nebūt	PRO;NOM;INDF;FEM;SG;NEG	V;FH;IND;3;NEG;PRS;FIN;ACT
keine	neviena	kein	neviens	PRO;NOM;INDF;FEM;SG;NEG	PRO;NOM;MASC;SG
waren	preces	sein	prece	V;IND;PL;3;PST;FIN	N;NOM;FEM;PL
waren	preces	sein	prece	V;IND;PL;3;PST;FIN	N;NOM;FEM;PL
waren	preci	sein	prece	V;IND;PL;3;PST;FIN	N;ACC;FEM;SG
waren	preces	sein	prece	V;IND;PL;3;PST;FIN	N;NOM;FEM;PL
zeit	zeit	zeit	zeit	ADJ	
zeit	laikposms	zeit	laikposms	ADJ	N;NOM;MASC;SG
zeit	periods	zeit	periods	ADJ	N;NOM;MASC;SG
zeit	laiks	zeit	laiks	ADJ	N;NOM;MASC;SG
zeit	laika	zeit	laiks	ADJ	N;GEN;MASC;SG
stadt	pilsēta	staden	pilsēta		N;NOM;FEM;SG
stadt	pilsēta	staden	pilsēta		N;NOM;FEM;SG
stadt	pilsētu	staden	pilsēta		N;ACC;FEM;SG
stadt	pilsētas	staden	pilsēta		N;NOM;FEM;PL
wieder	muguru	wieder	mugura	ADV	N;ACC;FEM;SG
wieder	mugura	wieder	mugura	ADV	N;NOM;FEM;SG
wieder	satiku	wieder	satikt	ADV	V;FH;IND;SG;1;POS;PST;FIN;ACT
gibt	atgriež	geben	atgriezt	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;POS;PRS;FIN;ACT
deutscher	vācijas	deutsch	vācija	ADJ	PROPN;NOM;FEM;SG
deutscher	vācietis	deutsch	vācietis	ADJ	N;NOM;MASC;SG
deutscher	vācu	deutsch	vāci	ADJ	N;NOM;MASC;SG
deutscher	deutscher	deutsch	deutscher	ADJ	
deutscher	vācieši	deutsch	vācietis	ADJ	N;NOM;MASC;PL
jahren	yrs	jahren	yrs	ADJ	
jahren	gadus	jahren	gads	ADJ	N;ACC;MASC;PL
jahren	gadi	jahren	gads	ADJ	N;NOM;MASC;PL
jahren	gadiem	jahren	gads	ADJ	N;DAT;MASC;PL
mal	reizi	mal	reize	ADV	N;ACC;FEM;SG
mal	laiki	mal	laiks	ADV	N;NOM;MASC;PL
ersten	pirmais	erst	pirmais	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
ersten	pirmā	erst	pirmā	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
ersten	pirma	erst	pirma	ADJ;NOM;PL	ADJ;NOM;FEM;SG
ersten	vispirms	erst	vispirms	ADJ;NOM;PL	ADV
jedoch	tomēr	jedoch	tomēr	ADV	CONJ
jedoch	tomēr	jedoch	tomēr	ADV	CONJ
jedoch	bet	jedoch	bet	ADV	CONJ
jedoch	taču	jedoch	taču	ADV	CONJ
seed	sēklu	seed	sēkla		N;ACC;MASC;SG
seed	sēklas	seed	sēkla		N;NOM;FEM;PL
siehe	redz	sehen	redzēt	V;IMP;SG;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
siehe	lūk	sehen	lūk	V;IMP;SG;FIN	INTJ
drei	drei	drei	drei	NUM	
drei	trijnieki	drei	trijnieks	NUM	N;NOM;MASC;PL
etwa	par	etwa	par	ADV	
etwa	apm	etwa	apm	ADV	
deutschen	vācijas	deutsch	vācija	ADJ	PROPN;NOM;FEM;SG
deutschen	vācietis	deutsch	vācietis	ADJ	N;NOM;MASC;SG
deutschen	vācu	deutsch	vāci	ADJ	N;NOM;MASC;SG
deutschen	vācieši	deutsch	vācietis	ADJ	N;NOM;MASC;PL
teil	daļa	teil	daļa	ADV	N;NOM;FEM;SG
berlin	berlīnē	berlin	berlīnēt	PROPN;NOM;NEUT;SG	PROPN;ESS;FEM;SG
berlin	berlīne	berlin	berlīne	PROPN;NOM;NEUT;SG	N;NOM;FEM;SG
berlin	berlīnes	berlin	berlīne	PROPN;NOM;NEUT;SG	N;NOM;FEM;PL
berlin	berlin	berlin	berlin	PROPN;NOM;NEUT;SG	
habe	saņēmu	haben	saņemt	V;SBJV;SG;3;PRS;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
alle	ikviens	alle	ikviens	PRO;NOM;INDF;PL	PRO;NOM;MASC;SG
alle	visi	alle	viss	PRO;NOM;INDF;PL	PRO;NOM;MASC;PL
alle	visiem	alle	viss	PRO;NOM;INDF;PL	PRO;DAT;MASC;PL
alle	visiem	alle	viss	PRO;NOM;INDF;PL	PRO;DAT;MASC;PL
alle	visu	alle	viss	PRO;NOM;INDF;PL	PRO;ACC;MASC;SG
alle	visas	alle	visa	PRO;NOM;INDF;PL	PRO;NOM;FEM;PL
alle	visi	alle	viss	PRO;NOM;INDF;PL	PRO;NOM;MASC;PL
alle	visa	alle	viss	PRO;NOM;INDF;PL	PRO;NOM;FEM;SG
alle	ikviens	alle	ikviens	PRO;NOM;INDF;PL	PRO;NOM;MASC;SG
alle	visi	alle	viss	PRO;NOM;INDF;PL	PRO;NOM;MASC;PL
alle	visiem	alle	viss	PRO;NOM;INDF;PL	PRO;DAT;MASC;PL
alle	alle	alle	alle	PRO;NOM;INDF;PL	
während	laikā	während	laiks	CONJ	N;ESS;MASC;SG
während	kamēr	während	kamēr	CONJ	ADV
ihre	viņu	ihr	viņš	DET;NOM;FEM;SG	PRO;ACC;MASC;SG;3
ihre	tās	ihr	tā	DET;NOM;FEM;SG	PRO;NOM;FEM;PL
ihre	tavas	ihr	tava	DET;NOM;FEM;SG	PRO;NOM;FEM;PL;3
ihre	tavu	ihr	tava	DET;NOM;FEM;SG	PRO;ACC;SG;3
ihre	tavs	ihr	tavs	DET;NOM;FEM;SG	PRO;NOM;MASC;SG;3
ihre	jūsu	ihr	jūs	DET;NOM;FEM;SG	PRO;GEN;PL;2
ihre	tava	ihr	tava	DET;NOM;FEM;SG	PRO;NOM;FEM;SG;3
ihre	viņai	ihr	viņa	DET;NOM;FEM;SG	PRO;DAT;FEM;SG;3
ihre	viņas	ihr	viņa	DET;NOM;FEM;SG	PRO;NOM;FEM;PL;3
ihre	tavs	ihr	tavs	DET;NOM;FEM;SG	PRO;NOM;MASC;SG;3
anderen	citi	ander	cits	ADJ;NOM;PL	PRO;NOM;MASC;PL
anderen	cits	ander	cits	ADJ;NOM;PL	PRO;NOM;MASC;SG
anderen	citādi	ander	citādi	ADJ;NOM;PL	ADV
anderen	citas	ander	cita	ADJ;NOM;PL	PRO;NOM;FEM;PL
anderen	citas	ander	cita	ADJ;NOM;PL	PRO;NOM;FEM;PL
anderen	citi	ander	cits	ADJ;NOM;PL	PRO;NOM;MASC;PL
später	vēlāk	spät	vēlu	ADJ	ADV;CMPR
können	var	können	varēt	V;IND;PL;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
können	varam	können	varēt	V;IND;PL;3;PRS;FIN	V;FH;IND;PL;1;POS;PRS;FIN;ACT
jan	jan	jan	jan	PROPN;NOM;MASC;SG	
jan	jans	jan	jans	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
mir	mir	ich	mirt	PRO;DAT;SG;1	PROPN
seinen	viņa	sein	viņa	DET;ACC;MASC;SG	PRO;NOM;FEM;SG;3
ihr	tevi	ihr	tu	PRO;NOM;MASC;SG	PRO;ACC;SG;2
ihr	jums	ihr	jūs	PRO;NOM;MASC;SG	PRO;DAT;PL;2
ihr	tev	ihr	tu	PRO;NOM;MASC;SG	PRO;DAT;SG;2
ihr	jūs	ihr	jūs	PRO;NOM;MASC;SG	PRO;NOM;PL;2
ihr	tavas	ihr	tava	PRO;NOM;MASC;SG	PRO;NOM;FEM;PL;3
ihr	tavu	ihr	tava	PRO;NOM;MASC;SG	PRO;ACC;SG;3
ihr	jūsu	ihr	jūs	PRO;NOM;MASC;SG	PRO;GEN;PL;2
ihr	viņai	ihr	viņa	PRO;NOM;MASC;SG	PRO;DAT;FEM;SG;3
ihr	viņas	ihr	viņa	PRO;NOM;MASC;SG	PRO;NOM;FEM;PL;3
gemeinde	pašvaldībām	gemeinde	pašvaldība	N;NOM;FEM;SG	N;DAT;FEM;PL
gemeinde	pašvaldības	gemeinde	pašvaldība	N;NOM;FEM;SG	N;NOM;FEM;PL
gemeinde	municipalitātes	gemeinde	municipalitāte	N;NOM;FEM;SG	N;NOM;FEM;PL
gemeinde	kopienu	gemeinde	kopiena	N;NOM;FEM;SG	N;ACC;MASC;SG
gemeinde	kopienas	gemeinde	kopiena	N;NOM;FEM;SG	N;NOM;FEM;PL
seinem	viņa	sein	viņa	DET;DAT;MASC;SG	PRO;NOM;FEM;SG;3
erste	erste	erst	erste	ADJ;NOM;FEM;PL	
erste	pirmais	erst	pirmais	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
erste	pirmā	erst	pirmā	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
erste	pirma	erst	pirma	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
erste	vispirms	erst	vispirms	ADJ;NOM;FEM;PL	ADV
liegt	meli	liegen	meli	V;IND;SG;3;PRS;FIN	N;NOM;MASC
liegt	meliem	liegen	mels	V;IND;SG;3;PRS;FIN	N;DAT;MASC;PL
liegt	melus	liegen	melties	V;IND;SG;3;PRS;FIN	N;ACC;MASC
liegt	melu	liegen	mels	V;IND;SG;3;PRS;FIN	N;ACC;MASC;SG
august	augusts	augusten	augusts	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
august	augustā	augusten	augusts	PROPN;NOM;MASC;SG	N;ESS;MASC;SG
august	augusts	augusten	augusts	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
sollte	būtu	sollen	būt	V;IND;SG;3;PST;FIN	V;COND;POS;FIN;ACT
sollte	vajadzētu	sollen	vajadzēt	V;IND;SG;3;PST;FIN	V;COND;POS;FIN;ACT
deutschland	vācijas	deutschland	vācija	PROPN;NOM	PROPN;NOM;FEM;SG
deutschland	vācija	deutschland	vācija	PROPN;NOM	PROPN;NOM;FEM;SG
deutschland	vācijā	deutschland	vācija	PROPN;NOM	PROPN;ESS;FEM;SG
ihm	viņu	er	viņš	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
ende	noslēdzas	ende	noslēgties	N;ACC;NEUT;SG	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
ende	galus	ende	gals	N;ACC;NEUT;SG	N;ACC;MASC;PL
ende	beidzas	ende	beigties	N;ACC;NEUT;SG	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
ende	pabeigt	ende	pabeigt	N;ACC;NEUT;SG	V;POS;NFIN
ende	finišs	ende	finišs	N;ACC;NEUT;SG	N;NOM;MASC;SG
ende	pabeidz	ende	pabeigt	N;ACC;NEUT;SG	V;IMP;SG;2;POS;FIN;ACT
ende	beigas	ende	beigas	N;ACC;NEUT;SG	N;NOM;FEM
ende	beidzas	ende	beigties	N;ACC;NEUT;SG	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
märz	marta	märz	marts	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
märz	martā	märz	marts	PROPN;NOM;MASC;SG	N;ESS;MASC;SG
märz	marts	märz	marts	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
märz	märz	märz	märz	PROPN;NOM;MASC;SG	
deutsche	vācijas	deutsch	vācija	ADJ;NOM;FEM;PL	PROPN;NOM;FEM;SG
deutsche	vācietis	deutsch	vācietis	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
deutsche	vācu	deutsch	vāci	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	
deutsche	vācieši	deutsch	vācietis	ADJ;NOM;FEM;PL	N;NOM;MASC;PL
band	josla	binden	josla		N;NOM;FEM;SG
band	joslas	binden	josla		N;NOM;FEM;PL
band	lentes	binden	lente		N;NOM;FEM;PL
band	lentas	binden	lenta		N;NOM;FEM
band	lente	binden	lente		N;NOM;FEM;SG
band	lente	binden	lente		N;NOM;FEM;SG
band	lenta	binden	lenta		N;NOM;FEM;SG
band	lentas	binden	lenta		N;NOM;FEM
januar	janvāris	januar	janvāris	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
januar	janvāra	januar	janvāris	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
januar	janvārī	januar	janvāris	PROPN;NOM;MASC;SG	N;ESS;MASC;SG
doch	bet	doch	bet	ADV	CONJ
doch	taču	doch	taču	ADV	CONJ
oktober	oktobris	oktober	oktobris	PROPN;NOM;SG	N;NOM;MASC;SG
oktober	oktobrī	oktober	oktobris	PROPN;NOM;SG	N;ESS;MASC;SG
oktober	azt	oktober	azt	PROPN;NOM;SG	N
nov	december	nov	decembert		
ihn	viņam	er	viņš	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
wikipedia	wikipedia	wikipedia	wikipedia		N;NOM;MASC;SG
jun	jun	jun	jun		N
kirche	baznīcas	kirche	baznīca		N;NOM;FEM;PL
kirche	baznīca	kirche	baznīca		N;NOM;FEM;SG
kirche	baznīcas	kirche	baznīca		N;NOM;FEM;PL
kirche	baznīcā	kirche	baznīca		N;ESS;FEM;SG
juni	jun	juni	jun	PROPN;NOM;MASC;SG	N
juni	jūnijs	juni	jūnijs	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
juni	jūnija	juni	jūnijs	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
juni	jūnijā	juni	jūnijs	PROPN;NOM;MASC;SG	N;ESS;MASC;SG
konnte	varēja	können	varēt	V;IND;SG;3;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
konnte	varētu	können	varēt	V;IND;SG;3;PST;FIN	V;COND;POS;FIN;ACT
april	apr	april	apr	PROPN;NOM;MASC;SG	
april	aprīlis	april	aprīlis	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
april	gpl	april	gpl	PROPN;NOM;MASC;SG	N
april	aprīlis	april	aprīlis	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
april	aprīlī	april	aprīlis	PROPN;NOM;MASC;SG	N;ESS;MASC;SG
april	aprīļa	april	aprīlis	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
september	septembris	september	septembris	PROPN;SG	N;NOM;MASC;SG
september	septembrī	september	septembris	PROPN;SG	N;ESS;MASC;SG
september	septembri	september	septembris	PROPN;SG	N;ACC;MASC;SG
september	sep	september	sep	PROPN;SG	
selbst	pat	selbst	pat	ADV	PART
selbst	sevis	selbst	sevis	ADV	PRO;GEN;REFL
selbst	sevi	selbst	sevis	ADV	PRO;ACC;REFL
selbst	pats	selbst	pats	ADV	PRO;NOM;MASC;SG
selbst	sevi	selbst	sevis	ADV	PRO;ACC;REFL
weitere	tālāk	weit	tālu	ADJ;NOM;FEM;PL	ADV;CMPR
weitere	vairāk	weit	daudz	ADJ;NOM;FEM;PL	ADV;CMPR
weitere	vairak	weit	vairāk	ADJ;NOM;FEM;PL	
juli	jūlija	juli	jūlijs	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
juli	jūlijs	juli	jūlijs	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
juli	jūlijā	juli	jūlijs	PROPN;NOM;MASC;SG	N;ESS;MASC;SG
juli	juli	juli	jule	PROPN;NOM;MASC;SG	
andere	citi	ander	cits	ADJ;NOM;FEM;PL	PRO;NOM;MASC;PL
andere	cits	ander	cits	ADJ;NOM;FEM;PL	PRO;NOM;MASC;SG
andere	citādi	ander	citādi	ADJ;NOM;FEM;PL	ADV
andere	citas	ander	cita	ADJ;NOM;FEM;PL	PRO;NOM;FEM;PL
andere	citas	ander	cita	ADJ;NOM;FEM;PL	PRO;NOM;FEM;PL
andere	citi	ander	cits	ADJ;NOM;FEM;PL	PRO;NOM;MASC;PL
okt	azt	okt	azt		N
feb	februāra	feb	februāris		N;GEN;MASC;SG
feb	feb	feb	feb		
kein	nav	kein	nebūt	PRO;NOM;INDF;MASC;SG;NEG	V;FH;IND;3;NEG;PRS;FIN;ACT
kein	ne	kein	ne	PRO;NOM;INDF;MASC;SG;NEG	PART
geschichte	stāsts	geschicht	stāsts		N;NOM;MASC;SG
geschichte	vēsture	geschicht	vēsture		N;NOM;FEM;SG
geschichte	vēstures	geschicht	vēsture		N;NOM;FEM;PL
geschichte	vēsturi	geschicht	vēsture		N;ACC;FEM;SG
geschichte	vēsturē	geschicht	vēsture		N;ESS;FEM;SG
verlag	izdevēji	verliegen	izdevējs	N;NOM;MASC;SG	N;NOM;MASC;PL
verlag	izdevējiem	verliegen	izdevējs	N;NOM;MASC;SG	N;DAT;MASC;PL
apr	apr	apr	apr		
apr	aprīlis	apr	aprīlis		N;NOM;MASC;SG
apr	gpl	apr	gpl		N
jpg	jpg	jpg	jpg		
dezember	decembrī	dezember	decembris	PROPN;NOM;MASC;SG	N;ESS;MASC;SG
dezember	decembris	dezember	decembris	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
dezember	decembra	dezember	decembris	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
dezember	decembrim	dezember	decembris	PROPN;NOM;MASC;SG	N;DAT;MASC;SG
dezember	decembris	dezember	decembris	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	N
dez	decembris	dez	decembris		N;NOM;MASC;SG
dez	dec	dez	dec		N
universität	universitātē	universität	universitāte	ADJ	N;ESS;FEM;SG
universität	universitāte	universität	universitāte	ADJ	N;NOM;FEM;SG
universität	universitātes	universität	universitāte	ADJ	N;NOM;FEM;PL
platz	plaza	platz	plaza	ADV	
platz	kvadrātveida	platz	kvadrātveida	ADV	
platz	laukumā	platz	laukums	ADV	N;ESS;MASC;SG
platz	vieta	platz	vieta	ADV	N;NOM;FEM;SG
platz	platz	platz	platz	ADV	
platz	telpa	platz	telpa	ADV	N;NOM;FEM;SG
platz	kosmoss	platz	kosmoss	ADV	N;NOM;MASC;SG
ihrer	viņu	ihr	viņš	DET;NOM;MASC;SG	PRO;ACC;MASC;SG;3
ihrer	tavas	ihr	tava	DET;NOM;MASC;SG	PRO;NOM;FEM;PL;3
ihrer	tavu	ihr	tava	DET;NOM;MASC;SG	PRO;ACC;SG;3
ihrer	tavs	ihr	tavs	DET;NOM;MASC;SG	PRO;NOM;MASC;SG;3
ihrer	jūsu	ihr	jūs	DET;NOM;MASC;SG	PRO;GEN;PL;2
ihrer	tava	ihr	tava	DET;NOM;MASC;SG	PRO;NOM;FEM;SG;3
ihrer	tavs	ihr	tavs	DET;NOM;MASC;SG	PRO;NOM;MASC;SG;3
sep	sep	sepen	sep		
november	novembra	november	novembris	PROPN	N;GEN;MASC;SG
november	novembrī	november	novembris	PROPN	N;ESS;MASC;SG
november	novembris	november	novembris	PROPN	N;NOM;MASC;SG
november	december	november	decembert	PROPN	
liste	sarakstu	lassen	saraksts	N;NOM;FEM;SG	N;ACC;MASC;SG
liste	saraksta	lassen	saraksts	N;NOM;FEM;SG	N;GEN;MASC;SG
kam	atnācu	kommen	atnākt	V;IND;SG;3;PST;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
kam	kam	kommen	kas	V;IND;SG;3;PST;FIN	PRO;DAT
wir	wir	wir	virt	PRO;NOM;PL;1	
