arsenal	arsenalul	arsenal	arsenal	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
profesní	profesionale	profesní	profesional	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;PL
profesní	profesionistă	profesní	profesionist	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;SG
nováček	novice	nováček	novic	N;ANIM;NOM;MASC;SG;POS	
nováček	începător	nováček	începător	N;ANIM;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
výslovnost	pronunție	výslovnost	pronunție	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
transportní	transportor	transportní	transportor	ADJ;NOM;MASC;SG;POS	N;INDF;MASC;SG
transportní	transportorul	transportní	transportor	ADJ;NOM;MASC;SG;POS	N;DEF;MASC;SG
transportní	transportorului	transportní	transportor	ADJ;NOM;MASC;SG;POS	N;DEF;MASC;SG
ukončit	sfârșit	ukončit	sfârșit	V;PFV;POS;NFIN	N;INDF;MASC;SG
ukončit	sfarsit	ukončit	sfarsi	V;PFV;POS;NFIN	
ukončit	final	ukončit	final	V;PFV;POS;NFIN	N;INDF;MASC;SG
prsty	degetele	prst	deget	N;INAN;NOM;MASC;PL;POS	N;DEF;FEM;PL
vznikající	emergente	vznikající	emergent	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;INDF;FEM;PL
chráněný	protejată	chráněný	proteja	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
chráněný	protejate	chráněný	protejat	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
law	law	law	law	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
law	lege	law	lege	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;FEM;SG
law	legea	law	lege	PROPN;ANIM;NOM;MASC;SG;POS	N;DEF;FEM;SG
nejvíc	majoritatea	hodně	majoritate	ADV;RL;POS	N;DEF;FEM;SG
poznatky	constatările	poznatek	constatare	N;INAN;NOM;MASC;PL;POS	N;DEF;FEM;PL
projít	pass	projít	pass	V;POS;NFIN	N;INDF;MASC;SG
projít	pasa	projít	pasă	V;POS;NFIN	N;DEF;FEM;SG
úvahy	considerentele	úvaha	considert	N;NOM;FEM;PL;POS	N;DEF;FEM;PL
fungují	lucrări	fungovat	lucrare	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	N;INDF;FEM;PL
fungují	lucrari	fungovat	lucrar	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	N;INDF;FEM;PL
kolektivní	colective	kolektivní	colectiv	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
kolektivní	colectivă	kolektivní	colectiv	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
kolektivní	colectivul	kolektivní	colectiv	ADJ;NOM;MASC;SG;POS	N;DEF;MASC;SG
norman	norman	norman	norman	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
zničeno	distruse	zničený	distruge	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;IND;SG;3;PST;FIN
rudy	rudy	ruda	rudy	N;NOM;FEM;PL;POS	PROPN
rudy	minereu	ruda	minereu	N;NOM;FEM;PL;POS	N;INDF;MASC;SG
klima	clima	klima	climă	N;NOM;NEUT;SG;POS	N;DEF;FEM;SG
klima	climă	klima	climă	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
klima	climatice	klima	climatic	N;NOM;NEUT;SG;POS	ADJ;INDF;FEM;PL
klima	climatul	klima	climat	N;NOM;NEUT;SG;POS	N;DEF;MASC;SG
obr	uriaș	obrázek	uriaș	N;INAN;MASC;POS	ADJ;INDF;MASC;SG
platné	valabile	platný	valabil	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;PL
platné	valabilă	platný	valabil	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;SG
platné	validă	platný	valid	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;SG
teoretické	teoretic	teoretický	teoretic	ADJ;NOM;MASC;PL;POS	ADV
teoretické	teoretică	teoretický	teoretic	ADJ;NOM;MASC;PL;POS	ADJ;INDF;FEM;SG
ministrů	miniștrii	ministr	ministru	N;ANIM;GEN;MASC;PL;POS	N;DEF;MASC;PL
geometrie	geometria	geometrie	geometrie	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
geometrie	geometrie	geometrie	geometrie	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
vnuk	nepotul	vnuk	nepot	N;ANIM;NOM;MASC;SG;POS	N;DEF;MASC;SG
vnuk	nepoate	vnuk	nepote	N;ANIM;NOM;MASC;SG;POS	N;INDF;FEM;PL
bis	bis	bis	bis	N;FEM;POS	
evans	evans	evans	evans	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
neil	neil	neil	neil	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
gnu	gnu	gno	gnu	N;INAN;NOM;MASC;SG;POS	
některý	unele	některý	unul	DET;NOM;MASC;SG	PRO;FEM;PL;3
některý	unii	některý	unul	DET;NOM;MASC;SG	PRO;MASC;PL;3
poranění	accidentare	poranění	accidentare	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
poranění	vătămare	poranění	vătămare	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
poranění	leziuni	poranění	leziune	N;NOM;NEUT;SG;POS	N;INDF;FEM;PL
poranění	răni	poranění	rană	N;NOM;NEUT;SG;POS	N;INDF;FEM;PL
eds	eds	eds	eds	PROPN;FEM;POS	N
marina	marina	marina	marină	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
akt	actul	akt	act	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
akt	acționează	akt	acționa	N;INAN;NOM;MASC;SG;POS	V;IND;3;PRS;FIN
ltd	srl	ltd	srl	PROPN;NOM;MASC;SG;POS	
ltd	ltd	ltd	ltd	PROPN;NOM;MASC;SG;POS	N
teplé	calde	teplý	cald	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;PL
teplé	caldă	teplý	cald	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;SG
španělsky	spaniola	španělsky	spaniolă	ADV;POS	N;DEF;FEM;SG
španělsky	spanioli	španělsky	spaniol	ADV;POS	ADJ;INDF;MASC;PL
španělsky	spaniolă	španělsky	spaniolă	ADV;POS	N;INDF;FEM;SG
španělsky	spaniol	španělsky	spaniol	ADV;POS	ADJ;INDF;MASC;SG
ekologické	ecologice	ekologický	ecologic	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
ekologické	ecologică	ekologický	ecologic	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
ekologické	organici	ekologický	organic	ADJ;NOM;MASC;SG;POS	N;INDF;MASC;PL
ekologické	organice	ekologický	organic	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
ekologické	organică	ekologický	organic	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
obal	ambalajul	obal	ambalaj	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
obal	ambalaje	obal	ambalaj	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;PL
obal	ambalarea	obal	ambalare	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;SG
obal	ambalare	obal	ambalare	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
obal	acoperi	obal	acoperi	N;INAN;NOM;MASC;SG;POS	
obal	acoperă	obal	acoperi	N;INAN;NOM;MASC;SG;POS	V;IND;3;PRS;FIN
obal	coperta	obal	copertă	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;SG
obal	copertă	obal	copertă	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
obal	acoperire	obal	acoperire	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
roků	anii	rok	an	N;INAN;GEN;MASC;PL;POS	N;DEF;MASC;PL
partnerství	parteneriatul	partnerství	parteneriat	N;NOM;NEUT;SG;POS	N;DEF;MASC;SG
partnerství	parteneriate	partnerství	parteneriat	N;NOM;NEUT;SG;POS	N;INDF;FEM;PL
partnerství	parteneriatele	partnerství	parteneriat	N;NOM;NEUT;SG;POS	N;DEF;FEM;PL
napsáno	scris	napsaný	scris	ADJ;NEUT;SG;POS;V.PTCP;PASS	N;INDF;MASC;SG
napsáno	scrise	napsaný	scrie	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;IND;SG;3;PST;FIN
místnost	cameră	místnost	cameră	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
místnost	camera	místnost	cameră	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
autobus	autobuzul	autobus	autobuz	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
vlád	guvernele	vláda	guvern	N;GEN;FEM;PL;POS	N;DEF;FEM;PL
rámec	cadrul	rámec	cadru	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
rámec	rama	rámec	ramă	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;SG
rámec	ramă	rámec	ramă	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
krásný	frumoase	krásný	frumos	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
krásný	frumoasă	krásný	frumos	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
krásný	frumoasa	krásný	frumos	ADJ;INAN;NOM;MASC;SG;POS	ADJ;DEF;FEM;SG
instrukce	instruire	instrukce	instruire	N;NOM;FEM;PL;POS	N;INDF;FEM;SG
instrukce	instrucțiunile	instrukce	instrucțiune	N;NOM;FEM;PL;POS	N;DEF;FEM;PL
chovu	reproducție	chov	reproducție	N;INAN;GEN;MASC;SG;POS	N;INDF;FEM;SG
chovu	reproducere	chov	reproducere	N;INAN;GEN;MASC;SG;POS	N;INDF;FEM;SG
splnění	îndeplinirea	splnění	îndeplinire	N;NOM;NEUT;SG;POS	N;DEF;FEM;SG
splnění	împliniri	splnění	împlinire	N;NOM;NEUT;SG;POS	N;INDF;FEM;PL
splnění	împlinirea	splnění	împlinire	N;NOM;NEUT;SG;POS	N;DEF;FEM;SG
splnění	împlinire	splnění	împlinire	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
front	front	fronta	front	PROPN;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
front	față	fronta	față	PROPN;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
diego	diego	diego	diego	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
werner	werner	werner	werner	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
dáma	dame	dáma	damă	N;NOM;FEM;SG;POS	N;INDF;FEM;PL
dáma	doamna	dáma	doamnă	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
dáma	doamnă	dáma	doamnă	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
komunistická	comunistă	komunistický	comunist	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;SG
komunistická	comuniste	komunistický	comunist	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;PL
experiment	experimentul	experiment	experiment	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
experiment	experimentează	experiment	experimenta	N;INAN;NOM;MASC;SG;POS	V;IND;3;PRS;FIN
rukopis	manuscrisul	rukopis	manuscris	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
richter	richter	richter	richter	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
vltava	vltava	vltava	vltavă	PROPN;NOM;FEM;SG;POS	N;DEF;MASC;SG
subjekty	entitățile	subjekt	entitate	N;INAN;NOM;MASC;PL;POS	N;DEF;FEM;PL
atentát	asasinare	atentát	asasinare	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
atentát	asasinatul	atentát	asasinat	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
atentát	asasinarea	atentát	asasinare	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;SG
atentát	asasinate	atentát	asasina	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;PL
atentát	asasinat	atentát	asasina	N;INAN;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
snížit	scădere	snížit	scădere	V;PFV;POS;NFIN	N;INDF;FEM;SG
discovery	descoperire	discovery	descoperire	PROPN;FEM;POS	N;INDF;FEM;SG
discovery	descoperiri	discovery	descoperire	PROPN;FEM;POS	N;INDF;FEM;PL
discovery	descoperirea	discovery	descoperire	PROPN;FEM;POS	N;DEF;FEM;SG
discovery	discovery	discovery	discovery	PROPN;FEM;POS	N;INDF;MASC;SG
grafika	grafic	grafika	grafic	N;NOM;FEM;SG;POS	ADV
grafika	grafică	grafika	grafic	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
grafika	grafice	grafika	grafic	N;NOM;FEM;SG;POS	ADJ;INDF;FEM;PL
grafika	grafica	grafika	grafică	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
grafika	grafică	grafika	grafic	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
vyučování	predau	vyučování	preda	N;NOM;NEUT;SG;POS	V;IND;PL;3;IPFV;FIN
vyučování	predare	vyučování	predare	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
úkolů	sarcinile	úkol	sarcină	N;INAN;GEN;MASC;PL;POS	N;DEF;FEM;PL
kirk	kirk	kirk	kirk	N;ANIM;NOM;MASC;SG;POS	PROPN
jarmila	jarmila	jarmila	jarmilă	PROPN;NOM;FEM;SG;POS	N;DEF;FEM;SG
hlasovací	votez	hlasovací	vota	ADJ;NOM;MASC;SG;POS	V;IND;SG;1;PRS;FIN
hlasovací	votare	hlasovací	votare	ADJ;NOM;MASC;SG;POS	N;INDF;FEM;SG
hlasovací	votul	hlasovací	vot	ADJ;NOM;MASC;SG;POS	N;DEF;MASC;SG
hlasovací	votarea	hlasovací	votare	ADJ;NOM;MASC;SG;POS	N;DEF;FEM;SG
podzemí	subteran	podzemí	subteran	N;NOM;NEUT;SG;POS	ADJ;INDF;MASC;SG
identity	identitate	identita	identitate	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
identity	identitatea	identita	identitate	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
hráz	dam	hráz	da	N;NOM;FEM;SG;POS	
hráz	barajul	hráz	baraj	N;NOM;FEM;SG;POS	N;DEF;MASC;SG
blokování	blocarea	blokování	blocare	N;NOM;NEUT;SG;POS	N;DEF;FEM;SG
blokování	blochează	blokování	bloca	N;NOM;NEUT;SG;POS	V;IND;3;PRS;FIN
definitivní	definitivă	definitivní	definitiv	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
definitivní	definitive	definitivní	definitiv	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
definitivní	definitiv	definitivní	definitiv	ADJ;NOM;MASC;SG;POS	ADV
ponorka	submarinul	ponorka	submarin	N;NOM;FEM;SG;POS	N;DEF;MASC;SG
smíšený	amestecate	smíšený	amestecat	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
smíšený	mixtă	smíšený	mixt	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
kritizoval	criticat	kritizovat	criticat	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	ADJ;INDF;MASC;SG
kritizoval	criticată	kritizovat	critica	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	ADJ;INDF;FEM;SG
kritizoval	criticat	kritizovat	criticat	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	ADJ;INDF;MASC;SG
kritizoval	criticată	kritizovat	critica	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	ADJ;INDF;FEM;SG
plošina	platformă	plošina	platformă	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
plošina	platforma	plošina	platformă	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
plošina	platoul	plošina	platou	N;NOM;FEM;SG;POS	N;DEF;MASC;SG
sedí	ședința	sedět	ședință	V;IND;SG;3;POS;PRS;FIN;ACT	N;DEF;FEM;SG
hladina	nivelul	hladina	nivel	N;NOM;FEM;SG;POS	N;DEF;MASC;SG
pruský	prusac	pruský	prusac	ADJ;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
uložen	stocate	uložený	stoca	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
uložen	depozitate	uložený	depozitat	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
svatební	nuntă	svatební	nuntă	ADJ;NOM;MASC;SG;POS	N;INDF;FEM;SG
svatební	nunta	svatební	nunta	ADJ;NOM;MASC;SG;POS	N;DEF;FEM;SG
abecedy	alfabet	abeceda	alfabet	N;NOM;FEM;PL;POS	N;INDF;MASC;SG
abecedy	alfabetul	abeceda	alfabet	N;NOM;FEM;PL;POS	N;DEF;MASC;SG
povinné	obligatorie	povinný	obligatoriu	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;SG
povinné	obligatoriu	povinný	obligatoriu	ADJ;NOM;NEUT;SG;POS	ADV
povinné	obligatorie	povinný	obligatoriu	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;SG
povinné	obligatorii	povinný	obligatoriu	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;PL
povinné	obligatoriu	povinný	obligatoriu	ADJ;NOM;NEUT;SG;POS	ADV
povinné	obligatorie	povinný	obligatoriu	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;SG
povinné	obligatorii	povinný	obligatoriu	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;PL
ústní	oral	ústní	oral	ADJ;NOM;MASC;SG;POS	N;INDF;MASC;SG
ústní	orală	ústní	oral	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
řecká	greci	řecký	grec	ADJ;NOM;FEM;SG;POS	N;INDF;MASC;PL
řecká	grec	řecký	grec	ADJ;NOM;FEM;SG;POS	N;INDF;MASC;SG
řecká	greacă	řecký	greacă	ADJ;NOM;FEM;SG;POS	N;INDF;FEM;SG
řecká	greaca	řecký	greacă	ADJ;NOM;FEM;SG;POS	N;DEF;FEM;SG
kapacitu	capacitatea	kapacita	capacitate	N;ACC;FEM;SG;POS	N;DEF;FEM;SG
