oli	ήταν	olla	είμαι	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
osa	μερικοί	osa	μερικοί	N;NOM;SG	PRO;NOM;MASC;PL;3
osa	μερικά	osa	μερικοί	N;NOM;SG	PRO;NOM;NEUT;PL;3
tammikuuta	ιανουαρίου	tammikuu	ιανουάριος	N;PRT;SG	PROPN;GEN;MASC;SG
tammikuuta	ιανουάριος	tammikuu	ιανουάριος	N;PRT;SG	N;NOM;MASC;SG
yhteensä	συνολο	yhteensä	συνολο	ADV	N;NEUT;SG
yhteensä	σύνολο	yhteensä	σύνολο	ADV	N;NOM;NEUT;SG
php	php	php	php	N;NOM;SG	
php	πυ	php	πυ	N;NOM;SG	ADV
syyskuuta	σεπτεμβρίου	syyskuu	σεπτέμβριο	N;PRT;SG	N;GEN;MASC;SG
syyskuuta	σεπτέμβρη	syyskuu	σεπτέμβρομαι	N;PRT;SG	ADV
syyskuuta	σεπτέμβριος	syyskuu	σεπτέμβριος	N;PRT;SG	N;NOM;MASC;SG
vastaan	κόντρα	vastaan	κόντρο	ADV	N;ACC;FEM;SG
vastaan	εναντίον	vastaan	εναντίον	ADV	ADP
eri	διαφορετικά	eri	διαφορετικά	ADJ	ADV
eri	eni	eri	eni	ADJ	
keskustelu	συζήτηση	keskustelu	συζήτηση	N;NOM;SG	N;ACC;FEM;SG
keskustelu	συνομιλία	keskustelu	συνομιλία	N;NOM;SG	N;ACC;FEM;SG
keskustelu	συζητηση	keskustelu	συζητηση	N;NOM;SG	N;ACC;FEM;SG
keskustelu	συζήτηση	keskustelu	συζήτηση	N;NOM;SG	N;ACC;FEM;SG
keskustelu	συζήτηση	keskustelu	συζήτηση	N;NOM;SG	N;ACC;FEM;SG
keskustelu	ντιμπέιτ	keskustelu	ντιμπέιτ	N;NOM;SG	
keskustelu	συνομιλία	keskustelu	συνομιλία	N;NOM;SG	N;ACC;FEM;SG
keskustelu	chat	keskustelu	chat	N;NOM;SG	
koska	αίτιο	koska	αίτιο	CONJ	N;NOM;NEUT;SG
koska	αιτία	koska	αιτία	CONJ	N;NOM;FEM;SG
maaliskuuta	μαρτίου	maaliskuu	μάρτιος	N;PRT;SG	N;GEN;MASC;SG
maaliskuuta	μάρτιος	maaliskuu	μάρτιος	N;PRT;SG	N;NOM;MASC;SG
huhtikuuta	απρ	huhtikuu	απρ	N;PRT;SG	
huhtikuuta	απρίλιος	huhtikuu	απρίλιος	N;PRT;SG	N;NOM;MASC;SG
huhtikuuta	απριλίου	huhtikuu	απρίλιος	N;PRT;SG	N;GEN;MASC;SG
elokuuta	αύγουστος	elokuu	αύγουστος	N;PRT;SG	N;NOM;MASC;SG
elokuuta	αυγούστου	elokuu	αυγούστος	N;PRT;SG	N;GEN;MASC;SG
kesäkuuta	ιούνιο	kesäkuu	ιούνιος	N;PRT;SG	PROPN;ACC;MASC;SG
kesäkuuta	ιουνίου	kesäkuu	ιούνιος	N;PRT;SG	N;GEN;MASC;SG
kesäkuuta	τζουν	kesäkuu	τζω	N;PRT;SG	
kesäkuuta	ιούνιος	kesäkuu	ιούνιος	N;PRT;SG	ADJ;NOM;MASC;SG
toukokuuta	μάη	toukokuu	μάη	N;PRT;SG	ADP
toukokuuta	μάιος	toukokuu	μάιος	N;PRT;SG	N;NOM;MASC;SG
toukokuuta	μέι	toukokuu	μέι	N;PRT;SG	
toukokuuta	μάης	toukokuu	μάος	N;PRT;SG	N;NOM;MASC;SG
joulukuuta	δεκέμβριος	joulukuu	δεκέμβριος	N;PRT;SG	N;NOM;MASC;SG
joulukuuta	δεκεμβρίου	joulukuu	δεκέμβριο	N;PRT;SG	N;GEN;MASC;SG
heinäkuuta	ιούλιος	heinäkuu	ιούλιος	N;PRT;SG	PROPN;NOM;MASC;SG
heinäkuuta	ιούλιο	heinäkuu	ιούλιος	N;PRT;SG	N;ACC;MASC;SG
heinäkuuta	ιουλίου	heinäkuu	ιούλιος	N;PRT;SG	N;GEN;NEUT;SG
heinäkuuta	ιουλιος	heinäkuu	ιουλιος	N;PRT;SG	N;NOM;MASC;SG
helmikuuta	φεβρουάριος	helmikuu	φεβρουάριος	N;PRT;SG	N;NOM;MASC;SG
helmikuuta	φεβρουαρίου	helmikuu	φεβρουάριο	N;PRT;SG	N;GEN;MASC;SG
koko	ολόκληρα	koko	ολόκληρα	ADJ	ADV
koko	μέγεθος	koko	μέγεθος	ADJ	N;NOM;NEUT;SG
marraskuuta	νοεμβρίου	marraskuu	νόεμβριος	N;PRT;SG	N;GEN;MASC;SG
marraskuuta	νοέμβριο	marraskuu	νοέμβριος	N;PRT;SG	N;NOM;MASC;SG
marraskuuta	νοέμβριος	marraskuu	νοέμβριος	N;PRT;SG	N;NOM;MASC;SG
diff	diff	diff	diff	N;NOM;SG	
kaikki	ολα	kaikki	όλος	PRO;NOM;SG	ADV
kaikki	όλα	kaikki	όλος	PRO;NOM;SG	ADJ;NOM;NEUT;PL
kaikki	ολα	kaikki	όλος	PRO;NOM;SG	ADV
kaikki	όλοι	kaikki	όλος	PRO;NOM;SG	ADJ;NOM;MASC;PL
kaikki	όλες	kaikki	όλος	PRO;NOM;SG	ADJ;NOM;FEM;PL
kaikki	όλα	kaikki	όλος	PRO;NOM;SG	ADJ;NOM;NEUT;PL
kaikki	ολοι	kaikki	ολος	PRO;NOM;SG	PRO;NOM;MASC;PL;3
kaikki	όλοι	kaikki	όλος	PRO;NOM;SG	ADJ;NOM;MASC;PL
pelasi	έπαιζα	pelata	έπαιζα	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;1;PST;FIN;ACT
pelasi	παίχτηκε	pelata	παίσταμαι	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
pelasi	έπαιξα	pelata	δαπαίζω	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
yli	over	yli	over	ADV	
helsingin	ελσίνκι	helsinki	ελσίνκι	PROPN;GEN;SG	PROPN;NOM;NEUT;SG
toinen	δεύτερο	toinen	δεύτερος	PRO;NOM;SG	NUM;NOM;NEUT;SG
toinen	δεύτερος	toinen	δεύτερος	PRO;NOM;SG	NUM;NOM;MASC;SG
toinen	δεύτερη	toinen	δεύτερος	PRO;NOM;SG	NUM;NOM;FEM;SG
kauden	εποχή	kausi	εποχή	N;GEN;SG	N;ACC;FEM;SG
kauden	σαιζόν	kausi	σαιζός	N;GEN;SG	N;NOM;FEM;SG
kauden	σεζον	kausi	σεζον	N;GEN;SG	
kauden	σεζόν	kausi	σεζόν	N;GEN;SG	N;ACC;FEM;SG
vaikka	μολονότι	vaikka	μολονότι	CONJ	ADV
vuotta	χρονια	vuosi	χρονος	N;PRT;SG	N;NOM;NEUT;PL
vuotta	ετη	vuosi	εγώ	N;PRT;SG	N;NOM;NEUT;PL
vuotta	χρόνια	vuosi	χρόνος	N;PRT;SG	N;NOM;NEUT;PL
vuotta	έτη	vuosi	έτος	N;PRT;SG	N;NOM;NEUT;PL
seura	club	seura	club	N;NOM;SG	
seura	κλάμπ	seura	κλάμπ	N;NOM;SG	
seura	κλαμπ	seura	κλαμπ	N;NOM;SG	
sijaitsee	εντοπίστηκε	sijaita	εντοπίζω	V;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
kolme	τρεις	kolme	τρεις	NUM;NOM;SG	NUM;NOM;MASC;PL
kolme	three	kolme	three	NUM;NOM;SG	
kolme	τρία	kolme	τρεις	NUM;NOM;SG	NUM;NOM;NEUT;PL
jota	που	joka	που	PRO;PRT;SG	PRO;ACC;NEUT;SG;3
kuva	φώτο	kuva	φώτος	N;NOM;SG	N;ACC;FEM;SG
kuva	photo	kuva	photo	N;NOM;SG	
kuva	φωτογραφία	kuva	φωτογραφία	N;NOM;SG	N;ACC;FEM;SG
kuva	φωτο	kuva	φωτος	N;NOM;SG	
kuva	φωτό	kuva	φωτός	N;NOM;SG	N;ACC;FEM;SG
kuva	φωτογραφία	kuva	φωτογραφία	N;NOM;SG	N;ACC;FEM;SG
mukana	συνοδευτικό	mukana	συνοδευτικός	ADV	ADJ;NOM;NEUT;SG
mukana	με	mukana	με	ADV	ADP
kautta	via	kautta	via	ADV	
kautta	μέσω	kautta	μέσω	ADV	ADP
kautta	μεσω	kautta	μεσω	ADV	ADP
kautta	μέσω	kautta	μέσω	ADV	ADP
alkoi	ξεκίνησα	alkaa	ξεκινώ	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
itse	εαυτός	itse	εαυτός	ADV	N;NOM;MASC;SG
suurin	μέγιστη	suuri	μέγιστος	ADJ;NOM;RL;SG	N;ACC;FEM;SG
suurin	μέγιστο	suuri	μέγιστος	ADJ;NOM;RL;SG	N;NOM;NEUT;SG
uusi	νεα	uusi	νέος	ADJ;NOM;SG	N;NOM;FEM;SG
uusi	νέο	uusi	νέος	ADJ;NOM;SG	ADJ;ACC;NEUT;SG
uusi	νέα	uusi	νέος	ADJ;NOM;SG	ADJ;NOM;NEUT;PL
ajan	χρόνος	aika	χρόνος	N;GEN;SG	N;NOM;MASC;SG
ajan	χρονος	aika	χρονος	N;GEN;SG	DET;NOM;DEF;MASC;SG
ajan	ώρα	aika	ώρα	N;GEN;SG	N;ACC;FEM;SG
ajan	φορά	aika	φορά	N;GEN;SG	N;ACC;FEM;SG
ajan	ωρα	aika	ωρα	N;GEN;SG	N;ACC;FEM;SG
ajan	χρόνο	aika	χρόνος	N;GEN;SG	N;ACC;MASC;SG
aloitti	ξεκίνησα	aloittaa	ξεκινώ	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
helsinki	ελσίνκι	helsinki	ελσίνκι	N;NOM;SG	PROPN;NOM;NEUT;SG
venäjän	ρωσική	venäjä	ρωσικός	N;GEN;SG	ADJ;NOM;FEM;SG
venäjän	ρώσικα	venäjä	ρώσικα	N;GEN;SG	ADV
venäjän	ρωσικά	venäjä	ρωσικός	N;GEN;SG	ADV
venäjän	ρώσος	venäjä	ρώσος	N;GEN;SG	PROPN;NOM;MASC;SG
venäjän	ρωσία	venäjä	ρωσία	N;GEN;SG	PROPN;ACC;FEM;SG
venäjän	ρωσίας	venäjä	ρωσία	N;GEN;SG	PROPN;GEN;FEM;SG
pohjois	βορρά	pohjois	βορράς	N;NOM;SG	N;ACC;MASC;SG
pohjois	βόρεια	pohjois	βόρεια	N;NOM;SG	ADV
pohjois	βόρειος	pohjois	βόρειος	N;NOM;SG	ADJ;NOM;MASC;SG
pohjois	βόρειο	pohjois	βόρειο	N;NOM;SG	ADJ;NOM;NEUT;SG
pohjois	βόρεια	pohjois	βόρεια	N;NOM;SG	ADV
useita	αρκετές	usea	αρκετός	ADJ;PRT;PL	PRO;NOM;FEM;PL;3
useita	αρκετοί	usea	αρκετός	ADJ;PRT;PL	PRO;NOM;MASC;PL;3
useita	πολλαπλές	usea	πολλαπλά	ADJ;PRT;PL	ADJ;NOM;FEM;PL
useita	πολλαπλή	usea	πολλαπλή	ADJ;PRT;PL	ADJ;NOM;FEM;SG
useita	πολλαπλά	usea	πολλαπλά	ADJ;PRT;PL	ADV
maalit	στόχους	maali	στόχος	N;NOM;PL	N;ACC;MASC;PL
maalit	γκολ	maali	γκολ	N;NOM;PL	
maalit	βαφή	maali	βαφής	N;NOM;PL	N;NOM;FEM;SG
maalit	μπογιά	maali	μπογιά	N;NOM;PL	N;NOM;FEM;SG
jpg	jpg	jpg	jpg	N;NOM;SG	
yhdessä	μαζι	yhdessä	μαζι	ADV	N
tulee	έρχομαι	tulla	έρχομαι	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;PASS
tulee	έρχεται	tulla	έρχομαι	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
tulee	έρχονται	tulla	έρχομαι	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
maan	γη	maa	γη	N;GEN;SG	N;NOM;FEM;SG
maan	γή	maa	γή	N;GEN;SG	N;ACC;FEM;SG
maan	χωρα	maa	χωρα	N;GEN;SG	N;ACC;FEM;SG
maan	χώρα	maa	χώρα	N;GEN;SG	N;NOM;FEM;SG
elokuva	κινηματογράφο	elo#kuva	κινηματογράφος	N;NOM;SG	N;ACC;MASC;SG
saksan	γερμανοί	saksa	γερμανός	N;GEN;SG	PROPN;NOM;MASC;PL
saksan	γερμανός	saksa	γερμανός	N;GEN;SG	ADJ;NOM;MASC;SG
saksan	γερμανικό	saksa	γερμανικός	N;GEN;SG	ADJ;NOM;NEUT;SG
saksan	γερμανικά	saksa	γερμανικά	N;GEN;SG	ADV
saksan	γερμανική	saksa	γερμανικός	N;GEN;SG	ADJ;NOM;FEM;SG
saksan	γερμανία	saksa	γερμανία	N;GEN;SG	PROPN;ACC;FEM;SG
saksan	γερμανια	saksa	γερμανια	N;GEN;SG	N;ACC;FEM;SG
kaupunki	town	kaupunki	town	N;NOM;SG	
kaupunki	city	kaupunki	city	N;NOM;SG	
etelä	νότιο	etelä	νότιος	N;NOM;SG	ADJ;NOM;NEUT;SG
etelä	νότιος	etelä	νότιος	N;NOM;SG	ADJ;NOM;MASC;SG
etelä	νότια	etelä	νότιος	N;NOM;SG	ADV
etelä	νότιο	etelä	νότιος	N;NOM;SG	ADJ;NOM;NEUT;SG
etelä	νότια	etelä	νότιος	N;NOM;SG	ADV
euroopan	ευρώπη	eurooppa	ευρώπη	PROPN;GEN;SG	PROPN;ACC;FEM;SG
euroopan	ευρωπη	eurooppa	ευρωπη	PROPN;GEN;SG	N;NOM;FEM;SG
euroopan	ευρωπαϊκή	eurooppa	ευρωπαϊκός	PROPN;GEN;SG	ADJ;NOM;FEM;SG
katso	δείτε	katsoa	βλέπω	V;IMP;SG;2;FIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
katso	βλέπεις	katsoa	βλέπη	V;IMP;SG;2;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
katso	βλέπε	katsoa	βλέπω	V;IMP;SG;2;FIN;ACT	
katso	δειτε	katsoa	δειτε	V;IMP;SG;2;FIN;ACT	
katso	δείτε	katsoa	βλέπω	V;IMP;SG;2;FIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
katso	ρολόι	katsoa	ρολός	V;IMP;SG;2;FIN;ACT	N;NOM;NEUT;SG
katso	κοίτα	katsoa	κοίτα	V;IMP;SG;2;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
muita	άλλους	muu	άλλος	PRO;PRT;PL	PRO;NOM;MASC;PL;3
muita	άλλοι	muu	άλλος	PRO;PRT;PL	PRO;NOM;MASC;PL;3
muita	λοιποί	muu	λοιπός	PRO;PRT;PL	ADJ;NOM;MASC;PL
muita	αλλοι	muu	αλλος	PRO;PRT;PL	PRO;NOM;MASC;PL;3
muita	άλλα	muu	άλλος	PRO;PRT;PL	PRO;NOM;NEUT;PL;3
käyttää	χρήση	käyttää	χρήση	V;IND;SG;PRS;FIN;ACT	N;ACC;FEM;SG
käyttää	χρησιμοποίηση	käyttää	χρησιμοποίηση	V;IND;SG;PRS;FIN;ACT	N;ACC;FEM;SG
käyttää	χρήσεις	käyttää	χρήση	V;IND;SG;PRS;FIN;ACT	N;NOM;FEM;PL
käyttää	χρήσεων	käyttää	χρήση	V;IND;SG;PRS;FIN;ACT	N;GEN;FEM;PL
kertaa	times	kerta	times	N;PRT;SG	
kertaa	φορές	kerta	φορά	N;PRT;SG	N;NOM;FEM;PL
kertaa	χρόνοι	kerta	χρόνος	N;PRT;SG	N;NOM;MASC;PL
alussa	αρχή	alku	αρχή	N;IN+ESS;SG	N;NOM;FEM;SG
muut	λοιπά	muu	λοιπός	PRO;NOM;PL	ADV
muut	αλλα	muu	αλλα	PRO;NOM;PL	ADV
muut	λοιποί	muu	λοιπός	PRO;NOM;PL	ADJ;NOM;MASC;PL
yhden	ένας	yksi	ένας	NUM;GEN;SG	DET;NOM;INDF;MASC;SG
yhden	ενα	yksi	ένας	NUM;GEN;SG	N;NOM;NEUT;SG
yhden	μία	yksi	ένας	NUM;GEN;SG	NUM;NOM;FEM;SG
yhden	ένα	yksi	ένας	NUM;GEN;SG	NUM;NOM;NEUT;SG
yhden	μια	yksi	ένας	NUM;GEN;SG	NUM;NOM;FEM;SG
syntyi	γεννήθηκα	syntyä	γεννώ	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;PASS
syntyi	γεννημένος	syntyä	γεννημένος	V;IND;SG;3;PST;FIN;ACT	V;PFV;NOM;MASC;SG;V.PTCP;PASS
syntyi	γεννήθηκε	syntyä	γεννώ	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
syntyi	γεννηθείς	syntyä	γεννηθής	V;IND;SG;3;PST;FIN;ACT	ADJ;NOM;MASC;SG
suomi	φιλανδία	suomi	φιλανδία	PROPN;NOM;SG	PROPN;ACC;FEM;SG
suomi	φινλανδία	suomi	φινλανδία	PROPN;NOM;SG	PROPN;ACC;FEM;SG
neljä	τέσσερις	neljä	τέσσερις	NUM;NOM;SG	NUM;NOM;MASC;PL
neljä	τέσσερα	neljä	τέσσερις	NUM;NOM;SG	NUM;NOM;NEUT;PL
neljä	four	neljä	four	NUM;NOM;SG	
neljä	τεσσερα	neljä	τέσσερις	NUM;NOM;SG	N;NOM;NEUT;PL
alueen	περιφέρεια	alue	περιφέρεια	N;GEN;SG	N;NOM;FEM;SG
alueen	περιοχή	alue	περιοχή	N;GEN;SG	N;NOM;FEM;SG
john	τζων	joka	τζων	PROPN;NOM;SG	
john	τζον	joka	τζο	PROPN;NOM;SG	
john	john	joka	john	PROPN;NOM;SG	
john	ιωάννης	joka	ιωάννης	PROPN;NOM;SG	PROPN;NOM;MASC;SG
saanut	ελήφθη	saada	λαμβάνω	V;NOM;SG;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
ranskan	γάλλοι	ranska	γάλλος	N;GEN;SG	PROPN;NOM;MASC;PL
ranskan	γάλλος	ranska	γάλλος	N;GEN;SG	N;NOM;MASC;SG
ranskan	γαλλική	ranska	γαλλική	N;GEN;SG	ADJ;NOM;FEM;SG
ranskan	γαλλικό	ranska	γαλλικός	N;GEN;SG	ADJ;NOM;NEUT;SG
ranskan	γαλλικά	ranska	γαλλικά	N;GEN;SG	ADV
ranskan	γαλλία	ranska	γαλλία	N;GEN;SG	PROPN;ACC;FEM;SG
mitä	τι	mikä	τι	PRO;PRT;SG	PRO;NOM;NEUT;SG;3
näin	είδα	näin	είδα	ADV	V;PFV;IND;SG;1;PST;FIN;ACT
näin	είδε	näin	βλέπω	ADV	V;PFV;IND;SG;3;PST;FIN;ACT
näin	πριόνι	näin	πριόνι	ADV	N;NOM;NEUT;SG
paras	καλύτερα	hyvä	καλά	ADJ;NOM;RL;SG	ADV;CMPR
paras	καλύτερο	hyvä	καλά	ADJ;NOM;RL;SG	ADJ;NOM;CMPR;NEUT;SG
paras	best	hyvä	best	ADJ;NOM;RL;SG	
toimii	εργάζεται	toimia	εργάζομαι	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
toimii	έργα	toimia	έργο	V;IND;SG;3;PRS;FIN;ACT	N;NOM;NEUT;PL
pelaaja	παίκτη	pelaaja	παίκτης	N;NOM;SG	N;ACC;MASC;SG
pelaaja	παίχτη	pelaaja	παίχτης	N;NOM;SG	N;ACC;MASC;SG
pitää	αρέσει	pitää	αρίσκω	V;IND;SG;0;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
jäi	έμεινα	jäädä	μένεινος	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
metriä	μετρητές	metri	μετρητός	N;PRT;SG	N;NOM;MASC;PL
alle	υπό	alle	υπό	ADV	ADP
laulu	φωνητικά	laulu	φωνητικά	N;NOM;SG	ADV
laulu	τραγουδάει	laulu	τραγούδαι	N;NOM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
laulu	τραγουδάμε	laulu	τραγούδαι	N;NOM;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
laulu	τραγουδώντας	laulu	τραγουδώ	N;NOM;SG	V;IPFV;V.CVB;ACT
laulu	τραγουδούν	laulu	τραγούδαι	N;NOM;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
laulu	σονγκ	laulu	σονγκ	N;NOM;SG	
välillä	μεταξύ	välillä	μεταξύ	ADV	ADP
välillä	μεταξυ	välillä	μεταξυ	ADV	ADP
tässä	εδω	tämä	εδω	PRO;IN+ESS;SG	ADV
tässä	εδώ	tämä	εδώ	PRO;IN+ESS;SG	ADV
suuri	μεγάλα	suuri	μεγάλος	ADJ;NOM;SG	ADJ;NOM;NEUT;PL
