poesie	poesía	poesie	poesía		N
träume	ensueños	träumen	ensueño	ADJ;NOM	N
wasserversorgung	auga	wasserversorgung	auga	ADJ	N
vermeidung	evitar	vermeidung	evitar	N	V
stützpunkt	base	stützpunkt	base	ADJ	N
resultate	resultados	resultat	resultado		N
resultate	resultados	resultat	resultado		N
commander	comandante	commander	comandante	PROPN	N
gewachsen	grande	wachsen	grande	V;V.PTCP	ADJ
gewachsen	xa	wachsen	xa	V;V.PTCP	ADV
gewachsen	es	wachsen	e	V;V.PTCP	N
gewachsen	adulto	wachsen	adulto	V;V.PTCP	N
gewachsen	maior	wachsen	maior	V;V.PTCP	ADJ
schießen	dispáralle	schießen	dispáralle	V;NFIN	ADJ
schießen	a	schießen	o	V;NFIN	DET
schießen	tiro	schießen	tiro	V;NFIN	N
schießen	fogo	schießen	fogo	V;NFIN	N
beatles	dos	beatles	dos	PROPN;NOM;SG	PROPN
beatles	beatles	beatles	beatle	PROPN;NOM;SG	N
bomben	bomba	bomben	bomba		N
bomben	bombas	bomben	bomba		N
bomben	as	bomben	o		DET
bomben	bombardeo	bomben	bombardeo		N
bomben	do	bomben	do		PROPN
bomben	bombardeos	bomben	bombardeo		N
bomben	o	bomben	o		DET
stände	está	stand	estar		V
stände	entre	stand	entre		ADP
stände	queda	stand	quedar		V
gemeinschaften	comunidades	gemeinschaft	comunidade	ADJ	N
gemeinschaften	as	gemeinschaft	o	ADJ	DET
gemeinschaften	comunidade	gemeinschaft	comunidade	ADJ	N
hürden	obstáculos	hürden	obstáculo	V;NFIN	N
jahrzehnt	década	jahrzehnt	década	ADJ	N
faschismus	fascismo	faschismus	fascismo	PROPN	N
faschismus	o	faschismus	o	PROPN	DET
vorstandsvorsitzender	presidente	vorstandsvorsitzender	presidente	ADJ	N
verschollen	desapareceron	verschollen	desaparecer	ADJ	V
verschollen	desapareceu	verschollen	desaparecer	ADJ	V
zeug	isto	zeug	isto	ADV	PRO
zeug	cousas	zeug	cousa	ADV	N
zeug	material	zeug	material	ADV	N
clan	clan	clan	clan		PROPN
clan	do	clan	do		PROPN
clan	dos	clan	dos		PROPN
clan	clans	clan	clan		N
editieren	edit	editieren	edit	V;NFIN	PROPN
fängt	a	fängen	o	V;IND;SG;3;PRS;FIN	DET
jedermann	todo	jedermann	todo	ADV	DET
jedermann	todos	jedermann	todo	ADV	DET
jedermann	mundo	jedermann	mundo	ADV	N
jedermann	o	jedermann	o	ADV	DET
jedermann	calquera	jedermann	calquera	ADV	DET
jedermann	alguén	jedermann	alguén	ADV	PRO
jedermann	a	jedermann	o	ADV	DET
jedermann	todo	jedermann	todo	ADV	DET
jedermann	o	jedermann	o	ADV	DET
jedermann	mundo	jedermann	mundo	ADV	N
jedermann	todos	jedermann	todo	ADV	DET
jedermann	alguén	jedermann	alguén	ADV	PRO
jedermann	a	jedermann	o	ADV	DET
jedermann	calquera	jedermann	calquera	ADV	DET
blei	conducir	blei	conducir		V
blei	levar	blei	levar		V
blei	a	blei	o		DET
blei	até	blei	até		ADV
relative	parente	relativ	parente	ADJ;NOM;FEM;PL	N
panik	pánico	panik	pánico	ADJ	N
verursachen	porque	verursachen	porque	V;NFIN	CONJ
verursachen	causa	verursachen	causa	V;NFIN	N
verursachen	causa	verursachen	causa	V;NFIN	N
verursachen	causas	verursachen	causa	V;NFIN	N
verursachen	que	verursachen	que	V;NFIN	PRO
lachen	risos	lachen	riso	V;NFIN	N
lachen	risas	lachen	risa	V;NFIN	N
lachen	de	lachen	de	V;NFIN	ADP
lachen	nunca	lachen	nunca	V;NFIN	ADV
lachen	risa	lachen	risa	V;NFIN	N
geringfügig	lixeiramente	geringfügig	lixeiramente	ADJ	ADV
rätsel	crebacabezas	rätsel	crebacabezas		N
rätsel	puzzle	rätsel	puzzle		N
rätsel	misterio	rätsel	misterio		N
leeren	valeiro	leer	valeiro	ADJ	N
differenz	distancia	differenz	distancia		N
differenz	diferenza	differenz	diferenza		N
differenz	diferenzas	differenz	diferenza		N
differenz	diferencia	differenz	diferencia		N
differenz	mesmo	differenz	mesmo		DET
diener	servo	dien	servo		N
diener	criado	dien	criar		V
diener	bedel	dien	bedel		N
daily	día	daily	día	PROPN	N
daily	diariamente	daily	diariamente	PROPN	ADV
daily	daily	daily	daily	PROPN	ADJ
daily	cotiá	daily	cotián	PROPN	N
daily	diario	daily	diario	PROPN	N
friends	amigos	friends	amigo	PROPN	N
friends	os	friends	o	PROPN	DET
pflichten	responsabilidades	pflicht	responsabilidade	V;FIN	N
salt	salgado	salt	salgar	PROPN	V
salt	sal	salt	sal	PROPN	N
irgendetwas	algo	irgendetwas	algo	ADV	PRO
irgendetwas	cousa	irgendetwas	cousa	ADV	N
irgendetwas	algo	irgendetwas	algo	ADV	PRO
irgendetwas	nada	irgendetwas	nada	ADV	PRO
irgendetwas	calquera	irgendetwas	calquera	ADV	DET
irgendetwas	cousa	irgendetwas	cousa	ADV	N
katzen	ao	katzen	ao	N;NOM;PL	PROPN
basic	básica	basic	básico		ADJ
basic	básicos	basic	básico		ADJ
basic	básico	basic	básico		ADJ
basic	básicas	basic	básico		ADJ
basic	as	basic	o		DET
gemeinnützige	sen	gemeinnützig	sen	ADJ;NOM;FEM;PL	ADP
gemeinnützige	ánimo	gemeinnützig	ánimo	ADJ;NOM;FEM;PL	N
gemeinnützige	lucro	gemeinnützig	lucro	ADJ;NOM;FEM;PL	N
neigung	tendencia	neigung	tendencia	ADJ	N
quo	quo	quo	quo	PROPN;NOM;SG	PROPN
zuhause	fogar	zuhause	fogar		N
zuhause	casa	zuhause	casa		N
zuhause	á	zuhause	á		N
zuhause	na	zuhause	na		N
detlef	gerald	detlef	gerald	PROPN;NOM;MASC;SG	PROPN
kanäle	canal	kanal	canal		PROPN
kanäle	canle	kanal	canle		N
impulse	pulo	impuls	pulo	ADJ;NOM;FEM;PL	N
anweisung	declaración	anweisung	declaración		N
hölzernen	de	hölzern	de	ADJ	ADP
hölzernen	madeira	hölzern	madeira	ADJ	N
rabbiner	rabino	rabbiner	rabino	ADJ	N
anmeldung	rexistro	anmeldung	rexistro	ADJ	N
anmeldung	rexistro	anmeldung	rexistro	ADJ	N
anmeldung	tarxeta	anmeldung	tarxeta	ADJ	N
köpfe	as	köpfen	o	N;NOM;MASC;PL	DET
köpfe	nas	köpfen	nas	N;NOM;MASC;PL	PROPN
berührt	están	berühren	estar	V;V.PTCP	V
berührt	a	berühren	o	V;V.PTCP	DET
berührt	tocáronme	berühren	tocáronme	V;V.PTCP	PROPN
pat	pat	pat	pat	PROPN;NOM;SG	PROPN
massen	masas	massen	masa		N
stärkere	máis	stark	máis	ADJ;NOM;FEM;PL	ADV
kongregation	congregación	kongregation	congregación	PROPN;NOM;SG	N
morgens	bo	morgens	bo	ADV	ADJ
morgens	día	morgens	día	ADV	N
morgens	pola	morgens	pola	ADV	N
morgens	días	morgens	día	ADV	N
morgens	bos	morgens	bo	ADV	N
bang	baten	bingen	bater	PROPN;NOM;SG	V
bang	bang	bingen	bang	PROPN;NOM;SG	PROPN
möglicher	sexa	möglich	ser	ADJ	V
gespannt	fan	spannen	facer	ADJ	V
gespannt	emocionado	spannen	emocionar	ADJ	V
gespannt	ilusionado	spannen	ilusionar	ADJ	V
überfall	asalto	überfall	asalto	ADJ	N
überfall	redadas	überfall	redar	ADJ	V
geschenk	presentar	geschenk	presentar	ADJ	V
geschenk	agasallo	geschenk	agasallo	ADJ	N
geschenk	regalo	geschenk	regalo	ADJ	PROPN
geschenk	agasallo	geschenk	agasallo	ADJ	N
einzelheiten	detalles	einzelheiten	detalle	V;NFIN	N
einzelheiten	crédito	einzelheiten	crédito	V;NFIN	N
einzelheiten	detalle	einzelheiten	detalle	V;NFIN	PROPN
einzelheiten	detalles	einzelheiten	detalle	V;NFIN	N
tragödie	traxedia	tragödie	traxedia		N
tragödie	desgraza	tragödie	desgraza		N
geschäftsführung	de	geschäftsführung	de	N;NOM;FEM;SG	ADP
geschäftsführung	a	geschäftsführung	o	N;NOM;FEM;SG	DET
laser	láser	laser	láser	ADJ	N
fbi	fbi	fbi	ser	PROPN;NOM;MASC;SG	PROPN
obst	froita	obst	froita		N
maske	máscara	masken	máscara		N
maske	máscaras	masken	máscara		N
bären	osos	bären	oso	V;NFIN	N
bären	oso	bären	oso	V;NFIN	N
bären	osiño	bären	osiño	V;NFIN	N
got	teño	got	ter	PROPN	V
got	que	got	que	PROPN	PRO
got	tes	got	tes	PROPN	V
got	ten	got	ter	PROPN	V
got	temos	got	ter	PROPN	V
zeugnis	de	zeugnis	de	N;NOM;NEUT;SG	ADP
dicken	groso	dick	groso	ADJ	N
wirkungen	efectos	wirkingen	efecto	V;NFIN	N
gewebe	tecido	geweben	tecido		N
gewebe	tecidos	geweben	tecido		N
bürgerliche	burguesa	bürgerlich	burguesa	ADJ;NOM;FEM;PL	N
bürgerliche	burgueses	bürgerlich	burguese	ADJ;NOM;FEM;PL	N
schauplatz	escena	schauplatz	escenar	ADJ	N
schauplatz	escea	schauplatz	escear	ADJ	N
impact	impacto	impact	impacto	PROPN	N
impact	un	impact	un	PROPN	DET
impact	na	impact	na	PROPN	N
impact	prazo	impact	prazo	PROPN	N
impact	efecto	impact	efecto	PROPN	N
impact	mellora	impact	mellorar	PROPN	V
mare	egua	maren	egua	PROPN;NOM;SG	N
mare	égoa	maren	égoa	PROPN;NOM;SG	PROPN
kenia	kenia	kenia	kenia	PROPN;NOM;MASC;SG	PROPN
wenigsten	cando	wenigst	cando		PRO
wenigsten	menos	wenigst	menos		ADV
wenigsten	polo	wenigst	polo		N
geliebten	amado	geliebt	amado	ADJ	N
geliebten	querido	geliebt	querer	ADJ	V
ärger	ira	ärger	ir	ADJ	N
ärger	rabia	ärger	rabia	ADJ	N
ärger	odio	ärger	odio	ADJ	N
ärger	problema	ärger	problema	ADJ	N
