được	okey	được	okey	V	
động	automàticament	động	automàticament	V	ADV
khi	quan	khi	quan	N	CONJ
đến	arribada	đến	arribada	PART	N;FEM;SG
đến	vine	đến	vine	PART	
đến	arribant	đến	arribar	PART	V;V.MSDR
theo	theo	theo	theo	V	PROPN
theo	after	theo	after	V	
theo	després	theo	després	V	ADV
tỉnh	sobri	tỉnh	sobri	N	ADJ;MASC;SG
tỉnh	despert	tỉnh	despert	N	
sau	after	sau	after	N	
sau	després	sau	després	N	ADV
trung	mitjà	trung	mitjà	N	ADJ;MASC;SG
trung	centrals	trung	central	N	ADJ;PL
trung	central	trung	central	N	ADJ;SG
nhà	casas	nhà	casas	N	
thị	gràfica	thị	gràfic	N	ADJ;FEM;SG
như	com	như	com	CONJ	CONJ
như	like	như	like	CONJ	
thời	time	thời	time	N	
bản	neerlandès	bản	neerlandès	N	ADJ;MASC;SG
bản	holandès	bản	holandès	N	ADJ;MASC;SG
tên	nom	tên	nom	N	
làm	fent	làm	fer	V	V;V.MSDR
đại	coronel	đại	coronel	N	
hiện	mostra	hiện	mostrar	N	V;IND;SG;3;PRS;FIN
thế	aixo	thế	aixo	PROPN	
thế	que	thế	que	PROPN	CONJ
chiến	guerra	chiến	guerra	N	
chiến	chien	chiến	chiar	N	
bar	bar	bar	bar		N;MASC;SG
cũng	també	cũng	també		ADV
việt	việt	việt	việt	N	ADJ;SG
the	la	the	el		DET;DEF;FEM;SG
the	els	the	el		DET;DEF;MASC;PL
nhất	millor	nhất	millor		ADJ;SG
hình	forma	hình	formar	N	V;IND;SG;3;PRS;FIN
nhân	multiplicar	nhân	multiplicar		V;NFIN
nhân	multiplica	nhân	multiplicar		V;IND;SG;3;PRS;FIN
nhân	nucli	nhân	nucli		N;MASC;SG
nhân	pacient	nhân	pacient		N;SG
phát	emissió	phát	emissió	V	N;FEM;SG
phát	disparat	phát	disparar	V	ADJ;MASC;SG;V.PTCP
phát	preses	phát	pres	V	ADJ;FEM;PL;V.PTCP
phát	trets	phát	tret	V	N;MASC;PL
phát	rasants	phát	rasant	V	ADJ;PL
anh	tu	anh	tu	N	PRO;SG;1
anh	vostè	anh	tu	N	PRO;SG;2;FORM
pháp	francès	pháp	francès	N	ADJ;MASC;SG
pháp	frança	pháp	frança	N	
chúng	ells	chúng	ell	PROPN	PRO;MASC;PL;3
tập	episodi	tập	episodi		N;MASC;SG
tập	episodis	tập	episodi		N;MASC;PL
nhiều	moltes	nhiều	molt	ADJ	PRO;FEM;PL
nhiều	molts	nhiều	molt	ADJ	PRO;MASC;PL
nhiều	múltiples	nhiều	múltiple	ADJ	
nhiều	múltiple	nhiều	múltiple	ADJ	
chi	chi	chi	chi	N	
chi	causa	chi	causa	N	
chỉ	només	chỉ	només		ADV
chỉ	només	chỉ	només		ADV
đây	aquí	đây	aquí	PROPN	ADV
đây	aqui	đây	aqui	PROPN	
đây	ací	đây	ací	PROPN	
sinh	nascut	sinh	nascut	V	ADJ;MASC;SG;V.PTCP
sinh	born	sinh	born	V	
sinh	naixement	sinh	naixement	V	N;MASC;SG
con	infant	con	infant	N	
quan	guan	quan	guan	V	
quan	oficial	quan	oficial	V	ADJ;SG
tin	creure	tin	creure		V;NFIN
tin	llauna	tin	llauna		N;FEM;SG
tin	històries	tin	història		N;FEM;PL
tin	relats	tin	relat		N;MASC;PL
tin	notícia	tin	notícia		N;FEM;SG
tin	notícies	tin	notícia		N;FEM;PL
tin	confiar	tin	confiar		V;NFIN
tin	confia	tin	confiar		V;IND;SG;3;PRS;FIN
tin	confiança	tin	confiança		N;FEM;SG
đồng	coure	đồng	coure	N	
đồng	bronze	đồng	bronze	N	
viên	park	viên	park	N	
viên	vien	viên	viar	N	
viên	bala	viên	bala	N	
viên	viena	viên	viè	N	
phải	dret	phải	dret	V	
phải	dreta	phải	dreta	V	
tiểu	elemental	tiểu	elemental		ADJ;SG
khác	altres	khác	altre	ADJ	PRO;PL
khác	altres	khác	altre	ADJ	PRO;PL
cao	high	cao	high	ADJ	N;SG
cao	gao	cao	gao	ADJ	PROPN
văn	wen	văn	wen	N	PROPN
văn	văn	văn	anar	N	PROPN
tây	oest	tây	oest	N	
tây	western	tây	western	N	
hội	sangha	hội	sanghar	N	
cùng	mateixa	cùng	mateix	ADJ	PRO;FEM;SG
cùng	mateix	cùng	mateix	ADJ	PRO;MASC;SG
giải	soltes	giải	soltes	V	ADJ;FEM;PL
giải	solta	giải	soltar	V	
giải	boxa	giải	boxa	V	N;FEM;SG
giải	resolució	giải	resolució	V	N;FEM;SG
bang	autoritats	bang	autoritat		N;FEM;PL
bang	estat	bang	ser		V;MASC;SG;PST;V.PTCP
tiếng	hores	tiếng	hora	N	
điểm	spot	điểm	spot	N	
đông	est	đông	est	ADJ	N;MASC;SG
khu	ward	khu	ward	N	PROPN
hơn	than	hơn	than		
cánh	wings	cánh	wings	N	PROPN
cánh	ales	cánh	ala	N	
chủ	arrel	chủ	arrel	N	
lập	independents	lập	independent	V	ADJ;PL
lập	independent	lập	independent	V	ADJ;SG
bình	piles	bình	pila	N	
bình	gerro	bình	gerro	N	
cách	maneres	cách	manera	V	
phần	part	phần	part	N	
dưới	bottom	dưới	bottom	N	PROPN
dưới	arres	dưới	arre	N	
quận	preavís	quận	preavir	N	V;SBJV;SG;3;PRS;FIN
giới	world	giới	world	N	
giới	afrotròpica	giới	afrotròpic	N	ADJ;FEM;SG
châu	amèrica	châu	amèrica	N	ADJ;FEM;SG
châu	chow	châu	chow	N	
đoàn	duan	đoàn	dur	N	
đoàn	novè	đoàn	novè	N	ADJ;MASC;SG
điều	aixo	điều	aixo	N	
điều	que	điều	que	N	CONJ
bay	fly	bay	fly		PROPN
bay	vol	bay	voler		V;IND;SG;3;PRS;FIN
bay	badia	bay	badia		N;FEM;SG
bài	curt	bài	curt	N	ADJ;MASC;SG
tích	estàtic	tích	estàtic	N	ADJ;MASC;SG
tích	estàtica	tích	estàtica	N	ADJ;FEM;SG
giáo	llança	giáo	llançar	N	V;IND;SG;3;PRS;FIN
phim	films	phim	film		N;MASC;PL
phim	film	phim	film		N;MASC;SG
trước	anterior	trước	anterior		ADJ;SG
trước	primer	trước	primer		ADJ;MASC;SG
trước	primera	trước	primer		ADJ;FEM;SG
trước	primers	trước	primer		ADJ;MASC;PL
trước	anterior	trước	anterior		ADJ;SG
trước	abans	trước	abans		ADV
đức	alemany	đức	alemany	N	ADJ;MASC;SG
đức	alemanya	đức	alemany	N	ADJ;FEM;SG
đêm	nit	đêm	nit	N	
bằng	iguals	bằng	igual	ADP	ADJ;PL
nhỏ	júnior	nhỏ	júnior	ADJ	
nhỏ	junior	nhỏ	junior	ADJ	
nhỏ	subalterns	nhỏ	subaltern	ADJ	N;MASC;PL
nhỏ	minor	nhỏ	minor	ADJ	
hợp	union	hợp	unió	ADJ	
hợp	unió	hợp	unió	ADJ	N;FEM;SG
hợp	fits	hợp	fit	ADJ	
đường	tang	đường	tang	N	PROPN
đường	road	đường	road	N	
đường	sucre	đường	sucre	N	
thêm	sumant	thêm	sumar	V	V;V.MSDR
thêm	afegir	thêm	afegir	V	V;NFIN
thêm	més	thêm	més	V	ADV
xem	look	xem	look	V	
xem	espectacle	xem	espectacle	V	N;MASC;SG
xem	rellotge	xem	rellotge	V	
xem	veure	xem	veure	V	
xem	vista	xem	vista	V	N;FEM;SG
xem	visualització	xem	visualització	V	N;FEM;SG
diễn	actuant	diễn	actuar	V	V;V.MSDR
diễn	actor	diễn	actor	V	N;MASC;SG
hoàng	hoàng	hoàng	hoàng	N	
hoàng	huang	hoàng	huang	N	PROPN
hoàng	prince	hoàng	prince	N	
chức	celebrat	chức	celebrat	N	ADJ;MASC;SG;V.PTCP
dương	positiu	dương	positiu	N	ADJ;MASC;SG
dương	positiva	dương	positiu	N	ADJ;FEM;SG
dương	positius	dương	positiu	N	ADJ;MASC;PL
dương	yeung	dương	yeung	N	PROPN
dương	yang	dương	yang	N	PROPN
dương	dương	dương	dương	N	
lực	poder	lực	poder	N	
hay	hay	hay	haver	CONJ	
hay	bones	hay	bo	CONJ	ADJ;FEM;PL
hay	bona	hay	bo	CONJ	ADJ;FEM;SG
sống	viure	sống	viure	V	
sống	live	sống	live	V	
thường	habitualment	thường	habitualment		ADV
thường	normalment	thường	normalment		ADV
thường	regulars	thường	regular		ADJ;PL
thường	regular	thường	regular		
thường	normal	thường	normal		ADJ;SG
thường	normals	thường	normal		ADJ;PL
ban	tutelats	ban	tutelat		ADJ;MASC;PL;V.PTCP
ban	veta	ban	veta		V;IND;SG;3;PRS;FIN
jpg	jpg	jpg	jpg	N	
nhận	reivindicació	nhận	reivindicació	V	N;FEM;SG
nhận	reclamació	nhận	reclamació	V	N;FEM;SG
nhận	aconseguir	nhận	aconseguir	V	V;NFIN
qua	passat	qua	passat	V	ADJ;MASC;SG;V.PTCP
qua	via	qua	via	V	
qua	mitjançant	qua	mitjançant	V	ADP
qua	pass	qua	pass	V	
thái	tai	thái	tai	N	
hòa	hòa	hòa	hoa	N	
tổng	total	tổng	total	N	ADJ;SG
tổng	cantó	tổng	cantó	N	
minh	minh	minh	minh	N	
minh	smart	minh	smart	N	
minh	ming	minh	ming	N	PROPN
tác	original	tác	original	N	ADJ;SG
gồm	inclòs	gồm	inclòs	V	ADJ;MASC;SG;V.PTCP
gồm	inclòs	gồm	inclòs	V	ADJ;MASC;SG;V.PTCP
kinh	sutra	kinh	sutre	V	N;MASC;SG
kinh	pequín	kinh	pequín	V	
kinh	beijing	kinh	beijing	V	
biển	ocean	biển	ocear	N	
cứng	hard	cứng	hard	ADJ	N;SG
cứng	dur	cứng	dur	ADJ	
tiếp	pròxima	tiếp	pròxim	V	ADJ;FEM;SG
tiếp	següent	tiếp	següent	V	ADJ;SG
tiếp	propera	tiếp	proper	V	ADJ;FEM;SG
tiếp	next	tiếp	next	V	
hàng	fila	hàng	fila	N	
hàng	filera	hàng	filera	N	
rằng	aixo	rằng	aixo	CONJ	
rằng	que	rằng	que	CONJ	CONJ
đánh	beat	đánh	beat	V	
đánh	hit	đánh	hit	V	N;MASC;SG
nhạc	música	nhạc	música	V	N;FEM;SG
nhạc	musical	nhạc	musical	V	ADJ;SG
hóa	chemical	hóa	chemical		ADJ;SG
hóa	químic	hóa	químic		ADJ;MASC;SG
hóa	química	hóa	químic		ADJ;FEM;SG
tranh	guerra	tranh	guerra	N	
gọi	convocatòria	gọi	convocatòria	V	N;FEM;SG
gọi	trucada	gọi	trucada	V	N;FEM;SG
gọi	trucant	gọi	trucar	V	
trang	side	trang	side	N	
trang	pàgina	trang	pàgina	N	V;IND;SG;3;PRS;FIN
nguyên	yuan	nguyên	yuan	N	PROPN
nguyên	nguyên	nguyên	nguyar	N	V;SBJV;PL;3;PRS;FIN
tạo	creant	tạo	crear	V	V;V.MSDR
tạo	creades	tạo	creat	V	ADJ;FEM;PL;V.PTCP
tạo	creats	tạo	creat	V	ADJ;MASC;PL;V.PTCP
tạo	creat	tạo	creat	V	ADJ;MASC;SG;V.PTCP
tạo	creació	tạo	creació	V	N;FEM;SG
tạo	equip	tạo	equip	V	N;MASC;SG
cầu	bridge	cầu	bridge	N	
đặc	sòlid	đặc	sòlid	N	ADJ;MASC;SG
đặc	somàlia	đặc	somàlia	N	ADJ;FEM;SG
phương	zoe	phương	zoe	N	
phương	fang	phương	fang	N	
mới	nova	mới	nou		ADJ;FEM;SG
mới	nou	mới	nou		ADJ;MASC;SG
mới	noves	mới	nou		ADJ;FEM;PL
đạo	moral	đạo	moral	N	ADJ;SG
bắt	pres	bắt	prendre	V	ADJ;MASC;SG;V.PTCP
bắt	take	bắt	take	V	
mặt	cares	mặt	cara	N	
mặt	cara	mặt	cara	N	
mặt	face	mặt	face	N	
tinh	jing	tinh	jing	N	PROPN
rất	molt	rất	molt		ADV
đất	earth	đất	earth	N	
đất	terra	đất	terra	N	
đất	terreny	đất	terreny	N	
thức	recepta	thức	recepta	V	N;FEM;SG
thức	wake	thức	wake	V	PROPN
tới	arribant	tới	arribar	V	V;V.MSDR
luận	comenta	luận	comentar	N	V;IND;SG;3;PRS;FIN
luận	lògica	luận	lògica	N	ADJ;FEM;SG
hải	hai	hải	haver	N	PROPN
hải	rumb	hải	rumb	N	
khoảng	about	khoảng	about	ADJ	
khoảng	espais	khoảng	espai	ADJ	N;MASC;PL
khoảng	aprox	khoảng	aproxar	ADJ	
khoảng	aproximadament	khoảng	aproximadament	ADJ	ADV
vương	wang	vương	wang	N	PROPN
vương	ric	vương	ric	N	ADJ;MASC;SG
vương	rich	vương	rich	N	PROPN
vương	rics	vương	ric	N	ADJ;MASC;PL
toàn	sencer	toàn	sencer	N	ADJ;MASC;SG
toàn	sencera	toàn	sencer	N	ADJ;FEM;SG
nhật	japonès	nhật	japonès		ADJ;MASC;SG
viết	impressora	viết	impressora	V	N;FEM;SG
viết	escrivint	viết	escriure	V	V;V.MSDR
viết	escriptura	viết	escriptura	V	N;FEM;SG
lan	lan	lan	el	N	
lan	ian	lan	ian	N	PROPN
bảo	ask	bảo	ask	V	PROPN
bảo	bao	bảo	bao	V	
thiên	paradís	thiên	paradís	N	ADJ;MASC;SG
thiên	paradise	thiên	paradise	N	
điện	elèctrics	điện	elèctric	N	ADJ;MASC;PL
điện	elèctric	điện	elèctric	N	ADJ;MASC;SG
điện	electric	điện	electric	N	PROPN
thấy	vistos	thấy	vist	V	ADJ;MASC;PL;V.PTCP
thấy	vist	thấy	vist	V	ADJ;MASC;SG;V.PTCP
bao	mai	bao	mai		ADV
bao	sac	bao	sac		N;MASC;SG
bao	saqueig	bao	saqueig		N;MASC;SG
truyền	traspàs	truyền	traspàs	V	N;MASC;SG
truyền	transferència	truyền	transferència	V	N;FEM;SG
truyền	trasllat	truyền	trasllat	V	N;MASC;SG
truyền	infusió	truyền	infusió	V	N;FEM;SG
truyền	transferències	truyền	transferència	V	N;FEM;PL
truyền	trasllats	truyền	trasllat	V	N;MASC;PL
nghiệp	carrera	nghiệp	carrera	ADJ	N;FEM;SG
nội	avi	nội	avi	N	
nội	intern	nội	intern	N	ADJ;MASC;SG
nội	interna	nội	intern	N	ADJ;FEM;SG
nội	avi	nội	avi	N	
năng	habilitats	năng	habilitat	N	ADJ;FEM;PL;V.PTCP
tiêu	xiao	tiêu	xiao	N	PROPN
gian	gian	gian	gian	N	
gian	time	gian	time	N	
tướng	general	tướng	general	N	ADJ;SG
phong	feng	phong	ferg	N	PROPN
tâm	centra	tâm	centrar		V;IND;SG;3;PRS;FIN
tâm	center	tâm	center		
tâm	centre	tâm	centre		N;MASC;SG
thanh	barrots	thanh	barrot		N;MASC;PL
thanh	bars	thanh	bar		N;MASC;PL
thanh	thanh	thanh	thanh		PROPN
dùng	utilització	dùng	utilització	V	N;FEM;SG
dùng	ús	dùng	ús	V	N;MASC;SG
dùng	usuari	dùng	usuari	V	N;MASC;SG
nói	say	nói	say	V	PROPN
nói	speak	nói	speak	V	N;MASC;SG
hoạt	animacions	hoạt	animació	V	N;FEM;PL
shift	torn	shift	torn	N	
phủ	rak	phủ	rak	N	
đang	són	đang	ser		V;IND;PL;3;PRS;FIN
giữa	centrat	giữa	centrat	ADP	ADJ;MASC;SG;V.PTCP
phòng	roma	phòng	roma	N	
phòng	room	phòng	room	N	
đổi	canvi	đổi	canvi	V	
chuyển	traspàs	chuyển	traspàs	V	N;MASC;SG
chuyển	transferència	chuyển	transferència	V	N;FEM;SG
chuyển	trasllat	chuyển	trasllat	V	N;MASC;SG
chuyển	interruptor	chuyển	interruptor	V	N;MASC;SG
nay	nay	nay	nay	PROPN	
nay	avui	nay	avui	PROPN	ADV
trọng	important	trọng	important		ADJ;SG
dịch	traduint	dịch	traduir		V;V.MSDR
dịch	traduccions	dịch	traducció		N;FEM;PL
dịch	traductor	dịch	traductor		N;MASC;SG
dịch	traductora	dịch	traductora		ADJ;FEM;SG
dịch	traducció	dịch	traducció		N;FEM;SG
dịch	tradueix	dịch	traduir		V;IND;SG;3;PRS;FIN
dịch	traduir	dịch	traduir		V;NFIN
chế	fetes	chế	fet	N	ADJ;FEM;PL;V.PTCP
chế	feta	chế	fet	N	ADJ;FEM;SG;V.PTCP
nằm	mentides	nằm	mentida	V	N;FEM;PL
nằm	lay	nằm	lay	V	PROPN
chất	especificat	chất	especificar	N	ADJ;MASC;SG;V.PTCP
chất	especificats	chất	especificat	N	ADJ;MASC;PL;V.PTCP
sáng	esmorzar	sáng	esmorzar	N	
thân	cos	thân	cos		N;MASC;SG
nơi	place	nơi	place	N	
cuối	darrer	cuối	darrer	N	ADJ;MASC;SG
cuối	últim	cuối	últim	N	ADJ;MASC;SG
cuối	última	cuối	últim	N	ADJ;FEM;SG
cuối	darrera	cuối	darrer	N	ADJ;FEM;SG
tăng	increment	tăng	increment	V	N;MASC;SG
tăng	augment	tăng	augment	V	N;MASC;SG
tăng	tanc	tăng	tanc	V	N;MASC;SG
tăng	tancs	tăng	tanc	V	N;MASC;PL
tăng	zeng	tăng	zeng	V	
tăng	incrementat	tăng	incrementar	V	ADJ;MASC;SG;V.PTCP
trưởng	capità	trưởng	capità		
nguyễn	nguyễn	nguyễn	nguyar	N	PROPN
lưu	liu	lưu	liu	V	PROPN
lưu	desa	lưu	desa	V	
nổi	famós	nổi	famós		ADJ;MASC;SG
nổi	famosos	nổi	famós		ADJ;MASC;PL
nổi	celebritat	nổi	celebritat		N;FEM;SG
nổi	flotant	nổi	flotant		V;V.MSDR
nổi	boia	nổi	boia		N;FEM;SG
đặt	conjunt	đặt	conjunt	V	N;MASC;SG
đình	ting	đình	tenir	N	
đình	familia	đình	familia	N	
chim	aus	chim	au	N	
dài	long	dài	long	ADJ	
bóng	ombres	bóng	ombra	N	
bóng	pilota	bóng	pilotar	N	V;IND;SG;3;PRS;FIN
bóng	ombra	bóng	ombra	N	
bóng	shadow	bóng	shadow	N	
vua	king	vua	king	N	PROPN
vua	kings	vua	kings	N	
phi	phi	phi	phi	N	
tuy	tuy	tuy	tuy	CONJ	PROPN
biến	variable	biến	variable	V	ADJ;SG
biến	transformada	biến	transformat	V	ADJ;FEM;SG;V.PTCP
hậu	queen	hậu	quear		
hậu	reina	hậu	reina		
thu	thu	thu	thu	V	
thu	reunir	thu	reunir	V	V;NFIN
bên	side	bên	side	N	
vẫn	encara	vẫn	encara		ADV
nghệ	artístic	nghệ	artístic	N	ADJ;MASC;SG
nghệ	artística	nghệ	artístic	N	ADJ;FEM;SG
nghệ	artístics	nghệ	artístic	N	ADJ;MASC;PL
nghệ	curcuma	nghệ	curcuma	N	
mất	perduda	mất	perdre	V	ADJ;FEM;SG;V.PTCP
mất	perduts	mất	perdut	V	ADJ;MASC;PL;V.PTCP
mất	lost	mất	lost	V	PROPN
mất	perdut	mất	perdut	V	ADJ;MASC;SG;V.PTCP
liệu	document	liệu	document	V	N;MASC;SG
sơn	pintat	sơn	pintar	N	ADJ;MASC;SG;V.PTCP
sơn	paint	sơn	paint	N	
sơn	pinta	sơn	pintar	N	
sơn	sơn	sơn	sơn	N	
báo	periòdic	báo	periòdic	N	ADJ;MASC;SG
báo	periódico	báo	periódico	N	ADJ;MASC;SG
tìm	cerca	tìm	cerca	V	
tìm	finn	tìm	fi	V	PROPN
giao	interfície	giao	interfície	V	N;FEM;SG
tương	xiang	tương	xiang		PROPN
bạn	tu	bạn	tu	N	PRO;SG;1
bạn	vostè	bạn	tu	N	PRO;SG;2;FORM
hữu	propietari	hữu	propietari		N;MASC;SG
thay	canvi	thay	canvi	V	
nhóm	cohorts	nhóm	cohort	N	
nhiệt	calor	nhiệt	calor	N	
nhiệt	tèrmic	nhiệt	tèrmic	N	ADJ;MASC;SG
nhiệt	tèrmica	nhiệt	tèrmic	N	ADJ;FEM;SG
gần	gairebé	gần	gairebé	ADJ	ADV
gần	tanca	gần	tancar	ADJ	V;IND;SG;3;PRS;FIN
cứu	desa	cứu	desa	V	
cứu	auxili	cứu	auxili	V	
cứu	ajut	cứu	ajut	V	
cứu	rescat	cứu	rescat	V	N;MASC;SG
cứu	salvament	cứu	salvament	V	N;MASC;SG
quyết	determinat	quyết	determinat	N	ADJ;MASC;SG;V.PTCP
quyết	determinada	quyết	determinat	N	ADJ;FEM;SG;V.PTCP
quyết	decidit	quyết	decidir	N	ADJ;MASC;SG;V.PTCP
thương	ferits	thương	ferit	V	N;MASC;PL
thương	ferits	thương	ferit	V	N;MASC;PL
thương	ferit	thương	ferit	V	ADJ;MASC;SG;V.PTCP
hát	sing	hát	sing	V	
hát	cant	hát	cant	V	
hát	cantant	hát	cantant	V	N;SG
triều	cort	triều	cort	N	
phục	servidor	phục	servidor	V	N;MASC;SG
tuổi	antic	tuổi	antic	N	ADJ;MASC;SG
chân	peus	chân	peu	N	
chân	pota	chân	pota	N	
tân	virgin	tân	virjar	N	PROPN
tân	verge	tân	verge	N	
tân	tân	tân	tân	N	
đời	life	đời	life	N	
cần	necessitat	cần	necessitat	V	N;FEM;SG
hoàn	heroi	hoàn	heroi		
hoàn	huan	hoàn	huan		PROPN
chơi	partida	chơi	partida	V	N;FEM;SG
chơi	joc	chơi	joc	V	N;MASC;SG
kim	jin	kim	jin	N	PROPN
kim	kim	kim	kim	N	PROPN
long	llarga	long	llarg	N	ADJ;FEM;SG
long	llarg	long	llarg	N	ADJ;MASC;SG
long	long	long	long	N	
long	drac	long	drac	N	
đóng	tancat	đóng	tancat	V	ADJ;MASC;SG;V.PTCP
dẫn	plom	dẫn	plom	V	
thắng	guanyar	thắng	guanyar	N	V;NFIN
thắng	guanyadora	thắng	guanyador	N	ADJ;FEM;SG
thắng	guanyat	thắng	guanyat	N	ADJ;MASC;SG;V.PTCP
thắng	guanya	thắng	guanyar	N	V;IND;SG;3;PRS;FIN
giáp	armadura	giáp	armadurar	V	N;FEM;SG
giáp	armadura	giáp	armadurar	V	N;FEM;SG
khí	arma	khí	arma	N	V;IND;SG;3;PRS;FIN
khí	air	khí	air	N	PROPN
huy	ordre	huy	ordre	N	
huy	comandament	huy	comandament	N	
huy	huy	huy	huy	N	
huy	hui	huy	hui	N	
cây	arbrat	cây	arbrat	N	ADJ;MASC;SG;V.PTCP
cảnh	avís	cảnh	avís	N	
tra	tra	tra	tra	V	
tra	comprovació	tra	comprovació	V	N;FEM;SG
chiếm	ocupant	chiếm	ocupant	V	V;V.MSDR
nga	rus	nga	rus	N	ADJ;MASC;SG
nga	rússia	nga	rússia	N	ADJ;FEM;SG
nga	russos	nga	rus	N	ADJ;MASC;PL
nga	nga	nga	nga	N	
triệu	zhao	triệu	zhao	NUM	PROPN
triệu	milions	triệu	milió	NUM	N;MASC;PL
triệu	milió	triệu	milió	NUM	N;MASC;SG
triệu	trinh	triệu	trinh	NUM	
triệu	milions	triệu	milió	NUM	N;MASC;PL
phép	permesos	phép	permès	N	ADJ;MASC;PL;V.PTCP
phép	permès	phép	permès	N	ADJ;MASC;SG;V.PTCP
new	nova	new	nou		ADJ;FEM;SG
new	nou	new	nou		ADJ;MASC;SG
new	noves	new	nou		ADJ;FEM;PL
yếu	dèbil	yếu	dèbil	N	ADJ;SG
yếu	feble	yếu	feble	N	ADJ;SG
mật	secret	mật	secret	N	
mật	bilis	mật	bili	N	
lãnh	leng	lãnh	leng	N	
mạng	networking	mạng	networking	N	
câu	frase	câu	frase	N	V;IND;SG;3;PRS;FIN
ghi	escrivint	ghi	escriure	V	V;V.MSDR
ghi	escriptura	ghi	escriptura	V	N;FEM;SG
sao	perqué	sao	perqué	PROPN	
giả	jia	giả	jia		PROPN
giả	fals	giả	fals		ADJ;MASC;SG
giả	false	giả	false		V;IND;SG;3;PRS;FIN
giả	falses	giả	fals		ADJ;FEM;PL
giả	fals	giả	fals		ADJ;MASC;SG
giả	fake	giả	fake		PROPN
ngữ	llengua	ngữ	llengua	N	V;IND;SG;3;PRS;FIN
cung	proa	cung	proa	V	
cung	arcs	cung	arc	V	N;MASC;PL
đài	radio	đài	radio	N	
chống	coratge	chống	coratge	V	N;MASC;SG
chống	valentia	chống	valentia	V	N;FEM;SG
chống	contra	chống	contra	V	ADP
chống	against	chống	against	V	
đảng	party	đảng	party	N	
đảng	colla	đảng	colla	N	
nhập	input	nhập	input	V	N;MASC;SG
nhập	aportació	nhập	aportació	V	N;FEM;SG
nhập	importació	nhập	importació	V	N;FEM;SG
hạt	core	hạt	core	N	
hạt	partícula	hạt	partícula	N	V;IND;SG;3;PRS;FIN
chết	die	chết	die	V	
chết	defunció	chết	defunció	V	N;FEM;SG
chết	mort	chết	mort	V	ADJ;MASC;SG;V.PTCP
chết	morts	chết	mort	V	N;MASC;PL
chết	dead	chết	dead	V	PROPN
lạc	contacte	lạc	contacte	N	
chung	mutu	chung	mutu	ADJ	
chung	chung	chung	chung	ADJ	PROPN
tộc	clan	tộc	clan	N	
trần	chen	trần	chan	N	PROPN
trần	tran	trần	tran	N	
trần	chan	trần	chan	N	PROPN
mẫu	forma	mẫu	formar	N	V;IND;SG;3;PRS;FIN
mẫu	patró	mẫu	patró	N	
mẫu	mostra	mẫu	mostrar	N	V;IND;SG;3;PRS;FIN
mẫu	mal	mẫu	mal	N	
mạnh	meng	mạnh	meng	ADJ	
