til	لاجل	til	لاجل	ADV	
dette	هذه	denne	هٰذَا	PRO;NEUT;SG	DET;NOM;FEM;SG
alle	كلهم	al	كلهم	ADJ;PL	
alle	كله	al	كٰلِهَ	ADJ;PL	
alle	جميع	al	جَمِيع	ADJ;PL	N;NOM;INDF;SG
alle	كل	al	كُلّ	ADJ;PL	N;NOM;INDF;SG
alle	الكل	al	كُلّ	ADJ;PL	
alle	الجميع	al	جَمِيع	ADJ;PL	N;NOM;DEF;SG
danmark	الدانمرك	danmark	الدانمرك		
danmark	الدنمارك	danmark	دَنِمَارك		N;NOM;DEF;SG
mange	كثير	mange	كَثِير	ADJ;PL	ADJ;NOM;INDF;MASC;SG
mange	العديد	mange	عَدِيد	ADJ;PL	ADJ;NOM;DEF;MASC;SG
mange	الكثير	mange	كَثِير	ADJ;PL	ADJ;NOM;DEF;MASC;SG
team	الفريق	team	فَرِيق	N;INDF;NEUT;SG	N;NOM;DEF;SG
danske	الدانمرك	dansk	الدانمرك	ADJ;PL	
danske	الدانمركية	dansk	دَانَمِركِيّ	ADJ;PL	
danske	الدنماركية	dansk	دَنِمَارِكِيّ	ADJ;PL	N;NOM;DEF;SG
senere	لاحقا	senere	لَاحِق	ADV;CMPR	ADJ;ACC;INDF;MASC;SG
senere	لاحق	senere	لَاحِق	ADV;CMPR	ADJ;NOM;INDF;MASC;SG
tidligere	سابقا	tidligere	سَابِق	ADV;CMPR	ADJ;ACC;INDF;MASC;SG
tidligere	سابق	tidligere	سَابِق	ADV;CMPR	ADJ;NOM;INDF;MASC;SG
tidligere	السابق	tidligere	سَابِق	ADV;CMPR	N;NOM;DEF;SG
tidligere	سابق	tidligere	سَابِق	ADV;CMPR	ADJ;NOM;INDF;MASC;SG
tidligere	سابقة	tidligere	سَابِقَة	ADV;CMPR	N;NOM;INDF;SG
tidligere	السابق	tidligere	سَابِق	ADV;CMPR	N;NOM;DEF;SG
tidligere	السابقة	tidligere	سَابِق	ADV;CMPR	ADJ;NOM;DEF;FEM;SG
siden	منذ	siden	مُنذُ	ADV	ADP
siden	مند	siden	مَنَّد	ADV	
siden	صفحة	siden	صَفحَة	ADV	N;NOM;INDF;SG
siden	الصفحة	siden	صَفحَة	ADV	N;NOM;DEF;SG
skal	شيل	skulle	شيل	V;IND;PRS;FIN;ACT	
skal	صدفة	skulle	صَدَفَة	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
skal	الصدفة	skulle	صُدفَة	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
skal	لازم	skulle	لَازِم	V;IND;PRS;FIN;ACT	
have	حديقة	have	حَدِيقَة	V;NFIN;ACT	N;NOM;INDF;SG
have	الحديقة	have	حَدِيقَة	V;NFIN;ACT	N;NOM;DEF;SG
have	عندي	have	عُندِيّ	V;NFIN;ACT	
mere	المزيد	mere	مَزِيد	ADV;CMPR	N;NOM;DEF;SG
mere	اكتر	mere	أَكتَر	ADV;CMPR	
mere	اكثر	mere	أَكثَر	ADV;CMPR	ADJ;NOM;INDF;MASC;SG
mere	مزيد	mere	مَزِيد	ADV;CMPR	N;NOM;INDF;SG
store	كبيرة	stor	كَبِير	ADJ;PL	ADJ;NOM;INDF;FEM;SG
store	الكبير	stor	كَبِير	ADJ;PL	ADJ;NOM;DEF;MASC;SG
store	كبيرة	stor	كَبِير	ADJ;PL	ADJ;NOM;INDF;FEM;SG
store	كبيره	stor	كبيره	ADJ;PL	
store	كبير	stor	كَبِير	ADJ;PL	ADJ;NOM;INDF;MASC;SG
meget	جدا	meget	جِدّ	ADJ;INDF;SG	N;ACC;INDF;SG
meget	ماتش	meget	مَاتِش	ADJ;INDF;SG	
sammen	سويا	sammen	سُويَا	ADV	
sammen	سوية	sammen	سُوِيّ	ADV	
sammen	معا	sammen	مَعًا	ADV	
samme	نفس	samme	نَفس	ADJ	N;NOM;PSSD;SG
samme	نفسه	samme	نفسه	ADJ	PRO;NOM;MASC;SG;3
vil	ويل	ville	وِيل	V;IND;PRS;FIN;ACT	
vil	راح	ville	رَاح	V;IND;PRS;FIN;ACT	
vil	سوف	ville	سَوفَ	V;IND;PRS;FIN;ACT	PART
vil	اريد	ville	اريد	V;IND;PRS;FIN;ACT	
seed	البذور	seed	بَذر		N;NOM;DEF;PL
seed	بذرة	seed	بِذرَة		N;NOM;INDF;SG
ham	له	han	هُوَ	PRO;ACC;MASC+FEM;SG;3	
ham	هو	han	هُوَ	PRO;ACC;MASC+FEM;SG;3	PRO;NOM;MASC;SG;3
omkring	حول	omkring	حَولَ	ADV	ADP;ACC
omkring	بشان	omkring	بشان	ADV	N;NOM;INDF;SG
omkring	بخصوص	omkring	بخصوص	ADV	N;NOM;INDF;SG
omkring	عن	omkring	عَن	ADV	ADP
omkring	حو	omkring	حو	ADV	
omkring	حولي	omkring	حَولَى	ADV	
selv	حتى	selv	حَتَّى	PRO	ADV
selv	حتي	selv	حَتَّى	PRO	
københavn	كوبنهاغن	københavn	كُوبِنهَاغِن	PROPN	
kom	تعالي	komme	تَعَالَى	V;IND;PST;FIN;ACT	
kom	تعالى	komme	تَعَالَى	V;IND;PST;FIN;ACT	
kom	تعال	komme	عَال	V;IND;PST;FIN;ACT	
kom	جيت	komme	جيت	V;IND;PST;FIN;ACT	
and	البطة	and	بَطَّة		N;NOM;DEF;SG
and	بط	and	بَطّ		
and	داك	and	دَاك		
and	بطة	and	بَطَّة		
tre	تراي	tre	تُرَايَ	NUM	
tre	th	tre	th	NUM	
tre	ثلاثه	tre	ثلاثه	NUM	
byen	تاون	by	تَاون	N;DEF;MASC+FEM;SG	
byen	بلدة	by	بَلدَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
byen	المدينه	by	المدينه	N;DEF;MASC+FEM;SG	
byen	مدينة	by	مَدِينَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
byen	سيتي	by	سِيتِي	N;DEF;MASC+FEM;SG	
disse	هؤلاء	denne	هٰذَا	PRO;PL	DET;NOM;MASC;PL
disse	هذه	denne	هٰذَا	PRO;PL	DET;NOM;FEM;SG
nogle	البعض	nogen	بَعض	PRO;PL	N;NOM;DEF;SG
nogle	بعض	nogen	بَعض	PRO;PL	N;NOM;INDF;SG
maj	قد	maj	قَد	N;INDF;MASC+FEM;SG	PART
maj	ماي	maj	مَاي	N;INDF;MASC+FEM;SG	
anden	ثانيا	anden	ثَانِي	PRO;MASC+FEM;SG	ADJ;ACC;INDF;MASC;SG
anden	الثانيه	anden	الثانيه	PRO;MASC+FEM;SG	
anden	تاني	anden	تَانِي	PRO;MASC+FEM;SG	
anden	الثاني	anden	ثَانِي	PRO;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
anden	الثانية	anden	ثَانِي	PRO;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
anden	ثاني	anden	ثاني	PRO;MASC+FEM;SG	
mens	بينما	mens	بَينَمَا	CONJ	CONJ
andet	ثانيا	anden	ثَانِي	PRO;NEUT;SG	ADJ;ACC;INDF;MASC;SG
andet	الثانيه	anden	الثانيه	PRO;NEUT;SG	
andet	تاني	anden	تَانِي	PRO;NEUT;SG	
andet	الثاني	anden	ثَانِي	PRO;NEUT;SG	ADJ;NOM;DEF;MASC;SG
andet	الثانية	anden	ثَانِي	PRO;NEUT;SG	ADJ;NOM;DEF;FEM;SG
andet	ثاني	anden	ثاني	PRO;NEUT;SG	
andet	اخرى	anden	آخَر	PRO;NEUT;SG	ADJ;NOM;INDF;FEM;SG
dag	داغ	dag	دَاغ	N;INDF;MASC+FEM;SG	
dag	اليوم	dag	يَوم	N;INDF;MASC+FEM;SG	N;ACC;DEF;SG
dag	نهار	dag	نَهَار	N;INDF;MASC+FEM;SG	
tilbage	الظهر	tilbage	ظُهر	ADV	N;NOM;DEF;SG
tilbage	عاد	tilbage	عَاد	ADV	V;PFV;MASC;SG;3;ACT
tilbage	العودة	tilbage	عَودَة	ADV	N;NOM;DEF;SG
tilbage	عودة	tilbage	عَودَة	ADV	N;NOM;INDF;SG
tilbage	ارجع	tilbage	أَرجَع	ADV	V;PFV;MASC;SG;3;ACT
tilbage	ظهر	tilbage	ظَهَر	ADV	V;PFV;MASC;SG;3;ACT
kommune	البلدية	kommune	بَلَدِيَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
cest	c	cest	هُوَ		
død	الموت	død	مَوت	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
død	الوفاة	død	وَفَاة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
død	موت	død	مَوت	N;INDF;MASC+FEM;SG	
død	ميتة	død	مَيتَة	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
død	ميت	død	ميت	N;INDF;MASC+FEM;SG	
dem	هم	de	هُوَ	PRO;ACC;PL;3	PRO;NOM;MASC;PL;3
august	اوغست	august	أَوغَس	N;INDF;MASC+FEM;SG	
gang	الزمن	gang	زَمَن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
gang	الوقت	gang	وَقت	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
gang	الزمان	gang	زَمَان	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forskellige	مختلف	forskellig	مُختَلِف	ADJ;PL	ADJ;NOM;INDF;MASC;SG
forskellige	مختلفة	forskellig	مُختَلِف	ADJ;PL	ADJ;NOM;INDF;FEM;SG
forskellige	مختلفا	forskellig	مُختَلِف	ADJ;PL	ADJ;ACC;INDF;MASC;SG
forskellige	شتى	forskellig	شتى	ADJ;PL	N;NOM;INDF;SG
tid	الزمن	tid	زَمَن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tid	الوقت	tid	وَقت	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tid	الزمان	tid	زَمَان	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
nye	جديد	ny	جَدِيد	ADJ;PL	ADJ;NOM;INDF;MASC;SG
nye	جدد	ny	جَدَّد	ADJ;PL	V;PFV;MASC;SG;3;ACT
nye	جديدة	ny	جَدِيد	ADJ;PL	ADJ;NOM;INDF;FEM;SG
nye	الجديد	ny	جَدِيد	ADJ;PL	ADJ;NOM;DEF;MASC;SG
både	المراكب	både	مَركَب	ADV	N;NOM;DEF;PL
både	القوارب	både	قَارِبَة	ADV	N;NOM;DEF;PL
både	قوارب	både	قَارِب	ADV	N;NOM;INDF;PL
både	كلاهما	både	كلاهما	ADV	
gennem	عبر	gennem	عَبرَ	ADV	ADP;ACC
gennem	فيا	gennem	فِيَا	ADV	
gennem	عبر	gennem	عَبرَ	ADV	ADP;ACC
gennem	خلال	gennem	خِلَالَ	ADV	ADP;ACC
stor	الكبير	stor	كَبِير	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
stor	كبيره	stor	كبيره	ADJ;INDF;MASC+FEM;SG	
stor	العظيم	stor	عَظِيم	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
usa	امريكا	usa	أَمرِيكَا	PROPN	
usa	اميركا	usa	أَمِيرِكَا	PROPN	
usa	امريكا	usa	أَمرِيكَا	PROPN	
uden	بدون	uden	بدون	ADV	
hold	الفرق	holde	فِرقَة	V;IMP	N;NOM;DEF;SG
hold	فرق	holde	فِرقَة	V;IMP	N;NOM;INDF;PL
hold	الفريق	holde	فَرِيق	V;IMP	N;NOM;DEF;SG
hold	فريق	holde	فَرِيق	V;IMP	N;NOM;INDF;SG
når	حين	når	حِينَ	CONJ	ADP;ACC
når	عندما	når	عِندَمَا	CONJ	CONJ
når	متى	når	مَتَى	CONJ	DET
kendt	المعروفة	kendt	مَعرُوف	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
kendt	المعروف	kendt	مَعرُوف	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
kendt	الشهيرة	kendt	شَهِير	ADJ;INDF;SG	N;NOM;DEF;SG
før	قبل	før	قَبلَ	ADV	ADP;ACC
hvilket	ايهما	hvilken	ايهما	PRO;NEUT;SG	
hvilket	الذي	hvilken	اَلَّذِي	PRO;NEUT;SG	DET;NOM;MASC;SG
hvilket	والذي	hvilken	والذي	PRO;NEUT;SG	N;NOM;DEF;SG
sogn	باريش	sogn	بَارِيش	N;INDF;NEUT;SG	
sogn	ابرشية	sogn	أَبرَشِيّ	N;INDF;NEUT;SG	
mest	معظم	mest	مُعظَم	ADV;RL	N;NOM;INDF;SG
mest	الاكثر	mest	أَكثَر	ADV;RL	ADJ;NOM;DEF;MASC;SG
mest	اغلب	mest	أَغلَب	ADV;RL	
marts	المسيرة	marts	مَسِيرَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kirke	كنيسه	kirke	كنيسه	N;INDF;MASC+FEM;SG	PRO;NOM;MASC;SG;3
kirke	كنيست	kirke	كَنِيس	N;INDF;MASC+FEM;SG	
kirke	الكنيسة	kirke	كَنِيسَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
række	صفوف	række	صَفّ	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
række	الصفوف	række	صَفّ	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
style	ستايل	style	ستايل		
style	اسلوب	style	أُسلُوب		N;NOM;INDF;SG
style	النمط	style	نَمَط		N;NOM;DEF;SG
style	الاسلوب	style	أُسلُوب		N;NOM;DEF;SG
navn	الاسم	navn	اِسم	N;INDF;NEUT;SG	N;NOM;DEF;SG
ofte	غالبا	ofte	غَالِب	ADV	ADJ;ACC;INDF;MASC;SG
jpg	jpg	jpg	مُثَّة		V;PFV;MASC;SG;3;ACT
først	اول	først	أَوَّل	ADV	ADJ;NOM;INDF;MASC;SG
først	اولا	først	أَوَّل	ADV	ADJ;ACC;INDF;MASC;SG
først	الاول	først	أَوَّل	ADV	ADJ;NOM;DEF;MASC;SG
først	الاولى	først	أَوَّل	ADV	ADJ;NOM;DEF;FEM;SG
mål	الهدف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;DEF;SG
mål	اهداف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;INDF;PL
mål	الاهداف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;DEF;PL
mål	اهداف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;INDF;PL
mål	الاهداف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;DEF;PL
mål	الغايات	mål	غَايَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
mål	موضوعية	mål	مَوضُوعِيّ	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
mål	الهدف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;DEF;SG
mål	اهداف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;INDF;PL
mål	الاهداف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;DEF;PL
mål	الغايات	mål	غَايَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
mål	المرمى	mål	مَرمَى	N;INDF;NEUT;SG	N;NOM;DEF;SG
mål	الهدف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;DEF;SG
film	الافلام	film	فِيلم	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
film	الافلام	film	فِيلم	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
film	الفيلم	film	فِيلم	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
film	فيلم	film	فِيلم	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
film	الفيلم	film	فِيلم	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
film	فيلم	film	فِيلم	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
film	الفلم	film	فَلَّم	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
sidste	تدوم	sidste	دَام	ADJ	V;IPFV;FEM;IND;SG;3;FIN;ACT
noget	شيء	nogen	شَيء	PRO;NEUT;SG	N;NOM;INDF;SG
noget	شئ	nogen	شئ	PRO;NEUT;SG	N;NOM;INDF;SG
noget	حاجه	nogen	حَاجَه	PRO;NEUT;SG	
noget	شي	nogen	شي	PRO;NEUT;SG	
tyske	الالمانية	tysk	أَلمَانِيّ	ADJ;PL	ADJ;NOM;DEF;FEM;SG
tyske	المان	tysk	أَلمَانِيّ	ADJ;PL	
tyske	الالماني	tysk	أَلمَانِيّ	ADJ;PL	ADJ;NOM;DEF;MASC;SG
tyske	المانيا	tysk	أَلمَانِيَا	ADJ;PL	
tyske	الماني	tysk	أَلمَانِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
tyske	المانية	tysk	أَلمَانِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
gik	مشيت	gå	مشيت	V;IND;PST;FIN;ACT	
indtil	حتى	indtil	حَتَّى	CONJ	ADV
fire	اربعه	fire	اربعه	NUM	PRO;NOM;MASC;SG;3
vandt	وون	vinde	وون	V;IND;PST;FIN;ACT	
inden	قبل	inden	قَبلَ	ADV	ADP;ACC
mindre	اصغر	mindre	أَصغَر	ADV;CMPR	ADJ;NOM;INDF;MASC;SG
mindre	قاصر	mindre	قَاصِر	ADV;CMPR	ADJ;NOM;INDF;MASC;SG
mindre	اقل	mindre	أَقَلّ	ADV;CMPR	ADJ;NOM;INDF;MASC;SG
christian	المسيحية	christian	مَسِيحِيَّة		N;NOM;DEF;SG
christian	مسيحية	christian	مَسِيحِيّ		ADJ;NOM;INDF;FEM;SG
christian	مسيحي	christian	مَسِيحِيّ		ADJ;NOM;INDF;MASC;SG
christian	كريستيان	christian	كُرَيستِيّ		
frem	للامام	frem	لَلَام	ADV	
frem	الامام	frem	إِمَام	ADV	N;NOM;DEF;SG
største	اعظم	stor	اعظم	ADJ;DEF;RL	
cet	c	cet	هُوَ		
alt	كلهم	al	كلهم	ADJ;NEUT;SG	
alt	كله	al	كٰلِهَ	ADJ;NEUT;SG	
alt	جميع	al	جَمِيع	ADJ;NEUT;SG	N;NOM;INDF;SG
alt	كل	al	كُلّ	ADJ;NEUT;SG	N;NOM;INDF;SG
alt	الكل	al	كُلّ	ADJ;NEUT;SG	
side	الصفحة	side	صَفحَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
side	جنب	side	جَنب	N;INDF;MASC+FEM;SG	
side	الجانب	side	جَانِب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
medlem	العضو	medlem	عُضو	N;INDF;NEUT;SG	N;NOM;DEF;SG
større	اعظم	stor	اعظم	ADJ;CMPR	
større	اكبر	stor	اكبر	ADJ;CMPR	
igen	مجددا	igen	مُجَدَّد	ADV	ADJ;ACC;INDF;MASC;SG
igen	ثانية	igen	ثَانِي	ADV	ADJ;NOM;INDF;FEM;SG
søn	ابن	søn	ابن	N;INDF;MASC+FEM;SG	
søn	بني	søn	بني	N;INDF;MASC+FEM;SG	
søn	الابن	søn	اِبن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
grund	السبب	grund	سَبَب	N;INDF;NEUT;SG	N;NOM;DEF;SG
tog	قطار	tage	قِطَار	V;IND;PST;FIN;ACT	N;NOM;INDF;SG
tog	القطار	tage	قِطَار	V;IND;PST;FIN;ACT	N;NOM;DEF;SG
tog	قطارات	tage	قِطَار	V;IND;PST;FIN;ACT	N;NOM;INDF;PL
tog	القطارات	tage	قِطَار	V;IND;PST;FIN;ACT	N;NOM;DEF;PL
amerikansk	امريكيون	amerikansk	أَمرِيكِيّ	ADJ;INDF;SG	N;NOM;INDF;PL
amerikansk	الامريكي	amerikansk	أَمرِيكِيّ	ADJ;INDF;SG	N;NOM;DEF;SG
lille	صغيره	lille	صغيره	ADJ;SG	PRO;NOM;FEM;SG;3
lille	صغر	lille	صَغَر	ADJ;SG	N;NOM;INDF;SG
lille	الصغير	lille	صَغِير	ADJ;SG	
lille	القليل	lille	قَلِيل	ADJ;SG	
not	ليس	not	لَيس		V;PFV;MASC;SG;3;ACT
not	لا	not	لَا		PART
not	وليس	not	وليس		
not	مش	not	مش		
hendes	لها	hendes	لها	DET;3	
hendes	هي	hendes	هُوَ	DET;3	PRO;NOM;FEM;SG;3
hvad	ما	hvad	مَا	PRO;SG	DET
hvad	ماذا	hvad	مَاذَا	PRO;SG	DET
hvad	ايش	hvad	أَيش	PRO;SG	
hvad	شنو	hvad	شَنُو	PRO;SG	
nord	نورث	nord	نورث	N;INDF	
nord	شمالي	nord	شمالي	N;INDF	
nord	الشمال	nord	شَمَال	N;INDF	N;NOM;DEF;SG
nord	نورد	nord	نورد	N;INDF	
kort	خريطه	kort	خريطه	ADJ;INDF;SG	PRO;NOM;MASC;SG;3
kort	خارطة	kort	خَارِطَة	ADJ;INDF;SG	N;NOM;INDF;SG
kort	الخريطة	kort	خَرِيطَة	ADJ;INDF;SG	N;NOM;DEF;SG
kort	خريطة	kort	خَرِيطَة	ADJ;INDF;SG	N;NOM;INDF;SG
kort	القصير	kort	قَصِير	ADJ;INDF;SG	
kort	شورت	kort	شورت	ADJ;INDF;SG	
kort	الخرائط	kort	خَرِيطَة	ADJ;INDF;SG	N;NOM;DEF;PL
kort	خرائط	kort	خَرِيطَة	ADJ;INDF;SG	N;NOM;INDF;PL
kort	البطاقات	kort	بِطَاقَة	ADJ;INDF;SG	N;NOM;DEF;PL
kort	بطاقات	kort	بِطَاقَة	ADJ;INDF;SG	N;NOM;INDF;PL
kort	كروت	kort	كروت	ADJ;INDF;SG	N;NOM;INDF;PL
kort	بطاقة	kort	بِطَاقَة	ADJ;INDF;SG	N;NOM;INDF;SG
kort	البطاقة	kort	بِطَاقَة	ADJ;INDF;SG	N;NOM;DEF;SG
kort	كارد	kort	كارد	ADJ;INDF;SG	
kort	كارت	kort	كَار	ADJ;INDF;SG	
artikler	المقالات	artikel	المقالات	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
udgivet	نشر	udgive	نَشر	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
udgivet	منشور	udgive	مَنشُور	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
helt	بطل	helt	بَطَل	ADV	N;NOM;INDF;SG
helt	البطل	helt	بَطَل	ADV	N;NOM;DEF;SG
gamle	قديمه	gammel	قديمه	ADJ;PL	
gamle	عجوز	gammel	عَجُوز	ADJ;PL	N;NOM;INDF;SG
gamle	قديمة	gammel	قَدِيم	ADJ;PL	ADJ;NOM;INDF;FEM;SG
gamle	قديم	gammel	قَدِيم	ADJ;PL	ADJ;NOM;INDF;MASC;SG
