категория	kategori	категория	kategori	N;INAN;NOM;FEM;SG	
февраля	şubat	февраль	şubat	N;INAN;GEN;MASC;SG	
того	togo	то	togo	PRO;INAN;GEN;NEUT;SG	PROPN;NOM;SG;3
города	sehir	город	sehir	N;INAN;NOM;MASC;PL	
города	city	город	city	N;INAN;NOM;MASC;PL	PROPN;NOM;SG;3
города	şehir	город	şehir	N;INAN;NOM;MASC;PL	
может	belki	мочь	belki	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	can	мочь	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
войны	savaş	война	savaş	N;INAN;NOM;FEM;PL	N;NOM;SG;3
войны	war	война	war	N;INAN;NOM;FEM;PL	
войны	savas	война	savas	N;INAN;NOM;FEM;PL	
можно	can	можно	can	ADV	
однако	ancak	однако	ancak	ADV	
которые	hangi	который	hangi	PRO;NOM	ADJ
которые	hangisi	который	hangi	PRO;NOM	
высота	irtifa	высота	irtifa	N;INAN;NOM;FEM;SG	
высота	boy	высота	boy	N;INAN;NOM;FEM;SG	
высота	yüksekliği	высота	yükseklik	N;INAN;NOM;FEM;SG	N;ACC;SG;3
село	selo	село	selo	N;INAN;NOM;NEUT;SG	
село	köyü	село	köy	N;INAN;NOM;NEUT;SG	
село	köy	село	köy	N;INAN;NOM;NEUT;SG	
статья	yazı	статья	yazı	N;INAN;NOM;FEM;SG	
род	cins	род	cins	N;ANIM;NOM;MASC;SG	
род	rod	род	rod	N;ANIM;NOM;MASC;SG	
род	çubuk	род	çubuk	N;ANIM;NOM;MASC;SG	
один	yalnız	один	yalnız	NUM;NOM;MASC	
один	odin	один	odin	NUM;NOM;MASC	
один	biri	один	biri	NUM;NOM;MASC	PRO;NOM;SG;3
один	bir	один	bir	NUM;NOM;MASC	
без	olmadan	без	ol	ADP	V;PFV;IND;NEG;PRS;V.CVB
без	onsuz	без	onsuz	ADP	
реки	nehri	река	nehir	N;INAN;NOM;FEM;PL	N;ACC;SG;3
реки	river	река	riv	N;INAN;NOM;FEM;PL	PROPN;NOM;SG;3
реки	nehir	река	nehir	N;INAN;NOM;FEM;PL	
реки	irmak	река	irmak	N;INAN;NOM;FEM;PL	
реки	rivers	река	rivers	N;INAN;NOM;FEM;PL	PROPN;NOM;SG;3
между	arasında	между	ara	ADP	ADJ;ESS;SG;3
между	arasına	между	ara	ADP	ADJ;DAT;SG;3
между	arası	между	ara	ADP	ADJ;NOM;SG;3
между	arasındaki	между	ara	ADP	ADJ;ESS;SG;3
статус	statü	статус	stat	N;INAN;NOM;MASC;SG	
населения	nüfusu	население	nüfus	N;INAN;GEN;NEUT;SG	N;ACC;SG;3
населения	nüfus	население	nüfus	N;INAN;GEN;NEUT;SG	
годы	yıllarca	год	yıllarca	N;INAN;ACC;MASC;PL	ADV
годы	yıllardır	год	yıl	N;INAN;ACC;MASC;PL	V;IPFV;IND;PL;3;POS
годы	yıllar	год	yıl	N;INAN;ACC;MASC;PL	N;NOM;PL;3
годы	yılların	год	yıl	N;INAN;ACC;MASC;PL	N;GEN;PL;3
годы	seneler	год	sene	N;INAN;ACC;MASC;PL	
через	aracılığıyla	через	aracılık	ADP	N;INS;SG;3
через	via	через	via	ADP	PROPN;NOM;SG;3
через	yoluyla	через	yol	ADP	N;INS;SG;3
через	üzerinden	через	üzer	ADP	N;AT+ABL;SG;3
через	aracılığıyla	через	aracılık	ADP	N;INS;SG;3
через	yoluyla	через	yol	ADP	N;INS;SG;3
через	geçerek	через	geç	ADP	V;PFV;IND;POS;PRS;V.CVB
национальный	millî	национальный	millî	ADJ;NOM;MASC;SG	
национальный	national	национальный	national	ADJ;NOM;MASC;SG	N;DAT;SG;3
национальный	ulusal	национальный	ulusal	ADJ;NOM;MASC;SG	
область	il	область	il	N;INAN;NOM;FEM;SG	
область	bölge	область	bölge	N;INAN;NOM;FEM;SG	
область	bölgede	область	bölge	N;INAN;NOM;FEM;SG	N;ESS;SG;3
область	oblastı	область	obla	N;INAN;NOM;FEM;SG	
область	bölge	область	bölge	N;INAN;NOM;FEM;SG	
область	alan	область	al	N;INAN;NOM;FEM;SG	V;PFV;IND;POS;PRS;V.PTCP
список	liste	список	lis	N;INAN;NOM;MASC;SG	
список	listeyi	список	liste	N;INAN;NOM;MASC;SG	N;ACC;SG;3
сельское	kırsal	сельский	kırsal	ADJ;NOM;NEUT;SG	
сайт	sitede	сайт	site	N;INAN;NOM;MASC;SG	N;ESS;SG;3
века	yaşlar	век	yaş	N;INAN;NOM;MASC;PL	
века	yaşları	век	yaş	N;INAN;NOM;MASC;PL	ADJ;ACC;PL;3
века	çağlar	век	çağ	N;INAN;NOM;MASC;PL	
века	yüzyıllarca	век	yüzyıllarca	N;INAN;NOM;MASC;PL	ADV
официальный	resmî	официальный	resmî	ADJ;NOM;MASC;SG	
официальный	official	официальный	official	ADJ;NOM;MASC;SG	N;NOM;SG;3
официальный	resmi	официальный	resmi	ADJ;NOM;MASC;SG	
часть	kısım	часть	kısım	N;INAN;NOM;FEM;SG	
часть	bölüm	часть	bölüm	N;INAN;NOM;FEM;SG	
часть	part	часть	part	N;INAN;NOM;FEM;SG	
часть	kısmen	часть	kısmen	N;INAN;NOM;FEM;SG	
против	karsi	против	karsi	ADP	
против	aleyhinde	против	aleyh	ADP	N;ESS;SG;3
против	karşı	против	karşı	ADP	
этот	bu	этот	bu	DET;NOM;MASC;SG	
этот	bunu	этот	bu	DET;NOM;MASC;SG	PRO;ACC;SG;3
будет	will	быть	will	V;IPFV;IND;SG;3;PRS;FIN;ACT	
несколько	birkaç	несколько	birkaç	ADV	DET
несколько	birkaçı	несколько	birkaçı	ADV	PRO;NOM;PL;3
несколько	çoklu	несколько	çoklu	ADV	
несколько	kısmen	несколько	kısmen	ADV	
город	town	город	town	N;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
город	kasaba	город	kasaba	N;INAN;NOM;MASC;SG	
город	şehir	город	şehir	N;INAN;NOM;MASC;SG	
город	sehir	город	sehir	N;INAN;NOM;MASC;SG	
город	city	город	city	N;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
город	şehir	город	şehir	N;INAN;NOM;MASC;SG	
мира	huzur	мир	huzur	N;INAN;GEN;MASC;SG	
мира	barış	мир	barış	N;INAN;GEN;MASC;SG	
мира	mira	мир	mira	N;INAN;GEN;MASC;SG	
первое	öncelikle	первый	öncelik	ADJ;NOM;NEUT;SG	N;INS;SG;3
первое	önce	первый	önce	ADJ;NOM;NEUT;SG	
первое	ilk	первый	ilk	ADJ;NOM;NEUT;SG	
первое	once	первый	once	ADJ;NOM;NEUT;SG	
части	parçaları	часть	parça	N;INAN;NOM;FEM;PL	N;ACC;PL;3
описание	tanım	описание	tanım	N;INAN;NOM;NEUT;SG	
описание	açıklama	описание	açıkla	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
описание	tanımlama	описание	tanımla	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
описание	tarif	описание	tarif	N;INAN;NOM;NEUT;SG	
описание	açıklaması	описание	açıkla	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
описание	ediniz	описание	et	N;INAN;NOM;NEUT;SG	V;PFV;IMP;PL;2;POS;PRS
всего	toplam	все	toplam	PRO;INAN;GEN;NEUT;SG	
первый	öncelikle	первый	öncelik	ADJ;NOM;MASC;SG	N;INS;SG;3
первый	önce	первый	önce	ADJ;NOM;MASC;SG	
первый	ilk	первый	ilk	ADJ;NOM;MASC;SG	
первый	once	первый	once	ADJ;NOM;MASC;SG	
среди	arasında	среди	ara	ADP	ADJ;ESS;SG;3
файл	dosya	файл	dosya	N;INAN;NOM;MASC;SG	
карты	kartlar	карта	kart	N;INAN;NOM;FEM;PL	ADJ;NOM;PL;3
карты	kartları	карта	kart	N;INAN;NOM;FEM;PL	ADJ;ACC;PL;3
карты	kart	карта	kart	N;INAN;NOM;FEM;PL	
карты	harita	карта	harit	N;INAN;NOM;FEM;PL	N;NOM;SG;3
два	iki	два	iki	NUM;NOM;MASC	
всех	all	все	all	PRO;ANIM;ACC;PL	
всех	tamamı	все	tamam	PRO;ANIM;ACC;PL	
всех	hepsi	все	hepsi	PRO;ANIM;ACC;PL	PRO;NOM;PL;3
всех	tümü	все	tümü	PRO;ANIM;ACC;PL	
всех	herkeze	все	herkez	PRO;ANIM;ACC;PL	N;DAT;SG;3
всех	herkese	все	herkes	PRO;ANIM;ACC;PL	N;DAT;SG;3
всех	herkes	все	herkes	PRO;ANIM;ACC;PL	N;NOM;SG;3
всех	herkez	все	herkez	PRO;ANIM;ACC;PL	
там	orada	там	ora	ADV	N;ESS;SG;3
там	orda	там	ora	ADV	N;ESS;SG;3
второй	ikincisi	второй	ikinci	ADJ;NOM;MASC;SG	NUM;NOM;SG;3
очень	cok	очень	cok	ADV	
очень	çok	очень	çok	ADV	
главы	bölümleri	глава	bölüm	N;ANIM;NOM;MASC;PL	N;ACC;PL;3
карта	kartı	карта	kart	N;INAN;NOM;FEM;SG	
карта	kart	карта	kart	N;INAN;NOM;FEM;SG	
площадь	plaza	площадь	plaza	N;INAN;NOM;FEM;SG	PROPN;NOM;SG;3
площадь	karesi	площадь	kare	N;INAN;NOM;FEM;SG	
площадь	meydan	площадь	meydan	N;INAN;NOM;FEM;SG	
площадь	kare	площадь	kare	N;INAN;NOM;FEM;SG	
площадь	bölge	площадь	bölge	N;INAN;NOM;FEM;SG	
площадь	alan	площадь	al	N;INAN;NOM;FEM;SG	V;PFV;IND;POS;PRS;V.PTCP
всё	herşey	все	herşey	PRO;INAN;NOM;NEUT;SG	
всё	herşeyi	все	herşey	PRO;INAN;NOM;NEUT;SG	N;ACC;SG;3
всё	hersey	все	hersey	PRO;INAN;NOM;NEUT;SG	
даже	bile	даже	bile	PART	ADV
даже	hatta	даже	hatta	PART	CONJ
затем	öyleyse	затем	öyleyse	ADV	
затем	ozaman	затем	oza	ADV	
группы	gurup	группа	gur	N;INAN;NOM;FEM;PL	
группы	grup	группа	grup	N;INAN;NOM;FEM;PL	
группы	grubu	группа	grup	N;INAN;NOM;FEM;PL	
группы	grupları	группа	grup	N;INAN;NOM;FEM;PL	N;ACC;PL;3
основания	gerekçesiyle	основание	gerekçe	N;INAN;NOM;NEUT;PL	N;INS;SG;3
размер	boyut	размер	boyut	N;INAN;NOM;MASC;SG	
размер	boy	размер	boy	N;INAN;NOM;MASC;SG	
размер	beden	размер	beden	N;INAN;NOM;MASC;SG	
почтовый	posta	почтовый	posta	ADJ;NOM;MASC;SG	
над	üzeri	над	üzer	ADP	
над	bitti	над	bit	ADP	V;PFV;IND;SG;3;POS;PST
страны	ülke	страна	ülke	N;INAN;NOM;FEM;PL	
страны	vatan	страна	vat	N;INAN;NOM;FEM;PL	
страны	ülkelere	страна	ülke	N;INAN;NOM;FEM;PL	N;DAT;PL;3
страны	ülkeleri	страна	ülke	N;INAN;NOM;FEM;PL	N;ACC;PL;3
ему	onu	он	o	PRO;DAT;MASC;SG;3	PRO;ACC;SG;3
входит	giriyor	входить	gir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
входит	girer	входить	gir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS
индекс	işaret	индекс	işaret	N;INAN;NOM;MASC;SG	
улица	street	улица	street	N;INAN;NOM;FEM;SG	PROPN;NOM;SG;3
население	demografik	население	demografik	N;INAN;NOM;NEUT;SG	ADJ
население	nüfusu	население	nüfus	N;INAN;NOM;NEUT;SG	N;ACC;SG;3
население	nüfus	население	nüfus	N;INAN;NOM;NEUT;SG	
работы	çalış	работа	çalış	N;INAN;NOM;FEM;PL	
работы	çalışma	работа	çalış	N;INAN;NOM;FEM;PL	V;PFV;NOM;IND;POS;PRS;V.MSDR
работы	iş	работа	iş	N;INAN;NOM;FEM;PL	N;NOM;SG;3
работы	çalışmak	работа	çalış	N;INAN;NOM;FEM;PL	V;PFV;NOM;IND;POS;PRS;V.MSDR
имена	adları	имя	ad	N;INAN;NOM;NEUT;PL	N;ACC;PL;3
имена	isimleri	имя	isim	N;INAN;NOM;NEUT;PL	N;ACC;PL;3
вместе	beraber	вместе	beraber	ADV	
вместе	beraberce	вместе	beraberce	ADV	
вместе	birlikte	вместе	birlikte	ADV	
упоминание	bahsetmek	упоминание	bahset	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
здесь	burada	здесь	bura	ADV	N;ESS;SG;3
здесь	burda	здесь	bura	ADV	N;ESS;SG;3
истории	tarihi	история	tarih	N;INAN;NOM;FEM;PL	
истории	geçmiş	история	geç	N;INAN;NOM;FEM;PL	
истории	tarih	история	tarih	N;INAN;NOM;FEM;PL	N;NOM;SG;3
которая	hangi	который	hangi	PRO;NOM	ADJ
которая	hangisi	который	hangi	PRO;NOM	
александр	alexandre	александр	alefandr	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG;3
александр	iskender	александр	iskende	N;ANIM;NOM;MASC;SG	
александр	alexander	александр	alerander	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG;3
армии	ordular	армия	ordu	N;INAN;NOM;FEM;SG	N;NOM;PL;3
армии	ordu	армия	ordu	N;INAN;NOM;FEM;SG	
деление	bölüm	деление	bölüm	N;INAN;NOM;NEUT;SG	
деление	division	деление	divi	N;INAN;NOM;NEUT;SG	
деление	bölünme	деление	böl	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
деление	füzyon	деление	füzyon	N;INAN;NOM;NEUT;SG	
хотя	gerçi	хотя	gerçi	CONJ	
хотя	gerçi	хотя	gerçi	CONJ	
кроме	hariç	кроме	hariç	ADP	
кроме	dışında	кроме	dış	ADP	ADJ;ESS;SG;3
другие	diğeri	другой	diğer	ADJ;NOM;PL	N;NOM;SG;3
другие	öteki	другой	öteki	ADJ;NOM;PL	
другие	diger	другой	diger	ADJ;NOM;PL	
другие	diger	другой	diger	ADJ;NOM;PL	
другие	diğerleri	другой	diğer	ADJ;NOM;PL	N;ACC;PL;3
другие	diğerlerini	другой	diğer	ADJ;NOM;PL	N;ACC;PL;3
другие	başkaları	другой	başka	ADJ;NOM;PL	ADJ;ACC;PL;3
история	hikâye	история	hiku	N;INAN;NOM;FEM;SG	
история	öykü	история	öykü	N;INAN;NOM;FEM;SG	
история	masal	история	masal	N;INAN;NOM;FEM;SG	
история	tarihi	история	tarih	N;INAN;NOM;FEM;SG	
история	geçmiş	история	geç	N;INAN;NOM;FEM;SG	
себя	kendime	себя	kendi	PRO;ACC	PRO;DAT;SG;1;REFL
себя	kendim	себя	kendi	PRO;ACC	PRO;NOM;SG;1;REFL
себя	kendiniz	себя	kendi	PRO;ACC	PRO;NOM;PL;2;REFL
себя	kendin	себя	kendi	PRO;ACC	PRO;NOM;SG;2;REFL
совета	konsey	совет	konsey	N;INAN;GEN;MASC;SG	
совета	konseyi	совет	konse	N;INAN;GEN;MASC;SG	
фильм	film	фильм	film	N;INAN;NOM;MASC;SG	
фильм	film	фильм	film	N;INAN;NOM;MASC;SG	
рождения	doğumu	рождение	doğum	N;INAN;NOM;NEUT;SG	N;ACC;SG;3
рождения	dogum	рождение	dogum	N;INAN;NOM;NEUT;SG	
пункты	paragraf	пункт	paragraf	N;INAN;NOM;MASC;PL	N;NOM;SG;3
времени	zaman	время	zaman	N;INAN;GEN;NEUT;SG	N;NOM;SG;3
времени	vakit	время	vakit	N;INAN;GEN;NEUT;SG	
времени	süre	время	süre	N;INAN;GEN;NEUT;SG	N;NOM;SG;3
времени	time	время	tim	N;INAN;GEN;NEUT;SG	
участник	üye	участник	üye	N;ANIM;NOM;MASC;SG	
участник	katılımcı	участник	katılımcı	N;ANIM;NOM;MASC;SG	
страница	sayfaya	страница	sayfa	N;INAN;NOM;FEM;SG	N;DAT;SG;3
страница	sayfa	страница	sayf	N;INAN;NOM;FEM;SG	
страница	sayfada	страница	sayfa	N;INAN;NOM;FEM;SG	N;ESS;SG;3
страница	sayfayı	страница	sayfa	N;INAN;NOM;FEM;SG	N;ACC;SG;3
участие	katılım	участие	katılım	N;INAN;NOM;NEUT;SG	
участие	katılımı	участие	katılım	N;INAN;NOM;NEUT;SG	N;ACC;SG;3
википедии	wikipedia	википедия	wikipe	N;INAN;NOM;FEM;PL	
википедии	vikipedi	википедия	vikip	N;INAN;NOM;FEM;PL	
три	three	три	three	NUM;NOM	
человека	insani	человек	insani	N;ANIM;ACC;MASC;SG	
человека	insan	человек	insan	N;ANIM;ACC;MASC;SG	N;NOM;SG;3
автор	yazar	автор	yazar	N;ANIM;NOM;MASC;SG	
автор	yazarı	автор	yazar	N;ANIM;NOM;MASC;SG	
республики	cumhuriyet	республика	cumhuriyet	N;INAN;NOM;FEM;PL	
внутреннее	dahili	внутренний	dahil	ADJ;NOM;NEUT;SG	
внутреннее	içsel	внутренний	içsel	ADJ;NOM;NEUT;SG	
эти	bunlar	этот	bu	DET;NOM;PL	PRO;NOM;PL;3
эти	bunları	этот	bu	DET;NOM;PL	PRO;ACC;PL;3
эти	şunlar	этот	şu	DET;NOM;PL	
статей	makaleler	статья	makale	N;INAN;GEN;FEM;PL	N;NOM;PL;3
статей	yazılar	статья	yazı	N;INAN;GEN;FEM;PL	N;NOM;PL;3
статей	makale	статья	makale	N;INAN;GEN;FEM;PL	N;NOM;SG;3
случае	case	случай	case	N;INAN;ESS;MASC;SG	
случае	vaka	случай	vaka	N;INAN;ESS;MASC;SG	
случае	dava	случай	dava	N;INAN;ESS;MASC;SG	
центр	merkezi	центр	merkez	N;INAN;NOM;MASC;SG	N;ACC;SG;3
центр	merkez	центр	merkez	N;INAN;NOM;MASC;SG	
центр	orta	центр	orta	N;INAN;NOM;MASC;SG	
центр	merkezi	центр	merkez	N;INAN;NOM;MASC;SG	N;ACC;SG;3
центр	merkez	центр	merkez	N;INAN;NOM;MASC;SG	
центр	orta	центр	orta	N;INAN;NOM;MASC;SG	
центр	centre	центр	centre	N;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
округ	ilçe	округ	ilçe	N;INAN;NOM;MASC;SG	
округ	county	округ	county	N;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
округ	okrugu	округ	okrug	N;INAN;NOM;MASC;SG	
округ	bölge	округ	bölge	N;INAN;NOM;MASC;SG	
округ	bahşı	округ	bahşı	N;INAN;NOM;MASC;SG	
округ	ilçe	округ	ilçe	N;INAN;NOM;MASC;SG	
жизни	life	жизнь	life	N;INAN;NOM;FEM;PL	
жизни	hayat	жизнь	hayat	N;INAN;NOM;FEM;PL	
жизни	yaşam	жизнь	yaşam	N;INAN;NOM;FEM;PL	N;NOM;SG;3
жизни	ömür	жизнь	ömür	N;INAN;NOM;FEM;PL	
жизни	yaşar	жизнь	yaşa	N;INAN;NOM;FEM;PL	
генерал	genel	генерал	genel	N;ANIM;NOM;MASC;SG	ADJ
генерал	general	генерал	general	N;ANIM;NOM;MASC;SG	
родился	doğan	рождаться	doğ	V;PFV;MASC;IND;SG;PST;FIN;MID	
родился	doğuştan	рождаться	doğuş	V;PFV;MASC;IND;SG;PST;FIN;MID	N;AT+ABL;SG;3
союза	sendika	союз	sendika	N;INAN;GEN;MASC;SG	
союза	birlik	союз	birlik	N;INAN;GEN;MASC;SG	
союза	birliği	союз	birlik	N;INAN;GEN;MASC;SG	N;NOM;SG;3
кто	kimler	кто	kim	PRO;NOM	
кто	who	кто	who	PRO;NOM	
связи	bağlar	связь	bağla	N;INAN;NOM;FEM;PL	
