hän	انها	hän	انها	PRO;NOM;SG;3	
keskustelu	شات	keskustelu	شَات	N;NOM;SG	
koska	لان	koska	لِأَنَّ	CONJ	CONJ
koska	لانه	koska	لانه	CONJ	
koska	عشان	koska	عشان	CONJ	
koska	لانني	koska	لانني	CONJ	N;NOM;DEF;SG
koska	بسبب	koska	بسبب	CONJ	N;NOM;INDF;SG
koska	لاني	koska	لاني	CONJ	
koska	السبب	koska	سَبَب	CONJ	N;NOM;DEF;SG
koska	سبب	koska	سَبَب	CONJ	N;NOM;INDF;SG
maaliskuuta	المسيرة	maaliskuu	مَسِيرَة	N;PRT;SG	N;NOM;DEF;SG
maaliskuuta	مارس	maaliskuu	مَارِس	N;PRT;SG	N;GEN;INDF;SG
maaliskuuta	مسيرة	maaliskuu	مَسِيرَة	N;PRT;SG	N;NOM;INDF;SG
maaliskuuta	اذار	maaliskuu	آذَار	N;PRT;SG	N;NOM;INDF;SG
huhtikuuta	ابريل	huhtikuu	أَبرِيل	N;PRT;SG	N;GEN;INDF;SG
huhtikuuta	نيسان	huhtikuu	نِيسَان	N;PRT;SG	N;NOM;INDF;SG
elokuuta	اغسطس	elokuu	أَغُسطُس	N;PRT;SG	N;GEN;INDF;SG
elokuuta	اوغست	elokuu	أَوغَس	N;PRT;SG	
kesäkuuta	حزيران	kesäkuu	حَزِيرَان	N;PRT;SG	N;NOM;INDF;SG
kesäkuuta	يونيو	kesäkuu	يُونِيُو	N;PRT;SG	N;GEN;INDF;SG
toukokuuta	قد	toukokuu	قَد	N;PRT;SG	PART
toukokuuta	ماي	toukokuu	مَاي	N;PRT;SG	
toukokuuta	مايو	toukokuu	مَايُو	N;PRT;SG	N;GEN;INDF;SG
toukokuuta	ايار	toukokuu	أَيَّار	N;PRT;SG	N;NOM;INDF;SG
joulukuuta	ديسمبر	joulukuu	دِيسَمبِر	N;PRT;SG	N;GEN;INDF;SG
heinäkuuta	يوليو	heinäkuu	يُولِيُو	N;PRT;SG	N;GEN;INDF;SG
heinäkuuta	تموز	heinäkuu	تَمُّوز	N;PRT;SG	N;GEN;INDF;SG
helmikuuta	فبراير	helmikuu	فِبرَايِر	N;PRT;SG	N;GEN;INDF;SG
helmikuuta	شباط	helmikuu	شُبَاط	N;PRT;SG	N;NOM;INDF;SG
koko	المقاس	koko	مَقَاس	ADJ	N;NOM;DEF;SG
koko	الحجم	koko	حَجم	ADJ	N;NOM;DEF;SG
koko	حجم	koko	حَجم	ADJ	N;NOM;INDF;SG
marraskuuta	نوفمبر	marraskuu	نُوفِمبِر	N;PRT;SG	N;GEN;INDF;SG
vielä	لسه	vielä	لسه	ADV	
vielä	بعد	vielä	بَعدَ	ADV	ADP;NOM
diff	الاختلافات	diff	اِختِلَاف	N;NOM;SG	N;NOM;DEF;PL
diff	اختلافات	diff	اِختِلَاف	N;NOM;SG	N;NOM;INDF;PL
kaikki	كلهم	kaikki	كلهم	PRO;NOM;SG	
kaikki	كله	kaikki	كٰلِهَ	PRO;NOM;SG	
kaikki	جميع	kaikki	جَمِيع	PRO;NOM;SG	N;NOM;INDF;SG
kaikki	كل	kaikki	كُلّ	PRO;NOM;SG	N;NOM;INDF;SG
kaikki	الكل	kaikki	كُلّ	PRO;NOM;SG	
kaikki	الجميع	kaikki	جَمِيع	PRO;NOM;SG	N;NOM;DEF;SG
helsingin	هلسنكي	helsinki	هِلسِنكِي	PROPN;GEN;SG	
toinen	ثانيا	toinen	ثَانِي	PRO;NOM;SG	ADJ;ACC;INDF;MASC;SG
toinen	الثانيه	toinen	الثانيه	PRO;NOM;SG	
toinen	تاني	toinen	تَانِي	PRO;NOM;SG	
toinen	الثاني	toinen	ثَانِي	PRO;NOM;SG	ADJ;NOM;DEF;MASC;SG
toinen	الثانية	toinen	ثَانِي	PRO;NOM;SG	ADJ;NOM;DEF;FEM;SG
toinen	ثاني	toinen	ثاني	PRO;NOM;SG	
toinen	اخر	toinen	آخَر	PRO;NOM;SG	ADJ;NOM;INDF;MASC;SG
toinen	اخرى	toinen	آخَر	PRO;NOM;SG	ADJ;NOM;INDF;FEM;SG
kauden	موسم	kausi	مَوسِم	N;GEN;SG	N;NOM;INDF;SG
kauden	الموسم	kausi	مَوسِم	N;GEN;SG	N;NOM;DEF;SG
vaikka	بالرغم	vaikka	بِ	CONJ	N;NOM;DEF;SG
vuotta	السنين	vuosi	سَنَة	N;PRT;SG	N;NOM;DEF;PL
vuotta	اعوام	vuosi	عَام	N;PRT;SG	N;NOM;INDF;PL
vuotta	سنين	vuosi	سَنَة	N;PRT;SG	N;NOM;INDF;PL
vuotta	السنوات	vuosi	سَنَة	N;PRT;SG	N;NOM;DEF;PL
vuotta	سنوات	vuosi	سَنَة	N;PRT;SG	N;NOM;INDF;PL
seura	نادى	seura	نَادِي	N;NOM;SG	
seura	نادي	seura	نادي	N;NOM;SG	
seura	كلوب	seura	كلوب	N;NOM;SG	
seura	شركه	seura	شركه	N;NOM;SG	
hyvin	جدا	hyvin	جِدّ	ADV	N;ACC;INDF;SG
kolme	th	kolme	th	NUM;NOM;SG	
kolme	ثلاثه	kolme	ثلاثه	NUM;NOM;SG	
usein	غالبا	usein	غَالِب	ADV	ADJ;ACC;INDF;MASC;SG
jota	ايهما	joka	ايهما	PRO;PRT;SG	
jota	الذي	joka	اَلَّذِي	PRO;PRT;SG	DET;NOM;MASC;SG
jota	والذي	joka	والذي	PRO;PRT;SG	N;NOM;DEF;SG
kuva	p	kuva	!	N;NOM;SG	
kuva	الصوره	kuva	صُوره	N;NOM;SG	
kuva	صوره	kuva	صُوره	N;NOM;SG	
mukana	مصاحبة	mukana	مُصَاحَبَة	ADV	ADJ;NOM;INDF;FEM;SG
mukana	w	mukana	!	ADV	
mukana	مع	mukana	مَعَ	ADV	ADP;ACC
kautta	عبر	kautta	عَبرَ	ADV	ADP;ACC
kautta	فيا	kautta	فِيَا	ADV	
kautta	عبر	kautta	عَبرَ	ADV	ADP;ACC
kautta	خلال	kautta	خِلَالَ	ADV	ADP;ACC
itse	الذاتي	itse	ذَاوتِيّ	ADV	ADJ;NOM;DEF;MASC;SG
itse	ذاتي	itse	ذَاوتِيّ	ADV	ADJ;NOM;INDF;MASC;SG
itse	النفس	itse	نَفس	ADV	N;NOM;DEF;SG
itse	سلف	itse	سَالِف	ADV	
itse	الذات	itse	ذَات	ADV	N;NOM;DEF;SG
itse	نفسه	itse	نفسه	ADV	PRO;NOM;MASC;SG;3
itse	نفسي	itse	نفسي	ADV	
itse	نفسى	itse	نفسى	ADV	
itse	بنفسك	itse	بنفسك	ADV	
itse	نفسك	itse	نفسك	ADV	
yleensä	عادة	yleensä	عَادَة	ADV	N;ACC;INDF;SG
yleensä	عموما	yleensä	عُمُوم	ADV	N;ACC;INDF;SG
sitten	بعدها	sitten	بعدها	ADV	PRO;NOM;MASC;SG;3
sitten	ثم	sitten	ثُمَّ	ADV	CONJ
sitten	اذا	sitten	إِذَا	ADV	CONJ
suurin	الاقصى	suuri	أَقصَى	ADJ;NOM;RL;SG	N;NOM;DEF;SG
uusi	جدد	uusi	جَدَّد	ADJ;NOM;SG	V;PFV;MASC;SG;3;ACT
ajan	وقت	aika	وَقت	N;GEN;SG	N;NOM;INDF;SG
ajan	الزمن	aika	زَمَن	N;GEN;SG	N;NOM;DEF;SG
ajan	الوقت	aika	وَقت	N;GEN;SG	N;NOM;DEF;SG
ajan	زمن	aika	زَمَن	N;GEN;SG	N;NOM;INDF;SG
ajan	الزمان	aika	زَمَان	N;GEN;SG	N;NOM;DEF;SG
paljon	ماتش	paljon	مَاتِش	ADV	
saa	احصل	saada	احصل	V;IND;SG;0;PRS;FIN;ACT	V;MASC;IMP;SG
saa	الحصول	saada	حُصُول	V;IND;SG;0;PRS;FIN;ACT	N;NOM;DEF;SG
saa	احضر	saada	اِحضَرّ	V;IND;SG;0;PRS;FIN;ACT	V;PFV;MASC;SG;3;ACT
mikä	ما	mikä	مَا	PRO;NOM;SG	DET
mikä	ماذا	mikä	مَاذَا	PRO;NOM;SG	DET
mikä	ايش	mikä	أَيش	PRO;NOM;SG	
mikä	شنو	mikä	شَنُو	PRO;NOM;SG	
pinta	سطح	pinta	سَطح	N;NOM;SG	
helsinki	هلسنكي	helsinki	هِلسِنكِي	N;NOM;SG	
venäjän	روسي	venäjä	رُوسِيّ	N;GEN;SG	ADJ;NOM;INDF;MASC;SG
venäjän	روسية	venäjä	رُوسِيّ	N;GEN;SG	ADJ;NOM;INDF;FEM;SG
venäjän	الروسية	venäjä	رُوسِيّ	N;GEN;SG	ADJ;NOM;DEF;FEM;SG
venäjän	روسيا	venäjä	رُوسِيَا	N;GEN;SG	
venäjän	الروسي	venäjä	رُوسِيّ	N;GEN;SG	ADJ;NOM;DEF;MASC;SG
venäjän	روسيا	venäjä	رُوسِيَا	N;GEN;SG	
pohjois	نورث	pohjois	نورث	N;NOM;SG	
pohjois	شمالي	pohjois	شمالي	N;NOM;SG	
pohjois	شمالا	pohjois	شَمَال	N;NOM;SG	N;ACC;INDF;SG
pohjois	الشمالية	pohjois	شَمَالِيّ	N;NOM;SG	ADJ;NOM;DEF;FEM;SG
pohjois	الشمالي	pohjois	شَمَالِيّ	N;NOM;SG	ADJ;NOM;DEF;MASC;SG
pohjois	شمالي	pohjois	شمالي	N;NOM;SG	
useita	عدة	usea	عِدَّة	ADJ;PRT;PL	N;NOM;INDF;SG
useita	المتعددة	usea	مُتَعَدِّد	ADJ;PRT;PL	ADJ;NOM;DEF;FEM;SG
useita	تعدد	usea	عَدَّد	ADJ;PRT;PL	N;NOM;INDF;SG
useita	متعدد	usea	مُتَعَدِّد	ADJ;PRT;PL	ADJ;NOM;INDF;MASC;SG
useita	متعددة	usea	مُتَعَدِّد	ADJ;PRT;PL	ADJ;NOM;INDF;FEM;SG
maalit	يرسم	maali	رَسَم	N;NOM;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
maalit	طلاء	maali	طَالِء	N;NOM;PL	N;NOM;INDF;SG
maalit	دهان	maali	دِهَان	N;NOM;PL	N;NOM;INDF;SG
maalit	الطلاء	maali	طَالِط	N;NOM;PL	N;NOM;DEF;SG
maalit	ارسم	maali	ارسم	N;NOM;PL	
jpg	jpg	jpg	مُثَّة	N;NOM;SG	V;PFV;MASC;SG;3;ACT
yhdessä	سويا	yhdessä	سُويَا	ADV	
yhdessä	سوية	yhdessä	سُوِيّ	ADV	
yhdessä	معا	yhdessä	مَعًا	ADV	
näyttelijä	ممثله	näyttelijä	ممثله	N;NOM;SG	PRO;NOM;MASC;SG;3
näyttelijä	فاعل	näyttelijä	فَاعِل	N;NOM;SG	ADJ;NOM;INDF;MASC;SG
tulee	ات	tulla	أَت	V;IND;SG;3;PRS;FIN;ACT	
tulee	قادمون	tulla	قَادِم	V;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;PL
tulee	قادم	tulla	قَادِم	V;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG
tulee	قادمة	tulla	قَادِم	V;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;INDF;FEM;SG
aina	دايما	aina	دَايمَا	ADV	
aina	دائما	aina	دَائِم	ADV	ADJ;ACC;INDF;MASC;SG
aina	دوما	aina	دَوم	ADV	N;ACC;INDF;SG
maan	الارض	maa	أَرض	N;GEN;SG	N;NOM;DEF;SG
maan	بلد	maa	بَلَد	N;GEN;SG	N;NOM;INDF;SG
maan	البلاد	maa	بَلَد	N;GEN;SG	N;NOM;DEF;PL
maan	بلاد	maa	بَلَد	N;GEN;SG	N;NOM;INDF;PL
maan	البلد	maa	بَلَد	N;GEN;SG	N;NOM;DEF;SG
kerran	مرة	kerran	مَرَّة	ADV	N;NOM;INDF;SG
kerran	مره	kerran	مَرَّه	ADV	N;NOM;INDF;SG
elokuva	سينما	elo#kuva	سِينَمَا	N;NOM;SG	
saksan	الالمانية	saksa	أَلمَانِيّ	N;GEN;SG	ADJ;NOM;DEF;FEM;SG
saksan	المان	saksa	أَلمَانِيّ	N;GEN;SG	
saksan	الالماني	saksa	أَلمَانِيّ	N;GEN;SG	ADJ;NOM;DEF;MASC;SG
saksan	المانيا	saksa	أَلمَانِيَا	N;GEN;SG	
saksan	الماني	saksa	أَلمَانِيّ	N;GEN;SG	ADJ;NOM;INDF;MASC;SG
saksan	المانية	saksa	أَلمَانِيّ	N;GEN;SG	ADJ;NOM;INDF;FEM;SG
saksan	المانيا	saksa	أَلمَانِيَا	N;GEN;SG	
kaupunki	تاون	kaupunki	تَاون	N;NOM;SG	
kaupunki	المدينه	kaupunki	المدينه	N;NOM;SG	
kaupunki	سيتي	kaupunki	سِيتِي	N;NOM;SG	
etelä	جنوبي	etelä	جَنُوبِيّ	N;NOM;SG	ADJ;NOM;INDF;MASC;SG
etelä	جنوبية	etelä	جَنُوبِيّ	N;NOM;SG	ADJ;NOM;INDF;FEM;SG
etelä	جنوبي	etelä	جَنُوبِيّ	N;NOM;SG	ADJ;NOM;INDF;MASC;SG
etelä	جنوبا	etelä	جَنُوب	N;NOM;SG	N;ACC;INDF;SG
etelä	ساوث	etelä	سَاوث	N;NOM;SG	
euroopan	اوروبا	eurooppa	أُورُوبَا	PROPN;GEN;SG	
euroopan	اوربا	eurooppa	أُورُبَّا	PROPN;GEN;SG	
euroopan	الاوروبي	eurooppa	أُورُوبِيّ	PROPN;GEN;SG	ADJ;NOM;DEF;MASC;SG
euroopan	الاوروبية	eurooppa	أُورُوبِيّ	PROPN;GEN;SG	ADJ;NOM;DEF;FEM;SG
nyt	الان	nyt	آن	ADV	N;ACC;DEF;SG
nyt	والان	nyt	والان	ADV	
katso	شاهد	katsoa	شَاهَد	V;IMP;SG;2;FIN;ACT	
katso	ترى	katsoa	رَأَى	V;IMP;SG;2;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
katso	شاهد	katsoa	شَاهَد	V;IMP;SG;2;FIN;ACT	
katso	ساعة	katsoa	سَاعَة	V;IMP;SG;2;FIN;ACT	N;NOM;INDF;SG
katso	راقب	katsoa	رَاقِب	V;IMP;SG;2;FIN;ACT	
katso	مشاهدة	katsoa	مُشَاهَدَة	V;IMP;SG;2;FIN;ACT	N;NOM;INDF;SG
katso	نظرة	katsoa	نَظرَة	V;IMP;SG;2;FIN;ACT	N;NOM;INDF;SG
katso	انظري	katsoa	أَنظَرِيّ	V;IMP;SG;2;FIN;ACT	
katso	النظرة	katsoa	نَظرَة	V;IMP;SG;2;FIN;ACT	N;NOM;DEF;SG
katso	انظر	katsoa	أَنظَر	V;IMP;SG;2;FIN;ACT	
muita	اخرون	muu	آخَر	PRO;PRT;PL	ADJ;NOM;INDF;MASC;PL
muita	اخرين	muu	آخَر	PRO;PRT;PL	ADJ;ACC;INDF;MASC;PL
muita	الاخرون	muu	آخَر	PRO;PRT;PL	ADJ;NOM;DEF;MASC;PL
käyttää	باستعمال	käyttää	باستعمال	V;IND;SG;PRS;FIN;ACT	N;GEN;DEF;SG
käyttää	استعمال	käyttää	اِستِعمَال	V;IND;SG;PRS;FIN;ACT	N;NOM;INDF;SG
käyttää	استخدام	käyttää	اِستِخدَام	V;IND;SG;PRS;FIN;ACT	N;NOM;INDF;SG
käyttää	باستخدام	käyttää	باستخدام	V;IND;SG;PRS;FIN;ACT	N;NOM;DEF;SG
käyttää	الاستعمال	käyttää	اِستِعمَال	V;IND;SG;PRS;FIN;ACT	N;NOM;DEF;SG
käyttää	استخدام	käyttää	اِستِخدَام	V;IND;SG;PRS;FIN;ACT	N;NOM;INDF;SG
käyttää	الاستخدام	käyttää	اِستِخدَام	V;IND;SG;PRS;FIN;ACT	N;NOM;DEF;SG
käyttää	الاستخدامات	käyttää	اِستِخدَام	V;IND;SG;PRS;FIN;ACT	N;NOM;DEF;PL
käyttää	استخدامات	käyttää	اِستِخدَام	V;IND;SG;PRS;FIN;ACT	N;NOM;INDF;PL
kertaa	تايمز	kerta	تَايمز	N;PRT;SG	
kertaa	اوقات	kerta	وَقت	N;PRT;SG	N;NOM;INDF;PL
kertaa	المرات	kerta	مَرَّة	N;PRT;SG	N;NOM;DEF;PL
kertaa	التايمز	kerta	تَايمز	N;PRT;SG	
kertaa	مرات	kerta	مَرَّة	N;PRT;SG	N;NOM;INDF;PL
kertaa	الاوقات	kerta	وَقت	N;PRT;SG	N;NOM;DEF;PL
alussa	بداية	alku	بِدَايَة	N;IN+ESS;SG	N;NOM;INDF;SG
alussa	البداية	alku	بِدَايَة	N;IN+ESS;SG	N;NOM;DEF;SG
muut	اخرى	muu	آخَر	PRO;NOM;PL	ADJ;NOM;INDF;FEM;SG
muut	اخرون	muu	آخَر	PRO;NOM;PL	ADJ;NOM;INDF;MASC;PL
muut	اخرين	muu	آخَر	PRO;NOM;PL	ADJ;ACC;INDF;MASC;PL
muut	الاخرون	muu	آخَر	PRO;NOM;PL	ADJ;NOM;DEF;MASC;PL
yhden	احد	yksi	أَحَد	NUM;GEN;SG	N;NOM;INDF;SG
yhden	واحدة	yksi	وَاحِد	NUM;GEN;SG	ADJ;NOM;INDF;FEM;SG
yhden	واحد	yksi	وَاحِد	NUM;GEN;SG	ADJ;NOM;INDF;MASC;SG
yhden	واحده	yksi	واحده	NUM;GEN;SG	PRO;NOM;MASC;SG;3
syntyi	ولد	syntyä	وَلَد	V;IND;SG;3;PST;FIN;ACT	N;NOM;INDF;SG
syntyi	مولود	syntyä	مولود	V;IND;SG;3;PST;FIN;ACT	N;NOM;INDF;SG
syntyi	ولدت	syntyä	وَلَد	V;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;3;PASS
suomi	الفنلندي	suomi	فِنلَندِيّ	PROPN;NOM;SG	ADJ;NOM;DEF;MASC;SG
suomi	الفنلندية	suomi	فِنلَندِيّ	PROPN;NOM;SG	ADJ;NOM;DEF;FEM;SG
suomi	فنلندا	suomi	فِنلَندَا	PROPN;NOM;SG	
neljä	اربعه	neljä	اربعه	NUM;NOM;SG	PRO;NOM;MASC;SG;3
alueen	الاقليم	alue	إِقلِيم	N;GEN;SG	
alueen	اقليم	alue	اقليم	N;GEN;SG	
alueen	منطقة	alue	مِنطَقَة	N;GEN;SG	N;NOM;INDF;SG
alueen	المنطقة	alue	مِنطَقَة	N;GEN;SG	N;NOM;DEF;SG
john	جون	joka	جُون	PROPN;NOM;SG	
john	يوحنا	joka	يوحنا	PROPN;NOM;SG	
saanut	استلام	saada	اِستِلَام	V;NOM;SG;V.PTCP;ACT	N;NOM;INDF;SG
