august	аугуст	august	аугуст	N;MASC;SG	PROPN;INDF;MASC;SG
residentes	пребиваващи	residente	пребивавам	N;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
derrotas	поражение	derrota	поражение	N;FEM;PL	N;INDF;NEUT;SG
derrotas	победен	derrota	победя	N;FEM;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
mundialmente	световна	mundialmente	световен	ADV	ADJ;INDF;FEM;SG
tito	тит	tito	тит	N;MASC;SG	PROPN;INDF;MASC;SG
museus	музей	museu	музей	N;MASC;PL	N;INDF;MASC;SG
ferido	контузен	ferir	контузен	V;MASC;SG;V.PTCP	N;INDF;MASC;SG
ferido	ранени	ferir	раня	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
ferido	ранени	ferir	раня	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
plástico	пластмаси	plástico	пластмас	N;MASC;SG	N;INDF;MASC;PL
plástico	пластмасова	plástico	пластмасов	N;MASC;SG	ADJ;INDF;FEM;SG
plástico	пластмасови	plástico	пластмасов	N;MASC;SG	ADJ;INDF;PL
plástico	пластмасов	plástico	пластмасов	N;MASC;SG	ADJ;INDF;MASC;SG
malásia	малайзийски	malásia	малайзийски	N;FEM;SG	PROPN;INDF;MASC;SG
positivas	позитивна	positivo	позитивен	ADJ;FEM;PL	ADJ;INDF;FEM;SG
positivas	положителен	positivo	положителен	ADJ;FEM;PL	ADJ;INDF;MASC;SG
positivas	положителна	positivo	положителен	ADJ;FEM;PL	ADJ;INDF;FEM;SG
positivas	положително	positivo	положително	ADJ;FEM;PL	ADV
cartão	картонена	cartão	картонен	N;MASC;SG	ADJ;INDF;FEM;SG
violação	изнасилвания	violação	изнасилване	N;FEM;SG	N;INDF;NEUT;PL
violação	изнасилена	violação	изнасиля	N;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
susan	сюзън	susan	сюзън	N;FEM;SG	PROPN;INDF;FEM;SG
sex	fri	sexta-feira	fri	N;MASC;SG	PROPN;INDF;MASC;SG
alcançando	постигане	alcançar	постигане	V;V.MSDR	N;INDF;NEUT;SG
alcançando	достигането	alcançar	достигане	V;V.MSDR	N;DEF;NEUT;SG
alcançando	достигане	alcançar	достигане	V;V.MSDR	N;INDF;NEUT;SG
cerâmica	керамични	cerâmica	керамичен	N;FEM;SG	ADJ;INDF;PL
falsa	невярно	falso	неверен	ADJ;FEM;SG	ADV
falsa	фалшиво	falso	фалшиво	ADJ;FEM;SG	ADV
falsa	фалшиви	falso	фалшив	ADJ;FEM;SG	ADJ;INDF;PL
falsa	менте	falso	менте	ADJ;FEM;SG	N;INDF;NEUT;SG
falsa	фалшиви	falso	фалшив	ADJ;FEM;SG	ADJ;INDF;PL
falsa	фалшиво	falso	фалшиво	ADJ;FEM;SG	ADV
manifestação	демонстрации	manifestação	демонстрация	N;FEM;SG	N;INDF;FEM;PL
melhorias	усъвършенстване	melhoria	усъвършенстване	N;FEM;PL	N;INDF;NEUT;SG
melhorias	подобряване	melhoria	подобряване	N;FEM;PL	N;INDF;NEUT;SG
melhorias	подобрение	melhoria	подобрение	N;FEM;PL	N;INDF;NEUT;SG
rebelde	бунтовниците	rebelde	бунтовник	N;MASC;SG	N;DEF;MASC;PL
rebelde	непокорни	rebelde	непокорен	N;MASC;SG	ADJ;INDF;PL
proibido	забранени	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
proibido	забранени	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
proibido	забранени	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
marine	морски	marine	морски	N;MASC;SG	ADJ;INDF;MASC;SG
marine	морска	marine	морски	N;MASC;SG	ADJ;INDF;FEM;SG
grace	грейс	grace	грейс	N;FEM;SG	PROPN;INDF;FEM;SG
culinária	кулинарно	culinário	кулинарен	N;FEM;SG	ADV
mito	мита	mito	мито	N;MASC;SG	N;INDF;NEUT;PL
químicos	химична	químico	химичен	N;MASC;PL	ADJ;INDF;FEM;SG
químicos	химически	químico	химически	N;MASC;PL	ADJ;INDF;MASC;SG
químicos	химикал	químico	химикал	N;MASC;PL	N;INDF;MASC;SG
uhf	uhf	uhf	uhf	N;MASC;SG	N;INDF;MASC;PL
avó	бабо	avó	бабо	N;FEM;SG	INTJ
avó	бабо	avó	бабо	N;FEM;SG	INTJ
avó	бабо	avó	бабо	N;FEM;SG	INTJ
consulta	консултации	consulta	консултация	N;FEM;SG	N;INDF;FEM;PL
análises	analytics	análise	analytics	N;FEM;PL	ADJ
análises	анализиране	análise	анализиране	N;FEM;PL	N;INDF;NEUT;SG
análises	анализ	análise	анализ	N;FEM;PL	N;INDF;MASC;SG
reverter	връщане	reverter	връщане	V;NFIN	N;INDF;NEUT;SG
reverter	обръщане	reverter	обръщане	V;NFIN	N;INDF;NEUT;SG
reverter	задна	reverter	заден	V;NFIN	ADJ;INDF;FEM;SG
reverter	обратна	reverter	обратен	V;NFIN	ADJ;INDF;FEM;SG
reverter	обратен	reverter	обратя	V;NFIN	ADJ;INDF;MASC;SG
dramática	драматичен	dramático	драматичен	N;FEM;SG	ADJ;INDF;MASC;SG
dramática	драматично	dramático	драматично	N;FEM;SG	ADV
dramática	драматична	dramático	драматичен	N;FEM;SG	ADJ;INDF;FEM;SG
dramática	драматични	dramático	драматичен	N;FEM;SG	ADJ;INDF;PL
filmado	заснети	filmar	заснет	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
matando	убиване	matar	убиване	V;V.MSDR	N;INDF;NEUT;SG
giro	сладко	giro	сладко	N;MASC;SG	ADV
giro	сладка	giro	сладка	N;MASC;SG	ADJ;INDF;FEM;SG
giro	сладък	giro	сладък	N;MASC;SG	ADJ;INDF;MASC;SG
ferrovia	железници	ferrovia	железница	N;FEM;SG	N;INDF;FEM;PL
ferrovia	железопътен	ferrovia	железопътен	N;FEM;SG	ADJ;INDF;MASC;SG
fique	остани	ficar	остана	V;SBJV;SG;3;PRS;FIN	V;PFV;IMP;SG;2;FIN
elias	илия	elia	илия	N;MASC;SG	PROPN;INDF;MASC;SG
elias	елиас	elia	елиас	N;MASC;SG	PROPN;INDF;MASC;SG
arábia	арабия	arábia	арабия	N;FEM;SG	PROPN;INDF;FEM;SG
arábia	арабски	arábia	арабски	N;FEM;SG	ADJ;INDF;MASC;SG
arábia	арабска	arábia	арабски	N;FEM;SG	ADJ;INDF;FEM;SG
soberano	суверенна	soberano	суверенен	N;MASC;SG	ADJ;INDF;FEM;SG
colocadas	поставено	colocar	поставя-(се)	V;FEM;PL;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
colocadas	поставен	colocar	поставя-(се)	V;FEM;PL;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
judeu	еврейски	judeu	еврейски	N;MASC;SG	ADJ;INDF;MASC;SG
judeu	еврейско	judeu	еврейски	N;MASC;SG	ADV
bruxelas	брюксел	bruxela	брюксел	N;FEM;PL	PROPN;INDF;MASC;SG
bank	bank	bank	bank	N;MASC;SG	PROPN;INDF;FEM;SG
vegetais	растителни	vegetal	растителен	N;MASC;PL	ADJ;INDF;PL
vegetais	зеленчук	vegetal	зеленчук	N;MASC;PL	N;INDF;MASC;SG
alimento	храни	alimento	храна	N;MASC;SG	N;INDF;FEM;PL
elétrons	електрон	elétron	електрон	N;MASC;PL	N;INDF;MASC;SG
cana	рийд	cana	рийд	N;FEM;SG	PROPN;INDF;MASC;SG
cana	кейн	cana	кейн	N;FEM;SG	PROPN;INDF;MASC;SG
emma	ема	emma	еми	N;FEM;SG	PROPN;INDF;FEM;SG
cinquenta	fifty	cinquenta	fifty	NUM	PROPN;INDF;MASC;SG
estética	естетически	estética	естетически	N;FEM;SG	ADJ;INDF;MASC;SG
dores	болката	dor	болка	N;FEM;PL	N;DEF;FEM;SG
dores	болка	dor	болка	N;FEM;PL	N;INDF;FEM;SG
multi	мулти	multi	мулта	N;MASC;SG	N;INDF;FEM;PL
massas	паста	massa	паст	N;FEM;PL	N;INDF;FEM;SG
massas	юфка	massa	юфка	N;FEM;PL	N;INDF;FEM;SG
reduzido	намалени	reduzir	намаля	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
assegurar	гарантиране	assegurar	гарантиране	V;NFIN	N;INDF;NEUT;SG
legais	правно	legal	правен	ADJ;MASC;PL	ADV
legais	правна	legal	правен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
legais	юридически	legal	юридически	ADJ;MASC;PL	ADJ;INDF;MASC;SG
legais	правен	legal	правя-(се)	ADJ;MASC;PL	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
legais	законно	legal	законен	ADJ;MASC;PL	ADV
mineira	минни	mineira	минен	N;FEM;SG	N;INDF;FEM;PL
lúcia	лусия	lúcia	лусия	N;FEM;SG	PROPN;INDF;FEM;SG
horta	градински	horta	градински	N;FEM;SG	ADJ;INDF;MASC;SG
madrugada	зори	madrugada	зора	N;FEM;SG	N;INDF;FEM;PL
madrugada	доун	madrugada	доун	N;FEM;SG	PROPN;INDF;MASC;SG
cbs	cbs	cbs	cbs	N;FEM;SG	PROPN;INDF;MASC;SG
vegetal	зеленчуци	vegetal	зеленчук	ADJ;MASC;SG	N;INDF;MASC;PL
vegetal	растителни	vegetal	растителен	ADJ;MASC;SG	ADJ;INDF;PL
vegetal	зеленчук	vegetal	зеленчук	ADJ;MASC;SG	N;INDF;MASC;SG
exibidos	показано	exibir	покажа-(се)	V;MASC;PL;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
conteúdos	съдържание	conteúdo	съдържание	N;MASC;PL	N;INDF;NEUT;SG
conteúdos	съдържание	conteúdo	съдържание	N;MASC;PL	N;INDF;NEUT;SG
georges	жорж	georges	жорж	N;MASC;SG	PROPN;INDF;MASC;SG
sexuais	сексуален	sexual	сексуален	N;MASC;PL	ADJ;INDF;MASC;SG
sexuais	сексуално	sexual	сексуално	N;MASC;PL	ADV
sexuais	сексуална	sexual	сексуален	N;MASC;PL	ADJ;INDF;FEM;SG
sexuais	сексуални	sexual	сексуален	N;MASC;PL	ADJ;INDF;PL
reduzida	намалени	reduzir	намаля	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
keith	кийт	keith	кийт	N;MASC;SG	PROPN;INDF;MASC;SG
costume	обичайно	costume	обичайно	N;MASC;SG	ADV
costume	обичайното	costume	обичаен	N;MASC;SG	ADJ;DEF;NEUT;SG
costume	потребителски	costume	потребителски	N;MASC;SG	ADJ;INDF;MASC;SG
costume	обичай	costume	обичам	N;MASC;SG	V;IPFV;IMP;SG;2;FIN
ronald	роналд	ronald	роналд	N;MASC;SG	PROPN;INDF;MASC;SG
horizontal	хоризонтални	horizontal	хоризонтален	ADJ;MASC;SG	ADJ;INDF;PL
horizontal	хоризонтално	horizontal	хоризонтално	ADJ;MASC;SG	ADV
magic	магии	magic	магия	N;MASC;SG	N;INDF;FEM;PL
convidada	поканени	convidar	поканя	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
convidada	гост	convidar	гост	V;FEM;SG;V.PTCP	N;INDF;MASC;SG
convidada	гостенка	convidar	гостенка	V;FEM;SG;V.PTCP	N;INDF;FEM;SG
permanecendo	оставащи	permanecer	оставам	V;V.MSDR	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
permanecendo	оставащите	permanecer	оставам	V;V.MSDR	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
poetas	поетите	poeta	поема	N;MASC;PL	ADJ;PFV;DEF;PL;V.PTCP;PASS
poetas	поети	poeta	поема	N;MASC;PL	V;PFV;INDF;PL;V.PTCP;PASS
ludwig	лудвиг	ludwig	лудвиг	N;MASC;SG	PROPN;INDF;MASC;SG
samurai	самураи	samurai	самурай	N;MASC;SG	N;INDF;MASC;PL
pretendia	предназначени	pretender	предназнача	V;IND;SG;3;IPFV;FIN	V;PFV;INDF;PL;V.PTCP;PASS
ron	рон	ron	рон	N;MASC;SG	PROPN;INDF;MASC;SG
anunciada	обявени	anunciar	обявя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
puro	чисто	puro	чисто	ADJ;MASC;SG	ADV
iugoslávia	югославия	iugoslávia	югославия	N;FEM;SG	PROPN;INDF;FEM;SG
lloyd	лойд	lloyd	лойд	N;MASC;SG	PROPN;INDF;MASC;SG
visuais	визуална	visual	визуален	N;MASC;PL	ADJ;INDF;FEM;SG
visuais	визуално	visual	визуален	N;MASC;PL	ADV
warren	уорън	warren	уорън	N;MASC;SG	PROPN;INDF;MASC;SG
cuidados	грижа	cuidado	грижа	N;MASC;PL	N;INDF;FEM;SG
respectivos	съответна	respectivo	съответен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
respectivos	съответен	respectivo	съответен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
turcos	турчин	turco	турчин	N;MASC;PL	N;INDF;MASC;SG
turcos	турско	turco	турски	N;MASC;PL	ADV
turcos	турски	turco	турски	N;MASC;PL	ADJ;INDF;MASC;SG
turcos	турска	turco	турски	N;MASC;PL	ADJ;INDF;FEM;SG
colina	хил	colina	хил	N;FEM;SG	PROPN;INDF;MASC;SG
colina	hill	colina	hill	N;FEM;SG	PROPN;INDF;MASC;SG
conselhos	съвет	conselho	съвет	N;MASC;PL	N;INDF;MASC;SG
marítima	морско	marítimo	морски	N;FEM;SG	ADV
marítima	морска	marítimo	морски	N;FEM;SG	ADJ;INDF;FEM;SG
marítima	морски	marítimo	морски	N;FEM;SG	ADJ;INDF;MASC;SG
visa	виза	visar	виза	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
visa	визи	visar	виза	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
escocês	шотландски	escocês	шотландски	N;MASC;SG	ADJ;INDF;MASC;SG
investigações	разследване	investigação	разследване	N;FEM;PL	N;INDF;NEUT;SG
adequada	адекватно	adequado	адекватно	ADJ;FEM;SG	ADV
adequada	адекватни	adequado	адекватен	ADJ;FEM;SG	ADJ;INDF;PL
adequada	подходящи	adequado	подходящ	ADJ;FEM;SG	ADJ;INDF;PL
adequada	подходящо	adequado	подходящ	ADJ;FEM;SG	ADV
cerebral	мозъчен	cerebral	мозъчен	N;MASC;SG	ADJ;INDF;MASC;SG
mínimos	минимален	mínimo	минимален	N;MASC;PL	ADJ;INDF;MASC;SG
mínimos	минимално	mínimo	минимален	N;MASC;PL	ADV
mínimos	минимална	mínimo	минимален	N;MASC;PL	ADJ;INDF;FEM;SG
mínimos	минимум	mínimo	минимум	N;MASC;PL	N;INDF;MASC;SG
mínimos	минимални	mínimo	минимален	N;MASC;PL	ADJ;INDF;PL
mínimos	минимално	mínimo	минимален	N;MASC;PL	ADV
mínimos	минимална	mínimo	минимален	N;MASC;PL	ADJ;INDF;FEM;SG
mínimos	минимален	mínimo	минимален	N;MASC;PL	ADJ;INDF;MASC;SG
válidos	валидна	válido	валиден	ADJ;MASC;PL	ADJ;INDF;FEM;SG
válidos	валиден	válido	валиден	ADJ;MASC;PL	ADJ;INDF;MASC;SG
válidos	валидно	válido	валиден	ADJ;MASC;PL	ADV
make	направи	make	направя-(се)	N;FEM;SG	V;PFV;IMP;SG;2;FIN
piratas	пират	pirata	пирам	N;MASC;PL	N;INDF;MASC;SG
piratas	пиратски	pirata	пиратски	N;MASC;PL	ADJ;INDF;MASC;SG
kids	деца	kids	дете	N;MASC;SG	N;INDF;NEUT;PL
vestígios	трейс	vestígio	трейс	N;MASC;PL	N;INDF;FEM;SG
sandra	сандра	sandra	сандра	N;FEM;SG	PROPN;INDF;FEM;SG
profundo	дълбоки	profundo	дълбок	ADJ;MASC;SG	ADJ;INDF;PL
profundo	дълбоко	profundo	дълбоко	ADJ;MASC;SG	ADV
tanques	резервоар	tanque	резервоар	N;MASC;PL	N;INDF;MASC;SG
tanques	танк	tanque	танк	N;MASC;PL	N;INDF;MASC;SG
tanques	цистерна	tanque	цистерна	N;MASC;PL	N;INDF;FEM;SG
urss	ссср	ur	ссср	N;FEM;SG	PROPN;INDF;MASC;SG
adotou	осиновен	adotar	осиновя-(се)	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
adotou	осиновена	adotar	осиновя-(се)	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;SG
imposto	данъци	impor	данък	V;MASC;SG;V.PTCP	N;INDF;MASC;PL
imposto	данък	impor	данък	V;MASC;SG;V.PTCP	N;INDF;MASC;SG
avisado	предупредени	avisar	предупредя	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
rené	рене	rené	рена	N;MASC;SG	PROPN;INDF;MASC;SG
rené	рене	rené	рена	N;MASC;SG	PROPN;INDF;MASC;SG
assinar	абонамент	assinar	абонамент	V;NFIN	N;INDF;MASC;SG
assinar	подписване	assinar	подписване	V;NFIN	N;INDF;NEUT;SG
assinar	табела	assinar	табел	V;NFIN	N;INDF;FEM;SG
assinar	знак	assinar	знак	V;NFIN	N;INDF;MASC;SG
ofereceu	предложени	oferecer	предложа	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
intelectuais	интелектуалец	intelectual	интелектуалец	N;MASC;PL	N;INDF;MASC;SG
intelectuais	интелектуална	intelectual	интелектуален	N;MASC;PL	ADJ;INDF;FEM;SG
intelectuais	интелектуално	intelectual	интелектуално	N;MASC;PL	ADV
integrada	вграден	integrar	вграден	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
integrada	интегрирани	integrar	интегрирам	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
carvão	въглища	carvão	въглища	N;MASC;SG	N;INDF;PL
carvão	въглени	carvão	въглен	N;MASC;SG	N;INDF;MASC;PL
presa	заседнали	presa	заседна	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;PST;V.PTCP;ACT
presa	арестувани	presa	арестувам	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
presa	плячка	presa	плячка	V;FEM;SG;V.PTCP	N;INDF;FEM;SG
arredores	обстановка	arredores	обстановка	N;MASC;PL	N;INDF;FEM;SG
arredores	обкръжение	arredores	обкръжение	N;MASC;PL	N;INDF;NEUT;SG
arredores	среда	arredores	среда	N;MASC;PL	N;INDF;FEM;SG
básicos	основна	básico	основен	N;MASC;PL	ADJ;INDF;FEM;SG
básicos	основни	básico	основен	N;MASC;PL	ADJ;INDF;PL
básicos	основен	básico	основен	N;MASC;PL	ADJ;INDF;MASC;SG
raymond	реймънд	raymond	реймънд	N;MASC;SG	PROPN;INDF;MASC;SG
hunter	хънтър	hunter	хънтър	N;MASC;SG	PROPN;INDF;MASC;SG
iniciando	начало	iniciar	начало	V;V.MSDR	N;INDF;NEUT;SG
iniciando	започване	iniciar	започване	V;V.MSDR	N;INDF;NEUT;SG
forest	горски	forest	горски	N;MASC;SG	ADJ;INDF;MASC;SG
episcopal	епископалната	episcopal	епископален	N;MASC;SG	ADJ;DEF;FEM;SG
visitou	посетиха	visitar	посетя	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;3;PST;FIN;ACT
visitou	посети	visitar	посетя	V;IND;SG;3;PST;FIN	V;PFV;IMP;SG;2;FIN
visitou	посетих	visitar	посетя	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;1;PST;FIN;ACT
salva	мъдрец	salvar	мъдрец	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
salva	сейдж	salvar	сейдж	V;IND;SG;3;PRS;FIN	PROPN;INDF;MASC;SG
salva	спасяване	salvar	спасяване	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
salva	спаси	salvar	спася-(се)	V;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;PST;FIN
salva	запази	salvar	запазя-(се)	V;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;FIN
salva	запис	salvar	запис	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
salva	спасени	salvar	спася-(се)	V;IND;SG;3;PRS;FIN	V;PFV;INDF;PL;V.PTCP;PASS
extensa	обширно	extenso	обширно	ADJ;FEM;SG	ADV
extensa	обширни	extenso	обширен	ADJ;FEM;SG	ADJ;INDF;PL
her	нея	her	аз	N;MASC;SG	PRO;ACC;FEM;SG;3
justo	праведни	justo	праведен	ADJ;MASC;SG	ADJ;INDF;PL
justo	панаир	justo	панаир	ADJ;MASC;SG	N;INDF;MASC;SG
justo	справедливо	justo	справедливо	ADJ;MASC;SG	ADV
anéis	пръстени	anel	пръстя	N;MASC;PL	ADJ;INDF;PL
anéis	пръстените	anel	пръстя	N;MASC;PL	ADJ;DEF;PL
átomos	атом	átomo	атом	N;MASC;PL	N;INDF;MASC;SG
átomos	атома	átomo	атом	N;MASC;PL	N;DEF;MASC;SG
ernst	ернст	ernst	ернст	PROPN;MASC;SG	PROPN;INDF;MASC;SG
vanessa	ванеса	vanesso	ванеса	N;FEM;SG	PROPN;INDF;FEM;SG
comunistas	комунист	comunista	комунист	N;MASC;PL	N;INDF;MASC;SG
comunistas	комунистическа	comunista	комунистически	N;MASC;PL	ADJ;INDF;FEM;SG
comunistas	комунистически	comunista	комунистически	N;MASC;PL	ADJ;INDF;MASC;SG
sepultado	заровени	sepultado	заровя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
sepultado	погребани	sepultado	погребан	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
inspirada	вдъхновен	inspirar	вдъхновен	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
inspirada	вдъхновени	inspirar	вдъхновя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
joan	джоун	joan	джоун	N;FEM;SG	PROPN;INDF;MASC;SG
absurdo	абсурд	absurdo	абсурд	ADJ;MASC;SG	N;INDF;MASC;SG
absurdo	абсурдни	absurdo	абсурден	ADJ;MASC;SG	ADJ;INDF;PL
absurdo	абсурдно	absurdo	абсурден	ADJ;MASC;SG	ADV
absurdo	абсурд	absurdo	абсурд	ADJ;MASC;SG	N;INDF;MASC;SG
absurdo	глупости	absurdo	глупост	ADJ;MASC;SG	N;INDF;FEM;PL
absurdo	безсмислици	absurdo	безсмислица	ADJ;MASC;SG	N;INDF;FEM;PL
frankfurt	франкфурт	frankfurt	франкфурт	N;MASC;SG	PROPN;INDF;MASC;SG
inovação	иновации	inovação	иновация	N;FEM;SG	N;INDF;FEM;PL
florida	флорида	florida	флорида	N;FEM;SG	PROPN;INDF;FEM;SG
falhas	провали	falha	провал	N;FEM;PL	V;PFV;IMP;SG;2;FIN
nbc	nbc	nbc	nbc	N;FEM;SG	PROPN;INDF;MASC;SG
meridional	южен	meridional	южен	ADJ;MASC;SG	N;INDF;MASC;SG
meridional	южни	meridional	южен	ADJ;MASC;SG	ADJ;INDF;PL
montana	монтана	montana	монтана	N;FEM;SG	PROPN;INDF;FEM;SG
fundir	обединяване	fundir	обединяване	V;NFIN	N;INDF;NEUT;SG
fundir	сливане	fundir	сливане	V;NFIN	N;INDF;NEUT;SG
suficientes	достатъчен	suficiente	достатъчен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
suficientes	достатъчна	suficiente	достатъчен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
telescópio	телескопи	telescópio	телескоп	N;MASC;SG	N;INDF;MASC;PL
historicamente	исторически	historicamente	исторически	ADV	ADJ;INDF;MASC;SG
alternativas	алтернатива	alternativa	алтернатива	N;FEM;PL	N;INDF;FEM;SG
alternativas	алтернативно	alternativa	алтернативно	N;FEM;PL	ADV
alternativas	алтернативен	alternativa	алтернативен	N;FEM;PL	ADJ;INDF;MASC;SG
alternativas	алтернативни	alternativa	алтернативен	N;FEM;PL	ADJ;INDF;PL
alternativas	алтернативна	alternativa	алтернативен	N;FEM;PL	ADJ;INDF;FEM;SG
dourado	златен	dourar	златен	V;MASC;SG;V.PTCP	ADJ;INDF;MASC;SG
dourado	златни	dourar	златен	V;MASC;SG;V.PTCP	ADJ;INDF;PL
dourado	златно	dourar	златен	V;MASC;SG;V.PTCP	ADV
dourado	златна	dourar	златен	V;MASC;SG;V.PTCP	ADJ;INDF;FEM;SG
dourado	златен	dourar	златен	V;MASC;SG;V.PTCP	ADJ;INDF;MASC;SG
dourado	златни	dourar	златен	V;MASC;SG;V.PTCP	ADJ;INDF;PL
dourado	златно	dourar	златен	V;MASC;SG;V.PTCP	ADV
dourado	златна	dourar	златен	V;MASC;SG;V.PTCP	ADJ;INDF;FEM;SG
dourado	злато	dourar	злато	V;MASC;SG;V.PTCP	N;INDF;NEUT;SG
bebê	мила	bebê	мил	N;MASC;SG	ADJ;INDF;FEM;SG
bebê	скъпа	bebê	скъп	N;MASC;SG	ADJ;INDF;FEM;SG
