emma	emma	emma	emma	PROPN	N;NOM;FEM;SG
automata	automātiskais	automată	automātisks	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
automata	automātisks	automată	automātisks	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
refugiati	bēgļi	refugia	bēglis	ADJ;INDF;MASC;PL	N;NOM;MASC;PL
refugiati	bēgļi	refugia	bēglis	ADJ;INDF;MASC;PL	N;NOM;MASC;PL
fereastra	logu	fereastră	logs	N;DEF;FEM;SG	N;ACC;MASC;SG
fereastra	logā	fereastră	logs	N;DEF;FEM;SG	N;ESS;MASC;SG
fereastra	logs	fereastră	logs	N;DEF;FEM;SG	N;NOM;MASC;SG
fereastra	loga	fereastră	logs	N;DEF;FEM;SG	N;GEN;MASC;SG
fereastra	logu	fereastră	logs	N;DEF;FEM;SG	N;ACC;MASC;SG
fereastra	logā	fereastră	logs	N;DEF;FEM;SG	N;ESS;MASC;SG
fereastra	logs	fereastră	logs	N;DEF;FEM;SG	N;NOM;MASC;SG
fereastra	loga	fereastră	logs	N;DEF;FEM;SG	N;GEN;MASC;SG
propaganda	propaganda	propagandă	propagands	N;DEF;FEM;SG	N;NOM;FEM;SG
propaganda	propagandas	propagandă	propaganda	N;DEF;FEM;SG	N;NOM;FEM;PL
propaganda	propaganda	propagandă	propagands	N;DEF;FEM;SG	N;NOM;FEM;SG
propaganda	propagandas	propagandă	propaganda	N;DEF;FEM;SG	N;NOM;FEM;PL
dominat	dominē	domina	dominēt	ADJ;INDF;MASC;SG	V;FH;IND;3;POS;PRS;FIN;ACT
dominat	dominēja	domina	dominēt	ADJ;INDF;MASC;SG	V;FH;IND;3;POS;PST;FIN;ACT
creasca	augt	crească	augt	N;DEF;FEM;SG	V;POS;NFIN
rebel	nemiernieku	rebel	nemiernieks	ADJ;INDF;MASC;SG	N;ACC;MASC;SG
ccd	csi	ccd	csis	N	
lantul	ķēde	lant	ķēde	N;DEF;MASC;SG	N;NOM;FEM;SG
lantul	ķēdes	lant	ķēde	N;DEF;MASC;SG	N;NOM;FEM;PL
uruguay	urugvaja	uruguay	urugva	PROPN	
uruguay	urugvajas	uruguay	urugva	PROPN	PROPN;NOM;FEM;SG
pascal	pascal	pascal	pascalēt	N;INDF;MASC;SG	
iugoslaviei	dienvidslāvijas	iugoslavie	dienvidslāvija	PROPN;DEF;FEM;SG	N;NOM;FEM;PL
preluarea	ielādē	preluare	ielādēt	N;DEF;FEM;SG	N;ESS;FEM;SG
preluarea	pārņemšanas	preluare	pārņemšana	N;DEF;FEM;SG	N;NOM;FEM;PL
preluarea	pārņemšana	preluare	pārņemšana	N;DEF;FEM;SG	N;NOM;FEM;SG
semneaza	zīme	semneaza	zīme	V;IND;SG;3;IPFV;FIN	N;NOM;FEM;SG
semneaza	zīme	semneaza	zīme	V;IND;SG;3;IPFV;FIN	N;NOM;FEM;SG
palermo	palermo	palermo	palermot	N;INDF;MASC;SG	PROPN
hugh	hjū	hugh	hjū	PROPN	
termica	termiskā	termica	termiska	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
laos	laosas	laos	laosa	ADV	N;NOM;FEM;PL
argumentele	argumentus	argument	arguments	N;DEF;FEM;PL	N;ACC;MASC;PL
argumentele	argumenti	argument	arguments	N;DEF;FEM;PL	N;NOM;MASC;PL
fir	pavedieni	fir	pavediens	N;INDF;MASC;SG	N;NOM;MASC;PL
legiunea	leģiona	legiune	leģions	N;DEF;FEM;SG	N;GEN;MASC;SG
localizata	atrodas	localizat	atrasties	ADJ;DEF;FEM;SG	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
localizata	lokalizēta	localizat	lokalizēt	ADJ;DEF;FEM;SG	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
localizata	lokāls	localizat	lokāls	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;SG
triburile	ciltis	trib	cilts	N;DEF;FEM;PL	N;NOM;FEM;PL
mon	mon	mon	monētm		
lisa	lisa	lisa	list	N;DEF;FEM;SG	PROPN;NOM;FEM;SG
pasarile	putni	pasarilă	putnis	N;DEF;FEM;PL	N;NOM;MASC;PL
pasarile	putniem	pasarilă	putns	N;DEF;FEM;PL	N;DAT;MASC;PL
pasarile	putni	pasarilă	putnis	N;DEF;FEM;PL	N;NOM;MASC;PL
pasarile	putniem	pasarilă	putns	N;DEF;FEM;PL	N;DAT;MASC;PL
arcul	tauriņi	arc	tauriņš	N;DEF;MASC;SG	N;NOM;MASC;PL
square	kvadrātveida	square	kvadrātveida	N;INDF;MASC;SG	
doc	dok	doc	dok		
doc	doktors	doc	doktors		N;NOM;MASC;SG
doc	doc	doc	dok		N
incet	lēnām	incet	lēnām		ADV
incet	lēni	incet	lēni		ADV
call	saukt	call	saukt	N;INDF;MASC;SG	V;POS;NFIN
cerul	debesis	cer	debess	N;DEF;MASC;SG	N;NOM;FEM;PL
cerul	sky	cer	sky	N;DEF;MASC;SG	
esentiale	būtiska	esential	būtiska	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
esentiale	būtiski	esential	būtiski	ADJ;INDF;FEM;PL	ADV
esentiale	būtisks	esential	būtisks	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
transferul	pārvietošana	transfer	pārvietošana	N;DEF;MASC;SG	N;NOM;FEM;SG
transferul	nodošana	transfer	nodošana	N;DEF;MASC;SG	N;NOM;FEM;SG
transferul	nodošanas	transfer	nodošana	N;DEF;MASC;SG	N;NOM;FEM;PL
transferul	pārsūtīšana	transfer	pārsūtīšana	N;DEF;MASC;SG	N;NOM;FEM;SG
creatorul	radītāju	creator	radītājs	N;DEF;MASC;SG	N;ACC;MASC;SG
creatorul	radītājs	creator	radītājs	N;DEF;MASC;SG	N;NOM;MASC;SG
creatorul	radītāja	creator	radītāja	N;DEF;MASC;SG	N;NOM;FEM;SG
companiile	uzņēmējsabiedrības	companie	uzņēmējsabiedrība	N;DEF;FEM;PL	N;NOM;FEM;PL
companiile	kompānijas	companie	kompānija	N;DEF;FEM;PL	N;NOM;FEM;PL
companiile	uzņēmumi	companie	uzņēmums	N;DEF;FEM;PL	N;NOM;MASC;PL
silvia	silvia	silvie	silvis	N;DEF;FEM;SG	PROPN;NOM;FEM;SG
silvia	silvija	silvie	silvija	N;DEF;FEM;SG	N;NOM;FEM;SG
silvia	silvija	silvie	silvija	N;DEF;FEM;SG	N;NOM;FEM;SG
gibson	gibsons	gibson	gibsons	PROPN	N;NOM;MASC;SG
inconjurata	ieskauj	inconjurat	ieskaut	ADJ;DEF;FEM;SG	V;FH;IND;3;POS;PRS;FIN;ACT
viktor	viktor	viktor	viktor	PROPN	
viktor	viktors	viktor	viktors	PROPN	N;NOM;MASC;SG
adulti	pieaugušajiem	adult	pieaugušais		V;PFV;DAT;DEF;MASC;PL;PST;V.PTCP
adulti	pieaugušiem	adult	pieaugt		V;PFV;DAT;INDF;MASC;PL;PST;V.PTCP
adulti	pieaugušie	adult	pieaugušais		V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
adulti	pieaugušo	adult	pieaugt		V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
adulti	pieaugušie	adult	pieaugušais		V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
adulti	pieauguši	adult	pieaugt		V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
adulti	pieaugušais	adult	pieaugt		V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
adulti	pieaugušajiem	adult	pieaugušais		V;PFV;DAT;DEF;MASC;PL;PST;V.PTCP
adulti	pieaugušiem	adult	pieaugt		V;PFV;DAT;INDF;MASC;PL;PST;V.PTCP
adulti	pieaugušie	adult	pieaugušais		V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
estadio	estadio	estadio	estadio	PROPN	
atribuita	piešķirtie	atribuit	piešķirt	N;DEF;FEM;SG	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
atribuita	piešķirts	atribuit	piešķirt	N;DEF;FEM;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
atribuita	piešķirti	atribuit	piešķirt	N;DEF;FEM;SG	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
wood	koksne	wood	koksne	PROPN	N;NOM;FEM;SG
wood	koks	wood	koks	PROPN	N;NOM;MASC;SG
wood	koka	wood	koks	PROPN	N;GEN;MASC;SG
wood	kokmateriāli	wood	kokmateriāli	PROPN	N;NOM;MASC;PL
geo	geo	geo	geo	N;INDF;MASC;SG	
coordonatele	koordinātas	coordonată	koordināt	N;DEF;FEM;PL	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
coordonatele	koordinātes	coordonată	koordināte	N;DEF;FEM;PL	N;NOM;FEM;PL
johan	johan	johan	johan	PROPN	
johan	johans	johan	johans	PROPN	PROPN;NOM;MASC;SG
santos	santos	santos	sants	PROPN	
gif	gif	gif	gif	N;INDF;MASC;SG	
credit	credit	credit	credit	N;INDF;MASC;SG	
simfonia	simfonijas	simfonie	simfonija	N;DEF;FEM;SG	N;NOM;FEM;PL
visul	sapnis	vis	sapnis	N;DEF;MASC;SG	N;NOM;MASC;SG
visul	sapņot	vis	sapņot	N;DEF;MASC;SG	V;POS;NFIN
eddie	edijs	eddie	edijs	PROPN	N;NOM;MASC;SG
mir	mir	mir	mirt		PROPN
pescuit	zvejas	pescuit	zveja	N;INDF;MASC;SG	N;NOM;FEM;PL
proportie	proporcija	proportie	proporcija	N;INDF;FEM;SG	N;NOM;FEM;SG
opozitia	opozīcijas	opozitie	opozīcija	N;DEF;FEM;SG	N;NOM;FEM;PL
opozitia	iebildumi	opozitie	iebildums	N;DEF;FEM;SG	N;NOM;MASC;PL
opozitia	opozīcija	opozitie	opozīcija	N;DEF;FEM;SG	N;NOM;FEM;SG
jorge	jorge	jorge	jorge	PROPN	
atribuite	piešķirtie	atribuit	piešķirt	ADJ;INDF;FEM;PL	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
atribuite	piešķirts	atribuit	piešķirt	ADJ;INDF;FEM;PL	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
atribuite	piešķirti	atribuit	piešķirt	ADJ;INDF;FEM;PL	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
bursa	stipendiju	bursă	stipendija	N;DEF;FEM;SG	N;ACC;FEM;SG
bursa	stipendiju	bursă	stipendija	N;DEF;FEM;SG	N;ACC;FEM;SG
bursa	bursa	bursă	bursa	N;DEF;FEM;SG	N;NOM;FEM;SG
bursa	stipendiju	bursă	stipendija	N;DEF;FEM;SG	N;ACC;FEM;SG
reciproc	abpusēja	reciproc	abpusēja	ADV	ADJ;NOM;FEM;SG
reciproc	savstarpēja	reciproc	savstarpēja	ADV	ADJ;NOM;FEM;SG
reciproc	savstarpēju	reciproc	savstarpēja	ADV	ADJ;ACC;MASC;SG
extra	ārējs	extra	ārējs		ADJ;NOM;MASC;SG
extra	ekstra	extra	ekstrs		
extra	papildu	extra	papildu		N
extra	extra	extra	extra		
avansate	paplašināti	avansat	paplašināt	ADJ;INDF;FEM;PL	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
avansate	progresējošu	avansat	progresēt	ADJ;INDF;FEM;PL	V;IPFV;ACC;INDF;MASC;SG;PRS;V.PTCP;PASS
antena	trauku	antena	trauks	N;DEF;FEM;SG	N;ACC;MASC;SG
antena	antena	antena	antena	N;DEF;FEM;SG	N;NOM;FEM;SG
antena	antenas	antena	antena	N;DEF;FEM;SG	N;NOM;FEM;PL
antena	antena	antena	antena	N;DEF;FEM;SG	N;NOM;FEM;SG
antena	antenas	antena	antena	N;DEF;FEM;SG	N;NOM;FEM;PL
umbra	ēnas	umbră	ēna	N;DEF;FEM;SG	N;NOM;FEM;PL
umbra	ēnu	umbră	ēna	N;DEF;FEM;SG	N;ACC;FEM;SG
umbra	ēna	umbră	ēna	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	ēnā	umbră	ēna	N;DEF;FEM;SG	N;ESS;FEM;SG
umbra	ēnas	umbră	ēna	N;DEF;FEM;SG	N;NOM;FEM;PL
umbra	ēnu	umbră	ēna	N;DEF;FEM;SG	N;ACC;FEM;SG
umbra	ēna	umbră	ēna	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	ēnā	umbră	ēna	N;DEF;FEM;SG	N;ESS;FEM;SG
vocala	patskanis	vocală	patskanis	N;DEF;FEM;SG	N;NOM;MASC;SG
vocala	patskanis	vocală	patskanis	N;DEF;FEM;SG	N;NOM;MASC;SG
omorat	nogalināti	omora	nogalināt	ADJ;INDF;MASC;SG	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
omorat	nogalināts	omora	nogalināt	ADJ;INDF;MASC;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
omorat	nogalinājis	omora	nogalināt	ADJ;INDF;MASC;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
omorat	nogalināja	omora	nogalināt	ADJ;INDF;MASC;SG	V;FH;IND;3;POS;PST;FIN;ACT
marturii	liecība	marturie	liecība	N;INDF;FEM;PL	N;NOM;FEM;SG
falls	nokrīt	fall	nokrist	PROPN	V;FH;IND;3;POS;PRS;FIN;ACT
falls	krīt	fall	krist	PROPN	V;FH;IND;3;POS;PRS;FIN;ACT
falls	iekrīt	fall	iekrist	PROPN	V;FH;IND;3;POS;PRS;FIN;ACT
paraná	parana	paraná	paranīt	PROPN	N;NOM;MASC;SG
transformare	transformācija	transformare	transformācija	N;INDF;FEM;SG	N;NOM;FEM;SG
transformare	pārveidošanās	transformare	pārveidošanās	N;INDF;FEM;SG	N;NOM;FEM;SG
transformare	pārveidošana	transformare	pārveidošana	N;INDF;FEM;SG	N;NOM;FEM;SG
transformare	transformācijas	transformare	transformācija	N;INDF;FEM;SG	N;NOM;FEM;PL
transformare	pārveide	transformare	pārveide	N;INDF;FEM;SG	N;NOM;FEM;SG
academica	akadēmiskā	academică	akadēmiska	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
academica	akadēmiskais	academică	akadēmisks	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
promoveaza	veicinātu	promoveaza	veicināt	V;IND;SG;3;IPFV;FIN	V;COND;POS;FIN;ACT
digitale	ciparu	digital	cipars	ADJ;INDF;FEM;PL	N;ACC;MASC;SG
digitale	digitālā	digital	digitāls	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
digitale	digitālais	digital	digitāls	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
grafic	grafikā	grafic	grafika	ADV	N;ESS;MASC;SG
grafic	grafiks	grafic	grafiks	ADV	N;NOM;MASC;SG
grafic	grafiskā	grafic	grafiska	ADV	ADJ;NOM;FEM;SG
grafic	diagramma	grafic	diagramma	ADV	N;NOM;FEM;SG
antrenori	treneru	antrenor	treneris	N;INDF;MASC;PL	N;ACC;MASC;SG
antrenori	pasniedzēju	antrenor	pasniedzēja	N;INDF;MASC;PL	N;ACC;MASC;SG
contul	konts	cont	konts	N;DEF;MASC;SG	N;NOM;MASC;SG
pedeapsa	sods	pedeapsă	sods	N;DEF;FEM;SG	N;NOM;MASC;SG
pedeapsa	soda	pedeapsă	sods	N;DEF;FEM;SG	N;GEN;MASC;SG
pedeapsa	sods	pedeapsă	sods	N;DEF;FEM;SG	N;NOM;MASC;SG
pedeapsa	sods	pedeapsă	sods	N;DEF;FEM;SG	N;NOM;MASC;SG
pedeapsa	soda	pedeapsă	sods	N;DEF;FEM;SG	N;GEN;MASC;SG
pedeapsa	sods	pedeapsă	sods	N;DEF;FEM;SG	N;NOM;MASC;SG
sevilla	sevilla	sevilla	sevilla	PROPN	PROPN;NOM;FEM;SG
sevilla	seviljā	sevilla	seviljs	PROPN	N;ESS;FEM;SG
domnule	kungs	domn	kungs	N;VOC;DEF;MASC;SG	N;NOM;MASC;SG
domnule	ser	domn	ser	N;VOC;DEF;MASC;SG	
definite	definēta	definit	definēt	ADJ;INDF;FEM;PL	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
definite	definētas	definit	definēt	ADJ;INDF;FEM;PL	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
definite	definē	definit	definēt	ADJ;INDF;FEM;PL	V;FH;IND;3;POS;PRS;FIN;ACT
definite	definēti	definit	definēt	ADJ;INDF;FEM;PL	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
definite	definēts	definit	definēt	ADJ;INDF;FEM;PL	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
pauza	pauze	pauză	pauze	N;DEF;FEM;SG	N;NOM;FEM;SG
pauza	pārrāvums	pauză	pārrāvums	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	lauzt	pauză	lauzt	N;DEF;FEM;SG	V;POS;NFIN
pauza	pārtraukums	pauză	pārtraukums	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	salauzt	pauză	salauzt	N;DEF;FEM;SG	V;POS;NFIN
pauza	pārrāvums	pauză	pārrāvums	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	lauzt	pauză	lauzt	N;DEF;FEM;SG	V;POS;NFIN
pauza	pārtraukums	pauză	pārtraukums	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	salauzt	pauză	salauzt	N;DEF;FEM;SG	V;POS;NFIN
pauza	pauze	pauză	pauze	N;DEF;FEM;SG	N;NOM;FEM;SG
seminarul	seminārs	seminar	seminārs	N;DEF;MASC;SG	N;NOM;MASC;SG
globala	globālā	globală	globāls	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
globala	globālie	globală	globāls	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;PL
globala	globāli	globală	globālis	ADJ;DEF;FEM;SG	ADV
globala	globālais	globală	globāls	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;SG
globala	globāla	globală	globāls	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
torre	torre	torre	torre	PROPN	
conan	conan	conan	conan	PROPN	
brescia	brescia	brescie	bresci	PROPN	
circuitul	ķēde	circuit	ķēde	N;DEF;MASC;SG	N;NOM;FEM;SG
circuitul	trase	circuit	trase	N;DEF;MASC;SG	N;NOM;FEM;SG
infrant	pieveica	infrant	pieveikt		V;FH;IND;3;POS;PST;FIN;ACT
ferrara	ferrāras	ferrara	ferrāra	PROPN	PROPN;NOM;FEM;PL
string	virkne	stringe	virkne		N;NOM;FEM;SG
julian	julian	julian	julian	N;INDF;MASC;SG	
mandatului	mandāts	mandat	mandāts	N;DEF;MASC;SG	N;NOM;MASC;SG
mandatului	pilnvaras	mandat	pilnvara	N;DEF;MASC;SG	N;NOM;FEM;PL
collins	kolinss	collins	kolinss	PROPN	N;NOM;MASC;SG
ontario	ontario	ontario	ontario	PROPN	
valoroase	vērtīga	valoros	vērtīga	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
valoroase	vērtīgs	valoros	vērtīgs	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
valoroase	vērtīgu	valoros	vērtīgs	ADJ;INDF;FEM;PL	ADJ;ACC;MASC;SG
valoroase	vērtīgi	valoros	vērtīgi	ADJ;INDF;FEM;PL	ADV
manifestat	izpaudās	manifesta	izpausties	ADJ;INDF;MASC;SG	V;FH;IND;3;POS;REFL;PST;FIN;ACT
reclama	komerciāls	reclama	komerciāls	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
reclama	komerciālais	reclama	komerciāls	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
reclama	komerciālie	reclama	komerciāls	N;DEF;FEM;SG	ADJ;NOM;MASC;PL
reclama	komerciālā	reclama	komerciāla	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
reclama	komerciāli	reclama	komerciāli	N;DEF;FEM;SG	ADV
reclama	reklāma	reclama	reklāma	N;DEF;FEM;SG	N;NOM;FEM;SG
tong	tong	tong	tong	PROPN	
comunicatii	komunikācija	comunicat	komunikācija		N;NOM;FEM;SG
comunicatii	sakari	comunicat	sakars		N;NOM;MASC;PL
comunicatii	paziņojumi	comunicat	paziņojums		N;NOM;MASC;PL
comunicatii	saziņa	comunicat	saziņa		N;NOM;FEM;SG
comunicatii	komunikāciju	comunicat	komunikācija		N;ACC;FEM;SG
comunicatii	komunikācijas	comunicat	komunikācija		N;NOM;FEM;PL
manga	manga	manga	manga		
indo	indo	indo	indo		
marketing	tirdzniecības	marketing	tirdzniecība	N;INDF;MASC;SG	N;NOM;FEM;PL
montreal	monreālas	montreal	monreāla	PROPN	N;NOM;FEM;PL
scade	samazinājums	scădea	samazinājums	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
cheia	galvenais	cheie	galvenais	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
cheia	atslēga	cheie	atslēgt	N;DEF;FEM;SG	N;NOM;FEM;SG
cheia	taustiņš	cheie	taustiņš	N;DEF;FEM;SG	N;NOM;MASC;SG
britannica	britannica	britannic	britannica	N;DEF;FEM;SG	
mecanice	mehāniskais	mecanic	mehānisks	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
mecanice	mehāniska	mecanic	mehāniska	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
mecanice	mehāniskā	mecanic	mehāniska	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
mobil	mobilo	mobil	mobils	N;INDF;MASC;SG	ADJ;ACC;MASC;SG
mobil	mobilais	mobil	mobils	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
schi	slēpju	schi	slēpt	N;INDF;MASC;SG	N;GEN;MASC
fondarea	dibināšanas	fondare	dibināšana	N;DEF;FEM;SG	N;NOM;FEM;PL
depozite	noliktavas	depozit	noliktava	N;INDF;FEM;PL	N;NOM;FEM;SG
fictiv	izdomāts	fictiv	izdomāt	ADJ;INDF;MASC;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
aeroport	lidostas	aeroport	lidosta	N;INDF;MASC;SG	N;NOM;FEM;PL
talentul	talantu	talent	talants	N;DEF;MASC;SG	N;ACC;MASC;SG
