amanda	amanda	amandama	amanda	N;NOM;SG	PROPN;NOM;MASC;SG
kandja	netzbetreiber	kandja	netzbetreiber	N;NOM;SG	
kandja	träger	kandja	träger	N;NOM;SG	ADJ
kandja	carrier	kandja	carrier	N;NOM;SG	PROPN
kandja	fluggesellschaft	kandja	fluggesellschaft	N;NOM;SG	ADJ
ühendamine	verschmelzen	ühendamine	verschmelzen	N;NOM;SG	V;NFIN
ühendamine	zusammenführen	ühendamine	zusammenführen	N;NOM;SG	V;NFIN
ühendamine	verbinden	ühendamine	verbinden	N;NOM;SG	V;NFIN
ühendamine	zusammenführung	ühendamine	zusammenführung	N;NOM;SG	ADJ
ühendamine	mount	ühendamine	mounen	N;NOM;SG	PROPN
ühendamine	besteigen	ühendamine	besteigen	N;NOM;SG	V;NFIN
ühendamine	berg	ühendamine	berg	N;NOM;SG	PROPN;NOM;MASC;SG
ühendamine	montieren	ühendamine	montieren	N;NOM;SG	V;NFIN
ühendamine	einbinden	ühendamine	einbinden	N;NOM;SG	V;NFIN
ühendamine	zusammenführung	ühendamine	zusammenführung	N;NOM;SG	ADJ
ühendamine	übertragenden	ühendamine	übertragend	N;NOM;SG	V;PL;3;FIN
ühendamine	verschmelzen	ühendamine	verschmelzen	N;NOM;SG	V;NFIN
ühendamine	zusammenfassen	ühendamine	zusammenfassen	N;NOM;SG	V;V.PTCP
ühendamine	zusammenführen	ühendamine	zusammenführen	N;NOM;SG	V;NFIN
katta	cover	katma	cover	V;NFIN	PROPN
katta	umschlag	katma	umschlagen	V;NFIN	
katta	abdeckung	katma	abdeckung	V;NFIN	N;NOM;SG
katta	deckung	katma	deckung	V;NFIN	ADV
struktuurid	strukturen	struktuur	struktur	N;NOM;PL	V;NFIN
struktuurid	bauwerke	struktuur	bauwerk	N;NOM;PL	
sõnavara	wörterbuch	sõna_vara	wörterbuch	N;NOM;SG	ADJ
sõnavara	wortschatz	sõna_vara	wortschatz	N;NOM;SG	ADJ
kellelt	vom	kes	vom	PRO;AT+ABL;SG	
kellelt	von	kes	von	PRO;AT+ABL;SG	ADP
kellelt	ab	kes	ab	PRO;AT+ABL;SG	ADP
kellelt	aus	kes	aus	PRO;AT+ABL;SG	ADP
koosolek	treffen	koos_olek	treffen	N;NOM;SG	V;NFIN
filiaal	zweig	filiaal	zweig	N;NOM;SG	
filiaal	zweigstelle	filiaal	zweigstellen	N;NOM;SG	ADJ;NOM;FEM;SG
filiaal	zweigniederlassung	filiaal	zweigniederlassung	N;NOM;SG	ADJ
filiaal	niederlassung	filiaal	niederlassung	N;NOM;SG	ADJ
navarra	navarra	navarra	navarra	ADJ	PROPN;NOM;SG
tobias	tobias	tobias	tobias	N;NOM;SG	PROPN;NOM;MASC;SG
surra	stirb	surema	sterben	V;NFIN	PROPN
design	planung	design	planung	N;NOM;SG	ADJ
emanuel	emanuel	emanu	emanuel	N;NOM;SG	PROPN;NOM;MASC;SG
kataloog	verzeichnis	kataloog	verzeichnis	N;NOM;SG	
kataloog	verzeichnisse	kataloog	verzeichnis	N;NOM;SG	
kataloog	verzeichnis	kataloog	verzeichnis	N;NOM;SG	
kataloog	heft	kataloog	hefen	N;NOM;SG	
kataloog	produktkatalog	kataloog	produktkatalog	N;NOM;SG	ADJ
kataloog	katalog	kataloog	katalog	N;NOM;SG	ADJ
kataloog	kataloge	kataloog	katalog	N;NOM;SG	ADJ
aknad	windows	aken	windows	N;NOM;PL	PROPN;NOM;SG
aknad	schaufenster	aken	schaufenster	N;NOM;PL	ADJ
aknad	fenster	aken	fenster	N;NOM;PL	ADJ
aknad	scheiben	aken	scheiben	N;NOM;PL	V;NFIN
aknad	fenstern	aken	fenstern	N;NOM;PL	V;NFIN
poe	shop	pood	shop	N;PRT;SG	
poe	geschäft	pood	schäfen	N;PRT;SG	N;NOM;NEUT;SG
poe	einkaufen	pood	einkaufen	N;PRT;SG	V;NFIN
poe	poe	pood	poe	N;PRT;SG	PROPN;NOM;MASC;SG
sajandite	jahrhunderten	sajand	jahrhundert	N;GEN;PL	V;IND;PL;3;PST;FIN
sajandite	jahrhunderte	sajand	jahrhundert	N;GEN;PL	ADJ
jeffrey	jeffrey	jeffrey	jeffrey	N;NOM;SG	PROPN;NOM;MASC;SG
hesse	hessen	hess	hessen	N;NOM;SG	PROPN;NOM;NEUT;SG
hesse	hesse	hess	hessen	N;NOM;SG	PROPN;NOM;SG
teistsugune	verschieden	teist_sugune	verschieden	PRO;NOM;SG	ADJ
teistsugune	verschiedenen	teist_sugune	verschieden	PRO;NOM;SG	ADJ;NOM;PL
teistsugune	unterschiedliche	teist_sugune	unterschiedlich	PRO;NOM;SG	ADJ;NOM;FEM;PL
teistsugune	unterschiedlich	teist_sugune	unterschiedlich	PRO;NOM;SG	ADJ
teistsugune	verschiedene	teist_sugune	verschieden	PRO;NOM;SG	ADJ;NOM;FEM;PL
seksuaalse	sexuelle	seksuaalne	sexuell	ADJ;GEN;SG	ADJ;NOM;FEM;PL
saturn	saturn	saturn	saturn	N;NOM;SG	PROPN;NOM;SG
joonis	abbildung	joonis	abbildung	N;NOM;SG	
joonis	diagramm	joonis	diagramm	N;NOM;SG	
joonis	abbildung	joonis	abbildung	N;NOM;SG	
joonis	diagramm	joonis	diagramm	N;NOM;SG	
joonis	abbildung	joonis	abbildung	N;NOM;SG	
joonis	skizze	joonis	skizz	N;NOM;SG	
joonis	feige	joonis	feig	N;NOM;SG	ADJ
joonis	abb	joonis	abb	N;NOM;SG	
joonis	feigen	joonis	feigen	N;NOM;SG	V;NFIN
joonis	zeichnen	joonis	zeichnen	N;NOM;SG	V;NFIN
inseneri	ingenieurwissenschaften	insener	ingenieurwissenschaften	N;GEN;SG	ADJ
inseneri	maschinenbau	insener	maschinenbau	N;GEN;SG	ADJ
inseneri	engineering	insener	engineering	N;GEN;SG	PROPN
inseneri	ingenieurwesen	insener	ingenieurwesen	N;GEN;SG	ADJ
inseneri	ingenieur	insener	ingenieur	N;GEN;SG	
kirjutaja	schriftsteller	kirjutaja	schriftsteller	N;NOM;SG	ADJ
kirjutaja	verfasser	kirjutaja	verfasser	N;NOM;SG	
kirjutaja	autorin	kirjutaja	autorin	N;NOM;SG	PROPN
kirjutaja	schriftstellerin	kirjutaja	schriftstellerin	N;NOM;SG	ADJ;NOM;FEM
kirjutaja	schreiber	kirjutaja	schreiber	N;NOM;SG	ADJ
kaitsmine	schützen	kaitsmine	schützen	N;NOM;SG	V;NFIN
kaitsmine	beschützen	kaitsmine	beschützen	N;NOM;SG	V;NFIN
täpsusega	genauigkeit	täpsus	genauigkeit	N;COM;SG	N;NOM;FEM;SG
täpsusega	präzises	täpsus	präzis	N;COM;SG	ADJ;NOM;NEUT;SG
täpsusega	präzise	täpsus	präzis	N;COM;SG	ADJ
täpsusega	präzision	täpsus	präzision	N;COM;SG	ADJ
nägemine	visionen	nägemine	vision	N;NOM;SG	N;NOM;PL
nägemine	leitbild	nägemine	leitbild	N;NOM;SG	
nägemine	vision	nägemine	vision	N;NOM;SG	
põhjalik	sorgfältige	põhjalik	sorgfältig	ADJ;NOM;SG	ADJ;NOM;FEM;PL
põhjalik	gründliche	põhjalik	gründlich	ADJ;NOM;SG	ADJ;NOM;FEM;PL
kaliningradi	königsberg	kaliningrama	königsberg	N;NOM;SG	ADJ
kaliningradi	kaliningrad	kaliningrama	kaliningrad	N;NOM;SG	PROPN
rhône	rhône	rhône	rhônen	N;NOM;SG	PROPN;NOM;SG
konventsiooni	abkommen	konventsioon	abkommen	N;PRT;SG	V;NFIN
konventsiooni	übereinkommen	konventsioon	übereinkommen	N;PRT;SG	V;NFIN
konventsiooni	konvent	konventsioon	konvent	N;PRT;SG	
konventsiooni	konvention	konventsioon	konvention	N;PRT;SG	
pakti	pakt	pakt	pakt	N;PRT;SG	PROPN
näitaja	viewer	näitaja	viewer	N;NOM;SG	
näitaja	zuschauer	näitaja	zuschauer	N;NOM;SG	ADV
näitaja	betrachter	näitaja	betrachter	N;NOM;SG	ADJ
näitaja	indikator	näitaja	indikator	N;NOM;SG	ADJ
meel	verstand	meel	verstehen	N;NOM;SG	
meel	mind	meel	mind	N;NOM;SG	
meel	geist	meel	geisen	N;NOM;SG	
bremen	niedersachsen	bremen	niedersachsen	N;NOM;SG	PROPN;NOM;NEUT;SG
bremen	bremen	bremen	bremen	N;NOM;SG	PROPN;NOM;NEUT;SG
williamsi	williams	williams	williams	N;NOM;SG	PROPN;NOM;MASC;SG
kapp	kleiderschrank	kapp	kleiderschrank	N;NOM;SG	ADJ
kapp	schrank	kapp	schrank	N;NOM;SG	
kapp	schrank	kapp	schrank	N;NOM;SG	
kapp	kabinett	kapp	kabinett	N;NOM;SG	PROPN
kapp	regierung	kapp	Regierung	N;NOM;SG	
sánchez	sánchez	sánchez	sánchez	N;NOM;SG	PROPN;NOM;MASC;SG
väliselt	extern	väliselt	extern	ADV	
väliselt	äußerlich	väliselt	äußerlich	ADV	ADJ
kuku	falle	kuku	fallen	N;NOM;SG	ADV
kuku	sturz	kuku	sturz	N;NOM;SG	
kuku	fallen	kuku	fallen	N;NOM;SG	V;NFIN
kuku	herbst	kuku	herbst	N;NOM;SG	ADV
kuku	fall	kuku	fall	N;NOM;SG	ADV
põhikiri	satzungen	põhi_kiri	satzung	N;NOM;SG	V;NFIN
põhikiri	statuten	põhi_kiri	statut	N;NOM;SG	V;PL;FIN
põhikiri	statut	põhi_kiri	statun	N;NOM;SG	
põhikiri	gesetze	põhi_kiri	gesetzen	N;NOM;SG	
põhikiri	satzungen	põhi_kiri	satzung	N;NOM;SG	V;NFIN
põhikiri	statuten	põhi_kiri	statut	N;NOM;SG	V;PL;FIN
cameron	cameron	cameron	cameron	N;NOM;SG	PROPN;NOM;MASC;SG
ulatuslikud	umfangreiches	ulatuslik	umfangreich	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
grace	anmut	grace	anmut	N;NOM;SG	
grace	gnade	grace	gnade	N;NOM;SG	
grace	grace	grace	grac	N;NOM;SG	PROPN;NOM;SG
thbilisi	tiflis	thbiline	tiflis	N;PRT;PL	PROPN;NOM;MASC;SG
auk	loch	auk	loch	N;NOM;SG	ADV
auk	hole	auk	holen	N;NOM;SG	
auk	pit	auk	pit	N;NOM;SG	
auk	grube	auk	grab	N;NOM;SG	
nižni	nischni	nižn	nischni	N;NOM;SG	PROPN;NOM;SG
koerad	hunden	koer	hunden	N;NOM;PL	
koerad	hund	koer	hund	N;NOM;PL	N;NOM;MASC;SG
koerad	hunde	koer	hund	N;NOM;PL	
võitlejad	kämpfer	võitleja	kämpfer	N;NOM;PL	ADJ
võitlejad	kombattanten	võitleja	kombattant	N;NOM;PL	
võitlejad	fighter	võitleja	fight	N;NOM;PL	ADJ
võitlejad	kämpfer	võitleja	kämpfer	N;NOM;PL	ADJ
zürich	zürich	zürich	zürich	N;NOM;SG	PROPN;NOM;MASC;SG
morris	morris	morr	morris	N;NOM;SG	PROPN;NOM;MASC;SG
kontserdil	konzert	kontsert	konzert	N;AT+ESS
;SG	ADJ
poliitikast	politik	poliitika	politik	N;IN+ABL;SG	ADJ
poliitikast	politiker	poliitika	politik	N;IN+ABL;SG	ADJ
friuli	friaul	friuli	friaul	N;NOM;SG	PROPN;NOM;SG
schumacher	schumacher	schumacher	schumach	N;NOM;SG	ADJ
cis	cis	cis	cis	N	
cis	gus	cis	gus	N	PROPN;NOM;MASC;SG
doyle	doyle	doyl	doyle	N;AT+ALL;SG	PROPN;NOM;MASC;SG
tagasiside	feedback	tagasi_side	feedback	N;NOM;SG	
tagasiside	rückmeldung	tagasi_side	rückmeldung	N;NOM;SG	ADJ
kõrvits	kürbis	kõrvits	kürbis	N;NOM;SG	
manfred	manfred	manfred	manfred	N;NOM;SG	PROPN;NOM;MASC;SG
toitainete	nährstoffe	toitaine	nährstoff	N;GEN;PL	
toitainete	nährstoff	toitaine	Nährstoff	N;GEN;PL	
toitainete	nährstoffen	toitaine	nährstoff	N;GEN;PL	V;FIN
toitainete	nährstoffe	toitaine	nährstoff	N;GEN;PL	
caspar	caspar	caspar	caspar	N;NOM;SG	PROPN;NOM;MASC;SG
caspar	kaspar	caspar	kaspar	N;NOM;SG	PROPN;NOM;MASC;SG
bobby	bobby	bobby	bobby	N;NOM;SG	PROPN;NOM;MASC;SG
simone	simone	simone	simone	N;NOM;SG	PROPN;NOM;FEM;SG
tenor	tenor	tenor	tenor	N;NOM;SG	
eemaldamine	entfernen	eemaldamine	entfernen	N;NOM;SG	V;NFIN
eemaldamine	entfernt	eemaldamine	entfernt	N;NOM;SG	ADJ
eemaldamine	entfernen	eemaldamine	entfernen	N;NOM;SG	V;NFIN
eemaldamine	entferne	eemaldamine	entfernen	N;NOM;SG	V;SG;FIN
eemaldamine	entfernung	eemaldamine	entfernung	N;NOM;SG	ADJ
eemaldamine	entfernen	eemaldamine	entfernen	N;NOM;SG	V;NFIN
ball	ball	ball	ball	N;NOM;SG	PROPN
ball	kugel	ball	kugeln	N;NOM;SG	
ball	bälle	ball	bäll	N;NOM;SG	ADJ
globaalne	weltweite	globaalne	weltweit	ADJ;NOM;SG	ADJ;NOM;FEM;PL
globaalne	globale	globaalne	global	ADJ;NOM;SG	ADJ;NOM;FEM;PL
key	taste	key	tasten	N;NOM;SG	
key	schlüssel	key	schlüssel	N;NOM;SG	ADJ
key	key	key	key	N;NOM;SG	
tõestatud	nachgewiesen	tõestama	nachweisen	ADJ;PST;V.PTCP;PASS	V;V.PTCP
tõestatud	bewährte	tõestama	bewährt	ADJ;PST;V.PTCP;PASS	V;IND;SG;3;PST;FIN
tõestatud	bewiesen	tõestama	beweisen	ADJ;PST;V.PTCP;PASS	V;V.PTCP
tõestatud	bewährt	tõestama	bewähren	ADJ;PST;V.PTCP;PASS	V;V.PTCP
toetajad	unterstützer	toetaja	unterstützer	N;NOM;PL	ADJ
toetajad	unterstützer	toetaja	unterstützer	N;NOM;PL	ADJ
toetajad	anhänger	toetaja	anhänger	N;NOM;PL	
toetajad	befürworter	toetaja	befürworter	N;NOM;PL	
vähk	krebserkrankungen	vähk	krebserkrankung	N;NOM;SG	N;NOM;FEM;PL
vähk	krebs	vähk	krebs	N;NOM;SG	
coq	coq	coq	coq	N;NOM;SG	PROPN;NOM;SG
ato	ato	ato	ato	N;NOM;SG	;SG
bahama	bahamas	bahama	bahamas	N;NOM;SG	PROPN;NOM;MASC;SG
bahama	fidschi	bahama	fidschi	N;NOM;SG	PROPN;NOM;SG
larsson	larsson	larsson	larsson	N;NOM;SG	PROPN
kandidatuuri	kandidatur	kandidatuur	kandidatur	N;PRT;SG	V;IND;SG;3;PST;FIN
kandidatuuri	benennung	kandidatuur	benennung	N;PRT;SG	ADJ
kandidatuuri	nominiert	kandidatuur	nominieren	N;PRT;SG	V;V.PTCP
kandidatuuri	ernennung	kandidatuur	ernennung	N;PRT;SG	ADJ;SG
kandidatuuri	nominierung	kandidatuur	nominierung	N;PRT;SG	N;NOM;FEM;SG
viola	viola	violama	viola	N;NOM;SG	
sept	september	sept	september	NUM	PROPN;SG
sept	sept	sept	sept	NUM	
ookean	ozean	ookean	ozean	N;NOM;SG	
ookean	ozeane	ookean	ozean	N;NOM;SG	
ookean	meer	ookean	meer	N;NOM;SG	ADJ
jäljed	schienen	jälg	schienen	N;NOM;PL	V;NFIN
jäljed	stücke	jälg	stücken	N;NOM;PL	
jäljed	titel	jälg	titel	N;NOM;PL	
jäljed	spuren	jälg	spur	N;NOM;PL	V;NFIN
jäljed	gebrauchsspuren	jälg	gebrauchsspuren	N;NOM;PL	ADJ
jäljed	traces	jälg	traces	N;NOM;PL	PROPN;SG
jäljed	spuren	jälg	spur	N;NOM;PL	V;NFIN
lyoni	lyon	lyon	lyon	N;NOM;SG	PROPN;NOM;SG
pravda	prawda	pravd	prawda	N;NOM;SG	PROPN;NOM;SG
kultuuriline	kulturelle	kultuuriline	kulturell	ADJ;NOM;SG	ADJ;NOM;FEM;PL
kohtumised	treffen	kohtumine	treffen	N;NOM;PL	V;NFIN
kohtumised	sitzungen	kohtumine	sitzung	N;NOM;PL	V;NFIN
vastupidine	inverse	vastu_pidine	invers	ADJ;NOM;SG	
vastupidine	umgekehrte	vastu_pidine	umgekehrt	ADJ;NOM;SG	ADJ;NOM;FEM;PL
vastupidine	reverse	vastu_pidine	reverse	ADJ;NOM;SG	PROPN
vastupidine	umkehr	vastu_pidine	umkehr	ADJ;NOM;SG	
vastupidine	umkehren	vastu_pidine	umkehren	ADJ;NOM;SG	V;NFIN
vastupidine	rückwärts	vastu_pidine	rückwärts	ADJ;NOM;SG	ADV
vastupidine	gegenteil	vastu_pidine	Gegenteil	ADJ;NOM;SG	ADV
vastupidine	gegenüber	vastu_pidine	gegenüber	ADJ;NOM;SG	ADP
bois	bois	bois	bois	N;NOM;SG	PROPN;SG
kilp	schilde	kilp	schild	N;NOM;SG	
kilp	schild	kilp	schild	N;NOM;SG	ADV
kilp	schutzschild	kilp	schutzschild	N;NOM;SG	ADJ
miami	miami	miam	miami	N;NOM;SG	PROPN;NOM;MASC;SG
sidemeid	verbände	side	verbänden	N;PRT;PL	N;NOM;PL
sidemeid	verbände	side	verbänden	N;PRT;PL	N;NOM;PL
sidemeid	verband	side	verbinden	N;PRT;PL	
sidemeid	bandagen	side	bandagen	N;PRT;PL	V;NFIN
tähelepanuväärne	bemerkenswerte	tähele_panu_väärne	bemerkenswert	ADJ;NOM;SG	ADJ;NOM;FEM;PL
abu	abu	abu	abu	N;NOM;SG	PROPN;NOM;MASC;SG
olof	olof	olof	olof	N;NOM;SG	PROPN;NOM;MASC;SG
magic	magie	magic	magie	N;NOM;SG	
magic	magic	magic	magic	N;NOM;SG	
magic	zauberei	magic	zauberei	N;NOM;SG	ADJ
magic	zauber	magic	zauber	N;NOM;SG	ADJ
vali	wähle	valima	wählen	V;IMP;SG;2;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
vali	auswahl	valima	auswahl	V;IMP;SG;2;PRS;FIN;ACT	N;NOM;SG
vali	wähle	valima	wählen	V;IMP;SG;2;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
hubble	hubble	hubblema	hubble	N;NOM;SG	PROPN;NOM;SG
osalus	partizipativen	osalus	partizipativ	N;NOM;SG	ADJ;ACC
osalus	partizipation	osalus	partizipation	N;NOM;SG	PROPN
osalus	teilnahme	osalus	teilnahme	N;NOM;SG	ADV
modifitseeritud	abgeändert	modifitseeri=tud	abändern	ADJ;PST;V.PTCP;PASS	V;V.PTCP
modifitseeritud	modifiziert	modifitseeri=tud	modifizieren	ADJ;PST;V.PTCP;PASS	V;V.PTCP
modifitseeritud	geändert	modifitseeri=tud	ändern	ADJ;PST;V.PTCP;PASS	V;V.PTCP
modifitseeritud	verändert	modifitseeri=tud	verändern	ADJ;PST;V.PTCP;PASS	V;V.PTCP
sigulda	sigulda	sigulda	sigulda	ADJ	PROPN
gregorio	gregorio	gregorio	gregorio	N;NOM;SG	PROPN;NOM;SG
glasgow	schottland	glasgow	schottland	N;NOM;SG	ADJ
glasgow	glasgow	glasgow	glasgow	N;NOM;SG	PROPN;NOM;SG
patricia	patricia	patricia	patricia	N;NOM;SG	PROPN;NOM;FEM;SG
quercus	quercus	quercus	quercus	N;NOM;SG	PROPN
vahemaa	abstand	vahe_maa	abstehen	N;NOM;SG	
vahemaa	entfernung	vahe_maa	entfernung	N;NOM;SG	ADJ
vahemaa	distanz	vahe_maa	distanz	N;NOM;SG	
vahemaa	entfernungen	vahe_maa	entfernung	N;NOM;SG	V;V.PTCP
karm	raue	karm	raue	ADJ;NOM;SG	
karm	harte	karm	hart	ADJ;NOM;SG	ADJ;NOM;FEM;PL
karm	harte	karm	hart	ADJ;NOM;SG	ADJ;NOM;FEM;PL
seimi	sejm	seim	sejm	N;PRT;SG	PROPN;NOM;MASC;SG
kauplus	shop	kauplus	shop	N;NOM;SG	
kauplus	einkaufen	kauplus	einkaufen	N;NOM;SG	V;NFIN
lähemale	enger	lähemale	eng	ADV	ADJ
lähemale	nähere	lähemale	nah	ADV	ADJ;NOM;FEM;SG
lähemale	näher	lähemale	nah	ADV	ADJ
koore	bellt	koor	bellen	N;GEN;SG	V;IND;SG;3;PRS;FIN
koore	bellen	koor	bellen	N;GEN;SG	
koore	rinde	koor	rinder	N;GEN;SG	
marja	berry	mari	berry	N;NOM;SG	PROPN;NOM;MASC;SG
marja	beeren	mari	beeren	N;NOM;SG	
sektsioon	sektion	sektsioon	sektion	N;NOM;SG	PROPN
sektsioon	bereich	sektsioon	bereich	N;NOM;SG	ADV
sektsioon	abschnitt	sektsioon	abschneiden	N;NOM;SG	ADV
huvid	interesse	huvi	interesse	N;NOM;PL	
huvid	zinssatz	huvi	zinssatz	N;NOM;PL	N;SG
huvid	zinsen	huvi	zinsen	N;NOM;PL	
huvid	zins	huvi	zins	N;NOM;PL	
huvid	interesse	huvi	interesse	N;NOM;PL	
mõõk	degen	mõõk	degen	N;NOM;SG	
mõõk	schwert	mõõk	schwern	N;NOM;SG	
ensüüm	enzyme	ensüüm	enzym	N;NOM;SG	
ensüüm	enzym	ensüüm	enzym	N;NOM;SG	
retseptorid	rezeptoren	retseptor	rezeptor	N;NOM;PL	
retseptorid	rezeptor	retseptor	rezeptor	N;NOM;PL	PROPN
retseptorid	rezeptoren	retseptor	rezeptor	N;NOM;PL	
retseptorid	rezeptor	retseptor	rezeptor	N;NOM;PL	PROPN
ülemineku	übergänge	üle_minek	übergängen	N;NOM;SG	ADJ
