nikjer	nicaieri	nikjer	nicaieri	ADV	
nameščena	montate	nameščen	monta	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;FEM;PL
nameščena	instalată	nameščen	instala	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
nameščena	instalate	nameščen	instala	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;FEM;PL
garda	garda	garda	gardă	N;NOM;FEM;SG	N;DEF;FEM;SG
garda	garda	garda	gardă	N;NOM;FEM;SG	N;DEF;FEM;SG
ločeni	separat	ločen	separat	ADJ;NOM;MASC;PL;V.PTCP	ADJ;INDF;MASC;SG
ločeni	divorțat	ločen	divorțat	ADJ;NOM;MASC;PL;V.PTCP	ADJ;INDF;MASC;SG
ločeni	divortat	ločen	divorta	ADJ;NOM;MASC;PL;V.PTCP	ADJ;INDF;MASC;SG
ločeni	separat	ločen	separat	ADJ;NOM;MASC;PL;V.PTCP	ADJ;INDF;MASC;SG
ločeni	separă	ločen	separa	ADJ;NOM;MASC;PL;V.PTCP	V;IND;SG;3;PST;FIN
ločeni	separată	ločen	separa	ADJ;NOM;MASC;PL;V.PTCP	ADJ;INDF;FEM;SG
šentvid	šentvid	šentvid	šentvid	PROPN;NOM;MASC;SG	
suzuki	suzuki	suzuk	suzuki	N;NOM;MASC;SG	PROPN
dansko	daneză	danski	daneză	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
dansko	danemarca	danski	danemarca	ADJ;NOM;NEUT;SG	PROPN
veriga	lanțul	veriga	lanț	N;NOM;FEM;SG	N;DEF;MASC;SG
hingis	hingis	hingis	hingis	N;NOM;MASC;SG	PROPN
reaktor	reactorul	reaktor	reactor	N;NOM;MASC;SG	N;DEF;MASC;SG
cleveland	cleveland	cleveland	cleveland	PROPN;NOM;MASC;SG	PROPN
usoda	destinul	usoda	destin	N;NOM;FEM;SG	N;DEF;MASC;SG
usoda	soarta	usoda	soartă	N;NOM;FEM;SG	N;DEF;FEM;SG
usoda	soartă	usoda	soartă	N;NOM;FEM;SG	N;INDF;FEM;SG
učinkovita	eficiente	učinkovit	eficient	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
učinkovita	eficienta	učinkovit	eficient	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
učinkovita	eficient	učinkovit	eficient	ADJ;NOM;FEM;SG	ADV
učinkovita	eficientă	učinkovit	eficient	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
učinkovita	eficientă	učinkovit	eficient	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
učinkovita	eficient	učinkovit	eficient	ADJ;NOM;FEM;SG	ADV
učinkovita	efectivă	učinkovit	efectiv	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
vesnina	vesnina	vesnina	vesnina	N;NOM;FEM;SG	N;DEF;FEM;SG
opisana	descrise	opisan	descrie	ADJ;NOM;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
opisana	descrisă	opisan	descris	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
prizadevanja	eforturile	prizadevanje	efort	N;NOM;NEUT;PL	N;DEF;FEM;PL
prizadevanja	efort	prizadevanje	efort	N;NOM;NEUT;PL	N;INDF;MASC;SG
prizadevanja	efortul	prizadevanje	efort	N;NOM;NEUT;PL	N;DEF;MASC;SG
bistvo	esență	bistvo	esență	N;NOM;NEUT;SG	N;INDF;FEM;SG
bistvo	esenta	bistvo	esent	N;NOM;NEUT;SG	N;DEF;FEM;SG
nicholas	nicholas	nicholas	nicholas	PROPN;NOM;MASC;SG	PROPN
nicholas	nicolae	nicholas	nicolae	PROPN;NOM;MASC;SG	PROPN
fazo	faza	faza	fază	N;ACC;FEM;SG	N;DEF;FEM;SG
fazo	fază	faza	fază	N;ACC;FEM;SG	N;INDF;FEM;SG
izpostavljenosti	expunere	izpostavljenost	expunere	N;GEN;FEM;SG	N;INDF;FEM;SG
izpostavljenosti	expunerea	izpostavljenost	expunere	N;GEN;FEM;SG	N;DEF;FEM;SG
izpostavljenosti	expunerile	izpostavljenost	expunere	N;GEN;FEM;SG	N;DEF;FEM;PL
izpostavljenosti	expuneri	izpostavljenost	expunere	N;GEN;FEM;SG	N;INDF;FEM;PL
talent	talente	talent	talent	N;NOM;MASC;SG	N;INDF;FEM;PL
talent	talentul	talent	talent	N;NOM;MASC;SG	N;DEF;MASC;SG
podrejen	supusă	podrejen	supus	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;SG
podrejen	subordonate	podrejen	subordonat	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;PL
podrejen	subordonată	podrejen	subordonat	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;SG
podrejen	subordonată	podrejen	subordonat	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;SG
podrejen	subordonate	podrejen	subordonat	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;FEM;PL
začetnik	începător	začetnik	începător	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
začetnik	începătoare	začetnik	începătoare	N;NOM;MASC;SG	ADJ;INDF;FEM
amsterdam	amsterdam	amsterda	amsterda	N;NOM;MASC;SG	PROPN
zelandija	zeelandă	zelandija	zeelandă	N;NOM;FEM;SG	N;INDF;FEM;SG
jez	dam	jez	da	N;NOM;MASC;SG	
jez	barajul	jez	baraj	N;NOM;MASC;SG	N;DEF;MASC;SG
party	petrecere	party	petrecere	N;NOM;MASC;SG	N;INDF;FEM;SG
dovoljenja	licențele	dovoljenje	licență	N;NOM;NEUT;PL	N;DEF;FEM;PL
dovoljenja	permise	dovoljenje	permite	N;NOM;NEUT;PL	V;IND;SG;3;PST;FIN
dovoljenja	permisele	dovoljenje	permite	N;NOM;NEUT;PL	N;DEF;FEM;PL
dovoljenja	permisiunile	dovoljenje	permisiune	N;NOM;NEUT;PL	N;DEF;FEM;PL
regij	regiunilor	regija	regiune	N;GEN;FEM;PL	N;DEF;FEM;PL
regij	regiunile	regija	regiune	N;GEN;FEM;PL	N;DEF;FEM;PL
pozitiven	pozitivă	pozitiven	pozitiv	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
pozitiven	pozitive	pozitiven	pozitiv	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;PL
galerije	galeriile	galerija	galerie	N;NOM;FEM;PL	N;DEF;FEM;PL
dež	ploaie	dež	ploaie	N;NOM;MASC;SG	N;INDF;FEM;SG
dež	plouă	dež	ploua	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
dež	ploi	dež	ploaie	N;NOM;MASC;SG	N;INDF;FEM;PL
dež	rain	dež	rain	N;NOM;MASC;SG	
ajdovščina	ajdovščina	ajdovščina	ajdovghină	N;NOM;FEM;SG	N;DEF;FEM;SG
nasledstvo	succesiune	nasledstvo	succesiune	N;NOM;NEUT;SG	N;INDF;FEM;SG
nasledstvo	succesiunea	nasledstvo	succesiune	N;NOM;NEUT;SG	N;DEF;FEM;SG
nasledstvo	mostenire	nasledstvo	mostenire	N;NOM;NEUT;SG	N;INDF;FEM;SG
nasledstvo	moștenire	nasledstvo	moștenire	N;NOM;NEUT;SG	N;INDF;FEM;SG
nasledstvo	moștenirea	nasledstvo	moștenire	N;NOM;NEUT;SG	N;DEF;FEM;SG
nasledstvo	moștenire	nasledstvo	moștenire	N;NOM;NEUT;SG	N;INDF;FEM;SG
nasledstvo	moștenirea	nasledstvo	moștenire	N;NOM;NEUT;SG	N;DEF;FEM;SG
tovor	încărcătură	tovor	încărcătură	N;NOM;MASC;SG	N;INDF;FEM;SG
tovor	încărcătura	tovor	încărcătură	N;NOM;MASC;SG	N;DEF;FEM;SG
tovor	mărfuri	tovor	marfă	N;NOM;MASC;SG	N;INDF;FEM;PL
razporeditev	distributie	razporeditev	distributie	N;NOM;FEM;SG	N;INDF;FEM;SG
razporeditev	distribuţia	razporeditev	distribugie	N;NOM;FEM;SG	N;DEF;FEM;SG
razporeditev	distribuția	razporeditev	distribuție	N;NOM;FEM;SG	N;DEF;FEM;SG
razporeditev	distribuire	razporeditev	distribuire	N;NOM;FEM;SG	N;INDF;FEM;SG
razporeditev	distribuție	razporeditev	distribuție	N;NOM;FEM;SG	N;INDF;FEM;SG
razporeditev	aranjamentul	razporeditev	aranjament	N;NOM;FEM;SG	N;DEF;MASC;SG
vdova	vaduva	vdova	vaduva	N;NOM;FEM;SG	N;DEF;FEM;SG
vdova	văduva	vdova	văduvă	N;NOM;FEM;SG	N;DEF;FEM;SG
vdova	văduvă	vdova	văduv	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
izbruh	epidemie	izbruh	epidemie	N;NOM;MASC;SG	N;INDF;FEM;SG
izbruh	izbucnire	izbruh	izbucnire	N;NOM;MASC;SG	N;INDF;FEM;SG
trikotnika	triunghiul	trikotnik	triunghi	N;NOM;MASC;SG	N;DEF;MASC;SG
davenport	davenport	davenport	davenport	N;NOM;MASC;SG	PROPN
kocka	cubul	kocka	cub	N;NOM;FEM;SG	N;DEF;MASC;SG
nižja	inferioară	nizek	inferior	ADJ;NOM;CMPR;FEM;SG	ADJ;INDF;FEM;SG
nenad	nenad	nenad	nenad	PROPN;NOM;MASC;SG	
stabilnost	stabilitate	stabilnost	stabilitate	N;NOM;FEM;SG	N;INDF;FEM;SG
stabilnost	stabilitatea	stabilnost	stabilitate	N;NOM;FEM;SG	N;DEF;FEM;SG
slatina	slatina	slatina	slatina	N;NOM;FEM;SG	PROPN
krst	botezul	krst	botez	N;NOM;MASC;SG	N;DEF;MASC;SG
kongo	congo	kong	congo	N;NOM;MASC;SG	PROPN
šiška	breton	šiški	breton	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
konflikt	conflictul	konflikt	conflict	N;NOM;MASC;SG	N;DEF;MASC;SG
konflikt	conflicte	konflikt	conflict	N;NOM;MASC;SG	N;INDF;FEM;PL
arabci	arabii	arabec	arabie	N;NOM;MASC;PL	N;DEF;MASC;PL
uniči	ruină	uničiti	ruină	V;PFV;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
uniči	ruina	uničiti	ruină	V;PFV;IND;SG;3;PRS;FIN	N;DEF;FEM;SG
razvito	dezvoltate	razvit	dezvoltat	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
razvito	dezvoltată	razvit	dezvolta	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
umetniška	artistice	umetniški	artistic	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
umetniška	artistică	umetniški	artistic	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
anja	anja	anja	anja	PROPN;NOM;FEM;SG	PROPN
anja	anya	anja	anya	PROPN;NOM;FEM;SG	PROPN
lyon	lyon	lyon	lyon	PROPN;NOM;MASC;SG	PROPN
breda	breda	breda	breda	PROPN;NOM;FEM;SG	PROPN
možen	posibile	možen	posibil	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;PL
možen	posibil	možen	posibil	ADJ;NOM;INDF;MASC;SG	ADV
možen	posibila	možen	posibil	ADJ;NOM;INDF;MASC;SG	ADJ;DEF;FEM;SG
možen	posibilă	možen	posibil	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
založnik	editura	založnik	editură	N;NOM;MASC;SG	N;DEF;FEM;SG
morris	morris	morris	morri	N;NOM;MASC;SG	PROPN
zlatko	zlatko	zlatko	zlatko	N;NOM;MASC;SG	
zlatko	goldy	zlatko	goldy	N;NOM;MASC;SG	
možje	sotii	mož	sot	N;NOM;MASC;PL	N;DEF;MASC;PL
možje	soti	mož	soti	N;NOM;MASC;PL	
možje	barbatii	mož	barbat	N;NOM;MASC;PL	N;DEF;MASC;PL
možje	barbati	mož	barba	N;NOM;MASC;PL	
pripravljena	gata	pripravljen	gata	ADJ;NOM;FEM;SG;V.PTCP	ADV
pripravljena	pregătită	pripravljen	pregătit	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
pripravljena	preparat	pripravljen	prepara	ADJ;NOM;FEM;SG;V.PTCP	N;INDF;MASC;SG
pripravljena	preparate	pripravljen	preparat	ADJ;NOM;FEM;SG;V.PTCP	N;INDF;FEM;PL
označevanje	marcarea	označevanje	marcare	N;NOM;NEUT;SG	N;DEF;FEM;SG
označevanje	marcare	označevanje	marcare	N;NOM;NEUT;SG	N;INDF;FEM;SG
označevanje	marcajul	označevanje	marcaj	N;NOM;NEUT;SG	N;DEF;MASC;SG
označevanje	etichetarea	označevanje	etichetare	N;NOM;NEUT;SG	N;DEF;FEM;SG
označevanje	etichetare	označevanje	etichetare	N;NOM;NEUT;SG	N;INDF;FEM;SG
označevanje	etichetarea	označevanje	etichetare	N;NOM;NEUT;SG	N;DEF;FEM;SG
označevanje	etichetare	označevanje	etichetare	N;NOM;NEUT;SG	N;INDF;FEM;SG
pionirski	pionierat	pionirski	pionierat	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
steven	steven	steven	steven	PROPN;NOM;MASC;SG	PROPN
eugene	eugene	eugen	eugen	N;NOM;MASC;SG	PROPN
firence	florenţa	firence	floreng	N;NOM;FEM;PL	PROPN
firence	florența	firence	florență	N;NOM;FEM;PL	N;DEF;FEM;SG
firence	florence	firence	florenc	N;NOM;FEM;PL	PROPN
firence	florenta	firence	florent	N;NOM;FEM;PL	N;DEF;FEM;SG
avtorske	copyright	avtorski	copyright	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
ron	ron	ron	ron	PROPN;NOM;MASC;SG	
obstoječe	existent	obstoječ	existent	ADJ;NOM;FEM;PL;V.PTCP	ADJ;INDF;MASC;SG
obstoječe	existentă	obstoječ	existent	ADJ;NOM;FEM;PL;V.PTCP	ADJ;INDF;FEM;SG
obstoječe	existând	obstoječ	exista	ADJ;NOM;FEM;PL;V.PTCP	V;V.MSDR
veleposlanik	ambasadorul	veleposlanik	ambasador	N;NOM;MASC;SG	N;DEF;MASC;SG
ista	același	isti	același	DET;NOM;FEM;SG	DET;MASC;SG;3
državljanstvo	cetățenie	državljanstvo	cetățenie	N;NOM;NEUT;SG	N;INDF;FEM;SG
državljanstvo	cetățenia	državljanstvo	cetățenie	N;NOM;NEUT;SG	N;DEF;FEM;SG
državljanstvo	cetățenie	državljanstvo	cetățenie	N;NOM;NEUT;SG	N;INDF;FEM;SG
državljanstvo	cetățenia	državljanstvo	cetățenie	N;NOM;NEUT;SG	N;DEF;FEM;SG
usta	gură	usta	gură	N;NOM;NEUT;PL	N;INDF;FEM;SG
usta	gura	usta	gură	N;NOM;NEUT;PL	N;DEF;FEM;SG
usta	gurii	usta	gură	N;NOM;NEUT;PL	N;DEF;FEM;SG
usta	gurile	usta	gură	N;NOM;NEUT;PL	N;DEF;FEM;PL
memorial	memorialul	memorial	memorial	N;NOM;MASC;SG	N;DEF;MASC;SG
uspešnosti	performanțe	uspešnost	performanță	N;GEN;FEM;SG	N;INDF;FEM;PL
uspešnosti	performanta	uspešnost	performant	N;GEN;FEM;SG	N;DEF;FEM;SG
uspešnosti	performanța	uspešnost	performanță	N;GEN;FEM;SG	N;DEF;FEM;SG
uspešnosti	performanță	uspešnost	performanță	N;GEN;FEM;SG	N;INDF;FEM;SG
poškodovana	răniți	poškodovan	răni	ADJ;NOM;FEM;SG;V.PTCP	V;IND;PL;2;IPFV;FIN
poškodovana	deteriorată	poškodovan	deteriora	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
poškodovana	avariate	poškodovan	avaria	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;FEM;PL
poškodovana	deteriorate	poškodovan	deteriorat	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;FEM;PL
rolls	rulouri	rolls	rulou	N;NOM;MASC;SG	N;INDF;FEM;PL
rolls	role	rolls	rouă	N;NOM;MASC;SG	N;INDF;FEM;PL
mas	mas	masa	mas		
mas	masele	masa	masă		N;DEF;FEM;PL
mas	mase	masa	masă		N;INDF;FEM;PL
mas	maselor	masa	masă		N;DEF;FEM;PL
trideset	thirty	trideset	thirty	NUM;NOM;PL	N
membrane	membrană	membran	membrană	N;NOM;FEM;PL	N;INDF;FEM;SG
membrane	membrana	membran	membrană	N;NOM;FEM;PL	N;DEF;FEM;SG
membrane	membranele	membran	membrană	N;NOM;FEM;PL	N;DEF;FEM;PL
središčem	centrat	središče	centra	N;DAT;NEUT;PL	ADJ;INDF;MASC;SG
mlado	tânără	mlad	tânăr	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
mlado	tinere	mlad	tânăr	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
mlado	young	mlad	young	ADJ;NOM;NEUT;SG	PROPN
mlado	tineri	mlad	tânăr	ADJ;NOM;NEUT;SG	N;INDF;MASC;PL
vsebinsko	conceptuală	vsebinsko	conceptual	ADV	ADJ;INDF;FEM;SG
sous	sous	sous	sous	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
anti	anti	anta	an	N;NOM;MASC;SG	
kazalo	indexul	kazati	index	V;IPFV;NEUT;SG;V.PTCP	N;DEF;MASC;SG
kazalo	index	kazati	index	V;IPFV;NEUT;SG;V.PTCP	
kazalo	indice	kazati	indica	V;IPFV;NEUT;SG;V.PTCP	
kazalo	indicele	kazati	indice	V;IPFV;NEUT;SG;V.PTCP	N;DEF;MASC;SG
situacijo	situatie	situacija	situatie	N;ACC;FEM;SG	N;INDF;FEM;SG
situacijo	situația	situacija	situație	N;ACC;FEM;SG	N;DEF;FEM;SG
situacijo	situaţia	situacija	situaţia	N;ACC;FEM;SG	N;DEF;FEM;SG
situacijo	situație	situacija	situație	N;ACC;FEM;SG	N;INDF;FEM;SG
wayne	wayne	wayen	waynă	PROPN;NOM;MASC;SG	PROPN
litiji	litiji	litija	litijă	PROPN;NOM;FEM;SG	
osvoboditev	eliberare	osvoboditev	eliberare	N;NOM;FEM;SG	N;INDF;FEM;SG
osvoboditev	eliberarea	osvoboditev	eliberare	N;NOM;FEM;SG	N;DEF;FEM;SG
zasnova	proiectare	zasnova	proiectare	N;NOM;FEM;SG	N;INDF;FEM;SG
zasnova	proiectarea	zasnova	proiectare	N;NOM;FEM;SG	N;DEF;FEM;SG
pomorsko	maritimă	pomorski	maritim	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
pomorsko	maritime	pomorski	maritim	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
howe	howe	how	howă	PROPN;NOM;MASC;SG	PROPN
pat	pat	pat	pat	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
zaloge	stocurile	zaloga	stoc	N;NOM;FEM;PL	N;DEF;FEM;PL
zaloge	proviziile	zaloga	provizie	N;NOM;FEM;PL	N;DEF;FEM;PL
zaloge	inventarele	zaloga	inventare	N;NOM;FEM;PL	N;DEF;FEM;PL
zaloge	stocul	zaloga	stoc	N;NOM;FEM;PL	N;DEF;MASC;SG
zaloge	stoc	zaloga	stoc	N;NOM;FEM;PL	N;INDF;MASC;SG
abeceda	alfabetul	abeceda	alfabet	N;NOM;FEM;SG	N;DEF;MASC;SG
topovi	tunurile	top	tun	N;NOM;MASC;PL	N;DEF;FEM;PL
topovi	armele	top	armă	N;NOM;MASC;PL	N;DEF;FEM;PL
zasede	ambuscada	zasesti	ambuscada	V;PFV;IND;SG;3;PRS;FIN	N;DEF;FEM;SG
zasede	ambuscadă	zasesti	ambuscadă	V;PFV;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
mleka	laptele	mleko	lapte	N;GEN;NEUT;SG	N;DEF;MASC;SG
mag	magus	maga	magus	PROPN;NOM;MASC;SG	PROPN
mag	mag	maga	mag	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
poletni	summer	poleten	summer	ADJ;NOM;DEF;MASC;SG	
poletni	vara	poleten	vară	ADJ;NOM;DEF;MASC;SG	N;DEF;FEM;SG
poletni	vară	poleten	vară	ADJ;NOM;DEF;MASC;SG	N;INDF;FEM;SG
molitev	rugăciuni	molitev	rugăciune	N;NOM;FEM;SG	N;INDF;FEM;PL
molitev	rugăciunile	molitev	rugăciune	N;NOM;FEM;SG	N;DEF;FEM;PL
molitev	rugăciune	molitev	rugăciune	N;NOM;FEM;SG	N;INDF;FEM;SG
molitev	rugăciunea	molitev	rugăciune	N;NOM;FEM;SG	N;DEF;FEM;SG
molitev	rugaciunea	molitev	rugaciune	N;NOM;FEM;SG	N;DEF;FEM;SG
molitev	rugaciune	molitev	rugaciune	N;NOM;FEM;SG	N;INDF;FEM;SG
prst	degetul	prst	deget	N;NOM;MASC;SG	N;DEF;MASC;SG
blato	fecale	blato	fecală	N;NOM;NEUT;SG	N;INDF;FEM;PL
postopno	treptată	postopno	treptat	ADV	ADJ;INDF;FEM;SG
postopno	progresive	postopno	progresiv	ADV	ADJ;INDF;FEM;PL
postopno	progresivă	postopno	progresiv	ADV	ADJ;INDF;FEM;SG
isonzo	isonzo	isonzo	isonzo	N;NOM;MASC;SG	
navdih	inspirată	navdih	inspira	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
navdih	inspirat	navdih	inspira	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
navdih	inspirație	navdih	inspirație	N;NOM;MASC;SG	N;INDF;FEM;SG
navdih	inspiratie	navdih	inspiratie	N;NOM;MASC;SG	N;INDF;FEM;SG
tabele	tabelele	tabela	tabel	N;NOM;FEM;PL	N;DEF;FEM;PL
abd	abd	abd	abde	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
študente	elevii	študent	elev	N;ACC;MASC;PL	N;DEF;MASC;PL
luč	lumină	luč	lumină	N;NOM;FEM;SG	N;INDF;FEM;SG
luč	light	luč	light	N;NOM;FEM;SG	
luč	lumina	luč	lumină	N;NOM;FEM;SG	N;DEF;FEM;SG
mehiški	mexicana	mehiški	mexicana	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
mehiški	mexicani	mehiški	mexican	ADJ;NOM;MASC;SG	N;INDF;MASC;PL
mehiški	mexicană	mehiški	mexican	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
mehiški	mexicane	mehiški	mexican	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
gozdni	forest	gozden	forest	ADJ;NOM;MASC;SG	PROPN
gozdni	pădurea	gozden	pădure	ADJ;NOM;MASC;SG	N;DEF;FEM;SG
gozdni	padure	gozden	padure	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
gozdni	pădure	gozden	pădure	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
bogovi	zeii	bog	zeu	N;NOM;MASC;PL	N;DEF;MASC;PL
bogovi	zeilor	bog	zeu	N;NOM;MASC;PL	N;DEF;MASC;PL
kupolo	cupola	kupolo	cupola	N;ACC;FEM;SG	N;DEF;FEM;SG
kupolo	domul	kupolo	dom	N;ACC;FEM;SG	N;DEF;MASC;SG
razširjeno	prelungită	razširjeno	prelungit	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;INDF;FEM;SG
razširjeno	extinsă	razširjeno	extins	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;INDF;FEM;SG
lambert	lambert	lambert	lambert	N;NOM;MASC;SG	PROPN
cele	întreg	cel	întreg	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
cele	intreg	cel	intreg	ADJ;NOM;FEM;PL	
stavka	strike	stavka	strik	N;NOM;MASC;SG	
stavka	grevă	stavka	grevă	N;NOM;MASC;SG	N;INDF;FEM;SG
stavka	greva	stavka	grevă	N;NOM;MASC;SG	N;DEF;FEM;SG
izziv	provocare	izziv	provocare	N;NOM;MASC;SG	N;INDF;FEM;SG
izziv	provocarea	izziv	provocare	N;NOM;MASC;SG	N;DEF;FEM;SG
vrhovno	supreme	vrhoven	suprem	ADJ;NOM;NEUT;SG	
