فرس	tamma	فَرَس	tamma		N;NOM;SG
التقديرات	arvio	تَقدِير	arvio	N;NOM;DEF;PL	N;NOM;SG
التقديرات	arvioi	تَقدِير	arvioida	N;NOM;DEF;PL	V;IND;SG;3;PRS;FIN;ACT
التقديرات	arvion	تَقدِير	arvio	N;NOM;DEF;PL	N;GEN;SG
التقديرات	arvioita	تَقدِير	arvio	N;NOM;DEF;PL	N;PRT;PL
تدرج	kaltevuus	دَرَج	kaltevuus	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;NOM;SG
مواصلة	jatkoa	مُوَاصَلَة	jatko	N;NOM;INDF;SG	N;PRT;SG
مواصلة	jatkaa	مُوَاصَلَة	jatkaa	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
مواصلة	jatkakaa	مُوَاصَلَة	jatkaa	N;NOM;INDF;SG	V;IMP;SG;2;FIN;ACT
مواصلة	jatka	مُوَاصَلَة	jatka	N;NOM;INDF;SG	V;IMP;SG;2;FIN;ACT
مواصلة	jatkuu	مُوَاصَلَة	jatkua	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
كاي	kai	كَاي	kai		ADV
كاي	kay	كَاي	kay		PROPN;NOM;SG
التنين	lohikäärmeen	تَنَيَّن	lohi#käärme	N;NOM;DEF;SG	N;GEN;SG
التنين	dragon	تَنَيَّن	dragon	N;NOM;DEF;SG	
تغيرت	muutettu	تَغَيَّر	muuttaa	V;PFV;FEM;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
تغيرت	vaihdettu	تَغَيَّر	vaihtaa	V;PFV;FEM;SG;3;ACT	V;NOM;SG;V.PTCP;PASS
النضال	kamppailua	نِضَال	kamppailu	N;NOM;DEF;SG	N;PRT;SG
القيروان	kairouan	قَيرَوَان	kairo	N;NOM;DEF;SG	N;GEN;SG
اريد	haluu	اريد	haluta		V;IMP;SG;2;FIN;ACT
هول	sali	هُول	sali		N;NOM;SG
هول	halliin	هُول	halli		N;IN+ALL;SG
هول	hall	هُول	hall		
هول	halli	هُول	halli		N;NOM;SG
هول	howl	هُول	howl		N;NOM;SG
مشارك	osallistujaa	مَشرَكَة	osallistuja	N;NOM;INDF;SG	N;PRT;SG
مشارك	osallistujan	مَشرَكَة	osallistuja	N;NOM;INDF;SG	N;GEN;SG
مشارك	osallistujat	مَشرَكَة	osallistuja	N;NOM;INDF;SG	N;NOM;PL
الطقوس	rituaali	طَقوَس	rituaali	N;NOM;DEF;PL	N;NOM;SG
الطقوس	rituaaleja	طَقوَس	rituaali	N;NOM;DEF;PL	N;PRT;PL
الفطر	sienet	فِطر	sieni	N;NOM;DEF;SG	N;NOM;PL
الفطر	sieniä	فِطر	sieni	N;NOM;DEF;SG	N;PRT;PL
المعتقدات	uskomuksia	مُعتَقَد	uskomus	N;NOM;DEF;PL	N;PRT;PL
دل	del	دَلّ	del	V;PFV;MASC;SG;3;ACT	
جرذ	rat	جُرذ	rat	N;NOM;INDF;SG	
سكاي	taivas	سَاكِي	taivas		N;NOM;SG
سكاي	taivaan	سَاكِي	taivas		N;GEN;SG
سكاي	sky	سَاكِي	sky		PROPN;NOM;SG
مشاركات	osakkeita	مُشَارَكَة	osake	N;NOM;INDF;PL	N;PRT;PL
باعتبار	harkitaan	باعتبار	harkita	PRO;ACC;MASC;PL;3	V;IND;PRS;FIN;PASS
باعتبار	harkitsee	باعتبار	harkita	PRO;ACC;MASC;PL;3	V;IND;SG;3;PRS;FIN;ACT
الناجحة	menestys	نَاجِح	menestys	ADJ;NOM;DEF;FEM;SG	N;NOM;SG
الناجحة	onnistui	نَاجِح	onnistua	ADJ;NOM;DEF;FEM;SG	V;IND;SG;3;PST;FIN;ACT
الناجحة	menestynyt	نَاجِح	menestyä	ADJ;NOM;DEF;FEM;SG	V;NOM;SG;V.PTCP;ACT
الناجحة	onnistunut	نَاجِح	onnistua	ADJ;NOM;DEF;FEM;SG	V;NOM;SG;V.PTCP;ACT
السجل	kirjataan	سِجِلّ	kirjata	N;NOM;DEF;SG	V;IND;PRS;FIN;PASS
السجل	rekisteriin	سِجِلّ	rekisteri	N;NOM;DEF;SG	N;IN+ALL;SG
السجل	rekisteröi	سِجِلّ	rekisteröidä	N;NOM;DEF;SG	V;IMP;SG;2;FIN;ACT
السجل	rekisteröityä	سِجِلّ	rekisteröityä	N;NOM;DEF;SG	V;PRT;SG;V.PTCP;PASS
السجل	kirjaudu	سِجِلّ	kirjautua	N;NOM;DEF;SG	V;IMP;SG;2;FIN;ACT
السجل	rekisterin	سِجِلّ	rekisteri	N;NOM;DEF;SG	N;GEN;SG
موحدة	standardoitu	مُوَحَّد	standardoida	ADJ;NOM;INDF;FEM;SG	V;NOM;SG;V.PTCP;PASS
موحدة	univormu	مُوَحَّد	uni#vormu	ADJ;NOM;INDF;FEM;SG	N;NOM;SG
التحدي	haastaa	تَحَدِّي	haastaa	N;NOM;DEF;SG	V;IND;SG;3;PRS;FIN;ACT
التحدي	haasteet	تَحَدِّي	haaste	N;NOM;DEF;SG	N;NOM;PL
سونغ	sung	سونغ	sung		N;NOM;SG
سونغ	biisi	سونغ	biisi		N;NOM;SG
سونغ	song	سونغ	song		
سونغ	laulua	سونغ	laulu		N;PRT;SG
سونغ	laulu	سونغ	laulu		N;NOM;SG
سونغ	kappale	سونغ	kappale		N;NOM;SG
محاضرة	luennon	مُحَاضَرَة	luento	N;NOM;INDF;SG	N;GEN;SG
الالكترونية	sähköiset	إِلِكترُونِيّ	sähköinen	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;PL
الالكترونية	sähköisen	إِلِكترُونِيّ	sähköinen	ADJ;NOM;DEF;FEM;SG	ADJ;GEN;SG
الالكترونية	elektroniset	إِلِكترُونِيّ	elektroninen	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;PL
هوليوود	hollywoodiin	هوليوود	hollywoodi		N;IN+ALL;SG
هوليوود	hollywood	هوليوود	hollywood		
هوليوود	hollywoodin	هوليوود	hollywoodi		N;GEN;SG
هوليوود	hollywoodissa	هوليوود	hollywoodi		N;IN+ESS;SG
بوير	boyer	بوير	boyer		N;NOM;SG
البقرة	lehmän	بَقَرَة	lehmä	N;NOM;DEF;SG	N;GEN;SG
الديناصورات	dinosaurukset	دِينَاصُور	dinosaurus		N;NOM;PL
الديناصورات	dinosauruksia	دِينَاصُور	dino#saurus		N;PRT;PL
الديناصورات	dinosaurus	دِينَاصُور	dinosaurus		N;NOM;SG
شمسي	auringon	شمسي	aurinko	ADJ;NOM;INDF;MASC;SG	N;GEN;SG
شمسي	aurinko	شمسي	aurinko	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
كركوك	kirkukin	كركوك	kirku		N;NOM;SG
اربع	nelonen	أَربَعَة	nelonen	NUM;NOM;INDF;FEM	N;NOM;SG
الحافة	edge	حَافّ	edge	N;NOM;DEF;SG	
الحافة	reunan	حَافّ	reuna	N;NOM;DEF;SG	N;GEN;SG
خريف	syksyllä	خَرِيف	syksy	N;NOM;INDF;SG	N;AT+ESS
;SG
خريف	syksyn	خَرِيف	syksy	N;NOM;INDF;SG	N;GEN;SG
فرح	iloa	فُرحَة	ilo		N;PRT;SG
فرح	ilon	فُرحَة	ilo		N;GEN;SG
فرح	ilo	فُرحَة	ilo		N;NOM;SG
فرح	farah	فُرحَة	farah		PROPN;NOM;SG
الخبرات	asiantuntemusta	خِبرَة	asian#tuntemus	N;NOM;DEF;PL	N;PRT;SG
الخبرات	asiantuntemus	خِبرَة	asian#tuntemus	N;NOM;DEF;PL	N;NOM;SG
الخبرات	kokemusten	خِبرَة	kokemus	N;NOM;DEF;PL	N;GEN;PL
الخبرات	kokemuksia	خِبرَة	kokemus	N;NOM;DEF;PL	N;PRT;PL
الخبرات	kokemus	خِبرَة	kokemus	N;NOM;DEF;PL	N;NOM;SG
الخبرات	kokemuksen	خِبرَة	kokemus	N;NOM;DEF;PL	N;GEN;SG
الخبرات	kokemuksia	خِبرَة	kokemus	N;NOM;DEF;PL	N;PRT;PL
الخبرات	kokemusta	خِبرَة	kokemus	N;NOM;DEF;PL	N;PRT;SG
المدار	kiertoradalta	مَدَار	kierto#rata	N;NOM;DEF;SG	N;AT+ABL;SG
المدار	kiertoradalle	مَدَار	kierto#rata	N;NOM;DEF;SG	N;AT+ALL;SG
التشريح	anatomian	تَشرِيح	anatomia	N;NOM;DEF;SG	N;GEN;SG
التشريح	ruumiinavauksen	تَشرِيح	ruumiina#vaussi	N;NOM;DEF;SG	N;GEN;SG
تشي	che	تشي	che		PROPN;NOM;SG
ظاهر	näkyvä	ظاهر	näkyä		V;NOM;SG;V.PTCP;ACT
ظاهر	näkyvissä	ظاهر	näkyä		V;IN+ESS;PL;V.PTCP;ACT
ظاهر	näkyy	ظاهر	näkyä		V;IND;SG;3;PRS;FIN;ACT
ظاهر	näkyvät	ظاهر	näkyä		V;IND;PL;3;PRS;FIN;ACT
ظاهر	ilmeistä	ظاهر	ilmeinen		ADJ;PRT;SG
ظاهر	ilmeinen	ظاهر	ilmeinen		ADJ;NOM;SG
دفعة	mainosta	دَفعَة	maino	N;NOM;INDF;SG	N;PRT;SG
دفعة	mainostaa	دَفعَة	mainostaa	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
دفعة	edistä	دَفعَة	edistää	N;NOM;INDF;SG	V;IMP;SG;2;FIN;ACT
دفعة	erän	دَفعَة	erä	N;NOM;INDF;SG	N;GEN;SG
النسوية	feminismi	نَسَوِيّ	feminismi	ADJ;NOM;DEF;FEM;SG	N;NOM;SG
النسوية	feministi	نَسَوِيّ	feministi	ADJ;NOM;DEF;FEM;SG	N;NOM;SG
لوح	lauta	لَوح	lauta		N;NOM;SG
لوح	johtokunta	لَوح	johto#kunta		N;NOM;SG
لوح	laudan	لَوح	lauta		N;GEN;SG
لوح	johtokunnan	لَوح	johto#kunta		N;GEN;SG
لوح	tabletti	لَوح	tabletti		N;NOM;SG
لوح	tabletit	لَوح	tabletti		N;NOM;PL
لوح	aallon	لَوح	aalto		N;GEN;SG
لوح	aalto	لَوح	aalto		N;NOM;SG
عينات	näytteiden	عينات	näyte	N;NOM;INDF;PL	N;GEN;PL
عينات	näytteitä	عينات	näyte	N;NOM;INDF;PL	N;PRT;PL
الميل	kilometrin	مِيل	kilo#metri	N;NOM;DEF;SG	N;GEN;SG
الميل	mailin	مِيل	maili	N;NOM;DEF;SG	N;GEN;SG
الميل	mailia	مِيل	maili	N;NOM;DEF;SG	N;PRT;SG
مزايا	etuja	مَزِيَّة	etu	N;NOM;INDF;PL	N;PRT;PL
مغلقة	kiinni	مُغلَق	kiinni	ADJ;NOM;INDF;FEM;SG	ADV
مغلقة	suljettu	مُغلَق	sulkea	ADJ;NOM;INDF;FEM;SG	V;NOM;SG;V.PTCP;PASS
المليون	miljoonaa	مِليُون	miljoona	NUM;NOM;DEF;SG	NUM;PRT;SG
تقليد	perinteitä	تَقلِيد	perinne	N;NOM;INDF;SG	N;PRT;PL
تقليد	perinteet	تَقلِيد	perinne	N;NOM;INDF;SG	N;NOM;PL
ميكانيكية	mekaanisen	مِيكَانِيكِيَّة	mekaaninen	ADJ;NOM;INDF;FEM;SG	ADJ;GEN;SG
ميكانيكية	mekaaniset	مِيكَانِيكِيَّة	mekaaninen	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;PL
السعة	kapasiteetin	سِعَّة	kapasiteetti	N;NOM;DEF;SG	N;GEN;SG
السعة	valmiudet	سِعَّة	valmius	N;NOM;DEF;SG	N;NOM;PL
التهديد	uhkaa	تَهدِيد	uhata	N;NOM;DEF;SG	V;IND;SG;3;PRS;FIN;ACT
الموانئ	satamia	مِينَاء	satama	N;NOM;DEF;PL	N;PRT;PL
الموانئ	satamien	مِينَاء	satama	N;NOM;DEF;PL	N;GEN;PL
عقل	aivoja	عَقَل	aivot		N;PRT;PL
عقل	aivo	عَقَل	aivo		N;NOM;SG
عقل	aivot	عَقَل	aivot		N;NOM;PL
عقل	mielen	عَقَل	mieli		N;GEN;SG
عقل	mieli	عَقَل	mieli		N;NOM;SG
دنيا	vähintään	دَنِيّ	vähintään	ADJ;ACC;INDF;MASC;SG	ADV
دنيا	minimi	دَنِيّ	minimi	ADJ;ACC;INDF;MASC;SG	N;NOM;SG
الطلاق	eroa	طَلَاق	ero	N;NOM;DEF;SG	N;PRT;SG
الطلاق	avioeron	طَلَاق	avio#ero	N;NOM;DEF;SG	N;GEN;SG
خفيف	valoa	خفيف	valo	ADJ;NOM;INDF;MASC;SG	N;PRT;SG
خفيف	valo	خفيف	valo	ADJ;NOM;INDF;MASC;SG	N;NOM;SG
خفيف	light	خفيف	light	ADJ;NOM;INDF;MASC;SG	
مونتريال	montrealin	مُونترِيَال	montreali		N;GEN;SG
الكومنولث	yhteisö	الكومنولث	yhteisö		N;NOM;SG
جلدية	nahkaa	جَلَدِيَّة	nahka	ADJ;NOM;INDF;FEM;SG	N;PRT;SG
جلدية	nahka	جَلَدِيَّة	nahka	ADJ;NOM;INDF;FEM;SG	N;NOM;SG
جلدية	nahan	جَلَدِيَّة	nahka	ADJ;NOM;INDF;FEM;SG	N;GEN;SG
الفائزين	voittajia	فَائِز	voittaja	ADJ;NOM;DEF;MASC;PL	N;PRT;PL
الفائزين	voittajat	فَائِز	voittaja	ADJ;NOM;DEF;MASC;PL	N;NOM;PL
المرجح	painotettu	مُرَجَّح	painottaa	ADJ;NOM;DEF;MASC;SG	V;NOM;SG;V.PTCP;PASS
بطليموس	ptolemaios	بَطِيمُوس	prolemaios		N;NOM;SG
تهديد	uhkaavat	تَهدِيد	uhata	N;NOM;INDF;SG	V;IND;PL;3;PRS;FIN;ACT
تهديد	uhkaava	تَهدِيد	uhkaava	N;NOM;INDF;SG	ADJ;NOM;SG
تهديد	uhkaa	تَهدِيد	uhata	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
تهديد	uhkailee	تَهدِيد	uhkailla	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
تهديد	uhkaa	تَهدِيد	uhata	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
المعيار	kriteerin	مِعيَار	kriteeri	N;NOM;DEF;SG	N;GEN;SG
المعيار	standardin	مِعيَار	standardi	N;NOM;DEF;SG	N;GEN;SG
الهياكل	rakenteita	هَيكَل	rakenne	N;NOM;DEF;SG	N;PRT;PL
الهياكل	rakenteet	هَيكَل	rakenne	N;NOM;DEF;SG	N;NOM;PL
الهياكل	rakenteiden	هَيكَل	rakenne	N;NOM;DEF;SG	N;GEN;PL
المنفى	maanpaossa	مَنفَى	maan#pako	N;NOM;DEF;SG	N;IN+ESS;SG
الرباعي	kvartetin	رُبَاعِيّ	kvartetti		N;GEN;SG
المصلحة	etua	مَصلَحَة	etu	N;NOM;DEF;SG	N;PRT;SG
المصلحة	korot	مَصلَحَة	korko	N;NOM;DEF;SG	N;NOM;PL
مجلدات	kansiot	مُجَلَّد	kansio	ADJ;NOM;INDF;FEM;PL	N;NOM;PL
مجلدات	kansioita	مُجَلَّد	kansio	ADJ;NOM;INDF;FEM;PL	N;PRT;PL
الحفظ	säästöt	حِفظ	säästö	N;NOM;DEF;SG	N;NOM;PL
الحفظ	pelastaa	حِفظ	pelastaa	N;NOM;DEF;SG	V;IND;SG;3;PRS;FIN;ACT
الحفظ	säästää	حِفظ	säästää	N;NOM;DEF;SG	V;SG;FIN;ACT
الحفظ	tallennetaan	حِفظ	tallentaa	N;NOM;DEF;SG	V;IND;PRS;FIN;PASS
باراغواي	paraguayn	باراغواي	paragua		N;GEN;SG
استخدامات	käyttää	اِستِخدَام	käyttää	N;NOM;INDF;PL	V;IND;SG;PRS;FIN;ACT
يوميات	aikajanalla	يَومِيّ	aika#jana	ADJ;NOM;INDF;FEM;PL	N;AT+ESS
;SG
يوميات	aikajanan	يَومِيّ	aika#jana	ADJ;NOM;INDF;FEM;PL	N;GEN;SG
يوميات	aikajana	يَومِيّ	aikaja	ADJ;NOM;INDF;FEM;PL	N;FRML;SG
يوميات	päiväkirja	يَومِيّ	päivä#kirja	ADJ;NOM;INDF;FEM;PL	N;NOM;SG
يوميات	lehti	يَومِيّ	lehti	ADJ;NOM;INDF;FEM;PL	N;NOM;SG
يوميات	päiväkirja	يَومِيّ	päivä#kirja	ADJ;NOM;INDF;FEM;PL	N;NOM;SG
يوميات	päiväkirjaa	يَومِيّ	päivä#kirja	ADJ;NOM;INDF;FEM;PL	N;PRT;SG
يوميات	päiväkirjan	يَومِيّ	päivä#kirja	ADJ;NOM;INDF;FEM;PL	N;GEN;SG
فرديناند	ferdinand	فرديناند	ferdinand		N;NOM;SG
تعليقات	kommentteja	تَعلِيق	kommentti	N;NOM;INDF;PL	N;PRT;PL
تعليقات	huomautuksia	تَعلِيق	huomautus	N;NOM;INDF;PL	N;PRT;PL
المهن	ammattien	مِهنَة	ammatti	N;NOM;DEF;PL	N;GEN;PL
المهن	uran	مِهنَة	ura	N;NOM;DEF;PL	N;GEN;SG
المهن	ura	مِهنَة	ura	N;NOM;DEF;PL	N;NOM;SG
المهن	uraa	مِهنَة	ura	N;NOM;DEF;PL	N;PRT;SG
المهن	ammateissa	مِهنَة	ammatti	N;NOM;DEF;PL	N;IN+ESS;PL
السلبي	passiivisen	سَلبِيّ	passiivinen	ADJ;NOM;DEF;MASC;SG	ADJ;GEN;SG
قيود	rajoituksia	قَيد	rajoitus	N;NOM;INDF;PL	N;PRT;PL
قيود	rajoituksia	قَيد	rajoitus	N;NOM;INDF;PL	N;PRT;PL
جيب	taskuun	جيب	tasku	N;NOM;INDF;SG	N;IN+ALL;SG
جيب	taskussa	جيب	tasku	N;NOM;INDF;SG	N;IN+ESS;SG
ساوث	etelä	سَاوث	etelä		N;NOM;SG
ساوث	etelään	سَاوث	etelä		N;IN+ALL;SG
البطالة	työttömyyttä	بِطَالَة	työttömyys	N;NOM;DEF;SG	N;PRT;SG
تجهيز	käsittelyä	تَجهِيز	käsittely	N;NOM;INDF;SG	N;PRT;SG
الجلسة	istunnon	جَلسَة	istunto	N;NOM;DEF;SG	N;GEN;SG
الجلسة	istuntoa	جَلسَة	istunto	N;NOM;DEF;SG	N;PRT;SG
الحريات	vapauksia	حُرِّيَّة	vapaus	N;NOM;DEF;PL	N;PRT;PL
تغلب	hakkaa	تَغَلَّب	hakata	V;PFV;MASC;SG;3;ACT	V;IMP;SG;2;PRS;FIN;ACT
احداث	kertomuksia	حَدَث	kertomus	N;NOM;INDF;PL	N;PRT;PL
احداث	tarinoita	حَدَث	tarina	N;NOM;INDF;PL	N;PRT;PL
احداث	tarinoiden	حَدَث	tarina	N;NOM;INDF;PL	N;GEN;PL
احداث	tapahtumien	حَدَث	tapahtuma	N;NOM;INDF;PL	N;GEN;PL
احداث	tapahtumia	حَدَث	tapahtuma	N;NOM;INDF;PL	N;PRT;PL
ركوب	ratsastaa	ركوب	ratsastaa	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
ركوب	kyytiä	ركوب	kyyti	N;NOM;INDF;SG	N;PRT;SG
ركوب	ratsastaa	ركوب	ratsastaa	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN;ACT
نمر	tiger	نمر	tiger		PROPN;NOM;SG
نمر	tiikeri	نمر	tiikeri		N;NOM;SG
نمر	leopardi	نمر	leopardi		N;NOM;SG
الخريف	syksyllä	خَرِيف	syksy	N;NOM;DEF;SG	N;AT+ESS
;SG
الخريف	syksyn	خَرِيف	syksy	N;NOM;DEF;SG	N;GEN;SG
الخريف	pudota	خَرِيف	pudota	N;NOM;DEF;SG	V;IMP;SG;2;NFIN;ACT
الخريف	kaatuu	خَرِيف	kaatua	N;NOM;DEF;SG	V;IND;SG;3;PRS;FIN;ACT
الخريف	kaadu	خَرِيف	kaatua	N;NOM;DEF;SG	V;IMP;SG;2;FIN;ACT
شمسية	sateenvarjo	شَمسِيّ	sateen#varjo	ADJ;NOM;INDF;FEM;SG	N;NOM;SG
