연결됨	con	연결+되+ㄴ	con	V	ADP
깜빡	as	깜빡	o		DET
깜빡	esquece	깜빡	esquecer		V
깜빡	esquecino	깜빡	esquecino		ADJ
헤리	harry	헤리	harry		PROPN
파멸	a	파멸	o		DET
표시됨	que	표시+되+ㄴ	que	V	PRO
표시됨	se	표시+되+ㄴ	se	V	CONJ
표시됨	mostra	표시+되+ㄴ	mostra	V	N
표시됨	as	표시+되+ㄴ	o	V	DET
표시됨	visible	표시+되+ㄴ	visible	V	ADJ
표시됨	visibles	표시+되+ㄴ	visible	V	ADJ
훔쳤다	roubei	훔치+었+다	roubar		PROPN
훔쳤다	roubaron	훔치+었+다	roubar		V
훔쳤다	roubaches	훔치+었+다	roubaches		N
훔쳤다	o	훔치+었+다	o		DET
훔쳤다	roubou	훔치+었+다	roubar		V
훔쳤다	estola	훔치+었+다	estola		N
훔쳤다	rouboume	훔치+었+다	rouboume		PROPN
불안해	inseguro	불안+하+어	inseguro	V	ADJ
덥다	quente	덥+다	quente		N
덥다	calor	덥+다	calor		N
에이브	eva	에이브	eve		PROPN
에이브	aninovo	에이브	aninovo		N
에이브	data	에이브	data		N
에이브	véspera	에이브	véspera		N
에이브	noitevella	에이브	noitevella		PROPN
관대	xenerosa	관대	xeneroso		ADJ
느려	lento	느리+어	lento		ADJ
느려	lenta	느리+어	lento		ADJ
느려	lentos	느리+어	lento		ADJ
느려	ou	느리+어	ou		CONJ
느려	frean	느리+어	frear		V
느려	tranquilo	느리+어	tranquilo		ADJ
모퉁이	esquina	모퉁+이	esquina		N
모퉁이	recuncho	모퉁+이	recuncho		N
세척	lavar	세척	lavar	N	V
세척	a	세척	o	N	DET
보모	neneira	보모	neneira	N	ADJ
죄책감	culpa	죄책감	culpa		N
말들	cabalos	말+들	cabalo	N	V
말들	os	말+들	o	N	DET
동공	alumnos	동공	alumno		N
동공	alumnado	동공	alumnado		V
동공	terceiro	동공	terceiro		ADJ
쉬프트	de	쉬프트	de		ADP
쉬프트	quenda	쉬프트	quenda		N
배고픈	famentos	배고프+ㄴ	famento	V	N
배고픈	fame	배고프+ㄴ	fame	V	N
불편해	incómoda	불편+하+어	incómodo	V	ADJ
눈빛	os	눈빛	o	N	DET
대행사	de	대행사	de	N	ADP
개들	os	개+들	o	N	DET
개들	aos	개+들	aos	N	PROPN
일월	xaneiro	일월	xaneiro		N
일월	de	일월	de		ADP
단결하라	unídevos	단결+하+라	unídevo	V	N
단결하라	irmandádevos	단결+하+라	irmandádevo	V	N
단결하라	vosas	단결+하+라	voso	V	DET
외로움	fica	외롭+ㅁ	ficar		V
외로움	illado	외롭+ㅁ	illar		V
외로움	soidade	외롭+ㅁ	soidade		N
외로움	soa	외롭+ㅁ	só		DET
외로움	só	외롭+ㅁ	só		ADV
열립니다	abre	열+어+지+ㅂ니다	abre		V
열립니다	abra	열+어+지+ㅂ니다	abra		V
성공함	éxito	성공함	éxito	V	N
성공함	exitosos	성공함	exitoso	V	ADJ
성공함	éxito	성공함	éxito	V	N
복원하기	a	복원+하+기	o	V	DET
긴장감	nerviosa	긴장감	nervioso	N	ADJ
긴장감	nervioso	긴장감	nervioso	N	ADJ
긴장감	nerviosos	긴장감	nervioso	N	ADJ
바빠	moi	바부	moi		ADV
바빠	ocupado	바부	ocupar		ADJ
바빠	ocupados	바부	ocupado		ADJ
바빠	negocios	바부	negocio		N
바빠	ocupada	바부	ocupado		V
젊음	xuventude	젊음	xuventude		N
젊음	mozos	젊음	mozo		N
젊음	a	젊음	o		DET
젊음	mocidade	젊음	mocidade		N
젊음	francia	젊음	francia		N
젊음	de	젊음	de		ADP
갱스	forzados	갱스	forzar		V
검색하기	procura	검색+하+기	procura	V	N
마크스	marcos	마크스	marco		N
브룩클린	brooklyn	브룩클리+ㄴ	brooklyn		PROPN
햇볕	sol	햇볕	sol		N
광대가	pallaso	광대+가	pallaso		N
젤로	angelo	젤로	angelo		N
캡쳐	a	요치+어	o		DET
캡쳐	capturar	요치+어	capturar		V
캡쳐	capturado	요치+어	capturado		V
캡쳐	capturados	요치+어	capturar		V
캡쳐	prisioneiro	요치+어	prisioneiro		N
아무데나	onde	아무데+나	onde		PRO
아무데나	calquera	아무데+나	calquera		DET
아무데나	lugar	아무데+나	lugar		N
아무데나	parte	아무데+나	parte		N
아무데나	a	아무데+나	o		DET
아무데나	nada	아무데+나	nada		PRO
아무데나	en	아무데+나	en		ADP
알렉산더르	alexander	알렉산더르	alexander		ADJ
매코믹	mccormick	매코믹	mccormick		PROPN
언젠간	algún	언젠간	algún		DET
언젠간	día	언젠간	día		N
충실	leal	충실	leal		ADJ
스완슨	swanson	스완슨	swanson		PROPN
남음	restante	남음	restante		ADJ
남음	para	남음	para		ADP
새들	as	새+들	o	N	DET
숙성	envellecemento	숙성	envellecemento		N
숙성	o	숙성	o		DET
숙성	envellecer	숙성	envellecer		V
무기력	impotentes	무기력	impotente		ADJ
아스피린	aspirina	아스피린	aspirina		N
성인인	santos	성인인	santo	V	N
킹슬리	kingsley	킹슬리	kingsley		PROPN
떨어짐	caéronlle	떨어지+ㄹ	caéronlle		PROPN
떨어짐	caeron	떨어지+ㄹ	caer		V
떨어짐	aquí	떨어지+ㄹ	aquí		ADV
떨어짐	caeume	떨어지+ㄹ	caeume		V
떨어짐	baixou	떨어지+ㄹ	baixar		V
떨어짐	caída	떨어지+ㄹ	caída		N
떨어짐	outono	떨어지+ㄹ	outono		N
떨어짐	caer	떨어지+ㄹ	caer		V
위엄	dignidade	위엄	dignidade		N
재커바이트	xacobitas	재커바이트	xacobita		N
재커바이트	xacobita	재커바이트	xacobitar		PROPN
아라비아어	árabe	아라비아어	árabar		N
엉망	boa	엉망	bo	N	ADJ
엉망	lea	엉망	lea	N	PROPN
엉망	porcallada	엉망	porcallar	N	V
존엄	dignidade	존엄	dignidade		N
땋은	súas	증+은	seu		DET
땋은	trenzas	증+은	trenza		N
언급하기	mención	언급+하+기	mención	V	N
남친	mozo	남치+ㄴ	mozo		N
염려	ansiedade	염려	ansiedade		N
불편함	incómoda	불편+하+ㅁ	incómodo	V	ADJ
십억	millóns	십억	millón		N
십억	mil	십억	mil		N
십억	miles	십억	mil		N
자폐	autismo	자폐	autismo		N
거룩	sagrado	거룩	sagrar		ADJ
거룩	santo	거룩	santo		ADJ
거룩	santos	거룩	santo		N
거룩	sagrada	거룩	sagrar		V
불가피	inevitable	불가피	inevitable		ADJ
불가피	inevitábel	불가피	inevitábel		ADJ
바쁘다	moi	바쁘+다	moi		ADV
바쁘다	ocupado	바쁘+다	ocupar		ADJ
바쁘다	ocupados	바쁘+다	ocupado		ADJ
바쁘다	negocios	바쁘+다	negocio		N
바쁘다	ocupada	바쁘+다	ocupado		V
멍청이	idiota	멍청이	idiota		N
멍청이	parvo	멍청이	parvo		N
멍청이	imbécil	멍청이	imbécil		ADJ
멍청이	estúpido	멍청이	estúpido		ADJ
멍청이	estúpida	멍청이	estúpido		ADJ
멍청이	estúpidos	멍청이	estúpido		ADJ
멍청이	parvo	멍청이	parvo		N
멍청이	estúpidas	멍청이	estúpido		ADJ
멍청이	parvadas	멍청이	parvar		ADJ
불안정성	inestabilidade	불안정성	inestabilidade		N
흔들흔들	a	흔들흔+들	o		DET
몸매가	corporal	몸매+가	corporal	N	ADJ
송송	canción	송송	canción		N
송송	cantiga	송송	cantiga		N
송송	cantar	송송	cantar		V
송송	canto	송송	canto		PRO
기쁨이	da	기쁘+ㅁ+이	da	N	V
답글	resposta	답글	resposta		N
징벌	punishment	징벌	punishment	N	PROPN
아쿠아리움	acuario	아쿠아리움	acuario		N
콜롬버스	columbus	콜롬버스	columbus		PROPN
윤기	brillante	윤기	brillante		ADJ
윤기	brillantes	윤기	brillante		ADJ
삼십	trinta	삼십	trinta		NUM
게이이	homosexuais	게이+이	homosexual		ADJ
게이이	homosexual	게이+이	homosexual		N
미모	a	미모	o	N	DET
미안	sinto	미안	sinto		V
미안	síntoo	미안	síntoo		V
미안	perdón	미안	perdón		N
미안	desculpe	미안	desculpe		PROPN
승리자	gaña	승리자	gaña		V
줄넘기	corda	줄히+기	corda		N
깨워	levanta	깨우+어	levantar		V
깨워	esperta	깨우+어	esperta		V
깨워	espertar	깨우+어	espertar		V
깨워	arriba	깨우+어	arriba		ADV
베르나르드	bernard	베르나르드	bernard		V
공연자	artista	공연자	artista		N
도둑놈	ladróns	도둑놈	ladrón		N
도둑놈	ladrón	도둑놈	ladrón		N
미움	odiaban	미움	odiar		V
미움	odio	미움	odio		N
쓰레기통	lixo	쓰레기통	lixo		N
씻기	lavado	씻+기	lavado	V	N
씻기	lava	씻+기	lavar	V	N
씻기	lavalo	씻+기	lavalo	V	PROPN
씻기	a	씻+기	o	V	DET
씻기	lavadora	씻+기	lavador	V	N
씻기	lavado	씻+기	lavado	V	N
씻기	lavadoras	씻+기	lavador	V	N
씻기	roupa	씻+기	roupa	V	N
만드세요	crear	만들+세요	crear		V
만드세요	creamos	만들+세요	crear		V
만드세요	unha	만들+세요	un		DET
만드세요	crean	만들+세요	crear		V
트레비스	travis	트레비스	travis		PROPN
공유해	a	공유+하+어	o	V	DET
공유해	parte	공유+하+어	parte	V	N
황새	cegoña	황새	cegoñar		N
테스토스테론	testosterona	테스토스+수론	testosterona		N
헛간	granxa	헛간	granxa		N
아침식사	almorzar	아침+식사	almorzar	N	V
편리	conveniente	편리	conveniente		ADJ
인내심	paciencia	인내심	paciencia		N
히로시마로	hiroshima	히로시마로	hiroshima	ADV	N
깨끗하다	limpa	깨끗하+다	limpo	V	ADJ
깨끗하다	limpo	깨끗하+다	limpo	V	ADJ
우박	“	우박	“	N	
우박	”	우박	”	N	PROPN
우박	en	우박	en	N	ADP
우박	galego	우박	galego	N	ADJ
우박	saudamos	우박	saudar	N	V
팔레스타인인	palestina	팔레스타인인	palestino	V	N
팔레스타인인	palestinos	팔레스타인인	palestino	V	N
콘트라스트	contraste	콘트라스트	contraste		N
부드러워	suave	부드럽+어	suave		ADJ
녹음기	gravadora	녹음기	gravador		N
녹음기	magnetófono	녹음기	magnetófono		N
심각해	serio	심각+하+어	serio	V	N
심각해	seria	심각+하+어	seria	V	ADJ
심각해	en	심각+하+어	en	V	ADP
심각해	grave	심각+하+어	grave	V	ADJ
킬러스	asasinos	킬러스	asasino		N
뿌리기	as	뿌리+기	o		DET
뿌리기	raíces	뿌리+기	raíz		N
부끄러움	mágoa	부끄럽+ㅁ	mágoa		ADJ
부끄러움	vergoña	부끄럽+ㅁ	vergoña		N
부끄러움	que	부끄럽+ㅁ	que		PRO
부끄러움	vergoña	부끄럽+ㅁ	vergoña		N
부끄러움	tímida	부끄럽+ㅁ	tímida		ADJ
종료되었습니다	ao	종료+되+었+습니다	ao	V	PROPN
우아	elegancia	우아	elegancia		N
끄기	a	끄기	o	V	DET
드럼은	batería	드럼+은	bater		V
드럼은	tambores	드럼+은	tambor		N
드럼은	os	드럼+은	o		DET
겸손	humilde	겸손	humilde		N
겸손	humildes	겸손	humilde		N
겸손	humildade	겸손	humildade		N
답장	resposta	답장	resposta		N
소작	pequeno	소작	pequeno		ADJ
소작	pequenos	소작	pequeno		ADJ
소작	pequenas	소작	pequeno		ADJ
소작	pequena	소작	pequeno		ADJ
힘내	saúde	힘내+어	saúde		N
신밧드	sinbad	신밧드	sinbado		V
잔액	o	잔액	o	N	DET
ㄹㄹ	ii	밝+씩	ii		PROPN
평범	chaira	평범	chaira		N
평범	costa	평범	costa		N
평범	plano	평범	plano		N
평범	claro	평범	claro		ADJ
평범	tenra	평범	tenra		N
평범	común	평범	común		ADJ
평범	cotiáns	평범	cotián		N
평범	era	평범	ser		V
평범	ordinario	평범	ordinario		ADJ
평범	correntes	평범	corrente		ADJ
평범	normais	평범	normal		N
평범	simple	평범	simple		ADJ
평범	banal	평범	banal		ADJ
평범	normal	평범	normal		ADJ
평범	normais	평범	normal		N
월세	renda	월세	renda		N
월세	aluguer	월세	aluguer		PROPN
월세	alugar	월세	alugar		V
