カースト	مقام.	カースト	مقام.	N	PROPN;NOM;MASC;SG;3
恥辱	نااہل	恥辱	نااہل	N	ADJ
恥辱	رُسوائی	恥辱	رُسوائی	N	PROPN;NOM;MASC;SG;3
恥辱	بدنامی	恥辱	بدنامی	N	V;PFV;FEM;SG;V.PTCP;ACT
恥辱	ذلّت	恥辱	ذلّت	N	PROPN;NOM;MASC;SG;3
恥辱	شرمناک	恥辱	شرمناک	N	ADJ
恥辱	نااہل	恥辱	نااہل	N	ADJ
レンダリング	دینا	レンダリング	دے	N	V;MASC;SG;NFIN;ACT
レンダリング	کردینا	レンダリング	کردینا	N	
ダッジ	behind	ダッジ	behind	PROPN	PROPN;NOM;MASC;SG;3
ダッジ	جھپکی.	ダッジ	جھپکی.	PROPN	PROPN;NOM;MASC;SG;3
ダッジ	زبردستی	ダッジ	زبردستی	PROPN	N;NOM;MASC;SG;3
ダッジ	جھکائی	ダッジ	جھکائی	PROPN	V;PFV;FEM;SG;V.PTCP;ACT
ダッジ	دُبکنا	ダッジ	دُبکنا	PROPN	V;SG;NFIN;ACT
プロバイダー	دینے	プロバイダー	دے	N	V;NFIN;ACT
プロバイダー	کفیل.	プロバイダー	کفیل.	N	PROPN;NOM;MASC;SG;3
プラウ	up	プラウ	up	PROPN	
プラウ	ہل	プラウ	ہل	PROPN	PROPN;NOM;MASC;SG;3
プラウ	up	プラウ	up	PROPN	
塩水	نمکین	塩水	نمکین	N	PROPN;NOM;MASC;SG;3
キセノン	زینون	キセノン	زینون	N	PROPN;NOM;MASC;SG;3
十一月	نومبر.	十一月	نومبر.	PROPN	PROPN;NOM;MASC;SG;3
下書き	ٹکڑی	下書き	ٹکڑی	N	PROPN;NOM;MASC;SG;3
掘る	سراہنا	掘る	سراہ	V	PROPN;NOM;MASC;SG;3
掘る	سُرنگ	掘る	سُرنگ	V	PROPN;NOM;MASC;SG;3
掘る	سراہنا	掘る	سراہ	V	PROPN;NOM;MASC;SG;3
掘る	سُرنگ	掘る	سُرنگ	V	PROPN;NOM;MASC;SG;3
スライス	حصّہ	スライス	حصّہ	N	PROPN;NOM;MASC;SG;3
スライス	جھرنا.	スライス	جھرنا.	N	PROPN;NOM;MASC;SG;3
スライス	پارچہ.	スライス	پارچہ.	N	PROPN;NOM;MASC;SG;3
アンクル	ماموں	アンクル	ماموں	PROPN	N;NOM;MASC;PL;3
アンクル	چچا	アンクル	چچا	PROPN	N;NOM;MASC;SG;3
アンクル	انکل	アンクル	انکل	PROPN	PROPN;NOM;MASC;SG;3
グーフィー	احمق	グーフィー	احمق	PROPN	
グーフィー	بڑدنتا	グーフィー	بڑدنتا	PROPN	V;IPFV;MASC;SG;V.PTCP;ACT
錯覚	توہمات.	錯覚	توہمات.	N	V;IPFV;MASC;SG;V.PTCP;ACT
錯覚	التباس	錯覚	التباس	N	PROPN;NOM;MASC;SG;3
錯覚	اشتباہ	錯覚	اشتباہ	N	
トラフ	گھاٹے	トラフ	گھاٹا	PROPN	V;PFV;MASC;PL;V.PTCP;ACT
トラフ	مندی	トラフ	مندی	PROPN	N;NOM;MASC;SG;3
トラフ	آبریز.	トラフ	آبریز.	PROPN	PROPN;NOM;MASC;SG;3
トラフ	اُتار	トラフ	اُتار	PROPN	N;NOM;MASC;SG;3
トラフ	پیال	トラフ	پیال	PROPN	PROPN;NOM;MASC;SG;3
難点	خامی	難点	خامی	N	ADJ
難点	زیاں.	難点	زیاں.	N	PROPN;NOM;MASC;SG;3
敵役	مخالف	敵役	مخالف	N	ADJ
敵役	حریف.	敵役	حریف.	N	PROPN;NOM;MASC;SG;3
尖塔	مخروطی	尖塔	مخروطی	N	ADJ
ファンシー	واہمہ	ファンシー	واہمہ	N	
ファンシー	مرصّع	ファンシー	مرصّع	N	PROPN;NOM;MASC;SG;3
ファンシー	سنک	ファンシー	سنک	N	PROPN;NOM;MASC;SG;3
ファンシー	دُھن	ファンシー	دُھن	N	
ファンシー	لگاؤ	ファンシー	لگاوا	N	PROPN;NOM;MASC;SG;3
ファンシー	خبط.	ファンシー	خبط.	N	PROPN;NOM;MASC;SG;3
ファンシー	چسکا.	ファンシー	چسکا.	N	PROPN;NOM;MASC;SG;3
ファンシー	دلدادہ.	ファンシー	دلدادہ.	N	PROPN;NOM;MASC;SG;3
くちばし	ٹونٹی.	くちばし	ٹونٹی.	N	PROPN;NOM;MASC;SG;3
くちばし	مجسٹریٹ.	くちばし	مجسٹریٹ.	N	PROPN;NOM;MASC;SG;3
クレッシェンド	بڑھتا	クレッシェンド	بڑھتا	PROPN	V;IPFV;MASC;SG;V.PTCP;ACT
嘲笑	فضول	嘲笑	فضول	V	N;NOM;MASC;SG;3
嘲笑	فضول	嘲笑	فضول	V	N;NOM;MASC;SG;3
嘲笑	تضحیک	嘲笑	تضحیک	V	ADJ
空腹	بھوکا.	空腹	بھوکا.	N	
空腹	تھڑدلا	空腹	تھڑدلا	N	PROPN;NOM;MASC;SG;3
空腹	کنجوس	空腹	کنجوس	N	
空腹	خواہشمند	空腹	خواہشمند	N	ADJ
空腹	جویا	空腹	جویا	N	PROPN;NOM;MASC;SG;3
空腹	چاہ.	空腹	چاہ.	N	
空腹	اشتہا.	空腹	اشتہا.	N	PROPN;NOM;MASC;SG;3
治す	(	治す	(	V	
治す	شفادینا.	治す	شفادینان	V	PROPN;ACC;MASC;SG;3
治す	بھلانا.	治す	بھلانا.	V	PROPN;NOM;MASC;SG;3
シチュー	ہلچل	シチュー	ہلچل	N	V;ACT
ダール	دال	ダール	دال	PROPN	V;MASC;SG;ACT
メテオ	شہابیہ	メテオ	شہابیہ	N	PROPN;NOM;MASC;SG;3
ホイッスル	زفیل.	ホイッスル	زفیل.	N	PROPN;NOM;MASC;SG;3
ホイッスル	زفیلنا	ホイッスル	زفیلنا	N	PROPN;NOM;MASC;SG;3
ホイッスル	پنپنانا.	ホイッスル	پنپنانا.	N	PROPN;NOM;MASC;SG;3
ホイッスル	سیٹی	ホイッスル	سیٹی	N	PROPN;NOM;MASC;SG;3
会衆	مجمع.	会衆	مجمع.	N	PROPN;NOM;MASC;SG;3
勤勉	محنتی	勤勉	محنتی	N	ADJ
勤勉	محتاط	勤勉	محتاط	N	ADJ
勤勉	محنتی	勤勉	محنتی	N	ADJ
勤勉	مستعد	勤勉	مستعد	N	ADJ
勤勉	کوشاں	勤勉	کوشاں	N	ADJ
勤勉	محتاط	勤勉	محتاط	N	ADJ
勤勉	سرگرم	勤勉	سرگرم	N	ADJ
勤勉	محنتی	勤勉	محنتی	N	ADJ
勤勉	مستعد	勤勉	مستعد	N	ADJ
勤勉	کوشاں	勤勉	کوشاں	N	ADJ
沼地	تتربتر	沼地	تتربتر	N	PROPN;NOM;MASC;SG;3
エミュレータ	نقال	エミュレータ	نقال	PROPN	PROPN;NOM;MASC;SG;3
唯物	مادّیت	唯物	مادّیت	N	PROPN;NOM;MASC;SG;3
バーニング	کھلا	バーニング	کھل	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
バーニング	شدید	バーニング	شدید	PROPN	ADJ
バーニング	نہایت	バーニング	نہایت	PROPN	ADV
バーニング	ظاہر	バーニング	ظاہر	PROPN	ADJ
傷跡	چوٹ	傷跡	چوٹ	N	V;ACT
傷跡	دھاری.	傷跡	دھاری.	N	PROPN;NOM;MASC;SG;3
傷跡	چوٹ	傷跡	چوٹ	N	V;ACT
傷跡	دھاری.	傷跡	دھاری.	N	PROPN;NOM;MASC;SG;3
コネクト	معقول	コネクト	معقول	N	ADJ
調合	تیاری	調合	تیاری	V	N;NOM;MASC;SG;3
調合	آمادگی	調合	آمادگی	V	N;NOM;MASC;SG;3
調合	مستعدی.	調合	مستعدی.	V	PROPN;NOM;MASC;SG;3
ケチ	حریص.	ケチ	حریص.		PROPN;NOM;MASC;SG;3
ケチ	ممسک	ケチ	ممسک		PROPN;NOM;MASC;SG;3
ケチ	حریص.	ケチ	حریص.		PROPN;NOM;MASC;SG;3
ケチ	ممسک	ケチ	ممسک		PROPN;NOM;MASC;SG;3
ヤナギ	بید	ヤナギ	بید	PROPN	
異教徒	گمراہ	異教徒	گمراہ	N	ADJ
疼痛	چوٹ	疼痛	چوٹ		V;ACT
疼痛	کوشش	疼痛	کوشش		N;NOM;FEM;SG;3
疼痛	اندوہ.	疼痛	اندوہ.		PROPN;NOM;MASC;SG;3
テンダー	معذرت	テンダー	معذرت	PROPN	N;NOM;MASC;SG;3
テンダー	گداز	テンダー	گداز	PROPN	N;NOM;MASC;SG;3
テンダー	خیال	テンダー	خیال	PROPN	N;NOM;MASC;SG;3
テンダー	بودا	テンダー	بودا	PROPN	
テンダー	ٹینڈر	テンダー	ٹینڈر	PROPN	N;NOM;MASC;SG;3
テンダー	پیشکش	テンダー	پیشکش	PROPN	N;NOM;MASC;SG;3
テンダー	رکھوالا	テンダー	رکھ	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
テンダー	مانوس	テンダー	مانوس	PROPN	ADJ
テンダー	کچّی	テンダー	کچیی	PROPN	PROPN;NOM;MASC;SG;3
テンダー	کمزور.	テンダー	کمزور.	PROPN	PROPN;NOM;MASC;SG;3
テンダー	نگراں.	テンダー	نگراں.	PROPN	PROPN;NOM;MASC;SG;3
テンダー	معذرت	テンダー	معذرت	PROPN	N;NOM;MASC;SG;3
テンダー	گداز	テンダー	گداز	PROPN	N;NOM;MASC;SG;3
テンダー	خیال	テンダー	خیال	PROPN	N;NOM;MASC;SG;3
テンダー	بودا	テンダー	بودا	PROPN	
テンダー	ٹینڈر	テンダー	ٹینڈر	PROPN	N;NOM;MASC;SG;3
テンダー	نازک	テンダー	نازک	PROPN	ADJ
テンダー	پیشکش	テンダー	پیشکش	PROPN	N;NOM;MASC;SG;3
テンダー	رکھوالا	テンダー	رکھ	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
テンダー	مانوس	テンダー	مانوس	PROPN	ADJ
テンダー	کچّی	テンダー	کچیی	PROPN	PROPN;NOM;MASC;SG;3
テンダー	کمزور.	テンダー	کمزور.	PROPN	PROPN;NOM;MASC;SG;3
テンダー	نگراں.	テンダー	نگراں.	PROPN	PROPN;NOM;MASC;SG;3
クラッカー	سڑی.	クラッカー	سڑی.	N	PROPN;NOM;MASC;SG;3
クラッカー	غریب	クラッカー	غریب	N	ADJ
クラッカー	بسکٹ.	クラッカー	بسکٹ.	N	
抱擁	معانقہ	抱擁	معانقہ	V	N;NOM;MASC;SG;3
ツタ	لبلاب	ツタ	لبلاب	N	PROPN;NOM;MASC;SG;3
摩耗	off	摩耗	off	N	
摩耗	اوڑھنا	摩耗	اوڑھنا	N	V;MASC;SG;NFIN;ACT
摩耗	away	摩耗	away	N	PROPN;NOM;MASC;SG;3
摩耗	(	摩耗	(	N	
摩耗	well	摩耗	well	N	PROPN;NOM;MASC;SG;3
摩耗	اجیرن	摩耗	اجیرن	N	ADJ
摩耗	پہناوا	摩耗	پہناوا	N	V;PFV;MASC;SG;V.PTCP;ACT
摩耗	off	摩耗	off	N	
摩耗	اوڑھنا	摩耗	اوڑھنا	N	V;MASC;SG;NFIN;ACT
摩耗	away	摩耗	away	N	PROPN;NOM;MASC;SG;3
摩耗	(	摩耗	(	N	
摩耗	well	摩耗	well	N	PROPN;NOM;MASC;SG;3
摩耗	اجیرن	摩耗	اجیرن	N	ADJ
摩耗	پہناوا	摩耗	پہناوا	N	V;PFV;MASC;SG;V.PTCP;ACT
摩耗	پہننا	摩耗	پہن	N	V;MASC;SG;NFIN;ACT
日焼け	سنولایا	日焼け	سنولایا	N	V;PFV;MASC;SG;V.PTCP;ACT
日焼け	سانولا.	日焼け	سانولا.	N	
朱色	گلابی.	朱色	گلابی.	N	PROPN;NOM;MASC;SG;3
朱色	شنگرفی.	朱色	شنگرفی.	N	PROPN;NOM;MASC;SG;3
朱色	شنگرفی	朱色	شنگرفی	N	PROPN;NOM;MASC;SG;3
ブローカー	بچولیا-	ブローカー	بچولی	N	PROPN;NOM;MASC;SG;3
ブローカー	دلال	ブローカー	دلال	N	
ブローカー	گماشتہ	ブローカー	گماشتہ	N	PROPN;NOM;MASC;SG;3
オクターヴ	اٹھوا	オクターヴ	اٹھ	PROPN	PROPN;NOM;MASC;SG;3
オクターヴ	مثمن.	オクターヴ	مثمن.	PROPN	PROPN;NOM;MASC;SG;3
いす	کرسی	いす	کرسی	N	PROPN;NOM;MASC;SG;3
アーミー	تنظیم	アーミー	تنظیم	PROPN	N;NOM;FEM;SG;3
スプリット	over	スプリット	over	N	PROPN;NOM;MASC;SG;3
スプリット	جھری	スプリット	جھری	N	PROPN;NOM;MASC;SG;3
スプリット	تنکا.	スプリット	تنکا.	N	PROPN;NOM;MASC;SG;3
スプリット	درز	スプリット	درز	N	PROPN;NOM;MASC;SG;3
スプリット	away	スプリット	away	N	PROPN;NOM;MASC;SG;3
雲母	ابرق	雲母	ابرق	N	PROPN;NOM;MASC;SG;3
質屋	مرتہن.	質屋	مرتہن.	N	PROPN;NOM;MASC;SG;3
変人	اولو	変人	اولو	N	PROPN;NOM;MASC;SG;3
変人	خبطی	変人	خبطی	N	PROPN;NOM;MASC;SG;3
無音	خاموش	無音	خاموش	N	ADJ
無音	بھول.	無音	بھول.	N	PROPN;NOM;MASC;SG;3
無音	نسیان	無音	نسیان	N	PROPN;NOM;MASC;SG;3
無音	سنّاٹا.	無音	سنّاٹا.	N	PROPN;NOM;MASC;SG;3
無音	بھول.	無音	بھول.	N	PROPN;NOM;MASC;SG;3
無音	نسیان	無音	نسیان	N	PROPN;NOM;MASC;SG;3
無音	سنّاٹا.	無音	سنّاٹا.	N	PROPN;NOM;MASC;SG;3
バケツ	بالٹی.	バケツ	بالٹی.	N	PROPN;NOM;MASC;SG;3
電磁気	برقناطیسیت	電磁気	برقناطیسیت	N	ADJ;NOM
六	مسدس	六	مسدس	NUM	PROPN;NOM;MASC;SG;3
フール	احمقانہ	フール	احمقانہ	PROPN	ADJ
フール	بدّھو	フール	بدّھو	PROPN	PROPN;NOM;MASC;SG;3
フール	مسخرا	フール	مسخرا	PROPN	PROPN;NOM;MASC;SG;3
フール	چھیڑنا	フール	چھیڑ	PROPN	V;NFIN;ACT
フール	احمق	フール	احمق	PROPN	
フール	احمقانہ	フール	احمقانہ	PROPN	ADJ
フール	بدّھو	フール	بدّھو	PROPN	PROPN;NOM;MASC;SG;3
フール	مسخرا	フール	مسخرا	PROPN	PROPN;NOM;MASC;SG;3
フール	چھیڑنا	フール	چھیڑ	PROPN	V;NFIN;ACT
修辞	پُرتکلف	修辞	پُرتکلف	N	ADJ
おかあさん	جننا	おかあさん	جننا	PROPN	
おかあさん	پالنا	おかあさん	پال	PROPN	V;SG;NFIN;ACT
おかあさん	سبب	おかあさん	سبب	PROPN	N;ACC;MASC;SG;3
スウィング	جھولنے	スウィング	جھول	N	V;ACC;NFIN
スウィング	سُبک	スウィング	سُبک	N	PROPN;NOM;MASC;SG;3
スウィング	لٹکنے	スウィング	لٹک	N	V;ACC;NFIN
スウィング	رواں	スウィング	رواں	N	ADJ
スウィング	جھلانا	スウィング	جھلا	N	PROPN;NOM;MASC;SG;3
スウィング	جھونک	スウィング	جھونک	N	V;ACT
スウィング	لپک.	スウィング	لپک.	N	
スウィング	جھولنا	スウィング	جھول	N	V;SG;NFIN;ACT
おじいさん	جد.	おじいさん	جد.	N	
バケーション	چھٹی.	バケーション	چھٹی.	N	PROPN;NOM;MASC;SG;3
バケーション	منانا.	バケーション	منان	N	PROPN;NOM;MASC;SG;3
ジャスパー	یشب.	ジャスパー	یشب.	PROPN	PROPN;NOM;MASC;SG;3
ジャスパー	یشم	ジャスパー	یشم	PROPN	PROPN;NOM;MASC;SG;3
盗作	انتحال	盗作	انتحال	N	
恭順	ادب.	恭順	ادب.	N	PROPN;NOM;MASC;SG;3
サージ	(	サージ	(	N	
絞首刑	آویزاں	絞首刑	آویزاں	N	ADJ
モンスーン	برشگال.	モンスーン	برشگال.	PROPN	PROPN;NOM;MASC;SG;3
ラージャ	تعلقدار	ラージャ	تعلقدار	PROPN	N;NOM;MASC;SG;3
ラージャ	جاگیردار.	ラージャ	جاگیردار.	PROPN	PROPN;NOM;MASC;SG;3
ラージャ	رئیس	ラージャ	رئیس	PROPN	N;NOM;MASC;SG;3
引っ張る	پہنچ.	引っ張る	پہنچ	V	
引っ張る	کشش.	引っ張る	کشش.	V	PROPN;NOM;MASC;SG;3
引っ張る	کسالا	引っ張る	کسال	V	PROPN;NOM;MASC;SG;3
引っ張る	محنت	引っ張る	محنت	V	N;NOM;FEM;SG;3
オシャレ	نفیس.	オシャレ	نفیس.	ADJ	PROPN;NOM;MASC;SG;3
オシャレ	مروّجہ	オシャレ	مروّجہ	ADJ	PROPN;NOM;MASC;SG;3
弁証法	جدلیت	弁証法	جدلیت	N	PROPN;NOM;MASC;SG;3
対角線	اُریبی	対角線	اُریبی	N	PROPN;NOM;MASC;SG;3
対角線	آڑا	対角線	آڑا	N	PROPN;NOM;MASC;SG;3
対角線	اُریبی	対角線	اُریبی	N	PROPN;NOM;MASC;SG;3
対角線	آڑا	対角線	آڑا	N	PROPN;NOM;MASC;SG;3
スタンバイ	مستعدی	スタンバイ	مستعدی	N	ADJ
醜い	گھنائونا	醜い	گھنائونا	ADJ	PROPN;NOM;MASC;SG;3
醜い	کریہہ	醜い	کریہہ	ADJ	
醜い	ڈرائونا	醜い	ڈرائونا	ADJ	V;MASC;SG;V.PTCP;ACT
醜い	صورت	醜い	صورت	ADJ	N;NOM;MASC;SG;3
醜い	واہیات	醜い	واہیات	ADJ	N;NOM;MASC;PL;3
醜い	زشت	醜い	زشت	ADJ	PROPN;NOM;MASC;SG;3
醜い	بھدّا	醜い	بھدلا	ADJ	PROPN;NOM;MASC;SG;3
醜い	گھنائونا	醜い	گھنائونا	ADJ	PROPN;NOM;MASC;SG;3
醜い	کریہہ	醜い	کریہہ	ADJ	
醜い	ڈرائونا	醜い	ڈرائونا	ADJ	V;MASC;SG;V.PTCP;ACT
醜い	صورت	醜い	صورت	ADJ	N;NOM;MASC;SG;3
醜い	واہیات	醜い	واہیات	ADJ	N;NOM;MASC;PL;3
醜い	بدنما	醜い	بدنما	ADJ	V;ACT
醜い	زشت	醜い	زشت	ADJ	PROPN;NOM;MASC;SG;3
醜い	بھدّا	醜い	بھدلا	ADJ	PROPN;NOM;MASC;SG;3
温かい	(	温かい	(	ADJ	
温かい	تاؤ	温かい	تاؤ	ADJ	
温かい	ادماتا.	温かい	ادمات	ADJ	V;IPFV;MASC;SG;V.PTCP;ACT
温かい	عمل	温かい	عمل	ADJ	N;NOM;MASC;SG;3
温かい	سخت-	温かい	سخت-	ADJ	PROPN;NOM;MASC;SG;3
温かい	(	温かい	(	ADJ	
温かい	تاؤ	温かい	تاؤ	ADJ	
温かい	ادماتا.	温かい	ادمات	ADJ	V;IPFV;MASC;SG;V.PTCP;ACT
温かい	عمل	温かい	عمل	ADJ	N;NOM;MASC;SG;3
温かい	سخت-	温かい	سخت-	ADJ	PROPN;NOM;MASC;SG;3
償却	گھٹاؤ	償却	گھٹاؤ	N	PROPN;NOM;MASC;SG;3
甘え	آسرا	甘える	آسرا	V	N;NOM;MASC;SG;3
甘え	تکیہ	甘える	تکیہ	V	PROPN;NOM;MASC;SG;3
甘え	بھروسا	甘える	بھروسا	V	PROPN;NOM;MASC;SG;3
甘え	محتاجی.	甘える	محتاجی.	V	PROPN;NOM;MASC;SG;3
甘え	اعتماد	甘える	اعتماد	V	N;NOM;MASC;SG;3
バイオレット	بنفشیٔ.	バイオレット	بنفشیٔ.	N	PROPN;NOM;MASC;SG;3
フィックス	باندھنا	フィックス	باندھنا	N	V;NFIN;ACT
フィックス	ٹانگنا	フィックス	ٹانگنا	N	PROPN;NOM;MASC;SG;3
フィックス	ٹھونکنا	フィックス	ٹھونکنا	N	V;SG;NFIN;ACT
フィックス	رشوت.	フィックス	رشوت.	N	PROPN;NOM;MASC;SG;3
フィックス	باندھنا	フィックス	باندھنا	N	V;NFIN;ACT
フィックス	ٹانگنا	フィックス	ٹانگنا	N	PROPN;NOM;MASC;SG;3
フィックス	ٹھہرانا	フィックス	ٹھہرانا	N	V;MASC;SG;NFIN;ACT
フィックス	ٹھونکنا	フィックス	ٹھونکنا	N	V;SG;NFIN;ACT
フィックス	جمانا	フィックス	جمانا	N	V;PFV;MASC;SG;V.PTCP;ACT
フィックス	رشوت.	フィックス	رشوت.	N	PROPN;NOM;MASC;SG;3
時制	کشیدہ.	時制	کشیدہ.	N	PROPN;NOM;MASC;SG;3
時制	تنت	時制	تنت	N	PROPN;NOM;MASC;SG;3
時制	تاننا	時制	تان	N	V;SG;NFIN;ACT
ジャコウ	مُشک	ジャコウ	مُشک	PROPN	PROPN;NOM;MASC;SG;3
テクスチャ	بُناوٹ	テクスチャ	بُناوٹ	N	PROPN;NOM;MASC;SG;3
抒情	سُریلا	抒情	سُریلا		PROPN;NOM;MASC;SG;3
調製	تیاری	調製	تیاری	V	N;NOM;MASC;SG;3
調製	آمادگی	調製	آمادگی	V	N;NOM;MASC;SG;3
調製	مستعدی.	調製	مستعدی.	V	PROPN;NOM;MASC;SG;3
角膜	قرنیہ.	角膜	قرنیہ.	PROPN	PROPN;NOM;MASC;SG;3
カエデ	افرا	カエデ	افرا	PROPN	
カエデ	سیب	カエデ	سیب	PROPN	N;NOM;MASC;SG;3
カエデ	اسفندان	カエデ	اسفندان	PROPN	PROPN;NOM;MASC;SG;3
カエデ	رونق	カエデ	رونق	PROPN	N;NOM;MASC;SG;3
神童	اعجوبہ	神童	اعجوبہ	N	PROPN;NOM;MASC;SG;3
賢い	مُستعد	賢く	مُستعد	ADJ	PROPN;NOM;MASC;SG;3
賢い	پُھرتیلا	賢く	پُھرتیلا	ADJ	PROPN;NOM;MASC;SG;3
賢い	ذہین.	賢く	ذہین.	ADJ	PROPN;NOM;MASC;SG;3
賢い	مُستعد	賢く	مُستعد	ADJ	PROPN;NOM;MASC;SG;3
賢い	پُھرتیلا	賢く	پُھرتیلا	ADJ	PROPN;NOM;MASC;SG;3
賢い	ہوشیار	賢く	ہوشیار	ADJ	PROPN;NOM;MASC;SG;3
賢い	ذہین.	賢く	ذہین.	ADJ	PROPN;NOM;MASC;SG;3
賢い	تیزی	賢く	تیزی	ADJ	N;NOM;MASC;SG;3
賢い	ہوشیار	賢く	ہوشیار	ADJ	PROPN;NOM;MASC;SG;3
賢い	پھرتیلا.	賢く	پھرتیلا.	ADJ	PROPN;NOM;MASC;SG;3
賢い	طرار	賢く	طرار	ADJ	
賢い	وضعدار	賢く	وضعدار	ADJ	N
賢い	خلش.	賢く	خلش.	ADJ	PROPN;NOM;MASC;SG;3
賢い	عیار	賢く	عیار	ADJ	
賢い	طرحدار	賢く	طرحدار	ADJ	PROPN;NOM;MASC;SG;3
賢い	زوردار.	賢く	زوردار.	ADJ	PROPN;NOM;MASC;SG;3
背広	لائق	背広	لائق	N	ADJ
背広	(	背広	(	N	
背広	ڈھالنا	背広	ڈھال	N	V;MASC;SG;NFIN;ACT
空欄	بالکل	空欄	بالکل	V	CONJ
空欄	یکسر	空欄	یکسر	V	ADJ
空欄	چھپادینا	空欄	چھپادینا	V	PROPN;NOM;MASC;SG;3
レイジ	جنگ	レイジ	جنگ	PROPN	N;NOM;FEM;SG;3
レイジ	برسنا	レイジ	برسنا	PROPN	
レイジ	against	レイジ	against	PROPN	PROPN;NOM;MASC;SG;3
レイジ	شاعرانہ	レイジ	شاعرانہ	PROPN	ADJ
レイジ	گرجنا	レイジ	گرجنا	PROPN	V;MASC;SG;NFIN;ACT
レイジ	(	レイジ	(	PROPN	
レイジ	طیش	レイジ	طیش	PROPN	N;NOM;MASC;SG;3
ローグ	لچّا.	ローグ	لچّا.	PROPN	PROPN;NOM;MASC;SG;3
ローグ	وحشی	ローグ	وحشی	PROPN	
取消	تنسیخ	取消	تنسیخ	V	N;NOM;MASC;SG;3
取消	رد	取消	رد	V	N;NOM;MASC;SG;3
取消	تنسیخ	取消	تنسیخ	V	N;NOM;MASC;SG;3
取消	رد	取消	رد	V	N;NOM;MASC;SG;3
リネン	قمیص	リネン	قمیص	N	PROPN;NOM;MASC;SG;3
スフィンクス	ببون	スフィンクス	ببون	PROPN	
スフィンクス	عجیب	スフィンクス	عجیب	PROPN	ADJ
