de	say	de	say		
kabul	수락	kabul	수락	N;NOM;SG;3	
kabul	동의	kabul	동의	N;NOM;SG;3	
devam	계속	devam	계속	N;NOM;SG;3	
devam	계속하기	devam	계속+하+기	N;NOM;SG;3	V
kupası	cup	kupa	cup	N;NOM;SG;3	
okulu	스쿨	okul	스쿨	N;NOM;SG;3	
okulu	학원	okul	학원	N;NOM;SG;3	
aldı	받음	al	받+ㅁ	V;PFV;IND;SG;3;POS;PST	
farklı	달라	farklı	달+라	ADJ	
farklı	다름	farklı	다르+ㅁ	ADJ	
futbol	축구	futbol	축구		N
futbol	축구	futbol	축구		N
futbol	미식축구	futbol	미식+축구		N
futbol	풋볼	futbol	풋볼		N
doğru	정확한	doğru	정확+하+ㄴ		V
doğru	정확도	doğru	정확도		N
doğru	오른쪽	doğru	오른쪽		N
doğru	정답	doğru	정답		N
doğru	올바른	doğru	올바르+ㄴ		ADJ
tarım	농업	tarım	농업		N
tarım	농지	tarım	농지		N
tarım	농업	tarım	농업		N
tarım	농장	tarım	농장		N
tarım	농업	tarım	농업		N
özel	독점	özel	독점	ADJ	N
özel	단독	özel	단독	ADJ	N
özel	비공개	özel	비공개	ADJ	N
özel	특수	özel	특수	ADJ	
özel	특별한	özel	특별+하+ㄴ	ADJ	V
özel	스페셜	özel	스페셜	ADJ	
özel	특별	özel	특별	ADJ	
özel	커스텀	özel	커스텀	ADJ	
özel	맞춤	özel	맞추+ㄴ	ADJ	
biri	누군가	biri	누구+이+ㄴ가	PRO;NOM;SG;3	
biri	누군가	biri	누구+이+ㄴ가	PRO;NOM;SG;3	
biri	하나	biri	하나	PRO;NOM;SG;3	
alanı	필드	alan	필드	N;NOM;SG;3	
alanı	현장	alan	현장	N;NOM;SG;3	
alanı	면적	alan	면적	N;NOM;SG;3	
vikipedi	위키백과의	vikip	위키백+과+의		PROPN
vikipedi	위키백과	vikip	위키백+과		CONJ
uzun	확장	uzun	확장	ADJ	N
uzun	연장	uzun	연장	ADJ	N
şarkı	노래	şarkı	노래		N
şarkı	노래	şarkı	노래		N
şarkı	songs	şarkı	songs		
şarkı	노래	şarkı	노래		N
eden	이든	et	이+든	V;PFV;IND;POS;PRS;V.PTCP	
eden	에덴	et	에덴	V;PFV;IND;POS;PRS;V.PTCP	
lig	동맹	lig	동맹		N
lig	리그	lig	리그		N
orta	중간	orta	중간		N
orta	가운데	orta	가운데		N
orta	미디어	orta	미디어		N
orta	중간	orta	중간		N
orta	중앙	orta	중앙		N
orta	중심	orta	중심		N
orta	중앙	orta	중앙		N
oyuncu	재생기	oyuncu	재생기		N
oyuncu	선수	oyuncu	선수		N
oyuncu	배우	oyuncu	배우		N
oyuncu	배우	oyuncu	배우		N
oyuncu	여배우	oyuncu	여배우		N
geri	뒤로	geri	뒤+로		ADV
geri	다시	geri	다시		ADV
geri	뒤로	geri	뒤+로		ADV
mesaj	텍스트	mesaj	텍스트		N
mesaj	문자	mesaj	문자		N
mesaj	문구	mesaj	문구		N
merkezi	중부	merkez	중부	N;ACC;SG;3	
merkezi	센트럴	merkez	센트렇+ㄹ	N;ACC;SG;3	
merkezi	센터	merkez	센터	N;ACC;SG;3	
merkezi	센터	merkez	센터	N;ACC;SG;3	
kısa	짧게	kısa	짧+게	ADJ	
kısa	짧게	kısa	짧+게	ADJ	
kısa	쇼트	kısa	쇼트	ADJ	
almanya	독일	al	독일	PROPN;NOM;SG;3	PROPN
kuzey	북부	kuzey	북부		N
kuzey	북쪽	kuzey	북+쪽		N
kuzey	북부	kuzey	북부		N
çeşitli	다양하다	çeşitli	다양+하+다		V
çeşitli	다양체	çeşitli	다양체		N
çeşitli	기타	çeşitli	기타		N
açıklama	자막	açıkla	자막	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
açıklama	문구	açıkla	문구	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
açıklama	설명	açıkla	설명	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
açıklama	설명	açıkla	설명	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
açıklama	설명	açıkla	설명	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
açıklama	묘사	açıkla	묘사	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
team	team	team	team		
fransa	프랑스	fra	프랑스	PROPN;NOM;SG;3	PROPN
amerika	아메리카	amerik	아메리카		PROPN
amerika	미국	amerik	미국		PROPN
burada	여기	bura	여기	N;ESS;SG;3	PRO
burada	여기에	bura	여기+에	N;ESS;SG;3	ADV
gol	호야	gol	호야	N;NOM;SG;3	
ana	ana	ana	ana		
ana	어머니	ana	어머니		N
özellikle	특히	özellikle	특히		ADV
özellikle	특히	özellikle	특히		ADV
özellikle	구체적으로	özellikle	구체+적+으로		ADV
özellikle	특별히	özellikle	특별+히		ADV
birleşik	통합	birleşik	통합		N
birleşik	united	birleşik	united		
birleşik	유나이티드	birleşik	유나이티드		PROPN
yerine	대신	yer	대신	N;DAT;SG;3	
yerine	대신에	yer	대신+에	N;DAT;SG;3	ADV
yerine	대체	yer	대체	N;DAT;SG;3	ADV
yerine	바꾸기	yer	바꾸+기	N;DAT;SG;3	V
gün	데이	gün	데이	N;NOM;SG;3	
geçen	지나가다	geç	지나+아+가+다		CONJ
geçen	지나가다가	geç	지나+아+가+다가		CONJ
geçen	지나가	geç	지나+아+가+아		V
geçen	지나가는	geç	지나+아+가+는		V
doğu	동부	doğu	동부		N
doğu	동부	doğu	동부		N
süre	타임	süre	타임	N;NOM;SG;3	
süre	time	süre	time	N;NOM;SG;3	
sabit	꾸준히	sabit	꾸준히		ADV
sabit	상수	sabit	상수		N
sabit	안정화	sabit	안정화		N
sabit	안정환	sabit	안정환		N
sabit	안정적	sabit	안정+적		N
su	물이	su	물+이		N
olur	발생	ol	발생	V;IPFV;IND;SG;3;POS	N
yaklaşık	소개	yaklaşık	소개		N
yaklaşık	대략적인	yaklaşık	대략+적+이+ㄴ		V
alman	독일	al	독일		PROPN
alman	독일인	al	독일인		N
alman	독일인	al	독일인		N
az	리틀	az	리틀	ADV	
millî	국립	millî	국립		N
millî	국민	millî	국민		N
kaynak	출처	kaynak	출처		N
kaynak	자원	kaynak	자원		N
kaynak	리소스	kaynak	리소스		N
kaynak	자원	kaynak	자원		N
kaynak	리소스	kaynak	리소스		N
kaynak	용접	kaynak	용접		N
ali	알리	al	알리	PROPN;NOM;SG;3	
ali	ali	al	ali	PROPN;NOM;SG;3	
kullanılan	사용	kullan	사용	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
ligi	동맹	ligi	동맹		N
ligi	리그	ligi	리그		N
görev	미션	görev	미션	N;NOM;SG;3	
halk	민족	halk	민족		N
halk	공공	halk	공공		N
halk	공개	halk	공개		N
halk	공중	halk	공중		N
halk	국민	halk	국민		N
halk	사람	halk	사람		N
halk	사람들	halk	사람+들		N
tv	텔레비전	tv	텔레비전		N
onun	그녀	o	그녀	PRO;GEN;SG;3	
yılı	year	yıl	year		
yeniden	재구성	yeniden	재구성	ADV	N
etki	영향	etki	영향		N
etki	영향	etki	영향		N
etki	효과	etki	효과		N
sezon	계절	sezon	계절		N
albüm	앨범	albüm	앨범		N
albüm	음반	albüm	음반		N
albüm	앨범	albüm	앨범		N
albüm	음반	albüm	음반		N
ingiliz	브릿	ingiliz	브릿		PROPN
ingiliz	브리티시	ingiliz	브리티시		PROPN
ingiliz	영국인	ingiliz	영국인		N
ingiliz	영국	ingiliz	영국		PROPN
puan	평가	pu	평가		N
puan	평가하기	pu	평가+하+기		V
puan	점수	pu	점수		N
puan	득점	pu	득점		N
puan	점수	pu	점수		N
nüfus	인구	nüfus	인구		N
nüfus	인구순	nüfus	인구순		N
nüfus	인구	nüfus	인구		N
batı	서양	batı	서양		N
tür	장르	tür	장르		N
tür	종류	tür	종류		N
tür	유형	tür	유형		N
tür	종족	tür	종족		N
amerikan	미국인	amerikan	미국인		N
savaş	배틀	savaş	배틀	N;NOM;SG;3	
savaş	싸워라	savaş	싸우+어라	N;NOM;SG;3	
savaş	싸움	savaş	싸움	N;NOM;SG;3	
savaş	싸우기	savaş	싸우+기	N;NOM;SG;3	V
savaş	싸워	savaş	싸우+어	N;NOM;SG;3	
savaş	싸우다	savaş	싸우+다	N;NOM;SG;3	
tekrar	다시	tekrar	다시		ADV
tekrar	또다시	tekrar	또다시		ADV
tekrar	반복한다	tekrar	반복+하+ㄴ다		V
tekrar	반복합니다	tekrar	반복+하+ㅂ니다		V
tekrar	반복	tekrar	반복		N
tekrar	재생	tekrar	재생		N
anadolu	아나톨리아	anadolu	아나톨리아		PROPN
anadolu	아시아	anadolu	아시아		PROPN
söz	word	söz	word		
rağmen	불구하고	rağmen	불구+하+고	ADP	V
grubu	집단	grup	집단		N
kadın	여자	kadın	여자		N
kadın	여성	kadın	여성		N
kadın	여성	kadın	여성		N
kadın	여자들	kadın	여자+들		N
kadın	여자	kadın	여자		N
kadın	여성	kadın	여성		N
wikipedia	위키백과의	wikipe	위키백+과+의		PROPN
wikipedia	위키백과	wikipe	위키백+과		CONJ
tam	가득	tam	가득		ADV
tam	완료	tam	완료		N
tam	완성	tam	완성		N
tam	tam	tam	tam		
birliği	유니언	birlik	유니언	N;NOM;SG;3	
maç	mac	maç	mac	N;NOM;SG;3	
maç	일치하기	maç	일치+하+기	N;NOM;SG;3	V
maç	일치합니다	maç	일치+하+ㅂ니다	N;NOM;SG;3	V
maç	매치	maç	매치	N;NOM;SG;3	
maç	일치	maç	일치	N;NOM;SG;3	
white	하얀	whit	하얗+ㄴ	PROPN;NOM;SG;3	
white	화이트	whit	화이트	PROPN;NOM;SG;3	
white	흰색	whit	흰+색	PROPN;NOM;SG;3	
white	하얀색	whit	하얀색	PROPN;NOM;SG;3	
white	하얗게	whit	하얗+게	PROPN;NOM;SG;3	ADJ
http	http	http	http		
roma	로마	roma	로마	PROPN;NOM;SG;3	PROPN
roma	로마	roma	로마	PROPN;NOM;SG;3	PROPN
at	던지기	at	던지기		V
bölüm	chapter	bölüm	chapter		
bölüm	사단	bölüm	사단		N
bölüm	디비전	bölüm	디비전		N
bölüm	섹션	bölüm	섹션		N
bölüm	부분	bölüm	부분		N
bölüm	부품	bölüm	부품		N
bölüm	부서	bölüm	부서		N
yazar	작가	yazar	작가		N
yazar	작가	yazar	작가		N
yazar	저자	yazar	저자		N
yazar	제작자	yazar	제작자		N
yazar	작성자	yazar	작성자		N
ulusal	국립	ulusal	국립		N
ulusal	국민	ulusal	국민		N
köyü	마을	köy	마을		N
teknik	테크니컬	teknik	테크니+들	ADJ	
teknik	기술	teknik	기술	ADJ	N
teknik	기술적	teknik	기술+적	ADJ	N
teknik	기법	teknik	기법	ADJ	N
teknik	기술	teknik	기술	ADJ	N
teknik	테크	teknik	테크	ADJ	
deniz	해병대	deniz	해병대		N
uygun	fit	uygun	fit	ADJ	
uygun	자격	uygun	자격	ADJ	
uygun	편리하다	uygun	편리+하+다	ADJ	V
uygun	편리	uygun	편리	ADJ	
uygun	어울리는	uygun	어울리+는	ADJ	
yakın	닫아	yakın	닫+아		V
listesi	리스트	liste	리스트	N;NOM;SG;3	
iç	내부	iç	내부		N
iç	음료	iç	음료		N
iç	음료수	iç	음료수		N
ingiltere	잉글랜드	ingiltere	잉글랜드	PROPN;NOM;SG;3	PROPN
from	출신	from	출신		N
alt	아래쪽	alt	아래+쪽		N
alt	서브	alt	서브		N
alt	아래쪽	alt	아래+쪽		N
alt	아래	alt	아래		N
alt	beat	alt	beat		
alt	alt	alt	alt		
asfalt	아스팔트	asfalt	아스팔트		N
fransız	프랑스	fransız	프랑스		PROPN
fransız	프랑스어	fransız	프랑스어		PROPN
fransız	프랑스인	fransız	프랑스인		N
belediye	시영	beledi	시영		N
rusya	벨라루스	rusya	벨라루스	PROPN;NOM;SG;3	PROPN
rusya	러시아	rusya	러시아	PROPN;NOM;SG;3	PROPN
genellikle	주로	genellikle	주로		ADV
genellikle	대부분	genellikle	대부분		N
genellikle	일반적으로	genellikle	일반+적+으로		ADV
genellikle	보통	genellikle	보통		N
genellikle	일반적으로	genellikle	일반+적+으로		ADV
space	공간	space	공간		N
space	우주	space	우주		N
com	com	com	com		
parti	party	parti	party		
parti	파티	parti	파티		N
erkek	멘트	erkek	멘트		N
erkek	남성	erkek	남성		N
erkek	남자	erkek	남자		N
erkek	남성	erkek	남성		N
erkek	남자	erkek	남자		N
erkek	남성	erkek	남성		N
erkek	사람	erkek	사람		N
beyaz	하얗게	beyaz	하얗+게		ADJ
bölge	지방	bölge	지방		N
bölge	지역	bölge	지역		N
bölge	영토	bölge	영토		N
bölge	준주	bölge	준주		N
bölge	지대	bölge	지대		N
bölge	zone	bölge	zone		
bölge	영역	bölge	영역		N
bölge	구역	bölge	구역		N
bölge	영역	bölge	영역		N
bölge	지역	bölge	지역		N
italya	이탈리아	italya	이탈리아	PROPN;NOM;SG;3	PROPN
onu	그녀	o	그녀	PRO;ACC;SG;3	
hava	날씨	hava	날씨		N
hava	항공	hava	항공		N
hava	공기	hava	공기		N
verilen	주어진	ver	주+어+지+ㄴ	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
çünkü	왜냐면	çünkü	왜+이면	CONJ	
çünkü	원인	çünkü	원인	CONJ	N
birkaç	몇몇	birkaç	몇몇	DET	ADJ
birkaç	여러개	birkaç	여러개	DET	
dönem	용어	dön	용어		N
dönem	기간	dön	기간		N
dönem	시대	dön	시대		N
dönem	학기	dön	학기		N
açık	지우기	açık	지우+기	ADJ	V
açık	지우	açık	지우	ADJ	
açık	맑음	açık	맑음	ADJ	
açık	오픈	açık	오프+ㄴ	ADJ	
açık	열기	açık	열+기	ADJ	
insan	인간인	insan	인간인	N;NOM;SG;3	V
merkez	본부	merkez	본부		N
merkez	본사	merkez	본사		N
merkez	중앙	merkez	중앙		N
merkez	중심	merkez	중심		N
merkez	중앙	merkez	중앙		N
düşük	낮은	düşük	낮+ㄴ		ADJ
düşük	낮음	düşük	낮+ㅁ		ADJ
düşük	low	düşük	low		
bilinen	알려진	bil	알리+어+지+ㄴ	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
genç	십대	genç	십대		N
genç	젊은	genç	젊+ㄴ		ADJ
genç	청소년	genç	청소년		N
genç	십대	genç	십대		N
genç	청소년	genç	청소년		N
dışında	빼고	dış	빼+고	ADJ;ESS;SG;3	
kır	휴식	kır	휴식		N
kır	break	kır	break		
ülke	나라	ülke	나라		N
ülke	국가	ülke	국가		N
dil	언어	dil	언어		N
dil	언어	dil	언어		N
pozisyon	직위	pozisyon	직위		N
pozisyon	포지션	pozisyon	포지션		N
pozisyon	직위	pozisyon	직위		N
pozisyon	입장	pozisyon	입장		N
pozisyon	포지션	pozisyon	포지션		N
dahil	포함됨	dahil	포함+되+ㄴ		V
dahil	포함됨	dahil	포함+되+ㄴ		V
iş	욥기	iş	욥기	N;NOM;SG;3	
iş	퇴근	iş	퇴근	N;NOM;SG;3	
iş	잡스	iş	잡스	N;NOM;SG;3	
iş	비즈니스	iş	비즈니스	N;NOM;SG;3	
gelir	소득	gel	소득		N
gelir	수익	gel	수익		N
gelir	소득	gel	소득		N
gelir	수입	gel	수입		N
kullanım	사용법	kullanım	사용법		N
kullanım	사용량	kullanım	사용량		N
kullanım	사용	kullanım	사용		N
kullanım	이용하기	kullanım	이용+하+기		V
kullanım	사용하기	kullanım	사용+하+기		V
kullanım	사용	kullanım	사용		N
kullanım	이용	kullanım	이용		N
sanat	예술	sanat	예술		N
sanat	예술	sanat	예술		N
sanat	미술	sanat	미술		N
üçüncü	세번째	üçüncü	세번+째		N
üçüncü	셋째	üçüncü	셋째		NUM
bunu	이거	bu	이거	PRO;ACC;SG;3	
sonraki	다음	sonraki	다음		N
güzel	아름다워	güzel	아름답+어	ADJ	
güzel	나이스	güzel	나이스	ADJ	
güzel	예뻐	güzel	예+어	ADJ	
güzel	사랑스러운	güzel	사랑+스럽+ㄴ	ADJ	V
güzel	러블리	güzel	러블리	ADJ	
çocuk	boy	çocuk	boy	N;NOM;SG;3	
çocuk	보이	çocuk	보이	N;NOM;SG;3	
çocuk	키드	çocuk	키드	N;NOM;SG;3	
çocuk	아동	çocuk	아동	N;NOM;SG;3	
çocuk	아이유	çocuk	아이유	N;NOM;SG;3	
sinema	시네마	sine	시네마	N;NOM;SG;3	
askeri	군사	askeri	군사		N
örneğin	예제	örneğin	예제	CONJ	N
örneğin	예시	örneğin	예시	CONJ	N
üst	인기	üst	인기		N
paris	파리	paris	파리	PROPN;NOM;SG;3	PROPN
oyun	게임	oyun	게임		N
oyun	게임	oyun	게임		N
oyun	경기	oyun	경기		N
oyun	게임	oyun	게임		N
oyun	놀기	oyun	놀+기		ADJ
oyun	재생	oyun	재생		N
oyun	연주	oyun	연주		N
beraber	함께	beraber	함께		ADV
beraber	같이	beraber	같이		ADV
sırada	넥스트	sıra	넥스트	N;ESS;SG;3	
york	요크	york	요크	PROPN;NOM;SG;3	
şablon	템플릿	şablon	템플릿		N
şablon	패턴	şablon	패턴		N
şablon	템플릿	şablon	템플릿		N
aday	지원자	aday	지원자		N
aday	후보	aday	후보		N
aday	후보자	aday	후보자		N
top	대포	top	대포		N
top	인기	top	인기		N
hakem	심판	hakem	심판		N
hakem	ref	hakem	ref		
ay	개월	ay	개월	N;NOM;SG;3	
imparatorluğu	엠파이어	imparatorluk	엠파+이+어	N;NOM;SG;3	
internet	웹툰	internet	웹툰	N;NOM;SG;3	
internet	인터넷	internet	인터넷	N;NOM;SG;3	
tiyatro	드라마	tiyatro	드라마	N;NOM;SG;3	
kültür	문화	kültür	문화		N
kültür	문화	kültür	문화		N
karar	결심	karar	결심	N;NOM;SG;3	
tarih	날짜	tarih	날짜	N;NOM;SG;3	
tarih	히스토리	tarih	히스토리	N;NOM;SG;3	
temel	파운데이션	temel	파운데이션	ADJ	N
temel	재단	temel	재단	ADJ	
temel	기본	temel	기본	ADJ	N
temel	기초	temel	기초	ADJ	N
temel	베이직	temel	베이직	ADJ	
konu	주제	konu	주제		N
konu	주제	konu	주제		N
konu	제목	konu	제목		N
bağlantı	연결	bağlantı	연결		N
bağlantı	접촉	bağlantı	접촉		N
bağlantı	연락처	bağlantı	연락처		N
çin	중국	çin	중국		PROPN
ünlü	유명한	ünlü	유명+하+ㄴ	ADJ	V
ünlü	유명해	ünlü	유명+하+어	ADJ	V
ünlü	유명인	ünlü	유명+이+ㄴ	ADJ	V
ünlü	유명하다	ünlü	유명+하+다	ADJ	V
ünlü	유명	ünlü	유명	ADJ	
ünlü	연예인	ünlü	연예+이+ㄴ	ADJ	V
spor	스포츠	spor	스포츠		N
spor	스포츠	spor	스포츠		N
kalan	남음	kal	남음	V;PFV;IND;POS;PRS;V.PTCP	
meslek	직업	meslek	직업		N
meslek	점령	meslek	점령		N
sultan	술탄	sultan	술탄		PROPN
iran	페르시아	iran	페르시아		PROPN
iran	페르시아어	iran	페르시아어		PROPN
telif	저작권자	telif	저작권자		N
telif	저작권	telif	저작권		N
telif	저작권	telif	저작권		N
ahmet	아흐메드	ahmet	아흐메드		PROPN
ahmet	아메드	ahmet	아메드		PROPN
ahmet	아흐메드	ahmet	아흐메드		PROPN
ahmet	아흐마드	ahmet	아흐마드		PROPN
çıktı	출력	çık	출력	V;PFV;IND;SG;3;POS;PST	N
ispanya	스페인인	ispanya	스페인인	PROPN;NOM;SG;3	
ispanya	스페인	ispanya	스페인	PROPN;NOM;SG;3	PROPN
bile	조차도	bile	조차도	ADV	
sosyal	사교	sosyal	사교	ADJ	N
sosyal	사회주의	sosyal	사회주의	ADJ	N
sosyal	사회	sosyal	사회	ADJ	N
sosyal	사회적	sosyal	사회+적	ADJ	N
japonya	재팬	japonya	재팬	PROPN;NOM;SG;3	
japonya	일본	japonya	일본	PROPN;NOM;SG;3	PROPN
liste	목록	lis	목록		N
liste	명단	lis	명단		N
liste	목록	lis	목록		N
geniş	와이드	geniş	와이드	ADJ	
geniş	넓이	geniş	넓이	ADJ	
geniş	광범위	geniş	광범위	ADJ	
geniş	광범위한	geniş	광범위+하+ㄴ	ADJ	V
geniş	대형	geniş	대형	ADJ	N
ev	집에	ev	집+에	N;NOM;SG;3	ADV
ev	고향	ev	고향	N;NOM;SG;3	
ev	집으로	ev	집+으로	N;NOM;SG;3	ADV
ev	가정	ev	가정	N;NOM;SG;3	
ev	하우스	ev	하우스	N;NOM;SG;3	
transfer	전송	transfer	전송		N
transfer	전송	transfer	전송		N
önceki	이전	önceki	이전		N
önceki	이전	önceki	이전		N
önceki	전에	önceki	전+에		ADV
mısır	이집트	mısır	이집트		PROPN
mısır	옥수수	mısır	옥수수		N
mısır	이집트	mısır	이집트		PROPN
rus	러시아인	rus	러시아인		N
hareket	움직임	hareket	움직이+ㅁ	N;NOM;SG;3	
hareket	움직여	hareket	움직이+어	N;NOM;SG;3	
hareket	움직임	hareket	움직이+ㅁ	N;NOM;SG;3	
