del	del	del	del	ADP;MASC;SG	N;INDF;MASC+FEM;SG
todo	alle	todo	al	PRO;MASC;SG	ADJ;PL
todo	alt	todo	al	PRO;MASC;SG	ADJ;NEUT;SG
sur	sydlige	sur	sydlig	N;MASC;SG	ADJ;PL
sur	sur	sur	sur	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
sur	sydpå	sur	sydpå	N;MASC;SG	ADV
sur	sydlige	sur	sydlig	N;MASC;SG	ADJ;PL
mayor	majoren	mayor	major	ADJ;SG	N;DEF;MASC+FEM;SG
mayor	major	mayor	major	ADJ;SG	
partido	party	partido	party	N;MASC;SG	
partido	matcher	partido	matcher	N;MASC;SG	V;IND;PRS;FIN;ACT
partido	matche	partido	matche	N;MASC;SG	V;NFIN;ACT
contra	imødegå	contra	imødegå	ADP	V;NFIN;ACT
contra	tælleren	contra	tæller	ADP	N;DEF;MASC+FEM;SG
contra	imod	contra	imod	ADP	ADV
contra	mod	contra	mod	ADP	N;INDF;NEUT;SG
contra	contra	contra	contra	ADP	N;INDF;NEUT;SG
contra	kontra	contra	kontra	ADP	N;INDF;MASC+FEM;SG
encuentra	find	encontrar	find	V;IND;SG;3;PRS;FIN	V;IMP
municipio	township	municipio	township	N;MASC;SG	
municipio	kommun	municipio	kommun	N;MASC;SG	
otras	andet	otro	anden	PRO;FEM;PL	PRO;NEUT;SG
todos	alle	todo	al	PRO;MASC;PL	ADJ;PL
todos	alt	todo	al	PRO;MASC;PL	ADJ;NEUT;SG
todos	alle	todo	al	PRO;MASC;PL	ADJ;PL
juan	johannes	juan	johan	PROPN	N;GEN;INDF;MASC+FEM;SG
juan	john	juan	john	PROPN	PROPN
juan	joan	juan	joan	PROPN	
sido	været	ser	være	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
josé	joseph	josé	joseph	PROPN	N;INDF;MASC+FEM;SG
josé	josef	josé	josef	PROPN	N;INDF;MASC+FEM;SG
josé	josef	josé	josef	PROPN	N;INDF;MASC+FEM;SG
josé	josé	josé	josé	PROPN	
bajo	under	bajo	under	ADP	ADV
bajo	lav	bajo	lav	ADP	V;IMP
bajo	lavt	bajo	lav	ADP	ADJ;INDF;NEUT;SG
bajo	lave	bajo	lave	ADP	V;NFIN;ACT
bajo	low	bajo	low	ADP	
bajo	bajo	bajo	bajo	ADP	
bajo	bassen	bajo	basse	ADP	N;DEF;MASC+FEM;SG
bajo	bass	bajo	bass	ADP	
bajo	bas	bajo	bas	ADP	N;INDF;MASC+FEM;SG
serie	serier	serie	serie	N;FEM;SG	N;INDF;MASC+FEM;PL
cada	hver	cada	hver	DET;SG	PRO;MASC+FEM;SG
cada	hver	cada	hver	DET;SG	PRO;MASC+FEM;SG
equipo	hold	equipo	holde	N;MASC;SG	V;IMP
norte	norte	norte	nort	N;MASC;SG	
norte	nordpå	norte	nordpå	N;MASC;SG	ADV
norte	nordlige	norte	nordlig	N;MASC;SG	ADJ;PL
norte	nordlige	norte	nordlig	N;MASC;SG	ADJ;PL
norte	nordlig	norte	nordlig	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
río	rio	río	rio	N;MASC;SG	
río	river	río	rive	N;MASC;SG	N;INDF;MASC+FEM;PL
méxico	mexico	méxico	mexico	N;MASC;SG	PROPN
han	har	haber	have	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
han	have	haber	have	V;IND;PL;3;PRS;FIN	V;NFIN;ACT
han	han	haber	han	V;IND;PL;3;PRS;FIN	PRO;NOM;MASC+FEM;SG;3
argentina	argentinas	argentino	argentinas	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
argentina	argentina	argentino	argentina	ADJ;FEM;SG	PROPN
argentina	argentinas	argentino	argentinas	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
argentina	argentina	argentino	argentina	ADJ;FEM;SG	PROPN
argentina	argentinske	argentino	argentinsk	ADJ;FEM;SG	ADJ;PL
inglés	englændere	inglés	englænder	N;MASC;SG	N;INDF;MASC+FEM;PL
inglés	engelske	inglés	engelsk	N;MASC;SG	ADJ;PL
inglés	engelsk	inglés	engelsk	N;MASC;SG	ADJ;INDF;SG
inglés	english	inglés	english	N;MASC;SG	
nuevo	nye	nuevo	ny	ADJ;MASC;SG	ADJ;PL
junto	langs	junto	langs	ADJ	ADV
segunda	segunda	segundo	segunda	ADJ;FEM;SG	
segunda	sekund	segundo	sekund	ADJ;FEM;SG	N;INDF;NEUT;SG
segunda	andet	segundo	anden	ADJ;FEM;SG	PRO;NEUT;SG
segunda	anden	segundo	anden	ADJ;FEM;SG	PRO;MASC+FEM;SG
discusión	diskussioner	discusión	diskussion	N;FEM;SG	N;INDF;MASC+FEM;PL
discusión	drøftelser	discusión	drøftelse	N;FEM;SG	N;INDF;MASC+FEM;PL
gobierno	styreformer	gobierno	styreforme	N;MASC;SG	N;INDF;MASC+FEM;PL
final	afsluttende	final	afslutte	N;MASC;SG	V;PRS;V.PTCP
final	endeligt	final	endelig	N;MASC;SG	ADV
final	endelige	final	endelig	N;MASC;SG	ADJ;PL
final	endelig	final	endelig	N;MASC;SG	ADV
vida	life	vida	life	N;FEM;SG	
vida	vida	vida	vida	N;FEM;SG	
personas	people	persona	peopl	N;FEM;PL	
español	spanske	español	spansk	N;MASC;SG	ADJ;PL
español	spaniere	español	spanier	N;MASC;SG	N;INDF;MASC+FEM;PL
centro	downtown	centro	downtown	N;MASC;SG	
centro	centro	centro	centro	N;MASC;SG	
centro	centreret	centro	centerere	N;MASC;SG	V;INDF;SG;PST;V.PTCP
centro	centreret	centro	centerere	N;MASC;SG	V;INDF;SG;PST;V.PTCP
julio	julio	julio	julio	N	
hay	hø	haber	hø	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
país	lande	país	land	N;MASC;SG	N;INDF;NEUT;PL
internacional	internacional	internacional	internacional	ADJ;SG	
internacional	internationale	internacional	international	ADJ;SG	ADJ;PL
santa	sankt	santo	sankt	ADJ;FEM;SG	N;INDF;NEUT;SG
santa	helgen	santo	helgen	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
santa	saint	santo	saint	ADJ;FEM;SG	
santa	julemanden	santo	julemand	ADJ;FEM;SG	N;DEF;MASC+FEM;SG
santa	santa	santo	santa	ADJ;FEM;SG	
santa	julemand	santo	julemand	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
oficial	officielt	oficial	officielt	ADJ;SG	ADV
oficial	embedsmand	oficial	embedsmand	ADJ;SG	N;INDF;MASC+FEM;SG
oficial	tjenestemand	oficial	tjenestemand	ADJ;SG	N;INDF;MASC+FEM;SG
oficial	officer	oficial	officer	ADJ;SG	N;INDF;MASC+FEM;SG
quien	hvem	quien	hvem	PRO;SG	PRO;MASC+FEM
mundo	world	mundo	world	N;MASC;SG	
mundo	mundo	mundo	mundo	N;MASC;SG	
tanto	begge	tanto	begge	ADV	PRO;PL
mayo	may	mayo	may	N	
mayo	kan	mayo	kunne	N	V;IND;PRS;FIN;ACT
mayo	mayo	mayo	mayo	N	
temporada	sæsonbestemte	temporada	sæsonbestemt	N;FEM;SG	ADJ;PL
hacia	mod	hacia	mod	ADP	N;INDF;NEUT;SG
mejor	bedre	mejor	god	ADV	ADJ;CMPR
mejor	beste	mejor	beste	ADV	ADJ;PL
mejor	bedste	mejor	god	ADV	ADJ;DEF;RL
mejor	bedst	mejor	god	ADV	ADJ;RL
mejor	best	mejor	best	ADV	
marzo	marchere	marzo	marcher	N	V;NFIN;ACT
madrid	madrid	madrid	madrid	N;MASC;SG	PROPN
enero	jan	enero	jan	N	PROPN
número	tal	número	tal	N;MASC;SG	N;INDF;NEUT;PL
noviembre	nov	noviembre	nov	N	
otro	andre	otro	anden	PRO;MASC;SG	PRO;PL
estaba	var	estar	være	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
estaba	blev	estar	blive	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
total	samlet	total	samle	ADJ;SG	V;INDF;SG;PST;V.PTCP
habitantes	fastboende	habitante	fastboende	N;PL	V;PRS;V.PTCP
habitantes	bosiddende	habitante	bosidde	N;PL	ADJ
maría	maria	maría	maria	N;FEM;SG	
maría	maria	maría	maria	N;FEM;SG	
real	real	real	real	ADJ;SG	
real	virkeligt	real	virkeligt	ADJ;SG	ADV
real	rigtig	real	rigtig	ADJ;SG	ADV
real	virkelig	real	virkelig	ADJ;SG	ADV
real	kongelige	real	kongelig	ADJ;SG	ADJ;PL
real	royale	real	royal	ADJ;SG	ADJ;PL
página	siden	página	siden	N;FEM;SG	ADV
página	page	página	page	N;FEM;SG	
mundial	world	mundial	world	ADJ;SG	
mundial	verden	mundial	verden	ADJ;SG	N;INDF;MASC+FEM;SG
mundial	globalt	mundial	global	ADJ;SG	ADV
mundial	globale	mundial	global	ADJ;SG	ADJ;PL
música	music	música	music	N;FEM;SG	
casa	hjem	casa	hjem	N;FEM;SG	ADV
casa	hjemme	casa	hjemme	N;FEM;SG	ADV
casa	hjemad	casa	hjemad	N;FEM;SG	ADV
casa	home	casa	home	N;FEM;SG	
debido	termin	debido	termin	ADJ	N;INDF;MASC+FEM;SG
debido	forfalder	debido	forfalder	ADJ	V;IND;PRS;FIN;ACT
cuenta	tælling	contar	tælling	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
cuenta	optælling	contar	optælling	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
cuenta	greve	contar	grev	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
cuenta	kontoen	contar	konto	V;IND;SG;3;PRS;FIN	N;DEF;MASC+FEM;SG
cuenta	konto	contar	konto	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
ella	ella	él	ella	PRO;FEM;SG;3	
ella	hendes	él	hendes	PRO;FEM;SG;3	DET;3
pueden	can	poder	cinke	V;IND;PL;3;PRS;FIN	
varios	diverse	varios	diverse	PRO;MASC;PL	ADJ
varios	diverse	varios	diverse	PRO;MASC;PL	ADJ
varios	forskelligt	varios	forskelligt	PRO;MASC;PL	ADV
varios	forskellige	varios	forskellig	PRO;MASC;PL	ADJ;PL
varios	adskillige	varios	adskillig	PRO;MASC;PL	ADJ;PL
varios	flere	varios	mange	PRO;MASC;PL	ADJ;CMPR;PL
francia	frankrig	francia	frankrig	PROPN	
francia	france	francia	france	PROPN	
solo	solo	solo	solo	ADV	
chile	chiles	chile	chiles	PROPN	N;GEN;INDF;MASC+FEM;SG
chile	chilenske	chile	chilensk	PROPN	ADJ;PL
chile	chili	chile	chili	PROPN	N;INDF;MASC+FEM;SG
chile	chile	chile	chile	PROPN	PROPN
tipo	indtast	tipo	indtast	N;MASC;SG	V;IMP
tipo	skriv	tipo	skrive	N;MASC;SG	V;IMP
obra	arbejder	obra	arbejde	N;FEM;SG	V;IND;PRS;FIN;ACT
obra	arbejd	obra	arbejd	N;FEM;SG	V;IMP
película	movie	película	movie	N;FEM;SG	
película	film	película	film	N;FEM;SG	N;INDF;MASC+FEM;PL
película	filme	película	filme	N;FEM;SG	V;NFIN;ACT
película	film	película	film	N;FEM;SG	N;INDF;MASC+FEM;PL
banda	banda	banda	banda	N;FEM;SG	
cuatro	four	cuatro	four	NUM;PL	
cuatro	cuatro	cuatro	cuatro	NUM;PL	
principal	main	principal	main	ADJ;SG	
principal	hovedstol	principal	hovedstol	ADJ;SG	N;INDF;MASC+FEM;SG
principal	hovedstolen	principal	hovedstol	ADJ;SG	N;DEF;MASC+FEM;SG
principal	rektor	principal	rektor	ADJ;SG	N;INDF;MASC+FEM;SG
carlos	carl	carlo	carl	N;MASC;SG	
carlos	carlos	carlo	carlos	N;MASC;SG	
carlos	charlie	carlo	charlie	N;MASC;SG	
rey	kong	rey	kong	N;MASC;SG	
rey	king	rey	king	N;MASC;SG	
rey	rey	rey	rey	N;MASC;SG	
premio	tilslag	premio	tilslag	N;MASC;SG	
km²	km²	kme	kman		
edición	redigere	edición	redig	N;FEM;SG	V;NFIN;ACT
edición	rediger	edición	redig	N;FEM;SG	V;IND;PRS;FIN;ACT
edición	redigér	edición	redigér	N;FEM;SG	V;IND;PRS;FIN;ACT
edición	edition	edición	edition	N;FEM;SG	
edición	redigerer	edición	redigere	N;FEM;SG	V;IND;PRS;FIN;ACT
tenía	havde	tener	have	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
tenía	haft	tener	have	V;IND;SG;3;IPFV;FIN	V;INDF;SG;PST;V.PTCP
premios	awards	premio	award	N;MASC;PL	
premios	tilslag	premio	tilslag	N;MASC;PL	
premios	award	premio	award	N;MASC;PL	N;INDF;MASC+FEM;SG
premios	tildeling	premio	tildeling	N;MASC;PL	N;INDF;MASC+FEM;SG
bien	god	bien	god	ADV	ADJ;INDF;MASC+FEM;SG
bien	gode	bien	god	ADV	ADJ;PL
bien	jamen	bien	jamen	ADV	
bien	fine	bien	fin	ADV	ADJ;PL
bien	fint	bien	fin	ADV	ADJ;INDF;NEUT;SG
segundo	sekund	segundo	sekund	ADJ;MASC;SG	N;INDF;NEUT;SG
segundo	andet	segundo	anden	ADJ;MASC;SG	PRO;NEUT;SG
segundo	anden	segundo	anden	ADJ;MASC;SG	PRO;MASC+FEM;SG
mar	mar	mar	mar	N;SG	
mar	sea	mar	sea	N;SG	
mar	ocean	mar	ocean	N;SG	
poco	små	poco	lille	ADV	ADJ;PL
poco	lille	poco	lille	ADV	ADJ;SG
orden	order	orden	orde	N;MASC;SG	
orden	bestil	orden	bestil	N;MASC;SG	V;IMP
estadounidense	amerikaner	estadounidense	amerikaner	ADJ;SG	N;INDF;MASC+FEM;SG
estadounidense	american	estadounidense	american	ADJ;SG	N;INDF;MASC+FEM;SG
estadounidense	amerikanske	estadounidense	amerikansk	ADJ;SG	ADJ;PL
tierra	earth	tierra	earth	N;FEM;SG	
tierra	lander	tierra	land	N;FEM;SG	V;IND;PRS;FIN;ACT
tierra	tierra	tierra	tierra	N;FEM;SG	
ellos	them	él	them	PRO;MASC;PL;3	
earth	earth	earth	earth	N	
canción	song	canción	song	N;FEM;SG	
trabajo	arbejder	trabajo	arbejde	N;MASC;SG	V;IND;PRS;FIN;ACT
trabajo	arbejd	trabajo	arbejd	N;MASC;SG	V;IMP
especie	dyrearter	especie	dyrearter	N;FEM;SG	N;INDF;NEUT;PL
especie	arter	especie	arte	N;FEM;SG	N;INDF;MASC+FEM;PL
luis	louis	luis	louis	N;MASC;SG	
luis	louie	luis	louie	N;MASC;SG	
luis	luis	luis	luis	N;MASC;SG	
dentro	indvendig	dentro	indvendig	ADV	ADJ;INDF;MASC+FEM;SG
dentro	indeni	dentro	indeni	ADV	ADJ;INDF;MASC+FEM;SG
obras	arbejder	obra	arbejde	N;FEM;PL	V;IND;PRS;FIN;ACT
obras	virker	obra	virke	N;FEM;PL	V;IND;PRS;FIN;ACT
obras	spiller	obra	spille	N;FEM;PL	V;IND;PRS;FIN;ACT
obras	skuespil	obra	skuespil	N;FEM;PL	N;INDF;NEUT;SG
color	farver	color	farve	N;MASC;SG	N;INDF;MASC+FEM;PL
color	farver	color	farve	N;MASC;SG	N;INDF;MASC+FEM;PL
copa	copa	copa	copa	N;FEM;SG	
copa	bæger	copa	bæge	N;FEM;SG	N;INDF;MASC+FEM;PL
muchos	mange	mucho	mange	PRO;MASC;PL	ADJ;PL
línea	line	línea	lin	N;FEM;SG	
francisco	francisco	francisco	francisco	N;MASC;SG	
francisco	francis	francisco	francis	N;MASC;SG	
les	les	él	les	PRO;DAT;PL;3	N;INDF;MASC+FEM;SG
siguiente	følger	siguiente	følge	ADJ;SG	V;IND;PRS;FIN;ACT
grandes	large	grande	large	ADJ;PL	
grandes	stor	grande	stor	ADJ;PL	ADJ;INDF;MASC+FEM;SG
grandes	stort	grande	stor	ADJ;PL	ADJ;INDF;NEUT;SG
grandes	big	grande	big	ADJ;PL	
grandes	stor	grande	stor	ADJ;PL	ADJ;INDF;MASC+FEM;SG
grandes	stort	grande	stor	ADJ;PL	ADJ;INDF;NEUT;SG
grandes	grandes	grande	grandes	ADJ;PL	N;INDF;MASC+FEM;SG
muerte	death	muerte	death	N;FEM;SG	
muerte	dødsfald	muerte	dødsfald	N;FEM;SG	N;INDF;NEUT;PL
medio	medium	medio	medium	NUM;MASC;SG	N;INDF;NEUT;SG
medio	mellemstor	medio	mellemstor	NUM;MASC;SG	ADJ;INDF;MASC+FEM;SG
medio	medie	medio	medie	NUM;MASC;SG	N;INDF;NEUT;SG
medio	mediet	medio	medie	NUM;MASC;SG	N;DEF;NEUT;SG
medio	halvt	medio	halv	NUM;MASC;SG	ADJ;INDF;NEUT;SG
medio	halvleg	medio	halvleg	NUM;MASC;SG	N;INDF;MASC+FEM;SG
medio	halvdelen	medio	halvdel	NUM;MASC;SG	N;DEF;MASC+FEM;SG
medio	halv	medio	halv	NUM;MASC;SG	ADJ;INDF;MASC+FEM;SG
través	thru	través	thru	N	
menos	minus	menos	minus	ADV	N;INDF;NEUT;SG
menos	færre	menos	få	ADV	ADJ;CMPR;PL
largo	largo	largo	largo	ADJ;MASC;SG	
largo	lange	largo	lang	ADJ;MASC;SG	ADJ;PL
largo	længe	largo	længe	ADJ;MASC;SG	ADV
buenos	god	buen	god	ADJ;MASC;PL	ADJ;INDF;MASC+FEM;SG
buenos	godt	buen	godt	ADJ;MASC;PL	ADV
hecho	made	hecho	made	ADJ;MASC;SG;V.PTCP	
hecho	lavet	hecho	lave	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
hecho	foretaget	hecho	foretage	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
hecho	udfærdiget	hecho	udfærdige	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
hecho	done	hecho	done	ADJ;MASC;SG;V.PTCP	
hecho	udført	hecho	udføre	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
hecho	gjort	hecho	gøre	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
hecho	fakta	hecho	fakta	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
hecho	faktum	hecho	faktum	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
hecho	fact	hecho	fact	ADJ;MASC;SG;V.PTCP	
carrera	carrera	carrera	carrera	N;FEM;SG	
poder	effekt	poder	effekt	V;NFIN	N;INDF;MASC+FEM;SG
poder	kraft	poder	kraft	V;NFIN	N;INDF;MASC+FEM;SG
poder	strøm	poder	strøm	V;NFIN	N;INDF;MASC+FEM;SG
poder	power	poder	powe	V;NFIN	N;INDF;MASC+FEM;SG
poder	magt	poder	magt	V;NFIN	N;INDF;MASC+FEM;SG
pueblo	pueblo	pueblo	pueblo	N;MASC;SG	
pueblo	mennesker	pueblo	menneske	N;MASC;SG	N;INDF;NEUT;PL
pueblo	personer	pueblo	person	N;MASC;SG	N;INDF;MASC+FEM;PL
pueblo	folk	pueblo	folk	N;MASC;SG	N;INDF;NEUT;PL
pueblo	people	pueblo	peopl	N;MASC;SG	
pueblo	village	pueblo	villag	N;MASC;SG	
veces	times	vez	time	N;FEM;PL	N;GEN;INDF;MASC+FEM;SG
central	central	central	central	ADJ;SG	N;INDF;MASC+FEM;SG
todas	alle	todo	al	PRO;FEM;PL	ADJ;PL
todas	alt	todo	al	PRO;FEM;PL	ADJ;NEUT;SG
york	york	york	york	PROPN	PROPN
ejemplo	prøve	ejemplo	prøve	N;MASC;SG	V;NFIN;ACT
ejemplo	stikprøver	ejemplo	stikprøve	N;MASC;SG	N;INDF;MASC+FEM;PL
género	slægter	género	slægte	N;MASC;SG	N;INDF;MASC+FEM;PL
campo	landdistrikter	campo	landdistrikt	N;MASC;SG	N;INDF;NEUT;PL
campo	camp	campo	camp	N;MASC;SG	
campo	campo	campo	campo	N;MASC;SG	
isla	isla	isla	isla	N;FEM;SG	
misma	samme	mismo	samme	DET;FEM;SG	ADJ
ante	ruskind	ante	ruskind	ADP	N;INDF;MASC+FEM;SG
ante	ante	ante	ante	ADP	
conocido	vidst	conocido	vidst	ADJ;MASC;SG;V.PTCP	ADV
conocido	kendte	conocido	kende	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
conocido	bekendtskab	conocido	bekendtskab	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
frente	foran	frente	foran	N	ADV
frente	forside	frente	forside	N	V;IMP
antonio	anthony	antonio	anthony	N;MASC;SG	
antonio	tony	antonio	tony	N;MASC;SG	
antonio	antony	antonio	antony	N;MASC;SG	
antonio	antonio	antonio	antonio	N;MASC;SG	
española	spanske	español	spansk	ADJ;FEM;SG	ADJ;PL
española	spansk	español	spansk	ADJ;FEM;SG	N;INDF;NEUT;SG
española	spaniere	español	spanier	ADJ;FEM;SG	N;INDF;MASC+FEM;PL
partir	afvige	partir	afvige	N	V;NFIN;ACT
varias	adskillige	varios	adskillig	PRO;FEM;PL	ADJ;PL
varias	flere	varios	mange	PRO;FEM;PL	ADJ;CMPR;PL
varias	forskellige	varios	forskellig	PRO;FEM;PL	ADJ;PL
lista	klar	lista	klar	N;FEM;SG	ADJ;INDF;MASC+FEM;SG
lista	parat	lista	parat	N;FEM;SG	ADJ;INDF;SG
jpg	jpg	jpg	jpg	PROPN	
campeonato	mesterskaber	campeonato	mesterskab	N;MASC;SG	N;INDF;NEUT;PL
tarde	sen	tarde	sen	ADV	ADJ;INDF;MASC+FEM;SG
tarde	forsinket	tarde	forsinke	ADV	V;INDF;SG;PST;V.PTCP
tarde	aften	tarde	aften	ADV	N;DEF;MASC+FEM;SG
tarde	eftermiddagen	tarde	eftermiddag	ADV	N;DEF;MASC+FEM;SG
tarde	eftermiddags	tarde	eftermiddags	ADV	N;GEN;INDF;MASC+FEM;SG
