amino	amino	amino	amină		N;INDF;MASC;SG
çılgın	nebună	çılgın	nebun		ADJ;INDF;FEM;SG
çılgın	mad	çılgın	mad		N;INDF;MASC;SG
üstünlük	superioritate	üstünlük	superioritate	N;NOM;SG;3	
üstünlük	superioritatea	üstünlük	superioritate	N;NOM;SG;3	N;DEF;FEM;SG
üstünlük	superior	üstünlük	superior	N;NOM;SG;3	ADJ;INDF;CMPR;MASC;SG
üstünlük	superioare	üstünlük	superior	N;NOM;SG;3	
üstünlük	superioară	üstünlük	superior	N;NOM;SG;3	ADJ;INDF;FEM;SG
üstünlük	superiori	üstünlük	superior	N;NOM;SG;3	N;DEF;MASC;PL
yarıda	întrerupt	yarı	întrerupt	N;ESS;SG;3	ADJ;INDF;MASC;SG
yarıda	întreruptă	yarı	întrerupt	N;ESS;SG;3	ADJ;INDF;FEM;SG
radar	sonar	radar	sonar		N;INDF;MASC;SG
radar	radarul	radar	radar		N;DEF;MASC;SG
radar	radar	radar	radar		N;INDF;MASC;SG
porno	porno	porno	porno		N;INDF;MASC;SG
porno	pornografie	porno	pornografie		N;INDF;FEM;SG
porno	porno	porno	porno		N;INDF;MASC;SG
pol	pol	pol	pol		N;INDF;MASC;SG
hayati	vitale	hayati	vital		ADJ;INDF;FEM;PL
hayati	vital	hayati	vital		ADJ;INDF;MASC;SG
hayati	vitală	hayati	vital		ADJ;INDF;FEM;SG
madison	madison	madison	madison	PROPN;NOM;SG;3	N;INDF;MASC;SG
tang	tang	tang	tang		PROPN
belgeler	documentele	belge	document	N;NOM;PL;3	N;DEF;FEM;PL
belgeler	documentație	belge	documentație	N;NOM;PL;3	N;INDF;FEM;SG
belgeler	documentația	belge	documentație	N;NOM;PL;3	N;DEF;FEM;SG
roland	roland	roland	roland		N;INDF;MASC;SG
adın	nume	ad	nume		N;INDF
adın	numele	ad	nume		N;DEF;MASC;SG
adın	denumire	ad	denumire		N;INDF;FEM;SG
kobe	kobe	kobe	kobe	PROPN;NOM;SG;3	PROPN
wanderers	wanderers	wanderers	wanderers	PROPN;NOM;SG;3	PROPN
garcía	garcía	garc	garcha	PROPN;NOM;SG;3	PROPN
taktik	tactică	taktik	tactică		N;INDF;FEM;SG
taktik	tactica	taktik	tactică		N;DEF;FEM;SG
taktik	tactici	taktik	tactic		N;INDF;FEM;PL
taktik	tactică	taktik	tactică		N;INDF;FEM;SG
taktik	tactica	taktik	tactică		N;DEF;FEM;SG
taktik	tactice	taktik	tactic		ADJ;INDF;FEM;PL
taktik	tactică	taktik	tactică		N;INDF;FEM;SG
taktik	tactic	taktik	tactic		ADJ;INDF;MASC;SG
dst	dst	dst	dst		N;INDF;SG
talat	talat	talat	talat		N;INDF;MASC;SG
geyik	moose	geyik	moos	N;NOM;SG;3	PROPN
geyik	elanul	geyik	elan	N;NOM;SG;3	N;DEF;MASC;SG
geyik	cerbi	geyik	cerb	N;NOM;SG;3	N;INDF;MASC;PL
geyik	căprioare	geyik	căprioară	N;NOM;SG;3	N;INDF;FEM;PL
geyik	căprioară	geyik	căprioară	N;NOM;SG;3	N;INDF;FEM;SG
yuva	casă	yuva	casă		N;INDF;FEM;SG
yuva	acasă	yuva	acasă		ADV
yuva	cuib	yuva	cuib		N;INDF;MASC;SG
yuva	cuibul	yuva	cuib		N;DEF;MASC;SG
uzayı	spaţiul	uza	spagiu		N;DEF;MASC;SG
uzayı	spațiu	uza	spațiu		N;INDF;MASC;SG
uzayı	spațiul	uza	spațiu		N;DEF;MASC;SG
uzayı	spatiu	uza	spatiu		N;INDF;MASC;SG
uzayı	spaţiu	uza	spaţiu		N;INDF;MASC;SG
ahit	testament	ahit	testament		N;INDF;MASC;SG
ahit	testamentul	ahit	testament		N;DEF;MASC;SG
montana	montana	monta	montan		N;DEF;FEM;SG
orda	acolo	ora	acolo	N;ESS;SG;3	ADV
ovacık	ovacık	ovacık	ovacık	N;NOM;SG;3	
nesli	generaţie	nesli	generaţie		N;INDF;FEM;SG
nesli	generație	nesli	generație		N;INDF;FEM;SG
nesli	generarea	nesli	generare		N;DEF;FEM;SG
nesli	generatie	nesli	generatie		N;INDF;FEM;SG
tanksavar	antitanc	tanksavar	antitanc		N;INDF;MASC;SG
koltuk	sofa	koltuk	sofa	N;NOM;SG;3	
koltuk	canapea	koltuk	canape	N;NOM;SG;3	N;DEF;FEM;SG
koltuk	fotolii	koltuk	fotoliu	N;NOM;SG;3	N;INDF;FEM;PL
koltuk	canapeaua	koltuk	canapea	N;NOM;SG;3	N;DEF;FEM;SG
koltuk	canapea	koltuk	canape	N;NOM;SG;3	N;DEF;FEM;SG
yara	cicatrice	yara	cicatric		N;INDF;FEM;PL
yara	scar	yara	scar		PROPN
yara	cicatricea	yara	cicatrice		N;DEF;FEM;SG
yara	accidentare	yara	accidentare		N;INDF;FEM;SG
yara	prejudiciu	yara	prejudiciu		N;INDF;MASC;SG
yara	vătămare	yara	vătămare		N;INDF;FEM;SG
yara	rana	yara	rană		N;DEF;FEM;SG
yara	rană	yara	rană		N;INDF;FEM;SG
yara	rănile	yara	rană		N;DEF;FEM;PL
yara	răni	yara	rană		N;INDF;FEM;PL
yara	cicatrice	yara	cicatric		N;INDF;FEM;PL
yara	cicatrici	yara	cicatric		N;INDF;FEM;PL
birleşmesi	fuziune	birleş	fuziune	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
birleşmesi	fuziunea	birleş	fuziune	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
kayak	schiuri	kayak	schi	N;NOM;SG;3	N;INDF;FEM;PL
kayak	ski	kayak	ski	N;NOM;SG;3	
kayak	ski	kayak	ski	N;NOM;SG;3	
alabama	alabama	alaba	alabama	PROPN;NOM;SG;3	N;INDF;MASC;SG
çevreleyen	înconjurătoare	çevrele	înconjurător	V;PFV;IND;POS;PRS;V.PTCP	ADJ;INDF;FEM
cole	cole	cole	cola		PROPN
akif	akif	akif	akif		PROPN
bombası	grenada	bomba	grenadă		N;DEF;FEM;SG
bombası	grenadă	bomba	grenadă		N;INDF;FEM;SG
montreal	montreal	montreal	montreal	PROPN;NOM;SG;3	PROPN
masters	masterat	masters	masterat		N;INDF;MASC;SG
masters	masters	masters	masters		N;INDF;MASC;SG
masters	stăpânii	masters	stăpân		N;DEF;MASC;PL
fikirleri	opiniile	fikir	opinie	N;NOM;PL;3	N;DEF;FEM;PL
fikirleri	pareri	fikir	parer	N;NOM;PL;3	
fikirleri	ideile	fikir	idee	N;NOM;PL;3	N;DEF;FEM;PL
politikalar	politicile	politika	politică	N;NOM;PL;3	N;DEF;FEM;PL
politikalar	politici	politika	politic	N;NOM;PL;3	ADJ;INDF;MASC;PL
engeller	blocuri	engel	bloc		N;INDF;FEM;PL
engeller	obstacole	engel	obstacol		N;INDF;FEM;PL
engeller	obstacolele	engel	obstacol		N;DEF;FEM;PL
engeller	bariere	engel	barieră		N;INDF;FEM;PL
engeller	barierele	engel	barieră		N;DEF;FEM;PL
dosyası	fișierul	dosya	fișier	N;NOM;SG;3	N;DEF;MASC;SG
lorenzo	lorenzo	lorenzo	lorenzo	PROPN;NOM;SG;3	PROPN
cehennem	iadul	cehenne	iad	N;NOM;SG;3	N;DEF;MASC;SG
cehennem	iad	cehenne	iad	N;NOM;SG;3	
cehennem	infernul	cehenne	infern	N;NOM;SG;3	N;DEF;MASC;SG
çarpışma	impact	çarpış	impact	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
çarpışma	impactul	çarpış	impact	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;MASC;SG
çarpışma	clash	çarpış	clash	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
çarpışma	ciocnire	çarpış	ciocnire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
çarpışma	coliziunea	çarpış	coliziune	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
çarpışma	ciocnire	çarpış	ciocnire	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
çarpışma	coliziune	çarpış	coliziune	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
yıkıldı	devastat	yıkıl	devasta	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
yıkıldı	devastată	yıkıl	devasta	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;FEM;SG
yıkıldı	demolat	yıkıl	demolat	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
atmosfer	atmosfere	atmosfer	atmosferă		N;INDF;FEM;PL
atmosfer	atmosferă	atmosfer	atmosferă		N;INDF;FEM;SG
atmosfer	atmosfera	atmosfer	atmosferă		N;DEF;FEM;SG
atmosfer	atmosferic	atmosfer	atmosferic		ADV
atmosfer	atmosferice	atmosfer	atmosferic		ADJ;INDF;FEM;PL
kompozisyon	compoziția	kompozisyon	compoziție	N;NOM;SG;3	N;DEF;FEM;SG
kompozisyon	compoziţia	kompozisyon	compoziţia	N;NOM;SG;3	N;DEF;FEM;SG
kompozisyon	compoziție	kompozisyon	compoziție	N;NOM;SG;3	N;INDF;FEM;SG
saz	rogoz	saz	rogoz		N;INDF;MASC;SG
walt	walt	walt	walt		PROPN
primera	primera	primer	primera	PROPN;NOM;SG;3	PROPN
grace	har	grace	har		N;INDF;MASC;SG
grace	harul	grace	har		N;DEF;MASC;SG
grace	grace	grace	grac		PROPN
grace	grație	grace	grație		N;INDF;FEM;SG
haberleşme	comunicare	haberleş	comunicare		N;INDF;FEM;SG
haberleşme	comunicări	haberleş	comunicare		N;INDF;FEM;PL
haberleşme	comunicarea	haberleş	comunicare		N;DEF;FEM;SG
haberleşme	telecomunicații	haberleş	telecomunicație		N;INDF;FEM;PL
haberleşme	telecomunicații	haberleş	telecomunicație		N;INDF;FEM;PL
haberleşme	comunicații	haberleş	comunicație		N;INDF;FEM;PL
haberleşme	comunicări	haberleş	comunicare		N;INDF;FEM;PL
cena	cena	cena	cena		PROPN
vandal	vandal	vandal	vandal		N;INDF;MASC;SG
sportif	sportiv	sportif	sportiv		ADJ;INDF;MASC;SG
jung	jung	jung	jung		PROPN
sihirli	magice	sihirli	magic		ADJ;INDF;FEM;PL
sihirli	magie	sihirli	magie		N;INDF;FEM;SG
sihirli	magic	sihirli	magic		ADJ;INDF;MASC;SG
sihirli	magică	sihirli	magic		ADJ;INDF;FEM;SG
sihirli	magia	sihirli	magie		N;DEF;FEM;SG
sihirli	magice	sihirli	magic		ADJ;INDF;FEM;PL
sihirli	magic	sihirli	magic		ADJ;INDF;MASC;SG
sihirli	magică	sihirli	magic		ADJ;INDF;FEM;SG
savundu	apărat	savun	apăra	V;PFV;IND;SG;3;POS;PST	ADJ;INDF;MASC;SG
savundu	apărată	savun	apărat	V;PFV;IND;SG;3;POS;PST	ADJ;INDF;FEM;SG
bozukluğu	tulburare	bozukluk	tulburare	N;NOM;SG;3	N;INDF;FEM;SG
korsan	hacker	kors	hacker	V;PFV;SG;2;POS;PRS	N;INDF;MASC;SG
korsan	piratul	kors	pirat	V;PFV;SG;2;POS;PRS	N;DEF;MASC;SG
korsan	pirat	kors	pirat	V;PFV;SG;2;POS;PRS	N;INDF;MASC;SG
korsan	pirati	kors	pirat	V;PFV;SG;2;POS;PRS	N;INDF;MASC;PL
korsan	piratii	kors	pirată	V;PFV;SG;2;POS;PRS	N;DEF;MASC;PL
church	biserica	church	biserică	PROPN;NOM;SG;3	N;DEF;FEM;SG
church	biserică	church	biserică	PROPN;NOM;SG;3	N;INDF;FEM;SG
ot	potul	ot	pot		N;DEF;MASC;SG
ot	oala	ot	oală		N;DEF;FEM;SG
ot	oală	ot	oală		N;INDF;FEM;SG
ot	iarbă	ot	iarbă		N;INDF;FEM;SG
ot	iarba	ot	iarbă		N;DEF;FEM;SG
ot	iarbă	ot	iarbă		N;INDF;FEM;SG
ot	iarba	ot	iarbă		N;DEF;FEM;SG
akçaabat	akçaabat	akçaabat	akçaabat	N;NOM;SG;3	ADJ;INDF;MASC;SG
everton	everton	everton	everton		PROPN
fukuoka	fukuoka	fukuoka	fukuoka	PROPN;NOM;SG;3	PROPN
wagner	wagner	wagner	wagner	PROPN;NOM;SG;3	PROPN
marvel	marvel	marvel	marvel		N;INDF;MASC;SG
denklem	ecuatie	denkle	ecuatie	N;NOM;SG;3	N;INDF;FEM;SG
fiziği	fizicul	fizik	fizic	N;NOM;SG;3	N;DEF;MASC;SG
fiziği	fizică	fizik	fizic	N;NOM;SG;3	ADJ;INDF;FEM;SG
fiziği	fizica	fizik	fizică	N;NOM;SG;3	N;DEF;FEM;SG
egemenlik	suveranitatea	egemenlik	suveranitate	N;NOM;SG;3	N;DEF;FEM;SG
egemenlik	suveranitate	egemenlik	suveranitate	N;NOM;SG;3	N;INDF;FEM;SG
dikdörtgen	dreptunghiulară	dik	dreptunghiular		ADJ;INDF;FEM;SG
split	împărțit	split	împărți	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
split	divizat	split	diviza	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
split	split	split	split	PROPN;NOM;SG;3	N;INDF;MASC;SG
split	împarte	split	împărți	PROPN;NOM;SG;3	V;IND;SG;3;PRS;FIN
hidroelektrik	hidroelectrică	hidroelek	hidroelectric	N;NOM;SG;3	ADJ;INDF;FEM;SG
olympique	olympique	olympique	olympique	PROPN;NOM;SG;3	PROPN
tugay	brigadă	tugay	brigadă		N;INDF;FEM;SG
tugay	brigada	tugay	brigadă		N;DEF;FEM;SG
markası	marca	marka	marcă	N;NOM;SG;3	N;DEF;FEM;SG
markası	marcă	marka	marcă	N;NOM;SG;3	N;INDF;FEM;SG
kinetik	cinetică	kinetik	cinetică		N;INDF;FEM;SG
öldürdü	ucis	öl	ucis	V;PFV;IND;SG;3;POS;PST;CAUS	ADJ;INDF;MASC;SG
öldürdü	ucisă	öl	ucide	V;PFV;IND;SG;3;POS;PST;CAUS	ADJ;INDF;FEM;SG
öldürdü	omorât	öl	omorât	V;PFV;IND;SG;3;POS;PST;CAUS	ADJ;INDF;MASC;SG
fransızlar	franceză	fransız	francez	N;NOM;PL;3	ADJ;INDF;FEM;SG
fransızlar	franceza	fransız	franceza	N;NOM;PL;3	N;DEF;FEM;SG
fransızlar	francezi	fransız	francez	N;NOM;PL;3	ADJ;INDF;MASC;PL
fransızlar	francez	fransız	francez	N;NOM;PL;3	ADJ;INDF;MASC;SG
américa	américa	américa	amirica	N;NOM;SG;3	N;DEF;FEM;SG
esen	suflare	es	suflare		N;INDF;FEM;SG
rosa	rosa	rosa	rosa	PROPN;NOM;SG;3	N;DEF;FEM;SG
ein	ein	ein	ein	INTJ	N;INDF;MASC;SG
bakteri	bacteriene	bakteri	bacterian		N;INDF;FEM;PL
bakteri	bacteriană	bakteri	bacterian		ADJ;INDF;FEM;SG
bakteri	bacterie	bakteri	bacterie		N;INDF;FEM;SG
bakteri	bacterii	bakteri	bacterie		N;INDF;FEM;PL
bakteri	bacteriile	bakteri	bacterie		N;DEF;FEM;PL
bakteri	bacteria	bakteri	bacterie		N;DEF;FEM;SG
bakteri	bacterie	bakteri	bacterie		N;INDF;FEM;SG
özlem	dor	özlem	dor		N;INDF;MASC;SG
özlem	dorul	özlem	dor		N;DEF;MASC;SG
özlem	poftă	özlem	poftă		N;INDF;FEM;SG
özlem	pofta	özlem	poftă		N;DEF;FEM;SG
tekil	unicat	tekil	unica		ADJ;INDF;MASC;SG
tekil	unic	tekil	unic		ADJ;INDF;MASC;SG
tekil	unice	tekil	unic		ADJ;INDF;FEM;PL
tekil	unici	tekil	unică		ADJ;INDF;MASC;PL
tekil	unică	tekil	unic		ADJ;INDF;FEM;SG
tekil	singular	tekil	singular		ADJ;INDF;MASC;SG
leningrad	leningrad	leningrad	leningrad		N;INDF;MASC;SG
castle	castle	cast	castle		N;INDF;MASC;SG
castle	castel	cast	castel		N;INDF;MASC;SG
castle	castelul	cast	castel		N;DEF;MASC;SG
rain	ploaie	rain	ploaie		N;INDF;FEM;SG
rain	plouă	rain	ploua		V;IND;SG;3;PRS;FIN
rain	ploi	rain	ploaie		N;INDF;FEM;PL
eugene	eugene	eugen	eugen	PROPN;NOM;SG;3	PROPN
çakmak	brichete	çak	brichet		N;INDF;FEM;PL
çakmak	bricheta	çak	brichetă		N;DEF;FEM;SG
çakmak	brichetă	çak	brichetă		N;INDF;FEM;SG
spin	învârte	spin	învârti		V;IND;SG;3;PRS;FIN
spin	rotire	spin	rotire		N;INDF;FEM;SG
spin	spin	spin	spin		N;INDF;MASC;SG
kaldırma	îndepărtarea	kaldırma	îndepărtare		N;DEF;FEM;SG
kaldırma	ridicare	kaldırma	ridicare		N;INDF;FEM;SG
kaldırma	ridicare	kaldırma	ridicare		N;INDF;FEM;SG
kaldırma	ridicarea	kaldırma	ridicare		N;DEF;FEM;SG
kaldırma	îndepărtare	kaldırma	îndepărtare		N;INDF;FEM;SG
kaldırma	îndepărtarea	kaldırma	îndepărtare		N;DEF;FEM;SG
emmanuel	emmanuel	emmanuel	emmanuel		PROPN
gregory	grigore	gregory	grigore		PROPN
gregory	gregory	gregory	gregory		PROPN
aşı	vaccinurile	aş	vaccin		N;DEF;FEM;PL
aşı	vaccinuri	aş	vaccin		N;INDF;FEM;PL
aşı	inoculare	aş	inoculare		N;INDF;FEM;SG
aşı	vaccin	aş	vaccin		N;INDF;MASC;SG
aşı	vaccinuri	aş	vaccin		N;INDF;FEM;PL
aşı	vaccinul	aş	vaccin		N;DEF;MASC;SG
feneri	far	fener	far		N;INDF;MASC;SG
feneri	farul	fener	far		N;DEF;MASC;SG
atanan	atribuit	ata	atribui		ADJ;INDF;MASC;SG
atanan	repartizat	ata	repartiza		ADJ;INDF;MASC;SG
atanan	atribuită	ata	atribui		ADJ;INDF;FEM;SG
atanan	atribuite	ata	atribuit		ADJ;INDF;FEM;PL
atanan	desemnat	ata	desemnat		ADJ;INDF;MASC;SG
atanan	numiți	ata	numi		V;IND;PL;2;IPFV;FIN
ahlak	etica	ahlak	etică	N;NOM;SG;3	N;DEF;FEM;SG
ahlak	etică	ahlak	etic	N;NOM;SG;3	N;INDF;FEM;SG
ahlak	vicii	ahlak	viciu	N;NOM;SG;3	N;INDF;FEM;PL
ahlak	viciul	ahlak	viciu	N;NOM;SG;3	N;DEF;MASC;SG
ahlak	moravuri	ahlak	moravuri	N;NOM;SG;3	N;INDF;FEM;PL
ahlak	vice	ahlak	vice	N;NOM;SG;3	
ahlak	morala	ahlak	morală	N;NOM;SG;3	N;DEF;FEM;SG
ahlak	moral	ahlak	moral	N;NOM;SG;3	ADJ;INDF;MASC;SG
ahlak	morală	ahlak	moral	N;NOM;SG;3	ADJ;INDF;FEM;SG
ahlak	morala	ahlak	morală	N;NOM;SG;3	N;DEF;FEM;SG
ahlak	morală	ahlak	moral	N;NOM;SG;3	ADJ;INDF;FEM;SG
ahlak	moralitatea	ahlak	moralitate	N;NOM;SG;3	N;DEF;FEM;SG
ahlak	moralitate	ahlak	moralitate	N;NOM;SG;3	N;INDF;FEM;SG
dimitri	dmitri	dimitri	dmitru		PROPN
dimitri	dmitry	dimitri	dmitry		PROPN
dimitri	dmitri	dimitri	dmitru		PROPN
dimitri	dimitri	dimitri	dimitru		PROPN
duyuruldu	anunțat	duyur	anunța	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
duyuruldu	anuntat	duyur	anunta	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
malmö	malmö	malmö	malmö	PROPN;NOM;SG;3	PROPN
sözde	presupus	söz	presupune		ADJ;INDF;MASC;SG
sözde	presupusă	söz	presupus		ADJ;INDF;FEM;SG
sözde	presupusa	söz	presupus		N;DEF;FEM;SG
sözde	presupus	söz	presupune		ADJ;INDF;MASC;SG
sözde	chipurile	söz	chipurile		N;DEF;FEM;PL
şiddetle	violentă	şiddet	violentă	N;INS;SG;3	ADJ;INDF;FEM;SG
şiddetle	violență	şiddet	violență	N;INS;SG;3	N;INDF;FEM;SG
şiddetle	violenta	şiddet	violentă	N;INS;SG;3	N;DEF;FEM;SG
ajan	agenții	aj	agent		N;DEF;MASC;PL
ajan	agenți	aj	agent		N;INDF;MASC;PL
ajan	agentii	aj	agent		N;DEF;MASC;PL
ajan	agenti	aj	agent		N;INDF;MASC;PL
ajan	agent	aj	agent		N;INDF;MASC;SG
ajan	agentul	aj	agent		N;DEF;MASC;SG
harrison	harrison	harrison	harrison	PROPN;NOM;SG;3	PROPN
logosu	sigla	logo	sigla	N;NOM;SG;3	N;DEF;FEM;SG
yasin	yassin	yasin	yassin		PROPN
kaçak	runner	kaçak	runner		N;INDF;MASC;SG
kaçak	alergător	kaçak	alergător		N;INDF;MASC;SG
kaçak	fugar	kaçak	fugar		N;INDF;MASC;SG
kaçak	fugarul	kaçak	fugar		N;DEF;MASC;SG
