oregon	oregon	oregon	oregon	PROPN;NOM;SG;3	N;MASC;SG
jst	jst	jst	jst		N;MASC;SG
makedon	macedónia	makedon	macedónia		N;FEM;SG
makedon	macedônia	makedon	macedônia		N;FEM;SG
wembley	wembley	wembley	wembley	PROPN;NOM;SG;3	N;MASC;SG
mantar	cogumelos	mantar	cogumelo		N;MASC;PL
mantar	fungo	mantar	fungo		N;MASC;SG
mantar	fungos	mantar	fungo		N;MASC;PL
mantar	fungo	mantar	fungo		N;MASC;SG
mantar	fungos	mantar	fungo		N;MASC;PL
mantar	cogumelos	mantar	cogumelo		N;MASC;PL
mantar	cogumelo	mantar	cogumelo		N;MASC;SG
mantar	rolha	mantar	rolha		N;FEM;SG
mantar	cortiça	mantar	cortiça		N;FEM;SG
mantar	cork	mantar	cork		N;MASC;SG
gösteriler	exibe	göster	exibir	N;NOM;PL;3	V;IND;SG;3;PRS;FIN
hope	esperança	hope	esperança		N;FEM;SG
hope	hope	hope	hope		N;MASC;SG
hope	esperanças	hope	esperança		N;FEM;PL
deneyimli	experiente	deneyimli	experiente		ADJ;MASC;SG
deneyimli	experientes	deneyimli	experiente		N;MASC;PL
deneyimli	experimentado	deneyimli	experimentar		V;MASC;SG;V.PTCP
deneyimli	temperado	deneyimli	temperar		V;MASC;SG;V.PTCP
deneyimli	experiente	deneyimli	experiente		ADJ;MASC;SG
deneyimli	temperada	deneyimli	temperada		V;FEM;SG;V.PTCP
nedenleri	causa	neden	causa	N;ACC;PL;3	N;FEM;SG
zara	zara	zara	zara		N;FEM;SG
spears	lanças	spears	lança		N;FEM;PL
spears	spears	spears	spear		N;MASC;SG
hart	hart	hart	hart		N;MASC;SG
özbek	uzbeque	özbek	uzbeque		N;MASC;SG
yatak	colchões	yatak	colchão	N;NOM;SG;3	N;MASC;PL
yatak	colchões	yatak	colchão	N;NOM;SG;3	N;MASC;PL
yatak	camas	yatak	cama	N;NOM;SG;3	N;FEM;PL
yatak	leitos	yatak	leito	N;NOM;SG;3	N;MASC;PL
oluştu	formados	oluş	formar	V;PFV;IND;SG;3;POS;PST	V;MASC;PL;V.PTCP
tünel	túnel	tünel	túnel		N;MASC;SG
tünel	tunel	tünel	tunel		N;MASC;SG
tünel	túneis	tünel	túnel		N;MASC;PL
armstrong	armstrong	armstrong	armstrong		N;MASC;SG
hamile	grávida	hamile	grávida		N;FEM;SG
hamile	grávidas	hamile	grávido		N;FEM;PL
satılan	vendeu	sat	vender	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IND;SG;3;PST;FIN
robbie	robbie	robbie	robbie		N;MASC;SG
robbie	robby	robbie	robby		N;MASC;SG
amino	aminoácidos	amino	aminoácido		N;MASC;PL
allan	allan	allan	allan		N;MASC;SG
gore	gore	gore	gore		N;MASC;SG
temizlik	limpando	temizlik	limpar	N;NOM;SG;3	V;V.MSDR
temizlik	limpar	temizlik	limpar	N;NOM;SG;3	V;NFIN
temizlik	limpezas	temizlik	limpeza	N;NOM;SG;3	N;FEM;PL
kapanış	fechamento	kapa	fechamento	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;SG
kapanış	encerramento	kapa	encerramento	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;SG
kapanış	fechamento	kapa	fechamento	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;SG
kapanış	fecho	kapa	fecho	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;SG
kapanış	encerramento	kapa	encerramento	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;SG
kapanış	epílogo	kapa	epílogo	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;SG
galeri	galeria	galer	galeria		N;FEM;SG
dilek	wish	dilek	wish		N;MASC;SG
dilek	deseje	dilek	desejar		V;SBJV;SG;3;PRS;FIN
dilek	desejo	dilek	desejo		N;MASC;SG
dilek	desejar	dilek	desejar		V;NFIN
dilek	desejos	dilek	desejo		N;MASC;PL
dilek	desejando	dilek	desejar		V;V.MSDR
nintendo	nintendo	nintendo	nintender	PROPN;NOM;SG;3	N;MASC;SG
trans	trance	trans	trance		N;MASC;SG
trans	transe	trans	transe		N;MASC;SG
trans	trans	trans	trans		N;MASC;SG
zirvesi	cimeiras	zirve	cimeira	N;NOM;SG;3	N;FEM;PL
hugh	hugo	hugh	hugo		N;MASC;SG
hugh	hugh	hugh	hugh		N;MASC;SG
orleans	orleans	orleans	orleans	PROPN;NOM;SG;3	N;MASC;SG
orleans	orléans	orleans	orléan	PROPN;NOM;SG;3	N;FEM;SG
orleans	orleães	orleans	orleão	PROPN;NOM;SG;3	N;FEM;SG
kanıtlar	evidência	kanıt	evidência	N;NOM;PL;3	N;FEM;SG
kanıtlar	prova	kanıt	prova	N;NOM;PL;3	N;FEM;SG
diana	diana	dian	diana		N;FEM;SG
barok	barroca	barok	barroca		N;FEM;SG
barok	barroco	barok	barroco		N;MASC;SG
ud	alaúde	ud	alaúde		N;MASC;SG
ud	lute	ud	lute		V;SBJV;SG;3;PRS;FIN
maraş	maras	maraş	mara		N;FEM;PL
gnu	gnu	gn	gnu		N;MASC;SG
wien	wien	wien	wien	PROPN;NOM;SG;3	N;MASC;SG
pete	pete	pete	pete		PROPN;MASC;SG
tanıtımı	promover	tanıtım	promover	N;NOM;SG;3	V;NFIN
tanıtımı	promovendo	tanıtım	promover	N;NOM;SG;3	V;V.MSDR
tanıtımı	promovido	tanıtım	promover	N;NOM;SG;3	V;MASC;SG;V.PTCP
tanıtımı	promovidos	tanıtım	promover	N;NOM;SG;3	V;MASC;PL;V.PTCP
tanıtımı	promovidas	tanıtım	promover	N;NOM;SG;3	V;FEM;PL;V.PTCP
tanıtımı	promovida	tanıtım	promover	N;NOM;SG;3	V;FEM;SG;V.PTCP
tanıtımı	promover	tanıtım	promover	N;NOM;SG;3	V;NFIN
tanıtımı	promove	tanıtım	promover	N;NOM;SG;3	V;IND;SG;3;PRS;FIN
tanıtımı	promova	tanıtım	promover	N;NOM;SG;3	V;SBJV;SG;3;PRS;FIN
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG;3	N;MASC;SG
lille	lille	lille	lille	PROPN;NOM;SG;3	N;MASC;SG
sevda	amor	sevda	amor		N;MASC;SG
sevda	love	sevda	love		N;MASC;SG
sevda	amo	sevda	amo		V;IND;SG;1;PRS;FIN
tören	cerimónia	tör	cerimónia		N;FEM;SG
tören	cerimônia	tör	cerimônia		N;FEM;SG
tören	cerimónias	tör	cerimónia		N;FEM;PL
tören	ritual	tör	ritual		N;MASC;SG
tören	rituais	tör	ritual		N;MASC;PL
bayat	banal	bayat	banal		ADJ;MASC;SG
memphis	memphis	memphis	memphi	PROPN;NOM;SG;3	N;MASC;SG
cadı	bruxo	cadı	bruxo		N;MASC;SG
cadı	bruxa	cadı	bruxa		N;FEM;SG
patlayıcı	explosiva	patlayıcı	explosivar		ADJ;FEM;SG
patlayıcı	explosivas	patlayıcı	explosiva		N;FEM;PL
patlayıcı	explosivos	patlayıcı	explosivo		N;MASC;PL
patlayıcı	explosivo	patlayıcı	explosivo		ADJ;MASC;SG
patlayıcı	explosivos	patlayıcı	explosivo		N;MASC;PL
ufuk	horizonte	ufuk	horizonte		N;MASC;SG
ufuk	horizonte	ufuk	horizonte		N;MASC;SG
ufuk	horizon	ufuk	horizon		N;MASC;SG
kader	destino	kader	destino		N;MASC;SG
kader	destiny	kader	destiny		N;MASC;SG
kader	destino	kader	destino		N;MASC;SG
kader	fate	kader	fate		N;MASC;SG
werner	werner	werner	werner	PROPN;NOM;SG;3	N;MASC;SG
nihai	derradeira	nihai	derradeiro		ADJ;FEM;SG
nihai	ultimate	nihai	ultimate		N;MASC;SG
erich	erich	erich	erich		N;MASC;SG
nem	humidade	nem	humidade		N;FEM;SG
nem	umidade	nem	umidade		N;FEM;SG
nem	humidade	nem	humidade		N;FEM;SG
nem	umidade	nem	umidade		N;FEM;SG
çılgın	insanos	çılgın	insano		ADJ;MASC;PL
çılgın	louca	çılgın	louco		N;FEM;SG
çılgın	insano	çılgın	insano		ADJ;MASC;SG
çılgın	insana	çılgın	insanar		ADJ;FEM;SG
çılgın	louco	çılgın	louco		ADJ;MASC;SG
çılgın	selvagem	çılgın	selvagem		ADJ;MASC;SG
çılgın	wild	çılgın	wild		N;MASC;SG
çılgın	selvagens	çılgın	selvagem		N;MASC;PL
çılgın	doida	çılgın	doida		V;FEM;SG;V.PTCP
çılgın	louca	çılgın	louco		N;FEM;SG
çılgın	maluco	çılgın	maluco		N;MASC;SG
çılgın	doido	çılgın	doido		V;MASC;SG;V.PTCP
çılgın	louco	çılgın	louco		ADJ;MASC;SG
çılgın	mad	çılgın	mad		N;MASC;SG
çılgın	louco	çılgın	louco		ADJ;MASC;SG
üstünlük	superior	üstünlük	alto	N;NOM;SG;3	ADJ;MASC;SG
üstünlük	superiores	üstünlük	alto	N;NOM;SG;3	ADJ;MASC;PL
yarıda	interrompida	yarı	interromper	N;ESS;SG;3	V;FEM;SG;V.PTCP
yarıda	interrompidos	yarı	interromper	N;ESS;SG;3	V;MASC;PL;V.PTCP
yarıda	interrompido	yarı	interromper	N;ESS;SG;3	V;MASC;SG;V.PTCP
yarıda	interrompeu	yarı	interromper	N;ESS;SG;3	V;IND;SG;3;PST;FIN
radar	sonar	radar	sonar		N;MASC;SG
radar	radar	radar	radar		N;MASC;SG
radar	radares	radar	radar		N;MASC;PL
porno	pornô	porno	pornô		N;MASC;SG
porno	porno	porno	porno		N;MASC;SG
porno	pornô	porno	pornô		N;MASC;SG
porno	porno	porno	porno		N;MASC;SG
porno	pornografia	porno	pornografia		N;FEM;SG
pol	pol	pol	pol		N;MASC;SG
hayati	vital	hayati	vital		ADJ;MASC;SG
hayati	vitais	hayati	vital		ADJ;MASC;PL
madison	madison	madison	madison	PROPN;NOM;SG;3	N;MASC;SG
tang	tang	tang	tang		N;MASC;SG
belgeler	documentação	belge	documentação	N;NOM;PL;3	N;FEM;SG
değişmez	imutável	değişmez	imutável		ADJ;MASC;SG
değişmez	imutável	değişmez	imutável		ADJ;MASC;SG
roland	roland	roland	roland		N;MASC;SG
roland	rolando	roland	rolando		V;V.MSDR
uçar	moscas	uç	mosco		N;FEM;PL
uçar	voa	uç	voa		V;IND;SG;3;PRS;FIN
adın	nome	ad	nome		N;MASC;SG
kobe	kobe	kobe	kobe	PROPN;NOM;SG;3	N;MASC;SG
wanderers	wanderers	wanderers	wanderer	PROPN;NOM;SG;3	N;MASC;SG
garcía	garcia	garc	garcia	PROPN;NOM;SG;3	N;MASC;SG
garcía	garcía	garc	garcía	PROPN;NOM;SG;3	N;FEM;SG
taktik	tácticas	taktik	táctico		N;MASC;PL
taktik	táticas	taktik	tática		N;FEM;PL
taktik	táctica	taktik	táctico		N;FEM;SG
taktik	tática	taktik	tática		N;FEM;SG
taktik	táctica	taktik	táctico		N;FEM;SG
taktik	tática	taktik	tática		N;FEM;SG
taktik	tático	taktik	tático		N;MASC;SG
taktik	táctica	taktik	táctico		N;FEM;SG
taktik	tática	taktik	tática		N;FEM;SG
talat	talat	talat	talat		N;MASC;SG
geyik	alces	geyik	alces	N;NOM;SG;3	N;MASC;PL
geyik	alces	geyik	alces	N;NOM;SG;3	N;MASC;PL
geyik	veados	geyik	veado	N;NOM;SG;3	N;MASC;PL
yuva	home	yuva	home		N;MASC;SG
yuva	casa	yuva	casa		N;FEM;SG
yuva	lar	yuva	lar		N;MASC;SG
yuva	nest	yuva	nest		N;MASC;SG
yuva	ninho	yuva	ninho		N;MASC;SG
yuva	ninhos	yuva	ninho		N;MASC;PL
uzayı	espaço	uza	espaço		N;MASC;SG
uzayı	space	uza	space		N;MASC;SG
ahit	testemunho	ahit	testemunho		N;MASC;SG
ahit	testamento	ahit	testamento		N;MASC;SG
montana	montana	monta	montana		N;FEM;SG
orda	ai	ora	ai	N;ESS;SG;3	INTJ
orda	ali	ora	ali	N;ESS;SG;3	ADV
orda	aí	ora	aí	N;ESS;SG;3	ADV
orda	lá	ora	lá	N;ESS;SG;3	ADV
nesli	generation	nesli	generation		N;MASC;SG
nesli	geração	nesli	geração		N;FEM;SG
koltuk	poltronas	koltuk	poltrona	N;NOM;SG;3	N;FEM;PL
koltuk	cadeiras	koltuk	cadeira	N;NOM;SG;3	N;FEM;PL
yara	cicatriz	yara	cicatriz		N;FEM;SG
yara	scar	yara	scar		N;MASC;SG
yara	lesões	yara	lesão		N;FEM;PL
yara	lesão	yara	lesão		N;FEM;SG
yara	prejuízo	yara	prejuízo		N;MASC;SG
yara	ferimento	yara	ferimento		N;MASC;SG
yara	ferimento	yara	ferimento		N;MASC;SG
yara	ferida	yara	ferir		V;FEM;SG;V.PTCP
yara	chagas	yara	chaga		N;FEM;PL
yara	ferimentos	yara	ferimento		N;MASC;PL
yara	feridas	yara	ferir		V;FEM;PL;V.PTCP
yara	cicatrizes	yara	cicatriz		N;FEM;PL
birleşmesi	fusão	birleş	fusão	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
birleşmesi	concentração	birleş	concentração	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
kayak	esquis	kayak	esque	N;NOM;SG;3	N;MASC;PL
kayak	esquiar	kayak	esquiar	N;NOM;SG;3	V;NFIN
alabama	alabama	alaba	alabama	PROPN;NOM;SG;3	N;MASC;SG
çevreleyen	circundante	çevrele	circundante	V;PFV;IND;POS;PRS;V.PTCP	ADJ;MASC;SG
cole	cole	cole	cole		V;SBJV;SG;3;PRS;FIN
bombası	granada	bomba	granada		N;FEM;SG
montreal	montreal	montreal	montreal	PROPN;NOM;SG;3	N;MASC;SG
masters	mestres	masters	mestre		N;MASC;PL
masters	masters	masters	master		N;MASC;SG
masters	mestrado	masters	mestrado		N;MASC;SG
engeller	blocos	engel	bloco		N;MASC;PL
engeller	bloqueios	engel	bloqueio		N;MASC;PL
engeller	quadras	engel	quadra		N;FEM;PL
engeller	obstáculos	engel	obstáculo		N;MASC;PL
engeller	entraves	engel	entrave		N;MASC;PL
engeller	obstáculos	engel	obstáculo		N;MASC;PL
engeller	entraves	engel	entrave		N;MASC;PL
engeller	barreiras	engel	barreira		N;FEM;PL
lorenzo	lorenzo	lorenzo	lorenzo	PROPN;NOM;SG;3	N;MASC;SG
lorenzo	lourenço	lorenzo	lourenço	PROPN;NOM;SG;3	N;MASC;SG
cehennem	diabos	cehenne	diabo	N;NOM;SG;3	N;MASC;PL
cehennem	raios	cehenne	raio	N;NOM;SG;3	N;MASC;PL
çarpışma	impact	çarpış	impact	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;SG
çarpışma	impacte	çarpış	impacte	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;SG
çarpışma	impacto	çarpış	impacto	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;SG
çarpışma	impactos	çarpış	impacto	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;PL
çarpışma	confronto	çarpış	confronto	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;SG
çarpışma	clash	çarpış	clash	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;SG
çarpışma	colisão	çarpış	colisão	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
atmosfer	atmosferas	atmosfer	atmosfera		N;FEM;PL
atmosfer	atmosfera	atmosfer	atmosfera		N;FEM;SG
atmosfer	atmosférica	atmosfer	atmosférico		N;FEM;SG
atmosfer	atmosféricos	atmosfer	atmosférico		N;MASC;PL
atmosfer	atmosférico	atmosfer	atmosférico		N;MASC;SG
saz	junça	saz	junça		N;FEM;SG
walt	walt	walt	walt		N;MASC;SG
primera	primera	primer	primero	PROPN;NOM;SG;3	N;MASC;SG
grace	graça	grace	graça		N;FEM;SG
grace	grace	grace	grace		N;FEM;SG
haberleşme	comunicação	haberleş	comunicação		N;FEM;SG
haberleşme	telecomunicação	haberleş	telecomunicação		N;FEM;SG
haberleşme	telecomunicações	haberleş	telecomunicação		N;FEM;PL
haberleşme	comunicações	haberleş	comunicação		N;FEM;PL
haberleşme	comunicação	haberleş	comunicação		N;FEM;SG
cena	cena	cena	cena		N;FEM;SG
vandal	vândalo	vandal	vândalo		N;MASC;SG
jung	junguiana	jung	junguiano		ADJ;FEM;SG
jung	jung	jung	jung		N;MASC;SG
sihirli	mágica	sihirli	mágico		N;FEM;SG
sihirli	mágico	sihirli	mágico		N;MASC;SG
sihirli	magic	sihirli	magic		N;MASC;SG
sihirli	mágicas	sihirli	mágico		N;FEM;PL
sihirli	magia	sihirli	magia		N;FEM;SG
sihirli	mágicos	sihirli	mágico		N;MASC;PL
sihirli	mágico	sihirli	mágico		N;MASC;SG
sihirli	mágica	sihirli	mágico		N;FEM;SG
sihirli	mágicas	sihirli	mágico		N;FEM;PL
savundu	defendia	savun	defender	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
savundu	defendi	savun	defender	V;PFV;IND;SG;3;POS;PST	V;IND;SG;1;PST;FIN
savundu	defendidos	savun	defender	V;PFV;IND;SG;3;POS;PST	V;MASC;PL;V.PTCP
korsan	hacker	kors	hacker	V;PFV;SG;2;POS;PRS	N;MASC;SG
korsan	hackers	kors	hacker	V;PFV;SG;2;POS;PRS	N;MASC;PL
korsan	pirata	kors	pirata	V;PFV;SG;2;POS;PRS	N;MASC;SG
korsan	piratas	kors	pirata	V;PFV;SG;2;POS;PRS	N;MASC;PL
korsan	piratas	kors	pirata	V;PFV;SG;2;POS;PRS	N;MASC;PL
church	igrejas	church	igreja	PROPN;NOM;SG;3	N;FEM;PL
church	igreja	church	igreja	PROPN;NOM;SG;3	N;FEM;SG
ot	panela	ot	panela		N;FEM;SG
ot	pote	ot	pote		N;MASC;SG
ot	maconha	ot	maconha		N;FEM;SG
ot	pot	ot	pot		N;MASC;SG
ot	erva	ot	ervar		N;FEM;SG
ot	capim	ot	capim		N;MASC;SG
ot	grama	ot	grama		N;FEM;SG
ot	erva	ot	ervar		N;FEM;SG
ot	relva	ot	relva		N;FEM;SG
ot	maconha	ot	maconha		N;FEM;SG
ot	erva	ot	ervar		N;FEM;SG
everton	everton	everton	everton		N;MASC;SG
fukuoka	fukuoka	fukuoka	fukuokar	PROPN;NOM;SG;3	N;MASC;SG
wagner	wagner	wagner	wagner	PROPN;NOM;SG;3	N;MASC;SG
marvel	maravilha	marvel	maravilha		N;FEM;SG
marvel	marvel	marvel	marvel		N;MASC;SG
dikdörtgen	retangular	dik	retangular		ADJ;MASC;SG
dikdörtgen	rectangular	dik	rectangular		ADJ;MASC;SG
split	dividir	split	dividir	PROPN;NOM;SG;3	V;NFIN
split	split	split	split	PROPN;NOM;SG;3	N;MASC;SG
olympique	olympique	olympique	olympique	PROPN;NOM;SG;3	N;MASC;SG
tugay	brigada	tugay	brigado		N;FEM;SG
kinetik	cinética	kinetik	cinético		N;FEM;SG
fransızlar	french	fransız	french	N;NOM;PL;3	N;MASC;SG
fransızlar	francês	fransız	francês	N;NOM;PL;3	N;MASC;SG
esen	soprando	es	soprar		V;V.MSDR
esen	soprar	es	soprar		V;NFIN
rosa	rosa	rosa	rosa	PROPN;NOM;SG;3	N;FEM;SG
self	auto	self	auto		N;MASC;SG
self	self	self	self		N;MASC;SG
ein	ein	ein	ein	INTJ	N;MASC;SG
bakteri	bacteriana	bakteri	bacteriana		N;FEM;SG
bakteri	bactérias	bakteri	bactéria		N;FEM;PL
