til	for	til	for	ADV	ADP
hun	she	hun	she	PRO;NOM;MASC+FEM;SG;3	N;INDF;SG
andre	andre	anden	annan	PRO;PL	DET;PL
andre	annet	anden	annet	PRO;PL	N;INDF;NEUT;SG
andre	annen	anden	annen	PRO;PL	N;INDF;MASC;SG
andre	andre	anden	annan	PRO;PL	DET;PL
denne	this	denne	this	PRO;MASC+FEM;SG	
denne	dette	denne	dette	PRO;MASC+FEM;SG	PRO;NEUT;SG;3
denne	denne	denne	denne	PRO;MASC+FEM;SG	PRO;SG;3
denne	detta	denne	dette	PRO;MASC+FEM;SG	PRO;NEUT;SG;3
fik	henta	få	hente	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
fik	got	få	got	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
fik	har	få	ha	V;IND;PST;FIN;ACT	V;IND;PRS;FIN
del	del	del	dele	N;INDF;MASC+FEM;SG	V;IMP;FIN
del	del	del	dele	N;INDF;MASC+FEM;SG	V;IMP;FIN
del	dele	del	dele	N;INDF;MASC+FEM;SG	V;NFIN
del	delingen	del	deling	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
del	del	del	dele	N;INDF;MASC+FEM;SG	V;IMP;FIN
del	deler	del	del	N;INDF;MASC+FEM;SG	N;INDF;MASC;PL
født	born	føde	barn	V;INDF;SG;PST;V.PTCP	N;INDF;NEUT;PL
født	født	føde	føde	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
flere	flere	mange	flere	ADJ;CMPR;PL	
flere	multippel	mange	multippel	ADJ;CMPR;PL	N;INDF;NEUT;SG
flere	fler	mange	fler	ADJ;CMPR;PL	N;INDF;NEUT;SG
flere	flere	mange	flere	ADJ;CMPR;PL	
flere	mer	mange	mer	ADJ;CMPR;PL	N;INDF;MASC;SG
flere	mere	mange	mere	ADJ;CMPR;PL	N;INDF;MASC;SG
dette	this	denne	this	PRO;NEUT;SG	
dette	dette	denne	dette	PRO;NEUT;SG	PRO;NEUT;SG;3
dette	denne	denne	denne	PRO;NEUT;SG	PRO;SG;3
dette	detta	denne	dette	PRO;NEUT;SG	PRO;NEUT;SG;3
deres	sine	deres	sin	DET;3	PRO;PL
deres	deres	deres	deres	DET;3	N;INDF;MASC;SG
deres	deres	deres	deres	DET;3	N;INDF;MASC;SG
deres	dems	deres	dems	DET;3	N;INDF;MASC;SG
alle	alle	al	alle	ADJ;PL	PRO;PL;3
alle	alt	al	alt	ADJ;PL	PRO;NEUT;SG;3
alle	all	al	all	ADJ;PL	DET;MASC;SG
alle	alle	al	alle	ADJ;PL	PRO;PL;3
danmark	denmark	danmark	denmark		N;INDF;MASC;SG
danmark	danmark	danmark	danmark		N;INDF;MASC;SG
mange	mangt	mange	mangt	ADJ;PL	N;INDF;MASC;SG
mange	many	mange	many	ADJ;PL	N
mange	mangen	mange	mang	ADJ;PL	N;DEF;MASC;SG
team	laget	team	lag	N;INDF;NEUT;SG	N;DEF;NEUT;SG
danske	dansk	dansk	dansk	ADJ;PL	N;INDF;MASC;SG
senere	senere	senere	senere	ADV;CMPR	
senere	seinere	senere	seinere	ADV;CMPR	N;INDF;NEUT;SG
senere	seinare	senere	sein	ADV;CMPR	ADJ;CMPR
kun	only	kun	only	ADV	
kun	kun	kun	kun	ADV	N;INDF;NEUT;SG
dog	imidlertid	dog	imidlertid	ADV	N;INDF;FEM;SG
dog	imidlertid	dog	imidlertid	ADV	N;INDF;FEM;SG
tidligere	tidligere	tidligere	tidligere	ADV;CMPR	N;INDF;FEM;SG
tidligere	tidligere	tidligere	tidligere	ADV;CMPR	N;INDF;FEM;SG
tidligere	tidligere	tidligere	tidligere	ADV;CMPR	N;INDF;FEM;SG
tidligere	tidligere	tidligere	tidligere	ADV;CMPR	N;INDF;FEM;SG
tidligere	førre	tidligere	førre	ADV;CMPR	DET;DEF
tidligere	forrige	tidligere	forrige	ADV;CMPR	ADJ;PL
siden	siden	siden	siden	ADV	
siden	siden	siden	siden	ADV	
siden	sida	siden	side	ADV	N;DEF;FEM;SG
siden	side	siden	side	ADV	N;INDF;FEM;SG
siden	page	siden	page	ADV	N;INDF;MASC;SG
skal	skulle	skulle	skulle	V;IND;PRS;FIN;ACT	V;IND;PST;FIN
skal	burde	skulle	burde	V;IND;PRS;FIN;ACT	V;IND;PST;FIN
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	PROPN
skal	skall	skulle	skall	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
skal	must	skulle	must	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
have	hage	have	hage	V;NFIN;ACT	N;INDF;MASC;SG
mere	fleire	mere	mange	ADV;CMPR	ADJ;CMPR
mere	fler	mere	fler	ADV;CMPR	N;INDF;NEUT;SG
mere	flere	mere	flere	ADV;CMPR	
mere	mer	mere	mer	ADV;CMPR	N;INDF;MASC;SG
mere	meir	mere	mykje	ADV;CMPR	ADJ;CMPR
mere	mere	mere	mere	ADV;CMPR	N;INDF;MASC;SG
store	large	stor	larg	ADJ;PL	N
store	stor	stor	stor	ADJ;PL	ADJ;INDF;SG
store	stort	stor	stor	ADJ;PL	ADJ;INDF;NEUT;SG
store	big	stor	big	ADJ;PL	N;INDF;SG
store	stor	stor	stor	ADJ;PL	ADJ;INDF;SG
store	stort	stor	stor	ADJ;PL	ADJ;INDF;NEUT;SG
meget	very	meget	very	ADJ;INDF;SG	
meget	meget	meget	meget	ADJ;INDF;SG	N;DEF;NEUT;SG
meget	mye	meget	mye	ADJ;INDF;SG	N;INDF;MASC;SG
været	vore	være	vere	V;INDF;SG;PST;V.PTCP	V;V.PTCP
sammen	sammen	sammen	sam	ADV	
sammen	together	sammen	together	ADV	N;INDF;MASC;SG
end	than	end	than	ADP	N;INDF
samme	same	samme	same	ADJ	DET;DEF
samme	samme	samme	samme	ADJ	N;INDF;NEUT;SG
vil	will	ville	will	V;IND;PRS;FIN;ACT	N;INDF;SG
vil	lyst	ville	lyst	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
vil	want	ville	want	V;IND;PRS;FIN;ACT	N
seed	sæd	seed	sæde		N;INDF;MASC;SG
seed	frø	seed	frø		N;INDF;NEUT;SG
ham	ham	han	ham	PRO;ACC;MASC+FEM;SG;3	N;INDF;MASC;SG
ham	him	han	him	PRO;ACC;MASC+FEM;SG;3	N
omkring	om	omkring	om	ADV	ADP
omkring	angående	omkring	angående	ADV	N;INDF;MASC;SG
omkring	rundt	omkring	rundt	ADV	ADP
omkring	around	omkring	around	ADV	N;INDF;MASC;SG
omkring	omkring	omkring	omkring	ADV	ADP
blevet	vært	blive	vært	V;INDF;SG;PST;V.PTCP	V;V.PTCP
selv	even	selv	even	PRO	N;INDF;MASC;SG
selv	selv	selv	selv	PRO	
selv	tilogmed	selv	tilogmed	PRO	N;INDF;MASC;SG
selv	sjølv	selv	sjølv	PRO	ADV
københavn	copenhagen	københavn	copenhag	PROPN	N;DEF;MASC;SG
københavn	københavn	københavn	københavn	PROPN	N;INDF;MASC;SG
københavn	københavns	københavn	københavns	PROPN	N;INDF;MASC;SG
kom	come	komme	come	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
kom	kom	komme	kome	V;IND;PST;FIN;ACT	V;IMP;PST;FIN
skulle	bør	skulle	burde	V;IND;PST;FIN;ACT	V;IND;PRS;FIN
and	and	and	and		
and	anden	and	anden		N;DEF;MASC;SG
and	duck	and	duck		N;INDF;MASC;SG
tre	three	tre	three	NUM	N
byen	town	by	town	N;DEF;MASC+FEM;SG	PROPN
byen	by	by	by	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
byen	poststed	by	poststed	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
byen	by	by	by	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
disse	desse	denne	desse	PRO;PL	PRO;PL;3
disse	disse	denne	disse	PRO;PL	N;INDF;NEUT;SG
nogle	some	nogen	some	PRO;PL	N
nogle	noen	nogen	noen	PRO;PL	
nogle	enkelte	nogen	enkelt	PRO;PL	ADJ;PL
anden	sekund	anden	sekund	PRO;MASC+FEM;SG	N;INDF;NEUT;SG
anden	andre	anden	annan	PRO;MASC+FEM;SG	DET;PL
anden	second	anden	second	PRO;MASC+FEM;SG	N
andet	sekund	anden	sekund	PRO;NEUT;SG	N;INDF;NEUT;SG
andet	andre	anden	annan	PRO;NEUT;SG	DET;PL
andet	second	anden	second	PRO;NEUT;SG	N
andet	andre	anden	annan	PRO;NEUT;SG	DET;PL
andet	annet	anden	annet	PRO;NEUT;SG	N;INDF;NEUT;SG
andet	annen	anden	annen	PRO;NEUT;SG	N;INDF;MASC;SG
dag	dagen	dag	dag	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
tilbage	attende	tilbage	attende	ADV	ADP
tilbage	back	tilbage	back	ADV	N
tilbage	tilbake	tilbage	tilbake	ADV	ADP
tilbage	rygg	tilbage	rygg	ADV	ADJ;INDF;SG
kommune	kollektiv	kommune	kollektiv	N;INDF;MASC+FEM;SG	ADJ;INDF;SG
cest	cest	cest	cra		N
død	døden	død	død	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
død	dødt	død	død	N;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
død	døde	død	død	N;INDF;MASC+FEM;SG	ADJ;PL
dem	them	de	them	PRO;ACC;PL;3	
dem	dem	de	dem	PRO;ACC;PL;3	
findes	finnes	findes	finnan	V;IND;PRS;FIN;ACT	
findes	eksistere	findes	eksistere	V;IND;PRS;FIN;ACT	V;IMP;NFIN
findes	finnes	findes	finnan	V;IND;PRS;FIN;ACT	
forskellige	annerledes	forskellig	annerledes	ADJ;PL	N;INDF;MASC;SG
forskellige	forskjellig	forskellig	forskjellig	ADJ;PL	ADJ;INDF;NEUT;SG
nye	ny	ny	ny	ADJ;PL	ADJ;INDF;SG
nye	nyhet	ny	nyh	ADJ;PL	N;INDF;MASC;SG
nye	new	ny	new	ADJ;PL	N;INDF;SG
nye	nytt	ny	ny	ADJ;PL	ADJ;INDF;NEUT;SG
både	båter	både	båt	ADV	N;INDF;MASC;PL
både	både	både	både	ADV	CONJ
både	begge	både	begge	ADV	PRO;PL;3
gennem	via	gennem	via	ADV	ADP
gennem	gjennom	gennem	gjennom	ADV	ADP
gennem	through	gennem	through	ADV	
gennem	igjennom	gennem	igjennom	ADV	ADP
stor	large	stor	larg	ADJ;INDF;MASC+FEM;SG	N
stor	big	stor	big	ADJ;INDF;MASC+FEM;SG	N;INDF;SG
stor	store	stor	stor	ADJ;INDF;MASC+FEM;SG	ADJ;PL
stor	flotte	stor	flott	ADJ;INDF;MASC+FEM;SG	ADJ;PL
usa	amerika	usa	amerika	PROPN	N;INDF;MASC;SG
usa	america	usa	america	PROPN	N;INDF;MASC;SG
usa	usa	usa	usa	PROPN	N
uden	utan	uden	utan	ADV	ADP
uden	without	uden	without	ADV	N;INDF;NEUT;SG
uden	uten	uden	uten	ADV	N;INDF;NEUT;SG
hold	hold	holde	hold	V;IMP	N;INDF;NEUT;SG
hold	lagene	holde	lage	V;IMP	N;DEF;FEM;PL
hold	teamene	holde	team	V;IMP	N;INDF;MASC;SG
hold	team	holde	team	V;IMP	N;INDF;NEUT;SG
hold	lag	holde	lag	V;IMP	N;INDF;NEUT;SG
hold	laget	holde	lag	V;IMP	N;DEF;NEUT;SG
hold	team	holde	team	V;IMP	N;INDF;NEUT;SG
når	when	når	when	CONJ	
når	når	når	når	CONJ	ADV
kendt	kjente	kendt	kjent	ADJ;INDF;SG	ADJ;PL
kendt	berømte	kendt	berømt	ADJ;INDF;SG	ADJ;PL
før	before	før	brfor	ADV	N;INDF;NEUT;SG
før	før	før	før	ADV	ADP
hvilket	hvilket	hvilken	hvilk	PRO;NEUT;SG	N;DEF;NEUT;SG
hvilket	hvilken	hvilken	hvilk	PRO;NEUT;SG	N;DEF;MASC;SG
mest	most	mest	most	ADV;RL	N;INDF;FEM;SG
mest	meste	mest	mykje	ADV;RL	ADJ;DEF;RL
mest	mest	mest	mykje	ADV;RL	ADJ;INDF;RL
marts	marsjere	marts	marsjere	N;INDF;MASC+FEM;SG	V;NFIN
hele	helhet	hel	helh	ADJ;DEF;SG	N;INDF;SG
hele	hel	hel	hel	ADJ;DEF;SG	N
hele	whole	hel	whole	ADJ;DEF;SG	N
kirke	kirken	kirke	kirk	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
række	rader	række	rad	N;INDF;MASC+FEM;SG	N;INDF;FEM;PL
derfor	følgelig	derfor	følgelig	ADV	N;INDF;MASC;SG
style	stil	style	stil		N;INDF;MASC;SG
navn	navnet	navn	navn	N;INDF;NEUT;SG	N;DEF;NEUT;SG
ofte	ofte	ofte	ofte	ADV	ADJ
ofte	ofte	ofte	ofte	ADV	ADJ
jpg	jpg	jpg	jpg		N;INDF;MASC;SG
først	første	først	første	ADV	ADJ;DEF;SG
først	forst	først	forst	ADV	N;INDF;MASC;SG
først	first	først	first	ADV	N
mål	målet	mål	mål	N;INDF;NEUT;SG	N;DEF;NEUT;SG
mål	målsettingene	mål	målsetting	N;INDF;NEUT;SG	N;DEF;FEM;PL
mål	målsettinger	mål	målsettinger	N;INDF;NEUT;SG	N;INDF;FEM;PL
mål	målene	mål	mål	N;INDF;NEUT;SG	N;DEF;FEM;PL
mål	målsettingen	mål	målsetting	N;INDF;NEUT;SG	N;DEF;MASC;SG
mål	målene	mål	mål	N;INDF;NEUT;SG	N;DEF;FEM;PL
film	kino	film	kino	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;INDF;MASC;SG
sidste	sist	sidste	sist	ADJ	ADV
blive	blitt	blive	bli	V;NFIN;ACT	ADJ;INDF;SG;V.PTCP
noget	noe	nogen	noe	PRO;NEUT;SG	
noget	something	nogen	something	PRO;NEUT;SG	N;INDF;FEM;SG
noget	noko	nogen	noko	PRO;NEUT;SG	PRO;NEUT;SG;3
tyske	tysk	tysk	tysk	ADJ;PL	N;INDF;MASC;SG
gik	vandret	gå	vandre	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
indtil	until	indtil	until	CONJ	N
indtil	inntil	indtil	inntil	CONJ	ADP
fire	four	fire	four	NUM	N
vandt	vinnes	vinde	vinnas	V;IND;PST;FIN;ACT	N;INDF;NEUT;SG
vandt	vunnet	vinde	vunn	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
vandt	won	vinde	won	V;IND;PST;FIN;ACT	N
vandt	vant	vinde	venje	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
inden	before	inden	brfor	ADV	N;INDF;NEUT;SG
inden	før	inden	før	ADV	ADP
mindre	mindre	mindre	liten	ADV;CMPR	ADJ;CMPR
mindre	mindreårig	mindre	mindreårig	ADV;CMPR	ADJ;INDF;NEUT;SG
mindre	mindre	mindre	liten	ADV;CMPR	ADJ;CMPR
mindre	minor	mindre	minor	ADV;CMPR	N;INDF;MASC;SG
mindre	færre	mindre	få	ADV;CMPR	ADJ;CMPR
mindre	less	mindre	less	ADV;CMPR	
mindre	mindre	mindre	liten	ADV;CMPR	ADJ;CMPR
christian	christian	christian	christian		N;INDF;MASC;SG
christian	kristen	christian	kristen		ADJ;INDF;MASC;SG
frem	framover	frem	framover	ADV	ADP
frem	forover	frem	forover	ADV	N;INDF;MASC;SG
frem	fram	frem	fram	ADV	ADP
frem	frem	frem	frem	ADV	N;INDF;MASC;SG
største	størst	stor	stor	ADJ;DEF;RL	ADJ;INDF;RL
største	størst	stor	stor	ADJ;DEF;RL	ADJ;INDF;RL
største	flotteste	stor	flotteste	ADJ;DEF;RL	N;INDF;NEUT;SG
største	greatest	stor	greaté	ADJ;DEF;RL	N;INDF;MASC;SG
største	størst	stor	stor	ADJ;DEF;RL	ADJ;INDF;RL
hjemmeside	nettstedet	hjemmeside	nettsted	N;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
hjemmeside	startsiden	hjemmeside	startside	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
hjemmeside	hjemmesiden	hjemmeside	hjemmeside	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
alt	everything	al	everything	ADJ;NEUT;SG	N;INDF;FEM;SG
alt	alt	al	alt	ADJ;NEUT;SG	PRO;NEUT;SG;3
alt	allting	al	allting	ADJ;NEUT;SG	N;INDF;FEM;SG
alt	alle	al	alle	ADJ;NEUT;SG	PRO;PL;3
alt	alt	al	alt	ADJ;NEUT;SG	PRO;NEUT;SG;3
alt	all	al	all	ADJ;NEUT;SG	DET;MASC;SG
side	siden	side	siden	N;INDF;MASC+FEM;SG	
side	sida	side	side	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
side	sida	side	side	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
medlem	medlemmet	medlem	medlem	N;INDF;NEUT;SG	N;DEF;NEUT;SG
spillede	spilt	spille	spile	V;IND;PST;FIN;ACT	N;INDF;NEUT;SG
tog	tog	tage	ta	V;IND;PST;FIN;ACT	N;INDF;NEUT;SG
tog	tren	tage	tren	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
tog	avla	tage	avle	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
tog	togene	tage	tog	V;IND;PST;FIN;ACT	N;DEF;FEM;PL
tog	tog	tage	ta	V;IND;PST;FIN;ACT	N;INDF;NEUT;SG
amerikansk	amerikaner	amerikansk	amerikan	ADJ;INDF;SG	N;INDF;MASC;PL
amerikansk	amerikanske	amerikansk	amerikansk	ADJ;INDF;SG	ADJ;PL
amerikansk	american	amerikansk	american	ADJ;INDF;SG	N
lille	small	lille	small	ADJ;SG	N;INDF;NEUT;SG
lille	små	lille	liten	ADJ;SG	ADJ;PL
lille	lille	lille	lilje	ADJ;SG	N;INDF;MASC;SG
lille	lille	lille	lilje	ADJ;SG	N;INDF;MASC;SG
not	ikke	not	ikke		
not	not	not	not		N;INDF;NEUT;SG
not	ikkje	not	ikkje		PART;NEG
hendes	hennes	hendes	hennes	DET;3	N;INDF;MASC;SG
hendes	hennes	hendes	hennes	DET;3	N;INDF;MASC;SG
hendes	henne	hendes	ho	DET;3	PRO;ACC;FEM;SG;3
von	von	von	von		N;INDF;FEM;SG
hvad	hva	hvad	hva	PRO;SG	N;INDF;NEUT;SG
nord	nordover	nord	nordov	N;INDF	ADP
nord	north	nord	north	N;INDF	PROPN
nord	nord	nord	nord	N;INDF	ADP
nord	nord	nord	nord	N;INDF	ADP
kort	kart	kort	kart	ADJ;INDF;SG	N;INDF;NEUT;SG
kort	kort	kort	kort	ADJ;INDF;SG	N;INDF;NEUT;SG
kort	short	kort	shor	ADJ;INDF;SG	N;INDF;SG
kort	korte	kort	kort	ADJ;INDF;SG	ADJ;PL
kort	kart	kort	kart	ADJ;INDF;SG	N;INDF;NEUT;SG
kort	kortet	kort	kort	ADJ;INDF;SG	N;DEF;NEUT;SG
kort	card	kort	card	ADJ;INDF;SG	N
begyndte	started	begynde	started	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
begyndte	begynt	begynde	begynne	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
begyndte	startet	begynde	start	V;IND;PST;FIN;ACT	N;DEF;NEUT;SG
begyndte	starta	begynde	starte	V;IND;PST;FIN;ACT	ADJ;INDF;SG;V.PTCP
udgivet	frigitt	udgive	frigi	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
udgivet	sluppet	udgive	slupp	V;INDF;SG;PST;V.PTCP	N;DEF;NEUT;SG
udgivet	løslatt	udgive	løslatt	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG
udgivet	utgitt	udgive	utgitt	V;INDF;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
udgivet	publisert	udgive	publisere	V;INDF;SG;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
helt	helt	helt	helt	ADV	N;INDF;MASC;SG
helt	fullstendig	helt	fullstendig	ADV	ADJ;INDF;NEUT;SG
helt	helt	helt	helt	ADV	N;INDF;MASC;SG
helt	hero	helt	hero	ADV	N;INDF;MASC;SG
helt	helten	helt	helt	ADV	N;DEF;MASC;SG
gamle	gammelt	gammel	gammel	ADJ;PL	ADJ;INDF;NEUT;SG
gamle	old	gammel	old	ADJ;PL	
gamle	gammel	gammel	gammel	ADJ;PL	N;INDF;MASC;SG
gamle	gammal	gammel	gammal	ADJ;PL	ADJ;INDF;SG
isbn	isbn	isbn	isbn	N;INDF;MASC+FEM;SG	ADV
gange	tidene	gang	tid	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
gange	times	gang	time	N;INDF;MASC+FEM;PL	N;GEN;INDF;MASC;SG
bedste	best	god	bra	ADJ;DEF;RL	ADJ;INDF;RL
døde	dødt	død	død	ADJ;PL	ADJ;INDF;NEUT;SG
døde	død	død	død	ADJ;PL	N;INDF;MASC;SG
døde	dead	død	dead	ADJ;PL	N;INDF;MASC;SG
døde	dødd	død	dødd	ADJ;PL	ADJ;INDF;NEUT;SG
amerikanske	amerikaner	amerikansk	amerikan	ADJ;PL	N;INDF;MASC;PL
amerikanske	american	amerikansk	american	ADJ;PL	N
amerikanske	amerikansk	amerikansk	amerikansk	ADJ;PL	ADJ;INDF;SG
tysk	tysk	tysk	tysk	ADJ;INDF;SG	N;INDF;MASC;SG
gruppe	gruppen	gruppe	grupp	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
stedet	spisested	sted	spisested	N;DEF;NEUT;SG	N;INDF;MASC;SG
stedet	sted	sted	stå	N;DEF;NEUT;SG	
tyskland	tyskland	tyskland	tyskland	PROPN	PROPN
lige	straight	lige	straight	ADV	N;INDF;MASC;SG
lige	beint	lige	bein	ADV	ADJ;INDF;NEUT;SG
lige	likestilt	lige	likestille	ADV	ADJ;INDF;SG;V.PTCP
lige	like	lige	lik	ADV	ADJ;SG
lige	likeverdig	lige	likeverdig	ADV	ADJ;INDF;NEUT;SG
spillet	spill	spille	spill	V;INDF;SG;PST;V.PTCP	N;INDF;NEUT;SG
spillet	kampstart	spille	kampstart	V;INDF;SG;PST;V.PTCP	N;INDF;MASC;SG
spillet	game	spille	game	V;INDF;SG;PST;V.PTCP	N
spillet	spilt	spille	spile	V;INDF;SG;PST;V.PTCP	N;INDF;NEUT;SG
peter	peter	peter	peter		N;INDF;MASC;SG
hver	every	hver	every	PRO;MASC+FEM;SG	N
hver	hver	hver	hver	PRO;MASC+FEM;SG	
hver	hvert	hver	hvert	PRO;MASC+FEM;SG	
hver	hver	hver	hver	PRO;MASC+FEM;SG	
hver	hvert	hver	hvert	PRO;MASC+FEM;SG	
ingen	ingen	ingen	ingen	PRO;MASC+FEM;SG	PRO;PL;3;NEG
ingen	nobody	ingen	nobody	PRO;MASC+FEM;SG	N;INDF;SG
ingen	ingen	ingen	ingen	PRO;MASC+FEM;SG	PRO;PL;3;NEG
engelsk	engelsk	engelsk	engelsk	ADJ;INDF;SG	N;INDF;MASC;SG
århundrede	århundrer	århundrede	århundre	N;INDF;NEUT;SG	N;INDF;FEM;PL
stadig	forsatt	stadig	forsitje	ADV	N;INDF;MASC;SG
stadig	fremdeles	stadig	fremdeles	ADV	N;INDF;MASC;SG
stadig	fortsatt	stadig	fortsatt	ADV	ADJ;INDF;NEUT;SG
john	john	john	john	PROPN	N;INDF;MASC;SG
sted	sted	sted	stå	N;INDF;NEUT;SG	
sted	beliggenhet	sted	beliggenhet	N;INDF;NEUT;SG	N;DEF;MASC;SG
sted	sted	sted	stå	N;INDF;NEUT;SG	
forhold	forholdet	forhold	forhold	N;INDF;NEUT;SG	N;DEF;NEUT;SG
spiller	player	spille	play	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
spiller	avspillinger	spille	avspillinger	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
