hanoi	हनोई	hanol	हनोई	PROPN	PROPN;NOM;MASC;SG;3
esperan	उम्मीद	esperar	उम्मीद	V	N;NOM;FEM;SG;3
esperan	होप	esperar	होप	V	
esperan	आशा	esperar	आशा	V	PROPN;NOM;FEM;SG;3
esperan	प्रतीक्षारत	esperar	प्रतीक्षारत	V	N;NOM;MASC;SG;3
taza	कप	taza	कप	PROPN	PROPN;NOM;MASC;SG;3
lémbrome	याद	lémbrome	याद	V	N;NOM;FEM;SG;3
lote	लॉट	lote	लॉट	N	
lixeiro	रोशनी	lixeiro	रोशनी	ADJ	N;NOM;FEM;SG;3
lixeiro	प्रकाश	lixeiro	प्रकाश	ADJ	PROPN;NOM;MASC;SG;3
lixeiro	लाइट	lixeiro	लाइट	ADJ	N;NOM;FEM;SG;3
raíces	जड़	raíz	जड़	N	
tina	टीना	tina	टीना	N	PROPN;NOM;FEM;SG;3
defunto	मर	defunto	मर	N	V;ACT
fantasma	घोस्ट	fantasma	घोस्ट	N	
fantasma	भूत	fantasma	भूत	N	
fantasma	भुत	fantasma	भुत	N	
regrese	पीछे	regrese	पीछे	V	ADV;NOM;MASC;SG;3
regrese	बैक	regrese	बैक	V	
regrese	वापस	regrese	वापस	V	ADJ
escapou	दूर	escapar	दूर	V	ADV;NOM;MASC;SG;3
escapou	से	escapar	से	V	
escapou	इससे	escapar	यह	V	PRO;SG;3
escapou	फरार	escapar	फरार	V	ADJ
jenny	जेनी	jenny	जेनी	PROPN	PROPN;NOM;MASC;SG;3
colgar	हैंग	colgar	हैंग	V	
óesme	आपको	óesme	आप	PROPN	PRO;SG;2;FORM
óesme	आप	óesme	आप	PROPN	PRO;NOM;SG;2;FORM
óesme	तुम	óesme	तुम	PROPN	PRO;NOM;SG;3
óesme	सुन	óesme	सुन	PROPN	V;ACT
calade	shut	calade	shut	N	
molesto	परेशान	molesto	परेशान	N	ADJ
pensado	विचार	pensar	विचार	V	N;NOM;MASC;SG;3
sabas	शीट	saber	शीट	N	
barriga	बेली	barriga	बेली	N	
refires	मतलब	referir	मतलब	PROPN	N;NOM;MASC;SG;3
refires	औसत	referir	औसत	PROPN	N;NOM;MASC;SG;3
gustaríalle	like	gustaríalle	like	V	
gustaríalle	जैसे	gustaríalle	जैसे	V	CONJ
mátote	किल	mátote	किल	PROPN	PROPN;NOM;MASC;SG;3
mátote	मारो	mátote	मार	PROPN	V;SG;FIN;ACT
mátote	मार	mátote	मार	PROPN	V;ACT
mátote	आपको	mátote	आप	PROPN	PRO;SG;2;FORM
mátote	आप	mátote	आप	PROPN	PRO;NOM;SG;2;FORM
mátote	तुम	mátote	तुम	PROPN	PRO;NOM;SG;3
esperas	आपको	espera	आप	N	PRO;SG;2;FORM
esperas	आप	espera	आप	N	PRO;NOM;SG;2;FORM
esperas	तुम	espera	तुम	N	PRO;NOM;SG;3
caín	गिरी	caín	गिर	PRO	V;PFV;FEM;SG;V.PTCP;ACT
escravo	स्लेव	escravo	स्लेव	N	
mandou	प्रेषित	mandar	प्रेषित	V	ADJ
joseph	जोसफ	josephr	जोसफ	PROPN	PROPN;NOM;MASC;SG;3
joseph	यूसुफ	josephr	यूसुफ	PROPN	PROPN;NOM;MASC;SG;3
joseph	जोसेफ	josephr	जोसेफ	PROPN	PROPN;NOM;MASC;SG;3
seda	सिल्क	sedo	सिल्क	N	
secreta	गुप्त	secreta	गुप्त	N	PROPN;NOM;MASC;SG;3
xusta	सिर्फ	xusto	सिर्फ	ADJ	PART
xusta	बस	xusto	बस	ADJ	N;NOM;FEM;SG;3
vido	आईये	vir	आईया	N	PROPN;NOM;MASC;SG;3
vido	आइये	vir	आ	N	V;SBJV;PL;3;FIN;ACT
vido	आया	vir	आ	N	V;PFV;MASC;SG;V.PTCP;ACT
vido	आये	vir	आ	N	V;PFV;MASC;SG;V.PTCP;ACT
vido	आए	vir	आ	N	V;PFV;MASC;SG;V.PTCP;ACT
ombreiro	कंधा	ombreiro	कंधा	N	
dispararon	गोली	disparar	गोली	V	N;NOM;FEM;SG;3
dispararon	शॉट	disparar	शॉट	V	N;NOM;MASC;SG;3
dispararon	उन्होंने	disparar	वह	V	PRO;SG;3;FORM
dispararon	वे	disparar	वह	V	PRO;NOM;SG;3
terlle	उससे	terlle	वह	PROPN	PRO;SG;3
terlle	उसको	terlle	वह	PROPN	PRO;SG;3
terlle	उसे	terlle	वह	PROPN	PRO;SG;3
prometo	वादा	prometo	वादा	V	N;NOM;MASC;SG;3
seguirá	स्टिल	seguir	स्टिल	V	
vervos	आपको	vervo	आप	V	PRO;SG;2;FORM
vervos	आप	vervo	आप	V	PRO;NOM;SG;2;FORM
vervos	तुम	vervo	तुम	V	PRO;NOM;SG;3
sóltame	पाएँ	sóltame	पा	PROPN	V;SBJV;PL;FIN;ACT
sóltame	मिलेंगी	sóltame	मिल	PROPN	V;FEM;IND;SG;3;FUT;FIN;ACT
celosa	जलन	celosar	जलन	ADJ	N;NOM;FEM;SG;3
celosa	ईर्ष्या	celosar	ईर्ष्या	ADJ	N;NOM;FEM;SG;3
cometer	कमिट	cometer	कमिट	V	
estabades	यहूद	estabade	यहूद	N	
estabades	आपको	estabade	आप	N	PRO;SG;2;FORM
estabades	आप	estabade	आप	N	PRO;NOM;SG;2;FORM
estabades	तुम	estabade	तुम	N	PRO;NOM;SG;3
interesada	रुचिकर	interesado	रुचिकर	N	CONJ
escoitaches	आपको	escoitaches	आप	V	PRO;SG;2;FORM
escoitaches	आप	escoitaches	आप	V	PRO;NOM;SG;2;FORM
escoitaches	तुम	escoitaches	तुम	V	PRO;NOM;SG;3
fálame	परिचय	fálame	परिचय	PROPN	N;NOM;MASC;SG;3
fálame	बताओ	fálame	बता	PROPN	V;SBJV;SG;FIN;ACT
fálame	बताना	fálame	बता	PROPN	V;MASC;NFIN;ACT
parezo	देखो	parezo	देखो	PROPN	V;SBJV;SG;FIN;ACT
parezo	dekh	parezo	dekh	PROPN	PROPN;NOM;MASC;SG;3
vinnie	vinnie	vinnie	vinnie	PROPN	
permíteme	मई	permíteme	मई	V	PROPN;NOM;FEM;SG;3
permíteme	may	permíteme	may	V	
pague	अदा	pague	अदा	V	ADJ
colar	हार	colar	हार	V	N;NOM;FEM;SG;3
colar	नेकलेस	colar	नेकलेस	V	N;NOM;MASC;SG;3
levarte	आपको	levarte	आप	V	PRO;SG;2;FORM
levarte	आप	levarte	आप	V	PRO;NOM;SG;2;FORM
levarte	तुम	levarte	तुम	V	PRO;NOM;SG;3
sacaches	आपको	sacaches	आप	V	PRO;SG;2;FORM
sacaches	आप	sacaches	आप	V	PRO;NOM;SG;2;FORM
sacaches	तुम	sacaches	तुम	V	PRO;NOM;SG;3
xudea	judea	xudea	judea	N	
xudea	अग्र	xudea	अग्र	N	
xudea	सामने	xudea	सामने	N	ADV;NOM;MASC;SG;3
boh	कुआँ	boh	कुआँ	PROPN	N;NOM;MASC;SG;3
boh	खैर	boh	खैर	PROPN	
boh	खूब	boh	खूब	PROPN	
lima	लीमा	lima	लीमा	PROPN	PROPN;NOM;MASC;SG;3
rezo	दुवा	rezo	दुवा	N	
refíreste	आपको	refíreste	आप	N	PRO;SG;2;FORM
refíreste	आप	refíreste	आप	N	PRO;NOM;SG;2;FORM
refíreste	तुम	refíreste	तुम	N	PRO;NOM;SG;3
adoro	प्यार	adoro	प्यार	V	N;NOM;MASC;SG;3
adoro	मोहब्बत	adoro	मोहब्बत	V	N;NOM;FEM;SG;3
adoro	प्रेम	adoro	प्रेम	V	N;NOM;MASC;SG;3
dillo	बताओ	dillo	बता	PROPN	V;SBJV;SG;FIN;ACT
dillo	बताना	dillo	बता	PROPN	V;MASC;NFIN;ACT
dillo	उससे	dillo	वह	PROPN	PRO;SG;3
dillo	उसको	dillo	वह	PROPN	PRO;SG;3
dillo	उसे	dillo	वह	PROPN	PRO;SG;3
trent	ट्रेंट	trent	ट्रेंट	PROPN	PROPN;NOM;MASC;SG;3
jean	जाँ	jean	जा	PROPN	
jean	जां	jean	जा	PROPN	V;SG;FIN;ACT
saigón	साइगॉन	saigón	साइगॉन	PROPN	PROPN;NOM;MASC;SG;3
ámoa	प्यार	ámoa	प्यार	PROPN	N;NOM;MASC;SG;3
ámoa	मोहब्बत	ámoa	मोहब्बत	PROPN	N;NOM;FEM;SG;3
ámoa	प्रेम	ámoa	प्रेम	PROPN	N;NOM;MASC;SG;3
ámoa	उसे	ámoa	वह	PROPN	PRO;SG;3
ámoa	उसका	ámoa	वह	PROPN	PRO;MASC;SG;3
ámoa	उसकी	ámoa	वह	PROPN	PRO;FEM;SG;3
ámoa	उसके	ámoa	वह	PROPN	PRO;MASC;SG;3
dakar	डकार	dakar	डकार	PROPN	
dylan	डायलन	dólar	डायलन	PROPN	PROPN;NOM;MASC;SG;3
dylan	डिलन	dólar	डिलन	PROPN	PROPN;NOM;MASC;SG;3
xastre	दर्जी	xastre	दर्जी	N	
clermont	clermont	clermont	clermont	PROPN	N;NOM;MASC;SG;3
melinda	मेलिंडा	melinda	मेलिंडा	N	PROPN;NOM;MASC;SG;3
père	पेरे	père	पेरा	PROPN	PROPN;NOM;MASC;SG;3
imperfecto	अपूर्ण	imperfecto	अपूर्ण	ADJ	N;NOM;MASC;SG;3
viñan	आईये	vir	आईया	V	PROPN;NOM;MASC;SG;3
viñan	उन्होंने	vir	वह	V	PRO;SG;3;FORM
viñan	वे	vir	वह	V	PRO;NOM;SG;3
cambian	परिवर्तन	cambiar	परिवर्तन	V	N;NOM;MASC;SG;3
cambian	बदलाव	cambiar	बदलाव	V	N;NOM;MASC;SG;3
granxas	खेतो	granxa	खेतो	N	
mozart	मोजार्ट	mozart	मोजार्ट	N	PROPN;NOM;MASC;SG;3
occidental	पश्चिम	occidental	पश्चिम	ADJ	PROPN;NOM;MASC;SG;3
occidental	वेस्ट	occidental	वेस्ट	ADJ	PROPN;NOM;MASC;SG;3
king	राजा	king	राजा	PROPN	N;NOM;MASC;SG;3
king	बादशाह	king	बादशाह	PROPN	N;NOM;MASC;SG;3
king	किंग	king	किंग	PROPN	PROPN;NOM;MASC;SG;3
andy	एंडी	andy	एंडी	PROPN	PROPN;NOM;MASC;SG;3
archie	आर्ची	archie	आर्ची	PROPN	PROPN;NOM;FEM;SG;3
xulgar	जज	xulgar	जज	V	N;NOM;MASC;SG;3
xulgar	न्यायाधीश	xulgar	न्यायाधीश	V	N;NOM;MASC;SG;3
xulgar	फैसला	xulgar	फैसला	V	N;NOM;MASC;SG;3
xulgar	न्यायधीश	xulgar	न्यायधीश	V	N;NOM;MASC;SG;3
vicepresidente	राष्ट्रपति	vicepresidente	राष्ट्रपति	N	PROPN;NOM;MASC;SG;3
veredes	आपको	verede	आप	V	PRO;SG;2;FORM
veredes	आप	verede	आप	V	PRO;NOM;SG;2;FORM
veredes	तुम	verede	तुम	V	PRO;NOM;SG;3
deixala	उसे	deixala	वह	ADV	PRO;SG;3
deixala	उसका	deixala	वह	ADV	PRO;MASC;SG;3
deixala	उसकी	deixala	वह	ADV	PRO;FEM;SG;3
deixala	उसके	deixala	वह	ADV	PRO;MASC;SG;3
deixala	आपको	deixala	आप	ADV	PRO;SG;2;FORM
deixala	आप	deixala	आप	ADV	PRO;NOM;SG;2;FORM
deixala	तुम	deixala	तुम	ADV	PRO;NOM;SG;3
extraordinario	असाधारण	extraordinario	असाधारण	ADJ	
anderson	एंडरसन	anderson	एंडरसन	PROPN	PROPN;NOM;MASC;SG;3
contesta	उत्तर	contesta	उत्तर	V	PROPN;NOM;MASC;SG;3
contesta	जवाब	contesta	जवाब	V	N;NOM;MASC;SG;3
pagas	अदा	paga	अदा	N	ADJ
pagas	आपको	paga	आप	N	PRO;SG;2;FORM
pagas	आप	paga	आप	N	PRO;NOM;SG;2;FORM
pagas	तुम	paga	तुम	N	PRO;NOM;SG;3
preguntoume	और	preguntoume	और	V	
congreso	कांग्रेस	congreso	कांग्रेस	N	PROPN;NOM;FEM;SG;3
congreso	कॉंग्रेस	congreso	कॉंग्रेस	N	PROPN;NOM;FEM;SG;3
recibiron	प्राप्त	recibir	प्राप्त	V	ADJ
electrónico	इलेक्ट्रानिक	electrónico	इलेक्ट्रानिक	ADJ	PROPN;NOM
electrónico	इलेक्ट्रॉनिक	electrónico	इलेक्ट्रॉनिक	ADJ	N;NOM
relacionado	संबंधित	relacionar	संबंधित	V	ADJ
relacionado	सम्बन्धित	relacionar	संबन्धित	V	ADJ
tocas	आपको	toca	आप	V	PRO;SG;2;FORM
tocas	आप	toca	आप	V	PRO;NOM;SG;2;FORM
tocas	तुम	toca	तुम	V	PRO;NOM;SG;3
largo	पाएँ	largo	पा	N	V;SBJV;PL;FIN;ACT
largo	मिलेंगी	largo	मिल	N	V;FEM;IND;SG;3;FUT;FIN;ACT
largo	बाहर	largo	बाहर	N	ADV;NOM;MASC;SG;3
tiveses	आपको	ter	आप	V	PRO;SG;2;FORM
tiveses	आप	ter	आप	V	PRO;NOM;SG;2;FORM
tiveses	तुम	ter	तुम	V	PRO;NOM;SG;3
tiveses	था	ter	था	V	V;MASC;IND;SG;PST;FIN;ACT
preocupar	परिचय	preocupar	परिचय	V	N;NOM;MASC;SG;3
preocupar	चिंता	preocupar	चिंता	V	N;NOM;FEM;SG;3
gafas	ऐनक	gafo	ऐनक	N	
secundarios	पार्श्व	secundario	पार्श्व	ADJ	
secundarios	तरफ	secundario	तरफ	ADJ	ADV;NOM;FEM;SG;3
secundarios	पक्ष	secundario	पक्ष	ADJ	N;NOM;MASC;SG;3
secreto	गुप्त	secreto	गुप्त	N	PROPN;NOM;MASC;SG;3
verdadeiros	यथार्थ	verdadeiro	यथार्थ	ADJ	ADV
verdadeiros	रीयल	verdadeiro	रीयल	ADJ	N;NOM;MASC;SG;3
verdadeiros	रियल	verdadeiro	रियल	ADJ	N;NOM;MASC;SG;3
verdadeiros	सच	verdadeiro	सच	ADJ	N;NOM;MASC;SG;3
verdadeiros	सच्चा	verdadeiro	सच्चा	ADJ	PROPN;NOM;MASC;SG;3
similares	समान	similar	समान	ADJ	
capturar	कैप्चर	capturar	कैप्चर	V	N;NOM;MASC;SG;3
profundidade	दीप	profundidade	दीप	N	PROPN;NOM;MASC;SG;3
profundidade	गहरी	profundidade	गहरा	N	ADJ;NOM;FEM;SG
profundidade	गहरा	profundidade	गहरा	N	ADJ;NOM;MASC;SG
profundidade	गहन	profundidade	गहन	N	ADJ;NOM
capas	सोना	capa	सोना	N	
capas	गोल्ड	capa	गोल्ड	N	
capas	स्वर्ण	capa	स्वर्ण	N	
capas	सुनहरा	capa	सुनहरा	N	ADJ;NOM;MASC;SG
utiliza	उपयोग	utilizar	उपयोग	V	N;NOM;MASC;SG;3
virán	आईये	virán	आईया	V	PROPN;NOM;MASC;SG;3
nalgures	कहीं	nalgures	कहीं	ADV	PRO;NOM
nalgures	कही	nalgures	कह	ADV	V;PFV;FEM;SG;V.PTCP;ACT
diaños	जहन्नुम	diaño	जहन्नुम	N	PROPN;NOM;FEM;SG;3
diaños	नर्क	diaño	नर्क	N	
diaños	नरक	diaño	नरक	N	
cheguen	उन्होंने	chegar	वह	V	PRO;SG;3;FORM
cheguen	वे	chegar	वह	V	PRO;NOM;SG;3
cheguen	आईये	chegar	आईया	V	PROPN;NOM;MASC;SG;3
habitacións	कक्ष	habitación	कक्ष	N	
actuais	धारा	actual	धारा	ADJ	N;NOM;FEM;SG;3
actuais	मौजूदा	actual	मौजूदा	ADJ	PROPN;NOM;MASC;SG;3
actuais	मौज़ूदा	actual	मौज़ूदा	ADJ	N;NOM;FEM;SG;3
actuais	वर्तमान	actual	वर्तमान	ADJ	N;NOM;MASC;SG;3
construíu	निर्मित	construír	निर्मित	V	ADJ
mandela	मंडेला	mandela	मंडेला	PROPN	PROPN;NOM;MASC;SG;3
mark	मार्क	mark	मार्क	PROPN	PROPN;NOM;MASC;SG;3
mark	चिह्नित	mark	चिह्नित	PROPN	ADJ
porca	गन्दा	porco	गन्दा	N	
porca	गंदे	porco	गंदा	N	ADJ;ACC;MASC;PL
porca	गंदा	porco	गंदा	N	
sa	स्वास्थ्यवर्धक	sa	स्वास्थ्यवर्धक	PROPN	N;NOM;MASC;SG;3
sa	स्वस्थ	sa	स्वस्थ	PROPN	ADJ
cruzando	आरपार	cruzar	आरपार	V	PROPN;NOM;MASC;SG;3
cruzando	क्रासिंग	cruzar	क्रासिंग	V	PROPN;NOM;FEM;SG;3
serra	सिएरा	serra	सिएरा	N	PROPN;NOM;MASC;SG;3
xen	जीन	xen	जीन	PROPN	N;NOM;MASC;SG;3
asilo	होम	asilo	होम	N	
amabilidade	दया	amabilidade	दया	N	
amabilidade	करुणा	amabilidade	करुणा	N	PROPN;NOM;FEM;SG;3
simon	साइमन	ser	साइमन	PROPN	PROPN;NOM;MASC;SG;3
nucleares	परमाणु	nuclear	परमाणु	V	N;NOM;MASC;SG;3
nucleares	न्यूक्लियर	nuclear	न्यूक्लियर	V	N;NOM;MASC;SG;3
nucleares	नाभिकीय	nuclear	नाभिकीय	V	N;NOM;MASC
henry	हेनरी	henry	हे	PROPN	PROPN;NOM;MASC;SG;3
use	उपयोग	use	उपयोग	V	N;NOM;MASC;SG;3
aparecer	शो	aparecer	शो	V	N;NOM;MASC;SG;3
suecia	स्वीडिश	suecia	स्वीडिश	PROPN	PROPN;NOM;MASC;SG;3
suecia	स्वीडन	suecia	स्वीडन	PROPN	PROPN;NOM;MASC;SG;3
pares	रोकें	par	रोक	N	V;SBJV;PL;FIN;ACT
comín	एट	comín	एट	V	PROPN;NOM;MASC;SG;3
comín	ate	comín	ate	V	
reside	झूठ	residir	झूठ	V	
farían	उन्होंने	facer	वह	V	PRO;SG;3;FORM
farían	वे	facer	वह	V	PRO;NOM;SG;3
xerais	जनरल	xeral	जनरल	ADJ	N;NOM;MASC;SG;3
xerais	साधारण	xeral	साधारण	ADJ	PROPN;NOM;MASC;SG;3
xerais	सामान्य	xeral	सामान्य	ADJ	N;NOM;MASC;SG;3
xerais	सेनापतियों	xeral	सेनापती	ADJ	N;ACC;MASC;PL;3
meniño	छोरा	meniño	छोरा	N	
meniño	लडका	meniño	लडक	N	
meniño	बॉय	meniño	बॉय	N	
colleron	उन्होंने	coller	वह	V	PRO;SG;3;FORM
colleron	वे	coller	वह	V	PRO;NOM;SG;3
debiamos	था	debiar	था	V	V;MASC;IND;SG;PST;FIN;ACT
teredes	आपको	ter	आप	V	PRO;SG;2;FORM
teredes	आप	ter	आप	V	PRO;NOM;SG;2;FORM
teredes	तुम	ter	तुम	V	PRO;NOM;SG;3
trataba	था	tratar	था	V	V;MASC;IND;SG;PST;FIN;ACT
trataba	थी	tratar	था	V	V;FEM;IND;SG;PST;FIN;ACT
musulmáns	मुसलमानो	musulmáns	मुसलमानो	N	PROPN;NOM;MASC;SG;3
barrios	एटलस	barrio	एटलस	N	
reláxate	आराम	reláxate	आराम	PROPN	PROPN;NOM;MASC;SG;3
reláxate	रिलैक्स	reláxate	रिलैक्स	PROPN	
bater	हिट	bater	हिट	V	
bater	hit	bater	hit	V	
manteñen	उन्होंने	manter	वह	V	PRO;SG;3;FORM
manteñen	वे	manter	वह	V	PRO;NOM;SG;3
piden	उन्होंने	pedir	वह	V	PRO;SG;3;FORM
piden	वे	pedir	वह	V	PRO;NOM;SG;3
durmimos	निद्रा	durmir	निद्रा	V	N;NOM;FEM;SG;3
durmimos	नींद	durmir	नींद	V	N;NOM;FEM;SG;3
refire	मतलब	referir	मतलब	V	N;NOM;MASC;SG;3
refire	औसत	referir	औसत	V	N;NOM;MASC;SG;3
espacial	हबल	espacial	हबल	N	PROPN;NOM;MASC;SG;3
espacial	समष्टि	espacial	समष्टि	N	
barra	सहस्र	barra	सहस्र	N	
national	राष्टीय	national	राष्टीय	ADJ	PROPN;NOM;MASC;SG;3
national	राष्ट्रीय	national	राष्ट्रीय	ADJ	PROPN;NOM;MASC;SG;3
national	नेशनल	national	नेशनल	ADJ	PROPN;NOM
diálogo	संवाद	diálogo	संवाद	N	
sinceramente	सचमुच	sinceramente	सचमुच	ADV	
sinceramente	वाकई	sinceramente	वाकई	ADV	
perdidos	गुमशुदा	perdido	गुमशुदा	V	
hara	hara	haber	hara	N	PROPN;NOM;MASC;SG;3
hara	हारा	haber	हार	N	V;PFV;MASC;SG;V.PTCP;ACT
vivido	जिया	vivido	जिया	V	
lanzamento	छोडें	lanzamento	छोड	N	V;SBJV;PL;FIN;ACT
recorda	याद	recordar	याद	V	N;NOM;FEM;SG;3
recorda	आपको	recordar	आप	V	PRO;SG;2;FORM
recorda	आप	recordar	आप	V	PRO;NOM;SG;2;FORM
recorda	तुम	recordar	तुम	V	PRO;NOM;SG;3
green	हरित	grear	हरित	PROPN	PROPN;NOM;MASC;SG;3
green	हरी	grear	हरा	PROPN	ADJ;NOM;FEM;SG
green	हरा	grear	हरा	PROPN	V;MASC;SG;V.PTCP;ACT
green	ग्रीन	grear	ग्रीन	PROPN	
clásico	शास्त्रीय	clásico	शास्त्रीय	ADJ	PROPN;NOM;SG;3
clásico	क्लासिक	clásico	क्लासिक	ADJ	PROPN;NOM;MASC;SG;3
afastados	दूर	afastar	दूर	V	ADV;NOM;MASC;SG;3
afastados	से	afastar	से	V	
afastados	इससे	afastar	यह	V	PRO;SG;3
intelectual	बौद्धिक	intelectual	बौद्धिक	ADJ	PROPN;NOM;SG;3
gravitacional	गुरुत्वाकर्षक	gravitacional	गुरुत्वाकर्षक	ADJ	N;NOM;MASC;SG;3
averiguar	बाहर	averiguar	बाहर	V	ADV;NOM;MASC;SG;3
averiguar	आउट	averiguar	आउट	V	N;NOM;MASC;SG;3
brando	नर्म	brando	नर्म	V	
brando	सॉफ्ट	brando	सॉफ्ट	V	N;NOM;MASC;SG;3
brando	मुलायम	brando	मुलायम	V	PROPN;NOM;MASC;SG;3
brando	नरम	brando	नरम	V	
mestura	मिक्स	mestura	मिक्स	N	
mestura	मिक्सर	mestura	मिक्सर	N	PROPN;NOM;MASC;SG;3
novidade	नया	novidade	नया	N	ADJ;NOM;MASC;SG
novidade	नई	novidade	नया	N	ADJ;NOM;FEM;SG
mañán	सवेरा	mañán	सवेरा	N	PROPN;NOM;MASC;SG;3
tua	आपकी	tua	आप	N	PRO;FEM;SG;2;FORM
tua	आपके	tua	आप	N	PRO;MASC;SG;2;FORM
tua	आपका	tua	आप	N	PRO;MASC;SG;2;FORM
tua	अपने	tua	अपना	N	PRO;NOM;MASC
tua	अपना	tua	अपना	N	PRO;NOM;MASC;SG
tua	मीत	tua	मीत	N	PROPN;NOM;MASC;SG;3
sintes	महसूस	sinte	महसूस	N	ADJ
bicos	चुंबन	bico	चुंबन	N	PROPN;NOM;MASC;SG;3
soto	तहखाने	soto	तहखाना	PROPN	V;NFIN;ACT
ocuparse	केयर	ocuparsir	केयर	PROPN	N;NOM;FEM;SG;3
ocuparse	परवाह	ocuparsir	परवाह	PROPN	N;NOM;FEM;SG;3
ocuparse	लें	ocuparsir	ले	PROPN	V;SBJV;PL;3;FIN;ACT
ocuparse	ले	ocuparsir	ले	PROPN	V;ACT
ocuparse	लो	ocuparsir	ले	PROPN	V;SBJV;SG;FIN;ACT
eterna	सनातन	eterno	सनातन	N	PROPN;NOM;MASC;SG;3
eterna	अनन्त	eterno	अनन्त	N	
elixido	निर्वाचित	elixir	निर्वाचित	V	ADJ
elixido	एक	elixir	एक	V	NUM
fíxate	देखो	fíxate	देखो	PROPN	V;SBJV;SG;FIN;ACT
fíxate	dekh	fíxate	dekh	PROPN	PROPN;NOM;MASC;SG;3
socialismo	समाजवादी	socialismo	समाजवादी	N	PROPN;NOM;MASC;SG;3
traio	लाओ	traio	ला	V	
créame	विश्वास	créame	विश्वास	PROPN	N;NOM;MASC;SG;3
créame	मानना	créame	मान	PROPN	V;NFIN;ACT
dareille	दे	dareille	दे	ADV	V;FIN;ACT
molestar	परेशान	molestar	परेशान	V	ADJ
cansos	थका	canso	थका	N	
tivésemos	था	tevésemo	था	V	V;MASC;IND;SG;PST;FIN;ACT
algodón	सूत	algodón	सूत	N	
pazo	राजमहल	pazo	राजमहल	N	PROPN;NOM;MASC;SG;3
pazo	विला	pazo	विला	N	PROPN;NOM;MASC;SG;3
volvería	पीछे	volver	पीछे	V	ADV;NOM;MASC;SG;3
volvería	बैक	volver	बैक	V	
volvería	वापस	volver	वापस	V	ADJ
saes	आपको	saber	आप	PROPN	PRO;SG;2;FORM
saes	आप	saber	आप	PROPN	PRO;NOM;SG;2;FORM
saes	तुम	saber	तुम	PROPN	PRO;NOM;SG;3
saes	बाहर	saber	बाहर	PROPN	ADV;NOM;MASC;SG;3
saes	आउट	saber	आउट	PROPN	N;NOM;MASC;SG;3
solitario	अकेला	solitario	अकेला	N	V;PFV;MASC;SG;V.PTCP;ACT
aturo	स्टैंड	aturo	स्टैंड	V	N;NOM;MASC;SG;3
direiche	बताओ	direiche	बता	PROPN	V;SBJV;SG;FIN;ACT
direiche	बताना	direiche	बता	PROPN	V;MASC;NFIN;ACT
responsábeis	ज़िम्मेदार	responsábel	ज़िम्मेदार	N	PROPN;NOM;MASC;SG;3
responsábeis	उत्तरदायी	responsábel	उत्तरदायी	N	ADJ
responsábeis	जिम्मेदार	responsábel	जिम्मेदार	N	ADJ
responsábeis	लिये	responsábel	ले	N	V;PFV;MASC;SG;V.PTCP;ACT
